	TCGA.AK.3447.01A.01R.1766.07	TCGA.67.3770.01A.01R.0946.07	TCGA.49.4510.01A.01R.1206.07	TCGA.67.3773.01A.01R.0946.07	TCGA.75.6212.01A.11R.1755.07	TCGA.91.8496.01A.11R.2403.07	TCGA.62.8397.01A.11R.2326.07	TCGA.50.8460.01A.11R.2326.07	TCGA.97.8171.01A.11R.2287.07	GTEX.PLZ6.0426.SM.5IFK2	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.KS.A4I7.01A.11R.A250.07	TCGA.DJ.A4UW.01A.11R.A250.07	TCGA.DJ.A2Q6.01A.11R.A18C.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.DJ.A2PY.01A.11R.A18C.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.DJ.A13P.01A.11R.A10U.07	TCGA.ET.A3BS.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.DJ.A13L.01A.11R.A220.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.E8.A44K.01A.21R.A23W.07	TCGA.EL.A3MW.01A.11R.A20F.07	TCGA.DJ.A1QQ.01A.11R.A14Y.07	TCGA.EM.A1CV.01A.11R.A13Y.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.J8.A3O2.01A.11R.A23N.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.KS.A4IC.01A.11R.A250.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.FY.A4B4.01A.11R.A23W.07	TCGA.EM.A3FJ.01A.11R.A21D.07	TCGA.EM.A2OX.01A.11R.A206.07	TCGA.EL.A3H3.01A.11R.A206.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.EL.A3CU.01A.11R.A19O.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.DJ.A3UO.01A.11R.A22L.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EM.A2P0.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.DE.A0XZ.01A.11R.A180.07	TCGA.BJ.A0ZH.01A.11R.A10U.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.IM.A3ED.01A.11R.A206.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.EM.A4FM.01A.11R.A250.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.KS.A4IB.01A.11R.A250.07	TCGA.EL.A3ZN.01A.11R.A23N.07	TCGA.IM.A4EB.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.ET.A2MZ.01A.12R.A19O.07	TCGA.DE.A69K.01A.11R.A39I.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.FY.A3R7.01A.11R.A220.07	TCGA.DJ.A3VA.01A.11R.A23N.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.ET.A3BW.01A.11R.A19O.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.BJ.A45H.01A.12R.A23W.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A22M.01A.11R.A32Y.07	TCGA.DJ.A3V2.01A.11R.A22U.07
PIKFYVE	12.45	68.55	90.77	49.56	98.73	73.03	84.04	87.65	89.51	79.45	108.14	111.21	138.1	85.82	81.14	194.36	117.6	134.3	70.51	162.14	47.17	143.01	93.35	105.89	115.16	183.82	127.89	139.07	183.82	180.02	131.51	122.64	82.87	108.9	134.3	85.22	122.64	98.04	127.0	181.28	201.25	108.14	128.79	169.07	98.04	92.05	104.42	111.21	56.68	157.68	112.77	121.79	137.14	92.05	99.43	68.07	92.7	118.43	176.29	78.34	127.0	202.66	172.65	100.13	109.66	134.3	124.37	166.73	183.82	111.21	124.37	136.19	154.42	151.22	91.41	201.25	115.16	176.29	154.42	191.67	105.89	77.25	142.01	159.9	199.85	170.25	146.03	125.24	90.77	104.42	153.34	105.89	111.99	95.34	131.51	99.43	241.19	128.79	150.17	136.19	118.43	100.83	169.07	153.34	159.9	155.5	75.64	191.67	100.13	194.36	171.45	111.99	131.51	178.77	86.43	105.89	77.25	109.66
PKD2	45.21	246.28	130.6	104.42	218.79	182.55	237.86	246.28	67.59	228.13	249.73	191.67	198.47	156.59	156.59	309.83	271.48	262.2	167.9	389.72	114.36	332.14	181.28	193.01	287.01	414.87	195.72	258.57	297.17	283.05	297.17	146.03	127.89	220.32	256.78	176.29	157.68	206.94	194.36	490.14	291.04	159.9	309.83	363.56	209.84	194.36	185.11	291.04	155.5	283.05	305.55	218.79	264.03	189.02	193.01	148.09	145.02	195.72	341.51	149.12	202.66	371.22	232.94	167.9	214.27	325.29	226.54	273.37	392.44	88.26	309.83	224.97	295.11	285.03	163.28	368.65	208.38	447.82	271.48	575.03	208.38	202.66	236.21	285.03	435.55	285.03	289.02	217.27	148.09	177.53	346.29	157.68	251.48	147.06	229.72	211.31	470.14	186.4	218.79	293.07	218.79	223.41	368.65	336.79	239.52	325.29	215.77	414.87	256.78	361.04	318.57	356.05	262.2	246.28	190.34	255.0	138.1	189.02
PPP1R12A	94.67	285.03	220.32	277.2	329.84	314.17	279.14	348.71	336.79	307.69	387.02	373.81	387.02	353.59	256.78	624.99	392.44	460.44	273.37	669.92	223.41	507.46	336.79	348.71	466.88	603.67	384.34	454.09	567.1	603.67	460.44	514.56	295.11	336.79	426.57	255.0	351.14	316.37	417.77	934.76	547.75	371.22	733.19	629.35	356.05	297.17	444.72	423.61	197.09	555.41	420.68	329.84	493.56	583.07	307.69	267.73	295.11	497.0	583.07	277.2	397.93	616.37	518.15	341.51	392.44	536.45	507.46	503.95	647.07	356.05	379.04	480.04	423.61	480.04	332.14	579.04	470.14	1167.14	518.15	842.36	389.72	301.33	444.72	480.04	842.36	547.75	483.38	353.59	287.01	341.51	688.78	414.87	543.96	348.71	426.57	384.34	1111.82	532.74	470.14	463.65	381.68	356.05	703.28	575.03	463.65	454.09	334.46	656.11	426.57	647.07	563.18	473.41	376.41	587.13	314.17	368.65	301.33	363.56
PRDM11	31.9	91.41	36.01	40.93	68.55	63.45	57.89	80.57	78.89	89.51	100.13	86.43	81.71	87.65	83.45	130.6	95.34	154.42	78.34	157.68	63.0	90.14	101.54	81.71	87.03	120.94	75.11	88.88	90.77	136.19	108.14	105.15	64.34	81.71	88.26	100.83	85.82	104.42	78.89	142.01	165.57	72.01	115.16	124.37	84.04	85.82	76.17	99.43	70.01	102.25	105.15	92.05	86.43	55.1	127.89	57.89	69.52	78.34	139.07	63.89	102.97	104.42	169.07	84.63	95.34	85.82	84.04	133.36	124.37	94.67	65.72	91.41	123.5	106.63	78.89	135.24	100.83	127.0	111.21	150.17	84.04	59.55	108.9	119.26	195.72	139.07	100.13	76.71	74.06	74.58	125.24	73.54	120.94	71.5	91.41	67.12	182.55	60.82	116.78	141.02	99.43	77.25	156.59	131.51	121.79	153.34	49.21	149.12	111.21	148.09	123.5	91.41	98.73	127.0	45.85	60.39	85.82	77.25
QSER1	21.63	74.06	55.1	63.89	108.14	66.65	82.87	84.63	133.36	59.55	113.56	114.36	122.64	83.45	99.43	180.02	120.94	165.57	94.01	140.04	47.17	138.1	106.63	102.97	108.14	194.36	127.0	161.02	202.66	186.4	130.6	136.19	77.25	97.36	126.12	100.83	128.79	103.69	147.06	211.31	204.07	117.6	140.04	161.02	82.87	108.9	107.38	140.04	78.89	163.28	124.37	127.89	116.78	127.0	100.13	71.5	111.99	83.45	206.94	78.89	164.42	241.19	169.07	103.69	103.69	128.79	104.42	151.22	212.78	94.67	102.97	100.13	167.9	157.68	106.63	201.25	107.38	237.86	157.68	198.47	105.15	91.41	163.28	171.45	236.21	147.06	131.51	123.5	87.65	100.83	145.02	133.36	106.63	90.14	142.01	92.7	256.78	139.07	172.65	138.1	124.37	113.56	159.9	152.28	129.69	191.67	86.43	224.97	104.42	193.01	229.72	118.43	122.64	177.53	73.03	132.44	83.45	112.77
RANBP2	55.1	154.42	285.03	126.12	376.41	127.0	212.78	267.73	358.54	175.07	299.25	307.69	327.56	277.2	234.57	473.41	343.89	447.82	232.94	438.59	180.02	373.81	299.25	289.02	305.55	493.56	289.02	368.65	483.38	511.0	348.71	379.04	224.97	273.37	314.17	223.41	273.37	267.73	295.11	555.41	532.74	301.33	361.04	384.34	329.84	291.04	262.2	336.79	237.86	429.54	351.14	307.69	339.14	346.29	312.0	218.79	320.8	312.0	480.04	215.77	395.18	532.74	454.09	260.38	312.0	332.14	312.0	454.09	612.11	281.09	275.28	293.07	339.14	397.93	281.09	497.0	316.37	587.13	381.68	669.92	283.05	221.86	361.04	444.72	660.68	457.25	329.84	307.69	239.52	231.32	356.05	279.14	334.46	260.38	289.02	271.48	651.58	348.71	500.46	412.0	318.57	287.01	476.71	423.61	387.02	435.55	224.97	571.05	253.23	607.87	457.25	318.57	336.79	567.1	193.01	307.69	260.38	329.84
RASAL2	15.45	53.57	63.89	76.71	105.15	71.0	66.18	85.82	83.45	76.17	99.43	173.85	148.09	152.28	121.79	140.04	232.94	169.07	128.79	351.14	117.6	185.11	122.64	140.04	164.42	285.03	118.43	153.34	258.57	156.59	172.65	103.69	96.68	137.14	187.71	87.65	108.9	161.02	161.02	289.02	204.07	146.03	202.66	187.71	155.5	119.26	96.68	185.11	87.03	169.07	190.34	170.25	191.67	159.9	128.79	177.53	70.01	201.25	228.13	164.42	140.04	283.05	185.11	130.6	114.36	193.01	232.94	194.36	201.25	112.77	190.34	129.69	155.5	164.42	135.24	220.32	136.19	248.0	226.54	249.73	171.45	142.01	129.69	189.02	297.17	239.52	166.73	183.82	146.03	106.63	224.97	82.87	206.94	120.94	156.59	209.84	366.09	229.72	157.68	237.86	178.77	149.12	171.45	190.34	185.11	237.86	142.01	231.32	134.3	262.2	144.01	199.85	134.3	232.94	138.1	133.36	114.36	96.68
RBFOX2	71.0	441.64	283.05	351.14	1008.9	547.75	579.04	514.56	571.05	603.67	563.18	579.04	514.56	412.0	532.74	718.08	575.03	842.36	532.74	780.44	435.55	769.69	567.1	412.0	571.05	854.13	480.04	684.02	713.11	728.11	679.29	679.29	454.09	543.96	587.13	551.56	400.71	514.56	708.18	1104.13	921.88	529.06	738.29	896.64	642.59	559.28	384.34	571.05	435.55	693.58	599.49	521.76	674.59	651.58	587.13	400.71	400.71	329.84	836.53	463.65	633.73	836.53	718.08	521.76	463.65	633.73	486.75	688.78	878.17	432.53	493.56	389.72	665.29	470.14	392.44	866.07	529.06	842.36	688.78	1001.93	525.39	540.19	575.03	684.02	967.76	669.92	559.28	470.14	392.44	438.59	620.67	351.14	529.06	493.56	708.18	563.18	1073.91	559.28	713.11	743.43	595.34	493.56	743.43	819.3	551.56	825.0	575.03	802.41	769.69	928.3	860.08	728.11	555.41	688.78	305.55	595.34	303.44	493.56
RBM27	75.64	104.42	145.02	107.38	170.25	130.6	134.3	139.07	190.34	116.78	120.1	135.24	173.85	115.16	117.6	229.72	158.79	189.02	109.66	165.57	88.26	177.53	111.21	128.79	159.9	212.78	162.14	197.09	226.54	232.94	194.36	161.02	108.9	111.99	161.02	106.63	159.9	102.25	172.65	215.77	237.86	136.19	185.11	173.85	118.43	120.1	148.09	169.07	93.35	181.28	131.51	153.34	151.22	172.65	133.36	96.01	106.63	133.36	236.21	102.25	171.45	258.57	205.5	116.78	128.79	137.14	132.44	180.02	208.38	138.1	135.24	142.01	156.59	169.07	128.79	244.57	144.01	218.79	183.82	231.32	134.3	119.26	170.25	189.02	253.23	226.54	139.07	141.02	115.97	124.37	178.77	153.34	115.97	114.36	163.28	127.0	249.73	161.02	199.85	158.79	137.14	134.3	209.84	161.02	164.42	183.82	111.99	237.86	120.1	232.94	214.27	132.44	151.22	221.86	104.42	141.02	111.99	145.02
REST	53.57	108.14	162.14	109.66	186.4	108.14	114.36	148.09	134.3	190.34	183.82	182.55	209.84	146.03	155.5	297.17	204.07	277.2	129.69	258.57	99.43	239.52	148.09	214.27	182.55	295.11	195.72	249.73	316.37	318.57	291.04	218.79	117.6	162.14	193.01	166.73	221.86	138.1	217.27	279.14	346.29	191.67	201.25	228.13	120.1	173.85	197.09	223.41	114.36	262.2	201.25	217.27	199.85	197.09	173.85	116.78	142.01	171.45	309.83	111.99	201.25	309.83	299.25	150.17	175.07	198.47	197.09	251.48	293.07	205.5	182.55	187.71	256.78	244.57	149.12	303.44	183.82	239.52	314.17	301.33	185.11	131.51	215.77	226.54	318.57	299.25	185.11	172.65	127.0	162.14	244.57	231.32	129.69	169.07	208.38	169.07	312.0	209.84	299.25	237.86	169.07	163.28	295.11	224.97	242.88	224.97	123.5	299.25	173.85	346.29	329.84	169.07	190.34	262.2	131.51	164.42	167.9	194.36
RFX7	12.27	40.64	59.13	59.97	80.01	45.21	37.59	52.82	81.71	80.57	68.55	86.43	83.45	56.28	68.55	145.02	80.01	99.43	54.33	118.43	31.22	94.01	65.26	77.79	73.03	96.68	75.64	81.71	107.38	132.44	99.43	90.77	42.71	57.89	98.04	46.18	75.64	63.45	88.88	177.53	108.9	85.22	94.67	94.67	44.89	69.03	82.29	80.57	43.63	108.9	100.13	74.58	78.89	105.89	72.52	51.71	45.21	81.71	120.1	50.27	82.87	146.03	112.77	58.71	70.01	94.01	88.26	89.51	127.0	68.07	75.11	87.65	78.34	112.77	66.18	113.56	83.45	115.97	126.12	169.07	75.11	49.21	76.17	107.38	151.22	111.21	73.54	83.45	48.87	43.63	118.43	84.63	54.72	65.26	85.82	89.51	164.42	77.79	91.41	96.01	78.34	75.11	120.1	97.36	79.45	102.25	56.68	114.36	55.89	124.37	142.01	70.01	73.54	124.37	43.94	62.12	75.64	74.58
RNF169	11.91	52.45	49.21	36.53	70.01	55.49	66.65	69.52	84.04	31.67	55.49	60.39	79.45	39.79	43.32	128.79	69.52	117.6	45.53	88.88	50.98	92.05	47.17	56.68	74.06	122.64	63.89	98.73	125.24	130.6	100.13	90.14	44.25	42.11	57.49	50.27	63.45	43.32	87.65	139.07	143.01	72.52	98.04	95.34	35.0	64.8	71.0	81.14	28.45	110.43	73.54	76.71	88.26	70.51	72.01	28.45	42.41	50.98	143.01	32.82	95.34	134.3	127.89	44.89	63.0	65.72	64.8	89.51	128.79	57.89	43.02	61.25	75.11	93.35	49.91	150.17	73.03	145.02	98.04	136.19	55.1	38.95	80.01	127.0	162.14	110.43	83.45	62.56	41.52	36.27	98.73	78.89	43.02	48.87	83.45	53.95	164.42	90.14	97.36	84.04	63.45	56.68	104.42	81.71	77.25	105.15	45.21	153.34	57.89	147.06	128.79	59.55	65.72	136.19	33.06	39.22	43.63	68.55
RNF217	12.45	132.44	51.35	82.29	108.14	91.41	163.28	111.21	463.65	71.5	135.24	136.19	139.07	133.36	123.5	232.94	131.51	157.68	111.21	197.09	98.73	251.48	153.34	176.29	242.88	226.54	121.79	158.79	167.9	231.32	205.5	189.02	118.43	172.65	161.02	115.16	127.89	146.03	206.94	228.13	156.59	100.83	125.24	226.54	139.07	154.42	139.07	166.73	60.39	173.85	177.53	163.28	244.57	135.24	117.6	117.6	82.87	185.11	256.78	118.43	165.57	228.13	186.4	121.79	223.41	172.65	181.28	142.01	244.57	124.37	277.2	112.77	138.1	273.37	119.26	255.0	187.71	232.94	229.72	297.17	133.36	119.26	137.14	161.02	226.54	248.0	269.6	112.77	96.01	110.43	234.57	162.14	241.19	161.02	191.67	206.94	305.55	182.55	170.25	241.19	145.02	138.1	175.07	177.53	171.45	134.3	118.43	177.53	214.27	239.52	320.8	194.36	158.79	176.29	88.88	84.63	117.6	137.14
ROCK1	56.28	177.53	183.82	138.1	231.32	209.84	202.66	258.57	351.14	186.4	279.14	281.09	305.55	198.47	206.94	403.5	301.33	348.71	202.66	395.18	143.01	384.34	239.52	214.27	314.17	480.04	287.01	346.29	486.75	429.54	289.02	381.68	206.94	242.88	320.8	173.85	163.28	251.48	316.37	480.04	620.67	303.44	283.05	379.04	255.0	218.79	277.2	279.14	156.59	358.54	339.14	287.01	323.03	392.44	249.73	158.79	183.82	234.57	490.14	197.09	373.81	532.74	389.72	265.87	253.23	381.68	341.51	454.09	447.82	267.73	205.5	316.37	295.11	339.14	251.48	483.38	305.55	529.06	353.59	521.76	277.2	271.48	412.0	414.87	511.0	392.44	395.18	301.33	251.48	249.73	429.54	320.8	295.11	239.52	287.01	246.28	665.29	371.22	483.38	353.59	307.69	255.0	414.87	457.25	371.22	406.31	244.57	540.19	325.29	521.76	373.81	318.57	264.03	483.38	195.72	376.41	214.27	260.38
SETD2	33.06	124.37	242.88	201.25	334.46	172.65	287.01	353.59	381.68	182.55	371.22	366.09	429.54	334.46	260.38	547.75	368.65	483.38	283.05	480.04	289.02	460.44	368.65	327.56	376.41	503.95	414.87	454.09	514.56	518.15	409.15	420.68	279.14	293.07	389.72	295.11	339.14	332.14	454.09	536.45	575.03	389.72	470.14	518.15	299.25	346.29	406.31	406.31	260.38	507.46	392.44	387.02	409.15	389.72	351.14	265.87	265.87	379.04	525.39	279.14	426.57	540.19	476.71	320.8	353.59	429.54	363.56	447.82	540.19	334.46	381.68	368.65	426.57	483.38	341.51	559.28	447.82	579.04	460.44	567.1	373.81	297.17	423.61	514.56	555.41	486.75	414.87	363.56	279.14	341.51	500.46	348.71	376.41	371.22	460.44	358.54	591.22	363.56	409.15	420.68	381.68	363.56	547.75	438.59	389.72	493.56	327.56	567.1	376.41	507.46	551.56	387.02	417.77	507.46	295.11	366.09	361.04	389.72
SHPRH	12.64	36.01	18.84	21.94	57.49	81.71	46.84	42.41	69.52	18.29	41.22	35.76	48.87	37.59	27.84	80.57	53.57	80.01	27.05	88.88	14.45	76.71	43.02	43.63	62.12	82.29	45.85	57.49	75.11	98.73	64.8	55.1	28.86	28.65	57.08	29.27	39.79	35.0	61.68	84.63	94.67	48.87	71.5	84.04	30.56	36.01	44.89	52.82	16.15	73.03	54.72	42.41	64.34	51.71	43.94	18.56	24.63	39.22	100.13	21.94	57.49	86.43	76.71	38.12	48.18	71.5	47.5	69.52	88.88	35.0	39.79	44.89	65.72	70.01	26.86	91.41	66.18	83.45	65.26	89.51	44.25	28.45	74.58	78.89	105.89	80.01	65.26	44.57	27.64	38.67	74.06	48.87	56.68	25.72	60.39	52.08	133.36	62.56	58.3	79.45	63.0	43.94	108.9	77.25	71.5	68.55	29.27	92.7	50.27	100.83	92.7	50.98	49.56	91.41	44.89	46.5	31.45	53.95
SNTB2	59.55	74.58	108.14	74.06	118.43	98.73	68.55	116.78	51.71	152.28	163.28	172.65	211.31	145.02	110.43	211.31	163.28	189.02	108.14	260.38	106.63	223.41	156.59	143.01	206.94	267.73	193.01	165.57	220.32	264.03	177.53	178.77	175.07	111.99	162.14	129.69	145.02	176.29	180.02	202.66	271.48	215.77	190.34	221.86	130.6	146.03	201.25	193.01	120.94	189.02	153.34	211.31	217.27	217.27	136.19	105.89	163.28	194.36	217.27	146.03	236.21	208.38	211.31	133.36	183.82	175.07	169.07	172.65	221.86	98.04	217.27	183.82	148.09	181.28	164.42	209.84	204.07	224.97	212.78	167.9	155.5	126.12	209.84	260.38	204.07	248.0	197.09	193.01	125.24	150.17	236.21	223.41	212.78	170.25	182.55	178.77	255.0	208.38	202.66	201.25	167.9	186.4	253.23	185.11	175.07	214.27	155.5	287.01	194.36	212.78	291.04	151.22	195.72	303.44	164.42	159.9	147.06	173.85
SOS1	15.91	91.41	172.65	121.79	202.66	74.58	136.19	163.28	176.29	246.28	154.42	180.02	208.38	161.02	138.1	351.14	178.77	262.2	126.12	293.07	142.01	283.05	198.47	162.14	220.32	285.03	205.5	221.86	246.28	305.55	265.87	217.27	114.36	175.07	228.13	131.51	193.01	163.28	226.54	420.68	295.11	195.72	291.04	256.78	191.67	152.28	165.57	206.94	110.43	264.03	191.67	186.4	218.79	318.57	158.79	126.12	146.03	258.57	325.29	148.09	206.94	314.17	271.48	147.06	189.02	269.6	209.84	228.13	314.17	154.42	190.34	237.86	201.25	332.14	165.57	320.8	189.02	444.72	267.73	336.79	177.53	118.43	205.5	241.19	353.59	339.14	209.84	199.85	124.37	153.34	269.6	202.66	236.21	170.25	220.32	206.94	406.31	194.36	244.57	234.57	170.25	181.28	277.2	232.94	215.77	262.2	140.04	314.17	199.85	318.57	265.87	215.77	201.25	295.11	159.9	154.42	189.02	181.28
STAG1	19.53	97.36	130.6	78.34	163.28	123.5	120.94	154.42	223.41	110.43	193.01	166.73	201.25	171.45	114.36	332.14	195.72	303.44	154.42	221.86	131.51	234.57	158.79	166.73	242.88	332.14	211.31	285.03	309.83	305.55	273.37	301.33	133.36	144.01	202.66	150.17	201.25	143.01	237.86	281.09	287.01	162.14	231.32	283.05	142.01	185.11	209.84	258.57	115.97	299.25	161.02	275.28	226.54	198.47	182.55	104.42	116.78	169.07	327.56	120.94	201.25	343.89	262.2	170.25	190.34	194.36	201.25	234.57	281.09	191.67	164.42	193.01	223.41	281.09	159.9	301.33	231.32	283.05	255.0	318.57	189.02	165.57	206.94	256.78	307.69	293.07	231.32	169.07	128.79	157.68	275.28	187.71	169.07	135.24	260.38	150.17	403.5	183.82	244.57	262.2	195.72	169.07	307.69	241.19	215.77	226.54	157.68	305.55	194.36	293.07	323.03	178.77	215.77	293.07	109.66	143.01	170.25	217.27
STXBP5	12.74	54.72	32.82	30.56	49.91	62.56	65.26	64.34	71.0	62.12	59.97	65.72	92.05	43.94	69.52	163.28	88.88	104.42	62.12	111.21	48.87	94.67	81.71	58.3	63.89	124.37	74.06	79.45	108.14	129.69	81.14	69.03	55.89	56.28	104.42	42.71	66.18	58.71	61.25	169.07	105.15	63.89	94.67	100.83	52.45	55.49	71.0	84.04	51.35	94.67	112.77	57.49	92.7	100.83	90.77	44.89	48.87	61.68	122.64	38.4	87.03	133.36	102.25	61.25	80.01	104.42	73.03	93.35	117.6	73.03	66.18	67.59	73.54	96.01	53.57	133.36	102.97	156.59	122.64	170.25	61.25	49.91	90.77	111.21	149.12	102.25	86.43	86.43	42.41	50.27	119.26	50.27	62.12	65.72	80.57	52.45	142.01	87.03	80.01	102.97	85.82	72.52	119.26	95.34	81.71	106.63	55.1	138.1	64.8	154.42	112.77	76.71	74.06	145.02	53.57	67.59	59.13	68.07
TAF1	15.11	173.85	211.31	138.1	281.09	157.68	223.41	269.6	309.83	127.89	273.37	271.48	301.33	173.85	172.65	486.75	253.23	329.84	182.55	353.59	171.45	312.0	232.94	190.34	202.66	358.54	236.21	299.25	343.89	381.68	291.04	289.02	190.34	212.78	283.05	197.09	198.47	241.19	258.57	486.75	466.88	281.09	381.68	363.56	182.55	215.77	248.0	205.5	163.28	366.09	269.6	202.66	273.37	221.86	273.37	178.77	176.29	185.11	373.81	166.73	332.14	379.04	381.68	231.32	253.23	283.05	226.54	343.89	387.02	244.57	215.77	201.25	318.57	361.04	201.25	470.14	341.51	353.59	343.89	490.14	267.73	197.09	332.14	412.0	543.96	323.03	279.14	236.21	166.73	193.01	351.14	267.73	208.38	191.67	277.2	248.0	483.38	327.56	351.14	277.2	307.69	187.71	409.15	400.71	316.37	426.57	191.67	529.06	260.38	441.64	444.72	255.0	244.57	457.25	155.5	279.14	208.38	255.0
TAOK1	45.85	113.56	170.25	106.63	153.34	120.1	83.45	145.02	144.01	126.12	154.42	202.66	215.77	155.5	150.17	273.37	228.13	229.72	163.28	258.57	126.12	215.77	148.09	163.28	199.85	299.25	183.82	202.66	320.8	269.6	217.27	173.85	130.6	162.14	208.38	121.79	182.55	164.42	202.66	334.46	327.56	195.72	208.38	241.19	172.65	157.68	162.14	220.32	118.43	232.94	202.66	193.01	223.41	220.32	183.82	140.04	148.09	197.09	287.01	162.14	214.27	348.71	271.48	147.06	185.11	209.84	221.86	226.54	307.69	162.14	183.82	181.28	206.94	221.86	176.29	305.55	167.9	348.71	229.72	348.71	180.02	180.02	214.27	265.87	332.14	264.03	197.09	205.5	181.28	176.29	239.52	197.09	195.72	185.11	190.34	186.4	361.04	248.0	237.86	258.57	185.11	170.25	262.2	239.52	239.52	264.03	167.9	334.46	157.68	366.09	293.07	185.11	181.28	314.17	120.1	189.02	151.22	165.57
TCF12	229.72	303.44	327.56	299.25	395.18	392.44	253.23	279.14	361.04	406.31	336.79	397.93	371.22	307.69	329.84	571.05	426.57	583.07	323.03	540.19	297.17	511.0	297.17	358.54	438.59	583.07	403.5	525.39	669.92	633.73	603.67	457.25	314.17	320.8	473.41	262.2	389.72	312.0	473.41	647.07	579.04	346.29	536.45	518.15	303.44	327.56	438.59	460.44	226.54	497.0	414.87	447.82	447.82	583.07	387.02	285.03	248.0	389.72	651.58	287.01	392.44	607.87	525.39	303.44	429.54	417.77	441.64	483.38	543.96	384.34	417.77	395.18	395.18	507.46	327.56	612.11	417.77	620.67	642.59	638.15	341.51	373.81	435.55	536.45	607.87	638.15	414.87	356.05	277.2	366.09	575.03	366.09	334.46	323.03	417.77	409.15	759.08	409.15	480.04	486.75	432.53	361.04	514.56	444.72	412.0	633.73	332.14	638.15	400.71	583.07	665.29	392.44	379.04	547.75	253.23	309.83	281.09	381.68
