	GTEX.SE5C.1026.SM.4BRUG	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZT9W.2126.SM.51MSF	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.BJ.A0ZC.01A.12R.A13Y.07	TCGA.EM.A1CW.01A.21R.A13Y.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A3FL.01A.11R.A21D.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3T8.11A.11R.A22L.07	TCGA.EL.A3T3.11A.11R.A22L.07	TCGA.EL.A3ZR.11A.11R.A23N.07	TCGA.KS.A41L.11A.11R.A23N.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.EL.A3H1.11A.11R.A21D.07	TCGA.EL.A3T7.11A.21R.A22L.07	TCGA.KS.A41J.11A.12R.A23N.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.H2.A3RI.11A.11R.A220.07	TCGA.EM.A1CT.11A.11R.A13Y.07	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.ZZPU.1326.SM.5GZWS	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.11EM3.0126.SM.5985K	GTEX.11EQ9.0626.SM.5A5K1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.RN64.0626.SM.2TC5V	GTEX.131YS.0726.SM.5P9G9	GTEX.ZC5H.0626.SM.5LU9K	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.117YW.0126.SM.5EGGN	GTEX.XUW1.1026.SM.4BONY	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.13112.0326.SM.5P9IW	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.XBEW.0126.SM.4AT66	GTEX.13VXU.0826.SM.5KLZ2	GTEX.13O21.2226.SM.5MR3L
NAA40	190.34	0.0	54.33	77.25	409.15	417.77	271.48	279.14	260.38	409.15	343.89	334.46	412.0	291.04	309.83	265.87	473.41	497.0	493.56	665.29	674.59	371.22	555.41	587.13	503.95	595.34	563.18	412.0	624.99	426.57	454.09	500.46	633.73	563.18	420.68	733.19	483.38	323.03	327.56	518.15	486.75	423.61	447.82	607.87	490.14	409.15	420.68	409.15	642.59	500.46	414.87	532.74	647.07	551.56	500.46	454.09	444.72	521.76	775.05	312.0	703.28	536.45	420.68	620.67	389.72	483.38	536.45	392.44	483.38	780.44	497.0	435.55	341.51	728.11	346.29	529.06	332.14	460.44	384.34	703.28	551.56	521.76	629.35	441.64	638.15	684.02	444.72	532.74
NDST2	149.12	0.0	127.89	212.78	287.01	178.77	249.73	191.67	209.84	159.9	283.05	208.38	205.5	195.72	231.32	209.84	295.11	341.51	420.68	403.5	423.61	265.87	397.93	414.87	463.65	450.94	400.71	255.0	466.88	327.56	224.97	339.14	323.03	329.84	291.04	376.41	277.2	237.86	318.57	395.18	466.88	267.73	314.17	307.69	309.83	312.0	309.83	279.14	503.95	423.61	305.55	403.5	463.65	387.02	277.2	295.11	285.03	312.0	444.72	341.51	493.56	363.56	260.38	426.57	256.78	389.72	376.41	198.47	371.22	466.88	379.04	426.57	293.07	409.15	346.29	287.01	193.01	283.05	351.14	457.25	309.83	320.8	361.04	232.94	361.04	400.71	279.14	346.29
PAN2	293.07	0.0	67.59	64.8	981.29	974.5	738.29	493.56	624.99	1617.0	928.3	460.44	1721.16	665.29	665.29	902.89	2319.15	1733.13	2367.9	3018.3	2956.17	1529.73	2468.49	2555.58	2417.67	2090.03	2255.7	928.3	2976.74	1208.34	1199.98	819.3	2061.24	1896.65	1313.23	2609.3	1639.59	1233.75	698.41	1617.0	1977.24	1572.76	1277.29	2047.0	1143.1	1378.57	1487.87	1407.55	2997.45	1870.53	1963.57	2367.9	2451.44	3349.13	1733.13	2319.15	1498.22	2777.33	3039.3	1037.29	2555.58	1745.2	1331.57	2434.5	1268.46	1183.45	2119.22	1199.98	2591.27	2875.3	1447.15	1183.45	1008.9	2224.63	961.07	2178.83	872.1	1304.15	1322.37	2701.35	1697.45	2271.4	1794.29	1540.37	1709.26	2104.58	1388.16	1832.01
POGZ	514.56	366.09	80.01	85.82	819.3	909.17	507.46	368.65	406.31	669.92	642.59	583.07	708.18	536.45	638.15	327.56	1135.2	1088.92	1277.29	1350.18	1628.26	878.17	1467.37	1417.35	1167.14	1487.87	1388.16	830.75	1844.76	769.69	995.0	947.83	1216.75	941.27	860.08	1819.35	1030.12	967.76	796.86	1015.93	1015.93	830.75	791.35	842.36	743.43	954.43	988.12	1081.39	1417.35	967.76	1183.45	2367.9	1769.57	1819.35	1427.22	1051.79	1066.48	1250.98	1583.71	660.68	1617.0	1051.79	748.61	1350.18	1008.9	842.36	1216.75	571.05	825.0	2061.24	1104.13	796.86	669.92	1295.13	947.83	1001.93	395.18	988.12	603.67	1697.45	830.75	1008.9	1369.04	954.43	1286.18	1023.0	934.76	1088.92
RBM39	1909.85	3081.75	1030.12	1844.76	4358.66	4298.64	3103.19	2935.74	2303.12	4481.23	4450.27	2777.33	3794.3	3212.66	3124.78	2163.77	6745.86	6607.01	7331.05	8598.28	7537.18	5006.93	7280.4	7537.18	7180.15	5913.33	7280.4	4736.79	8305.36	4066.71	4543.8	5872.48	8191.0	5872.48	5112.16	8134.41	7130.55	4639.29	5594.3	5831.91	5913.33	5479.15	6337.83	5041.77	4388.98	4972.34	5219.6	6381.92	8134.41	5751.61	6079.61	7485.11	8134.41	8022.41	6652.97	4972.34	4704.07	8718.32	8658.09	4268.94	7537.18	6207.38	4704.07	8305.36	4268.94	5517.27	9151.82	4802.93	4802.93	7331.05	5255.91	5366.37	3768.09	7695.57	4671.57	4869.99	3614.55	5872.48	3614.55	7230.1	5711.87	7382.04	8247.98	4481.23	8778.97	6652.97	4328.55	5329.3
RBM5	791.35	0.0	265.87	406.31	2061.24	2018.8	1259.69	1199.98	1044.52	2004.85	1963.57	928.3	1697.45	1268.46	1313.23	1030.12	2485.67	2468.49	3639.7	3349.13	3690.52	2193.99	3168.41	3491.39	3303.0	2956.17	3419.52	1697.45	3982.99	1519.15	1519.15	2133.97	3349.13	2434.5	1857.6	2956.17	2701.35	1674.06	2104.58	2682.69	2935.74	1844.76	2609.3	2148.82	1733.13	1963.57	2335.28	2400.97	3395.89	2468.49	2591.27	3768.09	4010.71	3955.48	3168.41	2061.24	2119.22	3212.66	4419.52	1477.58	3742.05	2777.33	1794.29	4181.07	1923.14	2178.83	3280.18	1322.37	1844.76	3768.09	2664.15	2193.99	1487.87	3280.18	2061.24	2434.5	1674.06	2119.22	1551.09	3665.02	2104.58	2855.44	3039.3	2032.85	3146.52	3515.68	1583.71	2855.44
RNF214	281.09	0.0	191.67	226.54	441.64	346.29	397.93	334.46	312.0	353.59	339.14	287.01	435.55	285.03	314.17	320.8	575.03	454.09	629.35	493.56	616.37	417.77	612.11	480.04	497.0	490.14	438.59	361.04	583.07	403.5	441.64	409.15	536.45	473.41	476.71	624.99	540.19	409.15	336.79	518.15	595.34	361.04	397.93	490.14	432.53	476.71	490.14	450.94	713.11	493.56	540.19	507.46	559.28	624.99	460.44	460.44	366.09	629.35	633.73	417.77	555.41	450.94	466.88	500.46	435.55	483.38	563.18	497.0	412.0	540.19	483.38	414.87	384.34	490.14	312.0	507.46	384.34	480.04	417.77	612.11	486.75	429.54	555.41	441.64	547.75	587.13	397.93	476.71
RP11-295P9.3	69.52	0.0	3.79	22.75	194.36	295.11	108.14	132.44	152.28	379.04	265.87	159.9	332.14	129.69	166.73	70.01	387.02	307.69	438.59	525.39	521.76	295.11	532.74	583.07	406.31	514.56	514.56	173.85	500.46	161.02	177.53	275.28	507.46	346.29	158.79	457.25	665.29	148.09	209.84	309.83	493.56	279.14	325.29	241.19	232.94	217.27	249.73	260.38	444.72	212.78	295.11	486.75	441.64	483.38	182.55	397.93	201.25	463.65	579.04	201.25	470.14	384.34	339.14	480.04	164.42	197.09	441.64	190.34	432.53	688.78	275.28	165.57	127.89	356.05	287.01	253.23	193.01	258.57	246.28	426.57	232.94	339.14	466.88	194.36	397.93	438.59	169.07	323.03
SAFB	748.61	1250.98	432.53	947.83	1397.83	1143.1	974.5	909.17	1119.56	1015.93	1417.35	1304.15	1304.15	1208.34	1119.56	1295.13	1572.76	1540.37	1529.73	1697.45	1685.71	1350.18	1745.2	1794.29	2061.24	1508.65	1605.83	1447.15	1991.0	1143.1	1331.57	1437.15	1883.54	1540.37	1331.57	1832.01	1467.37	1233.75	1313.23	1819.35	1781.89	1242.34	1674.06	1605.83	1437.15	1268.46	1369.04	1540.37	2104.58	1594.73	1313.23	1844.76	1745.2	2193.99	1369.04	1407.55	1295.13	1628.26	1950.0	1350.18	1794.29	1583.71	1331.57	1844.76	1331.57	1359.57	1963.57	1023.0	1417.35	1977.24	1605.83	1529.73	1350.18	1832.01	1340.84	1457.23	1037.29	1487.87	1313.23	1883.54	1487.87	1477.58	1896.65	1322.37	1832.01	1745.2	1397.83	1628.26
SETD4	194.36	0.0	144.01	164.42	351.14	316.37	232.94	148.09	287.01	297.17	314.17	269.6	346.29	287.01	229.72	215.77	441.64	409.15	514.56	397.93	514.56	384.34	483.38	450.94	387.02	432.53	371.22	320.8	480.04	309.83	307.69	295.11	503.95	426.57	305.55	384.34	414.87	260.38	303.44	409.15	406.31	417.77	397.93	435.55	376.41	438.59	356.05	343.89	525.39	332.14	363.56	457.25	470.14	444.72	412.0	368.65	314.17	366.09	507.46	258.57	366.09	309.83	314.17	400.71	346.29	323.03	351.14	336.79	373.81	507.46	305.55	348.71	271.48	320.8	291.04	339.14	275.28	323.03	301.33	457.25	366.09	447.82	463.65	363.56	470.14	532.74	285.03	358.54
SETD5	384.34	624.99	190.34	265.87	854.13	848.22	540.19	473.41	387.02	583.07	540.19	543.96	785.88	638.15	540.19	273.37	915.51	934.76	1159.07	1030.12	1322.37	890.44	1233.75	1073.91	1295.13	1340.84	1059.11	830.75	1216.75	575.03	759.08	1023.0	961.07	1183.45	723.08	1508.65	1175.27	688.78	1135.2	1143.1	1350.18	884.29	848.22	1001.93	1104.13	713.11	825.0	981.29	1250.98	1030.12	713.11	981.29	981.29	1183.45	941.27	941.27	713.11	1001.93	1350.18	848.22	1529.73	1268.46	733.19	1119.56	543.96	1143.1	1143.1	571.05	1051.79	1199.98	1233.75	1127.35	642.59	1457.23	1135.2	1135.2	511.0	974.5	603.67	1216.75	1059.11	961.07	1051.79	674.59	780.44	1119.56	764.36	1104.13
SMARCC2	638.15	688.78	283.05	260.38	1096.5	1199.98	728.11	559.28	616.37	748.61	595.34	579.04	1015.93	753.83	866.07	616.37	1295.13	1233.75	1508.65	1467.37	1781.89	1151.06	1628.26	1407.55	1397.83	1617.0	1304.15	896.64	1794.29	780.44	1066.48	1199.98	1769.57	1467.37	1066.48	1685.71	1119.56	954.43	1008.9	1407.55	1477.58	802.41	1023.0	1487.87	1159.07	1001.93	1143.1	1183.45	1883.54	1286.18	1259.69	1447.15	1447.15	1733.13	1242.34	1151.06	974.5	1359.57	2032.85	981.29	1806.78	1427.22	842.36	1407.55	928.3	1437.15	1508.65	603.67	1175.27	1685.71	1519.15	1359.57	884.29	1487.87	860.08	1322.37	591.22	1250.98	947.83	1427.22	1519.15	1191.69	1233.75	825.0	1378.57	1561.89	1104.13	1286.18
SRSF6	759.08	1498.22	1143.1	928.3	2163.77	1950.0	1159.07	1447.15	1051.79	1991.0	2271.4	1583.71	2240.11	1268.46	1313.23	1081.39	2664.15	2739.08	3515.68	3303.0	2591.27	2682.69	3146.52	3103.19	3146.52	2417.67	2777.33	2816.11	3847.29	1936.53	2004.85	2271.4	3039.3	2520.38	2163.77	1832.01	2555.58	1991.0	1936.53	2664.15	2485.67	2935.74	2384.37	2664.15	2193.99	2004.85	2609.3	2796.65	3794.3	2915.45	2976.74	2875.3	3349.13	4972.34	2835.7	2796.65	2032.85	3146.52	4268.94	2178.83	2319.15	2956.17	2209.26	2664.15	1963.57	2133.97	3639.7	2956.17	3639.7	3060.45	2163.77	2090.03	2004.85	3303.0	2400.97	2224.63	1883.54	2777.33	2004.85	3716.2	3081.75	2777.33	3039.3	1963.57	3190.46	3303.0	2240.11	2520.38
STK36	206.94	0.0	39.79	60.82	536.45	612.11	351.14	368.65	327.56	733.19	624.99	457.25	890.44	307.69	466.88	379.04	954.43	738.29	866.07	1059.11	1151.06	555.41	1143.1	974.5	884.29	961.07	967.76	559.28	854.13	444.72	397.93	483.38	988.12	536.45	536.45	1143.1	579.04	703.28	291.04	656.11	934.76	684.02	642.59	915.51	674.59	454.09	842.36	728.11	1143.1	633.73	830.75	825.0	819.3	1151.06	753.83	753.83	480.04	1008.9	1295.13	490.14	1030.12	753.83	669.92	902.89	466.88	665.29	1008.9	819.3	521.76	866.07	500.46	532.74	599.49	1044.52	409.15	848.22	435.55	713.11	607.87	1183.45	718.08	878.17	909.17	536.45	866.07	1015.93	460.44	796.86
SYNGAP1	116.78	0.0	45.21	63.45	185.11	83.45	120.94	148.09	52.82	106.63	172.65	94.01	124.37	85.22	169.07	66.18	248.0	287.01	343.89	253.23	320.8	241.19	389.72	289.02	327.56	295.11	215.77	159.9	353.59	154.42	165.57	195.72	329.84	301.33	234.57	299.25	131.51	183.82	149.12	255.0	236.21	202.66	140.04	454.09	339.14	182.55	208.38	183.82	438.59	215.77	343.89	299.25	262.2	521.76	204.07	232.94	244.57	267.73	420.68	195.72	341.51	277.2	237.86	212.78	134.3	181.28	275.28	141.02	323.03	371.22	279.14	265.87	209.84	307.69	177.53	231.32	92.7	297.17	244.57	325.29	444.72	231.32	241.19	137.14	237.86	444.72	167.9	264.03
TG	49.91	0.0	15.8	5.02	691801.16	881742.8	602247.76	711250.37	610654.84	794671.01	794671.01	598087.73	778316.89	834179.46	531605.79	663619.99	828417.36	828417.36	682276.92	614902.29	938500.81	932018.1	789181.81	805764.22	794671.01	772940.66	869603.57	805764.22	1264380.15	1393227.06	2068278.89	2247670.86	906531.99	2126426.15	1751305.3	1273174.62	1503610.06	2375828.71	1611529.43	1070607.81	1739208.14	1634025.56	1131651.83	1838374.44	1997825.68	1535204.12	1984025.69	1273174.62	800198.39	1997825.68	1984025.69	894051.48	1355129.16	839981.65	2986448.72	2025714.3	2425749.94	845824.19	925580.18	1929772.37	906531.99	971597.0	1943195.01	1048575.0	1622738.51	1727194.55	1336472.68	2636147.11	2263304.65	1229805.58	1775752.63	2111737.85	1108362.75	1691649.38	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	659036.03	2263304.65	1282030.25	1535204.12	2672946.37	1864037.21	778316.89	1634025.56	1063212.58
TIA1	429.54	0.0	156.59	154.42	896.64	967.76	417.77	669.92	441.64	1127.35	759.08	518.15	842.36	486.75	780.44	329.84	1572.76	1183.45	1950.0	2090.03	1936.53	1081.39	1662.49	1896.65	1594.73	1651.0	1709.26	819.3	3639.7	669.92	1037.29	599.49	1628.26	1359.57	1044.52	2287.2	1457.23	1008.9	612.11	1015.93	1529.73	1159.07	981.29	1295.13	759.08	1030.12	1529.73	1397.83	2609.3	1295.13	1477.58	1447.15	2133.97	2451.44	1378.57	1216.75	796.86	2119.22	2664.15	842.36	2287.2	1175.27	688.78	1605.83	802.41	1066.48	1857.6	921.88	954.43	1909.85	1191.69	1073.91	748.61	2104.58	866.07	1651.0	551.56	1059.11	571.05	2119.22	1199.98	1508.65	1923.14	813.63	1259.69	1697.45	1015.93	1088.92
TMEM63A	205.5	473.41	90.77	120.94	325.29	327.56	214.27	220.32	175.07	281.09	246.28	314.17	275.28	223.41	246.28	139.07	507.46	466.88	656.11	684.02	759.08	395.18	555.41	660.68	738.29	665.29	555.41	285.03	587.13	460.44	318.57	339.14	591.22	466.88	409.15	872.1	351.14	358.54	273.37	540.19	567.1	231.32	368.65	819.3	371.22	457.25	387.02	507.46	599.49	417.77	595.34	708.18	961.07	974.5	583.07	444.72	483.38	503.95	934.76	291.04	738.29	540.19	334.46	759.08	397.93	392.44	507.46	194.36	356.05	728.11	389.72	426.57	303.44	665.29	305.55	463.65	189.02	285.03	371.22	638.15	379.04	490.14	579.04	476.71	518.15	748.61	379.04	473.41
TOP3A	152.28	0.0	180.02	119.26	275.28	217.27	194.36	217.27	176.29	211.31	223.41	215.77	195.72	202.66	208.38	183.82	248.0	283.05	214.27	277.2	320.8	220.32	279.14	297.17	343.89	329.84	248.0	241.19	397.93	214.27	218.79	209.84	253.23	198.47	212.78	334.46	271.48	177.53	234.57	287.01	277.2	228.13	260.38	307.69	209.84	224.97	299.25	269.6	307.69	289.02	309.83	307.69	262.2	301.33	218.79	260.38	264.03	336.79	273.37	190.34	316.37	269.6	237.86	295.11	236.21	232.94	329.84	194.36	260.38	237.86	215.77	260.38	205.5	262.2	275.28	248.0	204.07	226.54	183.82	329.84	231.32	314.17	299.25	299.25	220.32	348.71	191.67	273.37
TOP3B	118.43	0.0	67.59	116.78	273.37	277.2	199.85	157.68	220.32	265.87	248.0	137.14	271.48	195.72	208.38	173.85	329.84	301.33	303.44	361.04	329.84	231.32	329.84	248.0	486.75	323.03	409.15	237.86	358.54	215.77	197.09	241.19	346.29	318.57	195.72	387.02	309.83	197.09	167.9	387.02	275.28	248.0	255.0	341.51	255.0	232.94	209.84	283.05	348.71	253.23	277.2	341.51	414.87	497.0	249.73	368.65	260.38	351.14	381.68	214.27	376.41	432.53	236.21	351.14	258.57	265.87	358.54	231.32	327.56	521.76	221.86	226.54	265.87	341.51	251.48	295.11	228.13	249.73	258.57	381.68	303.44	285.03	327.56	221.86	363.56	371.22	220.32	314.17
TRIM52	166.73	0.0	18.03	23.42	346.29	309.83	221.86	211.31	194.36	218.79	236.21	177.53	283.05	269.6	279.14	244.57	536.45	457.25	503.95	583.07	698.41	395.18	521.76	529.06	493.56	525.39	540.19	341.51	825.0	275.28	312.0	356.05	540.19	417.77	373.81	571.05	551.56	307.69	336.79	414.87	543.96	392.44	329.84	353.59	279.14	366.09	406.31	426.57	583.07	381.68	406.31	748.61	633.73	587.13	363.56	432.53	397.93	651.58	529.06	255.0	825.0	470.14	275.28	447.82	343.89	307.69	555.41	264.03	358.54	748.61	438.59	358.54	255.0	441.64	316.37	426.57	256.78	381.68	283.05	620.67	323.03	497.0	460.44	358.54	466.88	555.41	297.17	397.93
TRMT10B	132.44	0.0	42.71	42.71	217.27	153.34	148.09	119.26	109.66	150.17	170.25	131.51	142.01	158.79	133.36	120.94	297.17	297.17	341.51	336.79	417.77	206.94	348.71	343.89	353.59	334.46	305.55	167.9	426.57	244.57	249.73	229.72	299.25	264.03	244.57	289.02	318.57	224.97	176.29	221.86	303.44	198.47	181.28	220.32	173.85	246.28	267.73	241.19	363.56	209.84	329.84	363.56	389.72	346.29	334.46	299.25	239.52	346.29	379.04	154.42	323.03	239.52	182.55	258.57	251.48	246.28	309.83	189.02	224.97	279.14	262.2	231.32	144.01	244.57	185.11	204.07	163.28	226.54	164.42	373.81	172.65	309.83	363.56	206.94	301.33	299.25	217.27	287.01
TTC31	299.25	0.0	136.19	82.87	376.41	316.37	325.29	253.23	180.02	373.81	273.37	236.21	339.14	253.23	291.04	190.34	403.5	351.14	435.55	497.0	536.45	312.0	423.61	486.75	447.82	490.14	441.64	291.04	532.74	255.0	318.57	293.07	551.56	400.71	336.79	466.88	312.0	232.94	244.57	400.71	438.59	309.83	343.89	406.31	320.8	329.84	379.04	314.17	536.45	320.8	435.55	511.0	616.37	603.67	373.81	356.05	346.29	384.34	629.35	299.25	497.0	389.72	301.33	444.72	299.25	389.72	409.15	314.17	336.79	587.13	316.37	291.04	275.28	447.82	341.51	332.14	209.84	348.71	301.33	493.56	361.04	435.55	555.41	329.84	389.72	473.41	275.28	368.65
UBN2	21.94	39.22	17.77	26.1	73.03	120.1	46.84	48.52	46.5	73.54	65.26	58.3	101.54	64.34	58.3	60.82	126.12	115.16	137.14	125.24	181.28	111.99	153.34	163.28	145.02	166.73	139.07	92.05	229.72	66.65	104.42	107.38	163.28	127.89	90.77	165.57	144.01	73.54	86.43	111.99	132.44	130.6	102.97	93.35	81.71	85.22	108.14	127.0	206.94	124.37	101.54	167.9	152.28	205.5	97.36	120.1	91.41	164.42	171.45	66.65	171.45	114.36	78.34	126.12	74.58	108.9	183.82	88.88	100.83	176.29	95.34	100.13	70.01	154.42	104.42	145.02	55.89	143.01	66.18	180.02	95.34	166.73	164.42	85.82	115.16	142.01	85.82	128.79
ZNF587	53.57	85.82	31.0	28.24	153.34	165.57	100.13	77.25	73.03	125.24	111.21	69.52	111.21	105.15	100.83	57.08	182.55	195.72	237.86	260.38	283.05	199.85	251.48	237.86	281.09	339.14	256.78	167.9	194.36	114.36	173.85	208.38	293.07	256.78	106.63	267.73	220.32	138.1	171.45	246.28	332.14	176.29	105.89	229.72	209.84	130.6	198.47	169.07	307.69	239.52	119.26	248.0	260.38	314.17	152.28	156.59	113.56	198.47	214.27	146.03	279.14	224.97	130.6	153.34	148.09	158.79	295.11	212.78	229.72	283.05	187.71	181.28	125.24	143.01	211.31	208.38	101.54	169.07	151.22	237.86	149.12	152.28	234.57	137.14	118.43	256.78	187.71	265.87
