	TCGA.5N.A9KI.01A.31R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.AA.A01P.01A.21R.A083.07	TCGA.CM.6171.01A.11R.1653.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GL.01A.12R.A37I.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PX3G.0826.SM.48TZS	GTEX.1497J.0726.SM.5Q5D1	GTEX.14753.1626.SM.5NQ9L	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.CG.4466.01A.01R.1157.13	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.FP.A9TM.01A.11R.A39E.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	GTEX.WHPG.0426.SM.4M1XW	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5
PTAR1	165.57	99.43	162.14	237.86	325.29	144.01	400.71	269.6	371.22	295.11	145.02	507.46	173.85	217.27	237.86	58.71	93.35	67.12	67.59	76.17	61.68	67.12	82.29	80.57	59.13	53.95	111.99	72.01	220.32	98.73	224.97	226.54	246.28	567.1	819.3	177.53	170.25	361.04	234.57	145.02	109.66	223.41	158.79	82.87	148.09	154.42
PTPN12	713.11	1175.27	738.29	1437.15	1104.13	1508.65	1561.89	1008.9	1697.45	1896.65	1295.13	1487.87	1844.76	2335.28	1936.53	177.53	301.33	303.44	403.5	149.12	166.73	221.86	356.05	414.87	105.15	170.25	563.18	153.34	738.29	426.57	2720.15	1208.34	1963.57	1081.39	2384.37	1208.34	1119.56	1388.16	1977.24	688.78	836.53	2591.27	507.46	473.41	454.09	432.53
QSOX2	98.04	39.22	76.17	84.63	119.26	277.2	651.58	309.83	277.2	373.81	285.03	409.15	323.03	218.79	197.09	157.68	85.22	129.69	103.69	81.71	115.97	94.67	94.01	94.01	73.54	31.9	65.72	30.78	109.66	267.73	176.29	137.14	373.81	1208.34	587.13	473.41	348.71	368.65	316.37	159.9	258.57	381.68	96.01	120.1	113.56	88.88
RAB28	195.72	117.6	356.05	289.02	387.02	373.81	348.71	287.01	387.02	234.57	152.28	429.54	291.04	356.05	265.87	187.71	118.43	112.77	127.0	80.01	54.72	107.38	136.19	121.79	118.43	92.7	186.4	92.7	199.85	171.45	299.25	309.83	420.68	1059.11	323.03	295.11	307.69	432.53	244.57	181.28	325.29	242.88	341.51	204.07	234.57	218.79
RASA2	93.35	191.67	141.02	232.94	237.86	130.6	180.02	173.85	277.2	285.03	121.79	217.27	194.36	260.38	190.34	19.53	42.11	24.99	48.87	27.84	43.32	30.12	37.32	28.24	18.43	32.13	46.5	36.01	176.29	65.26	177.53	119.26	169.07	191.67	166.73	111.21	189.02	312.0	146.03	85.82	118.43	138.1	111.99	102.25	90.14	85.82
RBM12B	27.05	50.63	71.5	115.16	146.03	106.63	176.29	202.66	239.52	231.32	144.01	224.97	142.01	100.13	153.34	29.48	22.92	33.54	23.25	18.43	29.91	16.51	41.52	32.82	17.25	16.88	45.85	19.82	138.1	111.99	159.9	116.78	218.79	366.09	191.67	145.02	167.9	262.2	171.45	51.71	159.9	260.38	111.21	54.33	132.44	92.7
RBM26	283.05	366.09	551.56	587.13	693.58	514.56	896.64	571.05	808.0	620.67	483.38	854.13	665.29	525.39	403.5	34.51	204.07	159.9	175.07	136.19	121.79	135.24	190.34	154.42	31.9	152.28	125.24	42.41	339.14	473.41	759.08	426.57	1199.98	1388.16	974.5	579.04	1044.52	866.07	723.08	229.72	688.78	651.58	329.84	301.33	417.77	358.54
RGPD6	108.14	36.53	164.42	301.33	406.31	193.01	708.18	248.0	237.86	343.89	129.69	463.65	237.86	255.0	283.05	30.56	45.21	81.71	49.56	59.55	40.64	63.89	63.45	58.71	6.06	80.57	76.71	43.63	163.28	78.89	289.02	212.78	376.41	262.2	444.72	156.59	435.55	607.87	212.78	82.87	320.8	316.37	89.51	208.38	58.3	102.25
RIF1	83.45	55.49	86.43	95.34	190.34	152.28	253.23	201.25	236.21	239.52	159.9	371.22	197.09	189.02	170.25	8.51	52.45	33.78	45.85	38.95	37.59	37.85	45.21	40.64	14.03	36.53	73.54	21.16	137.14	137.14	212.78	172.65	323.03	346.29	470.14	287.01	267.73	384.34	264.03	94.01	185.11	208.38	73.03	107.38	122.64	64.34
RNF34	414.87	387.02	503.95	353.59	647.07	785.88	941.27	607.87	525.39	769.69	638.15	961.07	642.59	647.07	679.29	297.17	291.04	297.17	346.29	285.03	127.89	221.86	325.29	395.18	127.0	260.38	339.14	71.0	429.54	480.04	400.71	463.65	753.83	954.43	974.5	486.75	599.49	813.63	884.29	612.11	595.34	764.36	629.35	514.56	813.63	511.0
ROCK2	148.09	101.54	154.42	234.57	320.8	297.17	486.75	490.14	1073.91	642.59	323.03	258.57	796.86	409.15	251.48	18.84	112.77	83.45	111.99	108.9	116.78	228.13	112.77	111.99	31.45	63.45	115.97	55.89	356.05	267.73	239.52	251.48	379.04	267.73	490.14	356.05	438.59	559.28	358.54	246.28	204.07	718.08	148.09	187.71	145.02	199.85
RPGR	38.95	33.06	155.5	353.59	295.11	121.79	540.19	190.34	295.11	426.57	165.57	432.53	285.03	256.78	327.56	23.59	102.25	56.68	87.65	22.92	77.25	148.09	77.25	61.68	24.81	22.92	105.89	55.49	115.97	98.73	291.04	178.77	217.27	303.44	373.81	248.0	348.71	395.18	303.44	177.53	269.6	343.89	94.01	97.36	98.04	183.82
SCLT1	74.06	108.14	134.3	78.34	55.1	143.01	137.14	123.5	138.1	119.26	64.34	299.25	88.26	105.15	84.04	15.56	27.64	22.43	20.11	38.4	24.63	33.78	32.59	55.89	9.63	35.76	66.18	32.13	78.34	55.89	176.29	87.03	166.73	163.28	159.9	84.63	132.44	178.77	105.89	74.06	177.53	125.24	181.28	85.22	122.64	70.01
SIRT1	134.3	75.64	271.48	432.53	480.04	202.66	314.17	217.27	150.17	173.85	111.99	291.04	82.29	303.44	142.01	80.01	61.68	46.84	99.43	90.77	122.64	127.89	125.24	94.01	122.64	156.59	78.89	180.02	217.27	105.89	199.85	157.68	325.29	255.0	217.27	142.01	353.59	309.83	457.25	127.89	279.14	395.18	141.02	149.12	115.16	152.28
SMARCA5	500.46	395.18	295.11	371.22	540.19	563.18	738.29	366.09	684.02	521.76	320.8	884.29	1008.9	555.41	438.59	46.84	228.13	158.79	255.0	164.42	69.52	140.04	239.52	318.57	50.63	221.86	226.54	130.6	536.45	258.57	718.08	384.34	1135.2	536.45	1023.0	612.11	679.29	884.29	825.0	305.55	599.49	579.04	368.65	293.07	348.71	329.84
SMARCD1	583.07	656.11	511.0	791.35	1135.2	1015.93	1662.49	961.07	1001.93	1397.83	1073.91	1685.71	1583.71	915.51	1199.98	1030.12	555.41	507.46	633.73	387.02	241.19	371.22	567.1	612.11	208.38	379.04	457.25	126.12	1143.1	854.13	684.02	830.75	1457.23	1477.58	1216.75	624.99	1359.57	1427.22	1757.34	896.64	703.28	1066.48	854.13	1151.06	860.08	785.88
SP3	764.36	693.58	981.29	981.29	1551.09	656.11	1015.93	947.83	915.51	813.63	884.29	1135.2	854.13	884.29	743.43	135.24	346.29	153.34	289.02	239.52	173.85	176.29	309.83	231.32	155.5	384.34	228.13	277.2	633.73	733.19	579.04	748.61	1199.98	1242.34	934.76	884.29	941.27	909.17	684.02	366.09	454.09	583.07	406.31	438.59	518.15	406.31
SPRY1	480.04	583.07	1167.14	2255.7	2720.15	1769.57	1477.58	796.86	981.29	866.07	607.87	1295.13	825.0	616.37	1295.13	363.56	171.45	158.79	616.37	256.78	95.34	320.8	507.46	265.87	106.63	92.05	363.56	260.38	612.11	1519.15	1819.35	1896.65	1417.35	1551.09	813.63	1427.22	1199.98	1037.29	1639.59	753.83	1883.54	759.08	563.18	785.88	878.17	1023.0
SREK1	218.79	269.6	607.87	954.43	1081.39	780.44	1457.23	620.67	934.76	1030.12	368.65	1322.37	896.64	902.89	555.41	43.94	246.28	209.84	309.83	177.53	226.54	205.5	215.77	234.57	66.65	169.07	256.78	83.45	591.22	476.71	1674.06	961.07	934.76	1529.73	896.64	1059.11	813.63	1950.0	1233.75	785.88	1143.1	995.0	679.29	629.35	769.69	718.08
SRSF1	1277.29	1950.0	2148.82	2591.27	2520.38	3467.27	4095.0	3928.15	4066.71	3564.78	2915.45	4736.79	4066.71	2796.65	2367.9	884.29	1417.35	1233.75	1143.1	860.08	1233.75	1030.12	1467.37	1183.45	866.07	921.88	1135.2	551.56	2537.92	2178.83	3257.52	1417.35	3443.31	2627.46	4210.15	2502.97	3467.27	3325.99	3103.19	1733.13	2855.44	3280.18	1467.37	1757.34	2148.82	1806.78
SRSF10	884.29	764.36	796.86	1268.46	1540.37	1909.85	2627.46	1709.26	2047.0	1819.35	1977.24	3874.05	1844.76	1519.15	1350.18	346.29	665.29	733.19	738.29	723.08	521.76	463.65	665.29	688.78	514.56	503.95	493.56	483.38	1233.75	1359.57	3820.7	1487.87	2777.33	2682.69	2956.17	1923.14	2935.74	2664.15	1733.13	1151.06	1378.57	2520.38	941.27	1088.92	1015.93	1015.93
STAG1	152.28	171.45	269.6	327.56	493.56	223.41	379.04	232.94	316.37	332.14	265.87	320.8	223.41	253.23	217.27	50.63	80.57	59.13	76.17	46.84	92.05	53.95	90.77	90.14	54.72	103.69	69.03	64.34	228.13	105.89	226.54	218.79	441.64	389.72	248.0	226.54	327.56	387.02	327.56	127.0	256.78	171.45	172.65	178.77	191.67	159.9
TAOK1	117.6	208.38	171.45	239.52	242.88	193.01	260.38	305.55	239.52	325.29	112.77	341.51	209.84	320.8	241.19	38.12	69.03	42.71	74.58	64.8	106.63	62.56	79.45	74.06	28.65	71.0	98.73	46.18	202.66	102.25	264.03	236.21	303.44	426.57	392.44	190.34	305.55	336.79	334.46	103.69	224.97	325.29	165.57	125.24	155.5	165.57
TASP1	137.14	122.64	256.78	185.11	277.2	166.73	236.21	146.03	275.28	236.21	132.44	490.14	148.09	169.07	191.67	40.36	44.89	55.89	78.89	43.94	45.85	49.56	56.28	55.49	52.82	40.36	101.54	74.58	102.97	77.25	166.73	146.03	264.03	363.56	303.44	239.52	197.09	231.32	273.37	117.6	224.97	226.54	100.83	81.14	108.9	94.01
TIA1	525.39	295.11	457.25	2047.0	2018.8	1135.2	2090.03	1628.26	2240.11	1819.35	890.44	2485.67	1199.98	2400.97	896.64	93.35	283.05	281.09	289.02	262.2	193.01	265.87	224.97	287.01	108.14	226.54	183.82	149.12	775.05	638.15	1447.15	842.36	1991.0	3190.46	2163.77	1313.23	2240.11	3039.3	1923.14	497.0	1304.15	1709.26	825.0	473.41	928.3	743.43
TMEM170A	470.14	255.0	150.17	267.73	351.14	141.02	376.41	154.42	420.68	273.37	87.65	327.56	244.57	181.28	169.07	126.12	96.01	86.43	136.19	100.83	137.14	147.06	104.42	119.26	128.79	84.04	162.14	119.26	199.85	145.02	228.13	224.97	224.97	215.77	384.34	376.41	281.09	432.53	253.23	116.78	157.68	303.44	297.17	165.57	281.09	201.25
TMEM39A	500.46	165.57	211.31	265.87	567.1	381.68	780.44	669.92	587.13	490.14	299.25	500.46	343.89	316.37	358.54	237.86	120.94	88.26	155.5	108.9	132.44	153.34	165.57	167.9	128.79	94.67	120.1	134.3	289.02	432.53	454.09	334.46	785.88	713.11	896.64	511.0	583.07	426.57	483.38	351.14	356.05	417.77	423.61	309.83	389.72	432.53
TNRC6A	208.38	215.77	249.73	540.19	511.0	435.55	559.28	314.17	860.08	629.35	218.79	563.18	529.06	417.77	353.59	96.68	165.57	241.19	171.45	175.07	283.05	232.94	248.0	217.27	123.5	239.52	173.85	127.0	269.6	267.73	371.22	351.14	366.09	591.22	616.37	412.0	400.71	743.43	540.19	389.72	536.45	450.94	197.09	327.56	312.0	346.29
TRMT13	74.58	96.68	191.67	201.25	229.72	194.36	204.07	165.57	323.03	166.73	157.68	395.18	249.73	182.55	147.06	15.0	62.12	61.68	71.0	65.72	105.89	43.02	60.82	87.65	11.55	34.02	53.57	21.01	156.59	128.79	277.2	118.43	334.46	183.82	262.2	205.5	256.78	429.54	246.28	101.54	209.84	312.0	119.26	103.69	140.04	119.26
TTC17	775.05	571.05	780.44	1175.27	1313.23	921.88	2255.7	995.0	915.51	896.64	665.29	1104.13	633.73	769.69	616.37	217.27	679.29	616.37	540.19	500.46	660.68	633.73	612.11	525.39	371.22	567.1	595.34	368.65	854.13	551.56	1467.37	769.69	1081.39	2816.11	1407.55	915.51	1259.69	1757.34	1199.98	620.67	1508.65	1268.46	579.04	651.58	723.08	866.07
U2SURP	521.76	336.79	470.14	796.86	813.63	1159.07	1551.09	1540.37	1832.01	1733.13	988.12	2178.83	1467.37	1199.98	1151.06	29.48	403.5	279.14	341.51	289.02	289.02	253.23	285.03	269.6	61.25	249.73	260.38	113.56	819.3	575.03	2032.85	1135.2	1583.71	1427.22	1733.13	1806.78	1781.89	2133.97	1277.29	1119.56	1781.89	1242.34	624.99	503.95	529.06	529.06
UFM1	1250.98	466.88	872.1	1806.78	2193.99	1081.39	1540.37	1066.48	1519.15	1015.93	595.34	1286.18	1529.73	1051.79	1104.13	403.5	941.27	713.11	723.08	656.11	579.04	511.0	769.69	633.73	373.81	476.71	713.11	435.55	775.05	579.04	1467.37	1059.11	1685.71	2777.33	1277.29	1447.15	1794.29	1259.69	1008.9	915.51	1268.46	1628.26	748.61	848.22	679.29	660.68
VPS54	307.69	180.02	441.64	400.71	441.64	353.59	423.61	563.18	511.0	429.54	473.41	447.82	432.53	358.54	316.37	120.1	353.59	212.78	253.23	237.86	214.27	249.73	237.86	361.04	80.57	239.52	229.72	251.48	327.56	291.04	406.31	299.25	660.68	748.61	514.56	447.82	575.03	708.18	607.87	205.5	414.87	356.05	258.57	368.65	234.57	318.57
WDR47	60.82	836.53	299.25	134.3	251.48	95.34	218.79	169.07	138.1	106.63	155.5	166.73	92.05	177.53	152.28	70.01	22.26	23.25	31.9	21.16	29.48	24.46	26.28	33.78	19.25	19.68	47.17	7.82	209.84	50.27	85.22	137.14	100.83	136.19	98.04	90.14	91.41	96.01	142.01	65.72	71.0	128.79	88.26	96.68	112.77	94.67
WRN	53.57	46.5	108.14	144.01	128.79	100.13	232.94	98.73	162.14	255.0	81.14	221.86	170.25	85.22	102.97	13.93	32.82	25.35	25.91	17.25	10.55	22.26	24.46	34.26	21.01	49.91	25.72	15.34	61.68	50.98	185.11	142.01	162.14	248.0	429.54	162.14	187.71	460.44	346.29	44.89	138.1	54.72	55.1	107.38	84.04	69.03
ZBTB1	187.71	273.37	387.02	698.41	551.56	356.05	563.18	293.07	497.0	384.34	182.55	674.59	412.0	409.15	346.29	78.89	139.07	90.77	147.06	113.56	124.37	115.16	122.64	154.42	59.13	140.04	101.54	147.06	389.72	275.28	327.56	376.41	486.75	961.07	463.65	334.46	406.31	583.07	616.37	226.54	463.65	490.14	215.77	223.41	283.05	262.2
ZBTB11	74.58	157.68	150.17	166.73	215.77	173.85	224.97	175.07	275.28	248.0	131.51	269.6	180.02	195.72	166.73	13.72	69.03	55.49	76.71	56.28	64.8	53.57	67.59	74.58	23.25	39.5	63.89	31.0	187.71	109.66	172.65	149.12	182.55	305.55	253.23	205.5	232.94	297.17	211.31	140.04	193.01	193.01	92.7	117.6	108.14	111.99
ZBTB44	185.11	226.54	336.79	511.0	532.74	279.14	426.57	244.57	221.86	305.55	166.73	307.69	198.47	229.72	275.28	193.01	176.29	127.0	177.53	149.12	150.17	197.09	171.45	156.59	166.73	124.37	147.06	187.71	642.59	171.45	256.78	273.37	228.13	529.06	429.54	293.07	291.04	414.87	361.04	159.9	320.8	318.57	144.01	260.38	194.36	224.97
ZC3H11A	813.63	1340.84	1096.5	1628.26	2090.03	1242.34	1551.09	1870.53	1397.83	1605.83	1191.69	2004.85	1477.58	1709.26	1417.35	323.03	633.73	438.59	718.08	620.67	693.58	813.63	551.56	878.17	334.46	674.59	532.74	320.8	1073.91	728.11	1388.16	1111.82	2148.82	2384.37	1651.0	1191.69	1651.0	2032.85	1721.16	748.61	1183.45	1295.13	915.51	808.0	1066.48	884.29
ZC3H7A	480.04	305.55	470.14	780.44	921.88	591.22	759.08	493.56	934.76	928.3	547.75	1059.11	660.68	743.43	444.72	182.55	435.55	373.81	400.71	423.61	281.09	291.04	571.05	339.14	220.32	332.14	376.41	205.5	412.0	376.41	616.37	532.74	518.15	909.17	674.59	460.44	718.08	1066.48	591.22	397.93	679.29	612.11	450.94	417.77	511.0	470.14
ZC3HAV1L	9.78	30.12	21.16	33.3	30.12	54.72	183.82	48.52	102.97	153.34	82.29	109.66	65.72	43.94	56.68	11.04	3.47	1.97	3.11	0.0	0.0	0.0	3.38	0.0	0.0	0.0	3.99	0.38	15.8	61.25	42.71	94.01	134.3	244.57	137.14	102.97	64.8	87.03	11.64	48.52	59.13	105.89	20.71	28.65	45.85	37.59
ZCCHC4	88.88	69.52	145.02	99.43	190.34	121.79	140.04	105.89	142.01	98.73	70.51	115.97	107.38	86.43	87.03	37.59	48.18	59.55	57.08	50.27	58.71	47.84	69.03	66.18	36.27	52.45	62.56	31.45	68.55	72.52	197.09	69.03	182.55	209.84	187.71	112.77	129.69	156.59	176.29	96.01	136.19	144.01	77.25	91.41	74.58	95.34
ZCCHC8	236.21	269.6	366.09	473.41	454.09	444.72	476.71	356.05	371.22	616.37	463.65	785.88	463.65	441.64	400.71	124.37	218.79	175.07	195.72	217.27	127.0	194.36	267.73	234.57	138.1	206.94	143.01	108.14	435.55	336.79	297.17	309.83	616.37	507.46	525.39	336.79	525.39	607.87	466.88	316.37	497.0	454.09	329.84	314.17	303.44	267.73
ZMYM6	96.01	98.04	167.9	165.57	217.27	158.79	236.21	171.45	231.32	176.29	128.79	229.72	186.4	205.5	236.21	38.4	52.45	62.56	53.57	57.89	49.56	82.87	63.45	86.43	30.56	76.17	64.34	34.26	141.02	111.99	255.0	147.06	209.84	353.59	218.79	205.5	182.55	371.22	195.72	99.43	177.53	241.19	180.02	119.26	147.06	182.55
ZNF26	98.04	94.01	285.03	126.12	195.72	118.43	275.28	212.78	199.85	175.07	132.44	336.79	158.79	130.6	118.43	30.56	108.14	55.89	73.03	38.95	38.12	66.65	81.14	82.29	22.26	45.53	60.39	29.06	78.89	146.03	69.03	89.51	241.19	212.78	237.86	121.79	215.77	246.28	123.5	111.99	204.07	265.87	85.22	74.58	116.78	79.45
ZNF384	525.39	343.89	540.19	1167.14	1066.48	748.61	1467.37	921.88	902.89	1081.39	928.3	1369.04	1119.56	878.17	1111.82	457.25	366.09	332.14	351.14	246.28	193.01	358.54	363.56	395.18	239.52	251.48	356.05	57.49	708.18	813.63	753.83	890.44	813.63	651.58	1191.69	1037.29	1088.92	1605.83	1313.23	775.05	909.17	1127.35	775.05	1023.0	1369.04	1167.14
ZNF639	454.09	178.77	289.02	555.41	842.36	493.56	665.29	780.44	579.04	753.83	503.95	802.41	511.0	406.31	403.5	161.02	281.09	197.09	271.48	239.52	205.5	256.78	293.07	217.27	139.07	251.48	251.48	144.01	384.34	316.37	409.15	366.09	854.13	769.69	525.39	607.87	595.34	532.74	612.11	406.31	483.38	379.04	332.14	323.03	318.57	353.59
ZNF721	236.21	198.47	371.22	289.02	346.29	301.33	543.96	279.14	551.56	226.54	190.34	395.18	314.17	178.77	215.77	102.97	190.34	150.17	228.13	124.37	217.27	151.22	162.14	217.27	57.89	74.58	211.31	171.45	346.29	293.07	674.59	309.83	587.13	420.68	279.14	356.05	318.57	896.64	379.04	166.73	684.02	476.71	126.12	181.28	279.14	267.73
