	TCGA.E7.A7PW.01A.11R.A352.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.BP.5178.01A.01R.1426.07	TCGA.B0.5084.01A.01R.1334.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.4700.01A.02R.1541.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.B0.5088.01A.01R.1334.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CZ.5460.01A.01R.1503.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.BQ.5889.01A.11R.1592.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.Y8.A896.01A.11R.A36F.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.13QJC.0726.SM.5RQJK	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.139TU.0826.SM.5IJFG	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.ZG.A9M4.01A.11R.A41O.07	TCGA.F5.6812.01A.11R.1830.07	TCGA.AX.A3FT.01A.11R.A22K.07	TCGA.KP.A3W1.01A.11R.A22K.07	TCGA.AJ.A8CT.01A.11R.A37O.07
CTSW	563.18	559.28	191.67	476.71	150.17	693.58	1143.1	642.59	403.5	890.44	493.56	483.38	656.11	571.05	1044.52	305.55	915.51	896.64	1199.98	223.41	76.71	693.58	63.0	351.14	13.72	10.47	551.56	131.51	260.38	48.52	480.04	140.04	191.67	397.93	165.57	175.07	110.43	224.97	89.51	314.17	279.14	171.45	151.22	134.3	154.42	105.15	26.1	41.81	103.69	164.42	323.03	323.03	77.25	532.74	197.09	281.09	27.84	154.42	61.25	500.46	154.42	147.06	96.01	206.94	180.02	82.29	305.55	23.08	915.51	503.95	379.04
CXorf28	6.41	0.0	2.46	6.01	3.29	13.32	6.46	6.52	7.51	10.0	1.1	2.14	7.22	5.36	4.78	6.31	3.32	2.56	12.55	7.06	3.56	7.17	1.93	11.73	0.0	0.0	2.53	0.0	0.0	0.0	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	17.13	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.0	3.29	2.36	7.28
DDOST	6037.61	8191.0	3419.52	5791.62	4481.23	6516.03	6294.04	4152.18	4210.15	4836.35	5147.73	2976.74	5041.77	6294.04	6983.79	5255.91	5555.65	5672.41	5954.47	5366.37	3589.58	5672.41	3467.27	5751.61	2255.7	1733.13	1896.65	1721.16	1685.71	1540.37	1896.65	1457.23	1757.34	1832.01	2502.97	1277.29	1896.65	1313.23	2701.35	1685.71	2682.69	2090.03	1977.24	2417.67	1617.0	1709.26	2018.8	1963.57	1508.65	2367.9	1628.26	2209.26	1844.76	1857.6	1277.29	2627.46	1745.2	2645.74	1991.0	1896.65	1397.83	1870.53	1733.13	1583.71	1685.71	1457.23	4450.27	3901.01	4736.79	7695.57	4388.98
DDX54	1540.37	1923.14	1674.06	1340.84	1963.57	1388.16	1427.22	1388.16	1378.57	1519.15	1583.71	909.17	1313.23	1350.18	1685.71	1167.14	1950.0	1628.26	1313.23	2591.27	2047.0	3325.99	1487.87	1551.09	1304.15	1397.83	878.17	1295.13	1250.98	1183.45	830.75	1104.13	1233.75	1322.37	954.43	1233.75	1044.52	1159.07	848.22	759.08	1417.35	967.76	981.29	1322.37	1628.26	1023.0	1369.04	1030.12	1233.75	995.0	1119.56	693.58	1015.93	1001.93	1540.37	1350.18	988.12	878.17	909.17	825.0	981.29	1135.2	693.58	1359.57	1477.58	1104.13	1191.69	1757.34	1844.76	2400.97	1605.83
DNASE2	1111.82	3060.45	1529.73	2384.37	2209.26	2255.7	1794.29	1191.69	1286.18	2119.22	2485.67	909.17	1331.57	1819.35	1662.49	1519.15	1369.04	1286.18	1639.59	1447.15	780.44	1427.22	728.11	1769.57	490.14	743.43	1044.52	703.28	921.88	733.19	555.41	575.03	669.92	529.06	476.71	665.29	1639.59	915.51	884.29	1268.46	1651.0	656.11	896.64	703.28	1143.1	769.69	698.41	915.51	802.41	642.59	902.89	1662.49	825.0	514.56	500.46	1159.07	332.14	1340.84	728.11	941.27	1001.93	1001.93	947.83	483.38	748.61	547.75	1277.29	1073.91	967.76	1769.57	1286.18
DRAP1	5219.6	4268.94	1757.34	4512.4	4095.0	4450.27	4450.27	3716.2	2895.31	3325.99	4239.45	3146.52	4152.18	3124.78	3614.55	3847.29	3103.19	5112.16	3540.14	3190.46	3168.41	5555.65	1757.34	3515.68	988.12	1697.45	2976.74	2468.49	2451.44	1350.18	1427.22	2224.63	1628.26	1498.22	1819.35	1208.34	2032.85	1857.6	2335.28	1757.34	2816.11	1437.15	1697.45	2777.33	1857.6	1437.15	1359.57	2895.31	1540.37	2796.65	1721.16	1977.24	1359.57	1519.15	1487.87	4066.71	1322.37	2255.7	2287.2	2367.9	1936.53	2004.85	1030.12	1781.89	2032.85	1447.15	3168.41	4802.93	5403.7	4038.61	2400.97
DRG1	1340.84	1437.15	1583.71	1857.6	1757.34	1832.01	1674.06	2209.26	1359.57	1781.89	1313.23	1151.06	1487.87	1151.06	1651.0	1143.1	2240.11	1639.59	1628.26	1991.0	1135.2	1233.75	1001.93	748.61	693.58	1143.1	890.44	1081.39	733.19	638.15	759.08	780.44	902.89	941.27	1183.45	764.36	642.59	802.41	796.86	563.18	830.75	902.89	934.76	748.61	713.11	830.75	1008.9	902.89	947.83	620.67	878.17	878.17	624.99	738.29	647.07	1268.46	819.3	866.07	743.43	679.29	764.36	583.07	684.02	802.41	1225.22	878.17	1001.93	947.83	1639.59	2682.69	1359.57
DYNLT1	6164.49	4869.99	2573.36	4066.71	3716.2	5831.91	6381.92	4038.61	5112.16	4123.49	2682.69	4066.71	6381.92	4543.8	8134.41	4038.61	3395.89	7642.41	4181.07	3820.7	6935.54	4937.99	6935.54	2701.35	1242.34	2335.28	2255.7	1806.78	1066.48	1051.79	791.35	1286.18	1662.49	1529.73	1923.14	1151.06	1059.11	1059.11	1819.35	780.44	2047.0	1870.53	1225.22	1977.24	1111.82	981.29	1628.26	884.29	1242.34	2303.12	1350.18	890.44	1369.04	1572.76	1159.07	3768.09	1427.22	1286.18	1477.58	2555.58	1359.57	1437.15	1594.73	967.76	1167.14	1378.57	6381.92	4607.24	4152.18	4123.49	11664.82
EIF3C	14765.09	22535.88	6745.86	17681.08	38697.77	14262.1	14867.79	29327.18	16960.78	17078.76	11664.82	17681.08	23986.58	9409.14	14461.21	26614.89	17317.18	12076.21	14971.21	15285.81	18560.17	20451.65	21768.19	17317.18	7695.57	6887.62	6294.04	5219.6	12244.81	8305.36	10014.87	5479.15	8538.88	9279.58	9606.86	11584.24	12160.22	9540.5	9025.81	2997.45	7749.1	14262.1	10733.74	11345.82	8421.31	6079.61	10808.41	3690.52	7032.37	7485.11	9409.14	8901.53	5329.3	8363.13	10154.69	8538.88	12764.83	11584.24	5329.3	5366.37	10225.32	9088.59	4972.34	6381.92	11035.54	4972.34	10585.95	15075.35	32092.64	21172.91	15392.14
EIF3I	4123.49	7230.1	2319.15	5555.65	3491.39	8191.0	5954.47	5255.91	4328.55	4543.8	4066.71	3564.78	4607.24	5076.84	5594.3	5255.91	4450.27	5441.3	4575.41	5672.41	4543.8	4543.8	3564.78	5366.37	1870.53	2209.26	2796.65	1950.0	1977.24	1909.85	1896.65	2178.83	2209.26	1487.87	2758.13	1639.59	3928.15	1519.15	2664.15	2303.12	3257.52	2061.24	3190.46	2682.69	2209.26	2240.11	1709.26	5479.15	2384.37	1936.53	2502.97	2573.36	1508.65	2018.8	2018.8	2935.74	1950.0	2468.49	3146.52	2720.15	2434.5	3018.3	1794.29	3901.01	2434.5	2047.0	4736.79	5403.7	5872.48	8305.36	3589.58
EIF4A1	8538.88	8598.28	10733.74	16727.26	15934.98	18689.27	18052.61	12244.81	10084.54	12076.21	11424.74	10585.95	16383.0	12589.08	12160.22	14867.79	10014.87	14765.09	13872.08	11424.74	10512.82	11189.6	7331.05	9215.48	6207.38	4972.34	7081.29	4769.75	6037.61	4869.99	5112.16	5041.77	4481.23	4543.8	8658.09	3901.01	4010.71	4671.57	5995.9	4543.8	5872.48	5831.91	5995.9	5517.27	4481.23	4298.64	4639.29	8191.0	4937.99	6037.61	5183.54	4239.45	4972.34	4769.75	4095.0	5329.3	5672.41	5633.22	9215.48	5711.87	4836.35	5219.6	3901.01	15075.35	5183.54	4010.71	6652.97	13492.72	17558.94	17681.08	10296.45
EIF6	5147.73	4210.15	4639.29	7382.04	8718.32	7230.1	7331.05	3540.14	3820.7	3716.2	4328.55	2591.27	4481.23	5041.77	4639.29	5076.84	3515.68	4736.79	4010.71	4152.18	4836.35	5112.16	5147.73	2997.45	3168.41	3168.41	4298.64	3742.05	3419.52	2701.35	3303.0	3395.89	2875.3	2133.97	3639.7	3639.7	4038.61	2796.65	4481.23	3589.58	3847.29	3235.01	3901.01	3443.31	4066.71	3665.02	3168.41	5076.84	4239.45	4358.66	3768.09	3515.68	1674.06	2664.15	4388.98	6121.9	2451.44	5366.37	4869.99	3146.52	2956.17	3257.52	2240.11	4123.49	3614.55	3589.58	4123.49	7081.29	4010.71	6250.56	3124.78
EMG1	1583.71	1467.37	848.22	1259.69	3443.31	2502.97	1437.15	1135.2	1037.29	1015.93	961.07	947.83	988.12	1467.37	2075.59	1051.79	825.0	1378.57	915.51	1378.57	1313.23	1437.15	1135.2	769.69	417.77	848.22	703.28	656.11	723.08	543.96	470.14	497.0	406.31	698.41	902.89	587.13	547.75	563.18	860.08	587.13	775.05	563.18	679.29	693.58	432.53	547.75	595.34	624.99	738.29	486.75	587.13	616.37	511.0	447.82	473.41	624.99	563.18	493.56	591.22	575.03	551.56	503.95	540.19	769.69	503.95	457.25	1015.93	1397.83	1447.15	1331.57	1023.0
EXOSC5	1216.75	1781.89	854.13	896.64	878.17	1081.39	587.13	842.36	656.11	808.0	1350.18	529.06	854.13	813.63	1073.91	854.13	1304.15	974.5	909.17	1896.65	480.04	728.11	525.39	813.63	356.05	277.2	363.56	366.09	353.59	260.38	271.48	275.28	291.04	316.37	400.71	318.57	361.04	239.52	429.54	320.8	497.0	366.09	473.41	543.96	426.57	361.04	470.14	435.55	444.72	476.71	356.05	473.41	269.6	312.0	348.71	543.96	336.79	543.96	575.03	323.03	297.17	392.44	162.14	334.46	373.81	316.37	285.03	1135.2	1268.46	1757.34	450.94
FAM127B	5006.93	8598.28	2193.99	5076.84	5711.87	4639.29	3614.55	3690.52	2915.45	2758.13	3901.01	2434.5	4181.07	2555.58	3742.05	4736.79	3325.99	3564.78	3874.05	2956.17	5147.73	3325.99	3280.18	3325.99	607.87	1175.27	1088.92	836.53	444.72	791.35	669.92	269.6	403.5	587.13	603.67	529.06	684.02	698.41	466.88	412.0	967.76	669.92	665.29	1561.89	674.59	267.73	866.07	373.81	532.74	1340.84	486.75	1051.79	698.41	463.65	353.59	1183.45	563.18	555.41	536.45	438.59	688.78	1199.98	226.54	256.78	307.69	226.54	2758.13	2148.82	3742.05	2609.3	2240.11
FAM96B	5479.15	7081.29	3168.41	7642.41	7857.29	7966.99	4298.64	4543.8	4937.99	3955.48	4543.8	5147.73	5329.3	4210.15	5672.41	6337.83	4512.4	4543.8	4769.75	4512.4	5329.3	5006.93	5517.27	3614.55	2591.27	3665.02	4543.8	3190.46	2178.83	2224.63	2335.28	2451.44	2047.0	2133.97	3039.3	2468.49	3589.58	1977.24	3665.02	2537.92	4607.24	2682.69	3103.19	3665.02	2384.37	2701.35	3491.39	4210.15	2935.74	3690.52	2537.92	3540.14	2018.8	2451.44	1950.0	3515.68	2255.7	3235.01	3847.29	2720.15	3212.66	3280.18	1909.85	2627.46	2627.46	2573.36	1457.23	5183.54	5831.91	2835.7	3190.46
FSCN1	2502.97	4095.0	791.35	878.17	3491.39	1467.37	4095.0	1437.15	1477.58	2335.28	842.36	954.43	2090.03	1322.37	2090.03	1733.13	1733.13	2796.65	2367.9	947.83	1388.16	2287.2	1143.1	2956.17	92.05	76.17	305.55	237.86	104.42	115.97	63.45	155.5	96.68	866.07	126.12	301.33	248.0	130.6	223.41	186.4	73.54	209.84	88.88	137.14	83.45	251.48	129.69	320.8	116.78	135.24	142.01	327.56	131.51	201.25	120.1	165.57	153.34	441.64	206.94	176.29	226.54	70.01	104.42	178.77	175.07	171.45	327.56	463.65	660.68	2104.58	293.07
GEMIN8	738.29	753.83	708.18	532.74	708.18	599.49	493.56	532.74	603.67	529.06	507.46	563.18	536.45	595.34	624.99	808.0	612.11	693.58	417.77	551.56	466.88	450.94	836.53	447.82	178.77	303.44	157.68	318.57	211.31	279.14	231.32	239.52	173.85	242.88	242.88	417.77	119.26	146.03	166.73	242.88	291.04	299.25	236.21	293.07	281.09	356.05	136.19	111.21	108.14	320.8	105.89	265.87	165.57	237.86	205.5	126.12	339.14	289.02	264.03	241.19	208.38	186.4	205.5	211.31	273.37	169.07	500.46	507.46	684.02	796.86	769.69
H2AFZ	14163.58	16383.0	6037.61	4639.29	3690.52	8598.28	5954.47	3901.01	3257.52	5633.22	3168.41	2255.7	4704.07	3820.7	5831.91	2915.45	3928.15	5329.3	5329.3	2956.17	2573.36	3928.15	2537.92	4095.0	813.63	947.83	1844.76	1594.73	624.99	928.3	842.36	1159.07	954.43	1073.91	1605.83	872.1	1119.56	1030.12	1781.89	769.69	1832.01	1191.69	1259.69	1233.75	836.53	1059.11	1199.98	2090.03	848.22	1167.14	1242.34	1015.93	1175.27	1167.14	693.58	1674.06	866.07	1397.83	1477.58	1519.15	1508.65	1313.23	1023.0	981.29	1175.27	1304.15	2796.65	4607.24	9673.69	6250.56	3639.7
HEATR2	466.88	633.73	647.07	409.15	540.19	529.06	397.93	353.59	291.04	297.17	620.67	323.03	361.04	555.41	332.14	318.57	444.72	547.75	420.68	638.15	620.67	287.01	802.41	660.68	90.14	83.45	212.78	167.9	138.1	255.0	104.42	172.65	176.29	159.9	149.12	190.34	153.34	63.0	123.5	182.55	113.56	84.04	105.89	94.01	88.26	289.02	80.01	115.97	127.0	170.25	97.36	211.31	107.38	121.79	162.14	102.25	76.71	182.55	143.01	162.14	373.81	108.14	183.82	87.03	127.89	289.02	400.71	563.18	547.75	500.46	612.11
IAH1	2032.85	2319.15	1286.18	2351.53	3018.3	2682.69	1936.53	1991.0	1806.78	1909.85	2627.46	1617.0	2090.03	2271.4	2664.15	1551.09	1950.0	2520.38	1685.71	2163.77	1857.6	1617.0	3303.0	2271.4	1225.22	2319.15	2193.99	1628.26	1191.69	1151.06	674.59	1015.93	1233.75	669.92	1674.06	1037.29	1769.57	1199.98	1159.07	1397.83	1378.57	1096.5	1447.15	1963.57	1259.69	1304.15	1407.55	1639.59	1104.13	1477.58	1073.91	1832.01	1127.35	1477.58	1295.13	665.29	1066.48	1199.98	1617.0	1709.26	1757.34	1540.37	1457.23	988.12	1167.14	1427.22	1437.15	1583.71	974.5	1088.92	1388.16
IPO4	460.44	314.17	830.75	684.02	567.1	480.04	490.14	432.53	514.56	435.55	764.36	332.14	525.39	450.94	400.71	551.56	536.45	656.11	435.55	878.17	607.87	603.67	698.41	624.99	255.0	189.02	211.31	239.52	406.31	208.38	249.73	253.23	214.27	199.85	457.25	159.9	223.41	159.9	301.33	183.82	258.57	267.73	490.14	307.69	248.0	226.54	234.57	351.14	312.0	356.05	212.78	157.68	341.51	164.42	255.0	198.47	236.21	246.28	273.37	171.45	264.03	191.67	132.44	490.14	239.52	215.77	536.45	307.69	759.08	1529.73	915.51
IRAK1	1757.34	775.05	2335.28	1572.76	1819.35	2303.12	1572.76	785.88	1104.13	1870.53	1857.6	1015.93	1242.34	1259.69	1388.16	1015.93	1008.9	1437.15	1268.46	1175.27	896.64	2875.3	1437.15	2163.77	738.29	470.14	536.45	884.29	532.74	403.5	483.38	376.41	507.46	612.11	503.95	305.55	429.54	287.01	287.01	236.21	713.11	633.73	660.68	830.75	329.84	353.59	791.35	500.46	414.87	503.95	417.77	299.25	547.75	358.54	483.38	460.44	450.94	307.69	351.14	341.51	392.44	371.22	417.77	595.34	285.03	403.5	921.88	1540.37	1313.23	2739.08	872.1
KRT80	75.11	182.55	258.57	31.0	1073.91	466.88	47.5	17.64	36.79	145.02	71.5	54.72	86.43	567.1	70.51	41.22	82.87	28.24	65.26	575.03	212.78	325.29	507.46	201.25	17.25	7.75	153.34	9.06	4.39	9.63	25.17	14.78	5.73	3.56	28.24	13.62	11.73	1.73	40.64	35.5	0.57	34.51	2.76	0.46	4.43	3.79	9.56	480.04	14.35	8.32	44.25	18.43	1.38	14.45	1.31	153.34	9.85	40.07	356.05	4.28	1.19	0.0	7.75	72.01	32.36	17.77	68.55	194.36	77.25	94.67	283.05
KRTCAP2	25708.25	13399.51	14971.21	8134.41	22535.88	12329.98	9151.82	9945.68	7537.18	7433.4	6745.86	7382.04	10585.95	7230.1	11664.82	9474.59	6699.25	10225.32	8538.88	7695.57	10084.54	9025.81	6887.62	7433.4	4152.18	4181.07	9876.98	6079.61	2682.69	3325.99	3716.2	5219.6	3515.68	3564.78	5403.7	4481.23	4481.23	4123.49	6294.04	3564.78	7911.95	4358.66	4388.98	10296.45	3168.41	3794.3	4388.98	4937.99	3874.05	6207.38	3589.58	7081.29	4543.8	5672.41	3372.43	8078.22	4419.52	3515.68	4481.23	5366.37	7382.04	3690.52	3614.55	3018.3	4512.4	4575.41	5633.22	6561.36	13215.02	11909.94	8305.36
LTBR	3235.01	4010.71	3303.0	4802.93	6607.01	3847.29	2537.92	3124.78	3235.01	2193.99	2384.37	2664.15	3665.02	4298.64	4736.79	3303.0	3235.01	4010.71	2956.17	5913.33	5076.84	5147.73	4010.71	2627.46	2319.15	2976.74	1870.53	1991.0	1259.69	1794.29	1135.2	1447.15	1119.56	2319.15	1794.29	1806.78	1477.58	1832.01	1794.29	1721.16	1295.13	1909.85	1183.45	2367.9	1572.76	1216.75	1733.13	1977.24	1870.53	2417.67	1313.23	1721.16	3168.41	1923.14	1467.37	1583.71	2591.27	2271.4	2555.58	1909.85	1721.16	2384.37	1617.0	2855.44	1397.83	1208.34	1216.75	3168.41	3443.31	4869.99	1709.26
MAGOHB	1066.48	1183.45	669.92	612.11	1437.15	1059.11	665.29	536.45	371.22	376.41	483.38	454.09	480.04	629.35	842.36	426.57	423.61	656.11	511.0	785.88	748.61	529.06	480.04	500.46	277.2	264.03	346.29	563.18	221.86	220.32	297.17	275.28	417.77	309.83	470.14	329.84	185.11	221.86	591.22	215.77	438.59	426.57	361.04	373.81	269.6	473.41	379.04	318.57	325.29	368.65	486.75	241.19	332.14	244.57	285.03	503.95	384.34	332.14	389.72	476.71	341.51	236.21	371.22	387.02	466.88	244.57	423.61	571.05	819.3	1044.52	457.25
MCM5	1561.89	1066.48	1447.15	896.64	1467.37	988.12	1044.52	743.43	890.44	961.07	1037.29	595.34	688.78	656.11	665.29	536.45	796.86	1030.12	954.43	775.05	379.04	1073.91	507.46	642.59	84.63	190.34	289.02	332.14	124.37	198.47	92.7	185.11	176.29	161.02	248.0	148.09	217.27	175.07	209.84	206.94	595.34	135.24	108.9	223.41	214.27	190.34	140.04	169.07	153.34	366.09	265.87	295.11	119.26	242.88	181.28	400.71	166.73	305.55	327.56	387.02	420.68	244.57	163.28	127.89	201.25	114.36	392.44	450.94	1350.18	2875.3	583.07
MEA1	3190.46	3742.05	1529.73	2255.7	1896.65	2956.17	2627.46	2400.97	2209.26	2319.15	2701.35	1857.6	2915.45	2520.38	3039.3	2075.59	2351.53	3257.52	2609.3	2573.36	1781.89	2351.53	1639.59	1697.45	612.11	1322.37	1508.65	1088.92	890.44	813.63	698.41	1104.13	603.67	825.0	1015.93	775.05	1594.73	1051.79	836.53	733.19	1467.37	1183.45	921.88	1242.34	1015.93	842.36	915.51	1378.57	1167.14	1111.82	842.36	1388.16	785.88	713.11	1044.52	1208.34	854.13	1268.46	1216.75	1073.91	1008.9	1242.34	684.02	769.69	1159.07	884.29	1950.0	1896.65	3515.68	2895.31	2193.99
MFSD5	1119.56	1583.71	884.29	1104.13	1427.22	1498.22	1044.52	708.18	642.59	651.58	921.88	463.65	796.86	825.0	1216.75	743.43	620.67	836.53	775.05	693.58	684.02	1023.0	921.88	738.29	231.32	234.57	267.73	299.25	221.86	229.72	195.72	148.09	224.97	316.37	231.32	234.57	255.0	175.07	301.33	128.79	223.41	341.51	291.04	318.57	208.38	204.07	423.61	264.03	199.85	291.04	218.79	281.09	348.71	265.87	242.88	371.22	185.11	258.57	220.32	255.0	190.34	140.04	205.5	141.02	224.97	205.5	432.53	387.02	591.22	872.1	591.22
MIF	23009.42	10659.59	15934.98	22072.07	21768.19	28923.41	21320.18	19482.97	20737.16	25005.23	34396.12	20310.37	40341.14	24660.96	50709.61	20881.4	36106.23	37639.55	28328.16	30572.63	15075.35	36610.26	16960.78	14765.09	7857.29	12076.21	2816.11	9945.68	1498.22	9409.14	15824.9	16383.0	2400.97	2555.58	7857.29	12415.75	7857.29	10512.82	7230.1	6561.36	10296.45	11909.94	12676.65	18819.27	9409.14	3168.41	15934.98	8658.09	11035.54	6337.83	7130.55	4869.99	8421.31	11584.24	14765.09	19482.97	4010.71	6164.49	12764.83	6250.56	11345.82	7749.1	5791.62	8134.41	5594.3	6164.49	9740.98	5711.87	34158.52	21768.19	14971.21
MPV17	2739.08	3280.18	1519.15	4066.71	6337.83	2739.08	2835.7	3639.7	4066.71	1832.01	2976.74	3665.02	4298.64	4358.66	3928.15	3491.39	2915.45	2895.31	3589.58	4388.98	5517.27	3280.18	5076.84	4095.0	723.08	684.02	406.31	660.68	476.71	559.28	808.0	387.02	389.72	500.46	674.59	624.99	417.77	591.22	356.05	457.25	490.14	457.25	307.69	563.18	483.38	612.11	575.03	332.14	454.09	796.86	457.25	414.87	629.35	460.44	521.76	525.39	571.05	379.04	368.65	389.72	651.58	341.51	463.65	297.17	603.67	327.56	2163.77	2061.24	2400.97	1594.73	1857.6
MRPL17	2485.67	3901.01	2319.15	2645.74	2133.97	3820.7	4769.75	2075.59	2178.83	2271.4	2119.22	1662.49	4268.94	2468.49	3303.0	2796.65	1651.0	3235.01	3372.43	2075.59	1844.76	3060.45	1508.65	1819.35	633.73	571.05	890.44	796.86	511.0	490.14	813.63	571.05	567.1	748.61	1001.93	579.04	555.41	417.77	974.5	457.25	808.0	1066.48	733.19	866.07	703.28	444.72	500.46	432.53	620.67	854.13	660.68	813.63	612.11	624.99	612.11	947.83	708.18	915.51	713.11	718.08	555.41	381.68	463.65	536.45	567.1	688.78	1674.06	1594.73	3515.68	2209.26	1498.22
MRPL18	3212.66	2451.44	1104.13	2119.22	1572.76	3081.75	2271.4	1781.89	1572.76	2004.85	1340.84	1295.13	1950.0	1733.13	2163.77	1407.55	1572.76	2835.7	1167.14	2104.58	2875.3	2148.82	1857.6	1216.75	967.76	1135.2	2163.77	1295.13	665.29	743.43	928.3	1081.39	1167.14	915.51	1250.98	1104.13	1111.82	878.17	1757.34	728.11	1437.15	1322.37	961.07	1950.0	791.35	1487.87	1896.65	1923.14	1088.92	1233.75	1216.75	1119.56	1417.35	915.51	1111.82	2255.7	1242.34	1340.84	1617.0	1059.11	1199.98	1008.9	1023.0	934.76	1135.2	1313.23	2119.22	1896.65	3257.52	2468.49	2573.36
MRPL51	6121.9	5751.61	3982.99	4419.52	9474.59	9215.48	5112.16	3901.01	3443.31	4239.45	3060.45	2816.11	4869.99	4937.99	7280.4	4388.98	4450.27	3742.05	4181.07	3614.55	4298.64	4095.0	4450.27	4123.49	2720.15	3589.58	4802.93	3794.3	2018.8	2061.24	1487.87	2796.65	2855.44	2835.7	2133.97	2148.82	4802.93	2591.27	3491.39	2537.92	3955.48	2835.7	2148.82	3614.55	2701.35	3103.19	2573.36	3982.99	2061.24	2537.92	3257.52	2956.17	1806.78	2701.35	2573.36	3212.66	1950.0	2976.74	3146.52	3349.13	2720.15	2915.45	2434.5	1832.01	2303.12	2875.3	2956.17	4010.71	4769.75	3614.55	3280.18
MRPL52	3589.58	2816.11	3018.3	3060.45	4543.8	5112.16	3928.15	3018.3	3124.78	2997.45	3124.78	2224.63	4836.35	1963.57	3690.52	3303.0	3168.41	3690.52	3639.7	3349.13	3124.78	5183.54	4152.18	5076.84	2555.58	3124.78	3690.52	4575.41	2400.97	2004.85	2520.38	2591.27	2835.7	2319.15	3303.0	2351.53	3639.7	2627.46	4358.66	2287.2	4123.49	3124.78	3515.68	4419.52	2351.53	2816.11	3491.39	3280.18	2520.38	2956.17	2627.46	3103.19	2104.58	2855.44	1844.76	4639.29	2240.11	3768.09	2976.74	2451.44	3372.43	2664.15	2090.03	2434.5	2367.9	2627.46	2451.44	2417.67	6250.56	6079.61	3955.48
MTX1	3124.78	1143.1	3124.78	2104.58	4066.71	2417.67	2119.22	1561.89	1757.34	1519.15	1369.04	1175.27	2193.99	1487.87	2193.99	1819.35	1540.37	2417.67	1806.78	1322.37	2384.37	1733.13	1977.24	1757.34	674.59	1015.93	1096.5	902.89	825.0	808.0	651.58	854.13	902.89	693.58	1143.1	733.19	1340.84	738.29	1369.04	1119.56	1159.07	896.64	836.53	1359.57	1175.27	981.29	1175.27	1437.15	967.76	1015.93	1051.79	1304.15	571.05	796.86	995.0	1950.0	813.63	1651.0	1407.55	947.83	934.76	1216.75	559.28	928.3	830.75	890.44	1286.18	941.27	2018.8	1857.6	1909.85
