	GTEX.Y111.1826.SM.4SOIR	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.YECK.1726.SM.5IFI3	GTEX.ZYY3.1626.SM.5EGJF	TCGA.B0.5094.01A.01R.1420.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5108.01A.01R.1420.07	TCGA.CZ.4854.01A.01R.1305.07	TCGA.BP.4787.01A.01R.1305.07	TCGA.B0.5706.01A.11R.1541.07	TCGA.CW.5588.01A.01R.1541.07	TCGA.CZ.5456.01A.01R.1503.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.BP.4799.01A.01R.1305.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.BP.4343.01A.02R.1289.07	TCGA.BP.4763.01A.01R.1289.07	TCGA.AK.3445.01A.02R.1277.07	TCGA.B0.4836.01A.01R.1305.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B8.5163.01A.01R.1420.07	TCGA.EU.5905.01A.11R.1672.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5984.01A.11R.1672.07	TCGA.B8.5158.01A.01R.1420.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.BP.4986.01A.01R.1334.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.BP.5170.01A.01R.1426.07	TCGA.A3.3316.01A.01R.0864.07	TCGA.CJ.4871.01A.01R.1305.07	TCGA.CW.5591.11A.01R.1541.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZQG8.2126.SM.4YCF1
PLGLB1	178.77	205.5	223.41	164.42	212.78	186.4	43.63	22.43	72.01	113.56	29.06	24.63	11.47	24.99	285.03	29.48	107.38	27.64	52.82	11.13	55.49	64.34	14.03	10.47	14.67	12.64	264.03	31.9	108.14	16.88	12.55	177.53	64.34	75.64	58.71	8.0	19.39	74.58	20.71	13.12	0.0	3.38
PLXNB1	2591.27	2895.31	3018.3	3372.43	2875.3	2915.45	1088.92	356.05	336.79	981.29	616.37	293.07	307.69	579.04	909.17	1143.1	679.29	470.14	759.08	163.28	269.6	633.73	457.25	435.55	164.42	454.09	1991.0	320.8	785.88	264.03	511.0	1151.06	591.22	1216.75	460.44	447.82	312.0	753.83	303.44	381.68	0.0	543.96
PNISR	5292.48	4704.07	5831.91	5633.22	5633.22	6037.61	1378.57	339.14	842.36	1151.06	575.03	563.18	395.18	318.57	4152.18	703.28	1359.57	463.65	2287.2	368.65	583.07	961.07	473.41	476.71	536.45	395.18	3235.01	713.11	1143.1	417.77	438.59	3540.14	1721.16	1191.69	1447.15	329.84	406.31	1322.37	351.14	392.44	775.05	100.13
PPP1R12C	14361.31	18689.27	13586.57	12589.08	11267.44	10368.08	1709.26	759.08	1617.0	1936.53	1159.07	791.35	775.05	1127.35	3716.2	1977.24	2004.85	332.14	1896.65	307.69	514.56	1295.13	1081.39	934.76	624.99	1313.23	3081.75	1313.23	1378.57	764.36	941.27	2591.27	1832.01	2555.58	1697.45	1111.82	1059.11	2004.85	1008.9	1225.22	0.0	395.18
PPP1R3E	579.04	753.83	728.11	656.11	665.29	967.76	138.1	121.79	194.36	223.41	91.41	153.34	108.14	82.29	825.0	476.71	169.07	204.07	392.44	69.03	100.83	346.29	170.25	122.64	96.01	82.29	381.68	400.71	130.6	120.1	139.07	961.07	253.23	379.04	191.67	172.65	58.71	158.79	185.11	198.47	0.0	23.59
PPT2-EGFL8	363.56	356.05	309.83	323.03	291.04	348.71	127.89	10.08	43.63	69.03	44.89	8.51	21.01	12.93	387.02	27.05	55.1	15.22	127.89	2.34	3.53	116.78	29.06	27.84	14.45	10.47	161.02	29.7	74.58	17.51	12.0	148.09	112.77	89.51	98.73	7.69	15.11	107.38	9.2	19.97	0.0	11.04
PROCA1	177.53	137.14	120.94	89.51	127.0	158.79	42.11	21.32	42.41	44.25	34.26	30.34	20.71	37.85	162.14	38.4	87.03	18.7	93.35	16.39	12.93	57.49	45.53	30.78	17.9	32.59	118.43	27.84	60.39	22.59	21.32	102.97	80.01	72.01	55.1	10.08	38.4	53.57	15.34	14.67	0.0	5.82
PROX2	18.29	13.72	19.53	20.11	25.54	25.91	9.34	1.53	5.06	8.06	3.56	0.51	1.64	0.39	24.81	3.69	7.28	2.66	13.12	3.32	1.89	3.38	2.78	1.79	3.53	3.53	15.45	4.28	4.13	1.93	1.53	19.25	9.93	3.23	5.68	2.92	1.16	5.23	2.34	2.61	0.0	0.0
PRPF40B	941.27	1037.29	1096.5	1066.48	1001.93	656.11	432.53	99.43	208.38	389.72	277.2	120.94	124.37	123.5	417.77	226.54	202.66	33.3	281.09	58.71	108.14	325.29	164.42	218.79	162.14	146.03	379.04	157.68	334.46	221.86	173.85	595.34	373.81	368.65	320.8	147.06	123.5	271.48	133.36	115.97	0.0	47.5
QRICH2	87.65	100.83	98.73	88.88	80.01	134.3	19.97	8.78	17.13	29.06	24.11	16.63	6.11	6.01	39.22	13.42	24.81	1.66	19.97	11.47	5.32	35.5	13.62	28.86	5.59	9.85	45.85	17.9	17.38	8.85	6.84	44.57	33.78	18.56	24.99	8.38	8.38	15.34	5.5	5.63	0.0	5.54
RABL2A	674.59	708.18	848.22	785.88	713.11	674.59	454.09	116.78	212.78	457.25	228.13	262.2	156.59	285.03	928.3	351.14	361.04	182.55	493.56	173.85	361.04	414.87	224.97	156.59	171.45	241.19	808.0	187.71	314.17	237.86	198.47	759.08	417.77	305.55	521.76	150.17	149.12	368.65	129.69	256.78	0.0	28.04
RECQL5	708.18	780.44	830.75	780.44	660.68	775.05	599.49	195.72	384.34	493.56	500.46	432.53	172.65	314.17	1540.37	525.39	529.06	117.6	543.96	158.79	244.57	500.46	420.68	486.75	295.11	426.57	961.07	325.29	555.41	447.82	346.29	981.29	567.1	759.08	460.44	242.88	395.18	314.17	182.55	260.38	0.0	587.13
RNPC3	866.07	775.05	1088.92	1151.06	1104.13	1088.92	450.94	127.0	242.88	412.0	248.0	90.14	129.69	87.65	1135.2	279.14	309.83	110.43	642.59	157.68	206.94	287.01	232.94	99.43	155.5	186.4	1340.84	185.11	271.48	212.78	164.42	780.44	447.82	271.48	318.57	127.89	144.01	450.94	143.01	138.1	0.0	56.28
RP11-1105G2.3	67.59	45.53	52.82	40.64	86.43	87.65	69.52	17.9	7.94	35.5	36.79	0.0	5.36	10.88	77.25	24.28	22.43	2.76	34.51	4.17	6.89	40.93	22.92	21.94	5.63	3.23	66.18	14.56	63.0	10.08	5.02	56.68	35.25	17.25	18.43	14.24	0.0	55.1	12.27	3.79	0.0	1.46
RP11-159D12.5	718.08	708.18	698.41	511.0	555.41	381.68	66.65	23.59	115.16	67.12	59.13	5.63	17.51	7.34	281.09	54.72	100.13	8.85	94.01	19.25	30.34	88.88	37.32	52.08	10.63	36.53	297.17	39.79	57.89	26.47	21.32	218.79	76.17	187.71	42.71	0.0	5.15	60.82	5.68	21.94	0.0	3.41
RP11-231C14.4	2451.44	3349.13	1359.57	1806.78	1467.37	1477.58	341.51	115.16	373.81	334.46	575.03	72.52	38.95	48.52	1923.14	384.34	813.63	186.4	277.2	32.36	72.01	318.57	493.56	224.97	140.04	74.06	2485.67	251.48	532.74	107.38	33.06	769.69	679.29	830.75	414.87	267.73	87.03	575.03	74.58	97.36	0.0	5.77
RP11-444E17.6	4.39	2.01	3.5	4.39	4.13	5.92	1.5	0.39	0.79	2.81	1.58	0.49	0.41	0.39	5.45	0.39	2.14	0.0	5.23	0.38	0.0	1.5	0.8	1.07	0.4	0.4	6.84	0.79	1.38	1.14	0.39	3.14	2.94	2.29	1.89	0.0	0.39	2.01	0.4	0.0	0.0	0.0
RXRB	1529.73	1662.49	2075.59	1583.71	1977.24	1639.59	896.64	351.14	616.37	703.28	493.56	563.18	466.88	403.5	1605.83	460.44	718.08	289.02	1044.52	358.54	429.54	974.5	366.09	237.86	435.55	417.77	1388.16	429.54	785.88	376.41	381.68	1073.91	848.22	769.69	813.63	314.17	381.68	651.58	444.72	412.0	0.0	234.57
SEC31B	587.13	728.11	878.17	703.28	660.68	669.92	201.25	13.03	85.82	103.69	88.26	27.25	6.36	25.35	599.49	73.54	217.27	8.32	204.07	13.03	30.12	176.29	30.34	28.45	18.43	23.59	450.94	36.79	127.89	38.95	29.06	361.04	137.14	177.53	136.19	50.27	9.93	166.73	18.56	22.26	0.0	1.19
SFI1	660.68	733.19	866.07	967.76	967.76	813.63	476.71	87.65	285.03	651.58	248.0	215.77	97.36	127.0	2075.59	346.29	698.41	60.39	463.65	40.93	142.01	457.25	285.03	105.15	131.51	146.03	1216.75	157.68	366.09	273.37	217.27	1167.14	490.14	441.64	287.01	165.57	90.14	358.54	95.34	153.34	0.0	19.53
SLC25A27	2384.37	2573.36	2537.92	2485.67	1923.14	2645.74	500.46	38.12	115.97	318.57	148.09	78.34	21.32	34.26	713.11	133.36	237.86	75.11	353.59	38.67	189.02	379.04	25.54	23.59	40.93	106.63	273.37	77.79	264.03	81.71	20.71	785.88	232.94	389.72	167.9	67.59	38.12	229.72	22.92	46.5	0.0	0.0
SPG7	2591.27	3146.52	2976.74	2976.74	3395.89	2047.0	1745.2	1037.29	1023.0	1135.2	1304.15	769.69	896.64	1268.46	3901.01	1304.15	1733.13	470.14	1457.23	483.38	723.08	1477.58	878.17	848.22	583.07	941.27	3614.55	1001.93	1572.76	1001.93	890.44	3395.89	1378.57	2400.97	1259.69	748.61	915.51	1268.46	684.02	884.29	0.0	343.89
SUGP1	967.76	1044.52	825.0	743.43	902.89	651.58	688.78	490.14	698.41	796.86	497.0	547.75	368.65	343.89	1233.75	791.35	629.35	177.53	698.41	242.88	376.41	718.08	497.0	450.94	470.14	493.56	954.43	764.36	633.73	441.64	529.06	909.17	780.44	854.13	660.68	473.41	490.14	587.13	432.53	466.88	0.0	409.15
TBC1D3F	403.5	417.77	551.56	525.39	432.53	518.15	221.86	64.34	178.77	256.78	237.86	81.71	29.27	42.71	941.27	239.52	186.4	0.0	312.0	49.21	21.32	389.72	129.69	215.77	35.25	155.5	651.58	96.68	242.88	195.72	128.79	708.18	392.44	392.44	363.56	74.06	48.18	255.0	21.78	59.13	0.0	10.24
TBC1D3G	450.94	341.51	371.22	267.73	339.14	366.09	246.28	42.71	60.39	241.19	146.03	18.56	5.06	41.22	309.83	143.01	111.99	10.39	361.04	1.58	32.82	206.94	93.35	67.12	32.59	63.89	285.03	71.5	183.82	45.53	53.19	463.65	246.28	175.07	148.09	28.04	10.16	121.79	11.64	33.06	0.0	3.63
TBC1D3H	260.38	299.25	81.71	97.36	125.24	140.04	118.43	11.3	39.22	140.04	52.08	12.09	0.0	11.82	242.88	43.02	47.17	6.62	137.14	0.83	5.82	122.64	36.53	22.59	11.38	25.54	187.71	16.75	57.49	64.34	31.45	237.86	141.02	134.3	49.91	11.55	10.55	77.25	11.21	15.11	0.0	0.46
TGFBI	3395.89	3280.18	2537.92	3168.41	2915.45	4010.71	160252.91	189257.69	343510.77	158046.64	419990.32	205673.01	338781.54	186652.11	106462.55	267651.2	121448.75	201440.3	93325.55	145432.49	242898.5	248002.34	419990.32	301123.38	246289.25	411347.03	13306.94	174152.51	154794.07	186652.11	275175.93	29531.18	148488.36	258533.99	152662.96	190574.09	186652.11	391864.76	294926.33	174152.51	0.0	11504.21
TJAP1	1233.75	1159.07	1073.91	1295.13	1199.98	1208.34	555.41	211.31	406.31	507.46	293.07	341.51	299.25	267.73	909.17	329.84	463.65	187.71	651.58	163.28	229.72	563.18	277.2	267.73	293.07	366.09	791.35	320.8	454.09	256.78	246.28	616.37	547.75	500.46	547.75	218.79	414.87	450.94	255.0	258.57	0.0	108.9
TRIM45	376.41	414.87	514.56	356.05	444.72	194.36	70.51	25.54	34.02	51.71	29.48	26.1	16.88	18.84	111.21	70.51	60.39	6.89	68.07	16.15	43.63	69.52	53.19	38.4	17.64	36.53	110.43	49.21	45.85	21.16	34.26	158.79	40.93	80.57	38.12	23.08	37.59	92.7	31.0	15.56	0.0	8.45
TRIM52	603.67	575.03	599.49	603.67	567.1	665.29	480.04	157.68	320.8	518.15	320.8	223.41	108.14	152.28	1111.82	395.18	493.56	115.16	397.93	187.71	182.55	373.81	293.07	185.11	165.57	368.65	909.17	293.07	379.04	277.2	212.78	738.29	493.56	575.03	698.41	303.44	165.57	503.95	220.32	183.82	0.0	18.03
TRIM74	142.01	191.67	92.05	75.11	54.33	62.12	16.51	5.11	8.0	16.15	4.1	3.06	1.73	11.38	31.67	33.54	42.11	2.78	2.39	0.0	1.6	17.25	8.19	17.77	0.88	1.27	88.26	0.0	9.85	5.15	4.7	51.35	11.82	43.02	10.16	0.0	1.62	9.93	3.26	3.82	0.0	0.16
TSSK3	58.3	80.57	113.56	101.54	119.26	145.02	42.71	12.93	9.78	24.28	21.78	0.0	2.89	8.19	106.63	26.28	49.91	4.31	88.26	18.43	13.52	55.89	19.11	11.47	2.41	15.68	110.43	26.1	30.12	16.88	17.77	97.36	33.3	18.56	32.36	7.94	6.52	13.42	14.45	5.63	0.0	0.0
TTC18	262.2	420.68	314.17	218.79	291.04	211.31	171.45	11.82	28.86	73.03	69.52	32.36	23.08	17.9	182.55	63.0	60.39	9.13	85.82	17.38	27.44	186.4	8.45	63.0	25.72	53.19	279.14	33.78	73.54	45.85	12.93	120.94	46.84	114.36	39.79	17.51	33.06	87.03	13.72	11.3	0.0	0.97
TTLL3	3257.52	3280.18	3303.0	2796.65	3847.29	3103.19	896.64	137.14	356.05	967.76	205.5	175.07	94.01	197.09	2777.33	441.64	961.07	113.56	934.76	76.71	159.9	591.22	379.04	325.29	92.7	182.55	1883.54	176.29	529.06	265.87	246.28	1639.59	633.73	1313.23	684.02	191.67	199.85	738.29	109.66	124.37	0.0	11.3
TUBG2	1662.49	1617.0	1551.09	1487.87	1388.16	1151.06	603.67	205.5	329.84	460.44	403.5	392.44	262.2	318.57	961.07	371.22	540.19	183.82	633.73	242.88	293.07	638.15	409.15	258.57	226.54	289.02	830.75	392.44	532.74	379.04	332.14	1023.0	612.11	587.13	532.74	170.25	450.94	371.22	234.57	343.89	0.0	41.52
TUBGCP6	1350.18	1583.71	1225.22	1242.34	1268.46	1242.34	647.07	120.94	379.04	679.29	351.14	323.03	142.01	205.5	1991.0	500.46	728.11	68.55	688.78	60.39	110.43	403.5	336.79	211.31	186.4	171.45	1233.75	258.57	503.95	423.61	281.09	1359.57	583.07	718.08	403.5	224.97	201.25	547.75	163.28	217.27	0.0	65.26
UBAP1L	142.01	141.02	128.79	169.07	199.85	161.02	49.91	13.12	32.59	59.55	22.1	14.89	11.13	20.26	144.01	29.48	68.07	7.06	55.49	8.25	19.82	95.34	27.84	20.56	3.66	9.2	122.64	27.44	51.71	16.27	10.39	139.07	46.5	57.08	52.45	5.96	12.74	63.89	11.13	12.09	0.0	1.11
WDR27	1151.06	1151.06	974.5	1233.75	1369.04	1268.46	603.67	49.21	285.03	397.93	128.79	124.37	50.63	63.45	1119.56	173.85	249.73	96.68	607.87	74.06	85.82	361.04	144.01	193.01	45.85	81.14	909.17	124.37	341.51	133.36	78.34	1397.83	507.46	624.99	441.64	89.51	41.81	356.05	66.18	56.28	0.0	19.82
WDR6	4123.49	4736.79	4869.99	4450.27	4704.07	4972.34	1059.11	473.41	1277.29	808.0	743.43	954.43	708.18	748.61	3168.41	1304.15	1191.69	316.37	1662.49	500.46	540.19	1199.98	579.04	336.79	842.36	961.07	2609.3	836.53	1001.93	473.41	808.0	3325.99	1313.23	1628.26	1369.04	366.09	624.99	1870.53	612.11	470.14	0.0	224.97
ZBTB48	836.53	941.27	669.92	785.88	660.68	679.29	633.73	273.37	470.14	466.88	483.38	293.07	269.6	336.79	947.83	559.28	575.03	175.07	503.95	88.26	172.65	567.1	343.89	351.14	264.03	356.05	915.51	248.0	571.05	346.29	376.41	718.08	532.74	909.17	341.51	361.04	312.0	511.0	217.27	303.44	0.0	194.36
ZGLP1	127.0	201.25	161.02	162.14	167.9	140.04	43.02	59.13	41.81	50.98	43.32	4.54	24.11	17.38	180.02	51.71	59.13	25.35	40.93	10.16	10.71	82.87	14.24	62.12	6.46	22.75	67.12	23.25	27.44	46.84	32.82	123.5	53.19	118.43	38.95	24.46	18.16	34.75	8.0	17.38	0.0	7.94
ZMAT1	718.08	915.51	813.63	775.05	713.11	813.63	497.0	92.05	198.47	412.0	208.38	115.16	46.84	76.71	647.07	293.07	271.48	53.57	420.68	66.18	156.59	267.73	173.85	93.35	47.17	123.5	981.29	187.71	332.14	178.77	87.65	830.75	289.02	532.74	231.32	64.8	74.06	387.02	92.05	99.43	0.0	0.0
ZNF335	476.71	555.41	444.72	483.38	486.75	450.94	275.28	124.37	198.47	358.54	176.29	166.73	102.97	146.03	368.65	221.86	251.48	78.89	253.23	49.21	57.89	287.01	169.07	212.78	147.06	161.02	295.11	151.22	242.88	185.11	218.79	275.28	262.2	265.87	214.27	96.01	118.43	232.94	86.43	134.3	0.0	77.25
ZNF337	1199.98	1540.37	1313.23	1233.75	1216.75	1088.92	559.28	127.89	323.03	629.35	214.27	178.77	120.94	132.44	753.83	500.46	228.13	169.07	583.07	115.16	186.4	603.67	353.59	303.44	178.77	351.14	802.41	204.07	480.04	215.77	191.67	579.04	432.53	529.06	507.46	190.34	166.73	559.28	155.5	141.02	0.0	47.84
ZNF471	273.37	237.86	373.81	327.56	343.89	470.14	215.77	10.55	30.34	162.14	13.83	48.52	22.92	6.31	403.5	80.57	43.02	41.52	96.01	16.88	109.66	191.67	18.97	5.02	54.33	102.97	79.45	48.52	147.06	13.32	17.25	169.07	53.95	111.21	108.14	7.06	36.27	33.54	19.39	44.57	0.0	5.54
ZNF497	33.06	41.22	24.11	41.22	30.56	23.59	38.12	14.89	18.03	50.63	22.92	19.25	8.0	12.45	28.86	37.85	21.47	5.77	30.34	9.13	22.1	47.84	18.03	23.25	12.09	40.64	37.05	12.27	29.7	20.71	15.56	39.79	25.17	21.01	23.93	15.56	17.9	21.47	14.24	9.93	0.0	2.03
ZNF594	119.26	103.69	151.22	143.01	113.56	110.43	80.01	18.7	52.45	71.5	31.45	39.5	25.54	28.04	221.86	62.56	62.56	18.84	123.5	27.25	60.39	60.82	47.84	15.91	40.64	100.83	143.01	51.35	51.71	56.28	43.02	115.16	82.29	47.17	127.0	28.24	27.64	47.84	33.06	23.93	0.0	7.11
ZNF606	242.88	336.79	293.07	376.41	373.81	260.38	163.28	75.11	98.73	115.16	99.43	81.71	110.43	47.5	271.48	138.1	132.44	55.49	171.45	98.73	141.02	149.12	128.79	27.64	109.66	131.51	232.94	99.43	130.6	128.79	89.51	220.32	167.9	111.21	143.01	127.0	74.58	158.79	102.97	102.25	0.0	11.82
ZNF75D	316.37	329.84	277.2	277.2	258.57	279.14	193.01	107.38	183.82	265.87	120.1	150.17	122.64	128.79	287.01	154.42	164.42	105.15	236.21	124.37	146.03	197.09	143.01	132.44	120.1	166.73	303.44	111.99	180.02	181.28	117.6	251.48	275.28	226.54	193.01	64.34	121.79	206.94	102.25	130.6	0.0	31.22
ZNF76	1674.06	1832.01	2047.0	1781.89	1977.24	1561.89	679.29	181.28	400.71	447.82	389.72	325.29	287.01	249.73	1651.0	351.14	674.59	125.24	693.58	194.36	204.07	551.56	218.79	248.0	262.2	346.29	1277.29	384.34	567.1	255.0	316.37	941.27	624.99	575.03	529.06	246.28	371.22	463.65	285.03	209.84	0.0	90.77
ZNF789	607.87	703.28	684.02	607.87	540.19	450.94	267.73	70.51	148.09	228.13	143.01	116.78	84.04	80.01	808.0	273.37	260.38	43.32	351.14	73.03	111.21	163.28	170.25	236.21	59.13	79.45	555.41	182.55	293.07	142.01	132.44	423.61	229.72	429.54	221.86	80.01	69.03	438.59	105.15	120.94	127.89	16.75
ZNF839	320.8	371.22	414.87	351.14	373.81	316.37	182.55	70.51	133.36	136.19	148.09	180.02	81.71	90.77	403.5	142.01	156.59	80.01	305.55	82.87	92.05	253.23	105.89	128.79	117.6	175.07	258.57	153.34	166.73	135.24	101.54	339.14	267.73	202.66	155.5	92.05	115.16	215.77	88.88	68.07	0.0	57.49
