	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.DD.AAD0.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.G3.A5SI.01A.31R.A27V.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A11D.01A.11R.A131.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.3K.AAZ8.01A.12R.A39D.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.YFC4.1526.SM.5IFJS	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC
GIMAP5	165.57	358.54	53.57	209.84	426.57	186.4	140.04	75.11	151.22	271.48	177.53	121.79	384.34	293.07	209.84	194.36	239.52	119.26	198.47	171.45	226.54	536.45	480.04	669.92	165.57	429.54	363.56	830.75	164.42	759.08	387.02	277.2	426.57	693.58	320.8	466.88	2400.97	1369.04	175.07	915.51	665.29	819.3	1304.15	312.0	785.88	674.59	536.45	909.17	525.39	674.59	967.76	269.6	540.19	974.5	457.25	159.9	1437.15	665.29	514.56	665.29	460.44	718.08	769.69	1407.55	785.88	764.36	802.41	229.72	373.81	161.02	1551.09	1378.57	693.58	199.85	226.54	954.43	995.0	642.59	281.09	199.85	497.0
GNB4	10.79	30.78	1.07	3.92	13.72	1.55	2.81	1.77	8.45	10.55	5.32	2.76	21.78	3.92	18.43	3.2	12.36	2.1	8.0	2.76	9.93	70.01	40.07	80.57	3.5	18.84	10.47	44.89	11.21	18.56	33.3	29.27	16.15	75.64	25.91	26.86	231.32	100.13	28.45	84.04	53.19	16.27	73.54	12.83	28.86	64.34	69.52	45.53	63.0	84.04	90.77	12.45	29.91	58.3	27.05	7.28	47.17	32.13	10.39	40.07	44.57	22.75	28.65	29.91	37.05	74.58	126.12	18.16	11.47	19.82	98.04	49.91	20.26	27.25	8.19	55.1	42.71	54.72	33.06	11.64	32.59
HDAC9	7.94	20.41	2.03	7.17	5.45	2.58	1.83	0.58	3.69	5.87	1.36	1.48	15.22	0.68	6.16	1.55	5.54	1.77	4.58	2.66	16.03	24.81	26.86	59.13	8.92	20.41	13.22	34.02	2.29	9.41	12.83	14.78	14.67	41.22	21.63	35.5	143.01	34.75	25.72	17.77	18.84	43.63	56.28	47.5	63.45	45.21	20.11	94.67	12.45	80.01	82.29	2.81	29.7	79.45	2.32	18.84	22.26	50.98	6.06	51.35	24.11	40.64	36.27	32.36	13.12	25.72	54.72	5.02	10.47	6.67	140.04	57.49	22.43	20.26	1.66	58.71	63.45	23.93	45.53	5.28	43.94
IL13RA2	15.11	90.77	5.68	2.56	0.32	4.78	2.71	0.68	1.1	6.94	5.02	5.82	6.89	5.96	0.62	18.16	0.01	2.63	7.63	0.0	8.78	271.48	104.42	51.71	35.5	101.54	120.94	199.85	61.68	159.9	172.65	51.35	120.94	140.04	85.22	28.24	507.46	674.59	13.83	45.85	454.09	70.01	480.04	14.56	186.4	202.66	98.73	764.36	64.34	189.02	463.65	31.45	46.84	500.46	98.73	0.0	171.45	125.24	21.16	201.25	77.25	64.34	248.0	78.34	70.51	97.36	135.24	6.67	248.0	38.4	620.67	356.05	96.01	34.26	113.56	45.85	381.68	183.82	246.28	7.28	669.92
IL33	94.01	212.78	1.23	66.18	140.04	14.56	40.07	24.46	68.55	54.72	12.93	15.22	100.13	26.47	56.68	39.22	108.14	70.01	41.81	13.42	98.73	497.0	251.48	351.14	50.98	303.44	267.73	718.08	161.02	363.56	540.19	193.01	194.36	409.15	194.36	309.83	1628.26	1350.18	68.55	389.72	759.08	301.33	723.08	87.65	191.67	860.08	559.28	571.05	403.5	698.41	507.46	142.01	248.0	656.11	872.1	60.39	423.61	429.54	221.86	406.31	334.46	329.84	323.03	400.71	607.87	376.41	3303.0	115.97	241.19	96.68	830.75	1870.53	366.09	246.28	64.34	656.11	713.11	325.29	432.53	258.57	423.61
KIF19	4.62	10.24	1.1	0.51	4.46	1.6	0.78	0.4	0.0	1.73	0.87	0.77	2.81	0.46	1.83	1.53	0.95	0.47	1.25	1.11	5.5	25.54	32.13	17.9	5.23	14.24	13.62	29.7	4.9	19.97	16.27	8.45	15.91	14.35	18.56	15.8	26.86	38.67	3.47	12.83	18.84	19.68	31.0	5.41	35.5	12.09	18.43	32.82	31.0	22.59	17.77	13.52	9.7	18.43	18.97	8.0	24.99	29.91	16.75	18.29	23.08	19.25	14.03	15.34	49.21	22.26	42.71	5.92	13.22	7.88	42.11	44.25	15.8	10.24	8.58	39.79	17.51	13.03	31.22	12.93	9.27
LEPREL1	35.0	59.55	12.74	24.46	18.43	16.63	6.41	7.34	30.34	16.03	13.62	8.32	35.5	49.56	16.39	13.52	23.59	8.25	18.43	11.38	34.75	112.77	96.68	128.79	37.59	88.26	72.01	258.57	56.28	96.68	117.6	47.17	63.0	145.02	78.89	115.97	638.15	232.94	38.4	86.43	154.42	77.79	163.28	40.93	129.69	97.36	83.45	191.67	189.02	97.36	156.59	38.4	44.25	190.34	55.1	28.04	255.0	64.34	101.54	100.83	81.71	64.8	137.14	142.01	70.51	101.54	106.63	50.27	106.63	98.73	264.03	237.86	134.3	26.86	44.57	163.28	190.34	90.77	56.68	10.71	83.45
LIFR	152.28	201.25	2.25	13.72	27.84	1.71	9.34	1.58	37.59	6.21	2.18	24.81	104.42	16.03	16.63	4.46	5.77	25.72	30.34	18.7	129.69	303.44	318.57	363.56	73.03	262.2	170.25	503.95	115.97	255.0	303.44	132.44	127.89	376.41	155.5	212.78	1757.34	493.56	56.28	158.79	228.13	463.65	438.59	148.09	107.38	500.46	303.44	447.82	305.55	221.86	476.71	69.52	90.14	514.56	38.4	87.03	144.01	112.77	122.64	164.42	356.05	232.94	363.56	688.78	256.78	660.68	384.34	182.55	224.97	175.07	1081.39	890.44	305.55	90.77	59.13	743.43	444.72	343.89	116.78	32.59	287.01
LYVE1	56.28	336.79	3.06	12.0	131.51	27.64	14.78	13.22	15.45	19.25	7.82	14.45	80.01	54.33	35.76	44.25	5.92	8.13	2.84	4.31	29.06	1519.15	583.07	995.0	58.71	346.29	329.84	878.17	246.28	1037.29	285.03	158.79	426.57	909.17	460.44	872.1	2855.44	1583.71	48.52	884.29	909.17	612.11	1674.06	195.72	540.19	1242.34	1191.69	1096.5	785.88	802.41	1037.29	249.73	738.29	1066.48	309.83	86.43	1175.27	480.04	633.73	928.3	450.94	152.28	1023.0	995.0	915.51	884.29	1447.15	269.6	728.11	241.19	1794.29	1225.22	884.29	246.28	183.82	848.22	1709.26	836.53	460.44	144.01	728.11
MARCO	209.84	928.3	6.11	4.35	5.73	2.03	0.33	0.06	1.85	6.84	2.14	0.06	82.29	5.32	0.0	3.23	0.45	22.26	1.81	4.06	301.33	4704.07	2193.99	3257.52	486.75	514.56	2018.8	3564.78	599.49	1963.57	2209.26	1322.37	1286.18	5672.41	1216.75	1662.49	26614.89	10014.87	232.94	4769.75	12415.75	3443.31	5329.3	1617.0	14765.09	1331.57	4512.4	16045.82	2255.7	12764.83	6840.04	1340.84	6471.02	16045.82	6516.03	201.25	22225.61	1662.49	2956.17	11909.94	2351.53	808.0	5831.91	16157.44	603.67	4903.87	12943.04	819.3	3982.99	264.03	19892.37	2502.97	2193.99	2875.3	429.54	5183.54	22850.48	1806.78	2976.74	1467.37	5147.73
MPEG1	43.63	166.73	21.47	56.28	234.57	38.67	18.29	16.03	52.08	95.34	36.79	16.75	124.37	27.64	75.11	45.21	66.18	10.63	55.49	82.29	40.93	555.41	249.73	476.71	37.32	81.14	116.78	366.09	56.28	145.02	251.48	113.56	99.43	473.41	142.01	260.38	1073.91	1081.39	73.54	802.41	441.64	454.09	500.46	185.11	493.56	361.04	493.56	660.68	412.0	521.76	551.56	307.69	312.0	620.67	283.05	172.65	579.04	244.57	325.29	417.77	483.38	163.28	406.31	708.18	90.77	780.44	842.36	58.71	229.72	87.65	708.18	262.2	417.77	185.11	56.28	718.08	665.29	381.68	189.02	185.11	325.29
MS4A6A	514.56	1242.34	95.34	356.05	420.68	303.44	66.65	53.95	287.01	563.18	166.73	66.18	551.56	90.14	264.03	150.17	395.18	86.43	153.34	301.33	420.68	4268.94	2163.77	3716.2	454.09	1378.57	1721.16	3690.52	599.49	2075.59	1745.2	802.41	1313.23	3928.15	1628.26	2417.67	14461.21	6426.31	656.11	3349.13	2209.26	2451.44	3257.52	1233.75	2537.92	4066.71	3235.01	5517.27	1857.6	2573.36	5555.65	1467.37	1844.76	6745.86	748.61	954.43	5872.48	1639.59	1498.22	3768.09	2915.45	1437.15	2855.44	6079.61	1991.0	3820.7	2502.97	842.36	1259.69	928.3	5995.9	5913.33	2271.4	941.27	669.92	4575.41	6337.83	3124.78	1051.79	341.51	2485.67
MS4A7	151.22	395.18	19.53	120.94	299.25	202.66	35.5	22.75	102.97	218.79	86.43	6.89	209.84	63.45	63.0	52.82	77.79	41.52	56.28	69.52	163.28	915.51	684.02	860.08	103.69	289.02	329.84	612.11	167.9	307.69	507.46	329.84	303.44	1151.06	417.77	808.0	2835.7	1322.37	119.26	1001.93	915.51	518.15	813.63	429.54	1286.18	718.08	909.17	2148.82	591.22	836.53	1073.91	769.69	860.08	1437.15	463.65	363.56	1883.54	595.34	518.15	1498.22	642.59	603.67	769.69	1008.9	229.72	1127.35	1037.29	191.67	723.08	185.11	1832.01	813.63	547.75	529.06	223.41	967.76	2255.7	866.07	493.56	591.22	780.44
MYCT1	55.1	100.13	9.13	30.34	63.89	23.08	25.72	16.03	44.57	43.63	42.71	14.78	106.63	42.41	44.89	34.51	55.89	25.91	41.52	19.97	50.27	141.02	102.25	154.42	23.42	85.22	81.14	157.68	50.98	143.01	103.69	67.59	92.05	118.43	84.63	117.6	409.15	255.0	29.48	116.78	170.25	98.04	136.19	50.27	87.65	236.21	155.5	180.02	127.89	181.28	183.82	54.72	65.72	165.57	86.43	38.12	120.94	102.25	100.83	108.9	114.36	128.79	99.43	154.42	172.65	143.01	265.87	58.3	88.26	68.07	314.17	450.94	122.64	78.34	30.34	153.34	204.07	95.34	100.13	55.49	106.63
NTN4	122.64	373.81	158.79	162.14	470.14	46.84	88.26	85.82	48.87	74.58	35.0	140.04	140.04	177.53	234.57	112.77	60.82	84.63	93.35	26.47	152.28	525.39	376.41	426.57	140.04	301.33	265.87	547.75	211.31	486.75	305.55	309.83	214.27	447.82	334.46	334.46	1023.0	2400.97	289.02	346.29	339.14	444.72	1519.15	182.55	258.57	551.56	988.12	753.83	703.28	363.56	698.41	187.71	164.42	748.61	234.57	151.22	529.06	327.56	412.0	395.18	559.28	141.02	878.17	1662.49	392.44	642.59	884.29	114.36	473.41	217.27	1111.82	599.49	961.07	115.16	141.02	842.36	947.83	571.05	95.34	173.85	450.94
OIT3	289.02	830.75	76.71	56.68	76.71	35.5	64.34	27.84	59.55	58.3	76.17	49.91	178.77	63.89	74.06	67.59	47.84	76.71	98.73	32.59	180.02	2555.58	1397.83	1721.16	262.2	961.07	825.0	3018.3	603.67	1135.2	1081.39	866.07	1397.83	1639.59	981.29	1397.83	14262.1	5366.37	242.88	753.83	4419.52	1208.34	2319.15	503.95	3018.3	2855.44	1721.16	2451.44	2075.59	3257.52	2997.45	738.29	967.76	6381.92	1059.11	229.72	2148.82	1350.18	921.88	3039.3	1388.16	688.78	2148.82	2148.82	1388.16	1008.9	3467.27	497.0	1081.39	825.0	9344.14	5791.62	748.61	954.43	536.45	3325.99	4123.49	1950.0	2502.97	170.25	2271.4
ORM1	1179708.33	762299.34	147462.67	875652.15	938500.81	58250.19	47313.67	102836.01	561916.97	156954.93	191899.64	28328.16	746611.43	132900.7	659036.03	138544.47	355624.68	159145.95	77934.88	179048.63	1282030.25	1864037.21	839981.65	1578364.61	1264380.15	762299.34	1012856.65	1524599.69	822695.06	1155430.26	1383603.33	1255646.43	1751305.3	1916442.45	794671.01	1890058.21	2156109.97	437825.58	887875.81	4136558.78	3676749.88	3070409.25	2691538.19	1656835.72	3156730.23	2748093.15	3576208.94	2767207.65	2748093.15	3313672.43	1131651.83	1775752.63	1916442.45	3780117.42	4165330.83	1956711.0	2986448.72	2082664.91	3313672.43	2617937.91	2654482.97	1374046.07	5572911.22	8505707.6	2825352.59	4051429.61	2965819.8	4282434.24	3028138.0	1656835.72	1600397.78	1514068.5	6183532.28	4433454.0	4433454.0	3832885.91	3859545.74	2767207.65	2068278.89	800198.39	1739208.14
OSTF1	624.99	825.0	412.0	483.38	624.99	463.65	384.34	454.09	450.94	397.93	660.68	420.68	791.35	559.28	679.29	507.46	638.15	665.29	420.68	447.82	718.08	1008.9	860.08	896.64	674.59	785.88	728.11	866.07	708.18	1088.92	813.63	808.0	915.51	1304.15	775.05	934.76	1407.55	1733.13	723.08	974.5	1216.75	860.08	1143.1	665.29	909.17	1183.45	1051.79	1397.83	1073.91	1088.92	961.07	713.11	674.59	1369.04	1073.91	684.02	1286.18	974.5	543.96	1127.35	854.13	995.0	775.05	775.05	785.88	1030.12	1769.57	819.3	796.86	620.67	1023.0	1447.15	878.17	688.78	693.58	1066.48	1313.23	860.08	679.29	791.35	842.36
P2RY13	11.04	33.78	1.25	12.64	23.25	3.82	2.16	1.0	7.11	10.24	3.08	1.28	19.39	5.06	12.74	5.36	4.46	2.56	2.71	7.88	22.26	124.37	47.17	130.6	10.08	11.55	46.18	144.01	14.14	26.86	85.82	31.0	37.05	142.01	29.7	66.65	293.07	96.68	26.28	72.52	197.09	103.69	52.82	40.93	134.3	108.9	77.79	269.6	37.32	177.53	163.28	64.34	93.35	162.14	43.94	38.12	189.02	69.52	25.17	142.01	114.36	51.35	95.34	202.66	27.05	45.21	121.79	12.93	38.4	23.76	248.0	44.89	77.79	39.5	15.56	163.28	176.29	56.68	19.97	23.08	88.26
PDE6G	8.65	43.02	16.39	16.63	115.16	7.75	7.0	14.45	14.78	11.64	7.57	5.59	37.59	20.26	14.03	14.56	6.52	14.67	8.78	19.11	10.08	97.36	81.14	43.32	25.35	62.12	74.06	147.06	24.11	78.89	30.56	45.85	42.41	83.45	46.18	47.84	403.5	116.78	61.25	187.71	148.09	67.59	142.01	15.34	249.73	101.54	19.68	181.28	63.89	105.15	78.89	36.27	20.11	164.42	109.66	19.25	87.03	67.12	35.76	141.02	133.36	123.5	55.49	30.56	41.52	115.97	193.01	13.32	68.07	96.01	244.57	107.38	141.02	47.5	77.25	128.79	171.45	16.27	30.12	54.72	19.25
PITPNM3	13.22	30.56	0.36	2.14	5.11	0.39	0.72	0.0	0.79	0.42	0.41	0.0	2.03	1.93	2.43	0.0	1.28	3.08	2.53	4.43	11.91	18.56	25.17	48.18	6.11	18.97	28.04	39.22	3.82	7.88	19.11	11.04	14.24	22.59	44.57	15.22	287.01	49.91	2.94	38.67	22.59	46.18	90.14	9.27	85.22	31.0	29.91	186.4	120.1	9.48	108.14	9.63	15.34	107.38	2.68	3.56	8.06	8.0	46.5	37.85	40.93	6.62	138.1	249.73	51.71	103.69	17.38	3.2	35.5	6.52	381.68	94.01	88.26	6.26	6.52	215.77	59.13	91.41	2.63	2.97	83.45
PLAC8	176.29	281.09	9.63	15.91	32.13	24.81	11.91	3.06	23.42	14.67	0.0	3.38	31.0	19.25	5.36	6.57	13.72	4.35	18.16	12.55	91.41	518.15	400.71	454.09	157.68	329.84	432.53	764.36	147.06	384.34	540.19	307.69	381.68	423.61	305.55	559.28	7081.29	3235.01	156.59	435.55	1143.1	1167.14	1427.22	195.72	842.36	314.17	256.78	1059.11	281.09	878.17	1030.12	165.57	131.51	3564.78	397.93	283.05	4937.99	236.21	379.04	967.76	400.71	679.29	191.67	287.01	228.13	197.09	2777.33	132.44	80.57	118.43	1870.53	1721.16	476.71	341.51	109.66	1551.09	2319.15	229.72	379.04	132.44	595.34
PRUNE2	8.38	11.04	0.58	3.53	13.03	4.17	1.36	2.81	10.16	7.75	1.51	1.71	7.34	11.47	8.51	3.99	4.78	0.66	12.18	4.21	10.63	35.25	35.76	24.28	6.16	22.43	22.26	40.07	6.89	24.11	24.99	17.64	22.75	33.3	18.03	25.72	185.11	45.21	5.63	41.52	61.25	30.34	29.7	12.09	43.94	60.39	26.47	95.34	37.59	47.17	120.1	39.22	15.34	62.12	37.32	3.08	84.63	19.39	9.78	64.8	34.26	33.54	30.12	83.45	13.72	30.12	110.43	3.89	7.11	4.03	88.88	90.14	43.63	6.57	16.27	67.59	96.68	35.0	36.79	17.0	23.93
PVALB	58.3	45.21	0.0	0.0	2.16	0.0	2.01	0.0	1.36	1.73	0.0	3.29	0.0	0.0	0.0	1.51	0.0	5.15	1.64	4.58	50.98	149.12	86.43	186.4	56.28	98.73	74.06	44.89	23.08	74.58	72.52	33.54	144.01	128.79	144.01	211.31	703.28	223.41	7.22	25.54	191.67	165.57	312.0	11.73	215.77	32.36	135.24	140.04	171.45	94.01	139.07	47.5	22.59	432.53	60.82	14.24	125.24	77.79	41.52	182.55	80.57	147.06	165.57	180.02	307.69	70.01	223.41	25.91	164.42	34.26	607.87	587.13	155.5	41.52	133.36	98.04	361.04	43.63	49.91	75.64	279.14
RAMP3	193.01	490.14	6.06	111.99	529.06	248.0	97.36	115.97	125.24	368.65	183.82	88.26	974.5	293.07	234.57	190.34	269.6	151.22	316.37	90.77	183.82	476.71	414.87	511.0	164.42	483.38	660.68	1794.29	182.55	748.61	283.05	209.84	450.94	679.29	420.68	314.17	2520.38	3540.14	91.41	1088.92	1159.07	1143.1	1073.91	164.42	1605.83	551.56	486.75	1605.83	656.11	738.29	1015.93	353.59	307.69	1950.0	785.88	112.77	759.08	441.64	273.37	928.3	412.0	299.25	1159.07	1119.56	698.41	656.11	297.17	163.28	866.07	172.65	2609.3	2855.44	878.17	279.14	249.73	738.29	703.28	1088.92	463.65	163.28	1037.29
RGL1	48.87	106.63	152.28	26.67	77.25	39.5	34.75	25.17	45.53	60.39	18.56	13.12	95.34	115.97	63.89	51.35	33.06	21.47	92.7	34.26	46.84	248.0	164.42	206.94	43.02	94.01	69.03	190.34	52.08	120.1	96.01	88.26	88.26	269.6	80.57	129.69	454.09	395.18	33.06	244.57	193.01	175.07	190.34	123.5	249.73	226.54	165.57	417.77	189.02	234.57	289.02	132.44	137.14	264.03	120.94	51.35	387.02	118.43	125.24	295.11	224.97	81.71	178.77	158.79	76.71	244.57	205.5	73.03	136.19	69.52	432.53	193.01	135.24	87.03	26.28	223.41	320.8	108.9	145.02	77.25	209.84
SCIMP	23.93	54.33	4.46	11.38	34.26	13.52	3.47	2.84	15.0	17.25	7.46	1.95	20.71	6.31	6.01	3.26	17.77	5.77	11.64	17.38	13.22	156.59	89.51	149.12	28.24	18.03	59.97	138.1	25.72	50.27	92.05	36.01	45.53	146.03	53.95	76.71	376.41	279.14	43.02	253.23	195.72	158.79	131.51	117.6	176.29	82.29	85.22	291.04	75.11	137.14	212.78	130.6	126.12	242.88	78.34	52.45	275.28	82.87	114.36	177.53	102.97	43.94	85.22	256.78	12.83	209.84	220.32	21.63	70.51	22.75	318.57	81.71	128.79	40.93	30.12	218.79	258.57	126.12	67.12	47.17	81.71
SDC3	147.06	220.32	37.59	85.22	119.26	38.95	16.63	66.18	267.73	105.89	138.1	26.67	162.14	95.34	100.13	45.53	118.43	35.76	43.63	64.34	125.24	703.28	450.94	723.08	80.01	158.79	194.36	555.41	94.67	145.02	277.2	189.02	183.82	571.05	211.31	334.46	2104.58	555.41	92.7	830.75	759.08	490.14	511.0	229.72	571.05	441.64	414.87	785.88	473.41	507.46	825.0	206.94	379.04	1457.23	299.25	115.97	656.11	334.46	293.07	848.22	624.99	181.28	316.37	579.04	97.36	575.03	397.93	102.25	249.73	147.06	1199.98	361.04	373.81	156.59	73.03	633.73	961.07	441.64	275.28	141.02	571.05
SIGLEC9	29.7	51.35	10.24	9.63	29.7	7.06	1.48	5.87	26.1	15.8	7.82	3.5	15.45	5.63	9.27	3.63	12.74	4.13	10.24	5.5	13.32	109.66	102.97	87.03	26.1	45.53	52.08	137.14	36.53	43.94	72.52	45.85	51.35	129.69	38.67	92.7	244.57	236.21	35.76	163.28	198.47	113.56	110.43	72.01	91.41	58.71	100.83	175.07	126.12	127.0	171.45	77.79	114.36	206.94	88.88	55.89	255.0	85.22	75.64	150.17	149.12	94.67	85.22	150.17	46.84	104.42	228.13	57.49	48.87	103.69	143.01	106.63	122.64	94.67	25.17	205.5	239.52	115.97	72.01	18.16	102.97
SLC7A8	29.27	104.42	18.16	23.25	35.25	18.03	14.45	17.64	76.71	35.0	9.41	10.63	49.91	21.16	21.47	16.27	16.75	12.27	20.71	20.26	27.25	397.93	197.09	267.73	37.85	106.63	86.43	208.38	53.19	120.1	111.21	76.71	111.99	332.14	102.25	264.03	1119.56	660.68	11.91	403.5	224.97	205.5	406.31	85.82	283.05	166.73	258.57	629.35	173.85	232.94	251.48	106.63	157.68	656.11	100.83	35.0	264.03	262.2	253.23	289.02	226.54	129.69	269.6	318.57	107.38	341.51	114.36	54.72	120.94	24.46	775.05	285.03	182.55	75.64	55.49	236.21	493.56	218.79	127.89	78.34	205.5
SLC8A1	15.56	25.91	2.2	5.63	11.64	2.43	1.0	3.47	8.65	6.57	2.2	1.93	12.93	2.97	8.32	5.82	8.51	3.76	4.21	4.39	10.55	60.82	26.28	71.0	6.46	19.97	18.56	36.27	7.63	31.0	43.32	20.26	14.67	62.12	28.45	36.01	199.85	57.49	23.59	45.53	21.94	15.22	79.45	22.75	14.89	64.34	59.55	50.27	19.53	29.06	67.59	8.51	13.03	80.01	9.85	17.25	29.06	8.99	7.4	41.52	27.05	20.86	12.83	34.51	11.04	38.95	98.04	52.82	18.84	47.5	85.82	52.45	22.75	13.22	31.45	30.56	41.22	28.04	16.27	6.57	32.13
SLC9A9	33.3	40.64	4.78	18.03	38.12	10.0	5.96	4.58	43.63	17.9	10.47	5.5	36.27	18.29	16.51	9.27	19.39	4.66	7.88	15.8	21.32	145.02	83.45	88.88	16.51	43.32	52.08	119.26	22.59	64.34	57.08	39.5	47.84	136.19	42.71	76.17	412.0	138.1	22.43	94.67	131.51	59.13	100.13	47.5	75.64	114.36	71.0	231.32	45.21	107.38	165.57	22.92	46.18	242.88	61.68	47.84	182.55	86.43	29.48	150.17	90.77	49.91	59.55	65.26	10.79	59.55	87.03	22.92	63.45	40.93	215.77	143.01	45.85	37.85	25.72	83.45	165.57	52.82	114.36	16.27	98.73
TEK	26.47	73.54	0.89	22.26	36.01	10.71	7.69	4.58	25.72	25.72	18.7	5.19	87.65	10.08	16.88	8.13	35.0	15.8	26.86	7.51	40.64	132.44	86.43	119.26	15.45	67.12	58.3	138.1	35.5	98.04	70.01	46.84	47.5	100.13	72.52	63.45	503.95	583.07	7.57	155.5	105.89	106.63	299.25	34.02	80.01	218.79	232.94	221.86	172.65	108.14	228.13	31.45	56.28	256.78	37.05	15.56	98.73	73.03	70.51	137.14	124.37	58.3	186.4	291.04	151.22	170.25	175.07	37.05	87.03	39.22	463.65	215.77	248.0	24.63	33.3	206.94	220.32	120.1	67.12	24.63	159.9
TLR4	56.68	113.56	9.34	16.63	44.89	8.58	15.22	92.05	50.98	30.56	14.14	10.16	48.18	15.45	19.53	48.52	17.9	31.45	28.24	10.47	27.25	229.72	139.07	140.04	31.67	100.13	53.57	147.06	57.49	157.68	97.36	75.11	84.63	201.25	77.79	111.21	392.44	551.56	33.3	143.01	139.07	148.09	450.94	74.58	100.83	157.68	269.6	281.09	199.85	183.82	175.07	84.63	60.82	194.36	85.82	30.78	186.4	63.89	139.07	134.3	198.47	112.77	128.79	183.82	157.68	273.37	226.54	83.45	59.97	28.86	236.21	151.22	191.67	37.05	78.89	299.25	181.28	161.02	41.81	57.49	82.29
TSPAN7	226.54	323.03	162.14	86.43	190.34	127.0	150.17	93.35	217.27	102.97	75.64	45.21	218.79	113.56	142.01	108.9	111.21	108.9	88.26	41.22	134.3	769.69	579.04	679.29	101.54	358.54	332.14	890.44	223.41	698.41	423.61	305.55	409.15	500.46	547.75	579.04	2835.7	1561.89	74.06	480.04	1111.82	890.44	1183.45	221.86	738.29	1225.22	1001.93	981.29	1081.39	595.34	860.08	229.72	312.0	1350.18	187.71	95.34	629.35	420.68	511.0	802.41	703.28	454.09	748.61	934.76	802.41	878.17	1191.69	223.41	463.65	289.02	2351.53	1277.29	819.3	224.97	172.65	1216.75	1781.89	890.44	387.02	152.28	728.11
