	TCGA.W5.AA2I.11A.11R.A41I.07	GTEX.Y9LG.1526.SM.4WWDR	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.ZT9W.1826.SM.51MQX	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11OF3.2326.SM.5GU73	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KL.8323.01A.21R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KN.8425.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KL.8334.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.AK.3433.01A.02R.1277.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A116.11A.12R.A26B.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.X261.1726.SM.4PQYT	GTEX.11NV4.1326.SM.5HL6V	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.12WSM.0726.SM.5GCOW	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.XBEC.1526.SM.4AT68	GTEX.11DXY.0526.SM.5EGGQ	GTEX.145MO.2326.SM.5NQ9K	GTEX.RN64.1826.SM.48FDV	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.HU.8238.01A.11R.2343.13	TCGA.CG.5734.11A.01R.1602.13	GTEX.VJYA.1026.SM.4KL21	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
BCL2	12.36	115.16	87.03	102.25	134.3	68.07	45.53	130.6	301.33	142.01	180.02	194.36	269.6	171.45	123.5	106.63	181.28	226.54	620.67	486.75	503.95	285.03	165.57	171.45	753.83	486.75	583.07	764.36	540.19	555.41	660.68	395.18	503.95	579.04	384.34	595.34	612.11	460.44	647.07	258.57	287.01	242.88	45.53	490.14	825.0	100.83	373.81	412.0	226.54	303.44	127.0	90.77	178.77	85.82	738.29	262.2	176.29	241.19	50.27	11.3	55.89	32.82	9.85	22.59	14.89	26.47	15.91	27.05	28.65	14.45	134.3	8.92	11.82	12.55	52.08	25.35	40.93	45.85	22.1	18.29	33.3	28.65	13.12	11.04	11.55	9.41	13.52	38.12	23.76	34.02	81.14	29.48	50.98	77.79	36.27	57.49	220.32	107.38	71.5	157.68	81.14	291.04	242.88
BCL2L2	212.78	575.03	665.29	854.13	1295.13	638.15	476.71	1225.22	1191.69	947.83	1143.1	1250.98	1259.69	1427.22	1001.93	1359.57	1857.6	1350.18	1225.22	2384.37	1340.84	1073.91	1191.69	1208.34	854.13	1331.57	1519.15	1605.83	813.63	1819.35	1572.76	1037.29	1685.71	1313.23	1313.23	1059.11	1757.34	1540.37	1457.23	551.56	896.64	563.18	733.19	884.29	1135.2	171.45	674.59	1407.55	988.12	872.1	674.59	420.68	514.56	483.38	1709.26	389.72	567.1	476.71	289.02	226.54	366.09	251.48	140.04	256.78	113.56	264.03	182.55	167.9	171.45	291.04	205.5	329.84	116.78	180.02	218.79	182.55	169.07	114.36	234.57	126.12	228.13	236.21	152.28	114.36	183.82	110.43	125.24	172.65	181.28	543.96	547.75	366.09	441.64	629.35	497.0	728.11	947.83	679.29	500.46	669.92	476.71	1628.26	703.28
BICD2	99.43	93.35	113.56	147.06	265.87	94.67	69.52	417.77	316.37	312.0	389.72	400.71	381.68	249.73	318.57	332.14	348.71	348.71	265.87	295.11	323.03	341.51	373.81	358.54	260.38	476.71	490.14	305.55	256.78	400.71	476.71	387.02	384.34	236.21	348.71	285.03	447.82	242.88	387.02	253.23	392.44	231.32	368.65	295.11	518.15	50.27	205.5	314.17	269.6	271.48	281.09	312.0	271.48	318.57	318.57	348.71	295.11	339.14	175.07	136.19	256.78	92.7	105.89	142.01	75.64	127.89	121.79	98.04	97.36	147.06	236.21	105.15	77.79	102.25	191.67	134.3	141.02	97.36	161.02	127.89	105.89	125.24	136.19	72.52	115.16	45.53	106.63	173.85	106.63	197.09	229.72	189.02	63.0	232.94	157.68	183.82	373.81	336.79	244.57	205.5	236.21	204.07	191.67
BLOC1S6	224.97	348.71	307.69	332.14	447.82	249.73	186.4	329.84	559.28	497.0	591.22	414.87	420.68	525.39	583.07	417.77	480.04	417.77	563.18	450.94	397.93	264.03	279.14	291.04	246.28	607.87	497.0	616.37	511.0	674.59	493.56	361.04	595.34	1008.9	379.04	376.41	460.44	460.44	684.02	511.0	642.59	525.39	563.18	353.59	607.87	223.41	555.41	599.49	679.29	583.07	341.51	237.86	363.56	341.51	607.87	287.01	444.72	438.59	521.76	267.73	466.88	244.57	237.86	287.01	150.17	299.25	320.8	285.03	201.25	223.41	289.02	309.83	191.67	336.79	358.54	198.47	218.79	193.01	325.29	206.94	256.78	208.38	212.78	305.55	189.02	242.88	915.51	242.88	289.02	343.89	454.09	392.44	228.13	329.84	199.85	224.97	444.72	363.56	343.89	295.11	486.75	532.74	251.48
C11orf87	0.0	0.44	0.0	0.0	0.47	0.0	0.0	3.03	1.16	6.52	3.99	0.0	0.0	0.47	0.47	0.0	5.23	0.0	1.87	3.47	1.2	0.0	0.82	0.0	0.8	0.42	0.0	5.73	1.43	0.0	1.16	1.64	0.73	0.0	0.0	1.97	1.19	0.37	0.0	0.68	0.3	0.36	0.45	8.78	0.42	0.78	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	2.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29	0.8	0.74	0.39	0.0	0.0	0.73	0.73	0.0	0.77	0.0	0.0	0.0	0.0
C12orf4	47.17	142.01	178.77	129.69	178.77	105.15	88.26	187.71	150.17	175.07	128.79	149.12	147.06	281.09	123.5	100.13	166.73	62.56	220.32	129.69	147.06	111.21	107.38	56.68	102.25	182.55	182.55	129.69	145.02	175.07	186.4	109.66	201.25	253.23	120.94	149.12	134.3	208.38	255.0	143.01	165.57	134.3	289.02	167.9	307.69	125.24	118.43	265.87	157.68	148.09	99.43	41.22	77.79	131.51	215.77	96.01	111.99	111.99	92.7	73.03	125.24	61.25	45.21	49.56	18.29	53.57	75.64	76.71	36.53	41.52	96.68	78.34	94.67	60.39	88.26	69.52	49.21	41.22	66.65	31.45	73.54	64.8	72.52	70.51	72.01	14.24	75.64	41.81	63.89	106.63	144.01	220.32	107.38	171.45	122.64	175.07	138.1	148.09	172.65	220.32	152.28	231.32	217.27
C12orf77	0.0	0.0	1.35	0.0	1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	181.28	25.17	14.78	158.79	264.03	3.23	1.19	0.0	99.43	3.2	5.11	23.42	18.97	23.76	156.59	0.8	19.25	33.78	67.12	8.25	32.82	0.0	3.76	0.0	0.0	33.3	12.27	9.78	34.26	58.71	0.99	0.91	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.14	1.77	5.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0
C16orf11	0.0	0.88	0.0	0.0	0.0	0.24	0.53	0.77	0.37	0.0	0.0	0.39	0.0	0.75	0.0	1.64	0.77	0.0	3.69	0.0	16.63	3.35	1.6	1.87	187.71	129.69	82.29	0.4	3.29	2.66	27.44	4.86	0.0	5.63	6.67	47.17	0.79	10.24	169.07	651.58	316.37	660.68	202.66	2.41	4.98	18.7	0.0	9.2	202.66	142.01	0.0	0.0	0.0	0.0	23.76	0.39	0.44	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	1.5	1.08	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.99	0.0	0.0	0.0	0.8	0.83	0.0	2.07	0.49	4.43	0.0	0.0	0.0	0.0
C1orf95	1.3	18.03	22.1	33.54	26.1	13.72	5.45	674.59	74.58	127.89	75.64	397.93	389.72	599.49	164.42	143.01	244.57	77.25	0.39	84.63	114.36	3.86	17.25	37.05	54.33	26.67	6.84	47.5	45.85	42.71	40.64	231.32	93.35	10.88	68.55	87.03	72.01	29.06	72.52	103.69	155.5	74.06	119.26	58.71	61.68	76.71	46.84	27.64	102.25	62.12	2.48	4.03	1.17	41.52	269.6	15.11	10.31	0.51	1.19	0.72	18.56	1.3	4.78	0.75	0.66	1.36	0.0	3.66	1.43	4.21	10.0	4.86	2.84	2.81	20.86	3.0	2.61	2.92	3.11	1.08	10.79	4.13	0.21	0.2	0.14	0.0	2.1	4.28	0.64	5.28	12.74	6.01	13.03	53.19	27.84	39.5	163.28	18.97	98.73	5.23	10.96	6.21	3.76
C20orf194	16.27	38.67	47.17	70.01	198.47	19.82	19.39	547.75	392.44	329.84	400.71	444.72	387.02	348.71	277.2	339.14	457.25	336.79	186.4	59.55	155.5	67.12	348.71	303.44	182.55	164.42	231.32	256.78	115.97	223.41	209.84	126.12	161.02	366.09	133.36	133.36	209.84	129.69	195.72	265.87	423.61	246.28	178.77	131.51	144.01	24.81	224.97	173.85	346.29	314.17	221.86	115.16	169.07	164.42	109.66	108.9	112.77	105.15	66.65	26.86	100.13	12.18	23.42	38.67	15.56	55.49	29.7	40.07	7.11	13.93	74.06	25.35	16.15	22.43	55.49	46.5	20.71	17.25	23.42	14.78	32.82	26.86	26.28	22.75	15.8	12.64	9.7	25.54	12.27	119.26	99.43	63.0	50.27	248.0	136.19	191.67	171.45	104.42	253.23	146.03	129.69	175.07	194.36
C22orf24	1.23	6.62	0.0	3.66	2.48	2.89	6.84	7.88	7.94	4.5	10.31	5.36	0.0	4.39	5.19	2.48	1.43	2.39	13.03	12.55	10.79	11.55	19.39	65.26	20.86	16.03	10.47	8.19	7.11	13.42	18.03	11.47	10.31	0.83	9.13	3.96	12.74	8.85	2.68	2.92	4.5	3.47	7.0	9.27	10.47	5.82	4.62	4.46	1.51	4.62	0.0	1.01	1.95	2.73	7.4	3.63	2.27	0.0	1.01	1.57	1.62	0.56	1.97	0.66	1.08	0.0	0.0	2.89	0.0	2.58	1.35	2.25	3.96	2.25	1.38	3.23	6.94	0.0	1.73	0.0	0.0	1.31	2.71	2.34	1.3	0.0	4.9	0.0	0.0	14.14	4.28	4.74	5.87	1.57	3.17	7.4	8.19	0.0	4.58	1.71	0.0	2.89	2.92
CAMSAP2	52.08	54.72	57.89	92.7	131.51	52.45	33.06	343.89	466.88	381.68	503.95	400.71	232.94	426.57	414.87	392.44	356.05	438.59	346.29	339.14	260.38	239.52	239.52	163.28	256.78	341.51	325.29	251.48	309.83	361.04	336.79	229.72	305.55	529.06	171.45	301.33	231.32	285.03	373.81	281.09	397.93	208.38	764.36	204.07	307.69	253.23	108.9	389.72	303.44	361.04	83.45	103.69	103.69	86.43	368.65	139.07	125.24	165.57	190.34	102.25	163.28	63.0	43.02	55.89	21.94	64.8	68.07	50.27	23.93	34.75	76.71	64.34	25.17	36.27	107.38	41.81	88.26	41.22	65.72	46.84	57.89	39.22	31.45	57.89	16.51	28.65	147.06	75.64	87.03	255.0	563.18	199.85	82.87	135.24	96.68	150.17	291.04	123.5	150.17	232.94	351.14	332.14	236.21
CAV2	842.36	199.85	220.32	314.17	656.11	194.36	65.26	1519.15	1883.54	1487.87	1127.35	1781.89	981.29	647.07	1208.34	1883.54	1322.37	1119.56	2119.22	6381.92	4095.0	2537.92	2004.85	3325.99	1628.26	1388.16	3690.52	1340.84	1936.53	6426.31	3665.02	2004.85	3768.09	1457.23	1844.76	1529.73	3742.05	3589.58	2555.58	473.41	947.83	624.99	323.03	2816.11	7857.29	3303.0	1923.14	2075.59	414.87	988.12	769.69	163.28	129.69	1066.48	1721.16	1135.2	813.63	1551.09	1628.26	316.37	921.88	414.87	305.55	674.59	309.83	688.78	902.89	669.92	108.9	339.14	1628.26	808.0	260.38	1044.52	1709.26	543.96	273.37	244.57	438.59	139.07	190.34	429.54	368.65	1781.89	175.07	3443.31	265.87	258.57	457.25	395.18	587.13	305.55	435.55	293.07	176.29	483.38	1709.26	616.37	718.08	1250.98	3874.05	1096.5	947.83
CCKAR	0.0	0.0	0.0	6.89	2.56	0.0	0.0	76.71	38.4	0.0	7.11	37.85	93.35	34.02	0.0	6.78	18.43	5.73	45.21	181.28	10.16	1.91	1.2	0.0	12.93	18.84	12.18	1.62	109.66	70.01	242.88	26.28	575.03	0.8	146.03	54.72	555.41	14.45	10.47	2.2	5.63	1.43	0.0	161.02	3.29	26.28	57.89	1.75	6.41	0.0	0.0	0.0	0.0	0.0	171.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.7	27.64	4.5	17.25	119.26	41.22	49.21	29.27	85.82	92.05	0.0	0.0	0.0	0.0
CCNG2	78.34	1175.27	500.46	438.59	624.99	825.0	693.58	283.05	693.58	780.44	403.5	476.71	348.71	170.25	438.59	493.56	575.03	738.29	2627.46	2915.45	2032.85	1397.83	1870.53	1225.22	1605.83	2287.2	2682.69	1467.37	1572.76	3303.0	2855.44	1359.57	3690.52	3124.78	2163.77	2591.27	2682.69	2609.3	3349.13	1407.55	2384.37	1437.15	536.45	1191.69	4639.29	1119.56	1628.26	2816.11	1561.89	1617.0	624.99	249.73	366.09	320.8	2664.15	351.14	412.0	392.44	224.97	97.36	140.04	85.22	55.49	144.01	42.11	130.6	112.77	70.51	22.43	66.18	206.94	28.04	39.22	151.22	102.25	57.89	98.73	81.71	50.27	84.63	99.43	48.87	59.13	68.55	34.51	109.66	10.55	91.41	75.64	195.72	147.06	303.44	161.02	486.75	283.05	343.89	559.28	466.88	878.17	255.0	684.02	775.05	206.94
CCPG1	748.61	493.56	325.29	371.22	575.03	343.89	432.53	733.19	1199.98	1159.07	1216.75	1066.48	753.83	769.69	1119.56	1044.52	1030.12	915.51	1540.37	1119.56	981.29	1037.29	1175.27	1001.93	463.65	1359.57	1191.69	1104.13	1242.34	1437.15	1167.14	669.92	1709.26	3039.3	954.43	1119.56	1143.1	1467.37	1950.0	1709.26	1896.65	1572.76	769.69	819.3	1407.55	1551.09	387.02	1508.65	1250.98	1561.89	575.03	759.08	693.58	575.03	1350.18	674.59	723.08	633.73	1088.92	1001.93	813.63	607.87	819.3	974.5	299.25	791.35	1081.39	860.08	567.1	497.0	842.36	1427.22	409.15	819.3	878.17	579.04	620.67	432.53	813.63	595.34	551.56	490.14	651.58	660.68	371.22	733.19	480.04	532.74	878.17	764.36	1104.13	866.07	563.18	941.27	825.0	830.75	902.89	1175.27	934.76	909.17	995.0	1051.79	780.44
CDC23	256.78	339.14	293.07	343.89	366.09	358.54	217.27	366.09	327.56	371.22	438.59	323.03	316.37	291.04	358.54	244.57	348.71	186.4	536.45	444.72	438.59	312.0	463.65	189.02	183.82	412.0	507.46	397.93	493.56	620.67	493.56	435.55	603.67	500.46	543.96	438.59	647.07	555.41	525.39	447.82	417.77	497.0	277.2	476.71	351.14	281.09	507.46	551.56	441.64	457.25	400.71	305.55	470.14	567.1	438.59	366.09	346.29	389.72	348.71	368.65	332.14	256.78	212.78	258.57	208.38	267.73	237.86	246.28	154.42	157.68	275.28	258.57	209.84	218.79	204.07	193.01	197.09	181.28	248.0	170.25	221.86	198.47	189.02	181.28	221.86	142.01	92.05	223.41	193.01	412.0	314.17	215.77	162.14	329.84	231.32	366.09	277.2	267.73	371.22	409.15	295.11	473.41	403.5
CHIC1	34.02	43.32	72.52	52.08	89.51	40.36	31.67	164.42	205.5	172.65	193.01	172.65	178.77	135.24	180.02	126.12	180.02	109.66	198.47	155.5	187.71	100.13	97.36	110.43	112.77	158.79	249.73	151.22	181.28	258.57	221.86	105.89	215.77	258.57	134.3	132.44	180.02	244.57	255.0	228.13	198.47	180.02	90.14	119.26	297.17	54.72	142.01	231.32	217.27	201.25	66.18	87.03	61.25	70.51	262.2	68.55	87.65	53.95	7.0	7.22	26.86	50.98	21.78	35.0	6.52	26.47	25.72	15.11	52.45	15.68	33.78	5.77	12.45	7.88	30.78	30.56	21.16	7.17	13.22	24.46	28.04	15.22	16.51	15.0	6.62	1.04	8.58	20.86	21.94	64.8	49.56	22.1	19.11	25.54	20.56	36.01	112.77	29.27	82.87	125.24	63.45	165.57	112.77
CHM	92.7	150.17	112.77	171.45	171.45	138.1	126.12	260.38	412.0	236.21	260.38	267.73	236.21	218.79	301.33	246.28	279.14	181.28	339.14	343.89	303.44	249.73	239.52	346.29	228.13	297.17	361.04	293.07	285.03	454.09	285.03	264.03	426.57	384.34	271.48	249.73	381.68	403.5	366.09	463.65	414.87	363.56	264.03	244.57	447.82	371.22	197.09	432.53	392.44	381.68	198.47	117.6	173.85	157.68	397.93	162.14	202.66	197.09	133.36	176.29	204.07	197.09	125.24	131.51	42.71	135.24	157.68	165.57	102.97	125.24	150.17	176.29	100.13	221.86	195.72	153.34	113.56	135.24	262.2	137.14	152.28	77.25	107.38	107.38	72.52	126.12	105.15	111.99	185.11	208.38	295.11	191.67	132.44	182.55	121.79	167.9	262.2	177.53	260.38	218.79	199.85	273.37	281.09
CNOT4	147.06	169.07	145.02	145.02	173.85	146.03	134.3	273.37	316.37	289.02	348.71	287.01	343.89	305.55	231.32	221.86	325.29	325.29	432.53	277.2	295.11	180.02	289.02	137.14	205.5	267.73	320.8	156.59	361.04	314.17	320.8	217.27	303.44	480.04	258.57	249.73	281.09	327.56	358.54	262.2	236.21	244.57	532.74	305.55	441.64	62.56	170.25	325.29	281.09	332.14	127.0	139.07	115.97	140.04	323.03	211.31	180.02	180.02	218.79	187.71	153.34	156.59	164.42	154.42	59.97	165.57	135.24	144.01	112.77	166.73	157.68	144.01	142.01	157.68	212.78	185.11	182.55	153.34	173.85	135.24	149.12	123.5	116.78	107.38	141.02	47.84	54.33	162.14	170.25	271.48	332.14	249.73	150.17	175.07	154.42	176.29	277.2	249.73	215.77	198.47	217.27	303.44	205.5
COG5	91.41	165.57	275.28	177.53	231.32	244.57	171.45	211.31	356.05	336.79	289.02	221.86	246.28	228.13	343.89	262.2	301.33	248.0	447.82	246.28	271.48	144.01	209.84	246.28	277.2	279.14	503.95	251.48	275.28	366.09	361.04	217.27	616.37	483.38	244.57	353.59	351.14	406.31	518.15	299.25	503.95	373.81	267.73	258.57	532.74	167.9	309.83	444.72	281.09	309.83	204.07	195.72	220.32	234.57	395.18	256.78	187.71	287.01	241.19	164.42	204.07	149.12	80.57	122.64	77.79	161.02	119.26	111.21	48.18	91.41	139.07	100.13	82.87	93.35	105.15	98.04	96.68	71.0	83.45	104.42	105.15	110.43	87.65	88.26	59.97	84.04	61.68	107.38	80.57	289.02	432.53	318.57	199.85	279.14	146.03	221.86	303.44	205.5	397.93	303.44	303.44	490.14	341.51
COPS2	547.75	460.44	429.54	497.0	785.88	387.02	406.31	616.37	819.3	738.29	629.35	633.73	669.92	559.28	624.99	603.67	775.05	974.5	1030.12	780.44	743.43	638.15	836.53	346.29	435.55	599.49	1008.9	753.83	1073.91	764.36	723.08	529.06	866.07	1233.75	620.67	688.78	665.29	967.76	1088.92	1417.35	1051.79	1073.91	1225.22	728.11	1331.57	703.28	327.56	1242.34	988.12	1331.57	579.04	713.11	435.55	441.64	1030.12	607.87	796.86	412.0	698.41	860.08	1037.29	633.73	463.65	679.29	173.85	429.54	674.59	575.03	343.89	387.02	587.13	587.13	435.55	536.45	518.15	376.41	381.68	395.18	599.49	358.54	480.04	406.31	400.71	684.02	312.0	346.29	470.14	500.46	551.56	587.13	693.58	665.29	420.68	656.11	764.36	493.56	1135.2	954.43	769.69	753.83	1259.69	624.99	525.39
CRH	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	1.51	2.23	0.0	0.0	0.0	0.0	0.0	0.36	1.69	100.83	3.29	2.76	51.35	2.73	1.23	1350.18	0.39	1781.89	0.0	15.34	6.36	0.0	0.0	0.78	50.63	0.0	8.99	185.11	4.94	28.04	2.46	0.0	0.0	61.25	0.0	0.4	780.44	2.46	0.0	0.0	0.0	0.0	0.0	860.08	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13	0.2	2.34	3.11	2.63	2.23	70.01	0.0	0.51	0.0
CSRP2	397.93	214.27	429.54	460.44	457.25	318.57	156.59	463.65	303.44	540.19	289.02	1030.12	703.28	2956.17	583.07	728.11	511.0	679.29	5913.33	435.55	3190.46	447.82	1733.13	1051.79	934.76	688.78	836.53	4095.0	1819.35	277.2	2119.22	4328.55	3491.39	387.02	1639.59	194.36	559.28	4038.61	599.49	607.87	503.95	1096.5	1081.39	1551.09	1721.16	320.8	2335.28	848.22	1242.34	1233.75	236.21	255.0	182.55	423.61	2351.53	206.94	417.77	242.88	674.59	1167.14	1378.57	244.57	921.88	620.67	414.87	543.96	575.03	426.57	460.44	103.69	656.11	555.41	307.69	147.06	368.65	466.88	134.3	277.2	698.41	285.03	312.0	409.15	403.5	507.46	334.46	289.02	392.44	473.41	450.94	878.17	842.36	412.0	379.04	318.57	323.03	934.76	1963.57	1769.57	1096.5	638.15	830.75	1487.87	629.35
CTCF	281.09	555.41	490.14	480.04	500.46	470.14	500.46	392.44	353.59	438.59	441.64	441.64	423.61	209.84	420.68	432.53	525.39	395.18	518.15	583.07	511.0	551.56	426.57	305.55	529.06	521.76	529.06	466.88	525.39	532.74	575.03	403.5	567.1	748.61	595.34	567.1	518.15	575.03	567.1	591.22	624.99	603.67	483.38	457.25	743.43	167.9	361.04	647.07	595.34	642.59	346.29	307.69	438.59	400.71	595.34	423.61	493.56	486.75	412.0	232.94	381.68	273.37	334.46	244.57	234.57	325.29	291.04	358.54	325.29	356.05	444.72	376.41	387.02	480.04	514.56	351.14	358.54	323.03	532.74	323.03	332.14	297.17	384.34	232.94	327.56	159.9	195.72	483.38	476.71	674.59	607.87	612.11	327.56	587.13	403.5	420.68	423.61	551.56	503.95	460.44	389.72	599.49	414.87
DCAF16	63.45	334.46	305.55	279.14	220.32	307.69	154.42	228.13	371.22	281.09	366.09	273.37	273.37	312.0	305.55	264.03	264.03	231.32	703.28	447.82	363.56	392.44	336.79	80.01	299.25	529.06	536.45	463.65	376.41	603.67	450.94	279.14	587.13	514.56	426.57	353.59	466.88	470.14	532.74	314.17	414.87	215.77	158.79	379.04	684.02	120.1	575.03	503.95	283.05	228.13	78.89	68.07	87.03	98.04	587.13	98.73	111.21	102.25	234.57	65.72	182.55	49.56	52.82	56.28	32.82	52.45	48.18	80.57	49.91	47.84	148.09	40.07	43.94	54.33	65.26	102.97	72.52	130.6	55.49	44.57	77.25	60.39	70.01	38.4	101.54	21.16	37.05	55.49	40.07	379.04	271.48	208.38	129.69	275.28	135.24	236.21	285.03	145.02	299.25	151.22	194.36	387.02	133.36
DCTN4	295.11	412.0	348.71	295.11	358.54	336.79	267.73	395.18	575.03	444.72	444.72	540.19	454.09	435.55	460.44	397.93	551.56	373.81	591.22	511.0	536.45	361.04	460.44	176.29	205.5	435.55	603.67	684.02	674.59	616.37	563.18	387.02	748.61	1143.1	460.44	563.18	514.56	595.34	718.08	551.56	796.86	376.41	507.46	540.19	473.41	587.13	896.64	633.73	633.73	665.29	409.15	358.54	532.74	543.96	813.63	392.44	511.0	351.14	423.61	409.15	426.57	379.04	241.19	303.44	208.38	299.25	361.04	256.78	143.01	221.86	417.77	366.09	241.19	371.22	249.73	320.8	295.11	234.57	273.37	215.77	327.56	237.86	248.0	255.0	244.57	167.9	195.72	295.11	223.41	575.03	412.0	426.57	353.59	647.07	536.45	432.53	698.41	559.28	743.43	490.14	567.1	769.69	503.95
