	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.E2.A158.11A.22R.A12D.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0DB.11A.33R.A089.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.E2.A1BC.11A.32R.A12P.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.T6MO.0326.SM.32QOK	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.VS.A8EH.01A.11R.A36F.07	GTEX.13OVG.1426.SM.5K7VP	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.6994.01A.11R.1915.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.T3.A92N.01A.11R.A39I.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CQ.A4CG.01A.11R.A266.07	GTEX.1399S.0526.SM.5IJG8	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	TCGA.21.5787.01A.01R.1635.07
FAM76A	98.04	91.41	75.11	239.52	351.14	329.84	226.54	260.38	358.54	309.83	265.87	283.05	177.53	267.73	244.57	191.67	291.04	236.21	279.14	277.2	307.69	258.57	201.25	258.57	463.65	273.37	206.94	269.6	181.28	186.4	175.07	197.09	150.17	251.48	473.41	215.77	212.78	205.5	209.84	283.05	134.3	98.04	123.5	121.79	201.25	103.69	84.63	141.02	183.82	139.07	97.36	114.36	79.45	105.89	73.03	119.26	178.77	135.24	2976.74	124.37	87.03
FBXO10	56.68	37.85	56.28	82.29	84.04	67.59	108.14	106.63	75.64	71.5	99.43	75.11	82.29	73.03	98.04	106.63	77.79	96.68	81.14	82.87	100.83	89.51	96.01	78.34	96.68	94.67	93.35	106.63	84.04	99.43	79.45	96.01	149.12	76.17	87.65	105.89	61.25	112.77	66.65	84.04	44.25	71.5	61.68	54.33	45.53	63.45	53.19	69.52	54.72	71.0	66.65	80.01	60.82	41.52	49.91	47.5	167.9	0.0	0.27	141.02	46.5
FBXO8	229.72	387.02	358.54	555.41	669.92	679.29	638.15	866.07	688.78	866.07	728.11	698.41	543.96	819.3	555.41	603.67	616.37	624.99	633.73	769.69	688.78	665.29	633.73	764.36	579.04	656.11	551.56	713.11	674.59	351.14	450.94	616.37	624.99	480.04	981.29	629.35	775.05	463.65	616.37	759.08	232.94	186.4	325.29	426.57	599.49	217.27	123.5	447.82	285.03	323.03	316.37	379.04	309.83	166.73	295.11	226.54	417.77	0.0	0.14	366.09	299.25
FERMT2	175.07	70.51	89.51	3018.3	3190.46	2502.97	3614.55	6294.04	4481.23	5112.16	5479.15	3303.0	3168.41	4736.79	2609.3	4095.0	3874.05	4123.49	3589.58	4671.57	5913.33	3372.43	3419.52	3491.39	4123.49	5329.3	3491.39	6294.04	4543.8	2061.24	2777.33	4123.49	3212.66	3372.43	6037.61	3325.99	4736.79	2758.13	2537.92	2193.99	89.51	182.55	114.36	125.24	1225.22	111.21	125.24	60.82	102.97	59.55	148.09	409.15	98.73	67.12	111.21	400.71	1721.16	0.0	0.74	376.41	356.05
FMOD	264.03	94.01	150.17	4736.79	5555.65	5255.91	5006.93	9279.58	6935.54	5255.91	9409.14	4419.52	4095.0	9151.82	4450.27	7331.05	5711.87	4066.71	3564.78	6607.01	4836.35	4736.79	3190.46	4704.07	4704.07	6516.03	1199.98	6935.54	1769.57	7032.37	1757.34	1883.54	1977.24	6792.79	21919.61	3665.02	961.07	1378.57	211.31	2895.31	27.64	387.02	248.0	27.05	1769.57	450.94	327.56	287.01	295.11	476.71	123.5	1023.0	514.56	139.07	166.73	215.77	2075.59	0.0	0.91	698.41	759.08
FRMD1	0.0	0.29	0.0	122.64	92.7	111.99	154.42	287.01	189.02	118.43	209.84	232.94	112.77	205.5	85.22	193.01	148.09	79.45	187.71	221.86	301.33	163.28	94.01	148.09	123.5	185.11	92.05	260.38	44.25	59.97	40.64	63.89	64.8	115.97	92.05	49.21	145.02	122.64	59.55	34.26	0.0	0.0	0.0	0.35	143.01	0.0	0.0	0.38	0.0	0.0	2.89	0.0	0.0	0.0	0.39	0.0	23.93	0.0	0.0	0.47	0.0
GCOM1	2.63	2.68	1.0	24.11	105.15	38.12	28.65	224.97	77.25	71.5	73.03	102.97	191.67	185.11	75.11	126.12	172.65	164.42	191.67	395.18	48.18	195.72	150.17	99.43	49.21	320.8	32.13	246.28	176.29	124.37	12.83	209.84	204.07	191.67	156.59	37.05	33.3	189.02	130.6	190.34	7.0	8.19	47.84	37.85	14.24	7.0	1.39	13.22	21.63	13.42	5.87	83.45	126.12	2.53	1.81	2.51	237.86	0.0	0.13	75.64	14.35
GLYAT	0.95	0.0	0.0	1651.0	1819.35	1175.27	1617.0	2537.92	2502.97	2855.44	3349.13	1175.27	1059.11	3103.19	775.05	2520.38	1378.57	1259.69	1208.34	2537.92	1175.27	1437.15	1104.13	1662.49	1697.45	2417.67	164.42	3212.66	1191.69	981.29	733.19	251.48	708.18	1216.75	3212.66	961.07	1183.45	376.41	25.54	334.46	0.0	0.0	0.0	3.56	22.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	5.28	0.0	1066.48	0.0	0.0	0.0	0.0
GPER1	9.93	8.99	3.53	281.09	221.86	157.68	379.04	251.48	253.23	251.48	353.59	214.27	312.0	271.48	253.23	417.77	291.04	267.73	312.0	361.04	211.31	205.5	154.42	181.28	239.52	356.05	205.5	1295.13	371.22	713.11	50.27	72.01	117.6	728.11	791.35	131.51	248.0	55.89	59.55	218.79	164.42	22.26	180.02	32.59	133.36	26.67	6.26	14.45	36.53	14.24	4.21	70.01	24.28	13.12	13.62	7.4	312.0	0.0	0.0	10.0	8.85
GPLD1	3.89	2.66	0.0	85.22	112.77	91.41	125.24	124.37	518.15	157.68	170.25	152.28	59.13	325.29	41.22	267.73	154.42	117.6	169.07	325.29	90.77	154.42	82.29	397.93	137.14	329.84	12.0	260.38	72.52	85.82	57.89	14.24	23.42	44.57	366.09	139.07	134.3	102.97	21.78	27.05	3.44	1.97	3.63	15.11	7.88	4.98	0.66	2.84	6.21	9.78	0.41	12.36	2.01	0.41	1.91	2.01	26.28	0.0	0.0	18.43	7.06
HECTD3	743.43	363.56	521.76	825.0	860.08	1023.0	1066.48	1304.15	974.5	1073.91	1199.98	1127.35	1066.48	1250.98	967.76	1407.55	1001.93	1104.13	1304.15	1487.87	1216.75	1250.98	1008.9	1015.93	1044.52	1369.04	1313.23	1216.75	1001.93	1250.98	941.27	1331.57	1030.12	1104.13	1030.12	928.3	1066.48	902.89	836.53	954.43	389.72	860.08	620.67	748.61	1023.0	575.03	400.71	728.11	525.39	674.59	518.15	642.59	514.56	698.41	688.78	507.46	808.0	0.0	0.48	728.11	616.37
HLF	1.62	2.92	1.93	96.68	547.75	638.15	256.78	540.19	403.5	295.11	483.38	285.03	175.07	323.03	444.72	208.38	651.58	713.11	275.28	457.25	497.0	242.88	348.71	429.54	1322.37	607.87	327.56	283.05	80.01	212.78	753.83	41.52	12.0	60.82	587.13	16.51	38.95	45.85	145.02	412.0	12.74	2.92	1.91	16.15	142.01	6.31	2.46	37.59	120.94	5.54	1.77	11.73	14.14	7.22	14.24	7.82	69.52	0.0	0.13	29.06	9.34
HOOK2	1369.04	563.18	669.92	665.29	1331.57	1037.29	842.36	2119.22	848.22	1340.84	1709.26	988.12	1467.37	2319.15	1159.07	2075.59	1572.76	1359.57	1277.29	1857.6	988.12	1651.0	848.22	1088.92	981.29	2104.58	1259.69	1467.37	1350.18	1369.04	1832.01	2664.15	1551.09	1008.9	1540.37	748.61	1378.57	1628.26	607.87	974.5	599.49	486.75	473.41	1529.73	486.75	981.29	164.42	866.07	332.14	536.45	441.64	915.51	743.43	796.86	406.31	693.58	376.41	0.0	0.85	221.86	305.55
IRX6	11.91	0.0	0.0	90.14	122.64	113.56	182.55	438.59	228.13	246.28	180.02	223.41	92.7	318.57	111.21	420.68	193.01	258.57	277.2	708.18	343.89	303.44	85.82	141.02	120.1	237.86	236.21	395.18	201.25	120.1	112.77	74.06	59.13	236.21	234.57	62.12	181.28	217.27	121.79	50.63	0.0	2.48	4.74	90.14	8.51	1.01	0.48	1.31	2.32	75.11	0.53	9.34	2.25	1.58	10.16	7.94	78.89	0.0	0.0	8.13	2.34
KANK1	819.3	90.77	264.03	1167.14	1769.57	1721.16	2351.53	2720.15	2400.97	2004.85	2163.77	2104.58	1498.22	2956.17	1487.87	2255.7	1832.01	2133.97	1745.2	2537.92	1991.0	2163.77	1870.53	1857.6	2133.97	2816.11	1059.11	4123.49	1378.57	1417.35	1909.85	1111.82	1119.56	1605.83	3443.31	511.0	1709.26	438.59	896.64	1233.75	74.06	279.14	403.5	202.66	624.99	571.05	229.72	454.09	397.93	146.03	567.1	708.18	638.15	629.35	529.06	595.34	836.53	135.24	78.34	147.06	224.97
KANK4	599.49	1.46	10.71	91.41	205.5	232.94	269.6	392.44	638.15	368.65	669.92	231.32	63.0	426.57	83.45	305.55	255.0	256.78	120.1	567.1	111.99	260.38	166.73	339.14	291.04	426.57	5.36	860.08	73.54	140.04	249.73	11.04	5.63	114.36	1313.23	346.29	108.9	40.64	36.01	80.01	22.1	3.76	41.81	1.03	5.73	242.88	1.81	42.41	14.45	2.34	37.85	47.5	33.78	11.82	92.05	8.32	18.29	0.0	0.01	26.28	19.97
KIAA0754	10.79	0.89	0.66	25.91	97.36	39.22	96.68	111.21	220.32	142.01	45.53	110.43	99.43	135.24	78.34	205.5	88.26	102.25	151.22	156.59	61.25	94.01	109.66	144.01	98.04	132.44	18.7	124.37	111.99	34.51	60.39	37.85	40.07	85.22	511.0	71.5	63.0	36.01	64.34	132.44	1.89	1.17	6.01	0.48	31.0	1.62	2.05	2.16	9.93	7.69	2.32	14.03	7.94	1.69	2.63	24.81	128.79	0.0	0.06	12.0	2.43
KIF25	3.82	0.0	0.0	57.89	115.97	26.86	12.27	121.79	81.71	12.27	45.53	45.53	20.71	46.84	72.52	23.25	19.97	69.03	50.98	94.67	103.69	64.8	9.48	31.9	34.02	138.1	75.11	134.3	11.47	28.45	14.03	32.36	46.18	15.45	85.22	48.87	23.93	32.13	52.82	22.1	2.58	1.28	3.06	0.95	43.02	0.91	0.0	3.72	0.45	0.77	0.0	0.0	0.51	0.78	3.53	0.0	0.91	0.0	0.17	17.13	0.87
KIF5B	599.49	450.94	629.35	1175.27	1467.37	1709.26	1685.71	1745.2	2303.12	2148.82	2417.67	1896.65	1250.98	1583.71	1447.15	1540.37	1498.22	1709.26	2032.85	1883.54	1369.04	1662.49	1639.59	2520.38	1519.15	1651.0	796.86	2224.63	1769.57	878.17	1781.89	1313.23	1127.35	1498.22	3325.99	1572.76	1551.09	1508.65	1487.87	1857.6	836.53	376.41	733.19	656.11	1233.75	775.05	403.5	967.76	688.78	490.14	629.35	1051.79	1397.83	693.58	563.18	884.29	830.75	698.41	72.52	1369.04	947.83
KLHL33	0.64	0.0	0.0	2.92	18.97	8.65	18.29	16.63	11.64	9.85	11.47	7.88	10.88	22.26	12.93	32.82	17.77	22.92	14.24	15.34	37.85	15.91	21.32	18.03	17.9	19.39	23.76	20.86	8.58	6.73	9.2	12.27	12.0	4.31	23.76	4.98	19.11	3.92	4.82	4.66	0.0	0.0	0.42	0.42	4.39	0.37	0.54	0.0	0.62	0.0	0.0	0.35	0.0	0.0	0.0	0.0	5.45	0.0	0.0	1.95	0.0
LAMA4	748.61	283.05	1757.34	2997.45	3564.78	2720.15	3928.15	4239.45	5076.84	4607.24	4268.94	4298.64	3820.7	4575.41	2367.9	4481.23	3491.39	3190.46	4903.87	5672.41	4388.98	3901.01	2855.44	3257.52	3874.05	4937.99	1685.71	4543.8	1870.53	1794.29	1561.89	3639.7	5219.6	2591.27	5403.7	3982.99	2485.67	2591.27	3589.58	3103.19	271.48	316.37	395.18	47.84	836.53	309.83	214.27	141.02	368.65	343.89	153.34	521.76	231.32	141.02	127.89	447.82	423.61	0.0	0.46	1304.15	323.03
LDLRAD2	323.03	77.25	363.56	921.88	723.08	215.77	854.13	884.29	236.21	289.02	633.73	825.0	825.0	890.44	591.22	896.64	693.58	373.81	819.3	848.22	466.88	743.43	336.79	591.22	289.02	890.44	1023.0	371.22	764.36	583.07	206.94	660.68	175.07	679.29	1369.04	417.77	500.46	500.46	314.17	417.77	190.34	221.86	239.52	260.38	466.88	255.0	150.17	228.13	295.11	49.21	76.17	97.36	27.25	88.88	595.34	40.93	161.02	0.0	0.31	78.34	103.69
MAPK10	59.13	69.03	22.1	463.65	860.08	743.43	1008.9	1519.15	2193.99	629.35	1088.92	733.19	860.08	1119.56	860.08	406.31	848.22	1340.84	819.3	1359.57	1529.73	1023.0	651.58	896.64	1628.26	1674.06	1015.93	3901.01	1111.82	974.5	785.88	785.88	1844.76	1183.45	1991.0	435.55	2193.99	638.15	551.56	612.11	24.81	43.63	194.36	135.24	127.89	85.22	34.75	46.18	348.71	16.39	28.45	119.26	16.63	139.07	127.0	241.19	423.61	0.0	0.37	73.03	17.9
MCAM	988.12	255.0	291.04	6792.79	9673.69	8538.88	19618.49	13399.51	11035.54	10084.54	18950.18	11827.67	5913.33	16045.82	7589.61	18052.61	10883.59	10659.59	13681.08	16157.44	8778.97	12244.81	5751.61	9740.98	9606.86	16157.44	6745.86	11909.94	7589.61	9025.81	5711.87	8479.89	4903.87	7695.57	16727.26	11112.3	10808.41	6887.62	5594.3	4152.18	384.34	1127.35	1119.56	642.59	6426.31	733.19	1073.91	348.71	915.51	1104.13	674.59	679.29	974.5	236.21	1572.76	1781.89	2555.58	947.83	438.59	796.86	2351.53
MGLL	283.05	98.73	26.67	3901.01	5479.15	4066.71	7433.4	8840.04	5403.7	5872.48	10225.32	4704.07	3690.52	8134.41	4639.29	9151.82	5872.48	6164.49	6745.86	10014.87	6745.86	5292.48	2555.58	3982.99	8134.41	9673.69	4010.71	6037.61	4937.99	5076.84	3303.0	4123.49	3146.52	5594.3	10368.08	9088.59	12676.65	6121.9	4152.18	3639.7	264.03	314.17	60.82	507.46	4388.98	813.63	403.5	170.25	339.14	271.48	327.56	215.77	253.23	208.38	775.05	591.22	878.17	1143.1	1781.89	1529.73	379.04
MIR3654	29.06	21.94	17.77	46.18	70.51	37.85	32.36	55.1	111.99	41.81	81.14	85.22	55.49	48.52	100.83	46.84	42.41	54.72	96.68	97.36	69.03	65.72	32.59	40.36	51.71	110.43	32.82	90.77	50.98	84.63	60.39	93.35	113.56	60.39	103.69	130.6	79.45	63.89	228.13	57.49	22.92	28.04	20.56	26.67	108.14	35.76	23.42	20.86	17.64	36.01	14.89	22.59	20.56	19.68	51.71	43.32	29.91	0.0	0.22	55.49	27.25
MSRB2	674.59	575.03	1015.93	1733.13	1369.04	1259.69	1350.18	1583.71	1583.71	1277.29	1397.83	872.1	1331.57	1313.23	1225.22	1427.22	1331.57	1331.57	974.5	1572.76	1397.83	1233.75	1030.12	1001.93	1407.55	1457.23	1397.83	1111.82	1697.45	1001.93	748.61	995.0	2075.59	848.22	1369.04	1127.35	1870.53	1757.34	536.45	961.07	1008.9	728.11	1167.14	708.18	563.18	555.41	518.15	813.63	688.78	435.55	432.53	379.04	336.79	414.87	1037.29	412.0	728.11	0.0	0.61	708.18	830.75
MYOM1	4.82	2.61	11.38	262.2	325.29	497.0	785.88	836.53	698.41	435.55	708.18	353.59	356.05	688.78	279.14	543.96	503.95	473.41	381.68	921.88	575.03	493.56	400.71	511.0	460.44	1001.93	291.04	708.18	414.87	212.78	271.48	224.97	215.77	273.37	1242.34	175.07	1781.89	381.68	108.9	346.29	1.3	44.89	8.65	11.3	215.77	11.64	7.34	5.19	100.13	5.02	11.47	8.13	5.06	2.46	4.82	8.85	71.5	0.0	0.28	37.32	2.12
MYZAP	63.89	18.7	5.68	1936.53	2163.77	2047.0	1572.76	4239.45	4419.52	2976.74	5147.73	2287.2	1519.15	4575.41	1151.06	3280.18	2163.77	2119.22	2855.44	4066.71	1605.83	3325.99	1023.0	2835.7	1427.22	3467.27	698.41	3103.19	1447.15	1733.13	1605.83	1208.34	854.13	1685.71	2303.12	2148.82	2119.22	1313.23	587.13	249.73	15.45	6.57	7.11	21.32	400.71	52.82	2.41	162.14	38.12	26.28	0.64	38.12	57.49	20.26	17.77	8.13	241.19	0.0	0.13	93.35	113.56
NFIX	155.5	140.04	148.09	1104.13	3103.19	1832.01	3168.41	3564.78	2417.67	2915.45	2400.97	2384.37	2240.11	3146.52	2240.11	3768.09	2895.31	2520.38	3060.45	3060.45	2287.2	2451.44	2573.36	2573.36	2367.9	2997.45	1923.14	2701.35	1277.29	2591.27	3060.45	543.96	890.44	2018.8	4123.49	836.53	988.12	423.61	384.34	1407.55	163.28	283.05	291.04	320.8	878.17	236.21	323.03	158.79	669.92	769.69	289.02	567.1	1467.37	287.01	144.01	571.05	1250.98	447.82	332.14	497.0	309.83
NHSL2	1.62	0.89	0.34	24.81	85.82	30.34	75.64	44.89	75.64	100.83	20.11	75.11	76.17	64.8	74.06	141.02	58.71	69.52	107.38	73.03	59.13	87.65	103.69	85.82	98.73	67.12	22.92	144.01	61.25	14.78	33.54	118.43	38.12	37.85	211.31	28.65	30.78	42.11	84.63	48.18	5.41	1.62	1.25	6.67	27.84	2.61	0.77	0.91	5.68	3.17	0.51	11.82	5.02	1.2	1.33	3.53	48.87	0.0	0.22	27.44	2.32
NR1D2	167.9	92.05	100.83	232.94	802.41	1216.75	395.18	872.1	1135.2	934.76	785.88	633.73	343.89	947.83	764.36	417.77	988.12	738.29	802.41	909.17	547.75	470.14	529.06	1119.56	1135.2	808.0	450.94	1216.75	262.2	341.51	723.08	251.48	400.71	698.41	1277.29	123.5	521.76	466.88	612.11	902.89	279.14	31.0	169.07	171.45	84.04	165.57	140.04	320.8	303.44	105.89	136.19	241.19	256.78	137.14	111.99	242.88	239.52	237.86	67.59	182.55	167.9
NTRK2	27.25	0.32	0.35	1073.91	2335.28	1685.71	2609.3	2758.13	2758.13	3491.39	2627.46	1883.54	1407.55	3443.31	1388.16	2627.46	2104.58	1529.73	1697.45	2739.08	1594.73	2555.58	2090.03	1977.24	2178.83	1407.55	669.92	775.05	1250.98	599.49	1991.0	183.82	52.45	764.36	8247.98	536.45	1127.35	59.13	133.36	2855.44	181.28	19.39	17.9	1685.71	2835.7	114.36	9.2	21.32	3303.0	9.2	9.41	224.97	15.11	198.47	97.36	743.43	490.14	0.0	0.33	24.11	21.63
PARD3B	5.5	9.27	12.36	172.65	239.52	221.86	269.6	224.97	381.68	336.79	228.13	287.01	224.97	320.8	173.85	417.77	253.23	209.84	303.44	403.5	262.2	299.25	283.05	366.09	201.25	287.01	202.66	273.37	236.21	206.94	154.42	115.16	56.28	175.07	521.76	176.29	166.73	147.06	141.02	142.01	3.79	15.34	15.11	3.59	143.01	5.02	6.11	21.63	29.27	15.34	8.19	18.43	6.21	3.59	4.06	6.21	145.02	0.0	0.31	127.0	8.51
PARP3	128.79	201.25	620.67	339.14	438.59	503.95	647.07	595.34	476.71	450.94	651.58	435.55	483.38	612.11	529.06	571.05	595.34	693.58	493.56	684.02	438.59	599.49	376.41	490.14	583.07	503.95	543.96	665.29	507.46	403.5	295.11	633.73	1233.75	228.13	376.41	373.81	587.13	493.56	376.41	371.22	295.11	309.83	647.07	318.57	327.56	116.78	258.57	180.02	356.05	583.07	165.57	303.44	334.46	336.79	212.78	389.72	470.14	0.0	0.66	348.71	132.44
PBRM1	98.04	153.34	167.9	332.14	583.07	567.1	616.37	748.61	947.83	866.07	507.46	738.29	595.34	748.61	540.19	785.88	607.87	733.19	860.08	785.88	738.29	688.78	866.07	884.29	813.63	775.05	432.53	1896.65	713.11	466.88	769.69	493.56	967.76	753.83	1127.35	563.18	642.59	665.29	669.92	808.0	145.02	90.14	271.48	154.42	358.54	127.0	129.69	232.94	175.07	171.45	105.89	248.0	156.59	103.69	102.25	373.81	444.72	0.0	0.57	255.0	149.12
PCDH9	2.86	2.01	0.33	100.83	102.97	126.12	124.37	241.19	376.41	208.38	205.5	106.63	108.9	343.89	54.33	273.37	151.22	72.01	122.64	269.6	148.09	172.65	81.14	191.67	226.54	162.14	66.65	363.56	88.26	96.01	41.52	133.36	72.52	110.43	197.09	83.45	218.79	72.52	46.5	85.82	0.47	0.79	0.45	0.0	18.43	1.22	0.92	24.63	1.38	2.56	8.51	8.58	0.45	0.39	1.17	1.99	84.63	0.0	0.0	20.71	2.07
PCYOX1	583.07	301.33	320.8	1397.83	2537.92	2367.9	2537.92	3982.99	5006.93	3303.0	3540.14	2739.08	2739.08	3665.02	1819.35	3018.3	3589.58	3325.99	2004.85	3419.52	3742.05	3372.43	2816.11	3395.89	4298.64	4239.45	1977.24	4066.71	2537.92	1757.34	2119.22	813.63	2104.58	2855.44	3794.3	1519.15	3081.75	1794.29	941.27	2224.63	688.78	198.47	403.5	583.07	785.88	366.09	249.73	638.15	733.19	473.41	215.77	591.22	802.41	289.02	320.8	620.67	1628.26	293.07	53.57	848.22	346.29
PDE11A	7.51	0.0	0.32	44.25	86.43	108.14	18.7	128.79	105.15	121.79	159.9	158.79	63.45	103.69	51.35	142.01	115.16	70.51	208.38	73.03	123.5	96.68	134.3	151.22	125.24	92.05	6.16	185.11	23.93	26.86	35.25	6.11	7.22	27.64	211.31	2.86	33.3	41.52	18.84	10.39	0.0	0.0	1.95	0.26	7.22	0.87	0.0	0.0	1.1	0.0	0.0	28.86	0.0	0.0	10.16	0.42	3.06	0.0	0.0	0.0	1.14
PDZRN3	81.14	17.77	16.27	878.17	1359.57	1286.18	1015.93	1242.34	2061.24	1295.13	1225.22	981.29	1605.83	1529.73	872.1	1529.73	1322.37	995.0	954.43	1487.87	1407.55	1119.56	748.61	1191.69	909.17	1015.93	1111.82	775.05	1066.48	1651.0	802.41	438.59	540.19	669.92	2502.97	279.14	723.08	379.04	320.8	356.05	9.27	75.11	59.97	11.13	441.64	92.05	64.34	318.57	429.54	40.64	22.75	180.02	26.86	31.67	48.18	72.52	733.19	55.1	151.22	53.95	77.79
PEAK1	62.56	89.51	53.57	285.03	511.0	336.79	454.09	426.57	780.44	563.18	490.14	551.56	441.64	595.34	435.55	624.99	511.0	470.14	642.59	764.36	483.38	521.76	540.19	656.11	529.06	674.59	312.0	896.64	226.54	397.93	314.17	423.61	339.14	414.87	1183.45	236.21	353.59	279.14	351.14	361.04	32.59	52.45	72.01	61.68	376.41	53.19	42.11	120.1	77.79	83.45	42.41	198.47	93.35	28.24	55.89	114.36	229.72	74.58	36.01	305.55	55.89
PER3	128.79	28.45	88.26	144.01	651.58	575.03	323.03	813.63	684.02	684.02	518.15	457.25	205.5	454.09	571.05	249.73	738.29	679.29	514.56	567.1	420.68	379.04	262.2	503.95	1359.57	708.18	289.02	575.03	90.77	162.14	325.29	133.36	205.5	336.79	1096.5	217.27	234.57	336.79	379.04	400.71	191.67	55.89	58.71	78.89	41.81	161.02	18.84	239.52	450.94	36.01	170.25	166.73	65.26	49.91	58.3	76.71	90.77	0.0	0.21	62.12	27.64
PHGDH	1304.15	387.02	241.19	1583.71	2384.37	995.0	2209.26	4736.79	1037.29	854.13	2502.97	748.61	1457.23	2758.13	2319.15	1806.78	2018.8	2502.97	988.12	2591.27	1583.71	1909.85	1594.73	890.44	2209.26	3491.39	2682.69	5995.9	713.11	656.11	1073.91	651.58	314.17	209.84	2835.7	5633.22	194.36	111.99	187.71	1594.73	1963.57	599.49	3081.75	1088.92	126.12	153.34	325.29	397.93	1277.29	454.09	57.89	1199.98	1037.29	1977.24	607.87	848.22	1175.27	0.0	0.67	551.56	389.72
PHKG1	17.13	6.06	8.85	117.6	239.52	201.25	177.53	171.45	224.97	158.79	131.51	218.79	223.41	305.55	206.94	217.27	169.07	113.56	226.54	381.68	156.59	157.68	121.79	161.02	111.99	171.45	147.06	177.53	16.15	44.25	50.98	39.79	171.45	215.77	197.09	54.33	49.21	163.28	46.5	38.95	3.47	13.52	8.71	10.55	9.56	7.11	9.48	10.55	27.05	4.62	4.7	6.41	2.51	7.0	16.15	6.31	10.88	0.0	0.27	22.26	3.99
PLCD4	16.63	29.48	17.13	42.41	96.68	127.89	109.66	152.28	56.68	78.89	127.89	70.01	63.89	93.35	63.89	58.3	98.73	105.15	81.71	148.09	57.49	79.45	66.65	78.89	109.66	89.51	70.51	92.05	32.13	88.88	38.12	63.0	96.01	47.5	228.13	21.78	50.27	27.84	68.07	53.57	39.79	22.59	19.97	17.77	44.25	150.17	27.05	26.86	57.08	17.0	20.26	19.39	70.51	14.89	39.5	96.01	62.56	0.0	0.36	12.45	12.18
PLEKHA3	142.01	74.58	80.57	336.79	392.44	307.69	470.14	432.53	400.71	470.14	285.03	420.68	325.29	480.04	314.17	466.88	373.81	429.54	429.54	438.59	395.18	395.18	368.65	490.14	339.14	457.25	258.57	486.75	341.51	279.14	409.15	334.46	289.02	395.18	536.45	325.29	363.56	228.13	412.0	447.82	273.37	95.34	127.89	297.17	281.09	51.71	114.36	143.01	206.94	170.25	83.45	161.02	105.15	84.63	140.04	214.27	242.88	265.87	28.45	406.31	158.79
PNMA1	420.68	144.01	152.28	981.29	848.22	723.08	1104.13	981.29	808.0	860.08	1167.14	1199.98	974.5	1127.35	981.29	967.76	961.07	961.07	1059.11	1143.1	748.61	1015.93	791.35	866.07	791.35	1378.57	878.17	1936.53	890.44	884.29	647.07	1159.07	1340.84	1151.06	2047.0	1030.12	860.08	1369.04	684.02	612.11	450.94	429.54	363.56	775.05	679.29	406.31	258.57	299.25	155.5	232.94	503.95	1096.5	314.17	595.34	341.51	785.88	1191.69	232.94	159.9	555.41	420.68
