	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.DW.7834.01A.11R.2139.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.N7MT.0126.SM.2D7VT	TCGA.BJ.A0ZC.01A.12R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.117YW.0126.SM.5EGGN	GTEX.139YR.1226.SM.5IFEU	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	GTEX.VUSG.0426.SM.3GIKD
EPC2	155.5	144.01	158.79	164.42	162.14	123.5	122.64	242.88	171.45	738.29	665.29	595.34	293.07	159.9	256.78	189.02	197.09	133.36	212.78	148.09	195.72	221.86	170.25	275.28	209.84	172.65	201.25	34.26	215.77	204.07	136.19	214.27	289.02	343.89	287.01	318.57	309.83	376.41	244.57	327.56	239.52	237.86	351.14	256.78	329.84	281.09	309.83	295.11	334.46	301.33	231.32	318.57	318.57	289.02	318.57	327.56	334.46	84.63	201.25	212.78	44.89	148.09	100.13	166.73	181.28	182.55	223.41	303.44	208.38	194.36	234.57	244.57	198.47	223.41	253.23	202.66	262.2	220.32	249.73	110.43	77.25	106.63	67.12	80.57	114.36	47.17	62.56	55.1	117.6	130.6	460.44	341.51	358.54	802.41	438.59	490.14	466.88	525.39	507.46	466.88	563.18	591.22	384.34	511.0	387.02	563.18	426.57	438.59
ERCC6L2	152.28	72.01	100.13	156.59	128.79	55.1	77.79	170.25	204.07	575.03	525.39	457.25	334.46	180.02	223.41	260.38	244.57	156.59	214.27	164.42	223.41	316.37	215.77	500.46	305.55	119.26	183.82	49.56	180.02	164.42	120.1	289.02	353.59	450.94	341.51	361.04	346.29	412.0	303.44	473.41	279.14	291.04	406.31	271.48	441.64	429.54	379.04	409.15	403.5	432.53	320.8	351.14	218.79	318.57	409.15	314.17	432.53	77.79	175.07	150.17	12.18	123.5	44.57	181.28	142.01	142.01	301.33	395.18	264.03	246.28	291.04	323.03	289.02	211.31	379.04	314.17	429.54	301.33	260.38	59.13	31.67	73.54	69.52	42.41	108.14	37.85	64.34	25.91	72.52	62.12	708.18	325.29	525.39	836.53	400.71	441.64	480.04	490.14	368.65	450.94	473.41	1081.39	327.56	414.87	532.74	620.67	435.55	551.56
EXOC5	183.82	140.04	244.57	190.34	244.57	157.68	218.79	201.25	201.25	848.22	941.27	974.5	432.53	293.07	463.65	320.8	748.61	176.29	341.51	275.28	466.88	384.34	476.71	454.09	555.41	158.79	253.23	161.02	521.76	197.09	201.25	379.04	607.87	629.35	500.46	529.06	551.56	616.37	454.09	555.41	490.14	414.87	507.46	409.15	642.59	518.15	497.0	507.46	612.11	486.75	392.44	476.71	647.07	486.75	480.04	525.39	532.74	248.0	205.5	242.88	48.52	423.61	143.01	325.29	224.97	269.6	356.05	373.81	395.18	379.04	417.77	406.31	397.93	473.41	454.09	373.81	559.28	305.55	348.71	133.36	90.14	156.59	108.9	95.34	151.22	94.67	108.14	51.35	195.72	88.26	759.08	307.69	409.15	507.46	409.15	273.37	332.14	417.77	392.44	269.6	480.04	420.68	265.87	353.59	215.77	454.09	299.25	503.95
FAM160A1	29.27	34.75	17.38	30.78	34.02	22.43	26.67	25.54	67.12	145.02	178.77	124.37	101.54	36.27	63.0	44.89	133.36	46.84	131.51	119.26	44.89	147.06	95.34	140.04	14.35	18.7	30.12	6.52	36.27	11.3	10.08	111.99	152.28	92.7	92.7	94.67	105.89	85.82	104.42	130.6	84.63	51.71	116.78	76.71	143.01	115.97	81.71	118.43	127.0	96.68	79.45	151.22	59.55	73.54	65.72	76.17	91.41	40.07	24.81	33.06	28.86	90.77	67.59	30.56	33.78	23.59	93.35	81.71	63.0	76.71	94.67	98.04	102.97	87.65	99.43	72.52	108.14	103.69	81.71	2.66	1.13	3.23	1.51	0.66	7.69	2.76	0.0	5.5	16.88	7.51	21.94	92.7	159.9	161.02	68.55	123.5	145.02	194.36	89.51	182.55	295.11	334.46	209.84	153.34	127.0	239.52	211.31	137.14
FAM179B	149.12	69.03	147.06	111.21	142.01	68.55	64.34	127.89	73.03	381.68	343.89	260.38	223.41	118.43	205.5	137.14	202.66	151.22	198.47	147.06	150.17	140.04	169.07	185.11	221.86	94.67	132.44	56.68	123.5	66.18	96.01	182.55	229.72	255.0	165.57	237.86	241.19	255.0	193.01	242.88	249.73	166.73	285.03	181.28	279.14	201.25	228.13	186.4	218.79	220.32	209.84	248.0	205.5	205.5	201.25	251.48	316.37	74.58	143.01	80.57	19.68	178.77	50.98	206.94	120.94	132.44	147.06	212.78	187.71	138.1	253.23	129.69	176.29	205.5	214.27	164.42	172.65	189.02	172.65	59.55	46.84	65.72	30.56	59.13	51.35	11.64	29.06	19.68	37.85	51.71	223.41	251.48	258.57	607.87	327.56	361.04	363.56	366.09	441.64	271.48	316.37	426.57	208.38	269.6	226.54	312.0	214.27	361.04
GPX3	135693.24	198.47	265.87	836.53	540.19	738.29	2796.65	130165.62	848.22	21617.82	24490.61	100023.92	353168.2	783730.52	391864.76	394590.4	417089.23	327241.36	305326.92	299043.36	378516.38	182810.84	212926.09	355624.68	365622.68	336441.4	265802.39	110983.6	492579.5	201440.3	226632.25	736332.6	434801.29	246289.25	334117.42	434801.29	450134.56	303217.87	641014.63	327241.36	417089.23	316094.29	296977.71	517068.97	482442.34	311742.51	322736.12	296977.71	305326.92	299043.36	561916.97	318292.9	320506.81	400098.69	383800.28	389157.95	472513.8	186652.11	6699.25	3168.41	299043.36	193234.41	186652.11	207103.59	5112.16	267651.2	389157.95	453265.5	772940.66	358098.26	422911.59	378516.38	711250.37	668235.84	767601.56	524287.0	466008.55	577714.63	696613.03	36106.23	16045.82	35609.13	30785.28	29124.6	48982.22	20170.07	19892.37	17078.76	320506.81	180294.02	97965.44	218912.29	324980.94	136637.07	546551.29	499455.67	419990.32	405683.88	338781.54	208544.12	74760.09	275175.93	313910.86	305326.92	428815.23	284880.02	513497.31	204252.32
GSTCD	73.54	19.39	17.0	49.21	35.5	49.56	42.41	40.93	63.89	180.02	171.45	108.14	97.36	91.41	91.41	103.69	163.28	74.06	57.08	92.7	85.22	95.34	124.37	108.14	102.25	55.49	47.17	25.17	187.71	33.3	31.0	92.05	102.97	102.25	107.38	99.43	108.14	114.36	99.43	127.89	100.13	89.51	115.97	105.15	123.5	109.66	102.25	120.1	110.43	106.63	124.37	104.42	127.89	88.26	82.87	115.97	99.43	58.71	67.12	38.4	17.51	82.29	65.26	102.25	53.95	65.26	84.63	74.06	97.36	76.17	96.68	77.25	87.65	83.45	100.83	90.14	105.89	69.52	95.34	28.65	25.91	36.79	16.27	13.32	37.32	20.71	25.91	18.43	32.13	20.56	92.7	105.89	97.36	232.94	154.42	72.52	111.99	107.38	96.01	148.09	161.02	164.42	104.42	100.83	75.11	120.94	77.79	163.28
GTF2A1	241.19	109.66	161.02	163.28	173.85	117.6	111.99	141.02	94.67	532.74	514.56	500.46	307.69	153.34	239.52	187.71	301.33	289.02	148.09	218.79	329.84	297.17	281.09	267.73	236.21	112.77	167.9	94.01	197.09	231.32	144.01	251.48	400.71	366.09	329.84	325.29	387.02	361.04	316.37	409.15	303.44	303.44	351.14	267.73	361.04	366.09	339.14	429.54	339.14	327.56	260.38	392.44	400.71	249.73	379.04	371.22	348.71	109.66	187.71	162.14	84.63	166.73	201.25	218.79	141.02	215.77	271.48	279.14	224.97	249.73	303.44	275.28	256.78	232.94	299.25	242.88	334.46	241.19	262.2	115.97	102.25	165.57	92.7	84.63	145.02	75.11	117.6	92.7	143.01	169.07	397.93	332.14	429.54	693.58	295.11	441.64	249.73	555.41	363.56	325.29	454.09	1088.92	397.93	457.25	379.04	543.96	457.25	486.75
HIPK1	343.89	156.59	221.86	358.54	249.73	212.78	265.87	201.25	271.48	1001.93	954.43	921.88	579.04	273.37	591.22	309.83	285.03	348.71	466.88	571.05	571.05	555.41	450.94	878.17	295.11	457.25	283.05	45.85	309.83	318.57	368.65	521.76	802.41	785.88	708.18	743.43	769.69	723.08	547.75	808.0	547.75	480.04	718.08	429.54	954.43	679.29	708.18	713.11	708.18	587.13	409.15	651.58	616.37	599.49	607.87	624.99	698.41	287.01	325.29	395.18	217.27	356.05	435.55	361.04	249.73	318.57	511.0	595.34	532.74	486.75	599.49	612.11	529.06	518.15	638.15	521.76	738.29	503.95	638.15	146.03	119.26	187.71	118.43	116.78	228.13	151.22	101.54	161.02	190.34	116.78	660.68	909.17	934.76	1044.52	698.41	660.68	896.64	571.05	884.29	669.92	1001.93	878.17	713.11	733.19	669.92	836.53	688.78	1250.98
IREB2	206.94	126.12	135.24	309.83	221.86	145.02	138.1	463.65	156.59	651.58	651.58	624.99	403.5	224.97	379.04	273.37	323.03	236.21	229.72	242.88	361.04	316.37	271.48	503.95	414.87	164.42	234.57	148.09	291.04	201.25	166.73	376.41	497.0	460.44	414.87	387.02	389.72	438.59	409.15	483.38	417.77	366.09	444.72	353.59	555.41	441.64	490.14	450.94	406.31	389.72	381.68	423.61	457.25	435.55	373.81	490.14	450.94	267.73	234.57	224.97	64.8	307.69	142.01	289.02	202.66	228.13	309.83	403.5	309.83	271.48	381.68	320.8	348.71	323.03	447.82	334.46	376.41	329.84	366.09	152.28	106.63	143.01	90.77	114.36	169.07	74.06	125.24	115.16	176.29	137.14	638.15	366.09	379.04	813.63	612.11	486.75	575.03	480.04	426.57	376.41	450.94	583.07	497.0	460.44	563.18	532.74	435.55	532.74
KIAA0947	149.12	84.04	85.82	100.13	108.9	75.11	105.15	118.43	133.36	466.88	429.54	409.15	291.04	148.09	242.88	180.02	162.14	124.37	224.97	194.36	205.5	279.14	236.21	295.11	293.07	108.9	153.34	92.05	205.5	144.01	128.79	201.25	307.69	303.44	277.2	251.48	273.37	293.07	223.41	334.46	267.73	205.5	329.84	185.11	366.09	289.02	285.03	293.07	289.02	246.28	197.09	297.17	187.71	244.57	232.94	249.73	303.44	105.15	134.3	147.06	39.22	148.09	110.43	194.36	133.36	162.14	224.97	232.94	201.25	215.77	258.57	236.21	224.97	215.77	244.57	236.21	258.57	208.38	220.32	70.01	139.07	94.01	50.63	71.5	94.01	70.51	89.51	29.7	55.89	33.3	248.0	211.31	273.37	371.22	265.87	283.05	275.28	295.11	231.32	204.07	289.02	438.59	277.2	237.86	255.0	277.2	323.03	297.17
KIAA2026	186.4	99.43	159.9	108.14	90.77	76.17	107.38	127.89	72.01	511.0	371.22	325.29	249.73	90.77	187.71	108.14	139.07	87.65	193.01	131.51	157.68	163.28	135.24	295.11	332.14	119.26	211.31	13.12	120.94	70.01	84.04	164.42	228.13	289.02	209.84	236.21	244.57	232.94	143.01	246.28	181.28	154.42	262.2	121.79	301.33	217.27	217.27	237.86	260.38	214.27	157.68	206.94	115.16	202.66	228.13	198.47	253.23	52.82	106.63	99.43	29.7	98.04	55.49	108.14	70.01	78.89	157.68	229.72	166.73	162.14	198.47	178.77	172.65	165.57	214.27	163.28	204.07	194.36	191.67	52.08	46.5	70.01	43.32	29.06	71.0	28.45	38.4	17.51	61.25	52.45	473.41	221.86	242.88	397.93	269.6	264.03	305.55	318.57	287.01	224.97	297.17	341.51	234.57	275.28	271.48	293.07	279.14	329.84
KLHL28	57.89	37.32	60.82	50.63	56.28	35.76	40.93	50.98	40.07	269.6	232.94	201.25	96.68	80.57	81.14	69.03	66.18	48.52	62.56	80.01	98.73	81.71	70.51	143.01	77.79	29.91	39.79	29.7	75.64	53.19	44.25	100.83	101.54	115.97	98.73	100.83	99.43	115.97	92.05	143.01	84.63	78.89	105.89	80.01	105.89	90.14	94.01	127.89	115.16	118.43	89.51	106.63	120.1	79.45	100.13	122.64	115.97	31.45	69.52	60.39	24.28	57.89	70.51	58.3	47.17	85.82	87.65	93.35	63.45	67.12	98.73	87.65	67.12	76.17	105.15	116.78	110.43	85.22	75.64	27.44	22.43	42.71	24.81	28.86	37.05	12.93	19.68	22.43	37.59	53.19	189.02	104.42	80.57	232.94	137.14	161.02	129.69	159.9	114.36	187.71	133.36	128.79	112.77	129.69	120.1	172.65	121.79	163.28
KMT2E	463.65	169.07	285.03	279.14	189.02	209.84	256.78	255.0	228.13	1331.57	1044.52	988.12	543.96	189.02	403.5	229.72	460.44	231.32	423.61	287.01	567.1	366.09	361.04	435.55	379.04	309.83	186.4	33.3	497.0	244.57	358.54	314.17	536.45	551.56	497.0	473.41	470.14	532.74	353.59	532.74	454.09	327.56	603.67	281.09	575.03	551.56	470.14	525.39	603.67	480.04	351.14	503.95	305.55	368.65	392.44	426.57	624.99	107.38	346.29	420.68	45.85	215.77	137.14	309.83	273.37	181.28	356.05	525.39	265.87	346.29	447.82	447.82	316.37	323.03	420.68	392.44	532.74	432.53	389.72	84.04	91.41	112.77	82.29	85.82	116.78	87.03	77.25	46.18	144.01	108.9	1250.98	503.95	444.72	1030.12	848.22	759.08	791.35	854.13	723.08	934.76	808.0	819.3	669.92	703.28	587.13	813.63	703.28	660.68
LTN1	161.02	52.82	76.71	98.04	103.69	100.13	97.36	112.77	93.35	414.87	379.04	301.33	164.42	88.88	122.64	96.68	98.73	132.44	97.36	110.43	146.03	181.28	178.77	157.68	175.07	113.56	102.97	55.49	186.4	71.5	49.91	139.07	186.4	201.25	177.53	153.34	167.9	195.72	151.22	205.5	152.28	138.1	205.5	126.12	232.94	156.59	164.42	178.77	166.73	163.28	134.3	165.57	201.25	145.02	175.07	183.82	186.4	99.43	94.01	61.25	21.94	134.3	75.11	56.68	88.88	94.67	119.26	157.68	128.79	104.42	144.01	131.51	132.44	129.69	161.02	143.01	177.53	108.9	125.24	57.49	32.82	29.06	45.53	41.22	48.87	19.68	45.21	33.54	48.18	53.95	253.23	163.28	146.03	351.14	218.79	189.02	199.85	244.57	143.01	223.41	197.09	353.59	167.9	199.85	161.02	255.0	242.88	237.86
MAN1A2	312.0	130.6	206.94	218.79	223.41	211.31	134.3	366.09	194.36	500.46	540.19	497.0	305.55	186.4	267.73	214.27	237.86	197.09	242.88	255.0	483.38	336.79	351.14	432.53	169.07	224.97	269.6	37.05	376.41	215.77	156.59	269.6	346.29	395.18	387.02	329.84	387.02	351.14	363.56	423.61	325.29	287.01	403.5	262.2	486.75	329.84	353.59	412.0	373.81	301.33	246.28	368.65	420.68	289.02	392.44	420.68	381.68	165.57	181.28	193.01	63.45	237.86	140.04	277.2	169.07	180.02	291.04	325.29	285.03	258.57	301.33	305.55	305.55	264.03	353.59	269.6	373.81	285.03	291.04	165.57	87.03	133.36	114.36	108.9	131.51	180.02	108.14	68.55	170.25	269.6	279.14	414.87	525.39	521.76	279.14	295.11	358.54	358.54	289.02	209.84	444.72	532.74	341.51	309.83	277.2	429.54	299.25	406.31
MIB1	102.97	87.03	85.22	155.5	153.34	79.45	132.44	178.77	111.21	490.14	511.0	447.82	267.73	135.24	229.72	142.01	248.0	94.01	155.5	132.44	197.09	194.36	177.53	426.57	175.07	78.89	108.14	81.71	171.45	107.38	108.14	234.57	371.22	412.0	414.87	376.41	412.0	356.05	228.13	363.56	271.48	253.23	353.59	220.32	400.71	332.14	341.51	420.68	368.65	275.28	199.85	312.0	346.29	291.04	316.37	351.14	316.37	96.01	126.12	126.12	18.29	61.25	72.01	92.05	115.97	145.02	226.54	277.2	223.41	223.41	226.54	262.2	220.32	209.84	264.03	191.67	271.48	226.54	231.32	78.89	68.55	81.71	40.07	52.08	75.11	40.36	61.68	46.18	63.89	35.76	358.54	229.72	220.32	379.04	366.09	271.48	277.2	228.13	281.09	265.87	285.03	258.57	255.0	275.28	325.29	341.51	351.14	332.14
MID2	45.85	45.53	54.33	75.11	96.68	92.05	72.01	62.12	27.64	336.79	379.04	361.04	156.59	80.01	132.44	128.79	156.59	80.57	167.9	84.04	220.32	92.05	130.6	152.28	173.85	78.89	108.14	21.94	223.41	60.82	59.13	134.3	182.55	170.25	139.07	150.17	163.28	178.77	148.09	149.12	164.42	133.36	175.07	99.43	161.02	166.73	156.59	167.9	167.9	126.12	111.99	149.12	156.59	132.44	186.4	140.04	152.28	62.12	52.45	70.51	73.54	119.26	115.97	69.52	44.57	58.71	134.3	162.14	122.64	112.77	148.09	111.99	133.36	132.44	128.79	142.01	161.02	129.69	148.09	26.67	62.56	181.28	61.68	81.71	57.89	25.54	55.1	48.18	111.99	36.27	490.14	209.84	206.94	236.21	169.07	147.06	187.71	173.85	251.48	194.36	312.0	307.69	163.28	262.2	92.7	241.19	149.12	258.57
NAA30	101.54	89.51	131.51	98.73	164.42	108.9	120.94	126.12	96.01	381.68	403.5	346.29	229.72	149.12	239.52	170.25	389.72	110.43	231.32	204.07	231.32	165.57	248.0	314.17	260.38	82.29	214.27	175.07	182.55	144.01	88.88	208.38	332.14	314.17	293.07	275.28	305.55	305.55	232.94	301.33	267.73	248.0	299.25	256.78	358.54	258.57	287.01	256.78	305.55	260.38	201.25	285.03	323.03	279.14	201.25	336.79	279.14	131.51	218.79	202.66	78.34	271.48	125.24	279.14	194.36	214.27	206.94	221.86	232.94	195.72	265.87	205.5	209.84	236.21	264.03	237.86	246.28	206.94	224.97	137.14	111.21	182.55	101.54	108.14	177.53	122.64	112.77	115.97	182.55	147.06	237.86	209.84	177.53	346.29	241.19	251.48	234.57	211.31	267.73	202.66	231.32	236.21	159.9	195.72	164.42	218.79	193.01	291.04
NHLRC2	70.01	21.63	56.68	47.84	48.18	26.28	43.02	65.26	17.25	224.97	244.57	166.73	109.66	67.59	94.01	66.18	139.07	57.49	111.99	102.25	155.5	114.36	125.24	170.25	95.34	47.17	57.89	66.18	100.83	55.1	56.28	110.43	125.24	159.9	163.28	140.04	136.19	124.37	100.83	167.9	117.6	103.69	138.1	92.05	143.01	120.94	144.01	157.68	154.42	134.3	92.05	135.24	113.56	117.6	120.1	138.1	150.17	35.76	54.72	62.12	23.59	52.08	42.41	62.12	31.22	58.71	102.97	115.97	87.03	90.77	110.43	114.36	80.01	99.43	130.6	115.97	105.15	94.01	96.01	31.22	19.39	38.4	31.45	18.7	36.53	13.72	28.04	34.75	58.3	74.58	164.42	110.43	99.43	171.45	154.42	124.37	151.22	180.02	108.9	167.9	178.77	143.01	127.0	152.28	115.16	182.55	129.69	170.25
NHSL2	6.11	4.13	5.54	3.47	5.92	2.41	4.06	2.78	2.1	127.89	77.79	103.69	34.75	4.98	20.11	10.71	14.78	6.46	4.78	7.11	10.31	45.85	20.41	22.43	125.24	7.57	37.32	0.78	11.38	8.0	19.53	24.63	27.44	51.71	29.48	26.47	42.11	21.16	19.68	37.85	21.78	15.56	27.64	9.56	30.12	24.46	24.81	44.89	33.06	32.13	20.26	23.08	18.43	19.97	49.21	16.51	41.81	1.64	5.68	4.17	8.71	11.64	18.03	5.15	1.91	3.29	16.15	32.13	18.56	21.01	25.35	31.22	23.59	21.01	23.93	24.81	38.67	20.86	21.16	1.64	1.51	2.43	1.46	3.08	2.94	0.52	0.53	1.71	6.26	2.68	234.57	40.93	18.43	19.39	40.07	37.85	11.47	82.87	52.08	44.25	61.25	24.46	46.84	35.76	23.93	38.95	22.75	41.52
PCNX	234.57	98.73	199.85	153.34	275.28	177.53	138.1	127.89	98.04	525.39	638.15	603.67	314.17	118.43	246.28	153.34	109.66	212.78	267.73	206.94	204.07	176.29	228.13	314.17	325.29	98.04	275.28	40.07	109.66	92.7	136.19	253.23	353.59	384.34	265.87	295.11	291.04	287.01	291.04	389.72	273.37	217.27	334.46	208.38	414.87	305.55	334.46	353.59	343.89	269.6	285.03	341.51	248.0	318.57	253.23	242.88	329.84	201.25	126.12	136.19	104.42	246.28	167.9	341.51	139.07	136.19	231.32	301.33	221.86	242.88	275.28	318.57	279.14	228.13	287.01	295.11	379.04	273.37	251.48	107.38	170.25	136.19	111.99	139.07	146.03	67.12	115.16	125.24	144.01	163.28	429.54	224.97	231.32	281.09	218.79	236.21	258.57	232.94	251.48	320.8	343.89	275.28	283.05	236.21	255.0	208.38	237.86	283.05
PEAK1	104.42	62.56	84.63	67.12	88.88	59.55	93.35	121.79	52.82	555.41	457.25	540.19	229.72	61.68	153.34	94.67	74.58	97.36	166.73	96.68	187.71	136.19	71.0	191.67	155.5	157.68	117.6	12.45	176.29	173.85	146.03	140.04	201.25	301.33	149.12	182.55	253.23	151.22	164.42	271.48	155.5	198.47	206.94	108.14	175.07	170.25	167.9	223.41	198.47	167.9	125.24	187.71	197.09	149.12	249.73	183.82	269.6	55.1	120.1	99.43	44.89	95.34	84.63	115.16	114.36	53.95	100.83	228.13	118.43	143.01	169.07	148.09	136.19	134.3	154.42	159.9	242.88	151.22	158.79	31.45	34.26	48.87	29.91	32.36	58.3	22.43	23.59	31.22	54.72	41.81	1651.0	167.9	87.65	171.45	130.6	130.6	144.01	155.5	166.73	116.78	212.78	92.05	127.0	202.66	149.12	242.88	117.6	228.13
PHF3	150.17	139.07	144.01	142.01	215.77	178.77	139.07	291.04	147.06	1015.93	967.76	1044.52	480.04	201.25	366.09	226.54	320.8	214.27	316.37	206.94	237.86	318.57	265.87	536.45	314.17	373.81	249.73	28.24	583.07	190.34	153.34	361.04	603.67	559.28	444.72	463.65	497.0	529.06	371.22	684.02	473.41	376.41	633.73	320.8	669.92	551.56	486.75	567.1	563.18	493.56	368.65	532.74	309.83	473.41	423.61	507.46	612.11	149.12	191.67	183.82	29.91	241.19	86.43	346.29	149.12	195.72	371.22	444.72	353.59	361.04	389.72	397.93	336.79	381.68	493.56	346.29	441.64	381.68	392.44	156.59	115.97	148.09	62.56	84.63	152.28	163.28	121.79	58.3	96.01	223.41	1340.84	444.72	486.75	1191.69	842.36	769.69	1059.11	693.58	785.88	743.43	802.41	607.87	480.04	660.68	872.1	703.28	633.73	473.41
PIAS1	255.0	186.4	223.41	244.57	275.28	164.42	198.47	229.72	202.66	842.36	679.29	693.58	486.75	271.48	329.84	269.6	248.0	260.38	356.05	376.41	339.14	500.46	376.41	379.04	356.05	301.33	255.0	113.56	480.04	258.57	201.25	387.02	483.38	438.59	438.59	429.54	480.04	555.41	387.02	529.06	450.94	307.69	497.0	368.65	532.74	409.15	414.87	483.38	507.46	438.59	384.34	429.54	438.59	412.0	620.67	480.04	493.56	170.25	201.25	194.36	120.94	277.2	228.13	208.38	170.25	211.31	381.68	450.94	361.04	327.56	356.05	387.02	291.04	351.14	414.87	327.56	500.46	371.22	376.41	107.38	118.43	175.07	108.9	121.79	101.54	129.69	146.03	106.63	145.02	94.67	836.53	525.39	759.08	1104.13	698.41	802.41	1037.29	733.19	633.73	698.41	896.64	555.41	769.69	866.07	934.76	1119.56	1268.46	591.22
PIK3C2A	161.02	72.01	105.15	172.65	114.36	101.54	180.02	140.04	100.83	947.83	684.02	674.59	665.29	332.14	547.75	348.71	503.95	209.84	273.37	371.22	493.56	529.06	397.93	1250.98	525.39	201.25	208.38	214.27	392.44	215.77	124.37	493.56	665.29	808.0	595.34	583.07	718.08	684.02	551.56	878.17	607.87	441.64	796.86	536.45	866.07	728.11	624.99	764.36	728.11	607.87	497.0	624.99	656.11	665.29	713.11	571.05	753.83	166.73	190.34	161.02	21.32	348.71	85.22	329.84	146.03	265.87	507.46	536.45	470.14	521.76	571.05	503.95	575.03	476.71	607.87	507.46	693.58	460.44	450.94	102.25	86.43	96.68	74.06	62.12	113.56	65.72	53.57	23.93	96.01	92.05	669.92	529.06	500.46	1225.22	988.12	587.13	743.43	532.74	543.96	620.67	791.35	743.43	543.96	563.18	660.68	791.35	579.04	612.11
