	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.C5.A902.01A.11R.A37O.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A50L.01A.11R.A260.31	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49O.01A.11R.A24K.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.LN.A5U6.01A.11R.A28J.31	TCGA.L5.A8NS.01A.12R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.T3.A92M.01A.31R.A39I.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.QK.A64Z.01A.11R.A30B.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CN.A49A.01A.11R.A24H.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.CR.6488.01A.12R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.2426.SM.4BRV8
CEP95	460.44	921.88	934.76	988.12	642.59	684.02	1259.69	860.08	1096.5	1104.13	1096.5	728.11	1143.1	693.58	1605.83	1674.06	819.3	866.07	825.0	669.92	116.78	99.43	514.56	191.67	209.84	323.03	133.36	339.14	241.19	651.58	220.32	111.99	361.04	476.71	450.94	409.15	183.82	147.06	249.73	154.42	320.8	708.18	543.96	466.88	273.37	283.05	177.53	228.13	171.45	253.23	303.44	285.03	159.9	441.64	156.59	438.59	269.6	297.17	318.57	141.02	214.27	283.05	228.13	414.87	206.94	143.01	1044.52	988.12	0.0	0.78	164.42
CLASRP	693.58	1857.6	1617.0	1721.16	954.43	1519.15	3103.19	2255.7	1721.16	1639.59	2664.15	974.5	1519.15	1104.13	2240.11	3103.19	1721.16	1721.16	1950.0	1519.15	170.25	327.56	995.0	426.57	346.29	753.83	232.94	802.41	403.5	1369.04	420.68	318.57	785.88	559.28	854.13	708.18	497.0	334.46	567.1	264.03	616.37	1111.82	1183.45	703.28	713.11	599.49	435.55	454.09	476.71	651.58	441.64	507.46	511.0	587.13	293.07	759.08	603.67	830.75	457.25	329.84	303.44	830.75	738.29	703.28	395.18	346.29	4704.07	2875.3	0.0	1.5	339.14
CLEC12B	5.19	4.66	0.8	24.99	3.92	8.25	7.69	48.87	2.05	0.0	77.79	15.22	2.61	1.99	7.94	77.25	2.48	2.51	36.53	16.51	0.97	0.0	10.96	2.2	1.45	0.0	0.0	2.63	0.48	10.31	3.47	6.41	5.19	0.92	5.45	4.86	0.0	1.13	0.54	0.96	0.0	45.21	6.01	5.92	1.04	1.39	1.77	1.23	1.11	5.82	4.1	0.0	0.52	1.68	0.0	6.62	3.66	7.17	5.02	0.0	0.0	13.12	2.43	0.56	1.03	0.0	41.22	45.85	0.0	0.44	0.31
COL27A1	148.09	27.25	902.89	1304.15	1529.73	842.36	928.3	1388.16	1295.13	414.87	1819.35	1388.16	67.59	780.44	890.44	2609.3	902.89	759.08	890.44	1073.91	82.87	106.63	325.29	198.47	228.13	287.01	234.57	1183.45	332.14	647.07	193.01	109.66	242.88	490.14	281.09	318.57	208.38	129.69	633.73	161.02	237.86	2163.77	2720.15	277.2	171.45	323.03	101.54	356.05	226.54	178.77	251.48	400.71	224.97	555.41	209.84	198.47	256.78	555.41	176.29	151.22	195.72	629.35	153.34	532.74	124.37	46.18	902.89	1225.22	0.0	0.93	100.83
CYP4F31P	0.0	0.0	0.0	16.63	5.02	5.32	6.62	5.96	8.13	1.22	2.29	0.0	12.74	2.89	2.34	23.76	2.86	15.91	3.29	29.27	0.0	0.0	1.19	1.85	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	2.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.42	3.44	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	5.59	3.08	8.99	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.0
ELMOD3	221.86	343.89	460.44	450.94	299.25	323.03	595.34	303.44	518.15	307.69	381.68	293.07	748.61	353.59	507.46	616.37	371.22	371.22	320.8	353.59	137.14	94.67	223.41	191.67	111.99	289.02	79.45	256.78	92.05	256.78	181.28	110.43	173.85	275.28	185.11	189.02	167.9	169.07	180.02	241.19	116.78	256.78	299.25	115.97	116.78	193.01	161.02	52.08	181.28	154.42	153.34	151.22	132.44	246.28	123.5	108.9	155.5	197.09	127.89	84.63	162.14	256.78	171.45	143.01	175.07	87.65	723.08	551.56	0.0	0.65	132.44
ENTHD2	218.79	791.35	620.67	934.76	860.08	934.76	1183.45	884.29	1001.93	967.76	1073.91	674.59	902.89	579.04	872.1	1883.54	842.36	1088.92	921.88	656.11	171.45	153.34	511.0	185.11	144.01	366.09	183.82	463.65	265.87	954.43	221.86	143.01	325.29	470.14	412.0	329.84	221.86	191.67	258.57	223.41	265.87	684.02	791.35	373.81	217.27	299.25	206.94	255.0	251.48	217.27	323.03	260.38	157.68	320.8	197.09	234.57	143.01	316.37	312.0	145.02	224.97	454.09	323.03	518.15	281.09	170.25	1594.73	819.3	0.0	0.99	158.79
EXO5	87.03	303.44	269.6	450.94	98.73	175.07	187.71	136.19	187.71	66.65	124.37	190.34	176.29	175.07	133.36	332.14	143.01	236.21	157.68	189.02	123.5	69.52	90.14	5.23	27.44	172.65	74.06	246.28	204.07	92.05	26.86	47.5	66.65	116.78	33.3	14.24	65.72	73.03	148.09	100.13	116.78	191.67	246.28	151.22	8.78	68.07	120.94	146.03	83.45	55.49	105.15	115.16	37.85	94.01	108.9	61.68	73.03	92.05	124.37	42.11	41.22	165.57	113.56	146.03	56.68	105.15	131.51	121.79	0.0	0.0	40.64
FAM156B	138.1	303.44	470.14	638.15	483.38	334.46	780.44	384.34	497.0	358.54	341.51	281.09	638.15	195.72	647.07	1175.27	454.09	454.09	265.87	444.72	65.26	84.63	356.05	93.35	103.69	285.03	150.17	599.49	64.8	334.46	127.89	135.24	156.59	115.97	277.2	139.07	187.71	163.28	241.19	185.11	206.94	571.05	356.05	116.78	176.29	211.31	153.34	88.88	204.07	60.39	115.16	111.99	172.65	187.71	146.03	190.34	152.28	336.79	157.68	123.5	122.64	251.48	122.64	341.51	156.59	177.53	1242.34	759.08	0.0	0.68	214.27
FAM193B	616.37	1498.22	2400.97	2384.37	718.08	1674.06	2915.45	909.17	1757.34	3491.39	2485.67	1001.93	1709.26	1250.98	2502.97	3794.3	2104.58	2895.31	1721.16	1295.13	244.57	353.59	860.08	599.49	320.8	703.28	185.11	1225.22	186.4	1250.98	314.17	435.55	728.11	500.46	1529.73	1159.07	540.19	395.18	890.44	329.84	476.71	1685.71	624.99	406.31	860.08	688.78	353.59	234.57	417.77	320.8	490.14	400.71	236.21	305.55	363.56	218.79	450.94	1709.26	246.28	642.59	454.09	551.56	438.59	688.78	703.28	486.75	5831.91	4481.23	0.0	1.45	392.44
FAM194B	15.11	6.73	44.57	17.77	8.78	9.48	36.79	19.68	11.55	13.93	21.32	9.93	63.0	2.89	33.3	28.04	6.67	18.29	10.96	11.82	9.34	0.0	4.86	0.0	0.0	3.53	3.5	21.47	1.97	7.82	3.79	2.03	5.68	12.36	14.14	7.11	3.26	4.31	4.54	2.25	9.63	13.32	16.75	2.34	2.97	8.99	1.77	2.03	4.82	10.08	0.0	9.85	2.58	5.63	3.79	0.0	4.9	6.62	0.0	0.0	2.27	12.64	6.06	12.27	0.0	0.0	46.84	63.89	0.0	0.66	0.56
FAM229A	29.06	102.25	89.51	175.07	113.56	177.53	215.77	197.09	289.02	84.63	119.26	64.8	486.75	94.67	153.34	269.6	223.41	236.21	178.77	127.89	2.51	4.06	48.52	7.46	9.34	15.0	7.57	40.64	28.86	100.13	25.35	8.06	37.05	43.94	16.63	28.86	13.42	19.25	19.11	17.51	41.22	90.77	66.65	65.26	30.56	24.81	31.9	7.06	21.16	4.78	9.13	14.67	12.45	18.7	7.17	16.39	8.45	72.52	25.72	7.94	20.11	40.36	18.16	17.9	12.83	14.78	201.25	181.28	0.0	0.71	3.0
FAM71F2	4.74	2.25	14.89	46.84	31.45	12.0	43.32	47.5	40.36	40.64	54.72	12.83	39.79	31.67	34.26	93.35	27.25	69.52	15.91	13.83	3.26	4.31	11.3	8.38	7.28	18.43	2.46	27.25	4.78	15.56	1.22	2.05	7.17	13.22	5.41	2.66	5.63	11.55	1.77	3.66	13.42	17.64	19.82	7.06	0.0	16.03	1.31	1.2	3.72	4.06	3.59	6.94	5.23	16.75	3.82	7.0	3.41	10.63	7.06	2.16	9.78	36.01	8.65	22.92	9.13	0.93	58.71	142.01	0.0	0.61	0.44
FBXO42	400.71	395.18	417.77	536.45	327.56	395.18	406.31	363.56	540.19	575.03	470.14	325.29	493.56	384.34	466.88	896.64	698.41	444.72	490.14	417.77	265.87	412.0	334.46	363.56	253.23	454.09	267.73	579.04	336.79	353.59	307.69	289.02	389.72	291.04	397.93	305.55	320.8	368.65	332.14	269.6	318.57	679.29	603.67	371.22	387.02	303.44	281.09	373.81	309.83	93.35	348.71	384.34	275.28	379.04	366.09	215.77	281.09	400.71	195.72	384.34	289.02	301.33	361.04	420.68	368.65	351.14	432.53	397.93	0.0	0.37	409.15
FRA10AC1	297.17	559.28	460.44	400.71	412.0	363.56	403.5	579.04	389.72	358.54	438.59	457.25	612.11	403.5	599.49	511.0	559.28	334.46	587.13	567.1	171.45	201.25	181.28	237.86	177.53	275.28	126.12	438.59	275.28	307.69	260.38	169.07	172.65	289.02	140.04	353.59	237.86	153.34	320.8	172.65	303.44	273.37	307.69	244.57	214.27	228.13	234.57	239.52	198.47	429.54	271.48	275.28	197.09	212.78	228.13	217.27	400.71	173.85	368.65	171.45	262.2	346.29	269.6	223.41	239.52	180.02	743.43	555.41	0.0	0.54	215.77
GPBP1L1	1896.65	1295.13	1674.06	1697.45	1313.23	1417.35	1991.0	1617.0	2148.82	1457.23	1769.57	1304.15	1936.53	1519.15	2451.44	2434.5	1697.45	1208.34	1769.57	1427.22	1551.09	1059.11	1286.18	1191.69	1322.37	1167.14	988.12	1331.57	1277.29	1250.98	1191.69	1167.14	1583.71	1437.15	1331.57	1350.18	1167.14	1250.98	1331.57	1023.0	1233.75	1350.18	2384.37	1295.13	1806.78	1159.07	1073.91	1191.69	1119.56	748.61	1143.1	1250.98	947.83	1757.34	1233.75	1073.91	1286.18	872.1	753.83	1151.06	1359.57	1322.37	1322.37	1551.09	1259.69	1119.56	1369.04	1286.18	1388.16	1447.15	1059.11
HECTD3	373.81	674.59	624.99	1081.39	743.43	866.07	974.5	753.83	909.17	728.11	813.63	733.19	1259.69	934.76	1001.93	1073.91	890.44	981.29	1051.79	785.88	603.67	733.19	642.59	728.11	698.41	954.43	457.25	1023.0	759.08	928.3	688.78	642.59	753.83	620.67	708.18	642.59	759.08	825.0	915.51	629.35	713.11	1175.27	981.29	518.15	796.86	748.61	738.29	738.29	656.11	325.29	583.07	708.18	514.56	748.61	563.18	316.37	612.11	688.78	595.34	703.28	988.12	890.44	791.35	638.15	819.3	713.11	1001.93	1119.56	0.0	0.48	387.02
HEXDC	253.23	1896.65	819.3	1044.52	490.14	679.29	1242.34	356.05	693.58	595.34	954.43	633.73	733.19	483.38	921.88	1757.34	967.76	642.59	1044.52	555.41	108.9	72.01	279.14	158.79	155.5	373.81	118.43	480.04	142.01	728.11	299.25	136.19	125.24	376.41	312.0	297.17	223.41	101.54	348.71	90.77	172.65	423.61	532.74	397.93	138.1	260.38	262.2	92.05	241.19	221.86	366.09	214.27	223.41	291.04	228.13	228.13	212.78	339.14	343.89	113.56	198.47	239.52	267.73	172.65	228.13	189.02	1304.15	902.89	0.0	0.64	373.81
HOXB5	74.06	486.75	126.12	106.63	26.28	40.64	713.11	26.28	21.01	46.18	71.0	4.98	176.29	28.24	406.31	96.68	14.67	15.56	63.89	4.17	13.32	9.85	11.04	5.15	0.83	2.84	7.94	18.03	0.67	29.48	10.96	0.47	4.9	2.51	0.0	2.16	0.41	6.94	0.4	1.51	1.97	17.0	4.9	8.38	2.46	1.55	1.87	2.63	2.63	2.89	1.83	1.62	2.12	3.44	3.82	3.56	1.23	7.22	6.31	3.26	1.53	6.16	3.44	2.29	2.78	0.0	48.52	111.99	17.25	363.56	0.75
HOXB6	199.85	915.51	212.78	113.56	18.97	98.04	1073.91	36.53	51.71	72.01	55.89	37.59	466.88	48.18	780.44	148.09	43.94	93.35	79.45	52.08	9.2	19.97	13.12	11.38	2.89	2.27	16.03	36.79	2.03	37.05	23.42	1.43	7.46	6.57	1.45	8.38	3.56	16.63	7.51	9.41	5.59	80.01	4.82	24.11	5.92	3.96	2.73	5.11	6.78	9.2	3.76	6.16	9.93	7.82	5.19	13.22	5.36	20.86	18.29	5.77	5.77	29.48	30.56	8.13	6.16	0.0	147.06	232.94	0.0	0.66	1.16
IL11RA	62.56	395.18	748.61	624.99	121.79	226.54	400.71	255.0	507.46	59.97	201.25	150.17	320.8	202.66	239.52	587.13	279.14	229.72	293.07	366.09	150.17	39.22	85.82	17.9	76.17	94.67	82.29	376.41	55.49	143.01	50.27	81.71	63.89	56.28	92.7	92.05	65.72	142.01	119.26	74.06	120.1	170.25	323.03	115.97	28.65	84.04	73.03	27.25	249.73	64.34	88.26	29.91	55.89	64.34	70.01	90.14	113.56	108.14	24.46	63.89	190.34	289.02	76.71	72.52	94.67	84.63	703.28	412.0	0.0	0.49	161.02
ITGA10	7.82	13.03	16.03	69.03	20.11	18.29	108.14	44.25	43.94	23.08	12.27	11.91	52.45	16.88	41.81	85.82	10.08	15.22	23.93	10.55	2.84	2.12	11.21	3.79	6.01	5.96	5.19	16.75	1.6	28.65	7.88	5.54	8.38	11.55	14.67	9.27	7.82	12.0	5.15	9.06	11.04	27.25	11.55	3.63	3.56	8.85	10.47	0.78	22.1	5.02	4.13	2.97	2.66	7.17	2.89	11.91	7.17	11.47	2.29	10.79	5.77	11.73	7.63	3.35	5.77	3.38	144.01	85.82	0.0	0.71	4.62
KLHDC1	22.1	32.59	32.13	65.26	29.7	35.25	77.25	41.81	85.22	30.12	21.01	32.13	55.89	22.26	78.34	107.38	30.12	21.32	54.72	16.75	12.18	8.85	10.16	16.27	15.34	6.78	4.5	14.45	4.24	12.83	11.3	6.26	8.99	5.96	13.72	13.22	14.35	26.67	8.99	9.48	18.56	33.06	17.9	4.54	12.74	7.63	8.25	2.14	18.97	9.41	6.84	29.06	8.99	9.34	7.28	23.59	17.77	10.31	3.66	7.75	4.54	25.54	5.82	4.17	10.24	12.93	134.3	86.43	0.0	0.3	10.71
KLHDC2	656.11	791.35	470.14	808.0	486.75	1088.92	934.76	620.67	1191.69	669.92	738.29	866.07	684.02	1096.5	1427.22	1350.18	909.17	555.41	836.53	791.35	575.03	320.8	775.05	353.59	511.0	307.69	351.14	647.07	336.79	713.11	351.14	323.03	480.04	656.11	476.71	543.96	309.83	507.46	426.57	599.49	457.25	698.41	1135.2	624.99	511.0	400.71	406.31	253.23	532.74	532.74	463.65	896.64	503.95	591.22	366.09	796.86	412.0	454.09	426.57	387.02	420.68	1199.98	429.54	579.04	511.0	486.75	1313.23	1167.14	0.0	0.54	231.32
KRT17	4953441.24	320506.81	282912.21	13033.07	90773.53	92040.7	11267.44	320506.81	16611.71	368165.8	156954.93	124863.17	642.59	46986.85	11827.67	130165.62	170568.48	146444.06	32092.64	81809.59	475800.4	971597.0	542775.98	485798.0	363097.14	589853.66	462789.59	104996.83	428815.23	453265.5	389157.95	431797.89	466008.55	716197.51	701458.36	593956.43	368165.8	524287.0	524287.0	348306.01	440870.9	229795.93	161367.56	542775.98	565825.41	645473.24	447025.24	425853.18	397335.0	405683.88	546551.29	632189.57	485798.0	450134.56	466008.55	443937.41	425853.18	585779.24	400098.69	912837.43	417089.23	113315.62	546551.29	475800.4	506427.83	378516.38	80.57	88.88	0.0	0.43	443937.41
L3HYPDH	95.34	267.73	316.37	775.05	1233.75	603.67	579.04	1225.22	842.36	595.34	1350.18	928.3	497.0	669.92	543.96	796.86	480.04	435.55	400.71	193.01	241.19	127.89	329.84	208.38	202.66	229.72	81.71	289.02	283.05	221.86	307.69	133.36	178.77	414.87	180.02	329.84	229.72	129.69	271.48	214.27	305.55	480.04	638.15	314.17	152.28	214.27	215.77	457.25	208.38	551.56	301.33	212.78	239.52	395.18	193.01	291.04	197.09	291.04	567.1	86.43	164.42	389.72	228.13	291.04	156.59	157.68	1427.22	1015.93	0.0	0.91	39.22
LRIT3	2.12	1.75	1.91	8.38	3.06	2.2	6.78	3.99	4.28	3.29	7.34	0.0	17.51	2.16	6.21	8.71	3.56	4.5	3.99	4.82	1.0	0.65	2.78	2.23	1.03	0.0	0.0	3.0	0.0	1.39	0.53	0.64	3.53	2.14	3.08	0.95	1.0	2.14	0.97	0.56	1.45	4.1	2.14	1.87	0.6	1.43	1.38	0.52	1.62	0.51	0.56	1.48	0.93	0.54	1.01	0.88	0.59	0.55	0.0	0.0	0.99	2.1	0.54	1.0	1.07	1.17	10.0	18.43	0.0	0.27	0.0
LSMEM1	18.43	14.14	37.59	26.28	30.78	24.81	163.28	52.82	42.11	25.72	61.25	23.42	283.05	18.03	75.64	153.34	32.59	47.84	50.27	28.04	13.12	2.23	37.05	5.28	10.63	18.97	9.34	8.45	4.13	27.64	10.31	3.2	11.21	16.27	20.41	15.91	7.82	13.03	5.96	10.08	21.78	48.52	17.77	14.24	3.89	16.88	8.0	5.77	14.24	10.88	6.26	4.24	3.38	31.0	1.08	3.53	3.38	21.47	14.24	3.41	12.18	8.78	5.63	16.88	6.78	11.55	109.66	205.5	0.0	0.59	36.01
LY6G5B	18.84	215.77	248.0	400.71	169.07	260.38	808.0	291.04	447.82	384.34	314.17	106.63	403.5	189.02	406.31	543.96	490.14	341.51	400.71	305.55	2.61	6.01	145.02	44.57	40.07	161.02	2.2	147.06	26.47	115.97	22.43	18.7	139.07	58.3	83.45	102.25	39.22	36.27	68.07	13.03	121.79	215.77	229.72	67.59	32.82	87.65	43.02	12.55	57.49	15.22	37.85	17.64	9.06	57.49	15.11	8.99	43.32	93.35	38.12	19.97	17.13	84.63	52.08	121.79	14.14	13.32	748.61	547.75	0.0	1.23	9.27
MAP4K5	384.34	256.78	457.25	708.18	450.94	995.0	660.68	909.17	921.88	688.78	884.29	1059.11	723.08	848.22	921.88	1313.23	836.53	743.43	665.29	384.34	460.44	463.65	583.07	392.44	559.28	242.88	525.39	356.05	403.5	457.25	444.72	486.75	693.58	511.0	435.55	361.04	384.34	447.82	438.59	764.36	409.15	463.65	703.28	389.72	543.96	447.82	373.81	373.81	559.28	567.1	559.28	775.05	371.22	511.0	384.34	435.55	633.73	332.14	384.34	518.15	389.72	961.07	316.37	718.08	403.5	389.72	470.14	473.41	0.0	0.58	409.15
NBPF9	236.21	379.04	642.59	1216.75	348.71	406.31	616.37	567.1	599.49	314.17	647.07	209.84	808.0	363.56	748.61	693.58	473.41	536.45	559.28	387.02	62.12	76.71	241.19	187.71	137.14	197.09	121.79	169.07	153.34	229.72	198.47	173.85	156.59	142.01	314.17	214.27	116.78	155.5	212.78	92.05	193.01	511.0	397.93	186.4	189.02	221.86	157.68	138.1	209.84	195.72	120.1	148.09	101.54	202.66	127.0	202.66	187.71	242.88	131.51	156.59	183.82	262.2	199.85	202.66	187.71	73.03	1059.11	909.17	0.0	1.06	171.45
NEMF	603.67	447.82	665.29	808.0	642.59	825.0	915.51	764.36	981.29	775.05	1030.12	603.67	961.07	728.11	1051.79	1088.92	808.0	620.67	866.07	483.38	186.4	368.65	616.37	389.72	480.04	320.8	232.94	395.18	279.14	457.25	395.18	486.75	476.71	414.87	486.75	514.56	366.09	265.87	444.72	559.28	412.0	409.15	599.49	441.64	497.0	500.46	409.15	291.04	438.59	497.0	403.5	507.46	258.57	463.65	363.56	341.51	679.29	332.14	325.29	409.15	503.95	728.11	348.71	476.71	450.94	417.77	748.61	559.28	0.0	0.87	514.56
NFYC	860.08	1331.57	1313.23	3349.13	842.36	1340.84	961.07	1119.56	1073.91	967.76	1191.69	1135.2	1242.34	1159.07	1286.18	2047.0	1127.35	2075.59	1143.1	1242.34	764.36	743.43	934.76	854.13	759.08	1143.1	780.44	1030.12	848.22	808.0	1015.93	878.17	1051.79	967.76	775.05	1044.52	785.88	866.07	1175.27	967.76	796.86	1540.37	1286.18	651.58	825.0	866.07	1340.84	1135.2	915.51	890.44	909.17	1059.11	738.29	934.76	1001.93	723.08	1030.12	713.11	796.86	866.07	1151.06	988.12	961.07	1037.29	928.3	915.51	1359.57	1331.57	0.0	0.4	555.41
NHLH1	6.84	7.22	9.93	12.0	5.41	5.5	8.19	5.54	7.51	4.03	7.11	4.03	33.06	1.41	11.04	24.81	7.63	5.96	8.0	13.83	0.0	0.0	2.2	1.3	0.93	1.23	1.85	8.65	0.42	2.46	1.53	1.5	2.56	5.41	4.31	0.85	0.91	1.53	5.54	0.48	2.58	5.96	2.76	3.06	1.83	2.94	5.59	0.44	4.78	0.0	3.17	3.92	0.84	1.58	1.73	0.79	0.95	5.36	1.35	0.59	2.1	3.82	1.95	4.13	1.85	2.53	5.82	9.48	0.0	0.16	2.1
NLRC5	769.69	1030.12	713.11	2287.2	738.29	1159.07	1709.26	343.89	1350.18	486.75	2485.67	1313.23	2271.4	775.05	1508.65	6337.83	1313.23	974.5	1769.57	1697.45	206.94	220.32	1487.87	447.82	1159.07	1066.48	318.57	1304.15	571.05	1721.16	651.58	825.0	543.96	848.22	1628.26	780.44	1081.39	209.84	1104.13	490.14	941.27	693.58	2287.2	934.76	166.73	1191.69	1313.23	642.59	1304.15	239.52	947.83	466.88	819.3	1096.5	703.28	209.84	1030.12	559.28	988.12	371.22	759.08	1081.39	1159.07	728.11	785.88	167.9	3901.01	2335.28	1111.82	1167.14	954.43
NPHP3	108.14	136.19	363.56	403.5	293.07	563.18	511.0	314.17	624.99	299.25	426.57	275.28	708.18	176.29	466.88	974.5	323.03	532.74	323.03	400.71	70.01	29.48	137.14	126.12	61.68	62.56	62.12	169.07	45.53	102.97	60.39	30.78	115.16	110.43	110.43	115.16	49.56	63.89	92.05	79.45	78.34	332.14	205.5	75.11	67.12	89.51	70.01	61.25	120.1	133.36	120.1	80.01	44.57	123.5	51.35	229.72	120.94	156.59	169.07	59.55	71.0	158.79	67.12	140.04	48.87	39.79	713.11	616.37	0.0	0.64	41.81
NPIPA1	417.77	1487.87	1304.15	4937.99	2816.11	1883.54	6516.03	3690.52	3614.55	2224.63	4010.71	1378.57	3768.09	1023.0	4607.24	5441.3	2075.59	4450.27	3540.14	1477.58	31.67	61.25	665.29	400.71	172.65	521.76	111.99	1088.92	256.78	1051.79	332.14	153.34	329.84	346.29	423.61	540.19	205.5	205.5	878.17	180.02	291.04	1819.35	1225.22	423.61	232.94	414.87	371.22	120.1	320.8	371.22	191.67	229.72	277.2	665.29	242.88	612.11	297.17	1023.0	305.55	178.77	287.01	656.11	426.57	503.95	248.0	139.07	3901.01	5255.91	0.0	1.33	341.51
NPIPB15	123.5	16.88	228.13	309.83	117.6	131.51	587.13	143.01	277.2	226.54	327.56	19.82	497.0	80.01	260.38	432.53	1.45	175.07	289.02	269.6	1.14	6.46	2.2	14.35	19.25	66.65	10.79	1.01	7.11	159.9	33.3	26.28	53.57	67.12	70.51	82.29	0.0	0.0	30.34	11.21	62.12	1.01	214.27	26.86	2.27	102.25	10.24	7.4	34.02	4.31	35.76	14.78	1.08	2.39	6.62	10.31	19.53	1.99	21.16	11.73	17.38	151.22	39.79	113.56	24.28	4.31	6.01	255.0	0.0	0.19	15.22
NPIPB4	366.09	633.73	591.22	3235.01	1498.22	1628.26	4010.71	1991.0	1674.06	1909.85	3614.55	529.06	3794.3	733.19	3443.31	2319.15	1806.78	2061.24	1674.06	583.07	50.27	75.11	603.67	218.79	358.54	368.65	98.73	438.59	289.02	271.48	226.54	211.31	470.14	387.02	563.18	224.97	221.86	353.59	251.48	183.82	224.97	1111.82	1059.11	206.94	260.38	412.0	205.5	139.07	234.57	256.78	234.57	301.33	234.57	493.56	148.09	251.48	265.87	507.46	249.73	126.12	264.03	612.11	353.59	551.56	183.82	99.43	5831.91	5076.84	0.0	1.33	206.94
NUTM2A	57.08	73.03	12.55	58.3	14.89	13.32	24.11	23.93	42.41	11.47	26.1	15.22	49.56	34.26	18.7	63.45	41.22	31.67	32.13	7.06	7.28	1.19	7.63	10.08	11.38	54.33	6.11	27.84	24.99	14.78	42.11	12.18	7.4	10.39	13.22	12.74	19.11	6.62	4.28	3.5	13.72	13.72	34.51	38.12	9.2	11.04	13.52	4.62	9.85	17.0	5.82	12.0	18.84	13.12	35.25	6.36	8.99	20.86	20.56	6.41	16.03	30.56	15.34	15.11	18.03	11.73	9.13	20.71	0.0	0.14	4.62
NUTM2B	13.22	52.45	15.56	54.33	2.56	14.45	13.52	7.0	39.22	6.36	8.13	7.34	31.67	14.45	15.56	32.13	28.65	24.46	18.84	5.11	0.56	4.94	12.74	6.62	5.63	18.29	6.31	41.81	3.59	2.18	17.64	8.13	2.25	9.7	8.65	5.54	10.63	0.64	12.27	6.89	15.0	11.91	20.41	41.22	8.06	6.31	12.36	5.15	13.22	7.4	5.19	9.56	16.03	10.16	17.64	19.11	14.56	24.28	32.82	2.2	9.78	12.09	6.84	0.56	3.26	7.51	8.78	18.7	0.0	0.0	8.65
