	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.A7.A13E.11A.61R.A12P.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.BH.A0BZ.11A.61R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.W5X1.2326.SM.3GIL6	GTEX.11ZTT.2326.SM.5EQLG	GTEX.WRHU.0326.SM.3MJFY	GTEX.S32W.2026.SM.4AD6E	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.ZF3C.2326.SM.5S2MZ	GTEX.YJ8O.2226.SM.5IFHW	GTEX.YB5K.1626.SM.5IFIN	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.TML8.1226.SM.32QON	GTEX.13OVG.1426.SM.5K7VP	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1
KRIT1	830.75	351.14	480.04	693.58	540.19	660.68	217.27	607.87	450.94	612.11	507.46	563.18	529.06	854.13	708.18	884.29	785.88	518.15	748.61	616.37	775.05	579.04	642.59	866.07	521.76	547.75	620.67	620.67	738.29	647.07	543.96	497.0	463.65	395.18	808.0	679.29	1073.91	351.14	660.68	432.53	473.41	830.75	486.75	493.56	435.55	366.09	366.09	1023.0	457.25	57.89	148.09
LHFPL1	8.38	0.29	3.11	9.2	5.06	12.18	0.62	0.75	0.33	1.07	0.0	3.11	4.78	13.12	8.13	39.22	17.13	4.78	28.04	0.0	10.47	0.77	12.74	29.48	0.0	0.72	13.12	2.86	4.46	1.16	2.61	17.9	0.0	6.84	16.63	22.92	14.78	0.0	17.77	0.0	3.08	8.85	14.24	0.0	0.0	0.0	4.74	13.93	2.73	0.0	0.0
LINS	392.44	170.25	232.94	264.03	171.45	336.79	102.97	161.02	224.97	248.0	155.5	287.01	214.27	381.68	297.17	642.59	275.28	163.28	264.03	151.22	426.57	209.84	241.19	341.51	152.28	155.5	193.01	220.32	218.79	191.67	158.79	133.36	199.85	77.25	490.14	334.46	521.76	140.04	246.28	193.01	141.02	234.57	285.03	169.07	185.11	112.77	173.85	392.44	208.38	51.71	81.14
LMBRD2	201.25	79.45	114.36	208.38	171.45	173.85	65.26	131.51	185.11	146.03	98.04	125.24	141.02	228.13	148.09	223.41	201.25	104.42	229.72	122.64	211.31	155.5	164.42	170.25	129.69	141.02	167.9	140.04	169.07	172.65	141.02	187.71	114.36	56.28	329.84	265.87	264.03	74.06	95.34	66.18	170.25	178.77	246.28	125.24	80.57	81.71	95.34	285.03	102.97	28.65	32.59
LRRC8D	426.57	189.02	204.07	497.0	287.01	429.54	111.99	175.07	204.07	166.73	177.53	277.2	264.03	334.46	265.87	665.29	429.54	152.28	432.53	173.85	441.64	239.52	265.87	480.04	228.13	187.71	232.94	251.48	295.11	211.31	178.77	277.2	185.11	180.02	463.65	511.0	406.31	194.36	318.57	131.51	218.79	232.94	295.11	255.0	105.15	187.71	158.79	480.04	172.65	205.5	316.37
MAP2K4	571.05	327.56	346.29	607.87	435.55	480.04	215.77	373.81	381.68	379.04	332.14	358.54	423.61	521.76	400.71	624.99	490.14	397.93	486.75	279.14	543.96	371.22	420.68	532.74	318.57	323.03	429.54	412.0	395.18	387.02	323.03	563.18	320.8	255.0	351.14	441.64	1199.98	212.78	587.13	185.11	334.46	457.25	420.68	341.51	228.13	205.5	256.78	848.22	307.69	175.07	358.54
MAP3K1	1059.11	211.31	182.55	791.35	392.44	808.0	118.43	136.19	241.19	206.94	98.04	287.01	417.77	813.63	366.09	1250.98	759.08	124.37	647.07	166.73	435.55	262.2	353.59	764.36	223.41	178.77	289.02	334.46	366.09	175.07	190.34	348.71	130.6	239.52	728.11	507.46	775.05	85.22	802.41	142.01	146.03	708.18	316.37	232.94	65.26	104.42	139.07	785.88	130.6	37.05	119.26
MCMDC2	21.78	5.36	13.42	34.75	29.27	21.78	4.94	20.11	23.42	15.22	12.27	16.63	16.75	20.26	17.38	38.67	21.94	8.51	27.25	13.62	20.26	19.11	25.17	26.28	10.31	16.39	27.84	18.29	23.42	26.1	13.22	20.41	12.74	6.21	44.25	22.26	64.8	7.75	16.88	13.12	5.23	18.84	23.08	13.62	1.91	10.63	57.08	55.1	1.73	3.26	4.39
MED21	825.0	669.92	540.19	796.86	486.75	660.68	373.81	438.59	651.58	679.29	409.15	555.41	603.67	753.83	547.75	1159.07	647.07	490.14	842.36	493.56	848.22	579.04	555.41	896.64	518.15	417.77	579.04	620.67	620.67	483.38	417.77	595.34	466.88	293.07	718.08	759.08	1322.37	242.88	543.96	463.65	457.25	759.08	642.59	314.17	258.57	260.38	429.54	866.07	503.95	118.43	279.14
METAP1	1143.1	414.87	457.25	981.29	543.96	854.13	316.37	438.59	435.55	457.25	366.09	497.0	575.03	836.53	759.08	1594.73	878.17	392.44	1175.27	351.14	890.44	514.56	728.11	1030.12	348.71	323.03	642.59	616.37	665.29	466.88	397.93	651.58	457.25	450.94	878.17	878.17	1508.65	397.93	674.59	532.74	490.14	753.83	514.56	435.55	361.04	432.53	698.41	1051.79	525.39	307.69	256.78
METTL14	555.41	285.03	323.03	480.04	318.57	457.25	206.94	307.69	387.02	376.41	256.78	323.03	414.87	559.28	426.57	620.67	460.44	395.18	518.15	277.2	435.55	381.68	432.53	483.38	295.11	301.33	358.54	341.51	507.46	307.69	329.84	368.65	289.02	181.28	503.95	503.95	830.75	178.77	361.04	329.84	262.2	507.46	444.72	244.57	152.28	226.54	343.89	780.44	262.2	151.22	183.82
METTL25	183.82	136.19	109.66	208.38	121.79	202.66	109.66	113.56	134.3	108.14	114.36	102.25	157.68	190.34	149.12	291.04	178.77	88.26	212.78	102.25	149.12	102.97	144.01	215.77	91.41	104.42	154.42	139.07	120.1	131.51	129.69	209.84	80.57	153.34	346.29	197.09	256.78	106.63	206.94	111.21	141.02	163.28	211.31	112.77	31.45	74.06	146.03	231.32	108.9	39.5	57.08
MGA	339.14	87.03	146.03	287.01	182.55	267.73	55.49	147.06	180.02	182.55	85.82	181.28	206.94	323.03	234.57	444.72	318.57	136.19	279.14	164.42	256.78	154.42	197.09	332.14	163.28	145.02	183.82	176.29	228.13	176.29	140.04	228.13	99.43	99.43	414.87	332.14	457.25	100.83	221.86	148.09	121.79	178.77	206.94	122.64	94.67	107.38	115.16	332.14	73.03	16.63	34.26
MIB1	521.76	181.28	267.73	567.1	267.73	389.72	130.6	303.44	329.84	289.02	186.4	265.87	301.33	490.14	366.09	674.59	483.38	236.21	511.0	287.01	447.82	301.33	376.41	463.65	285.03	279.14	356.05	283.05	341.51	299.25	258.57	395.18	209.84	152.28	500.46	473.41	693.58	132.44	312.0	187.71	221.86	559.28	384.34	262.2	173.85	142.01	215.77	599.49	242.88	46.18	63.89
MON2	785.88	301.33	432.53	713.11	466.88	629.35	217.27	497.0	629.35	703.28	339.14	525.39	480.04	785.88	547.75	981.29	708.18	490.14	830.75	503.95	848.22	529.06	511.0	836.53	466.88	511.0	579.04	555.41	624.99	679.29	490.14	511.0	334.46	329.84	764.36	583.07	1175.27	414.87	738.29	336.79	371.22	612.11	555.41	325.29	239.52	325.29	420.68	896.64	309.83	158.79	180.02
N4BP2	131.51	26.86	58.3	152.28	60.82	116.78	16.63	62.56	59.97	52.08	41.81	60.82	67.59	138.1	103.69	211.31	141.02	24.99	141.02	34.26	104.42	50.98	100.13	137.14	45.21	50.63	85.22	58.3	59.55	76.17	43.63	57.08	32.36	22.92	153.34	107.38	131.51	24.99	99.43	38.95	41.81	118.43	49.21	43.02	27.84	30.56	27.05	164.42	38.4	10.39	17.13
NCOA2	500.46	134.3	299.25	507.46	363.56	616.37	102.25	341.51	301.33	312.0	201.25	327.56	412.0	616.37	376.41	708.18	629.35	249.73	595.34	339.14	438.59	320.8	476.71	674.59	356.05	305.55	366.09	309.83	397.93	384.34	271.48	316.37	148.09	177.53	669.92	629.35	656.11	165.57	457.25	130.6	248.0	551.56	295.11	242.88	176.29	167.9	156.59	540.19	297.17	165.57	57.49
OTUD6B	221.86	123.5	125.24	214.27	125.24	167.9	61.68	129.69	140.04	156.59	130.6	167.9	121.79	241.19	162.14	356.05	197.09	96.68	220.32	126.12	209.84	127.0	128.79	215.77	128.79	107.38	172.65	131.51	140.04	145.02	123.5	144.01	130.6	53.57	279.14	211.31	603.67	50.98	152.28	116.78	92.05	226.54	177.53	88.88	92.7	77.79	133.36	366.09	127.89	17.51	61.68
PANK3	733.19	193.01	297.17	595.34	363.56	567.1	109.66	265.87	353.59	346.29	193.01	320.8	361.04	825.0	397.93	848.22	693.58	215.77	571.05	253.23	575.03	285.03	457.25	583.07	301.33	242.88	376.41	297.17	389.72	327.56	343.89	426.57	208.38	211.31	438.59	366.09	708.18	202.66	490.14	199.85	205.5	718.08	323.03	607.87	309.83	183.82	185.11	651.58	392.44	242.88	265.87
PARD6G	211.31	74.58	90.77	269.6	118.43	253.23	74.06	76.17	65.72	49.21	44.89	104.42	123.5	305.55	191.67	336.79	221.86	43.32	199.85	43.63	217.27	82.87	131.51	366.09	36.01	59.55	129.69	123.5	142.01	65.26	137.14	228.13	129.69	139.07	185.11	159.9	532.74	45.53	215.77	62.12	55.49	275.28	193.01	72.52	26.86	41.22	131.51	218.79	55.89	38.95	44.57
PARN	684.02	438.59	587.13	808.0	616.37	656.11	454.09	571.05	612.11	559.28	595.34	595.34	660.68	665.29	591.22	866.07	698.41	612.11	718.08	486.75	753.83	616.37	620.67	708.18	497.0	514.56	651.58	612.11	642.59	536.45	529.06	435.55	403.5	373.81	679.29	738.29	981.29	470.14	571.05	397.93	417.77	813.63	607.87	511.0	444.72	373.81	376.41	921.88	450.94	260.38	373.81
PAWR	1199.98	169.07	329.84	1191.69	275.28	961.07	178.77	237.86	303.44	177.53	211.31	435.55	376.41	1030.12	647.07	1447.15	941.27	185.11	890.44	164.42	884.29	271.48	693.58	1151.06	154.42	178.77	341.51	312.0	423.61	193.01	234.57	476.71	214.27	277.2	647.07	567.1	1066.48	122.64	836.53	381.68	314.17	872.1	480.04	255.0	115.16	177.53	358.54	988.12	616.37	194.36	368.65
PCNXL4	698.41	299.25	403.5	728.11	379.04	633.73	164.42	381.68	389.72	426.57	293.07	466.88	460.44	693.58	525.39	1030.12	679.29	309.83	638.15	353.59	688.78	395.18	486.75	785.88	387.02	348.71	470.14	435.55	503.95	454.09	339.14	679.29	299.25	281.09	934.76	540.19	1447.15	316.37	633.73	457.25	312.0	521.76	500.46	320.8	237.86	258.57	295.11	791.35	336.79	126.12	150.17
PHACTR4	432.53	149.12	231.32	406.31	260.38	381.68	78.89	164.42	206.94	220.32	159.9	218.79	309.83	466.88	343.89	500.46	438.59	135.24	384.34	236.21	361.04	185.11	258.57	483.38	220.32	176.29	231.32	234.57	237.86	232.94	175.07	249.73	204.07	239.52	400.71	397.93	532.74	180.02	371.22	271.48	271.48	307.69	376.41	223.41	117.6	153.34	176.29	555.41	297.17	138.1	116.78
PHF16	241.19	73.54	84.63	199.85	134.3	356.05	76.17	122.64	120.94	95.34	87.65	111.21	176.29	305.55	130.6	198.47	226.54	82.87	165.57	121.79	128.79	96.68	182.55	229.72	97.36	108.14	124.37	136.19	144.01	77.79	102.25	180.02	57.49	97.36	122.64	155.5	165.57	34.75	177.53	96.01	84.04	267.73	68.55	58.3	81.14	46.84	97.36	234.57	55.89	54.33	63.0
PHIP	612.11	139.07	281.09	620.67	229.72	460.44	88.26	281.09	256.78	301.33	161.02	264.03	264.03	607.87	429.54	872.1	540.19	211.31	591.22	208.38	457.25	307.69	420.68	665.29	248.0	208.38	457.25	256.78	356.05	336.79	234.57	269.6	191.67	141.02	547.75	483.38	780.44	169.07	429.54	173.85	214.27	591.22	318.57	178.77	131.51	116.78	157.68	624.99	162.14	9.63	28.86
PLIN1	6887.62	26986.43	40062.48	10883.59	31650.8	7695.57	45701.96	64632.75	54349.29	53230.77	59474.18	28923.41	19754.96	9279.58	26248.46	4903.87	6207.38	55107.99	26067.14	40341.14	22850.48	50359.33	41763.8	6745.86	31432.17	57448.23	46986.85	39510.91	30785.28	62431.08	52497.92	78476.96	82378.63	46339.95	25354.3	45701.96	218.79	66912.05	28923.41	51775.15	42054.3	4481.23	59063.35	85876.94	38430.46	97965.44	67377.47	39237.98	3146.52	197.09	253.23
POGZ	1268.46	341.51	633.73	1096.5	563.18	1167.14	265.87	540.19	540.19	830.75	363.56	624.99	780.44	1331.57	785.88	1457.23	1295.13	567.1	1175.27	728.11	1008.9	616.37	703.28	1322.37	559.28	514.56	796.86	733.19	830.75	753.83	665.29	1119.56	417.77	603.67	1127.35	1037.29	1286.18	381.68	1199.98	563.18	463.65	813.63	802.41	559.28	329.84	323.03	514.56	1369.04	551.56	158.79	133.36
POLA1	194.36	101.54	124.37	204.07	140.04	181.28	72.01	135.24	129.69	148.09	95.34	145.02	136.19	194.36	144.01	262.2	208.38	123.5	187.71	119.26	161.02	140.04	156.59	197.09	149.12	127.89	157.68	150.17	152.28	156.59	120.94	189.02	103.69	118.43	239.52	212.78	414.87	78.89	149.12	165.57	155.5	187.71	185.11	90.77	83.45	82.29	112.77	218.79	93.35	21.78	40.64
POLR3A	212.78	90.77	122.64	201.25	153.34	201.25	84.04	135.24	125.24	142.01	117.6	136.19	162.14	204.07	167.9	234.57	211.31	138.1	193.01	139.07	158.79	133.36	165.57	215.77	121.79	111.99	144.01	117.6	140.04	133.36	143.01	178.77	82.87	133.36	206.94	159.9	237.86	92.7	209.84	138.1	120.94	137.14	108.14	101.54	104.42	92.05	157.68	169.07	108.14	65.72	106.63
PPP4R2	909.17	503.95	665.29	1023.0	674.59	813.63	329.84	703.28	884.29	764.36	620.67	748.61	698.41	928.3	703.28	1127.35	802.41	525.39	981.29	665.29	759.08	612.11	728.11	830.75	620.67	733.19	743.43	723.08	819.3	713.11	647.07	848.22	665.29	379.04	819.3	796.86	1322.37	536.45	934.76	559.28	559.28	988.12	660.68	884.29	599.49	447.82	599.49	1119.56	547.75	214.27	426.57
PYGO1	80.01	35.25	49.21	81.71	36.01	53.57	24.63	63.89	57.49	54.33	31.9	46.18	43.02	66.18	58.3	87.65	59.97	28.86	74.58	44.89	80.01	52.45	59.55	75.64	49.21	46.18	90.77	46.18	61.25	52.82	45.85	141.02	24.46	25.72	60.82	81.71	414.87	4.74	83.45	8.78	30.12	59.55	69.03	37.59	15.56	13.12	23.08	144.01	14.24	0.61	14.03
QRSL1	183.82	141.02	159.9	312.0	172.65	287.01	92.05	189.02	185.11	220.32	166.73	171.45	170.25	212.78	162.14	316.37	232.94	166.73	208.38	143.01	220.32	164.42	191.67	229.72	178.77	170.25	183.82	172.65	205.5	169.07	153.34	132.44	155.5	98.04	205.5	195.72	348.71	97.36	271.48	101.54	140.04	224.97	171.45	212.78	110.43	128.79	124.37	327.56	146.03	70.51	145.02
QSER1	441.64	120.1	182.55	406.31	212.78	273.37	78.89	195.72	231.32	224.97	125.24	205.5	201.25	353.59	260.38	486.75	325.29	153.34	389.72	202.66	312.0	208.38	267.73	341.51	186.4	172.65	312.0	217.27	283.05	229.72	198.47	234.57	97.36	109.66	358.54	387.02	429.54	77.25	353.59	111.21	134.3	387.02	258.57	183.82	83.45	73.54	155.5	397.93	100.13	14.24	21.63
R3HCC1L	287.01	125.24	125.24	194.36	154.42	291.04	73.03	122.64	157.68	156.59	136.19	201.25	176.29	214.27	167.9	287.01	229.72	135.24	211.31	121.79	191.67	161.02	159.9	262.2	149.12	148.09	166.73	214.27	236.21	175.07	96.01	180.02	105.89	118.43	273.37	209.84	368.65	94.01	193.01	144.01	147.06	209.84	162.14	89.51	102.25	85.82	157.68	264.03	103.69	36.01	108.9
RAB14	1639.59	1225.22	1119.56	1757.34	1268.46	1529.73	808.0	1001.93	1378.57	1350.18	1023.0	1331.57	1216.75	1561.89	1088.92	1950.0	1388.16	1208.34	1529.73	995.0	1651.0	1208.34	1250.98	1519.15	1104.13	1044.52	1268.46	1225.22	1457.23	1183.45	1104.13	1340.84	1066.48	819.3	1519.15	1498.22	2875.3	1008.9	1551.09	1081.39	1030.12	1832.01	1359.57	1044.52	753.83	872.1	974.5	2255.7	1119.56	1015.93	866.07
RAB3GAP1	981.29	521.76	703.28	819.3	753.83	836.53	480.04	684.02	860.08	819.3	647.07	775.05	669.92	830.75	743.43	928.3	796.86	708.18	896.64	703.28	813.63	813.63	808.0	902.89	769.69	775.05	753.83	791.35	967.76	723.08	728.11	890.44	435.55	507.46	1030.12	947.83	1277.29	387.02	928.3	559.28	651.58	878.17	884.29	420.68	400.71	392.44	536.45	1104.13	540.19	189.02	212.78
RALGPS1	236.21	87.65	90.14	231.32	131.51	305.55	94.01	111.21	109.66	94.67	97.36	135.24	173.85	256.78	139.07	198.47	246.28	129.69	182.55	81.14	144.01	123.5	169.07	218.79	111.99	111.21	120.1	119.26	131.51	88.26	77.79	142.01	50.27	88.26	182.55	148.09	217.27	53.19	205.5	51.35	39.79	165.57	150.17	78.34	62.56	54.33	111.21	215.77	96.68	180.02	78.34
RANBP2	902.89	327.56	543.96	842.36	624.99	684.02	231.32	540.19	738.29	679.29	392.44	620.67	603.67	830.75	647.07	1250.98	780.44	543.96	819.3	547.75	854.13	607.87	638.15	872.1	543.96	607.87	567.1	612.11	791.35	575.03	551.56	866.07	642.59	271.48	723.08	796.86	1467.37	384.34	713.11	371.22	529.06	947.83	629.35	406.31	397.93	336.79	389.72	915.51	295.11	84.63	137.14
RASA2	387.02	122.64	146.03	366.09	148.09	301.33	71.5	142.01	158.79	177.53	88.88	178.77	165.57	341.51	218.79	514.56	275.28	115.16	363.56	142.01	269.6	164.42	212.78	325.29	152.28	120.94	275.28	190.34	214.27	171.45	137.14	228.13	100.13	108.9	305.55	234.57	432.53	73.03	303.44	156.59	114.36	260.38	185.11	116.78	100.13	77.79	109.66	329.84	155.5	18.43	46.5
RBM12B	289.02	75.11	88.88	279.14	139.07	303.44	58.71	119.26	150.17	159.9	93.35	122.64	167.9	343.89	190.34	336.79	371.22	120.1	329.84	127.89	187.71	150.17	199.85	327.56	127.0	114.36	190.34	176.29	220.32	166.73	138.1	164.42	123.5	73.54	287.01	260.38	305.55	100.13	143.01	136.19	73.54	187.71	120.94	102.97	70.51	94.67	92.7	316.37	37.32	17.25	45.85
RHBDD1	480.04	208.38	356.05	532.74	441.64	457.25	194.36	397.93	490.14	493.56	301.33	417.77	406.31	476.71	397.93	656.11	493.56	387.02	547.75	320.8	507.46	379.04	403.5	518.15	417.77	400.71	490.14	409.15	476.71	341.51	356.05	356.05	384.34	170.25	559.28	532.74	1066.48	291.04	500.46	279.14	226.54	503.95	395.18	279.14	309.83	316.37	366.09	703.28	226.54	155.5	126.12
RNF170	381.68	264.03	316.37	395.18	295.11	358.54	194.36	258.57	332.14	341.51	214.27	267.73	262.2	325.29	312.0	334.46	279.14	295.11	371.22	223.41	409.15	281.09	303.44	366.09	277.2	258.57	403.5	271.48	277.2	323.03	275.28	363.56	232.94	187.71	500.46	351.14	466.88	287.01	363.56	234.57	206.94	287.01	271.48	409.15	125.24	229.72	198.47	532.74	224.97	102.97	134.3
RPAP2	363.56	295.11	260.38	353.59	275.28	368.65	205.5	253.23	318.57	316.37	251.48	320.8	295.11	432.53	289.02	665.29	351.14	214.27	371.22	256.78	392.44	285.03	339.14	406.31	208.38	205.5	301.33	289.02	320.8	228.13	211.31	325.29	314.17	146.03	373.81	329.84	633.73	221.86	314.17	312.0	234.57	339.14	224.97	181.28	120.94	165.57	283.05	444.72	153.34	26.47	180.02
RPRD1B	529.06	269.6	363.56	435.55	423.61	476.71	231.32	341.51	381.68	389.72	275.28	301.33	368.65	490.14	363.56	518.15	423.61	336.79	450.94	267.73	447.82	371.22	353.59	483.38	318.57	316.37	454.09	339.14	368.65	368.65	318.57	395.18	305.55	199.85	466.88	366.09	743.43	249.73	457.25	297.17	366.09	480.04	320.8	334.46	299.25	373.81	361.04	642.59	341.51	332.14	559.28
RSBN1L	403.5	170.25	224.97	417.77	212.78	406.31	112.77	214.27	199.85	221.86	162.14	241.19	255.0	486.75	339.14	567.1	341.51	161.02	356.05	164.42	343.89	220.32	325.29	490.14	183.82	177.53	316.37	232.94	277.2	223.41	162.14	231.32	159.9	165.57	447.82	368.65	647.07	133.36	267.73	199.85	211.31	406.31	277.2	169.07	112.77	128.79	197.09	353.59	171.45	32.59	113.56
SCAF11	1322.37	633.73	941.27	1378.57	961.07	1259.69	392.44	1037.29	967.76	1199.98	854.13	1037.29	1073.91	1529.73	1250.98	1674.06	1447.15	1066.48	1359.57	915.51	1268.46	842.36	967.76	1427.22	1104.13	921.88	1008.9	995.0	1183.45	1088.92	961.07	995.0	921.88	616.37	1477.58	1340.84	2104.58	633.73	1397.83	1001.93	896.64	1447.15	1151.06	688.78	974.5	759.08	854.13	1697.45	830.75	117.6	395.18
SCYL2	669.92	293.07	351.14	688.78	486.75	525.39	183.82	387.02	490.14	454.09	358.54	435.55	376.41	616.37	429.54	872.1	521.76	327.56	591.22	358.54	708.18	420.68	450.94	587.13	423.61	384.34	376.41	417.77	540.19	373.81	334.46	480.04	314.17	279.14	503.95	441.64	896.64	275.28	647.07	262.2	384.34	684.02	543.96	341.51	318.57	236.21	267.73	896.64	441.64	111.21	242.88
SENP1	273.37	123.5	159.9	275.28	169.07	262.2	79.45	153.34	181.28	178.77	92.7	198.47	171.45	289.02	187.71	397.93	275.28	131.51	241.19	132.44	283.05	176.29	186.4	271.48	154.42	145.02	181.28	170.25	211.31	152.28	132.44	159.9	111.99	101.54	226.54	218.79	412.0	105.15	212.78	187.71	218.79	281.09	206.94	118.43	112.77	93.35	144.01	325.29	131.51	22.59	51.35
SETD8	759.08	525.39	583.07	764.36	679.29	764.36	309.83	607.87	660.68	543.96	669.92	748.61	780.44	769.69	723.08	928.3	656.11	571.05	796.86	543.96	808.0	463.65	647.07	825.0	559.28	555.41	567.1	638.15	616.37	587.13	651.58	679.29	432.53	532.74	669.92	1066.48	1119.56	351.14	825.0	463.65	457.25	1037.29	688.78	563.18	529.06	371.22	500.46	954.43	703.28	116.78	351.14
SETDB2	269.6	132.44	136.19	264.03	127.89	309.83	90.77	129.69	178.77	164.42	103.69	169.07	190.34	312.0	197.09	373.81	244.57	132.44	279.14	123.5	217.27	159.9	212.78	273.37	126.12	114.36	194.36	183.82	217.27	154.42	132.44	173.85	119.26	89.51	336.79	249.73	620.67	124.37	211.31	169.07	108.9	226.54	158.79	111.21	71.0	84.04	102.25	309.83	106.63	36.01	69.52
SKIV2L2	902.89	591.22	728.11	981.29	723.08	825.0	470.14	808.0	825.0	860.08	599.49	748.61	733.19	872.1	748.61	1295.13	872.1	693.58	921.88	624.99	967.76	802.41	819.3	884.29	759.08	743.43	1044.52	769.69	947.83	872.1	679.29	674.59	587.13	366.09	1397.83	1119.56	1583.71	591.22	902.89	575.03	616.37	808.0	525.39	493.56	490.14	540.19	703.28	1199.98	432.53	177.53	212.78
SLC25A12	543.96	255.0	373.81	532.74	373.81	500.46	217.27	293.07	312.0	397.93	275.28	325.29	373.81	514.56	406.31	647.07	466.88	318.57	497.0	275.28	507.46	348.71	356.05	567.1	295.11	279.14	295.11	329.84	414.87	334.46	269.6	318.57	267.73	249.73	575.03	435.55	854.13	244.57	444.72	295.11	285.03	511.0	473.41	236.21	80.57	152.28	309.83	575.03	339.14	13.12	42.11
SMC6	287.01	218.79	224.97	363.56	199.85	241.19	98.04	195.72	199.85	283.05	195.72	241.19	214.27	334.46	236.21	397.93	277.2	159.9	283.05	223.41	332.14	212.78	221.86	293.07	237.86	201.25	277.2	253.23	295.11	231.32	191.67	389.72	209.84	147.06	387.02	307.69	620.67	146.03	303.44	255.0	194.36	403.5	395.18	139.07	150.17	126.12	175.07	356.05	208.38	49.56	108.14
SMG7	785.88	376.41	507.46	728.11	612.11	780.44	387.02	599.49	674.59	624.99	420.68	521.76	642.59	791.35	647.07	947.83	713.11	473.41	718.08	547.75	693.58	616.37	651.58	713.11	536.45	543.96	642.59	616.37	660.68	612.11	493.56	896.64	429.54	457.25	896.64	748.61	884.29	392.44	703.28	703.28	441.64	693.58	612.11	426.57	441.64	397.93	651.58	961.07	343.89	246.28	435.55
SNRNP48	246.28	96.68	100.13	217.27	128.79	221.86	85.82	111.99	128.79	158.79	105.15	130.6	143.01	281.09	187.71	379.04	198.47	95.34	260.38	124.37	176.29	132.44	157.68	221.86	134.3	108.9	183.82	169.07	177.53	127.0	100.83	241.19	142.01	103.69	249.73	171.45	353.59	103.69	140.04	137.14	136.19	161.02	153.34	120.94	82.87	87.65	99.43	303.44	148.09	25.54	48.87
SRPK2	764.36	389.72	540.19	819.3	651.58	884.29	314.17	620.67	595.34	647.07	435.55	540.19	698.41	791.35	651.58	743.43	830.75	547.75	825.0	521.76	764.36	591.22	698.41	769.69	567.1	547.75	607.87	595.34	638.15	551.56	532.74	928.3	540.19	435.55	819.3	743.43	1551.09	521.76	603.67	397.93	723.08	909.17	647.07	587.13	450.94	454.09	409.15	638.15	343.89	163.28	202.66
SS18	1844.76	723.08	974.5	1467.37	1151.06	1407.55	457.25	819.3	884.29	915.51	743.43	1015.93	1119.56	1457.23	1135.2	1662.49	1369.04	802.41	1519.15	830.75	1378.57	836.53	1127.35	1397.83	854.13	733.19	1119.56	947.83	954.43	954.43	780.44	947.83	708.18	808.0	1457.23	1023.0	1498.22	995.0	1359.57	769.69	1023.0	1175.27	1073.91	854.13	802.41	693.58	723.08	1950.0	928.3	332.14	305.55
STAM2	540.19	271.48	336.79	555.41	381.68	480.04	165.57	363.56	406.31	429.54	251.48	447.82	444.72	579.04	395.18	624.99	599.49	356.05	486.75	358.54	521.76	346.29	429.54	514.56	409.15	353.59	384.34	343.89	460.44	343.89	318.57	441.64	246.28	175.07	529.06	500.46	890.44	197.09	460.44	312.0	231.32	547.75	426.57	224.97	176.29	214.27	212.78	693.58	291.04	49.91	122.64
STK3	559.28	371.22	454.09	603.67	426.57	514.56	287.01	497.0	511.0	551.56	450.94	559.28	409.15	483.38	447.82	540.19	497.0	559.28	616.37	412.0	540.19	514.56	450.94	476.71	476.71	525.39	490.14	483.38	540.19	463.65	387.02	547.75	341.51	303.44	511.0	660.68	1529.73	255.0	514.56	403.5	392.44	764.36	536.45	229.72	279.14	228.13	507.46	591.22	264.03	141.02	101.54
