	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.AO.A0JM.01A.21R.A056.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DH.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	GTEX.1313W.0826.SM.5EQ4T	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.BC.A10Y.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.BD.A3EP.11A.12R.A22L.07	TCGA.BC.A10X.11A.11R.A131.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
OTUB2	17.13	57.89	34.51	78.89	35.76	45.85	52.08	28.04	47.17	47.5	63.89	67.12	22.59	19.25	45.85	45.53	14.45	8.32	6.67	5.68	2.61	10.96	7.22	10.0	10.47	9.85	1.39	0.0	0.0
PARP2	351.14	591.22	417.77	567.1	307.69	555.41	514.56	432.53	480.04	571.05	796.86	392.44	353.59	309.83	441.64	316.37	483.38	220.32	156.59	267.73	195.72	202.66	277.2	297.17	151.22	119.26	96.68	0.0	0.62
PCGF2	1044.52	2287.2	928.3	1167.14	961.07	1304.15	1151.06	872.1	995.0	1175.27	3564.78	624.99	1199.98	791.35	1242.34	961.07	825.0	115.97	96.01	180.02	126.12	173.85	157.68	193.01	112.77	118.43	156.59	0.0	0.91
POLA2	289.02	642.59	358.54	376.41	329.84	379.04	361.04	249.73	514.56	303.44	759.08	264.03	293.07	301.33	387.02	412.0	141.02	64.8	48.18	133.36	42.11	66.18	100.83	127.0	89.51	44.57	48.18	0.0	0.68
POLR2H	2061.24	2119.22	1572.76	1697.45	1561.89	2777.33	1794.29	2119.22	1909.85	1745.2	4543.8	1487.87	1896.65	1216.75	2240.11	2075.59	1233.75	1143.1	1066.48	1127.35	1111.82	1233.75	1167.14	1119.56	830.75	536.45	1059.11	0.0	1.36
POLR2L	5995.9	3665.02	4038.61	10733.74	4639.29	11584.24	4802.93	5041.77	5995.9	5711.87	6652.97	3146.52	4836.35	3614.55	7485.11	5954.47	4450.27	3443.31	2835.7	2090.03	3716.2	4152.18	3639.7	3280.18	3515.68	4268.94	3124.78	0.0	0.54
POMT2	244.57	595.34	679.29	486.75	262.2	389.72	438.59	217.27	299.25	332.14	511.0	248.0	525.39	285.03	368.65	120.1	143.01	120.94	146.03	139.07	221.86	164.42	116.78	66.18	102.25	71.0	102.97	0.0	0.88
PSMC3IP	137.14	149.12	88.88	98.73	111.21	89.51	105.15	33.54	161.02	129.69	202.66	81.71	78.34	66.65	163.28	148.09	42.41	16.39	27.25	31.67	20.56	22.59	20.71	15.34	16.63	7.63	7.51	0.0	0.67
RIBC1	68.55	149.12	381.68	51.71	113.56	163.28	117.6	32.13	117.6	90.77	107.38	50.98	126.12	30.78	215.77	57.49	67.59	8.85	11.38	8.65	12.27	10.71	20.56	14.03	13.42	8.85	7.0	0.0	0.0
RMND5B	629.35	988.12	616.37	1119.56	743.43	728.11	995.0	764.36	660.68	860.08	1175.27	603.67	708.18	536.45	791.35	532.74	503.95	414.87	366.09	529.06	363.56	426.57	490.14	348.71	403.5	262.2	307.69	0.0	0.47
RNASEH2A	540.19	1487.87	343.89	555.41	698.41	759.08	665.29	351.14	1008.9	414.87	988.12	769.69	463.65	297.17	1259.69	915.51	301.33	100.83	123.5	148.09	92.7	105.89	148.09	148.09	58.71	89.51	141.02	0.0	0.01
RNF223	27.05	36.53	57.89	50.98	24.81	9.85	34.02	57.49	71.0	23.25	56.68	6.16	21.32	16.88	48.52	17.51	6.41	0.0	0.0	0.0	0.0	0.54	0.52	0.0	1.87	0.72	0.0	0.0	0.0
RNFT2	102.97	167.9	29.91	64.8	26.86	100.83	45.21	42.41	116.78	32.13	211.31	58.3	53.57	12.93	125.24	87.03	28.04	0.69	4.39	5.54	2.81	9.63	12.64	1.87	2.34	0.0	3.32	0.0	0.39
SCGB2A2	1800541.22	978355.0	1318073.06	1238359.56	1788103.97	1751305.3	2279047.19	1668359.93	1422501.74	1600397.78	343510.77	1524599.69	8805660.77	1345768.59	894051.48	1578364.61	1442359.14	0.0	19.97	21.32	0.0	0.0	0.0	47.17	3.17	0.0	0.0	0.0	0.0
SLC25A19	206.94	379.04	159.9	220.32	183.82	260.38	199.85	50.27	260.38	301.33	791.35	190.34	267.73	269.6	325.29	217.27	299.25	176.29	82.87	88.88	121.79	106.63	106.63	86.43	87.65	34.02	134.3	0.0	0.09
SLC35B2	1605.83	1250.98	1096.5	1685.71	1378.57	1519.15	941.27	1001.93	1397.83	1104.13	1819.35	1304.15	1030.12	1896.65	2104.58	775.05	397.93	651.58	599.49	612.11	532.74	536.45	738.29	660.68	314.17	525.39	438.59	0.0	0.61
STX5	921.88	1331.57	1081.39	1844.76	1322.37	2777.33	1417.35	2915.45	1594.73	1519.15	1572.76	1286.18	1397.83	1073.91	1359.57	1388.16	1286.18	1183.45	928.3	921.88	928.3	967.76	1001.93	825.0	896.64	708.18	1127.35	0.0	0.82
