	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.DK.A3WW.01A.22R.A23N.07	TCGA.VS.A9U7.01A.11R.A42T.07	TCGA.EX.A69L.01A.11R.A32P.07	TCGA.DS.A0VN.01A.21R.A10U.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.EK.A3GJ.01A.21R.A213.07	TCGA.VS.A958.01A.11R.A42T.07	TCGA.C5.A3HE.01A.21R.A22U.07	TCGA.DG.A2KH.01A.21R.A22U.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.EX.A8YF.01A.11R.A37O.07	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.B8.A54G.01A.11R.A266.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZXG5.0826.SM.5GID6	GTEX.S7SE.0926.SM.2XCD6	GTEX.Y111.1026.SM.4TT22	GTEX.P4QT.0526.SM.2I3EX	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.131YS.0926.SM.5IJB9	GTEX.13FTY.0126.SM.5J2NZ	GTEX.12696.1026.SM.5FQUV	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.13FLV.0426.SM.5KLZA	GTEX.ZAB5.0626.SM.5PNVB	GTEX.WRHU.0226.SM.3MJFV	GTEX.11NUK.0826.SM.5HL4U	GTEX.Q734.0626.SM.2I3EF	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.13G51.0426.SM.5K7Z5	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU
FGF13	0.91	50.27	8.32	9.41	3.53	15.68	7.46	34.75	4.86	2.12	3.08	6.62	1.06	9.78	14.89	6.36	8.92	7.63	30.56	29.27	171.45	392.44	1340.84	153.34	73.54	54.72	197.09	40.93	463.65	665.29	819.3	27.84	132.44	142.01	559.28	74.06	155.5	40.07	291.04	81.14	307.69	87.65	141.02	82.87	177.53	111.99	176.29	224.97	51.71	119.26	36.27	113.56	37.32	28.65	52.45	63.89
FHL5	0.32	4.94	2.58	0.0	1.93	2.39	3.79	18.29	2.12	1.22	3.66	4.9	3.0	1.69	3.29	13.42	5.77	15.34	58.71	45.53	392.44	0.0	0.24	111.99	159.9	24.81	674.59	119.26	3564.78	373.81	674.59	146.03	169.07	301.33	995.0	237.86	764.36	101.54	450.94	511.0	825.0	753.83	182.55	241.19	60.39	141.02	90.14	426.57	283.05	61.68	189.02	358.54	209.84	108.14	638.15	403.5
FILIP1L	116.78	183.82	88.26	56.28	41.22	67.59	81.71	262.2	39.5	19.25	34.51	75.11	140.04	38.12	96.01	69.52	258.57	166.73	154.42	318.57	1617.0	0.0	0.33	947.83	728.11	314.17	2287.2	1322.37	5041.77	536.45	1540.37	575.03	629.35	1225.22	1111.82	981.29	1199.98	791.35	1259.69	1806.78	1844.76	1457.23	1175.27	1008.9	466.88	890.44	921.88	1208.34	1015.93	591.22	483.38	3982.99	483.38	981.29	1594.73	808.0
FOXN3	71.5	397.93	161.02	135.24	123.5	97.36	267.73	305.55	346.29	186.4	318.57	136.19	301.33	127.89	191.67	183.82	95.34	295.11	368.65	403.5	775.05	309.83	248.0	638.15	733.19	412.0	909.17	1119.56	1447.15	785.88	1259.69	796.86	547.75	1044.52	974.5	656.11	1066.48	400.71	656.11	995.0	988.12	1030.12	723.08	769.69	536.45	872.1	738.29	713.11	947.83	547.75	733.19	723.08	974.5	525.39	733.19	723.08
FOXS1	31.22	34.02	40.07	19.39	36.79	32.36	24.63	29.27	14.78	0.99	7.17	25.54	1.85	8.92	28.24	16.75	33.78	26.28	51.35	31.0	197.09	0.0	0.18	88.26	53.95	7.88	79.45	25.72	136.19	189.02	198.47	45.85	86.43	43.63	248.0	39.5	62.12	150.17	16.51	100.83	122.64	65.72	103.69	75.11	75.64	59.13	100.13	158.79	27.05	43.94	44.89	77.79	35.76	81.71	88.88	170.25
FRMD4B	66.18	130.6	358.54	403.5	490.14	177.53	242.88	191.67	122.64	262.2	283.05	105.89	397.93	118.43	277.2	197.09	17.25	759.08	314.17	476.71	647.07	0.0	0.52	708.18	718.08	228.13	423.61	187.71	1088.92	620.67	1216.75	679.29	497.0	503.95	1407.55	397.93	785.88	642.59	540.19	1397.83	507.46	1508.65	1023.0	559.28	397.93	1199.98	703.28	713.11	1199.98	547.75	759.08	599.49	583.07	426.57	813.63	529.06
GDF7	0.0	6.57	0.0	0.34	0.0	0.44	0.44	0.48	0.4	0.0	0.46	0.47	0.74	0.0	0.46	0.48	0.0	0.29	1.68	1.6	8.99	0.0	0.0	1.93	3.79	0.0	6.01	3.59	1.95	2.53	3.66	4.78	2.92	21.32	18.03	4.28	9.56	1.85	9.7	6.41	10.47	18.7	13.12	9.41	1.08	3.76	0.29	1.01	4.54	0.0	1.08	3.69	3.72	3.56	0.75	38.67
GFRA2	1.46	5.87	4.78	3.76	0.97	1.41	6.41	19.68	0.99	0.27	2.07	3.89	1.87	1.41	3.2	4.5	0.93	23.93	4.35	6.67	18.7	0.0	0.07	90.77	66.18	26.86	83.45	12.64	91.41	194.36	104.42	39.22	154.42	157.68	186.4	41.52	435.55	18.03	91.41	35.0	92.7	16.75	52.08	114.36	66.65	102.97	85.22	142.01	102.25	273.37	85.22	32.36	6.89	18.03	36.53	38.67
GHR	0.6	3.29	1.3	0.97	2.25	8.92	2.41	20.11	3.23	1.07	1.91	1.6	18.29	0.85	1.89	2.32	1.73	7.34	21.94	14.67	33.54	0.0	0.44	35.25	73.03	41.22	175.07	47.84	733.19	97.36	476.71	130.6	33.54	74.06	665.29	21.01	148.09	18.29	60.82	56.28	148.09	99.43	40.64	64.8	11.82	57.89	53.95	126.12	358.54	80.01	37.05	82.29	13.22	21.63	46.5	66.65
GJA5	159.9	89.51	104.42	26.67	15.0	22.43	35.5	19.68	11.04	1.45	16.39	38.12	4.66	18.03	18.43	42.71	22.43	6.01	239.52	70.51	178.77	1844.76	105.89	2018.8	98.04	52.82	2287.2	384.34	802.41	208.38	1073.91	2451.44	1819.35	647.07	1001.93	115.16	890.44	567.1	1044.52	733.19	1769.57	162.14	189.02	4239.45	249.73	2739.08	258.57	1583.71	1572.76	2209.26	947.83	1286.18	147.06	164.42	470.14	163.28
GLIPR1L2	2.61	19.11	6.01	11.47	9.41	8.25	7.06	3.03	4.94	8.45	7.82	3.63	17.9	4.82	10.24	30.56	6.26	1.51	16.75	30.34	16.39	0.0	0.0	17.64	15.56	23.25	48.87	17.77	52.08	102.97	102.25	20.86	41.52	29.27	156.59	34.02	16.39	7.75	29.06	32.82	67.59	18.7	16.75	85.22	49.56	89.51	28.24	53.57	33.06	51.71	31.22	35.5	33.78	1.81	38.12	30.56
GPR124	23.08	100.13	41.52	23.42	31.9	36.53	52.45	85.82	24.99	6.84	30.78	45.85	5.96	28.45	37.32	45.21	25.72	77.25	80.57	92.7	575.03	0.0	0.42	759.08	423.61	150.17	336.79	1628.26	988.12	890.44	1081.39	291.04	642.59	656.11	896.64	379.04	954.43	291.04	490.14	802.41	693.58	679.29	915.51	764.36	199.85	244.57	579.04	665.29	470.14	397.93	258.57	363.56	273.37	314.17	698.41	642.59
GPR20	0.59	1.66	0.0	0.65	0.0	0.99	1.69	0.67	0.58	0.0	3.26	8.85	0.61	15.8	0.65	4.5	5.28	0.47	2.68	3.86	25.91	0.0	0.34	23.59	7.82	6.89	13.83	10.88	50.98	44.25	46.5	44.89	61.25	38.4	34.51	14.56	66.65	3.26	11.73	29.27	79.45	11.38	51.71	18.03	1.23	7.11	18.97	43.63	24.99	2.12	15.22	13.72	6.31	14.78	31.9	18.84
GPRC5B	9.2	125.24	31.9	13.42	12.93	39.22	142.01	84.63	105.89	7.75	41.81	155.5	19.39	20.56	55.89	56.68	47.5	75.64	753.83	1037.29	400.71	66.18	90.77	102.25	71.5	43.02	189.02	463.65	1359.57	341.51	289.02	88.88	215.77	454.09	764.36	575.03	612.11	114.36	182.55	115.97	363.56	483.38	511.0	361.04	89.51	99.43	166.73	267.73	220.32	151.22	381.68	154.42	198.47	81.14	137.14	129.69
GUCY1A3	4.13	68.55	24.46	12.0	64.34	16.88	31.22	39.22	8.92	8.06	20.86	36.01	65.26	16.75	39.5	20.26	18.29	34.26	435.55	353.59	753.83	0.0	0.39	825.0	728.11	147.06	595.34	269.6	1477.58	1447.15	2555.58	507.46	466.88	497.0	2573.36	242.88	753.83	137.14	285.03	236.21	896.64	305.55	647.07	941.27	151.22	915.51	336.79	1030.12	493.56	441.64	287.01	202.66	173.85	155.5	151.22	208.38
HEY2	2.92	7.22	12.74	15.0	14.78	98.73	14.14	23.59	23.25	2.73	58.3	18.84	13.32	6.41	10.71	12.09	6.21	20.26	84.04	20.56	120.94	0.0	0.24	40.64	56.28	37.32	87.03	23.76	231.32	23.93	136.19	37.85	78.89	92.05	226.54	163.28	114.36	177.53	31.0	34.51	143.01	75.64	85.82	52.08	38.4	32.36	33.06	115.16	47.5	55.49	31.22	63.45	13.93	57.89	33.06	429.54
HEYL	8.51	94.67	66.65	11.13	55.89	26.67	28.04	47.84	19.97	3.69	13.03	27.84	11.55	31.45	32.36	26.28	25.17	55.89	76.71	103.69	934.76	0.0	0.46	323.03	256.78	30.34	329.84	96.68	473.41	283.05	555.41	954.43	299.25	521.76	587.13	217.27	559.28	95.34	320.8	909.17	323.03	279.14	309.83	260.38	105.15	176.29	153.34	511.0	540.19	218.79	244.57	457.25	387.02	129.69	432.53	791.35
HHIPL1	5.5	11.13	7.63	1.28	1.93	6.36	14.14	8.92	2.94	1.91	6.11	4.94	2.32	6.41	4.82	3.66	1.14	7.28	6.67	4.17	17.0	0.0	0.28	38.67	6.36	10.39	10.96	71.5	45.53	24.11	11.3	17.77	34.02	28.86	24.81	13.52	23.76	12.93	23.42	23.59	18.03	23.25	18.97	66.18	3.23	9.63	18.56	22.26	27.84	16.03	31.67	23.42	9.93	14.24	17.0	7.11
HLA-DPA1	20593.91	72213.45	12076.21	15824.9	11424.74	26614.89	16269.83	11189.6	16727.26	21919.61	16496.96	17927.91	23330.64	13123.73	18431.96	16157.44	4152.18	16843.62	75803.72	53230.77	111755.56	0.0	0.79	85876.94	140478.49	318292.9	114103.8	128373.58	47974.16	43537.38	100719.65	39237.98	115696.65	82378.63	110983.6	193234.41	44145.15	97288.74	79022.82	309589.14	62865.33	83528.61	313910.86	76861.91	163620.18	182810.84	171754.88	46986.85	62431.08	53973.86	142439.51	205673.01	453265.5	100023.92	186652.11	54727.32
HLA-DRA	38430.46	122293.5	38966.94	46339.95	34396.12	54349.29	69753.56	26986.43	32994.92	51417.5	47974.16	54727.32	50011.46	41763.8	39510.91	47313.67	17317.18	39785.74	116501.39	151608.43	152662.96	25530.66	400.71	165904.25	569761.05	606436.73	253213.41	258533.99	81809.59	163620.18	110216.97	170568.48	202841.44	195931.88	170568.48	341137.96	208544.12	341137.96	215898.44	466008.55	133825.1	233003.78	668235.84	119776.72	378516.38	345900.08	417089.23	208544.12	198667.0	318292.9	263966.36	248002.34	1085552.95	273275.14	645473.24	327241.36
HLX	11.73	112.77	127.89	64.34	74.06	87.03	145.02	103.69	43.02	27.84	110.43	176.29	32.36	108.9	78.34	193.01	44.89	135.24	466.88	135.24	346.29	113.56	251.48	890.44	567.1	336.79	201.25	463.65	1457.23	395.18	1540.37	728.11	587.13	473.41	486.75	587.13	743.43	738.29	363.56	420.68	1721.16	583.07	591.22	1135.2	144.01	429.54	575.03	1322.37	435.55	1088.92	547.75	291.04	351.14	780.44	267.73	629.35
HRC	0.89	14.03	1.3	3.17	0.35	4.58	2.63	2.51	2.03	2.1	0.0	6.01	2.53	3.96	5.82	7.46	3.53	5.19	41.52	31.45	87.65	0.0	0.21	38.12	59.13	17.64	51.71	30.56	325.29	49.91	66.65	35.76	48.52	147.06	28.65	59.13	208.38	39.22	29.06	55.49	61.25	38.12	46.18	28.04	11.91	25.91	95.34	129.69	75.64	22.1	65.26	38.4	108.9	43.02	52.45	153.34
HSPA12B	6.16	47.5	24.46	12.64	17.51	27.05	24.63	36.01	16.27	4.5	19.82	39.5	9.06	20.71	22.59	20.71	13.83	17.77	74.06	44.57	113.56	0.0	0.22	842.36	336.79	58.3	435.55	124.37	728.11	438.59	974.5	791.35	708.18	334.46	995.0	163.28	583.07	134.3	392.44	171.45	830.75	579.04	223.41	384.34	84.63	368.65	287.01	642.59	674.59	426.57	320.8	293.07	178.77	400.71	267.73	221.86
HTR2B	0.0	74.06	1.93	1.28	2.23	4.82	5.87	3.86	2.1	2.66	1.71	4.7	6.41	0.79	8.51	6.84	3.53	3.99	7.63	3.2	95.34	0.0	0.07	127.0	54.33	6.11	22.92	295.11	19.97	8.71	94.67	6.73	21.16	18.7	35.76	9.13	42.71	0.45	23.93	20.71	100.83	4.24	9.7	176.29	6.26	366.09	38.12	15.91	7.75	42.11	79.45	17.0	14.03	1.95	3.82	30.56
IFNLR1	7.22	17.64	37.59	55.89	52.45	63.0	67.59	49.91	13.52	11.55	11.04	11.64	43.63	44.89	21.32	14.78	42.41	47.17	80.57	66.18	68.07	0.0	0.04	170.25	346.29	785.88	133.36	44.57	51.71	107.38	98.73	226.54	39.22	108.14	54.72	94.67	155.5	54.33	67.59	53.19	76.17	234.57	314.17	75.64	226.54	106.63	260.38	187.71	158.79	141.02	218.79	103.69	209.84	137.14	163.28	201.25
IMPACT	94.01	171.45	629.35	289.02	187.71	241.19	327.56	186.4	236.21	262.2	108.14	208.38	295.11	249.73	348.71	283.05	339.14	236.21	339.14	358.54	417.77	271.48	120.1	414.87	318.57	336.79	363.56	339.14	457.25	511.0	547.75	307.69	551.56	368.65	753.83	115.97	595.34	58.3	450.94	239.52	363.56	336.79	348.71	476.71	376.41	607.87	217.27	642.59	381.68	647.07	395.18	262.2	293.07	173.85	256.78	291.04
IP6K1	395.18	299.25	309.83	341.51	289.02	529.06	373.81	242.88	470.14	417.77	480.04	493.56	381.68	403.5	285.03	480.04	260.38	323.03	521.76	314.17	486.75	0.0	0.57	503.95	728.11	297.17	486.75	518.15	470.14	486.75	753.83	1081.39	591.22	753.83	529.06	371.22	624.99	607.87	718.08	463.65	733.19	848.22	547.75	775.05	486.75	435.55	460.44	525.39	1127.35	536.45	718.08	295.11	733.19	466.88	312.0	441.64
IRAK1BP1	8.45	15.34	31.0	15.0	34.51	26.28	10.55	15.91	6.78	10.16	14.78	17.9	3.76	9.48	8.45	49.56	47.5	12.18	44.57	21.47	65.72	0.0	0.0	90.14	57.49	31.0	75.64	35.76	169.07	78.34	81.14	75.11	94.01	74.58	120.94	37.32	94.01	5.59	94.67	32.82	103.69	76.17	84.04	94.01	149.12	76.71	41.81	114.36	112.77	77.79	58.3	27.25	27.84	41.81	11.91	68.55
ITGA8	0.32	29.06	7.06	2.56	2.89	10.96	36.01	14.14	3.76	4.17	7.28	46.18	3.79	5.92	31.0	38.67	5.06	13.83	59.97	20.86	361.04	0.0	0.39	406.31	463.65	129.69	684.02	915.51	1111.82	679.29	1605.83	878.17	403.5	1143.1	1350.18	536.45	1104.13	363.56	341.51	587.13	529.06	638.15	651.58	656.11	165.57	312.0	854.13	1295.13	1340.84	251.48	490.14	693.58	226.54	432.53	457.25	1096.5
ITGA9	5.23	27.64	9.56	22.43	17.64	14.03	18.56	23.42	14.35	12.45	7.75	16.75	2.36	4.62	20.56	23.76	37.59	41.22	60.82	46.84	162.14	0.0	0.34	205.5	131.51	36.53	220.32	392.44	438.59	878.17	457.25	303.44	76.71	567.1	995.0	110.43	392.44	103.69	521.76	791.35	133.36	974.5	267.73	120.94	78.34	409.15	314.17	660.68	660.68	384.34	242.88	543.96	118.43	113.56	529.06	241.19
ITPR1	13.72	50.27	52.08	51.35	50.98	52.08	76.71	103.69	37.59	20.86	111.21	58.71	108.9	52.82	61.25	114.36	22.59	86.43	159.9	379.04	543.96	0.0	0.66	186.4	392.44	177.53	1277.29	441.64	1923.14	325.29	947.83	363.56	381.68	872.1	1183.45	595.34	518.15	140.04	571.05	703.28	723.08	599.49	579.04	438.59	638.15	642.59	409.15	669.92	1191.69	217.27	476.71	830.75	571.05	228.13	748.61	954.43
KAT6B	19.82	56.68	34.75	73.54	51.35	65.72	78.89	53.19	48.87	41.22	92.05	77.79	111.99	52.82	60.39	100.83	40.64	44.57	117.6	97.36	193.01	53.95	57.08	205.5	154.42	74.58	256.78	146.03	361.04	351.14	307.69	249.73	206.94	339.14	397.93	117.6	287.01	62.56	251.48	169.07	301.33	256.78	208.38	246.28	116.78	314.17	109.66	281.09	316.37	195.72	221.86	145.02	169.07	125.24	170.25	121.79
KCNA5	0.3	1.97	0.33	0.64	0.0	0.78	1.73	1.91	0.97	0.42	0.83	1.89	0.75	0.79	2.18	3.99	1.91	1.55	18.56	8.65	68.07	0.0	0.06	16.27	54.72	2.25	131.51	89.51	126.12	12.27	190.34	60.82	156.59	42.71	167.9	55.49	169.07	13.42	10.24	69.03	94.67	41.81	38.12	73.03	17.38	11.64	24.28	120.94	32.82	4.43	38.95	18.97	15.11	17.64	15.0	204.07
KCNMB1	3.53	36.53	12.45	9.78	10.47	25.91	31.0	40.93	17.77	11.47	27.64	17.25	2.14	7.88	41.81	17.51	12.64	24.63	37.05	115.97	246.28	0.0	0.42	41.81	53.19	16.03	115.16	147.06	218.79	41.22	129.69	53.19	211.31	82.87	99.43	87.03	234.57	49.21	57.49	199.85	132.44	36.01	101.54	99.43	24.63	107.38	28.86	130.6	82.29	34.26	29.48	72.52	8.51	28.45	71.5	212.78
KCNMB4	39.22	12.83	16.63	3.53	33.3	4.21	6.26	14.03	7.06	3.03	1.2	3.92	4.35	3.63	12.09	2.63	189.02	5.82	13.42	69.03	21.78	156.59	86.43	62.56	99.43	12.0	136.19	24.46	60.82	76.71	291.04	116.78	50.98	75.11	466.88	53.57	241.19	57.08	132.44	65.26	121.79	759.08	94.67	59.97	11.82	38.12	40.07	153.34	283.05	133.36	43.02	26.47	599.49	198.47	201.25	307.69
KCTD20	269.6	366.09	232.94	258.57	229.72	341.51	403.5	269.6	283.05	358.54	450.94	325.29	327.56	325.29	309.83	400.71	251.48	356.05	529.06	480.04	633.73	0.0	0.45	470.14	872.1	713.11	679.29	607.87	543.96	540.19	656.11	587.13	417.77	447.82	612.11	511.0	638.15	1199.98	612.11	1467.37	543.96	872.1	638.15	497.0	518.15	693.58	669.92	525.39	633.73	514.56	395.18	1378.57	518.15	642.59	1359.57	679.29
KDM4C	71.0	202.66	99.43	182.55	151.22	98.73	206.94	173.85	229.72	244.57	283.05	176.29	273.37	133.36	231.32	212.78	137.14	327.56	231.32	323.03	361.04	0.0	0.67	358.54	249.73	297.17	395.18	334.46	392.44	387.02	514.56	190.34	318.57	384.34	708.18	194.36	307.69	89.51	356.05	130.6	438.59	283.05	379.04	392.44	336.79	511.0	314.17	283.05	343.89	251.48	420.68	198.47	221.86	183.82	209.84	181.28
KLHL24	80.01	127.89	89.51	73.03	121.79	158.79	265.87	113.56	244.57	39.79	156.59	126.12	167.9	82.87	228.13	353.59	93.35	114.36	417.77	486.75	389.72	0.0	0.44	348.71	476.71	368.65	255.0	599.49	629.35	450.94	429.54	698.41	273.37	518.15	599.49	1417.35	332.14	791.35	287.01	500.46	348.71	974.5	718.08	497.0	660.68	872.1	842.36	281.09	612.11	256.78	521.76	447.82	884.29	426.57	703.28	642.59
KLHL33	0.0	0.0	0.0	0.0	0.0	0.77	1.85	0.84	0.0	0.0	0.0	1.22	1.43	0.0	0.0	0.45	1.36	0.0	0.33	0.32	2.53	0.0	0.0	11.3	3.32	1.95	2.89	0.0	42.71	6.57	16.39	3.63	7.63	18.03	18.7	2.32	14.89	0.0	4.21	2.03	13.72	2.73	5.54	13.32	2.68	6.16	1.57	10.71	13.32	0.0	5.15	0.0	4.54	2.25	3.79	4.46
LATS1	42.11	86.43	69.03	83.45	137.14	72.52	129.69	130.6	71.0	88.26	120.1	131.51	95.34	167.9	74.58	170.25	75.11	128.79	100.13	107.38	221.86	94.67	53.19	178.77	121.79	198.47	224.97	161.02	368.65	320.8	320.8	176.29	190.34	218.79	389.72	221.86	258.57	124.37	183.82	140.04	244.57	143.01	191.67	275.28	145.02	318.57	141.02	283.05	223.41	206.94	144.01	169.07	87.03	124.37	164.42	114.36
LMOD1	8.25	57.08	10.71	24.46	15.45	33.78	36.27	81.14	19.97	4.17	16.51	26.67	4.43	15.0	54.72	35.0	49.91	36.01	37.32	18.7	791.35	0.0	0.49	226.54	624.99	34.51	2061.24	1175.27	3018.3	291.04	836.53	679.29	616.37	1135.2	1340.84	836.53	3280.18	379.04	518.15	1088.92	1594.73	775.05	1350.18	353.59	312.0	176.29	708.18	825.0	718.08	105.89	486.75	620.67	808.0	343.89	934.76	2485.67
LRP12	18.97	48.18	115.97	83.45	193.01	61.25	25.17	45.21	107.38	44.25	77.25	17.77	65.26	21.94	36.01	28.04	12.93	46.18	55.1	38.95	96.01	0.0	0.54	180.02	102.97	172.65	131.51	173.85	460.44	258.57	56.28	341.51	50.98	138.1	289.02	105.15	112.77	48.18	96.01	229.72	141.02	118.43	81.14	251.48	197.09	395.18	92.05	77.25	105.89	42.11	35.5	316.37	49.56	171.45	140.04	147.06
LTBP1	1350.18	392.44	406.31	507.46	232.94	80.01	217.27	403.5	253.23	273.37	339.14	104.42	429.54	81.71	395.18	149.12	264.03	866.07	94.67	39.22	947.83	0.0	0.69	316.37	1023.0	191.67	698.41	2319.15	3124.78	1417.35	1447.15	500.46	540.19	2018.8	1572.76	1233.75	3235.01	295.11	884.29	1963.57	909.17	1322.37	909.17	896.64	470.14	525.39	460.44	1143.1	1151.06	432.53	379.04	718.08	343.89	988.12	1250.98	1733.13
MAG	0.29	0.0	0.64	0.32	0.64	0.37	0.12	0.0	1.17	0.0	0.13	0.14	0.83	1.38	0.13	2.61	0.0	0.44	1.31	0.32	5.36	0.0	0.0	0.0	36.01	25.72	37.05	4.17	60.82	66.65	124.37	11.3	42.41	5.02	20.71	9.56	6.46	13.62	44.89	26.67	93.35	7.51	4.06	38.67	5.96	6.78	60.82	4.31	43.94	4.62	7.34	4.39	11.3	3.35	42.11	1.99
MAP1A	5.23	15.68	7.06	4.43	5.11	8.13	5.63	12.83	3.86	1.99	7.94	7.82	17.25	5.68	8.25	21.01	3.66	18.97	13.93	5.45	63.0	0.0	0.24	41.52	125.24	13.52	17.9	74.58	120.1	85.22	62.56	54.33	100.83	251.48	47.17	92.05	269.6	38.12	111.99	81.71	104.42	115.97	92.05	239.52	343.89	36.79	35.0	85.82	147.06	31.22	53.57	49.91	28.45	35.76	88.26	111.21
MARVELD1	511.0	285.03	1015.93	309.83	713.11	438.59	497.0	432.53	217.27	371.22	120.1	289.02	336.79	351.14	217.27	190.34	283.05	738.29	125.24	454.09	457.25	0.0	0.62	679.29	536.45	277.2	796.86	1733.13	1819.35	1127.35	1104.13	684.02	1081.39	902.89	1359.57	376.41	1551.09	198.47	1594.73	679.29	1159.07	1111.82	902.89	1001.93	234.57	1199.98	775.05	988.12	1159.07	1963.57	941.27	441.64	769.69	327.56	872.1	713.11
MEDAG	9.85	26.67	43.02	11.3	43.94	8.45	15.34	57.89	25.91	3.92	2.89	14.03	4.78	5.32	17.25	7.94	6.67	145.02	30.56	32.59	275.28	0.0	0.13	31.9	514.56	470.14	23.76	1175.27	291.04	53.95	53.19	8.71	154.42	84.04	47.17	353.59	323.03	49.91	759.08	395.18	131.51	77.25	64.8	75.64	64.8	41.22	75.11	28.86	66.65	172.65	53.19	167.9	108.9	157.68	343.89	426.57
MFGE8	753.83	825.0	1066.48	221.86	723.08	688.78	2351.53	1059.11	656.11	325.29	279.14	409.15	693.58	450.94	2163.77	429.54	842.36	941.27	389.72	366.09	2777.33	0.0	1.0	947.83	1896.65	728.11	2777.33	7130.55	6840.04	1111.82	2224.63	4388.98	2573.36	3564.78	2047.0	2537.92	5441.3	1733.13	2061.24	4802.93	3467.27	2591.27	2502.97	1605.83	802.41	669.92	1225.22	1508.65	5076.84	669.92	4239.45	1551.09	3564.78	2004.85	2133.97	5076.84
MGAT5	189.02	110.43	86.43	161.02	161.02	127.0	88.26	98.04	151.22	119.26	150.17	122.64	150.17	151.22	94.67	151.22	173.85	163.28	373.81	148.09	301.33	0.0	0.58	260.38	381.68	395.18	348.71	199.85	332.14	412.0	400.71	366.09	255.0	595.34	363.56	325.29	195.72	514.56	890.44	305.55	473.41	1225.22	363.56	412.0	291.04	223.41	341.51	381.68	291.04	221.86	503.95	164.42	236.21	323.03	603.67	444.72
MITF	96.68	28.45	27.64	54.33	21.63	55.49	35.25	30.56	28.04	12.0	27.64	98.04	186.4	157.68	46.18	132.44	9.85	21.32	320.8	242.88	395.18	0.0	0.36	202.66	447.82	511.0	189.02	1111.82	629.35	395.18	295.11	121.79	152.28	579.04	698.41	518.15	693.58	121.79	255.0	148.09	287.01	651.58	1216.75	229.72	486.75	703.28	928.3	312.0	381.68	297.17	389.72	148.09	384.34	323.03	454.09	529.06
MPDZ	39.79	111.99	47.5	12.45	98.04	19.39	87.03	29.48	8.85	1.87	33.54	48.52	59.13	76.17	22.59	30.34	11.64	37.59	204.07	87.03	209.84	0.0	0.59	237.86	262.2	100.13	595.34	183.82	1183.45	392.44	521.76	323.03	256.78	301.33	928.3	327.56	346.29	366.09	239.52	547.75	551.56	454.09	368.65	420.68	616.37	249.73	209.84	583.07	241.19	253.23	181.28	583.07	242.88	325.29	447.82	483.38
MPPED2	0.0	5.63	1.33	3.5	1.64	14.14	13.52	0.93	1.89	0.51	1.58	3.66	12.0	1.83	2.92	29.06	5.19	3.2	14.89	8.58	18.97	0.0	0.23	4.35	13.52	5.02	29.27	35.0	47.84	81.71	50.27	3.53	75.11	26.47	146.03	5.96	13.93	16.75	35.25	15.56	17.38	34.26	9.85	42.11	8.85	45.85	46.5	40.64	73.54	17.64	3.59	13.03	15.56	10.39	18.7	34.02
MROH8	11.21	28.86	5.45	3.79	1.93	32.36	12.83	5.36	2.97	19.82	14.89	3.32	16.27	14.67	6.78	17.64	23.59	5.59	15.56	31.67	57.08	0.0	0.17	27.25	46.5	63.89	26.47	58.3	50.98	63.45	63.0	96.01	64.8	48.52	105.15	26.1	94.67	25.91	71.5	28.86	25.72	142.01	45.85	64.34	41.52	81.71	54.72	77.25	66.65	89.51	32.82	11.47	62.56	28.65	24.11	38.12
MRVI1	16.63	57.08	22.43	13.93	12.45	17.0	34.51	50.98	14.67	3.5	14.56	46.5	5.02	21.32	38.12	40.93	26.67	43.02	50.27	32.36	536.45	0.0	0.59	105.15	323.03	46.18	187.71	656.11	532.74	246.28	249.73	109.66	348.71	218.79	271.48	279.14	629.35	85.82	323.03	454.09	563.18	183.82	420.68	141.02	236.21	156.59	343.89	341.51	157.68	54.72	84.63	291.04	112.77	120.1	293.07	358.54
