	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6603.11A.02R.1839.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6601.11A.01R.1774.07	TCGA.AA.3663.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.146FQ.1926.SM.5NQBY	GTEX.QDVN.1326.SM.48TZ3	GTEX.QMRM.1226.SM.447C6	TCGA.LN.A4A5.01A.21R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11NUK.1726.SM.5A5L2	GTEX.113JC.1026.SM.5H117	GTEX.13FLV.1326.SM.5L3EJ	GTEX.13G51.1026.SM.5K7YQ	GTEX.RTLS.1226.SM.46MUP	GTEX.11ONC.1426.SM.5N9F4	GTEX.13QJ3.1826.SM.5S2PT	GTEX.14BMV.1426.SM.5S2WA	GTEX.117YW.2026.SM.5N9BH	GTEX.QLQW.1626.SM.4R1K1	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AF.2692.11A.01R.A32Z.07	TCGA.BR.7703.01A.11R.2055.13	TCGA.BR.7717.01A.11R.2055.13	GTEX.13N1W.2026.SM.5K7YU
NUP37	480.04	293.07	447.82	400.71	346.29	371.22	267.73	878.17	842.36	633.73	679.29	351.14	248.0	237.86	195.72	178.77	195.72	221.86	94.67	190.34	226.54	262.2	182.55	202.66	198.47	228.13	624.99	371.22	353.59	432.53	738.29	91.41
OCIAD2	2537.92	941.27	1001.93	1605.83	967.76	1250.98	348.71	4481.23	3190.46	3060.45	473.41	961.07	181.28	115.97	361.04	460.44	212.78	341.51	283.05	460.44	432.53	409.15	348.71	320.8	624.99	532.74	10014.87	1487.87	928.3	3794.3	3690.52	409.15
PAICS	1487.87	890.44	921.88	759.08	1088.92	860.08	460.44	1819.35	2004.85	1806.78	1745.2	1519.15	638.15	688.78	532.74	470.14	320.8	295.11	305.55	316.37	285.03	366.09	248.0	262.2	358.54	258.57	3325.99	802.41	1104.13	2133.97	1295.13	429.54
PCNA	1936.53	1143.1	1467.37	1487.87	1583.71	1529.73	866.07	4607.24	4543.8	3716.2	3060.45	1832.01	595.34	575.03	620.67	540.19	444.72	567.1	361.04	493.56	563.18	476.71	500.46	450.94	521.76	638.15	3614.55	1757.34	1757.34	3103.19	3820.7	260.38
PCYT2	525.39	373.81	607.87	432.53	995.0	718.08	323.03	1119.56	1447.15	1037.29	567.1	409.15	293.07	358.54	460.44	172.65	384.34	348.71	251.48	244.57	395.18	384.34	381.68	403.5	629.35	507.46	954.43	503.95	426.57	1963.57	2400.97	167.9
PDSS1	59.55	130.6	197.09	208.38	260.38	199.85	43.32	848.22	603.67	733.19	143.01	128.79	75.11	66.18	74.06	58.71	140.04	108.9	81.14	46.18	134.3	119.26	128.79	125.24	114.36	108.9	253.23	201.25	198.47	406.31	341.51	24.99
PES1	1540.37	1119.56	1183.45	866.07	1073.91	928.3	884.29	1540.37	1477.58	1594.73	1508.65	1023.0	854.13	665.29	860.08	483.38	575.03	638.15	536.45	476.71	665.29	591.22	638.15	579.04	470.14	748.61	2255.7	1059.11	928.3	1857.6	1350.18	329.84
PFDN6	1977.24	1628.26	1844.76	1745.2	1697.45	1806.78	1529.73	3060.45	2555.58	2701.35	1498.22	1662.49	1037.29	1073.91	1037.29	791.35	1104.13	1159.07	1073.91	981.29	1350.18	1015.93	1111.82	1096.5	1540.37	1467.37	2935.74	1781.89	1662.49	1733.13	3349.13	441.64
PHB	4543.8	4066.71	4152.18	4671.57	4836.35	5441.3	3742.05	9740.98	9215.48	8840.04	2997.45	3349.13	2555.58	2816.11	2335.28	1617.0	1540.37	2485.67	2451.44	2451.44	1950.0	2148.82	1519.15	1991.0	2417.67	2032.85	9876.98	4736.79	4607.24	7081.29	6037.61	1519.15
PHF5A	802.41	616.37	764.36	890.44	684.02	703.28	669.92	1417.35	1044.52	1407.55	836.53	733.19	591.22	547.75	612.11	493.56	293.07	392.44	551.56	432.53	267.73	460.44	353.59	429.54	336.79	432.53	947.83	780.44	791.35	909.17	1104.13	356.05
PIGC	890.44	660.68	612.11	728.11	559.28	567.1	693.58	547.75	583.07	629.35	660.68	551.56	426.57	397.93	435.55	291.04	312.0	376.41	198.47	343.89	460.44	387.02	373.81	426.57	329.84	500.46	802.41	642.59	529.06	759.08	651.58	96.01
POLE3	1096.5	909.17	988.12	1081.39	921.88	830.75	995.0	1135.2	1119.56	1183.45	1378.57	1051.79	825.0	934.76	738.29	532.74	346.29	339.14	583.07	540.19	392.44	397.93	325.29	403.5	400.71	444.72	1208.34	915.51	915.51	915.51	1088.92	432.53
POP7	941.27	759.08	928.3	934.76	825.0	802.41	954.43	1023.0	1044.52	848.22	954.43	928.3	507.46	551.56	563.18	269.6	353.59	540.19	249.73	397.93	616.37	497.0	403.5	444.72	603.67	718.08	830.75	780.44	693.58	1313.23	1277.29	197.09
PPP4C	1832.01	1794.29	1819.35	1781.89	1883.54	2090.03	1242.34	3303.0	3325.99	3168.41	1508.65	1540.37	1081.39	1066.48	1119.56	1127.35	1250.98	1216.75	1467.37	981.29	1073.91	1096.5	1073.91	1322.37	961.07	1268.46	2255.7	2119.22	1617.0	3901.01	3018.3	1167.14
PSMA5	3039.3	1870.53	2875.3	2573.36	2240.11	2335.28	1551.09	5041.77	5183.54	4268.94	2400.97	1936.53	1340.84	1397.83	1233.75	1313.23	961.07	1023.0	1135.2	1183.45	995.0	1088.92	848.22	988.12	1096.5	1277.29	3847.29	2287.2	2061.24	2935.74	2720.15	1407.55
PSMB7	4095.0	2739.08	3168.41	3665.02	3081.75	3081.75	3146.52	4328.55	5006.93	3847.29	3955.48	3146.52	2591.27	2502.97	2485.67	1745.2	2061.24	2573.36	2384.37	2178.83	2485.67	2609.3	2075.59	2287.2	2271.4	3081.75	5441.3	3325.99	3190.46	4736.79	5954.47	1685.71
PSMD9	1259.69	1183.45	1350.18	1359.57	1167.14	1277.29	1216.75	1977.24	1977.24	2004.85	1427.22	1369.04	1104.13	1073.91	1066.48	802.41	928.3	1008.9	780.44	974.5	902.89	915.51	813.63	1159.07	909.17	1135.2	1733.13	1519.15	1340.84	1628.26	1594.73	511.0
PSMG1	909.17	961.07	1073.91	941.27	890.44	802.41	547.75	1709.26	1819.35	1870.53	1119.56	743.43	674.59	579.04	679.29	813.63	379.04	371.22	490.14	476.71	397.93	327.56	389.72	363.56	490.14	518.15	1437.15	967.76	947.83	1721.16	1583.71	571.05
PSMG3	866.07	769.69	921.88	780.44	813.63	825.0	563.18	1572.76	1378.57	1407.55	878.17	660.68	339.14	251.48	486.75	226.54	450.94	559.28	287.01	299.25	595.34	473.41	444.72	575.03	336.79	571.05	1066.48	748.61	684.02	1572.76	1208.34	220.32
PTER	148.09	131.51	127.0	124.37	173.85	117.6	93.35	209.84	221.86	167.9	132.44	58.71	57.89	55.89	98.73	39.79	80.01	60.82	32.82	78.34	112.77	113.56	78.34	98.73	59.55	82.29	836.53	100.13	157.68	285.03	212.78	37.85
PTGES2	1242.34	1286.18	1340.84	1437.15	1685.71	1519.15	1143.1	2224.63	1628.26	2104.58	1175.27	1051.79	813.63	884.29	854.13	941.27	775.05	1008.9	780.44	698.41	1216.75	1066.48	796.86	1143.1	995.0	954.43	2367.9	1167.14	1378.57	2875.3	2193.99	866.07
PTRHD1	507.46	423.61	571.05	698.41	503.95	507.46	246.28	1806.78	1407.55	1437.15	346.29	536.45	265.87	158.79	325.29	231.32	457.25	392.44	255.0	397.93	314.17	400.71	356.05	493.56	454.09	460.44	866.07	1001.93	547.75	2090.03	2075.59	260.38
PXMP4	130.6	157.68	165.57	146.03	177.53	181.28	212.78	236.21	343.89	226.54	119.26	102.25	108.14	122.64	164.42	55.89	71.5	120.94	33.3	121.79	115.16	97.36	72.52	141.02	105.15	118.43	356.05	158.79	151.22	204.07	389.72	39.22
PYCRL	208.38	115.97	152.28	132.44	147.06	127.89	76.71	426.57	262.2	262.2	242.88	90.14	88.26	61.25	104.42	37.59	86.43	81.14	43.32	58.3	100.83	84.04	96.68	112.77	81.14	74.06	403.5	127.89	126.12	217.27	435.55	31.22
RP11-500M8.7	470.14	323.03	490.14	656.11	341.51	638.15	483.38	1487.87	1936.53	2075.59	158.79	307.69	198.47	275.28	201.25	287.01	66.65	163.28	150.17	251.48	32.13	133.36	158.79	86.43	287.01	16.51	1233.75	583.07	336.79	1519.15	679.29	1.57
RRP9	575.03	511.0	381.68	332.14	463.65	420.68	307.69	665.29	540.19	708.18	309.83	299.25	297.17	246.28	244.57	148.09	186.4	229.72	229.72	154.42	244.57	295.11	211.31	220.32	181.28	237.86	638.15	395.18	358.54	954.43	1001.93	105.89
SAPCD2	30.56	20.56	217.27	47.5	173.85	43.94	3.44	791.35	620.67	563.18	43.02	46.5	0.0	0.0	3.23	3.96	7.69	2.03	1.35	1.38	6.73	5.73	5.06	7.51	1.99	7.17	197.09	136.19	85.22	616.37	679.29	8.58
SDR42E1	50.63	80.57	50.27	108.14	78.89	108.9	85.82	237.86	82.87	198.47	6.78	23.42	40.36	14.14	42.11	6.26	15.22	28.24	9.2	4.62	46.84	40.36	14.78	26.86	43.32	38.4	166.73	47.84	43.32	116.78	102.97	2.32
SEPHS2	518.15	928.3	791.35	1583.71	1487.87	1628.26	551.56	2351.53	2520.38	2537.92	559.28	775.05	713.11	616.37	693.58	371.22	237.86	376.41	441.64	500.46	429.54	389.72	273.37	438.59	389.72	532.74	2193.99	1508.65	934.76	1870.53	2047.0	186.4
SGPL1	420.68	397.93	323.03	329.84	392.44	403.5	201.25	579.04	460.44	500.46	521.76	387.02	231.32	193.01	157.68	136.19	211.31	251.48	178.77	183.82	255.0	189.02	220.32	209.84	169.07	242.88	780.44	400.71	463.65	493.56	603.67	75.64
SLC25A15	52.45	86.43	69.52	67.12	108.9	79.45	27.25	190.34	185.11	172.65	40.36	46.84	16.15	20.41	39.5	21.01	46.5	35.76	9.48	11.3	50.27	36.53	18.7	42.71	32.59	31.67	447.82	56.28	93.35	205.5	156.59	14.14
SLC25A19	325.29	249.73	289.02	239.52	320.8	279.14	251.48	483.38	353.59	406.31	236.21	147.06	156.59	165.57	199.85	100.13	231.32	202.66	127.0	133.36	255.0	244.57	260.38	287.01	224.97	249.73	341.51	316.37	329.84	559.28	423.61	59.97
SLC27A2	30.56	49.91	104.42	183.82	157.68	836.53	0.1	1199.98	1250.98	819.3	10.96	29.27	5.54	2.03	4.66	0.91	4.7	0.0	1.79	4.1	1.03	2.66	5.36	0.0	10.0	6.67	1540.37	49.21	46.84	301.33	154.42	0.0
SLC35A2	525.39	493.56	647.07	447.82	651.58	507.46	178.77	1104.13	1104.13	848.22	444.72	303.44	267.73	186.4	271.48	146.03	248.0	181.28	279.14	189.02	237.86	249.73	206.94	197.09	124.37	281.09	934.76	629.35	555.41	796.86	728.11	177.53
SLC52A2	1191.69	928.3	974.5	842.36	1242.34	1111.82	409.15	2384.37	2061.24	2004.85	1008.9	753.83	426.57	368.65	503.95	204.07	460.44	486.75	389.72	307.69	470.14	540.19	429.54	591.22	237.86	591.22	1159.07	1030.12	928.3	1963.57	2520.38	103.69
SLC52A3	55.49	107.38	60.39	142.01	111.21	529.06	6.46	693.58	571.05	543.96	73.03	41.81	27.64	15.91	27.64	8.71	15.91	10.55	12.36	13.42	13.12	33.3	27.05	25.72	14.03	36.27	595.34	120.1	61.25	275.28	248.0	7.28
SNRPC	3060.45	2018.8	2915.45	2997.45	2255.7	2520.38	2591.27	3901.01	4802.93	3820.7	2777.33	2451.44	1594.73	1757.34	1745.2	981.29	941.27	1674.06	1066.48	1662.49	1487.87	1369.04	1407.55	1286.18	1388.16	1733.13	3190.46	2384.37	2163.77	3280.18	4736.79	808.0
SNX8	612.11	525.39	547.75	463.65	376.41	264.03	371.22	543.96	769.69	718.08	476.71	575.03	329.84	191.67	249.73	153.34	283.05	379.04	156.59	244.57	361.04	279.14	387.02	273.37	289.02	297.17	947.83	743.43	518.15	1844.76	1685.71	211.31
SRPRB	1167.14	620.67	915.51	665.29	665.29	896.64	323.03	1286.18	2004.85	1277.29	723.08	444.72	327.56	232.94	444.72	314.17	277.2	301.33	293.07	361.04	406.31	387.02	329.84	353.59	223.41	460.44	1651.0	698.41	941.27	1639.59	1551.09	384.34
SSBP1	3614.55	2434.5	3190.46	3212.66	2609.3	2573.36	3039.3	4607.24	4268.94	3874.05	3060.45	2468.49	2224.63	2384.37	2367.9	2018.8	1487.87	1883.54	1721.16	2090.03	1540.37	1529.73	1487.87	1369.04	2032.85	1883.54	4512.4	2895.31	2997.45	3928.15	4358.66	2133.97
TBL2	612.11	525.39	629.35	551.56	642.59	525.39	412.0	775.05	902.89	753.83	532.74	466.88	376.41	332.14	409.15	351.14	232.94	251.48	400.71	287.01	271.48	289.02	314.17	307.69	185.11	256.78	616.37	521.76	547.75	723.08	785.88	318.57
TFB2M	226.54	258.57	208.38	314.17	246.28	265.87	136.19	420.68	384.34	503.95	221.86	253.23	171.45	145.02	158.79	73.54	98.73	100.13	145.02	154.42	122.64	109.66	88.88	125.24	71.0	112.77	555.41	264.03	297.17	444.72	336.79	29.7
TMEM199	356.05	351.14	511.0	521.76	463.65	403.5	397.93	808.0	819.3	723.08	518.15	389.72	285.03	232.94	301.33	138.1	214.27	208.38	153.34	144.01	262.2	299.25	176.29	289.02	186.4	242.88	941.27	473.41	381.68	432.53	297.17	102.25
TMEM53	281.09	277.2	329.84	305.55	287.01	466.88	146.03	802.41	934.76	733.19	187.71	171.45	156.59	125.24	150.17	85.22	100.13	110.43	74.58	127.89	94.67	209.84	89.51	130.6	74.58	124.37	525.39	397.93	194.36	497.0	323.03	73.54
TMEM8A	941.27	1051.79	1313.23	1059.11	1572.76	1685.71	525.39	2209.26	2434.5	2119.22	497.0	532.74	665.29	486.75	878.17	624.99	1001.93	866.07	1111.82	616.37	995.0	1030.12	802.41	1037.29	723.08	1008.9	2240.11	1407.55	1295.13	2335.28	1427.22	591.22
TOMM34	647.07	397.93	392.44	395.18	444.72	371.22	303.44	1044.52	1081.39	928.3	802.41	412.0	305.55	251.48	287.01	265.87	336.79	307.69	387.02	239.52	264.03	309.83	256.78	295.11	242.88	395.18	1457.23	409.15	403.5	1059.11	1037.29	143.01
TRIAP1	703.28	483.38	540.19	620.67	543.96	518.15	518.15	764.36	713.11	836.53	450.94	532.74	409.15	363.56	366.09	316.37	209.84	295.11	277.2	234.57	309.83	285.03	244.57	353.59	248.0	329.84	571.05	525.39	540.19	825.0	633.73	181.28
TRUB2	473.41	406.31	420.68	536.45	463.65	612.11	343.89	830.75	684.02	713.11	603.67	336.79	287.01	246.28	329.84	209.84	214.27	329.84	154.42	193.01	361.04	283.05	281.09	299.25	297.17	312.0	1135.2	444.72	417.77	947.83	1119.56	133.36
TSFM	842.36	642.59	753.83	785.88	796.86	878.17	708.18	1487.87	1477.58	1331.57	559.28	551.56	426.57	500.46	463.65	376.41	269.6	420.68	264.03	371.22	329.84	395.18	255.0	409.15	438.59	379.04	1923.14	753.83	791.35	1183.45	974.5	164.42
TUFM	4038.61	3690.52	3874.05	3716.2	5329.3	5219.6	2915.45	9025.81	7537.18	7382.04	1844.76	2119.22	2178.83	2032.85	2367.9	1721.16	1870.53	2163.77	2664.15	2061.24	2796.65	2701.35	2090.03	2758.13	1832.01	2271.4	7642.41	4543.8	4358.66	6840.04	4181.07	1159.07
UBE2Q1	1127.35	1001.93	1143.1	1051.79	1417.35	1199.98	974.5	1685.71	1605.83	1508.65	1225.22	1540.37	1037.29	915.51	1127.35	583.07	733.19	738.29	753.83	1008.9	934.76	1111.82	603.67	769.69	579.04	1096.5	1143.1	1540.37	1313.23	2148.82	1991.0	915.51
UFSP1	49.91	64.8	54.33	47.5	37.32	57.89	27.25	79.45	96.68	106.63	46.18	27.25	51.71	46.5	33.3	9.7	1.43	21.16	13.12	11.73	39.5	19.39	17.51	23.93	18.7	24.99	63.45	48.18	42.71	93.35	85.22	7.22
VDAC1	2956.17	2935.74	3018.3	3372.43	4123.49	4704.07	1806.78	7966.99	6426.31	6121.9	1674.06	1651.0	1437.15	1662.49	1977.24	1769.57	1857.6	1923.14	2047.0	2090.03	1594.73	1781.89	1883.54	2032.85	1896.65	1781.89	8598.28	3614.55	3257.52	6935.54	6561.36	1617.0
WBSCR22	1950.0	1594.73	1685.71	1844.76	1757.34	1508.65	1427.22	2271.4	2609.3	2701.35	1519.15	1407.55	1096.5	1037.29	1340.84	1059.11	1151.06	915.51	995.0	1023.0	1104.13	1191.69	1096.5	1216.75	1143.1	1277.29	2573.36	1721.16	1963.57	3081.75	2739.08	1073.91
WDR12	665.29	435.55	532.74	503.95	612.11	616.37	323.03	1322.37	974.5	1008.9	1191.69	934.76	540.19	379.04	457.25	181.28	363.56	366.09	163.28	368.65	363.56	384.34	351.14	341.51	204.07	334.46	1359.57	563.18	583.07	1216.75	1259.69	151.22
WDR34	995.0	775.05	1175.27	808.0	1037.29	928.3	620.67	2319.15	2520.38	1781.89	1208.34	915.51	420.68	412.0	486.75	241.19	633.73	651.58	260.38	547.75	633.73	660.68	674.59	743.43	466.88	698.41	1529.73	1167.14	878.17	2502.97	2090.03	183.82
WSB2	1044.52	1286.18	995.0	1088.92	1151.06	1277.29	819.3	1304.15	1304.15	1447.15	656.11	684.02	961.07	915.51	909.17	633.73	624.99	808.0	813.63	791.35	563.18	748.61	693.58	842.36	567.1	698.41	2061.24	1242.34	1477.58	1066.48	1233.75	629.35
YDJC	532.74	239.52	275.28	260.38	332.14	387.02	98.04	624.99	620.67	688.78	616.37	497.0	147.06	123.5	201.25	157.68	187.71	209.84	255.0	156.59	198.47	249.73	248.0	258.57	120.94	275.28	830.75	351.14	269.6	1467.37	1359.57	63.45
ZNF165	39.5	47.17	40.36	21.47	41.81	29.91	11.82	107.38	101.54	81.14	59.55	10.79	9.2	7.17	12.45	12.0	16.88	13.42	9.56	16.75	21.94	16.63	4.46	18.7	15.56	5.23	87.03	98.73	381.68	183.82	63.0	8.51
ZNF468	125.24	143.01	93.35	119.26	194.36	138.1	39.79	206.94	198.47	176.29	107.38	71.0	84.04	43.02	77.25	45.21	40.36	31.9	53.57	43.94	71.0	82.29	44.89	105.15	22.43	46.18	260.38	103.69	84.04	149.12	129.69	16.27
ZNF593	249.73	217.27	231.32	199.85	226.54	180.02	133.36	373.81	387.02	480.04	162.14	171.45	137.14	116.78	197.09	92.05	194.36	129.69	170.25	84.63	116.78	145.02	175.07	199.85	103.69	150.17	289.02	260.38	265.87	1159.07	866.07	64.34
ZNHIT2	323.03	217.27	249.73	212.78	209.84	251.48	234.57	277.2	281.09	381.68	262.2	191.67	185.11	167.9	231.32	161.02	88.88	121.79	182.55	149.12	131.51	178.77	73.03	121.79	110.43	169.07	267.73	237.86	209.84	309.83	470.14	96.01
