	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.1211K.1326.SM.5FQV2	GTEX.ZVZP.1426.SM.5NQ7R	GTEX.XUZC.0326.SM.4BOO8	GTEX.U3ZM.0626.SM.4DXTV	GTEX.1122O.1626.SM.5N9CX	GTEX.13OVG.0926.SM.5J2OJ	GTEX.13X6H.1426.SM.5SI91	GTEX.ZZPU.1826.SM.5E43L	GTEX.PLZ6.0626.SM.3P61B	GTEX.11P7K.1226.SM.5HL4X	GTEX.133LE.0726.SM.5P9IZ	GTEX.1399R.0726.SM.5KM2A	GTEX.YJ8A.1226.SM.5IFHH	GTEX.Y5V6.1126.SM.4VDTD	GTEX.X3Y1.1226.SM.4PQZ8	TCGA.BR.8297.01A.12R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.FP.8210.01A.11R.2343.13	TCGA.BR.8365.01A.21R.2343.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8380.01A.11R.2343.13	TCGA.BR.8592.01A.11R.2402.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8364.01A.11R.2343.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.S4Z8.1226.SM.4AD6W	GTEX.13O3Q.2126.SM.5KM4C	GTEX.Y114.1226.SM.4TT88	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.TKQ2.0926.SM.4DXU5	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.S7SF.0626.SM.4AD4V	GTEX.XPVG.1526.SM.4B66C
NAA25	162.14	96.68	132.44	132.44	204.07	165.57	76.71	117.6	108.9	142.01	128.79	204.07	116.78	141.02	181.28	182.55	125.24	107.38	197.09	228.13	154.42	154.42	256.78	248.0	218.79	346.29	291.04	258.57	246.28	297.17	320.8	262.2	343.89	309.83	198.47	208.38	221.86	239.52	281.09	205.5	199.85	177.53	234.57	148.09	100.83	177.53	229.72	221.86	191.67
NCOR1	928.3	669.92	1167.14	1331.57	1151.06	995.0	327.56	1151.06	848.22	872.1	1199.98	1066.48	988.12	723.08	1208.34	1313.23	872.1	1159.07	1199.98	1225.22	915.51	1151.06	1757.34	1896.65	2451.44	2895.31	2032.85	2018.8	2209.26	3103.19	2367.9	2555.58	2537.92	1923.14	1963.57	1923.14	1819.35	1844.76	1508.65	1111.82	1059.11	1037.29	1044.52	1111.82	624.99	2367.9	1143.1	1487.87	1015.93
NOP58	1119.56	651.58	728.11	674.59	669.92	842.36	603.67	738.29	529.06	775.05	684.02	723.08	620.67	591.22	688.78	785.88	633.73	543.96	656.11	1277.29	665.29	638.15	1529.73	1073.91	1832.01	1733.13	1242.34	1233.75	1519.15	1427.22	1437.15	2061.24	1199.98	1651.0	974.5	1407.55	1127.35	1088.92	988.12	748.61	1685.71	693.58	921.88	466.88	775.05	995.0	1233.75	981.29	1159.07
NPAT	98.04	57.08	127.0	90.14	120.1	122.64	55.1	84.63	60.82	122.64	80.01	94.67	116.78	107.38	134.3	115.16	100.83	70.51	125.24	142.01	104.42	120.94	139.07	206.94	242.88	309.83	214.27	158.79	199.85	223.41	271.48	182.55	291.04	248.0	140.04	153.34	165.57	205.5	206.94	156.59	211.31	154.42	117.6	120.1	83.45	100.13	130.6	231.32	122.64
NXPH4	3.86	0.0	0.0	0.91	1.0	3.26	2.78	0.0	0.89	0.0	0.87	1.64	0.0	7.69	2.61	0.46	3.76	0.84	0.0	1.69	0.0	0.0	11.21	5.5	8.58	5.68	11.73	7.51	8.13	9.27	12.0	4.24	2.86	14.14	1.69	1.03	2.07	1.36	11.82	4.66	7.4	8.32	3.76	4.58	0.0	2.73	4.7	6.94	4.7
ORAI1	457.25	591.22	289.02	457.25	297.17	226.54	493.56	208.38	224.97	312.0	253.23	187.71	199.85	277.2	248.0	115.16	178.77	358.54	309.83	301.33	256.78	154.42	587.13	521.76	547.75	954.43	503.95	591.22	529.06	559.28	848.22	460.44	532.74	616.37	567.1	629.35	612.11	575.03	384.34	543.96	507.46	796.86	559.28	438.59	454.09	1350.18	237.86	928.3	226.54
PAXIP1	156.59	69.03	120.1	110.43	122.64	121.79	67.59	104.42	101.54	139.07	120.94	131.51	126.12	119.26	147.06	142.01	140.04	143.01	152.28	158.79	123.5	134.3	255.0	187.71	220.32	273.37	256.78	189.02	269.6	218.79	205.5	191.67	209.84	237.86	148.09	165.57	171.45	186.4	153.34	137.14	97.36	143.01	122.64	176.29	88.88	169.07	104.42	204.07	96.01
PBX3	808.0	890.44	1008.9	1044.52	3372.43	1135.2	808.0	591.22	599.49	802.41	753.83	708.18	813.63	723.08	813.63	915.51	872.1	884.29	947.83	848.22	848.22	825.0	1583.71	4607.24	1685.71	1331.57	2004.85	2682.69	2090.03	1769.57	2287.2	2739.08	2061.24	1508.65	2417.67	3168.41	3103.19	3257.52	813.63	1936.53	1819.35	2537.92	2032.85	1896.65	1769.57	2119.22	1159.07	1977.24	1540.37
PCBD2	87.65	99.43	104.42	127.89	102.97	143.01	98.73	121.79	115.97	121.79	113.56	139.07	132.44	142.01	173.85	170.25	158.79	141.02	165.57	75.64	96.68	134.3	295.11	159.9	271.48	199.85	241.19	194.36	279.14	242.88	186.4	255.0	253.23	249.73	215.77	214.27	224.97	185.11	104.42	173.85	131.51	96.01	107.38	145.02	115.16	103.69	159.9	127.0	183.82
PDE7A	101.54	76.17	81.14	70.01	99.43	98.04	55.89	88.26	136.19	201.25	136.19	115.97	85.22	50.98	120.94	127.0	127.89	137.14	301.33	170.25	134.3	172.65	289.02	249.73	708.18	819.3	343.89	305.55	260.38	457.25	860.08	277.2	265.87	303.44	228.13	175.07	167.9	141.02	77.79	138.1	109.66	82.87	74.58	104.42	63.0	70.51	121.79	101.54	133.36
PDE7B	141.02	24.28	181.28	67.59	62.12	49.91	59.55	25.72	41.52	48.18	35.5	54.33	23.25	20.86	111.21	53.95	38.12	63.45	102.97	92.05	33.78	34.75	156.59	414.87	181.28	269.6	197.09	265.87	260.38	150.17	201.25	327.56	269.6	158.79	236.21	269.6	307.69	329.84	161.02	214.27	376.41	166.73	373.81	312.0	343.89	232.94	473.41	279.14	406.31
PLSCR4	518.15	199.85	764.36	547.75	872.1	896.64	242.88	441.64	432.53	470.14	366.09	567.1	457.25	579.04	688.78	551.56	543.96	483.38	830.75	759.08	503.95	514.56	599.49	981.29	674.59	1066.48	981.29	607.87	1044.52	981.29	1096.5	819.3	1242.34	1216.75	1030.12	928.3	896.64	1051.79	1037.29	1199.98	890.44	713.11	599.49	1685.71	493.56	921.88	1044.52	921.88	693.58
POU2F1	98.73	37.59	87.03	63.0	94.67	91.41	27.05	111.21	91.41	98.73	99.43	129.69	109.66	55.89	105.15	107.38	70.51	98.73	99.43	123.5	105.89	98.04	289.02	206.94	281.09	346.29	242.88	256.78	223.41	258.57	260.38	299.25	246.28	239.52	231.32	267.73	232.94	244.57	253.23	170.25	371.22	201.25	182.55	175.07	73.03	148.09	156.59	173.85	273.37
REST	202.66	89.51	234.57	217.27	251.48	209.84	72.01	155.5	101.54	98.73	139.07	249.73	221.86	154.42	260.38	212.78	194.36	170.25	269.6	198.47	169.07	217.27	318.57	387.02	314.17	325.29	406.31	336.79	361.04	379.04	454.09	334.46	414.87	395.18	373.81	309.83	329.84	389.72	232.94	358.54	318.57	269.6	190.34	289.02	226.54	297.17	297.17	327.56	199.85
RFX7	80.57	45.21	100.83	89.51	108.9	77.25	29.27	63.45	37.85	62.56	60.39	74.06	69.03	64.34	90.14	77.79	61.25	65.72	111.99	77.79	52.08	90.14	133.36	198.47	163.28	237.86	244.57	164.42	180.02	190.34	242.88	157.68	209.84	244.57	153.34	127.89	151.22	183.82	122.64	127.0	132.44	98.04	61.68	147.06	57.89	109.66	84.04	149.12	55.1
RP11-613M10.8	0.0	0.0	0.0	0.0	10.47	0.0	0.0	0.0	0.0	9.63	0.0	0.0	0.0	0.0	1.77	6.16	0.0	5.82	0.0	5.36	0.0	0.0	11.13	6.31	0.0	24.81	12.45	12.0	19.39	17.64	12.27	1.79	22.1	21.01	0.0	6.94	1.58	4.9	0.0	11.13	34.02	7.17	0.0	24.81	17.38	15.8	8.13	0.0	9.13
SERINC5	50.98	33.78	76.17	37.59	45.21	18.7	9.93	30.56	33.54	45.21	65.26	63.0	57.49	51.71	56.28	67.12	55.89	45.21	60.82	82.87	13.42	70.01	246.28	121.79	387.02	454.09	341.51	177.53	371.22	299.25	346.29	150.17	409.15	612.11	124.37	88.88	107.38	100.83	95.34	110.43	171.45	175.07	72.52	156.59	60.82	80.01	97.36	143.01	83.45
SGK3	60.82	50.63	126.12	80.01	88.26	85.82	43.63	93.35	44.57	45.21	69.52	96.68	53.95	78.34	92.05	133.36	133.36	78.34	112.77	68.55	84.04	47.17	145.02	167.9	193.01	191.67	212.78	1151.06	164.42	194.36	273.37	191.67	223.41	214.27	130.6	130.6	148.09	126.12	84.63	187.71	144.01	74.06	61.25	114.36	85.82	69.52	142.01	120.1	63.89
SIAH3	0.0	0.0	0.0	0.0	0.46	0.31	0.93	0.51	0.0	0.48	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.47	0.51	0.48	0.0	0.0	1.28	4.86	1.71	2.81	0.99	1.93	2.97	1.07	2.34	1.68	1.38	3.72	4.86	4.24	6.41	2.71	1.45	4.46	2.18	1.36	2.94	6.16	2.81	1.39	0.69	4.46	3.66
SLC10A7	57.49	47.5	81.14	71.0	78.89	40.64	51.71	53.57	66.18	38.67	66.18	80.57	66.65	50.98	70.01	81.14	65.26	75.11	97.36	68.55	68.07	69.52	104.42	91.41	149.12	121.79	124.37	125.24	120.1	140.04	139.07	124.37	137.14	138.1	96.68	80.01	99.43	85.82	110.43	132.44	71.0	74.06	66.18	92.05	69.52	57.49	72.52	143.01	57.49
SLC23A2	171.45	87.03	191.67	143.01	265.87	199.85	61.25	183.82	150.17	208.38	217.27	198.47	205.5	139.07	214.27	242.88	197.09	224.97	271.48	223.41	118.43	183.82	237.86	363.56	279.14	457.25	332.14	287.01	295.11	289.02	423.61	279.14	384.34	381.68	327.56	325.29	381.68	371.22	181.28	287.01	314.17	228.13	234.57	381.68	102.25	269.6	234.57	262.2	275.28
SLC40A1	176.29	128.79	1051.79	651.58	239.52	239.52	190.34	218.79	371.22	185.11	351.14	435.55	241.19	271.48	603.67	500.46	420.68	579.04	1119.56	161.02	603.67	318.57	1259.69	616.37	1551.09	2956.17	2682.69	1151.06	1167.14	1819.35	2468.49	934.76	1378.57	5751.61	463.65	486.75	559.28	480.04	638.15	995.0	197.09	289.02	255.0	1508.65	356.05	624.99	426.57	2485.67	193.01
SMIM14	376.41	438.59	825.0	674.59	483.38	376.41	599.49	336.79	376.41	316.37	420.68	540.19	441.64	571.05	507.46	463.65	607.87	460.44	334.46	423.61	381.68	438.59	579.04	728.11	819.3	791.35	603.67	872.1	647.07	759.08	1135.2	543.96	842.36	808.0	759.08	656.11	679.29	693.58	583.07	954.43	836.53	466.88	563.18	547.75	848.22	595.34	463.65	896.64	429.54
SP3	595.34	295.11	665.29	660.68	647.07	543.96	262.2	463.65	397.93	379.04	460.44	665.29	361.04	483.38	629.35	493.56	536.45	493.56	674.59	500.46	476.71	476.71	780.44	819.3	753.83	947.83	988.12	713.11	785.88	896.64	1088.92	693.58	934.76	1044.52	684.02	819.3	813.63	866.07	723.08	830.75	759.08	684.02	490.14	842.36	559.28	679.29	579.04	902.89	583.07
SPDL1	107.38	106.63	89.51	96.01	87.03	106.63	65.26	81.14	73.03	100.13	69.52	102.97	110.43	91.41	105.89	88.88	105.89	69.03	111.21	104.42	81.14	109.66	195.72	122.64	150.17	175.07	145.02	108.14	171.45	201.25	140.04	133.36	118.43	181.28	95.34	83.45	99.43	90.77	68.55	135.24	121.79	73.54	94.01	114.36	75.64	88.26	121.79	146.03	73.54
SPDYE1	2.16	0.52	1.73	3.08	4.46	4.9	0.0	8.38	14.78	6.11	9.13	7.06	7.22	1.85	10.71	8.25	4.98	5.5	7.11	6.73	3.59	9.56	20.41	19.97	34.75	39.79	26.28	18.16	18.16	17.25	34.02	38.95	27.64	20.56	15.34	17.51	23.42	23.08	2.73	19.97	23.42	12.36	11.13	9.7	1.93	9.48	20.26	12.18	10.71
SYNRG	212.78	127.0	215.77	208.38	231.32	209.84	71.5	176.29	149.12	147.06	202.66	239.52	175.07	165.57	297.17	267.73	255.0	180.02	289.02	242.88	146.03	226.54	343.89	429.54	412.0	642.59	470.14	343.89	376.41	463.65	665.29	348.71	503.95	529.06	329.84	299.25	334.46	356.05	186.4	305.55	223.41	281.09	279.14	343.89	147.06	329.84	376.41	361.04	339.14
TBL1XR1	412.0	264.03	551.56	514.56	571.05	559.28	140.04	412.0	312.0	242.88	379.04	497.0	432.53	325.29	688.78	518.15	327.56	301.33	769.69	656.11	363.56	457.25	1199.98	1096.5	1594.73	1295.13	1183.45	854.13	1104.13	1030.12	1639.59	1088.92	1286.18	1628.26	764.36	1104.13	808.0	1104.13	791.35	1119.56	647.07	708.18	551.56	819.3	518.15	921.88	854.13	1350.18	486.75
TCF7L2	356.05	133.36	346.29	341.51	629.35	323.03	118.43	267.73	253.23	295.11	525.39	457.25	318.57	271.48	684.02	346.29	341.51	305.55	395.18	229.72	334.46	473.41	842.36	796.86	674.59	836.53	974.5	490.14	909.17	842.36	738.29	708.18	967.76	988.12	656.11	884.29	638.15	1001.93	738.29	713.11	780.44	473.41	718.08	698.41	642.59	480.04	620.67	775.05	785.88
TET1	3.56	1.81	6.89	9.2	26.67	12.09	2.03	2.29	2.27	6.52	5.11	5.36	4.5	5.15	12.18	11.73	5.5	6.46	16.27	4.58	3.76	8.45	23.93	20.86	22.92	25.54	37.32	20.26	24.28	25.35	27.44	20.26	35.76	41.22	32.36	31.0	25.72	32.82	10.63	63.45	17.77	11.64	10.79	25.72	6.52	10.16	19.97	9.78	7.17
TGDS	100.83	122.64	181.28	155.5	112.77	108.9	149.12	131.51	124.37	108.9	120.1	128.79	120.1	108.9	133.36	126.12	137.14	125.24	148.09	92.05	175.07	128.79	291.04	212.78	205.5	312.0	255.0	176.29	183.82	220.32	197.09	220.32	171.45	279.14	156.59	169.07	180.02	167.9	180.02	239.52	144.01	98.04	100.83	150.17	79.45	186.4	185.11	265.87	116.78
TMEM41B	249.73	157.68	170.25	111.21	161.02	157.68	152.28	228.13	170.25	220.32	205.5	201.25	229.72	164.42	175.07	205.5	166.73	241.19	185.11	307.69	218.79	201.25	271.48	343.89	371.22	500.46	507.46	316.37	417.77	457.25	363.56	264.03	299.25	483.38	237.86	208.38	246.28	244.57	241.19	231.32	334.46	156.59	161.02	187.71	131.51	191.67	158.79	223.41	205.5
TMEM68	190.34	171.45	212.78	199.85	197.09	166.73	159.9	141.02	127.89	156.59	146.03	177.53	147.06	193.01	172.65	154.42	195.72	144.01	153.34	162.14	157.68	199.85	397.93	285.03	511.0	329.84	295.11	309.83	176.29	312.0	212.78	249.73	246.28	289.02	255.0	211.31	206.94	202.66	149.12	281.09	123.5	208.38	137.14	191.67	183.82	237.86	166.73	236.21	150.17
TMTC2	297.17	108.9	183.82	236.21	2032.85	31.45	29.91	47.84	45.85	40.64	51.71	64.34	53.95	41.52	77.79	58.71	81.71	75.64	88.88	88.88	45.21	43.63	343.89	1151.06	381.68	497.0	348.71	525.39	454.09	305.55	599.49	571.05	414.87	426.57	376.41	624.99	616.37	540.19	115.97	229.72	403.5	314.17	275.28	190.34	255.0	540.19	175.07	343.89	312.0
TOX3	1.3	0.0	0.48	1.39	4.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22	1.22	2.01	0.0	1.23	0.0	2.73	1.22	301.33	82.29	248.0	384.34	490.14	400.71	299.25	312.0	151.22	172.65	191.67	769.69	41.81	181.28	241.19	237.86	0.65	42.41	8.06	9.27	9.13	100.83	24.11	38.95	31.0	116.78	30.56
TRIM2	201.25	115.16	305.55	305.55	275.28	165.57	76.17	119.26	147.06	221.86	170.25	249.73	151.22	147.06	329.84	226.54	264.03	194.36	432.53	193.01	190.34	258.57	603.67	595.34	629.35	591.22	669.92	518.15	1008.9	769.69	647.07	679.29	764.36	688.78	660.68	567.1	698.41	825.0	156.59	525.39	363.56	329.84	289.02	441.64	173.85	438.59	309.83	376.41	242.88
TRIM38	209.84	145.02	234.57	202.66	209.84	209.84	97.36	177.53	121.79	127.89	139.07	170.25	105.15	108.14	143.01	125.24	165.57	163.28	181.28	140.04	124.37	123.5	262.2	241.19	420.68	470.14	341.51	279.14	277.2	373.81	406.31	351.14	334.46	332.14	264.03	260.38	187.71	169.07	246.28	312.0	236.21	154.42	214.27	373.81	218.79	314.17	373.81	295.11	201.25
TRUB1	111.99	127.0	183.82	181.28	208.38	105.15	98.04	92.7	75.11	78.34	81.14	138.1	98.04	115.16	167.9	118.43	113.56	111.21	182.55	123.5	137.14	162.14	265.87	265.87	217.27	214.27	273.37	256.78	237.86	253.23	241.19	221.86	271.48	327.56	199.85	191.67	232.94	190.34	147.06	218.79	198.47	176.29	163.28	151.22	146.03	182.55	154.42	246.28	146.03
TULP4	73.03	55.1	76.71	76.71	55.89	72.52	35.5	52.45	51.71	69.52	71.0	55.1	57.49	44.89	59.55	57.08	47.84	66.18	80.01	90.77	77.25	70.51	135.24	131.51	163.28	176.29	140.04	112.77	153.34	181.28	236.21	166.73	187.71	170.25	111.99	118.43	120.1	117.6	56.28	84.04	104.42	102.97	75.64	81.14	44.25	121.79	59.97	74.58	63.45
VGLL4	412.0	514.56	796.86	563.18	684.02	743.43	277.2	656.11	500.46	438.59	743.43	866.07	785.88	656.11	679.29	921.88	718.08	656.11	860.08	536.45	540.19	514.56	1183.45	878.17	1111.82	2032.85	1685.71	713.11	1572.76	1175.27	1437.15	974.5	1242.34	2104.58	1208.34	1030.12	1151.06	890.44	1250.98	1844.76	1508.65	1183.45	616.37	1806.78	1277.29	1498.22	1467.37	1427.22	915.51
VHL	206.94	153.34	271.48	246.28	209.84	237.86	130.6	220.32	136.19	161.02	253.23	241.19	234.57	220.32	325.29	239.52	237.86	195.72	277.2	275.28	249.73	258.57	435.55	420.68	728.11	967.76	575.03	397.93	698.41	718.08	743.43	490.14	703.28	620.67	441.64	293.07	444.72	376.41	211.31	332.14	325.29	341.51	285.03	373.81	229.72	323.03	316.37	480.04	291.04
ZC3HAV1L	21.32	10.47	22.92	19.82	42.71	61.68	2.58	17.77	22.92	23.08	51.35	43.02	20.86	13.32	57.08	50.63	31.9	34.26	69.03	33.54	9.48	63.89	157.68	119.26	137.14	193.01	191.67	82.29	202.66	175.07	226.54	116.78	206.94	305.55	128.79	116.78	162.14	153.34	40.64	73.03	71.5	86.43	57.89	173.85	18.84	155.5	82.29	108.14	50.98
ZMYM1	129.69	61.25	115.97	75.64	132.44	108.9	36.01	69.03	56.68	64.8	81.14	78.34	74.06	57.89	95.34	75.64	100.13	95.34	108.9	88.88	115.97	103.69	256.78	215.77	237.86	242.88	293.07	215.77	209.84	217.27	221.86	191.67	232.94	239.52	271.48	155.5	221.86	162.14	202.66	161.02	115.16	159.9	105.89	182.55	68.07	114.36	116.78	175.07	79.45
ZNF26	85.82	48.52	83.45	90.14	107.38	125.24	61.25	84.63	73.54	89.51	109.66	105.89	100.83	94.67	89.51	117.6	89.51	89.51	100.83	146.03	111.21	120.1	199.85	167.9	175.07	215.77	208.38	178.77	181.28	170.25	199.85	155.5	215.77	177.53	124.37	127.0	125.24	132.44	143.01	220.32	134.3	69.52	56.28	68.55	64.34	102.97	108.14	103.69	120.94
ZNF41	68.07	38.4	100.83	98.04	98.04	73.54	21.16	53.95	58.71	71.0	82.29	101.54	84.04	60.39	100.13	89.51	70.51	88.88	111.99	100.83	79.45	98.04	150.17	127.89	156.59	159.9	153.34	102.97	117.6	148.09	162.14	105.89	137.14	153.34	127.89	100.83	118.43	122.64	86.43	90.77	78.89	100.13	74.06	98.04	57.08	102.25	105.15	105.15	94.01
ZNF484	24.28	18.29	44.25	32.36	44.57	43.63	12.09	31.45	21.94	28.86	32.59	33.78	27.64	25.91	39.5	54.33	34.51	34.26	63.45	66.65	39.79	47.17	81.14	111.99	84.63	96.01	105.15	85.82	75.64	100.13	128.79	88.26	109.66	107.38	81.71	85.22	68.55	71.0	48.87	90.77	87.65	36.01	37.59	77.25	44.89	54.72	82.87	70.01	43.32
ZNF552	60.39	59.13	65.26	45.21	46.84	36.53	76.17	84.63	68.55	78.89	55.49	67.12	67.59	92.05	138.1	138.1	120.94	108.14	76.71	97.36	68.07	97.36	176.29	143.01	389.72	351.14	147.06	503.95	194.36	242.88	249.73	264.03	253.23	202.66	148.09	165.57	154.42	152.28	59.97	66.65	84.63	75.11	88.26	70.51	46.84	85.82	126.12	99.43	96.68
ZNF586	87.65	85.82	117.6	119.26	125.24	113.56	141.02	61.68	86.43	98.73	107.38	108.14	84.63	115.97	151.22	153.34	120.94	75.11	128.79	139.07	165.57	121.79	171.45	183.82	249.73	285.03	163.28	169.07	234.57	218.79	275.28	228.13	191.67	214.27	182.55	191.67	248.0	162.14	119.26	193.01	99.43	88.88	113.56	119.26	81.14	197.09	120.94	142.01	88.88
ZNF587B	47.84	57.49	86.43	53.19	58.71	61.25	52.82	79.45	60.39	101.54	79.45	100.83	84.63	68.07	137.14	115.16	87.65	78.34	60.82	103.69	78.34	69.03	190.34	178.77	293.07	260.38	142.01	209.84	285.03	187.71	248.0	163.28	177.53	214.27	114.36	142.01	111.21	108.9	60.39	36.01	111.21	92.7	68.07	55.49	39.79	75.64	95.34	94.01	104.42
ZRANB3	44.25	19.53	33.54	38.12	43.94	37.59	17.51	20.11	12.83	10.55	13.62	24.81	27.44	32.13	29.91	24.46	23.25	21.78	31.9	29.06	19.25	34.02	82.87	38.4	63.0	71.0	47.84	46.5	63.89	52.08	64.8	63.89	71.5	99.43	56.68	59.97	45.21	52.82	28.24	71.5	32.59	18.03	31.22	59.55	36.79	18.97	37.85	58.3	41.52
