	TCGA.ET.A3DQ.01A.11R.A19O.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.EM.A4FH.01A.11R.A250.07	TCGA.BJ.A28T.01A.11R.A16R.07	TCGA.EL.A3H2.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.FY.A3NM.01A.11R.A21D.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EM.A4FK.01A.11R.A250.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.BJ.A0ZJ.01A.11R.A10U.07	TCGA.EM.A22J.01A.11R.A180.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.EL.A3T2.01A.11R.A22L.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A2PP.01A.11R.A19O.07	TCGA.EM.A3O8.01A.11R.A220.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.ET.A3DW.11A.11R.A19O.07	TCGA.BJ.A2NA.11A.11R.A19O.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3T1.11A.11R.A22L.07	TCGA.EL.A3ZP.11A.11R.A23N.07	TCGA.DO.A1JZ.11A.11R.A13Y.07	TCGA.EM.A1CV.11A.11R.A13Y.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EM.A1CT.11A.11R.A13Y.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YJ89.0726.SM.5P9F7	GTEX.ZV6S.0226.SM.59HJT	GTEX.WRHU.0926.SM.4E3IG	GTEX.WH7G.0526.SM.3NMBI	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.QV44.0826.SM.2S1RG	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.11DXY.0426.SM.5H12R	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11EQ9.0626.SM.5A5K1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.WHSE.0626.SM.4RGNF	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.RU72.0126.SM.2TF6Z	GTEX.11I78.0526.SM.5986A	GTEX.13N2G.0726.SM.5MR38	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.13G51.1226.SM.5K7Z3	GTEX.145MH.0426.SM.5LU8T	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.14753.0926.SM.5Q5BI	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.WY7C.0226.SM.3NB37	GTEX.ZT9W.0226.SM.4YCCZ	GTEX.XUW1.1026.SM.4BONY	GTEX.RNOR.0926.SM.2TF56	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.PX3G.2626.SM.2I3EG	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.12WSN.0726.SM.5GCMS	GTEX.Y5V5.0326.SM.5RQJG	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZT9X.0226.SM.51MT2	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.ZPCL.0126.SM.4WWC8	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZQ.0626.SM.59HJU	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.X8HC.0726.SM.46MWG	GTEX.11NUK.1026.SM.5HL5J	GTEX.1211K.0726.SM.5FQUW	GTEX.131XG.0226.SM.5IFG1	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13RTK.0326.SM.5RQHS	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.12696.0326.SM.5EGL4	GTEX.13FTW.0626.SM.5IFEX
GFI1	45.21	6.41	7.22	7.63	26.67	15.8	4.5	4.66	96.01	10.08	6.36	26.28	46.84	49.56	6.06	13.83	18.56	3.2	24.63	9.93	41.22	4.74	22.75	10.47	7.4	4.43	6.62	2.71	6.89	66.18	62.12	13.52	47.84	102.97	6.11	67.59	32.13	49.21	4.31	11.73	52.08	7.0	18.43	13.72	23.08	92.05	13.62	50.27	13.32	18.43	10.96	24.28	16.63	10.79	20.26	8.25	63.45	5.68	4.66	13.22	7.51	6.11	21.63	16.88	19.97	12.45	11.64	6.01	12.18	6.11	25.54	35.5	2.51	14.56	20.86	6.73	16.88	21.32	90.77	10.39	47.5	11.64	13.22	16.27	40.36	105.89	24.63	18.56	20.71	32.59	15.8	19.25	10.96	24.28	34.51	33.3	24.11	34.26	13.42	10.24	18.43	15.22	21.78	11.38	10.71	32.59	8.58	21.47	23.76	12.09	15.0	39.79	72.52	4.94	11.91	13.72	25.35	13.72	19.82	16.63	20.41	55.49	28.65	5.15	12.93	9.78	15.68	112.77	18.7	17.25	52.08	30.56	13.93	18.03	15.0	9.7	11.38	44.89	8.85	5.82	20.41	18.03	5.63	10.79	15.56	20.71
GRAP2	52.08	3.79	5.68	8.51	31.9	6.26	5.82	7.28	120.1	19.97	17.64	43.63	90.77	70.51	9.63	18.56	30.34	6.16	33.54	19.25	76.17	7.75	33.3	6.57	15.22	7.88	9.93	4.66	2.84	147.06	87.65	17.0	92.7	170.25	6.11	120.94	61.25	87.65	11.3	14.14	131.51	10.24	109.66	68.55	48.87	214.27	16.51	88.88	26.47	35.76	14.35	18.97	40.36	55.1	27.64	31.67	78.34	12.27	25.91	25.35	5.32	55.89	52.45	9.41	50.27	9.34	14.67	8.38	14.89	6.46	20.71	7.17	11.55	8.38	41.52	5.02	8.85	13.12	178.77	20.56	90.77	10.31	19.11	89.51	59.13	132.44	49.56	22.43	31.0	97.36	16.75	49.21	6.31	47.5	35.76	27.44	21.01	90.14	12.27	6.41	26.47	30.78	8.0	22.92	20.41	60.82	16.63	50.63	19.25	18.43	22.92	27.64	85.82	3.96	55.49	21.01	58.71	19.97	13.83	13.83	45.53	34.26	25.17	0.84	24.46	8.25	6.57	165.57	29.7	22.75	68.07	60.82	15.68	22.43	12.0	10.31	33.54	29.91	10.96	14.03	31.45	40.36	19.68	12.74	8.78	16.51
ICOS	26.28	1.08	0.0	1.97	22.1	3.32	1.45	0.0	72.01	1.71	1.85	22.75	49.56	52.45	0.53	9.06	12.93	0.0	17.13	1.07	31.9	0.27	31.0	0.24	3.72	0.84	0.45	0.0	0.21	72.01	47.5	2.53	29.91	107.38	0.3	82.29	67.59	84.63	2.12	0.56	82.29	1.14	94.67	5.02	52.08	231.32	1.2	27.64	2.73	39.5	2.14	9.06	22.26	11.21	11.73	4.66	30.12	5.5	0.36	13.03	0.0	2.05	4.03	8.85	39.22	3.23	1.27	4.35	4.82	2.66	4.43	1.2	5.41	11.3	12.0	0.0	5.36	6.57	381.68	6.78	27.44	3.35	7.22	11.47	26.1	135.24	40.36	10.0	2.53	15.91	7.11	24.11	1.62	9.56	35.25	10.24	10.63	18.03	8.78	2.53	4.58	101.54	1.36	33.06	3.72	47.5	8.71	15.34	8.19	2.78	1.22	10.79	226.54	2.18	7.17	4.82	7.88	6.67	3.29	4.17	13.72	15.34	18.84	1.2	0.72	2.48	2.84	167.9	5.41	3.76	25.17	55.1	4.86	12.55	3.0	1.27	9.06	7.11	5.02	0.67	8.99	9.13	1.64	2.25	1.11	6.52
IKZF1	126.12	6.73	9.13	13.93	64.34	18.56	8.99	4.62	248.0	32.36	21.16	101.54	224.97	148.09	7.75	38.12	50.98	8.78	63.45	19.82	140.04	21.16	72.52	17.51	15.0	16.88	8.92	7.17	6.57	457.25	249.73	18.16	181.28	351.14	11.04	366.09	136.19	234.57	16.15	10.39	217.27	14.89	85.22	29.48	75.11	444.72	40.93	127.89	43.63	43.63	30.34	35.0	43.02	29.27	87.65	22.75	55.89	25.54	17.64	24.81	2.12	30.56	25.17	18.84	54.72	13.03	38.95	9.06	34.51	17.38	46.5	25.72	8.13	29.91	57.89	84.63	18.29	46.84	438.59	38.67	137.14	20.86	42.11	38.12	79.45	403.5	42.71	55.1	26.86	80.57	26.1	76.17	25.35	32.36	85.22	65.72	30.56	74.58	26.1	17.25	45.53	61.25	12.55	17.51	27.84	80.57	76.17	108.9	75.11	31.9	32.59	38.4	208.38	13.32	73.54	43.63	70.01	47.5	25.54	60.82	62.56	90.77	122.64	5.5	24.11	15.68	7.69	368.65	55.89	24.99	112.77	80.01	23.42	35.25	17.13	37.32	44.57	44.57	26.86	24.11	32.82	48.87	8.51	40.36	24.46	27.64
IL2RB	163.28	5.92	21.01	18.84	191.67	45.53	13.42	17.64	571.05	41.52	41.81	153.34	214.27	305.55	22.1	63.0	80.01	10.47	116.78	18.29	212.78	28.45	95.34	11.64	29.91	39.79	10.55	15.22	6.26	420.68	358.54	21.32	277.2	403.5	18.97	264.03	218.79	224.97	17.9	9.85	351.14	12.93	124.37	56.68	127.0	409.15	21.47	127.0	89.51	152.28	28.24	32.36	80.01	98.04	48.87	22.1	223.41	12.55	43.02	41.52	32.82	108.9	123.5	16.03	61.25	21.94	32.59	8.78	36.01	20.86	26.47	13.32	38.12	29.91	137.14	41.22	27.84	34.75	555.41	18.7	87.03	6.41	36.79	69.03	108.9	587.13	120.94	81.71	49.56	115.97	52.82	197.09	20.86	69.03	50.63	28.04	27.25	63.89	32.36	12.55	33.54	145.02	15.8	101.54	21.16	217.27	27.25	138.1	51.35	36.27	67.59	158.79	193.01	10.24	39.22	74.06	50.98	50.63	15.68	53.57	75.11	38.67	104.42	10.55	24.11	14.45	7.57	275.28	72.01	33.78	137.14	112.77	28.24	28.86	13.62	19.39	78.89	69.03	10.47	27.84	58.71	68.07	27.05	22.43	20.11	37.32
IL2RG	642.59	14.67	42.11	57.08	669.92	120.1	51.71	24.46	1721.16	88.26	75.64	518.15	866.07	1008.9	28.24	351.14	397.93	20.11	454.09	70.51	791.35	51.35	616.37	40.64	80.57	51.71	44.57	19.39	18.84	2004.85	1066.48	73.03	884.29	1709.26	49.21	1259.69	825.0	947.83	50.98	40.93	1457.23	52.82	285.03	171.45	728.11	3190.46	57.08	819.3	122.64	457.25	57.08	144.01	289.02	244.57	190.34	63.89	665.29	43.02	56.68	177.53	45.53	209.84	138.1	48.87	389.72	52.82	82.87	31.45	277.2	37.05	64.8	100.13	57.49	74.06	283.05	98.04	33.3	119.26	3039.3	105.15	279.14	79.45	176.29	223.41	403.5	4328.55	244.57	157.68	180.02	361.04	88.26	555.41	60.82	159.9	301.33	153.34	99.43	397.93	71.0	50.63	173.85	555.41	63.45	163.28	81.14	825.0	476.71	473.41	133.36	136.19	84.63	346.29	1066.48	39.5	432.53	199.85	256.78	159.9	48.87	154.42	283.05	132.44	974.5	8.19	49.56	31.22	36.27	3212.66	454.09	148.09	457.25	503.95	60.39	253.23	63.45	64.8	195.72	201.25	77.79	98.73	141.02	301.33	59.13	96.01	29.06	111.21
ITGAL	197.09	11.3	21.47	46.18	218.79	40.07	20.56	18.29	595.34	92.05	39.5	195.72	414.87	507.46	50.63	73.54	88.26	23.42	159.9	37.59	332.14	63.0	136.19	29.48	39.5	37.05	13.62	20.41	11.73	860.08	432.53	55.1	351.14	819.3	18.97	435.55	323.03	420.68	38.67	32.36	633.73	24.28	318.57	49.91	309.83	1350.18	43.32	406.31	50.98	232.94	28.65	54.33	124.37	128.79	51.35	97.36	303.44	23.59	43.94	176.29	23.42	144.01	147.06	26.67	221.86	35.0	54.72	17.51	119.26	20.41	38.12	105.89	12.45	57.08	271.48	95.34	33.54	55.49	1135.2	32.13	244.57	30.56	40.36	195.72	444.72	1277.29	148.09	120.1	104.42	305.55	57.89	202.66	28.65	137.14	86.43	63.45	28.45	271.48	59.97	19.53	65.26	368.65	27.44	107.38	48.18	267.73	77.79	228.13	50.98	57.08	70.51	176.29	329.84	10.88	90.14	127.0	234.57	69.03	17.64	39.22	110.43	90.77	198.47	9.41	22.1	14.67	26.86	1295.13	99.43	59.55	251.48	239.52	37.32	50.98	37.05	27.25	145.02	105.89	23.93	59.13	73.03	186.4	40.07	41.52	32.82	52.45
ITK	96.68	6.62	6.84	11.04	50.98	15.34	5.96	4.74	182.55	16.63	23.93	71.5	132.44	122.64	4.28	28.24	31.45	6.31	45.85	9.78	93.35	10.63	61.68	7.4	8.13	10.31	5.23	4.94	7.22	305.55	166.73	17.51	84.63	316.37	6.41	285.03	145.02	186.4	11.47	7.94	175.07	11.21	28.86	35.5	71.5	253.23	23.08	215.77	23.25	133.36	23.08	18.03	61.68	123.5	21.16	29.91	206.94	12.09	12.09	46.5	11.82	71.5	65.26	18.7	104.42	17.77	18.29	26.1	55.49	4.58	17.0	13.52	7.69	38.4	25.35	9.78	17.13	32.82	368.65	23.08	64.34	20.11	17.13	76.17	76.17	190.34	70.51	36.53	23.59	130.6	27.05	38.95	10.16	39.5	96.68	47.17	37.85	43.63	32.36	7.4	21.78	36.27	7.34	24.81	26.67	66.65	56.68	36.53	46.84	37.32	19.53	44.89	373.81	2.56	16.63	13.62	35.25	50.98	33.54	22.43	65.26	64.34	88.26	5.06	14.56	10.55	3.72	353.59	27.64	12.64	119.26	67.12	19.68	26.67	12.74	4.86	45.85	82.29	19.68	10.71	35.0	33.78	25.54	10.16	8.51	34.26
KLRK1	125.24	8.25	22.75	19.53	164.42	2.48	21.01	13.62	444.72	57.08	30.78	151.22	125.24	248.0	18.16	81.14	127.89	13.62	107.38	28.45	176.29	43.63	155.5	18.29	32.82	9.85	0.0	8.0	5.73	532.74	466.88	36.01	281.09	595.34	17.0	438.59	176.29	232.94	16.51	13.12	339.14	26.28	239.52	120.94	185.11	928.3	86.43	392.44	98.73	189.02	50.98	96.01	141.02	183.82	80.57	68.07	429.54	23.93	38.67	114.36	21.16	161.02	152.28	28.86	83.45	47.5	41.81	14.78	62.56	42.41	158.79	29.91	25.17	45.53	206.94	7.88	33.3	131.51	872.1	37.85	476.71	44.89	32.13	172.65	291.04	497.0	343.89	177.53	63.89	291.04	89.51	128.79	15.56	154.42	262.2	101.54	29.27	312.0	26.47	4.17	120.1	145.02	25.17	88.26	33.78	297.17	105.15	38.67	98.73	26.86	77.25	146.03	1199.98	22.92	127.89	46.18	241.19	28.65	24.11	78.89	125.24	87.65	90.14	14.78	18.7	31.22	12.83	1819.35	69.52	36.53	183.82	217.27	30.78	57.89	18.7	20.11	135.24	389.72	16.88	55.1	158.79	163.28	31.45	25.72	11.38	28.86
LCK	291.04	29.06	27.25	22.26	237.86	87.03	24.81	17.0	642.59	55.1	29.91	185.11	432.53	414.87	16.27	133.36	135.24	14.35	208.38	45.21	392.44	34.26	178.77	24.99	37.59	23.08	25.72	14.67	19.39	1119.56	575.03	34.75	397.93	902.89	27.05	656.11	320.8	529.06	18.97	19.68	830.75	24.28	361.04	53.19	175.07	1119.56	30.12	260.38	50.98	150.17	45.21	73.54	115.16	116.78	61.25	75.11	175.07	37.85	14.89	84.04	13.52	169.07	307.69	18.84	90.77	23.42	50.63	19.11	57.08	25.54	36.01	39.79	50.98	73.03	110.43	20.26	28.86	64.8	1001.93	52.45	303.44	24.11	60.39	150.17	231.32	1259.69	172.65	119.26	63.45	183.82	53.57	251.48	38.95	95.34	201.25	84.04	25.35	214.27	40.36	16.39	131.51	170.25	23.25	83.45	33.06	379.04	66.18	171.45	70.51	48.87	61.68	159.9	314.17	10.96	114.36	126.12	121.79	75.11	32.59	87.03	101.54	73.03	104.42	11.64	54.33	39.22	22.43	866.07	78.89	30.12	249.73	214.27	16.88	78.34	35.0	49.21	59.97	137.14	35.5	39.22	125.24	178.77	50.98	22.92	24.28	35.76
LY9	103.69	1.73	1.97	4.94	40.93	9.27	7.88	1.58	189.02	14.03	7.4	60.39	220.32	151.22	3.89	43.32	27.64	0.96	51.35	7.57	129.69	5.36	45.21	5.11	5.36	3.72	4.21	1.04	1.89	285.03	163.28	7.63	127.89	376.41	4.46	229.72	157.68	185.11	4.28	4.21	244.57	5.82	68.07	20.11	316.37	450.94	11.55	361.04	19.25	64.8	8.38	40.93	38.67	47.17	22.92	52.08	115.97	4.78	3.76	36.27	11.73	30.56	20.11	5.82	108.9	7.75	11.13	9.56	54.72	3.47	7.94	6.73	21.94	13.62	45.85	2.07	2.36	37.85	775.05	18.84	41.81	12.64	8.65	30.34	154.42	389.72	56.28	29.27	8.45	70.01	23.76	80.57	5.73	15.8	46.84	28.04	11.64	51.71	11.3	4.1	14.67	47.84	8.06	20.86	7.63	105.15	169.07	38.4	22.75	24.28	8.45	44.89	392.44	2.78	32.36	18.16	44.57	19.25	14.89	25.35	28.45	19.39	75.11	2.36	9.93	3.26	8.58	277.2	41.22	27.25	41.22	71.0	19.39	11.04	2.58	9.27	28.45	42.71	6.73	4.82	22.26	37.32	13.03	10.63	5.36	20.71
MAP4K1	241.19	17.64	55.1	42.11	255.0	76.71	28.86	33.78	525.39	42.71	33.78	153.34	493.56	389.72	32.13	164.42	126.12	29.91	228.13	51.71	371.22	56.68	205.5	43.32	46.84	25.91	16.03	25.35	21.78	890.44	381.68	43.63	314.17	813.63	22.1	514.56	358.54	373.81	31.0	38.12	591.22	25.72	555.41	80.57	211.31	1794.29	21.94	169.07	37.05	81.71	27.05	106.63	127.89	87.03	94.67	50.98	158.79	37.59	33.3	88.88	24.99	122.64	186.4	61.68	132.44	20.26	41.81	26.86	73.03	19.97	35.0	88.26	10.0	33.3	73.54	44.25	30.78	35.25	1015.93	44.57	194.36	48.18	36.53	173.85	258.57	1447.15	121.79	66.18	66.18	234.57	38.95	314.17	55.89	70.51	202.66	85.22	46.18	108.14	63.45	35.0	46.84	161.02	42.71	50.98	27.84	229.72	60.82	204.07	88.26	33.3	47.84	67.59	332.14	24.81	158.79	88.88	85.82	61.25	52.08	65.26	99.43	85.82	314.17	8.99	55.89	26.86	18.03	693.58	115.97	37.05	202.66	341.51	42.71	54.72	30.12	49.56	79.45	104.42	43.94	42.41	85.82	400.71	44.89	32.13	105.89	41.52
PATL2	37.59	9.48	27.84	23.76	102.97	29.91	26.67	5.77	111.21	26.67	30.34	36.53	119.26	141.02	6.26	38.95	23.08	19.11	40.07	15.45	80.01	18.03	84.04	18.84	23.42	2.56	13.83	18.56	17.0	194.36	67.59	13.12	70.51	208.38	5.36	138.1	55.1	118.43	18.03	13.52	106.63	14.35	53.19	11.47	54.72	277.2	42.11	104.42	21.01	107.38	17.64	70.51	38.67	56.68	16.27	12.45	88.26	21.63	15.91	27.44	13.72	37.59	41.22	31.45	75.11	19.53	27.25	27.25	49.91	8.65	57.49	13.03	28.24	15.11	41.52	23.08	15.34	32.59	248.0	19.39	31.45	23.93	16.39	36.53	82.87	269.6	41.52	21.63	54.72	43.63	42.11	28.45	7.75	35.76	43.32	38.12	17.77	61.68	29.7	21.01	36.79	99.43	8.51	41.22	35.25	108.9	27.05	40.93	16.27	19.39	33.06	37.85	62.12	16.75	44.57	11.91	45.85	22.26	14.89	20.86	33.54	18.97	23.08	13.22	3.41	10.88	14.14	269.6	36.79	37.85	95.34	78.89	54.33	37.59	15.68	23.76	23.42	58.71	42.41	21.94	15.34	34.02	23.42	23.25	27.44	13.93
PCYOX1L	231.32	81.71	76.71	88.88	159.9	107.38	64.8	88.88	146.03	76.17	90.14	155.5	180.02	121.79	78.34	166.73	78.34	85.82	226.54	48.18	151.22	53.95	130.6	84.04	67.59	101.54	142.01	92.05	69.03	181.28	116.78	57.49	111.99	214.27	70.51	199.85	135.24	182.55	70.01	98.73	155.5	105.15	177.53	92.05	149.12	217.27	107.38	162.14	77.25	136.19	82.87	84.63	114.36	182.55	94.01	143.01	130.6	87.03	71.0	121.79	22.59	152.28	112.77	88.88	165.57	77.79	73.54	89.51	104.42	82.87	68.55	59.13	36.79	63.45	139.07	111.99	57.08	126.12	165.57	53.95	163.28	82.87	65.26	144.01	150.17	205.5	163.28	156.59	116.78	143.01	102.25	136.19	77.79	148.09	99.43	151.22	80.57	185.11	96.68	66.65	97.36	244.57	79.45	150.17	63.89	193.01	149.12	125.24	89.51	96.01	84.04	125.24	150.17	69.03	159.9	59.55	185.11	121.79	82.29	71.5	141.02	126.12	90.77	63.89	72.01	45.53	59.55	279.14	98.73	87.03	147.06	190.34	101.54	82.87	73.54	63.89	142.01	77.79	85.82	76.71	92.7	164.42	98.04	66.65	107.38	94.01
PSTPIP1	150.17	19.97	40.07	25.17	220.32	44.25	26.47	4.17	403.5	41.52	41.81	183.82	273.37	423.61	20.86	98.04	226.54	23.76	151.22	53.95	246.28	47.5	163.28	40.07	40.64	24.46	17.25	17.9	17.25	525.39	301.33	43.94	239.52	567.1	20.56	329.84	228.13	239.52	23.93	33.06	444.72	50.98	256.78	61.68	114.36	1378.57	38.4	285.03	26.67	87.03	41.81	59.55	66.18	108.9	105.89	32.36	115.16	22.59	57.08	94.01	7.94	79.45	70.51	43.63	143.01	23.25	69.03	30.56	93.35	24.81	76.71	98.04	17.25	43.32	126.12	51.71	44.57	30.34	647.07	67.59	229.72	36.01	94.01	156.59	140.04	486.75	94.67	57.89	41.81	176.29	48.87	97.36	71.0	82.29	123.5	48.87	101.54	146.03	54.33	34.26	53.57	104.42	83.45	61.68	47.17	198.47	45.85	100.13	30.12	43.94	23.42	80.01	211.31	25.54	172.65	120.1	152.28	60.39	21.16	99.43	44.25	82.87	53.19	12.27	59.55	33.54	17.25	941.27	135.24	21.32	201.25	109.66	24.63	88.26	37.85	63.89	33.06	117.6	39.22	39.22	104.42	187.71	27.64	29.48	30.34	59.13
PTPN22	47.5	5.28	5.87	12.83	45.85	13.52	6.06	3.47	148.09	13.12	10.39	66.18	76.17	96.01	7.11	20.56	25.54	3.03	38.95	7.0	55.89	14.56	44.25	7.88	12.0	7.0	5.02	5.11	3.11	138.1	95.34	8.38	59.13	165.57	4.54	92.7	86.43	85.22	5.87	2.81	67.59	4.78	20.11	8.45	30.12	165.57	26.28	68.55	10.31	25.72	8.58	16.27	35.76	38.4	24.46	10.71	126.12	9.93	5.5	18.84	9.56	21.63	30.34	12.27	22.92	15.11	11.64	7.88	18.43	10.63	5.36	8.65	9.34	9.48	15.34	14.89	7.63	11.64	150.17	24.28	24.28	8.45	23.42	20.71	34.26	91.41	34.51	17.13	14.35	38.12	21.01	29.06	9.63	10.0	71.5	17.25	14.35	19.68	16.63	12.83	13.72	56.68	2.58	8.06	9.41	40.93	32.59	32.36	22.92	7.34	9.34	22.92	255.0	3.92	29.48	11.82	19.97	10.31	6.94	13.83	55.1	18.29	30.78	2.2	13.03	5.23	10.79	166.73	48.52	8.45	73.03	42.11	7.4	29.7	7.75	8.0	19.97	98.73	7.11	5.45	21.32	10.16	5.5	5.63	4.82	16.75
PTPN7	132.44	7.11	8.32	13.62	178.77	49.56	14.03	4.06	460.44	33.54	19.68	148.09	256.78	279.14	9.27	80.57	76.71	3.96	129.69	14.35	239.52	19.97	122.64	17.38	29.91	13.32	7.28	5.36	10.63	583.07	283.05	17.77	215.77	473.41	12.0	358.54	176.29	295.11	10.88	10.63	356.05	15.0	108.9	26.1	105.89	848.22	14.67	138.1	12.0	92.05	20.26	40.36	48.87	36.79	44.89	20.56	135.24	23.08	15.68	29.48	13.42	63.89	23.08	11.82	72.01	14.78	21.16	2.41	40.93	22.26	25.35	57.08	20.41	31.67	85.82	21.16	19.68	13.12	703.28	41.52	171.45	9.2	55.1	39.5	124.37	1104.13	28.04	30.12	27.84	84.63	26.47	162.14	14.89	43.94	58.3	37.05	22.43	50.63	9.63	10.88	47.84	143.01	13.03	47.5	15.68	241.19	43.94	129.69	50.63	20.11	10.63	80.57	177.53	11.47	106.63	78.89	39.22	42.11	19.68	45.53	72.52	26.47	102.97	4.28	37.32	10.0	5.28	309.83	68.55	22.92	214.27	102.25	24.81	77.79	20.56	16.39	29.91	67.12	15.8	35.0	74.06	72.01	10.96	11.47	17.25	32.82
PTPRC	571.05	34.51	40.93	107.38	285.03	79.45	31.67	18.03	1135.2	113.56	100.13	454.09	967.76	698.41	37.05	165.57	139.07	25.91	265.87	81.71	511.0	91.41	258.57	59.97	70.01	58.3	20.26	24.99	28.86	1819.35	1008.9	73.03	674.59	1674.06	43.32	1167.14	825.0	915.51	46.18	29.91	872.1	30.34	239.52	96.68	368.65	1769.57	68.55	616.37	73.03	540.19	80.57	195.72	305.55	262.2	246.28	111.21	934.76	96.68	89.51	265.87	59.97	189.02	205.5	92.05	255.0	75.11	108.9	53.19	126.12	42.41	57.89	106.63	105.15	74.06	231.32	61.68	87.65	98.04	1721.16	130.6	348.71	42.71	175.07	194.36	199.85	1350.18	432.53	139.07	173.85	587.13	76.71	289.02	67.12	162.14	733.19	159.9	129.69	591.22	63.45	103.69	102.25	251.48	17.0	100.13	108.14	249.73	159.9	403.5	135.24	92.7	90.77	209.84	1551.09	11.64	214.27	134.3	211.31	183.82	94.01	149.12	299.25	151.22	450.94	23.42	51.35	12.27	37.59	1733.13	237.86	45.85	466.88	314.17	49.21	218.79	60.82	134.3	251.48	511.0	71.5	209.84	209.84	108.9	56.68	53.57	57.89	144.01
