	TCGA.A2.A25F.01A.11R.A169.07	TCGA.B6.A0RT.01A.21R.A084.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.W5.AA2R.11A.11R.A41I.07	TCGA.LN.A5U7.01A.11R.A31P.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	GTEX.11DXX.1226.SM.5GICD	GTEX.PWOO.1026.SM.48TCN	GTEX.12WSL.1326.SM.5LZVW	GTEX.ZZ64.0326.SM.5E45S	GTEX.Z9EW.0626.SM.5HL95	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.BC.A10T.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.6145.11A.01R.1858.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.39.5040.01A.21R.2125.07	TCGA.43.6771.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07	TCGA.HU.8602.01A.11R.2402.13
HSD11B1	1242.34	309.83	13.62	13492.72	9344.14	11745.96	12.45	12.45	384.34	389.72	327.56	146.03	234.57	91.41	107.38	2061.24	23169.48	583.07	12244.81	12244.81	20170.07	16611.71	8840.04	10659.59	14461.21	13586.57	25005.23	90773.53	112532.89	8247.98	5555.65	4328.55	79022.82	1081.39	34158.52	5517.27	116501.39	16843.62	90773.53	18560.17	30361.44	4903.87	126606.21	28132.47	7966.99	52863.07	11424.74	12943.04	3325.99	70727.3	10084.54	41188.81	25179.16	19892.37	35118.87	6745.86	13492.72	20030.74	23009.42	0.0	0.75	303.44	595.34	87.03	346.29	503.95	147.06
HSD17B8	164.42	214.27	297.17	2133.97	1745.2	1437.15	193.01	193.01	101.54	120.1	94.67	121.79	151.22	1350.18	497.0	417.77	1806.78	2209.26	1674.06	2032.85	1950.0	1721.16	1457.23	1487.87	2104.58	1745.2	2537.92	3018.3	4095.0	2255.7	2664.15	2451.44	4481.23	1685.71	3212.66	3103.19	4802.93	1909.85	3325.99	3039.3	3018.3	3081.75	4937.99	2997.45	2468.49	3443.31	2400.97	3955.48	1457.23	3540.14	1769.57	3874.05	2777.33	2855.44	2090.03	2875.3	2720.15	2468.49	1685.71	0.0	0.28	555.41	384.34	59.97	447.82	579.04	129.69
KLKB1	5.06	17.64	1.69	4123.49	2796.65	3589.58	0.0	0.0	14.67	21.94	25.72	20.41	19.97	170.25	450.94	647.07	995.0	1572.76	2935.74	3103.19	3540.14	4066.71	2075.59	2777.33	2835.7	2434.5	3639.7	3039.3	8963.45	4512.4	6164.49	8718.32	6699.25	6516.03	5329.3	6561.36	8247.98	3982.99	4802.93	3039.3	6652.97	11345.82	11664.82	6426.31	7032.37	13033.07	9279.58	6935.54	2835.7	8078.22	3982.99	6983.79	4123.49	10296.45	5954.47	1191.69	7180.15	9344.14	595.34	0.0	0.28	13.93	11.91	1.51	10.39	5.36	1.11
LDHD	41.52	38.12	4.94	3280.18	3349.13	2816.11	30.56	30.56	60.39	46.84	42.41	162.14	189.02	1594.73	297.17	199.85	1709.26	348.71	2664.15	2835.7	2976.74	4268.94	1794.29	2061.24	2855.44	2520.38	3665.02	5995.9	5441.3	4268.94	3955.48	5147.73	17558.94	4869.99	4358.66	13492.72	9740.98	2537.92	7230.1	5594.3	10659.59	7433.4	14765.09	7280.4	6079.61	8901.53	4769.75	7749.1	3168.41	10585.95	2816.11	9215.48	6652.97	4358.66	5594.3	4607.24	5555.65	4210.15	3395.89	0.0	0.32	223.41	63.0	10.08	138.1	111.21	43.32
LRRC29	42.11	62.12	22.43	84.63	112.77	110.43	39.5	39.5	30.34	91.41	40.64	40.93	72.52	39.5	46.18	24.11	73.03	51.71	62.12	92.05	111.99	104.42	84.63	77.25	80.57	63.0	68.07	81.14	89.51	96.68	95.34	115.16	91.41	129.69	73.03	153.34	105.15	105.89	94.01	128.79	199.85	167.9	69.52	69.52	123.5	136.19	76.71	118.43	111.99	78.89	85.22	113.56	50.98	88.88	104.42	53.95	116.78	108.14	165.57	0.0	0.3	85.82	85.82	27.44	74.58	58.3	21.32
MASP2	11.04	21.01	3.44	10808.41	9740.98	8538.88	6.67	6.67	38.12	43.63	57.08	63.89	57.49	4268.94	4575.41	780.44	14765.09	156.59	12589.08	13681.08	15285.81	13776.25	7749.1	6037.61	11909.94	8658.09	14971.21	9344.14	23330.64	8247.98	7911.95	2240.11	13681.08	16496.96	34635.37	22072.07	42641.37	2645.74	27938.14	59474.18	18431.96	8840.04	134755.94	10368.08	9808.75	48643.87	12160.22	27553.49	52863.07	20030.74	2720.15	40621.74	77934.88	5479.15	14065.74	1769.57	12329.98	9606.86	32994.92	0.0	0.25	16.63	10.63	12.18	21.94	14.14	10.96
MGST2	1143.1	819.3	563.18	7180.15	6121.9	5517.27	995.0	995.0	1008.9	928.3	723.08	669.92	1104.13	4239.45	2303.12	3303.0	8191.0	3716.2	5954.47	7130.55	7695.57	7032.37	5831.91	6516.03	6426.31	5995.9	6935.54	9025.81	15392.14	3491.39	5954.47	6516.03	11112.3	6164.49	7537.18	6652.97	11909.94	6745.86	5594.3	11267.44	7130.55	7695.57	12076.21	9088.59	7433.4	11827.67	7749.1	6887.62	10014.87	11504.21	5147.73	7537.18	7695.57	10296.45	11664.82	3794.3	7857.29	10296.45	4736.79	0.0	0.52	1437.15	1417.35	221.86	1242.34	1359.57	848.22
MRPL40	796.86	896.64	819.3	1857.6	1477.58	1175.27	791.35	791.35	642.59	785.88	483.38	476.71	733.19	1167.14	1167.14	915.51	2104.58	1561.89	1857.6	1950.0	2148.82	1857.6	1467.37	1617.0	1936.53	1733.13	1909.85	2271.4	2976.74	1233.75	1340.84	1617.0	2400.97	1250.98	1407.55	1233.75	2835.7	1819.35	1685.71	1883.54	1757.34	1651.0	2255.7	2004.85	1721.16	2209.26	1175.27	1605.83	2240.11	2319.15	1769.57	1594.73	1936.53	1617.0	2178.83	1896.65	1407.55	1397.83	2148.82	0.0	0.27	723.08	796.86	457.25	555.41	656.11	651.58
MRPS31	457.25	575.03	269.6	575.03	551.56	624.99	497.0	497.0	327.56	493.56	351.14	229.72	371.22	599.49	638.15	242.88	642.59	547.75	500.46	575.03	503.95	575.03	595.34	536.45	629.35	409.15	460.44	629.35	483.38	551.56	813.63	825.0	518.15	1023.0	848.22	633.73	743.43	559.28	723.08	836.53	525.39	780.44	466.88	579.04	1051.79	583.07	775.05	511.0	785.88	928.3	612.11	514.56	629.35	559.28	967.76	441.64	842.36	612.11	532.74	0.0	0.09	376.41	429.54	318.57	206.94	267.73	295.11
MSRB2	638.15	595.34	743.43	2032.85	1909.85	1685.71	323.03	323.03	872.1	1457.23	813.63	775.05	1199.98	1844.76	1857.6	896.64	2520.38	1950.0	2303.12	2075.59	2520.38	2255.7	2240.11	2209.26	2104.58	2502.97	2193.99	2367.9	3372.43	3190.46	2573.36	3103.19	3928.15	2502.97	2816.11	2682.69	3540.14	2555.58	2816.11	3124.78	2835.7	2627.46	2875.3	2796.65	3614.55	3039.3	2627.46	2956.17	2855.44	4607.24	2075.59	3491.39	2976.74	2591.27	3395.89	2090.03	3349.13	2591.27	1769.57	0.0	0.61	796.86	961.07	353.59	633.73	764.36	172.65
NDUFC1	2537.92	2240.11	1447.15	5076.84	4152.18	3794.3	1923.14	1923.14	2451.44	2367.9	1350.18	2133.97	2976.74	4181.07	3124.78	2682.69	5403.7	3039.3	4769.75	5672.41	5255.91	4512.4	5594.3	5594.3	4802.93	5403.7	5183.54	5594.3	8134.41	2520.38	3901.01	3928.15	5913.33	4210.15	6164.49	3928.15	7382.04	4038.61	4038.61	6337.83	3614.55	5711.87	7032.37	3874.05	6840.04	5292.48	3955.48	4010.71	7857.29	7180.15	3928.15	4937.99	6337.83	6426.31	5995.9	3190.46	3901.01	5995.9	6121.9	0.0	0.78	2855.44	2682.69	1295.13	2133.97	2739.08	2148.82
NQO2	974.5	521.76	543.96	1008.9	2855.44	2502.97	624.99	624.99	1397.83	638.15	684.02	915.51	1023.0	629.35	3443.31	2502.97	2956.17	1745.2	1857.6	1242.34	2351.53	2777.33	2555.58	2004.85	2573.36	2104.58	3467.27	2400.97	3018.3	3018.3	4836.35	1923.14	4836.35	2384.37	7032.37	3212.66	8363.13	3690.52	2855.44	1051.79	5954.47	4903.87	6250.56	2835.7	7485.11	3257.52	4903.87	1909.85	2777.33	16383.0	4903.87	6079.61	1857.6	4704.07	2520.38	2417.67	4010.71	6561.36	1242.34	0.0	0.6	954.43	651.58	563.18	890.44	1008.9	656.11
NUDT6	100.83	66.18	17.38	397.93	438.59	379.04	57.49	57.49	104.42	70.51	37.32	63.0	61.68	170.25	223.41	63.45	204.07	127.0	339.14	595.34	334.46	567.1	400.71	279.14	493.56	423.61	450.94	656.11	848.22	743.43	1104.13	860.08	896.64	743.43	703.28	665.29	1242.34	441.64	743.43	1023.0	866.07	848.22	624.99	769.69	890.44	718.08	921.88	587.13	447.82	785.88	457.25	529.06	555.41	915.51	1313.23	316.37	785.88	934.76	303.44	0.0	0.07	79.45	108.14	42.11	40.36	27.44	117.6
NUDT8	127.0	493.56	376.41	529.06	1467.37	921.88	239.52	239.52	132.44	98.04	80.57	64.8	92.7	211.31	134.3	603.67	1044.52	651.58	518.15	981.29	1059.11	647.07	457.25	470.14	1447.15	759.08	1119.56	1259.69	1407.55	2148.82	1639.59	738.29	1417.35	748.61	1359.57	791.35	1417.35	872.1	1104.13	1081.39	785.88	2287.2	1794.29	1561.89	1583.71	808.0	866.07	921.88	866.07	1066.48	775.05	836.53	947.83	928.3	1259.69	1844.76	2133.97	1369.04	684.02	0.0	0.39	197.09	206.94	115.16	123.5	140.04	540.19
OCIAD2	1447.15	1697.45	1477.58	5219.6	3168.41	4210.15	595.34	595.34	674.59	285.03	376.41	420.68	406.31	79.45	708.18	2875.3	3820.7	57.89	4639.29	4268.94	4802.93	4512.4	3690.52	5403.7	4607.24	4210.15	4512.4	6607.01	9409.14	1936.53	2777.33	3589.58	9279.58	1857.6	4903.87	4239.45	11745.96	2875.3	4736.79	7695.57	3982.99	6516.03	15180.22	10733.74	5995.9	9409.14	10296.45	2468.49	5006.93	4095.0	1572.76	3564.78	3467.27	12415.75	8538.88	2133.97	2915.45	10368.08	2895.31	0.0	0.52	1359.57	1662.49	769.69	808.0	848.22	1769.57
OSGIN1	63.0	62.56	81.71	1991.0	3018.3	2209.26	543.96	543.96	543.96	314.17	988.12	318.57	214.27	1250.98	1350.18	579.04	2875.3	1508.65	967.76	1794.29	2271.4	1628.26	1407.55	1369.04	1286.18	1030.12	1605.83	2645.74	3168.41	8022.41	3103.19	4038.61	7382.04	6561.36	5594.3	9409.14	1896.65	1697.45	1457.23	4419.52	4836.35	3060.45	10659.59	15285.81	24660.96	7230.1	7382.04	7749.1	1268.46	5872.48	878.17	4066.71	3372.43	3491.39	5954.47	684.02	3639.7	5872.48	3419.52	0.0	0.69	420.68	116.78	36.53	392.44	400.71	34.26
PCK2	723.08	571.05	595.34	10154.69	10154.69	8538.88	353.59	353.59	299.25	248.0	246.28	351.14	371.22	1286.18	1268.46	769.69	9808.75	3614.55	10084.54	10959.3	10883.59	12076.21	6745.86	8479.89	12076.21	10733.74	16727.26	29327.18	35118.87	20451.65	20451.65	38164.99	81809.59	15824.9	20310.37	38430.46	37121.34	23656.34	27553.49	16960.78	28525.2	25887.07	48307.85	43840.21	35118.87	35609.13	22850.48	32315.87	6037.61	38697.77	21768.19	29736.59	18560.17	17681.08	34158.52	25887.07	30999.42	23820.89	5913.33	0.0	0.0	703.28	567.1	237.86	713.11	579.04	603.67
PIPOX	90.14	14.14	4.54	7382.04	5366.37	6745.86	6.78	6.78	26.67	27.64	23.08	33.54	23.76	872.1	1857.6	1183.45	3443.31	2875.3	5751.61	7642.41	6983.79	6699.25	5112.16	5006.93	7966.99	5751.61	8247.98	10659.59	18431.96	12943.04	11112.3	12943.04	19348.38	10296.45	15392.14	17317.18	16727.26	16045.82	10154.69	7130.55	13872.08	16611.71	14163.58	23820.89	13215.02	19214.73	13968.57	15285.81	3768.09	18819.27	12076.21	14561.8	8658.09	18431.96	12502.12	6037.61	15180.22	14765.09	1844.76	0.0	0.17	38.67	33.06	8.78	23.76	17.51	7.06
QPRT	67.59	211.31	20.71	5041.77	5995.9	4575.41	23.08	23.08	63.89	108.9	50.98	39.22	71.5	7230.1	3874.05	2271.4	5292.48	1477.58	4268.94	4769.75	4802.93	7180.15	3820.7	3146.52	5555.65	3665.02	6561.36	6250.56	11267.44	8134.41	11035.54	5711.87	13215.02	9025.81	7331.05	10368.08	12160.22	3212.66	5329.3	8134.41	9279.58	7280.4	12502.12	10808.41	9344.14	9344.14	6079.61	8078.22	6250.56	9088.59	2855.44	9673.69	8134.41	7537.18	7911.95	6516.03	5633.22	5366.37	4181.07	1407.55	329.84	358.54	314.17	961.07	244.57	271.48	27.64
RTP3	0.0	0.34	0.0	387.02	825.0	273.37	4.5	4.5	1.23	0.0	0.0	0.0	0.0	4.28	3.86	157.68	1378.57	139.07	314.17	1551.09	728.11	1242.34	536.45	332.14	1388.16	397.93	1427.22	620.67	1233.75	4836.35	4419.52	1794.29	5041.77	1844.76	2664.15	4419.52	791.35	1909.85	1857.6	1143.1	1135.2	1216.75	4298.64	4419.52	10154.69	2163.77	2758.13	1388.16	1081.39	9673.69	665.29	4298.64	366.09	2645.74	2351.53	107.38	7032.37	5366.37	12.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SARDH	108.9	82.29	15.56	2956.17	2645.74	2485.67	1.66	1.66	15.45	24.81	16.88	4.24	9.56	878.17	743.43	371.22	1561.89	620.67	2520.38	2682.69	2875.3	2319.15	1709.26	1529.73	1950.0	2609.3	3081.75	4298.64	6471.02	1733.13	2319.15	5913.33	6887.62	4450.27	4181.07	6037.61	5292.48	2502.97	2855.44	4038.61	5954.47	5954.47	4481.23	6294.04	4010.71	7230.1	4239.45	4671.57	2351.53	4575.41	3039.3	5006.93	2956.17	2645.74	3280.18	3768.09	4328.55	4123.49	1529.73	0.0	0.34	35.76	132.44	12.45	44.25	59.97	29.27
SEPT4	260.38	409.15	171.45	738.29	1277.29	665.29	71.0	71.0	450.94	406.31	486.75	289.02	329.84	341.51	98.04	209.84	961.07	373.81	842.36	540.19	708.18	785.88	769.69	660.68	1030.12	693.58	563.18	2303.12	1295.13	1331.57	1304.15	3589.58	647.07	2335.28	2915.45	915.51	5292.48	2255.7	616.37	1268.46	981.29	1417.35	1477.58	4152.18	2573.36	1388.16	2090.03	1909.85	974.5	1199.98	2573.36	1259.69	1167.14	1277.29	3419.52	733.19	2520.38	1617.0	395.18	0.0	0.42	571.05	397.93	102.97	915.51	808.0	74.06
SHF	74.06	91.41	29.48	967.76	796.86	543.96	47.5	47.5	138.1	147.06	182.55	126.12	231.32	197.09	403.5	165.57	493.56	88.26	503.95	1151.06	878.17	1104.13	466.88	583.07	764.36	651.58	638.15	1088.92	547.75	915.51	536.45	1199.98	1286.18	1477.58	438.59	1685.71	420.68	1508.65	353.59	1950.0	1359.57	1594.73	1259.69	529.06	813.63	2133.97	669.92	1199.98	909.17	769.69	1233.75	915.51	1015.93	514.56	490.14	1096.5	1617.0	1051.79	1733.13	0.0	0.56	86.43	101.54	166.73	128.79	94.67	7.28
SLC10A1	1.41	0.65	0.31	6037.61	3820.7	4543.8	0.0	0.0	0.52	3.76	0.0	3.17	1.81	12.18	2.48	8.0	3665.02	183.82	4836.35	4802.93	4736.79	3874.05	3589.58	3665.02	5112.16	5147.73	6745.86	19482.97	41475.31	12589.08	15285.81	25708.25	47974.16	9279.58	17197.56	13872.08	47642.77	17927.91	17804.06	15824.9	16960.78	23820.89	31432.17	28723.62	18950.18	38430.46	16843.62	18304.63	3874.05	38697.77	11745.96	17197.56	15499.21	23009.42	38164.99	8718.32	15934.98	25005.23	503.95	0.0	0.0	1.51	0.37	41.52	1.1	0.73	0.0
SLC17A1	0.0	0.0	0.27	521.76	403.5	368.65	0.0	0.0	0.0	1.25	0.0	0.0	0.0	309.83	239.52	285.03	165.57	75.64	242.88	191.67	397.93	285.03	150.17	264.03	312.0	295.11	764.36	432.53	417.77	208.38	928.3	395.18	547.75	563.18	438.59	902.89	1896.65	176.29	708.18	607.87	329.84	2875.3	2090.03	884.29	2485.67	974.5	1151.06	356.05	187.71	1199.98	205.5	633.73	1870.53	884.29	1883.54	813.63	1199.98	1233.75	1233.75	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0
SLC17A3	1.07	1.31	3.0	371.22	463.65	336.79	0.0	0.0	0.0	1.13	0.0	0.0	0.0	7.51	186.4	73.03	647.07	80.57	285.03	376.41	358.54	708.18	201.25	244.57	457.25	368.65	764.36	872.1	1066.48	172.65	454.09	759.08	1119.56	607.87	236.21	1963.57	1617.0	253.23	476.71	2032.85	540.19	3103.19	1870.53	1030.12	1233.75	1008.9	1487.87	1127.35	211.31	1233.75	366.09	775.05	928.3	1277.29	1781.89	332.14	743.43	961.07	2193.99	0.0	0.01	5.87	0.77	1.35	3.79	0.39	0.0
SLC27A5	157.68	275.28	158.79	32315.87	31650.8	25179.16	72.52	72.52	429.54	457.25	295.11	106.63	137.14	2104.58	470.14	460.44	23169.48	1008.9	36610.26	28723.62	42641.37	35118.87	23820.89	31650.8	22535.88	29943.43	48982.22	65535.0	109455.64	82951.62	73221.53	107203.06	217400.14	114103.8	59063.35	172949.54	93325.55	65535.0	79022.82	57051.4	177811.84	92680.9	143430.26	100719.65	94628.34	126606.21	72213.45	119776.72	27363.16	51062.33	65082.31	102836.01	65082.31	46339.95	95949.32	53601.03	115696.65	95949.32	16383.0	0.0	0.52	212.78	201.25	57.49	139.07	148.09	567.1
SMDT1	1685.71	1806.78	1340.84	4010.71	3018.3	2240.11	1073.91	1073.91	2682.69	2664.15	1709.26	1923.14	3794.3	2133.97	1397.83	1950.0	4123.49	1923.14	3820.7	3124.78	4095.0	3874.05	2417.67	2855.44	3372.43	2701.35	3794.3	4181.07	4298.64	3235.01	2720.15	4419.52	6207.38	2163.77	3303.0	2351.53	4607.24	2682.69	3467.27	3060.45	2720.15	4066.71	5751.61	4010.71	3124.78	4419.52	2451.44	3515.68	3467.27	2075.59	1977.24	2816.11	2777.33	2682.69	3146.52	2335.28	2075.59	3372.43	3955.48	2287.2	283.05	2271.4	2075.59	848.22	1896.65	2209.26	1096.5
TMEM219	2400.97	2664.15	1909.85	3564.78	5255.91	2739.08	1044.52	1044.52	2004.85	1832.01	1639.59	1781.89	2367.9	2758.13	2075.59	2178.83	3614.55	1909.85	4038.61	3303.0	4575.41	3665.02	4419.52	2739.08	4123.49	2997.45	4298.64	3928.15	5403.7	4937.99	4512.4	4836.35	4903.87	5183.54	3955.48	4802.93	7966.99	4704.07	4736.79	4836.35	5329.3	5041.77	4239.45	4671.57	5041.77	4181.07	4095.0	4972.34	4639.29	5441.3	3639.7	3716.2	2976.74	3847.29	4543.8	3212.66	4152.18	4671.57	4152.18	4095.0	934.76	4152.18	3794.3	1467.37	3540.14	3491.39	2351.53
TPMT	409.15	432.53	194.36	884.29	854.13	1127.35	154.42	154.42	176.29	155.5	132.44	107.38	124.37	336.79	303.44	607.87	915.51	1175.27	698.41	902.89	759.08	947.83	921.88	830.75	1073.91	967.76	842.36	1331.57	1066.48	934.76	1199.98	995.0	1519.15	967.76	1417.35	915.51	988.12	1044.52	718.08	1044.52	1051.79	954.43	1250.98	1037.29	1199.98	1167.14	1519.15	1167.14	1066.48	1008.9	967.76	796.86	551.56	1498.22	848.22	518.15	1008.9	1286.18	802.41	0.0	0.33	234.57	273.37	255.0	221.86	221.86	348.71
TST	379.04	642.59	775.05	10883.59	14065.74	10659.59	470.14	470.14	379.04	503.95	660.68	543.96	759.08	4671.57	4704.07	4095.0	11664.82	4512.4	13681.08	16157.44	13306.94	14867.79	10440.2	9673.69	12502.12	9025.81	15824.9	14663.09	24832.5	10733.74	16843.62	12076.21	26248.46	12764.83	17437.64	21768.19	26614.89	12764.83	9344.14	18431.96	17317.18	13306.94	21172.91	17437.64	15392.14	23986.58	18689.27	14262.1	16383.0	57051.4	10659.59	32994.92	19214.73	17681.08	14163.58	12329.98	13872.08	11992.79	7803.01	0.0	0.0	1167.14	967.76	327.56	638.15	836.53	400.71
UPB1	6.52	9.85	2.34	5479.15	4450.27	4769.75	1.48	1.48	1.93	6.01	1.57	8.58	6.62	13.52	1096.5	1950.0	3639.7	2555.58	3419.52	4419.52	3742.05	7695.57	3190.46	4639.29	4769.75	4671.57	5555.65	7537.18	20451.65	45386.27	10368.08	32540.65	39510.91	17078.76	8718.32	59063.35	32315.87	5366.37	27363.16	4388.98	40341.14	17681.08	32092.64	82378.63	18819.27	18560.17	25179.16	63302.6	4268.94	11112.3	7485.11	17804.06	12244.81	13306.94	54349.29	3515.68	17681.08	33688.23	684.02	0.0	0.28	22.26	12.27	6.46	9.06	11.13	7.22
ZCCHC6	518.15	466.88	181.28	1143.1	679.29	536.45	389.72	389.72	221.86	264.03	379.04	285.03	403.5	114.36	163.28	403.5	323.03	260.38	323.03	466.88	866.07	473.41	665.29	323.03	493.56	387.02	414.87	384.34	529.06	218.79	417.77	1583.71	547.75	1104.13	392.44	2645.74	476.71	579.04	1044.52	432.53	1457.23	1073.91	1151.06	571.05	708.18	624.99	599.49	988.12	356.05	470.14	392.44	878.17	603.67	854.13	1175.27	497.0	915.51	521.76	320.8	190.34	172.65	307.69	507.46	525.39	258.57	363.56	316.37
ZNHIT1	1295.13	1477.58	1268.46	4836.35	4769.75	3690.52	1407.55	1407.55	1259.69	1594.73	974.5	961.07	1340.84	4607.24	2104.58	2209.26	8191.0	2193.99	5255.91	4639.29	6426.31	4181.07	3614.55	4903.87	6935.54	3820.7	5711.87	6561.36	6699.25	4736.79	4152.18	6840.04	6337.83	5594.3	6699.25	6079.61	6037.61	6381.92	7433.4	6983.79	6121.9	5751.61	7081.29	6983.79	6745.86	5872.48	5219.6	5954.47	6250.56	6935.54	3928.15	7695.57	4836.35	4607.24	5076.84	4450.27	5041.77	6079.61	6381.92	0.0	0.85	1457.23	1508.65	1143.1	1059.11	1457.23	1242.34
