	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	GTEX.117YW.2026.SM.5N9BH	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.BP.5009.01A.01R.1334.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5697.11A.01R.1541.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.11GSP.0626.SM.5986T	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.Q2AG.1126.SM.48U1P	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.SJXC.1226.SM.4DM78	GTEX.1269C.0626.SM.5FQSS	GTEX.XBEC.1526.SM.4AT68	GTEX.13QJC.0726.SM.5RQJK	GTEX.11DXY.0526.SM.5EGGQ	GTEX.RN64.1826.SM.48FDV	GTEX.13O3O.1826.SM.5IFGW	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.111VG.0526.SM.5N9BW
HNRNPLL	223.41	209.84	500.46	403.5	490.14	332.14	305.55	305.55	363.56	251.48	371.22	575.03	493.56	392.44	358.54	329.84	420.68	454.09	457.25	412.0	450.94	417.77	450.94	417.77	438.59	412.0	555.41	575.03	361.04	262.2	264.03	366.09	125.24	107.38	195.72	102.25	167.9	177.53	117.6	115.97	176.29	131.51	134.3	134.3	107.38	253.23	103.69	172.65	128.79	113.56	142.01	204.07	149.12	595.34	363.56	525.39
HSPA13	127.89	91.41	297.17	120.1	206.94	339.14	251.48	429.54	318.57	293.07	334.46	583.07	361.04	209.84	703.28	551.56	406.31	599.49	400.71	511.0	339.14	470.14	480.04	493.56	454.09	409.15	656.11	559.28	262.2	181.28	197.09	314.17	120.94	76.71	147.06	103.69	85.22	135.24	162.14	115.97	182.55	57.08	88.88	52.45	55.49	371.22	75.64	135.24	75.64	52.08	143.01	52.08	149.12	217.27	208.38	198.47
IPO8	312.0	281.09	400.71	392.44	384.34	511.0	368.65	718.08	555.41	603.67	638.15	733.19	759.08	470.14	480.04	551.56	842.36	728.11	693.58	848.22	723.08	669.92	854.13	743.43	591.22	808.0	813.63	854.13	599.49	303.44	438.59	688.78	256.78	187.71	329.84	299.25	332.14	218.79	234.57	231.32	400.71	295.11	244.57	256.78	289.02	400.71	177.53	271.48	244.57	237.86	255.0	232.94	316.37	293.07	293.07	447.82
KBTBD6	62.12	41.81	88.88	57.49	85.22	27.84	15.8	52.45	30.34	36.53	120.94	95.34	159.9	130.6	96.01	85.82	217.27	136.19	123.5	167.9	166.73	147.06	167.9	172.65	156.59	186.4	177.53	158.79	163.28	52.45	34.75	158.79	53.95	22.92	58.3	74.58	67.12	23.08	74.06	46.18	115.97	61.68	52.82	32.82	58.3	98.73	45.85	86.43	49.21	59.55	27.44	68.55	77.25	66.18	79.45	88.26
KCMF1	521.76	457.25	743.43	603.67	454.09	860.08	728.11	343.89	454.09	400.71	536.45	599.49	642.59	607.87	500.46	866.07	830.75	848.22	791.35	884.29	753.83	785.88	825.0	813.63	866.07	819.3	988.12	896.64	579.04	651.58	595.34	543.96	373.81	409.15	507.46	371.22	429.54	366.09	309.83	381.68	341.51	303.44	406.31	392.44	297.17	387.02	314.17	435.55	511.0	336.79	356.05	571.05	395.18	915.51	1208.34	470.14
KIAA1919	29.48	16.88	34.51	23.76	29.27	22.26	13.93	14.24	11.38	7.17	63.0	48.87	33.3	27.84	17.9	92.05	41.52	44.89	65.72	38.12	61.25	40.36	69.52	49.91	55.1	48.52	71.0	56.28	44.25	58.3	110.43	44.89	21.16	19.68	31.67	16.63	29.27	20.86	27.25	22.1	17.13	18.56	22.1	18.7	19.39	19.68	25.72	38.4	15.8	29.06	15.34	20.41	30.12	62.56	35.25	37.85
KPNA3	314.17	228.13	397.93	273.37	279.14	198.47	102.25	122.64	155.5	108.14	253.23	351.14	305.55	239.52	368.65	285.03	376.41	381.68	358.54	395.18	320.8	309.83	392.44	381.68	376.41	334.46	444.72	420.68	241.19	229.72	209.84	248.0	232.94	108.14	291.04	130.6	236.21	265.87	204.07	178.77	293.07	159.9	215.77	131.51	152.28	441.64	221.86	295.11	271.48	113.56	214.27	198.47	412.0	387.02	273.37	323.03
LCORL	76.71	60.39	90.14	79.45	72.01	68.55	65.72	87.03	124.37	102.97	157.68	158.79	155.5	130.6	96.68	86.43	167.9	132.44	156.59	149.12	120.94	127.89	138.1	161.02	152.28	127.89	171.45	162.14	89.51	73.03	61.25	87.65	62.56	27.84	67.12	22.1	60.82	57.08	26.28	36.27	72.52	90.14	77.25	64.34	31.67	68.07	57.89	108.14	32.59	73.54	13.93	115.97	70.01	158.79	111.21	84.63
LRRC58	125.24	88.26	265.87	99.43	199.85	115.97	151.22	218.79	237.86	190.34	392.44	323.03	409.15	269.6	153.34	223.41	483.38	353.59	361.04	356.05	287.01	397.93	476.71	395.18	318.57	368.65	444.72	403.5	221.86	159.9	220.32	279.14	86.43	28.86	117.6	92.05	103.69	87.03	102.97	74.58	141.02	180.02	134.3	80.57	109.66	123.5	50.98	267.73	145.02	149.12	54.33	132.44	193.01	194.36	190.34	237.86
LYSMD3	255.0	153.34	269.6	185.11	221.86	248.0	242.88	187.71	373.81	239.52	327.56	563.18	500.46	167.9	660.68	291.04	316.37	327.56	305.55	346.29	281.09	312.0	395.18	339.14	348.71	303.44	395.18	381.68	206.94	129.69	124.37	234.57	214.27	81.71	163.28	199.85	209.84	202.66	327.56	195.72	334.46	154.42	176.29	158.79	115.97	438.59	150.17	277.2	156.59	211.31	139.07	162.14	368.65	262.2	197.09	249.73
MAP2K4	275.28	228.13	409.15	237.86	226.54	239.52	105.89	190.34	145.02	135.24	267.73	348.71	426.57	327.56	450.94	314.17	435.55	376.41	414.87	426.57	397.93	406.31	463.65	480.04	417.77	387.02	493.56	470.14	348.71	255.0	438.59	351.14	183.82	175.07	281.09	267.73	336.79	295.11	181.28	237.86	371.22	214.27	336.79	155.5	198.47	392.44	149.12	260.38	246.28	142.01	438.59	275.28	297.17	248.0	267.73	334.46
MAT2B	947.83	1104.13	1540.37	1286.18	1127.35	1745.2	1583.71	1781.89	2133.97	1697.45	2758.13	2367.9	2777.33	3190.46	1757.34	2090.03	2591.27	2133.97	2468.49	2573.36	2303.12	2417.67	2485.67	2609.3	3081.75	2271.4	3103.19	2915.45	2090.03	1583.71	1498.22	1936.53	599.49	759.08	915.51	780.44	1167.14	854.13	866.07	708.18	1397.83	1175.27	1508.65	1331.57	1397.83	1001.93	669.92	981.29	974.5	995.0	457.25	1242.34	1721.16	1175.27	1350.18	1369.04
MED21	287.01	241.19	780.44	295.11	486.75	343.89	392.44	567.1	909.17	769.69	1135.2	934.76	1081.39	995.0	915.51	435.55	902.89	796.86	808.0	890.44	708.18	713.11	796.86	941.27	1096.5	708.18	1199.98	988.12	642.59	571.05	376.41	647.07	152.28	118.43	218.79	85.22	215.77	181.28	137.14	138.1	258.57	158.79	178.77	135.24	105.89	297.17	115.97	253.23	173.85	85.82	88.88	156.59	193.01	974.5	532.74	551.56
METAP1	341.51	299.25	674.59	1001.93	384.34	1135.2	358.54	507.46	1088.92	796.86	825.0	638.15	629.35	743.43	444.72	575.03	830.75	796.86	733.19	753.83	651.58	693.58	698.41	713.11	753.83	656.11	769.69	830.75	493.56	457.25	318.57	473.41	256.78	307.69	332.14	186.4	397.93	483.38	220.32	371.22	457.25	417.77	305.55	309.83	224.97	409.15	309.83	312.0	438.59	273.37	251.48	518.15	651.58	447.82	334.46	583.07
METTL8	63.89	50.27	224.97	153.34	202.66	120.1	91.41	52.08	131.51	66.65	212.78	158.79	87.65	103.69	131.51	98.04	171.45	162.14	141.02	187.71	154.42	121.79	189.02	178.77	164.42	156.59	123.5	172.65	134.3	123.5	183.82	108.9	72.52	33.06	85.22	43.02	68.55	157.68	17.38	57.89	77.25	45.21	46.5	45.85	42.41	102.97	43.02	38.4	55.1	51.71	43.32	51.71	62.56	251.48	96.68	175.07
MOB1A	384.34	417.77	1199.98	802.41	591.22	1721.16	1111.82	540.19	629.35	529.06	1417.35	1572.76	1407.55	1519.15	1088.92	961.07	1572.76	1467.37	1551.09	1639.59	1477.58	1417.35	1487.87	1561.89	1697.45	1477.58	2104.58	1721.16	954.43	1008.9	1044.52	1242.34	275.28	228.13	420.68	220.32	305.55	353.59	205.5	221.86	392.44	323.03	316.37	260.38	237.86	525.39	228.13	307.69	255.0	237.86	262.2	366.09	341.51	1151.06	1008.9	842.36
MOB4	339.14	281.09	620.67	543.96	432.53	351.14	409.15	195.72	293.07	180.02	406.31	743.43	612.11	447.82	361.04	536.45	532.74	674.59	463.65	563.18	454.09	414.87	547.75	486.75	651.58	457.25	1030.12	775.05	392.44	255.0	285.03	356.05	262.2	143.01	171.45	180.02	199.85	312.0	279.14	208.38	438.59	172.65	269.6	189.02	181.28	511.0	262.2	305.55	229.72	218.79	339.14	320.8	376.41	435.55	470.14	555.41
MORF4L1	3303.0	3589.58	6745.86	3515.68	4704.07	5219.6	3039.3	4358.66	4639.29	4388.98	5555.65	7433.4	6652.97	6745.86	6079.61	5147.73	7589.61	7280.4	6792.79	7749.1	6745.86	7280.4	6935.54	7433.4	7857.29	6516.03	9151.82	8901.53	6294.04	3955.48	3901.01	6745.86	2032.85	2075.59	3060.45	1909.85	2645.74	2255.7	1844.76	1662.49	2835.7	2119.22	2178.83	1844.76	2032.85	3018.3	1781.89	2434.5	2148.82	1529.73	2351.53	2335.28	2573.36	4512.4	3349.13	4704.07
MSANTD4	71.5	52.08	144.01	103.69	167.9	133.36	156.59	21.47	229.72	170.25	159.9	228.13	248.0	149.12	138.1	169.07	277.2	221.86	182.55	269.6	223.41	217.27	221.86	253.23	260.38	217.27	307.69	291.04	182.55	88.26	172.65	165.57	44.25	34.51	63.45	36.79	36.53	23.76	82.87	191.67	104.42	17.51	51.35	14.24	31.0	153.34	79.45	57.08	46.84	37.32	22.43	42.41	96.01	156.59	107.38	180.02
MT-ND3	1383603.33	1355129.16	2171106.91	3626130.97	2111737.85	2986448.72	1890058.21	2310861.52	2294899.22	4464291.11	2392353.91	1273174.62	1916442.45	2343119.96	3502611.6	1890058.21	1308968.45	1668359.93	1600397.78	1600397.78	1556634.79	1299926.74	1442359.14	1196176.45	1432396.03	1212874.47	1452391.55	1299926.74	1545882.32	1903204.61	2201414.44	1838374.44	1514068.5	1238359.56	1432396.03	1890058.21	1482909.4	1851161.35	1412675.8	1556634.79	1970321.01	1482909.4	2581895.97	1634025.56	1813064.98	1890058.21	1751305.3	2375828.71	1308968.45	1393227.06	1916442.45	2156109.97	1851161.35	2691538.19	2767207.65	2011721.67
MTMR2	81.14	61.68	536.45	212.78	314.17	329.84	134.3	89.51	246.28	373.81	441.64	447.82	642.59	373.81	351.14	511.0	450.94	507.46	521.76	583.07	511.0	457.25	473.41	500.46	493.56	470.14	656.11	575.03	414.87	363.56	373.81	414.87	40.36	20.56	53.57	17.13	41.81	171.45	14.14	24.46	90.77	69.03	83.45	27.25	36.53	147.06	81.71	29.06	30.56	20.86	19.82	49.56	28.65	420.68	202.66	283.05
MTRR	444.72	229.72	348.71	480.04	232.94	343.89	172.65	178.77	303.44	195.72	532.74	567.1	591.22	412.0	934.76	651.58	947.83	633.73	769.69	679.29	718.08	703.28	896.64	759.08	769.69	693.58	759.08	708.18	438.59	480.04	532.74	536.45	248.0	169.07	293.07	220.32	316.37	320.8	229.72	295.11	279.14	255.0	197.09	279.14	361.04	493.56	170.25	223.41	194.36	283.05	624.99	269.6	323.03	336.79	323.03	363.56
NAA30	195.72	161.02	218.79	115.97	164.42	242.88	291.04	323.03	283.05	255.0	256.78	273.37	343.89	305.55	226.54	127.0	332.14	293.07	275.28	305.55	291.04	258.57	301.33	299.25	256.78	285.03	323.03	336.79	231.32	166.73	191.67	202.66	155.5	115.97	194.36	190.34	211.31	90.77	221.86	182.55	285.03	138.1	191.67	144.01	155.5	287.01	131.51	281.09	164.42	129.69	151.22	177.53	309.83	173.85	116.78	208.38
NBN	253.23	183.82	540.19	281.09	447.82	283.05	242.88	341.51	444.72	131.51	454.09	571.05	532.74	314.17	341.51	620.67	490.14	483.38	497.0	571.05	536.45	444.72	540.19	476.71	529.06	518.15	607.87	543.96	392.44	376.41	403.5	356.05	162.14	73.54	237.86	103.69	297.17	231.32	113.56	209.84	191.67	172.65	242.88	100.13	226.54	483.38	154.42	171.45	191.67	128.79	325.29	226.54	191.67	438.59	224.97	567.1
NDFIP2	435.55	329.84	603.67	769.69	170.25	665.29	217.27	248.0	231.32	356.05	967.76	1268.46	551.56	825.0	616.37	629.35	981.29	842.36	780.44	921.88	825.0	769.69	1044.52	860.08	1437.15	872.1	1487.87	1216.75	563.18	819.3	890.44	579.04	267.73	309.83	490.14	241.19	339.14	267.73	251.48	255.0	307.69	283.05	275.28	212.78	279.14	529.06	190.34	395.18	389.72	246.28	1104.13	400.71	575.03	429.54	1208.34	155.5
NEDD1	63.89	63.45	242.88	99.43	133.36	137.14	80.01	105.89	105.89	89.51	176.29	293.07	366.09	177.53	99.43	205.5	224.97	249.73	195.72	229.72	208.38	191.67	205.5	237.86	138.1	206.94	242.88	249.73	144.01	153.34	136.19	181.28	40.93	17.9	56.68	17.64	49.91	61.25	50.63	18.97	64.34	35.76	47.17	43.63	21.63	81.14	63.0	32.13	31.67	20.71	28.65	57.49	39.5	183.82	90.77	177.53
NEK7	285.03	291.04	941.27	366.09	941.27	444.72	316.37	283.05	265.87	241.19	1030.12	830.75	1059.11	638.15	591.22	718.08	733.19	693.58	866.07	890.44	595.34	684.02	775.05	769.69	819.3	638.15	1135.2	884.29	417.77	417.77	228.13	450.94	214.27	91.41	291.04	159.9	571.05	366.09	246.28	139.07	444.72	234.57	476.71	343.89	239.52	555.41	114.36	314.17	242.88	152.28	115.16	384.34	591.22	974.5	587.13	612.11
NUDCD1	127.0	94.01	264.03	143.01	228.13	166.73	71.0	156.59	146.03	78.34	182.55	214.27	190.34	176.29	297.17	159.9	211.31	273.37	176.29	231.32	193.01	173.85	221.86	251.48	220.32	193.01	301.33	323.03	152.28	165.57	139.07	147.06	63.89	35.76	82.87	75.64	67.59	51.35	52.82	50.98	63.89	40.07	122.64	76.17	57.08	133.36	83.45	81.14	50.27	52.82	127.89	61.68	81.14	155.5	120.94	232.94
NUDT12	253.23	271.48	246.28	395.18	197.09	511.0	283.05	444.72	629.35	480.04	796.86	587.13	587.13	493.56	118.43	323.03	665.29	521.76	493.56	497.0	723.08	540.19	603.67	665.29	684.02	599.49	647.07	559.28	470.14	195.72	181.28	420.68	309.83	100.13	291.04	107.38	559.28	351.14	291.04	167.9	559.28	447.82	303.44	176.29	212.78	351.14	218.79	246.28	273.37	199.85	114.36	194.36	764.36	142.01	141.02	353.59
NUS1	463.65	371.22	447.82	301.33	239.52	444.72	177.53	314.17	287.01	291.04	612.11	872.1	624.99	466.88	1313.23	551.56	638.15	713.11	633.73	665.29	703.28	612.11	698.41	669.92	698.41	599.49	769.69	723.08	567.1	371.22	348.71	532.74	389.72	191.67	389.72	269.6	277.2	248.0	426.57	289.02	480.04	241.19	249.73	226.54	287.01	563.18	275.28	432.53	301.33	229.72	409.15	312.0	444.72	334.46	409.15	450.94
NXT2	98.73	116.78	201.25	122.64	54.33	106.63	89.51	111.21	136.19	98.73	325.29	237.86	381.68	267.73	197.09	220.32	198.47	218.79	206.94	221.86	175.07	201.25	212.78	223.41	314.17	181.28	379.04	256.78	172.65	113.56	94.67	181.28	89.51	67.59	113.56	128.79	102.97	71.5	81.14	82.29	181.28	88.26	103.69	84.63	120.1	149.12	54.72	121.79	100.83	93.35	52.45	153.34	249.73	123.5	162.14	135.24
OSBPL8	166.73	129.69	379.04	115.16	271.48	525.39	190.34	232.94	273.37	253.23	713.11	540.19	703.28	521.76	305.55	395.18	1001.93	679.29	743.43	743.43	543.96	688.78	1008.9	884.29	941.27	825.0	1135.2	928.3	320.8	432.53	267.73	473.41	93.35	26.86	161.02	86.43	226.54	181.28	105.89	42.41	260.38	155.5	242.88	141.02	84.63	190.34	42.11	169.07	121.79	82.29	106.63	180.02	232.94	303.44	236.21	466.88
PAIP1	1208.34	1044.52	1175.27	836.53	819.3	1447.15	967.76	947.83	1437.15	1216.75	1540.37	1832.01	2032.85	1651.0	1127.35	1111.82	1572.76	1745.2	1561.89	1844.76	1857.6	1572.76	1651.0	1806.78	1936.53	1467.37	2133.97	2133.97	1467.37	1331.57	1295.13	1183.45	934.76	503.95	988.12	642.59	642.59	780.44	698.41	733.19	785.88	708.18	854.13	723.08	688.78	1159.07	563.18	842.36	961.07	616.37	890.44	967.76	1104.13	1225.22	1159.07	1119.56
PARS2	59.55	63.45	78.34	143.01	40.93	107.38	67.12	74.06	71.0	65.72	64.8	70.51	107.38	163.28	78.89	85.82	186.4	115.16	109.66	132.44	198.47	155.5	159.9	144.01	148.09	182.55	128.79	132.44	206.94	132.44	229.72	153.34	68.55	73.54	63.89	44.57	52.82	28.24	40.64	39.79	74.58	59.97	43.32	60.82	80.01	51.71	39.5	68.55	48.52	66.18	37.32	66.18	65.26	61.68	107.38	57.49
PIGK	320.8	248.0	432.53	253.23	262.2	497.0	309.83	303.44	325.29	312.0	684.02	967.76	813.63	460.44	409.15	551.56	665.29	764.36	669.92	902.89	848.22	563.18	743.43	813.63	684.02	656.11	1322.37	1051.79	633.73	366.09	567.1	559.28	309.83	255.0	339.14	195.72	244.57	279.14	137.14	186.4	366.09	229.72	277.2	115.16	164.42	490.14	132.44	229.72	229.72	130.6	151.22	186.4	346.29	397.93	297.17	343.89
PJA2	796.86	660.68	1407.55	656.11	1015.93	1001.93	603.67	802.41	1111.82	1001.93	1295.13	1883.54	1806.78	902.89	1183.45	1199.98	1685.71	1407.55	1477.58	1721.16	1286.18	1540.37	1844.76	1685.71	1331.57	1498.22	1991.0	1806.78	909.17	738.29	518.15	1225.22	540.19	476.71	759.08	387.02	896.64	813.63	656.11	444.72	1030.12	497.0	624.99	497.0	583.07	1286.18	403.5	728.11	559.28	395.18	368.65	693.58	947.83	1119.56	884.29	1111.82
PPP1CC	842.36	928.3	3955.48	2485.67	1819.35	1233.75	1066.48	1350.18	1870.53	1427.22	1369.04	1350.18	1651.0	1407.55	1286.18	2209.26	1605.83	1685.71	1498.22	1437.15	1447.15	1277.29	1529.73	1359.57	1639.59	1350.18	2209.26	1745.2	1304.15	1540.37	1594.73	1183.45	633.73	583.07	854.13	620.67	947.83	1081.39	651.58	780.44	1008.9	1037.29	921.88	1322.37	842.36	830.75	836.53	825.0	947.83	738.29	497.0	1250.98	1233.75	2796.65	2609.3	1551.09
PPP2R2A	529.06	497.0	915.51	457.25	693.58	417.77	358.54	414.87	423.61	260.38	521.76	830.75	460.44	563.18	743.43	669.92	785.88	769.69	684.02	703.28	651.58	669.92	748.61	698.41	791.35	693.58	738.29	753.83	483.38	493.56	343.89	543.96	265.87	202.66	358.54	277.2	438.59	669.92	273.37	327.56	312.0	323.03	358.54	406.31	279.14	275.28	358.54	389.72	281.09	262.2	547.75	406.31	339.14	791.35	555.41	688.78
PURA	165.57	108.9	264.03	132.44	218.79	194.36	182.55	190.34	303.44	255.0	373.81	514.56	417.77	341.51	194.36	248.0	591.22	395.18	420.68	463.65	312.0	454.09	480.04	486.75	381.68	466.88	454.09	406.31	269.6	197.09	98.73	417.77	100.83	45.53	139.07	120.94	108.14	157.68	115.97	106.63	101.54	131.51	150.17	121.79	66.18	169.07	81.71	97.36	186.4	151.22	97.36	128.79	209.84	466.88	246.28	224.97
RBM27	134.3	74.58	239.52	112.77	105.89	164.42	123.5	189.02	183.82	159.9	191.67	255.0	215.77	127.89	258.57	173.85	251.48	256.78	226.54	249.73	208.38	220.32	251.48	283.05	186.4	237.86	231.32	251.48	164.42	101.54	89.51	177.53	76.17	22.26	102.97	72.01	91.41	110.43	93.35	66.65	75.11	68.55	72.52	68.55	61.25	135.24	75.64	114.36	67.59	61.25	65.26	81.71	113.56	182.55	140.04	146.03
RNF11	1369.04	1023.0	1651.0	813.63	1216.75	3190.46	1674.06	1832.01	1561.89	1757.34	2739.08	4419.52	2720.15	2537.92	2485.67	1781.89	3190.46	3039.3	3443.31	3325.99	2520.38	2997.45	3349.13	3589.58	3325.99	2915.45	4328.55	3395.89	1936.53	1508.65	1059.11	2485.67	764.36	728.11	1191.69	1350.18	1191.69	651.58	679.29	603.67	1407.55	796.86	769.69	620.67	825.0	1628.26	532.74	1397.83	1151.06	559.28	587.13	954.43	1561.89	1519.15	1191.69	1427.22
RNF13	884.29	896.64	1477.58	651.58	1081.39	2664.15	1359.57	2468.49	1674.06	1685.71	2502.97	1950.0	2485.67	1529.73	1143.1	1628.26	1870.53	1757.34	1617.0	2104.58	1909.85	1540.37	2104.58	1733.13	2193.99	1594.73	2609.3	2664.15	1639.59	1199.98	1674.06	1447.15	872.1	389.72	723.08	624.99	723.08	1199.98	624.99	563.18	1008.9	780.44	651.58	713.11	684.02	1073.91	587.13	1008.9	738.29	915.51	540.19	723.08	995.0	860.08	1073.91	1295.13
RNF14	567.1	480.04	769.69	518.15	547.75	1950.0	1487.87	909.17	1073.91	1167.14	1001.93	974.5	995.0	1208.34	713.11	934.76	1437.15	1051.79	1199.98	1286.18	1127.35	1259.69	1417.35	1340.84	1617.0	1250.98	1806.78	1437.15	947.83	954.43	738.29	842.36	450.94	567.1	629.35	583.07	511.0	297.17	591.22	819.3	642.59	447.82	555.41	444.72	438.59	612.11	409.15	603.67	607.87	403.5	363.56	633.73	775.05	563.18	511.0	723.08
RNF2	121.79	94.01	366.09	86.43	161.02	236.21	143.01	87.03	177.53	120.94	205.5	603.67	309.83	215.77	224.97	351.14	264.03	353.59	325.29	351.14	269.6	336.79	297.17	316.37	303.44	291.04	454.09	363.56	246.28	181.28	111.99	231.32	63.89	39.5	101.54	31.9	56.68	117.6	63.0	65.72	63.89	47.84	57.89	57.08	52.08	134.3	52.08	96.01	65.72	46.5	84.63	63.45	71.0	242.88	127.89	171.45
RNF219	52.08	68.07	161.02	80.01	74.06	63.0	50.98	52.82	61.68	45.85	89.51	71.0	155.5	85.82	75.11	156.59	135.24	122.64	99.43	121.79	120.1	91.41	119.26	123.5	87.65	104.42	156.59	159.9	97.36	67.59	64.34	71.5	43.94	11.3	48.87	59.55	68.55	79.45	59.13	54.72	75.11	129.69	52.82	46.84	37.32	73.54	38.12	64.34	59.13	85.82	20.26	68.07	65.26	75.11	55.49	155.5
RPE	389.72	265.87	599.49	316.37	231.32	860.08	409.15	356.05	429.54	403.5	915.51	896.64	764.36	890.44	651.58	384.34	819.3	860.08	753.83	896.64	698.41	748.61	796.86	909.17	890.44	728.11	866.07	921.88	579.04	503.95	540.19	698.41	191.67	258.57	381.68	158.79	255.0	348.71	239.52	175.07	228.13	178.77	218.79	215.77	224.97	473.41	165.57	303.44	224.97	194.36	138.1	231.32	267.73	432.53	307.69	490.14
SCYL2	299.25	204.07	368.65	540.19	249.73	567.1	353.59	297.17	384.34	332.14	624.99	669.92	587.13	283.05	470.14	293.07	575.03	493.56	587.13	529.06	480.04	493.56	567.1	591.22	563.18	571.05	587.13	547.75	303.44	293.07	303.44	320.8	144.01	111.21	320.8	155.5	273.37	551.56	223.41	267.73	414.87	145.02	279.14	165.57	169.07	629.35	152.28	316.37	194.36	105.15	307.69	295.11	373.81	454.09	366.09	293.07
SENP8	33.3	19.39	74.58	55.89	30.56	100.13	77.79	77.25	135.24	90.77	123.5	82.29	206.94	101.54	95.34	61.25	155.5	88.88	109.66	116.78	178.77	92.7	170.25	143.01	172.65	143.01	147.06	132.44	128.79	59.13	65.26	156.59	43.32	29.48	40.64	19.53	21.78	18.97	25.72	28.04	68.55	60.39	54.72	31.0	36.01	44.25	29.91	47.84	37.05	37.59	6.26	32.36	31.0	43.63	73.03	87.03
SHOC2	356.05	285.03	764.36	339.14	414.87	389.72	353.59	218.79	291.04	242.88	490.14	819.3	743.43	332.14	896.64	500.46	575.03	503.95	543.96	591.22	518.15	497.0	612.11	629.35	525.39	490.14	808.0	723.08	412.0	400.71	275.28	406.31	220.32	180.02	287.01	239.52	387.02	297.17	221.86	244.57	521.76	218.79	356.05	218.79	271.48	567.1	154.42	595.34	246.28	142.01	195.72	291.04	536.45	457.25	438.59	493.56
SHQ1	138.1	113.56	231.32	224.97	143.01	135.24	121.79	351.14	463.65	591.22	181.28	197.09	182.55	150.17	343.89	146.03	201.25	237.86	194.36	208.38	208.38	185.11	198.47	209.84	191.67	201.25	253.23	264.03	215.77	142.01	195.72	149.12	98.04	87.03	96.01	90.77	86.43	96.01	85.82	72.52	78.34	117.6	81.71	77.79	87.65	151.22	70.51	96.01	81.14	85.82	105.89	127.0	77.25	114.36	178.77	191.67
SLC17A5	246.28	237.86	395.18	329.84	246.28	1001.93	295.11	273.37	206.94	201.25	483.38	551.56	379.04	426.57	273.37	320.8	733.19	536.45	529.06	674.59	555.41	490.14	679.29	624.99	769.69	660.68	780.44	842.36	312.0	1104.13	599.49	312.0	157.68	289.02	353.59	132.44	214.27	88.88	88.88	136.19	260.38	123.5	139.07	72.52	122.64	299.25	194.36	285.03	165.57	72.01	124.37	155.5	244.57	220.32	198.47	395.18
SLC25A46	353.59	273.37	490.14	392.44	241.19	651.58	353.59	371.22	547.75	514.56	651.58	642.59	660.68	518.15	329.84	493.56	796.86	642.59	693.58	698.41	551.56	629.35	796.86	753.83	866.07	624.99	1008.9	738.29	414.87	392.44	309.83	497.0	232.94	124.37	348.71	158.79	251.48	279.14	208.38	224.97	289.02	223.41	224.97	209.84	229.72	463.65	226.54	232.94	223.41	201.25	166.73	236.21	307.69	353.59	211.31	353.59
SLC33A1	454.09	231.32	277.2	256.78	163.28	279.14	316.37	555.41	400.71	397.93	320.8	500.46	305.55	303.44	447.82	483.38	551.56	450.94	423.61	507.46	684.02	397.93	769.69	656.11	551.56	688.78	698.41	616.37	476.71	264.03	341.51	466.88	368.65	251.48	423.61	237.86	271.48	460.44	376.41	301.33	368.65	169.07	202.66	194.36	176.29	629.35	291.04	373.81	244.57	237.86	231.32	289.02	358.54	251.48	612.11	351.14
