	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.BP.5194.01A.02R.1426.07	TCGA.CJ.4905.01A.02R.1426.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.BP.4991.01A.01R.1334.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.B0.5710.01A.11R.1672.07	TCGA.B0.5690.01A.11R.1541.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.A3.3376.01A.02R.1420.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.DD.A3A8.11A.11R.A22L.07
LATS1	74.06	162.14	218.79	161.02	104.42	166.73	191.67	71.0	232.94	279.14	75.64	318.57	75.64	177.53	285.03	239.52	253.23	78.34	307.69	220.32	109.66	150.17	118.43	129.69	275.28	119.26	149.12	229.72	123.5	127.0	139.07	167.9	146.03	91.41	110.43	81.14	211.31	43.02
LZIC	764.36	503.95	371.22	490.14	312.0	497.0	403.5	339.14	607.87	713.11	262.2	642.59	412.0	457.25	651.58	450.94	708.18	264.03	688.78	384.34	497.0	312.0	348.71	251.48	718.08	373.81	525.39	583.07	339.14	264.03	470.14	575.03	406.31	463.65	301.33	361.04	559.28	191.67
MBNL2	224.97	860.08	1295.13	1216.75	536.45	718.08	629.35	480.04	1508.65	1697.45	389.72	1605.83	414.87	941.27	1583.71	1457.23	1340.84	483.38	1628.26	1059.11	279.14	595.34	463.65	379.04	1322.37	599.49	759.08	1151.06	532.74	688.78	1159.07	934.76	529.06	1477.58	791.35	723.08	1008.9	79.45
MBTD1	120.94	127.89	159.9	159.9	79.45	157.68	180.02	81.14	241.19	198.47	47.84	329.84	54.33	140.04	178.77	193.01	223.41	72.52	228.13	289.02	66.18	153.34	82.29	108.14	249.73	153.34	122.64	204.07	109.66	68.07	105.89	148.09	130.6	57.89	143.01	116.78	173.85	59.13
MEF2A	353.59	759.08	878.17	764.36	457.25	775.05	1127.35	423.61	1159.07	1397.83	414.87	1242.34	339.14	1208.34	1199.98	1015.93	1151.06	507.46	1572.76	1304.15	529.06	718.08	536.45	279.14	1295.13	587.13	698.41	854.13	642.59	612.11	808.0	738.29	638.15	490.14	532.74	283.05	878.17	110.43
MFSD6	2224.63	384.34	336.79	447.82	197.09	406.31	389.72	79.45	336.79	571.05	92.7	563.18	329.84	389.72	688.78	642.59	457.25	256.78	759.08	414.87	100.13	206.94	287.01	251.48	536.45	258.57	217.27	332.14	208.38	339.14	480.04	423.61	262.2	187.71	157.68	143.01	607.87	12.27
MGA	35.5	84.04	84.63	117.6	55.1	115.16	123.5	97.36	136.19	152.28	70.51	180.02	39.79	142.01	162.14	158.79	175.07	56.68	214.27	111.99	78.34	77.79	76.17	48.87	178.77	62.12	83.45	144.01	77.25	63.45	80.01	138.1	78.34	55.89	101.54	73.03	128.79	16.63
MIB1	100.83	155.5	140.04	182.55	59.97	159.9	202.66	56.68	253.23	384.34	81.14	325.29	82.29	143.01	279.14	277.2	289.02	68.07	356.05	178.77	100.83	85.22	132.44	100.83	395.18	96.68	148.09	251.48	105.15	103.69	189.02	150.17	127.89	107.38	83.45	108.14	226.54	46.18
MRE11A	129.69	130.6	128.79	165.57	74.58	181.28	209.84	126.12	236.21	223.41	88.88	265.87	74.06	170.25	212.78	163.28	236.21	133.36	209.84	325.29	78.89	108.9	94.67	76.71	262.2	80.57	142.01	204.07	106.63	91.41	136.19	130.6	140.04	135.24	121.79	75.64	190.34	26.1
MSH2	587.13	249.73	228.13	307.69	190.34	279.14	209.84	205.5	323.03	389.72	190.34	325.29	201.25	295.11	325.29	363.56	323.03	169.07	341.51	314.17	176.29	215.77	198.47	176.29	343.89	169.07	312.0	269.6	158.79	199.85	267.73	258.57	221.86	180.02	158.79	249.73	336.79	44.89
