	TCGA.AN.A0AT.01A.11R.A034.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.A1.A0SP.01A.11R.A084.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.3X.AAVE.01A.11R.A41I.07	TCGA.W5.AA2U.01A.11R.A41I.07	TCGA.D5.5541.01A.01R.1653.07	TCGA.5M.AAT6.01A.11R.A41B.07	TCGA.CA.6718.01A.11R.1839.07	TCGA.2H.A9GN.01A.11R.A37I.31	TCGA.KL.8330.01A.11R.2315.07	GTEX.QDVN.1626.SM.48TZC	GTEX.1497J.0826.SM.5NQAJ	TCGA.B8.A54E.01A.11R.A266.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.55.8616.01A.11R.2403.07	TCGA.49.AAQV.01A.11R.A39D.07	TCGA.95.7944.01A.11R.2187.07	TCGA.97.8176.01A.11R.2403.07	TCGA.MP.A4T8.01A.11R.A24X.07	TCGA.63.5128.01A.01R.1443.07	TCGA.63.7023.01A.11R.1949.07	TCGA.DC.6682.01A.11R.1830.07	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.CD.5799.01A.11R.1602.13	TCGA.F1.6177.01A.11R.1802.13	TCGA.R5.A7ZF.01A.11R.A354.31	TCGA.BR.7715.01A.11R.2055.13	TCGA.F1.6875.01A.11R.2055.13	TCGA.KB.A6F7.01A.12R.A32D.31	TCGA.CG.5726.01A.11R.1602.13	TCGA.CD.5800.01A.11R.1602.13	TCGA.BR.6566.01A.11R.1802.13	TCGA.R5.A7ZR.01A.11R.A354.31	TCGA.D7.6528.01A.11R.1802.13	GTEX.1399T.0126.SM.5KM15	TCGA.FI.A3PX.01A.11R.A22K.07	TCGA.EY.A549.01A.11R.A27V.07	TCGA.EY.A2ON.01A.21R.A18M.07
CKAP2L	289.02	483.38	159.9	26.86	8.58	4.13	93.35	125.24	120.1	81.14	595.34	193.01	7.51	4.13	4.58	7.4	8.19	8.32	3.76	3.66	8.51	2.78	2.32	4.28	6.52	5.96	0.87	7.0	13.03	5.77	9.06	2.32	10.16	156.59	10.47	7.82	3.38	17.77	2.81	4.43	36.27	4.06	4.9	3.86	12.18	7.82	6.84	9.93	5.15	1.1	5.5	82.87	4.78	5.36	8.92	3.66	7.94	7.75	9.85	2.63	1.0	6.11	12.0	7.51	6.31	2.2	2.43	61.68	64.8	111.99	101.54	49.56	237.86	368.65	318.57	35.25	61.68	36.01	59.55	113.56	314.17	258.57	134.3	135.24	104.42	117.6	65.72	83.45	246.28	10.63	148.09	36.79	58.3
CMSS1	1733.13	3146.52	4038.61	624.99	733.19	988.12	656.11	551.56	1304.15	1008.9	1583.71	1487.87	307.69	251.48	305.55	460.44	466.88	438.59	698.41	642.59	392.44	426.57	214.27	348.71	320.8	400.71	275.28	400.71	921.88	473.41	555.41	414.87	429.54	909.17	397.93	674.59	500.46	547.75	733.19	435.55	583.07	463.65	325.29	409.15	651.58	356.05	848.22	460.44	669.92	289.02	543.96	665.29	376.41	406.31	373.81	379.04	493.56	417.77	381.68	500.46	279.14	490.14	521.76	334.46	642.59	376.41	521.76	480.04	928.3	607.87	674.59	547.75	1397.83	1832.01	2682.69	1059.11	567.1	620.67	693.58	389.72	1119.56	708.18	599.49	764.36	642.59	775.05	483.38	616.37	669.92	384.34	1073.91	497.0	928.3
CPSF3	1540.37	1313.23	1250.98	457.25	555.41	595.34	642.59	733.19	928.3	928.3	1059.11	854.13	244.57	460.44	500.46	703.28	802.41	688.78	629.35	381.68	483.38	368.65	348.71	441.64	381.68	638.15	387.02	450.94	624.99	366.09	679.29	403.5	514.56	1745.2	521.76	441.64	441.64	563.18	438.59	412.0	476.71	426.57	514.56	480.04	341.51	607.87	559.28	486.75	521.76	281.09	575.03	819.3	587.13	368.65	389.72	497.0	457.25	432.53	438.59	511.0	473.41	356.05	579.04	358.54	612.11	381.68	500.46	703.28	785.88	567.1	669.92	753.83	620.67	1745.2	1167.14	540.19	346.29	536.45	507.46	540.19	902.89	890.44	432.53	616.37	480.04	896.64	607.87	599.49	884.29	429.54	1340.84	532.74	679.29
CRYAB	7130.55	14561.8	1407.55	271387.49	1503610.06	288856.81	1639.59	31215.04	400.71	1225.22	813.63	2758.13	447.82	205673.01	194578.47	309589.14	383800.28	301123.38	271387.49	447025.24	59887.86	218912.29	253213.41	217400.14	241220.67	381149.17	241220.67	318292.9	408505.64	197294.7	320506.81	456418.21	260332.24	207103.59	546551.29	258533.99	251464.33	301123.38	391864.76	234624.45	292889.12	305326.92	254974.66	292889.12	513497.31	286861.53	327241.36	277089.94	375901.76	174152.51	284880.02	246289.25	303217.87	329517.51	329517.51	338781.54	422911.59	201440.3	215898.44	279017.26	217400.14	299043.36	256748.15	212926.09	589853.66	269512.87	46019.85	476.71	336.79	1950.0	423.61	536.45	144427.91	153.34	312.0	336441.4	311742.51	716197.51	441.64	122.64	384.34	1295.13	285.03	146.03	81.14	438.59	775.05	138.1	336.79	305326.92	293.07	1963.57	7280.4
DBF4	511.0	409.15	460.44	123.5	120.94	71.5	156.59	131.51	507.46	343.89	603.67	559.28	423.61	42.41	36.53	173.85	123.5	31.0	40.07	30.34	81.71	40.93	52.82	74.06	46.5	65.72	40.64	33.3	85.82	34.75	38.67	9.78	37.59	234.57	66.18	57.89	46.84	73.03	88.26	50.63	100.13	16.88	53.57	48.87	57.49	48.52	81.14	38.95	45.85	8.19	38.67	172.65	67.12	51.35	22.92	87.03	84.63	46.5	59.97	71.0	175.07	48.87	35.25	70.51	36.79	81.14	77.79	181.28	176.29	665.29	258.57	220.32	429.54	490.14	738.29	99.43	52.08	42.71	532.74	575.03	967.76	703.28	329.84	551.56	525.39	297.17	329.84	536.45	669.92	98.04	339.14	283.05	120.1
DCLRE1B	239.52	159.9	231.32	161.02	102.25	81.71	99.43	88.26	117.6	152.28	205.5	248.0	25.91	40.36	43.02	64.34	55.89	38.12	59.55	38.67	39.5	59.55	48.18	45.21	33.06	23.93	91.41	37.32	41.52	72.01	44.25	49.21	36.01	56.68	30.12	75.11	41.81	45.53	27.84	32.36	69.03	57.49	46.84	61.25	53.57	41.81	71.5	36.27	51.35	83.45	42.71	103.69	40.36	52.08	52.45	43.32	53.95	32.13	86.43	62.56	123.5	54.33	54.33	63.0	55.89	30.56	54.33	111.21	105.15	156.59	115.16	65.26	76.71	301.33	138.1	71.0	57.08	87.65	87.03	140.04	193.01	151.22	223.41	165.57	122.64	108.14	101.54	95.34	111.99	176.29	96.68	51.35	90.77
DDX18	1870.53	2976.74	1322.37	1216.75	902.89	941.27	1151.06	819.3	2119.22	872.1	2104.58	1781.89	624.99	444.72	563.18	457.25	728.11	728.11	612.11	353.59	438.59	511.0	476.71	514.56	426.57	470.14	500.46	316.37	688.78	759.08	860.08	303.44	514.56	1151.06	665.29	599.49	595.34	708.18	423.61	358.54	753.83	307.69	902.89	624.99	595.34	808.0	579.04	620.67	575.03	139.07	417.77	915.51	406.31	318.57	384.34	460.44	314.17	954.43	723.08	808.0	638.15	429.54	444.72	642.59	438.59	480.04	579.04	796.86	620.67	1259.69	785.88	684.02	1709.26	1583.71	1745.2	426.57	583.07	432.53	769.69	748.61	1457.23	1277.29	1350.18	1167.14	954.43	878.17	1066.48	1088.92	1277.29	802.41	884.29	540.19	854.13
DEPDC1	198.47	218.79	265.87	18.56	15.8	0.0	68.07	59.97	73.03	91.41	218.79	190.34	1.71	3.41	3.06	5.28	4.31	0.62	1.51	2.46	7.22	0.36	2.32	5.19	1.64	3.0	0.87	11.47	6.73	1.6	3.82	3.08	6.36	177.53	3.2	5.32	3.06	16.63	2.48	2.86	19.25	0.91	2.46	1.55	5.06	3.29	5.41	3.32	2.58	1.1	5.5	40.36	3.2	6.26	0.75	1.83	6.52	6.46	4.35	2.32	0.67	6.52	2.18	7.17	5.59	3.47	2.78	32.82	57.49	142.01	102.25	78.89	92.7	208.38	228.13	19.53	42.71	38.67	76.17	69.52	305.55	183.82	73.03	197.09	133.36	100.13	81.71	55.89	131.51	6.26	176.29	47.17	142.01
DKC1	3081.75	3982.99	2061.24	1001.93	559.28	842.36	1104.13	878.17	2956.17	1745.2	2209.26	2816.11	486.75	420.68	476.71	470.14	633.73	503.95	463.65	435.55	575.03	532.74	507.46	493.56	379.04	444.72	447.82	441.64	713.11	466.88	450.94	323.03	379.04	708.18	454.09	500.46	543.96	521.76	567.1	563.18	476.71	473.41	473.41	412.0	575.03	476.71	567.1	555.41	444.72	295.11	536.45	1119.56	483.38	353.59	483.38	454.09	642.59	483.38	480.04	493.56	480.04	371.22	612.11	521.76	521.76	423.61	660.68	915.51	2537.92	1369.04	1340.84	1721.16	1923.14	3235.01	3794.3	909.17	698.41	651.58	1617.0	1250.98	1769.57	1639.59	1883.54	1651.0	1467.37	1437.15	1216.75	1378.57	3325.99	1008.9	1896.65	1135.2	1183.45
DLGAP5	723.08	532.74	327.56	29.27	16.63	19.68	101.54	63.89	117.6	123.5	848.22	366.09	11.64	4.86	3.32	9.56	12.18	4.98	5.68	5.32	19.82	1.75	5.68	10.47	11.82	6.06	2.16	19.11	19.39	6.11	12.93	5.41	15.0	178.77	2.58	8.92	8.51	36.53	3.76	8.92	43.94	3.63	5.23	6.21	11.04	7.88	12.64	14.67	7.82	1.85	8.13	134.3	10.39	14.45	3.0	12.83	17.38	9.13	10.31	8.99	1.01	13.12	14.24	6.84	15.68	6.06	3.86	66.65	176.29	209.84	169.07	189.02	232.94	441.64	480.04	49.56	96.68	75.64	226.54	125.24	414.87	236.21	156.59	343.89	190.34	258.57	163.28	295.11	309.83	10.16	591.22	99.43	217.27
DNMT1	3280.18	3212.66	2018.8	759.08	521.76	665.29	1096.5	780.44	1388.16	2193.99	2434.5	1963.57	299.25	285.03	339.14	438.59	536.45	217.27	406.31	346.29	547.75	463.65	343.89	426.57	323.03	395.18	229.72	392.44	543.96	403.5	397.93	255.0	273.37	669.92	318.57	329.84	303.44	616.37	543.96	332.14	497.0	373.81	483.38	473.41	603.67	255.0	543.96	595.34	358.54	291.04	334.46	656.11	356.05	403.5	412.0	397.93	320.8	358.54	473.41	497.0	559.28	363.56	368.65	435.55	400.71	363.56	376.41	1594.73	1857.6	1896.65	1322.37	1001.93	775.05	3716.2	2384.37	1008.9	612.11	620.67	1191.69	1857.6	2335.28	1104.13	1540.37	1923.14	1331.57	1437.15	802.41	1023.0	1844.76	507.46	1359.57	1151.06	896.64
DSCC1	343.89	223.41	417.77	87.65	169.07	56.68	65.72	104.42	525.39	490.14	316.37	277.2	4.13	11.3	18.7	14.56	22.1	20.11	13.22	20.86	21.94	18.43	21.94	17.25	21.63	19.53	12.09	23.08	43.02	16.03	17.51	12.74	27.64	73.03	28.45	43.63	19.11	41.52	31.22	14.35	37.85	16.27	22.92	20.11	30.78	13.83	38.4	35.76	19.11	7.4	25.72	84.63	21.47	18.43	13.03	16.51	21.78	12.93	22.92	33.3	14.03	23.08	47.17	21.47	15.34	20.26	18.84	121.79	99.43	106.63	121.79	395.18	140.04	796.86	356.05	39.5	31.67	101.54	142.01	156.59	921.88	503.95	366.09	220.32	267.73	285.03	70.01	164.42	343.89	21.47	177.53	158.79	129.69
EIF4EBP1	1832.01	5329.3	4123.49	728.11	1096.5	1561.89	2351.53	1977.24	3491.39	1540.37	2303.12	1977.24	163.28	718.08	860.08	759.08	1015.93	909.17	1477.58	995.0	1008.9	713.11	866.07	587.13	819.3	848.22	1757.34	1963.57	1127.35	329.84	1175.27	1340.84	1096.5	921.88	476.71	981.29	651.58	1081.39	825.0	748.61	1151.06	2061.24	503.95	693.58	2701.35	947.83	2148.82	884.29	1733.13	2090.03	941.27	1331.57	1540.37	2915.45	1745.2	1015.93	3716.2	353.59	819.3	915.51	1001.93	551.56	1242.34	599.49	2434.5	674.59	361.04	954.43	1135.2	947.83	3794.3	2835.7	6516.03	13776.25	3515.68	1769.57	1096.5	555.41	2739.08	1529.73	10659.59	3564.78	3257.52	3467.27	5711.87	2609.3	3146.52	2701.35	2915.45	141.02	1794.29	2287.2	3124.78
EIF5B	1819.35	5076.84	1369.04	1159.07	1359.57	1628.26	679.29	638.15	1388.16	974.5	2032.85	1769.57	323.03	769.69	780.44	723.08	961.07	836.53	842.36	325.29	579.04	941.27	521.76	583.07	371.22	1605.83	748.61	909.17	1127.35	616.37	1073.91	150.17	620.67	1870.53	947.83	669.92	780.44	802.41	656.11	432.53	738.29	205.5	723.08	723.08	791.35	928.3	909.17	872.1	563.18	102.25	595.34	941.27	460.44	954.43	403.5	1143.1	780.44	769.69	698.41	1051.79	866.07	587.13	525.39	525.39	543.96	536.45	780.44	813.63	612.11	1909.85	629.35	902.89	1059.11	1037.29	2163.77	1183.45	796.86	1081.39	1008.9	591.22	1277.29	1378.57	1167.14	981.29	500.46	1167.14	1551.09	1199.98	1286.18	511.0	915.51	563.18	860.08
EXOSC2	497.0	660.68	684.02	420.68	316.37	371.22	503.95	420.68	819.3	915.51	1397.83	764.36	346.29	206.94	336.79	180.02	397.93	273.37	334.46	260.38	307.69	303.44	299.25	307.69	228.13	301.33	249.73	277.2	483.38	267.73	271.48	221.86	287.01	629.35	283.05	152.28	249.73	384.34	187.71	267.73	316.37	262.2	361.04	242.88	529.06	269.6	218.79	279.14	251.48	186.4	332.14	312.0	348.71	221.86	167.9	231.32	246.28	327.56	253.23	265.87	180.02	269.6	473.41	376.41	363.56	232.94	262.2	397.93	441.64	493.56	480.04	463.65	529.06	688.78	830.75	389.72	287.01	279.14	454.09	591.22	738.29	718.08	595.34	769.69	698.41	743.43	536.45	277.2	890.44	336.79	417.77	435.55	392.44
FAM72A	167.9	392.44	249.73	13.12	44.25	55.1	52.82	23.59	127.89	153.34	255.0	167.9	3.86	8.19	14.35	15.8	36.79	39.22	36.79	7.51	26.47	36.53	59.55	53.19	30.34	17.9	13.52	18.29	74.06	7.22	23.59	36.01	15.11	183.82	0.69	24.46	6.26	53.57	40.07	31.45	28.86	16.03	11.21	9.85	42.71	20.86	121.79	21.78	35.25	68.55	11.91	130.6	29.27	29.48	79.45	17.13	47.17	10.24	21.63	21.78	20.86	35.25	9.63	19.53	9.85	25.54	12.74	80.57	132.44	137.14	167.9	73.03	140.04	339.14	144.01	40.07	68.55	53.57	132.44	66.65	249.73	132.44	285.03	81.14	70.51	234.57	97.36	93.35	325.29	28.65	269.6	110.43	79.45
FAM72B	166.73	215.77	223.41	43.02	35.76	15.56	62.12	20.26	76.71	63.89	22.59	88.88	11.73	7.4	16.75	29.91	10.47	12.18	40.64	6.62	8.99	19.68	17.13	13.32	18.84	4.21	0.0	10.16	17.13	5.54	17.64	17.51	2.61	58.3	12.93	14.03	12.64	26.47	23.76	18.56	14.03	2.32	7.46	8.65	14.89	16.51	46.5	10.71	22.43	43.32	6.31	41.52	20.11	0.0	57.08	25.72	16.39	12.36	19.53	21.01	16.75	5.87	25.72	12.18	12.83	20.11	38.95	38.4	56.28	126.12	82.87	58.71	61.25	320.8	111.99	29.27	27.05	18.03	87.03	68.55	327.56	29.06	63.0	119.26	61.25	208.38	47.84	101.54	215.77	7.17	175.07	60.82	43.32
FAM72C	111.21	77.79	84.63	10.88	6.36	0.0	34.26	3.79	41.81	98.04	7.46	21.94	0.68	0.0	0.0	8.06	0.42	0.61	0.74	2.84	7.51	4.5	16.51	8.51	5.54	0.0	0.0	10.47	19.68	0.0	5.54	0.0	2.12	82.87	4.13	0.0	0.0	7.51	5.59	3.47	11.21	3.59	2.43	1.16	5.02	2.61	26.86	7.57	7.69	4.74	0.0	40.93	7.94	6.26	4.06	7.28	11.13	3.53	0.0	5.28	4.31	3.82	7.57	6.01	8.51	8.78	4.5	25.91	65.26	55.89	86.43	116.78	49.21	178.77	32.13	0.0	16.27	24.46	38.12	27.44	262.2	8.78	78.34	67.12	8.13	135.24	40.36	94.67	132.44	7.51	273.37	28.04	17.51
FAM72D	161.02	220.32	195.72	12.55	0.16	7.11	46.84	22.75	82.87	90.77	140.04	99.43	1.75	3.56	2.14	3.59	4.39	2.2	2.29	2.07	5.63	3.53	2.36	8.38	3.99	10.63	2.63	10.63	17.13	3.59	5.32	5.06	3.47	98.73	2.27	5.02	5.82	13.42	3.17	6.41	12.18	0.0	1.87	2.76	1.3	2.01	8.71	3.69	7.17	5.59	2.97	27.05	3.23	6.84	0.0	0.0	2.2	3.92	2.41	4.35	3.38	4.28	6.62	4.98	5.68	8.0	1.77	27.05	66.65	87.03	126.12	105.15	95.34	353.59	96.01	24.46	24.28	16.88	88.88	62.56	267.73	88.88	218.79	64.8	66.65	221.86	57.08	78.34	241.19	4.98	143.01	64.34	54.33
FANCB	64.8	43.63	40.07	10.08	4.13	4.1	16.51	16.15	54.72	68.55	42.11	110.43	1.36	1.03	0.0	4.58	8.19	1.85	7.82	0.8	1.62	3.11	2.32	2.43	0.97	2.97	0.0	1.5	8.25	3.2	6.26	2.29	2.12	44.89	1.58	11.3	2.03	5.73	9.93	1.58	5.11	0.89	4.58	2.32	9.7	1.62	10.39	3.63	3.53	0.36	2.18	16.27	3.17	3.56	5.54	1.45	2.16	5.77	3.92	2.29	2.97	1.91	2.89	2.25	7.4	2.51	3.14	18.7	13.42	14.03	26.47	33.3	51.35	60.39	103.69	4.1	15.11	13.32	37.85	17.38	90.14	59.13	41.22	41.81	14.24	84.04	23.76	72.52	62.56	4.21	89.51	37.05	22.59
FARSB	1519.15	1023.0	1191.69	638.15	651.58	947.83	825.0	371.22	1540.37	1340.84	995.0	1721.16	201.25	480.04	511.0	967.76	656.11	656.11	775.05	473.41	540.19	368.65	373.81	438.59	346.29	624.99	373.81	514.56	599.49	366.09	612.11	476.71	463.65	1059.11	466.88	551.56	376.41	579.04	470.14	368.65	346.29	540.19	525.39	379.04	406.31	490.14	684.02	397.93	441.64	366.09	708.18	854.13	620.67	500.46	361.04	493.56	703.28	336.79	483.38	638.15	607.87	447.82	303.44	409.15	642.59	363.56	438.59	967.76	1051.79	638.15	743.43	954.43	497.0	1023.0	1498.22	1111.82	934.76	1167.14	909.17	1225.22	2163.77	1208.34	1066.48	884.29	1111.82	759.08	1331.57	1096.5	693.58	480.04	988.12	866.07	769.69
FASTKD2	563.18	483.38	486.75	438.59	368.65	412.0	444.72	371.22	633.73	373.81	500.46	651.58	273.37	480.04	366.09	616.37	435.55	400.71	387.02	283.05	256.78	256.78	218.79	267.73	208.38	384.34	224.97	147.06	353.59	232.94	438.59	190.34	341.51	486.75	229.72	514.56	305.55	384.34	206.94	189.02	226.54	327.56	414.87	327.56	228.13	325.29	204.07	232.94	232.94	90.14	426.57	638.15	253.23	209.84	211.31	297.17	189.02	251.48	332.14	381.68	281.09	301.33	189.02	366.09	251.48	190.34	260.38	341.51	356.05	241.19	444.72	406.31	329.84	514.56	708.18	638.15	647.07	444.72	332.14	444.72	647.07	525.39	460.44	698.41	420.68	414.87	441.64	547.75	267.73	414.87	470.14	363.56	400.71
FBXO5	441.64	521.76	624.99	107.38	57.89	88.26	150.17	45.85	253.23	221.86	450.94	205.5	30.34	30.12	45.53	31.22	61.68	22.92	27.05	21.32	64.8	34.02	57.08	38.4	25.17	53.19	21.63	23.59	92.05	29.27	25.91	13.93	34.51	114.36	64.8	39.79	35.76	38.12	31.45	29.7	67.12	17.25	40.07	33.3	37.59	25.17	61.68	70.51	55.89	7.06	22.1	59.55	23.59	33.78	24.63	32.59	24.28	92.05	38.67	39.22	55.89	25.72	32.82	32.13	13.52	34.26	57.08	98.73	94.01	136.19	129.69	133.36	122.64	366.09	339.14	99.43	96.68	47.84	211.31	205.5	392.44	267.73	100.13	251.48	176.29	190.34	149.12	212.78	287.01	103.69	218.79	98.04	101.54
FNDC8	0.93	0.0	2.97	1.45	1.46	1.73	0.0	0.0	1.48	4.13	2.1	4.43	0.68	0.0	0.0	0.0	2.16	2.48	1.13	2.46	0.0	1.04	1.0	0.61	0.0	0.0	0.0	0.0	0.79	0.0	0.69	0.77	0.0	17.51	2.25	1.07	0.68	2.12	0.0	0.64	0.73	0.91	0.92	0.0	2.97	1.64	1.45	0.0	0.97	1.1	0.0	2.03	0.79	0.0	0.0	0.0	2.53	0.0	0.0	0.0	3.35	0.77	2.18	0.0	0.0	0.0	0.69	1.35	0.97	0.72	1.0	0.65	0.79	5.77	5.82	0.0	1.5	2.12	0.66	4.24	2.34	2.63	1.62	0.0	4.06	0.64	0.0	0.75	0.0	1.93	1.89	0.61	0.85
FOSL1	329.84	902.89	376.41	85.82	120.1	198.47	26.67	44.25	603.67	1769.57	1286.18	1250.98	16.03	53.57	147.06	8.13	67.59	175.07	66.65	21.16	186.4	84.63	38.4	39.5	52.82	48.18	356.05	49.21	114.36	15.34	167.9	29.27	52.08	44.25	23.93	21.94	33.06	63.0	17.13	57.49	162.14	134.3	64.34	24.28	204.07	454.09	68.07	15.56	64.8	220.32	23.76	30.78	45.53	97.36	29.7	41.52	69.52	6.11	31.9	53.19	18.56	3.82	95.34	62.12	6.67	29.7	48.18	381.68	287.01	285.03	363.56	329.84	470.14	684.02	39.79	493.56	441.64	2209.26	400.71	135.24	2485.67	181.28	2104.58	753.83	1216.75	1051.79	384.34	466.88	1340.84	287.01	30.56	346.29	79.45
GARS	4038.61	2701.35	4152.18	995.0	1733.13	2209.26	2319.15	4769.75	3467.27	4066.71	2796.65	4152.18	2758.13	1781.89	1781.89	3768.09	1857.6	1322.37	2240.11	2047.0	2255.7	1378.57	1923.14	2609.3	2335.28	2758.13	2758.13	2956.17	2875.3	1697.45	2255.7	1709.26	1208.34	4038.61	3847.29	1583.71	1950.0	2209.26	2485.67	2915.45	2335.28	2271.4	1950.0	2004.85	2032.85	1844.76	3794.3	1477.58	1745.2	1844.76	2018.8	2739.08	2935.74	2976.74	1594.73	2537.92	6037.61	854.13	2032.85	2434.5	2796.65	2591.27	2032.85	1745.2	2400.97	1617.0	1457.23	2271.4	4268.94	4769.75	3515.68	4239.45	5831.91	5791.62	3665.02	1651.0	1388.16	1923.14	3874.05	3901.01	8538.88	4704.07	2468.49	2271.4	2627.46	2119.22	6250.56	3467.27	4328.55	738.29	5147.73	2367.9	2739.08
GCFC2	679.29	733.19	447.82	412.0	152.28	490.14	417.77	156.59	511.0	441.64	656.11	547.75	305.55	277.2	429.54	454.09	490.14	384.34	260.38	80.57	343.89	173.85	167.9	228.13	281.09	376.41	126.12	371.22	293.07	126.12	281.09	108.14	256.78	759.08	136.19	231.32	156.59	161.02	314.17	157.68	226.54	153.34	180.02	198.47	432.53	162.14	460.44	314.17	181.28	80.01	260.38	358.54	237.86	381.68	208.38	277.2	239.52	191.67	105.15	215.77	171.45	187.71	463.65	138.1	231.32	267.73	279.14	379.04	366.09	255.0	291.04	392.44	334.46	728.11	723.08	285.03	214.27	571.05	273.37	291.04	1175.27	476.71	368.65	466.88	281.09	229.72	271.48	503.95	285.03	511.0	674.59	583.07	447.82
GLMN	246.28	277.2	239.52	95.34	103.69	121.79	180.02	128.79	249.73	299.25	265.87	320.8	41.22	51.35	82.29	231.32	76.17	82.87	70.51	38.95	149.12	45.53	74.58	84.04	102.97	209.84	14.89	87.03	58.3	28.24	42.11	37.59	76.17	384.34	38.12	106.63	59.97	74.06	133.36	94.67	90.77	60.82	65.72	51.71	165.57	35.5	70.51	46.5	51.35	15.68	78.34	175.07	110.43	71.0	10.63	115.97	64.8	44.57	48.87	139.07	96.68	57.49	120.1	50.98	120.1	115.97	69.52	190.34	206.94	169.07	135.24	194.36	69.52	100.83	400.71	139.07	108.9	287.01	72.52	146.03	371.22	150.17	96.01	241.19	117.6	109.66	102.97	88.26	73.54	297.17	279.14	236.21	262.2
GTF2H3	403.5	432.53	417.77	551.56	543.96	599.49	381.68	154.42	466.88	525.39	555.41	642.59	281.09	231.32	341.51	325.29	277.2	273.37	293.07	223.41	147.06	229.72	297.17	189.02	205.5	256.78	217.27	103.69	303.44	381.68	198.47	154.42	209.84	511.0	220.32	293.07	231.32	414.87	177.53	181.28	356.05	260.38	336.79	251.48	283.05	194.36	194.36	221.86	187.71	94.01	242.88	384.34	135.24	163.28	214.27	185.11	171.45	339.14	285.03	224.97	289.02	297.17	173.85	305.55	145.02	212.78	239.52	316.37	201.25	450.94	314.17	291.04	438.59	543.96	665.29	279.14	271.48	297.17	361.04	371.22	872.1	361.04	417.77	743.43	327.56	260.38	251.48	339.14	406.31	231.32	463.65	366.09	329.84
GTPBP4	3168.41	1923.14	878.17	684.02	583.07	921.88	830.75	429.54	1286.18	1350.18	1350.18	1639.59	289.02	463.65	612.11	647.07	718.08	395.18	423.61	320.8	429.54	476.71	356.05	493.56	438.59	303.44	403.5	299.25	1104.13	358.54	379.04	305.55	353.59	743.43	525.39	511.0	450.94	507.46	595.34	460.44	470.14	403.5	454.09	409.15	497.0	450.94	450.94	507.46	423.61	187.71	607.87	1331.57	351.14	316.37	297.17	476.71	490.14	325.29	426.57	473.41	470.14	406.31	521.76	493.56	543.96	373.81	483.38	941.27	1119.56	1508.65	1059.11	1551.09	571.05	1977.24	1417.35	1208.34	1096.5	753.83	796.86	759.08	723.08	1081.39	1277.29	1662.49	656.11	860.08	525.39	974.5	555.41	423.61	1277.29	825.0	1819.35
