	GTEX.S32W.1126.SM.4AD5V	GTEX.U4B1.1226.SM.4DXT7	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.XF.AAN7.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.E9.A1RG.01A.11R.A14D.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A4SC.01A.12R.A266.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.BH.A202.01A.11R.A14M.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.LL.A7T0.01A.31R.A352.07	TCGA.A7.A4SA.01A.11R.A266.07	TCGA.D8.A3Z5.01A.41R.A24H.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.E2.A14U.01A.11R.A22K.07	TCGA.A7.A5ZW.01A.12R.A29R.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.A8.A079.01A.21R.A00Z.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.AR.A24W.01A.11R.A169.07	TCGA.E2.A15T.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.B6.A0RE.01A.11R.A056.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.AR.A5QP.01A.11R.A28M.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.AR.A1AP.01A.11R.A12P.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.BH.A18J.01A.11R.A12D.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.D8.A1Y2.01A.11R.A157.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.AR.A5QN.01A.12R.A28M.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.BH.A0BS.01A.11R.A12P.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.B6.A0IO.01A.11R.A034.07	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A0DZ.11A.22R.A089.07	TCGA.BH.A0H7.11A.13R.A089.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0DO.11A.22R.A12D.07	TCGA.BH.A0C3.11A.23R.A12P.07	TCGA.BH.A1F0.11B.23R.A137.07	TCGA.BH.A18L.11A.42R.A12D.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.BH.A0H5.11A.62R.A115.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.E2.A1L7.11A.33R.A144.07	TCGA.AC.A2FB.11A.13R.A17B.07	TCGA.BH.A1F8.11B.21R.A13Q.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.BH.A18S.11A.43R.A12D.07	TCGA.BH.A0C0.11A.21R.A089.07	TCGA.BH.A0AY.11A.23R.A089.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A0BV.11A.31R.A089.07	TCGA.BH.A0BQ.11A.33R.A115.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A203.11A.42R.A169.07	TCGA.BH.A0BM.11A.12R.A089.07	TCGA.BH.A1FR.11B.42R.A13Q.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A0AZ.11A.22R.A12P.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DH.11A.31R.A089.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A18N.11A.43R.A12D.07	TCGA.BH.A0BC.11A.22R.A089.07	TCGA.E2.A1LH.11A.22R.A14D.07	TCGA.BH.A1FB.11A.33R.A13Q.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.BH.A0AU.11A.11R.A12P.07	TCGA.BH.A0DK.11A.13R.A089.07	TCGA.E2.A15M.11A.22R.A12D.07	TCGA.GI.A2C9.11A.22R.A21T.07	TCGA.BH.A0DV.11A.22R.A12P.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.A7.A0CE.11A.21R.A089.07	TCGA.E9.A1NA.11A.33R.A144.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZZPU.0626.SM.5E43T	GTEX.13N11.1726.SM.5J1OJ	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.ZVZQ.0826.SM.51MRF	GTEX.ZVT4.1026.SM.57WC4	GTEX.1269C.2426.SM.5FQSN	GTEX.1399U.1826.SM.5PNZ1	GTEX.R3RS.0626.SM.48FE1	GTEX.XMD2.0926.SM.4WWEF	GTEX.YFC4.1426.SM.5IFJG	GTEX.131YS.0626.SM.5EGKL	GTEX.S341.1526.SM.4AD6K	GTEX.T2IS.1526.SM.32QPR	GTEX.Y5LM.1726.SM.4VDSX	GTEX.ZF29.1926.SM.5S2P1	GTEX.S4P3.1326.SM.4AD6V	GTEX.1313W.0826.SM.5EQ4T	GTEX.Q2AG.0326.SM.48U1O	GTEX.X15G.1626.SM.3NMB3	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.Y3IK.2326.SM.4WWDT	GTEX.ZXES.0826.SM.5E43C	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13NZ8.0126.SM.5IJCT	GTEX.13D11.1026.SM.5IJFB	GTEX.13FTY.2226.SM.5J1ND	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.XUW1.2326.SM.4BOO5	GTEX.RU72.0626.SM.46MUI	GTEX.TML8.1226.SM.32QON	GTEX.13QIC.2326.SM.5LU5N	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.WFG7.1626.SM.4LVMF	TCGA.IG.A7DP.01A.31R.A336.31	GTEX.12WSJ.0826.SM.5PNWV	GTEX.132NY.2026.SM.5L3FM	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.ZYW4.1526.SM.5SIBA	GTEX.117YW.0526.SM.5H11C	TCGA.BR.A453.01A.11R.A24K.31	GTEX.ZE7O.3026.SM.51MS4	GTEX.13O61.1126.SM.5L3FI	GTEX.ZV6S.0926.SM.57WGB	GTEX.OIZH.1526.SM.3NB1J	GTEX.UPK5.2126.SM.4JBJK	TCGA.AX.A0IZ.11A.11R.A27V.07	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BG.A2AD.11A.11R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	TCGA.N5.A4RF.01A.11R.A28V.07	GTEX.13N11.1126.SM.5KM41	GTEX.S4UY.1226.SM.4AD51	GTEX.1117F.2426.SM.5EGGH	GTEX.PWOO.1526.SM.48TCK
COBL	10.96	14.14	137.14	99.43	122.64	30.34	3.44	42.11	60.39	74.58	80.57	53.57	30.34	409.15	32.36	490.14	39.79	878.17	135.24	361.04	173.85	106.63	234.57	450.94	974.5	221.86	486.75	183.82	1119.56	376.41	299.25	825.0	1540.37	80.01	769.69	928.3	297.17	182.55	400.71	511.0	145.02	95.34	500.46	435.55	185.11	332.14	860.08	441.64	140.04	314.17	486.75	1008.9	775.05	137.14	684.02	201.25	802.41	212.78	265.87	1175.27	599.49	46.84	432.53	229.72	348.71	665.29	21.16	684.02	785.88	339.14	1685.71	1216.75	351.14	432.53	7.34	1175.27	536.45	813.63	389.72	460.44	237.86	500.46	1259.69	536.45	703.28	1529.73	1135.2	595.34	591.22	660.68	363.56	483.38	264.03	1111.82	1487.87	896.64	265.87	1208.34	1268.46	540.19	743.43	1023.0	866.07	728.11	1322.37	733.19	376.41	514.56	759.08	470.14	525.39	373.81	860.08	1529.73	974.5	379.04	248.0	703.28	954.43	226.54	178.77	629.35	612.11	1044.52	400.71	633.73	1167.14	514.56	2720.15	244.57	423.61	915.51	490.14	1001.93	518.15	642.59	460.44	830.75	1457.23	848.22	607.87	457.25	264.03	1051.79	780.44	703.28	591.22	1143.1	239.52	780.44	8.99	104.42	61.25	460.44	403.5	156.59	61.68	2.07	78.34	165.57	389.72	1015.93	120.94	66.65	293.07	131.51	13.83	1.83	60.39	88.88	18.43	13.83	22.43	23.42	400.71
CTAGE8	7.11	12.0	0.0	16.39	0.0	14.78	7.82	2.66	0.0	6.52	7.82	0.89	4.43	44.89	143.01	133.36	47.17	26.86	193.01	56.28	73.03	68.07	5.92	92.05	116.78	190.34	9.13	40.36	88.26	55.1	36.53	13.62	38.12	33.54	109.66	180.02	83.45	111.21	34.26	116.78	95.34	50.27	86.43	136.19	21.16	74.06	66.65	189.02	115.16	48.87	11.47	91.41	51.35	93.35	132.44	139.07	108.14	74.06	22.26	194.36	133.36	28.86	12.83	36.27	14.14	299.25	12.09	79.45	119.26	100.13	137.14	2.94	56.68	121.79	14.78	115.97	52.08	57.89	114.36	43.02	27.64	17.25	172.65	126.12	215.77	262.2	115.16	144.01	171.45	65.26	29.7	228.13	82.87	111.21	66.18	256.78	33.78	136.19	246.28	163.28	126.12	44.89	70.01	144.01	182.55	172.65	150.17	166.73	127.0	128.79	2.03	22.26	25.54	231.32	211.31	57.08	148.09	154.42	281.09	76.71	103.69	103.69	102.25	157.68	89.51	256.78	111.21	67.59	15.0	89.51	269.6	43.94	66.18	75.11	97.36	239.52	0.0	60.39	249.73	127.89	100.13	80.01	59.97	151.22	97.36	295.11	35.25	161.02	20.86	237.86	20.26	23.59	16.88	9.06	17.0	0.0	0.0	23.08	8.51	46.84	23.59	9.34	8.38	3.96	3.47	0.0	18.29	5.87	9.41	26.67	0.0	94.01	35.0	8.13	22.1
CTC-236F12.4	0.0	0.0	2.23	2.43	0.0	3.47	2.78	0.0	0.0	4.86	0.0	1.31	0.0	24.81	4.62	40.07	37.59	15.91	1.0	5.36	4.82	8.25	0.0	13.22	12.74	0.89	39.79	7.75	25.35	8.65	12.0	35.5	29.48	27.05	33.06	105.15	14.24	3.5	7.94	12.64	0.0	13.52	50.27	18.43	18.84	9.7	45.85	3.99	39.22	9.85	40.07	5.06	3.89	7.28	28.45	9.63	48.52	4.78	16.27	22.75	19.11	2.01	57.08	1.17	6.57	66.18	2.78	26.67	16.27	29.27	36.53	74.06	27.64	28.45	0.0	59.97	29.48	30.34	16.51	24.46	11.73	35.25	29.06	9.93	70.01	62.56	84.04	60.82	32.36	45.85	26.86	32.82	24.11	57.89	66.18	57.89	21.94	100.13	84.04	49.91	21.16	69.03	40.93	58.71	40.64	43.63	20.86	17.13	30.56	48.18	36.01	21.63	47.5	31.45	61.68	38.12	32.36	50.63	49.91	5.19	27.25	67.59	58.3	26.1	20.41	130.6	35.0	100.83	78.89	29.91	165.57	27.44	16.75	48.87	31.45	56.28	4.06	102.97	53.19	16.03	16.63	25.72	31.45	74.06	27.84	49.21	12.45	47.84	57.08	59.55	3.56	0.0	3.47	0.0	0.0	0.0	0.0	0.0	15.68	4.17	0.93	0.0	3.63	0.0	0.0	7.69	7.75	2.97	8.99	4.43	0.0	0.0	0.0	23.76	0.0
CTD-2600O9.1	0.0	1.08	0.0	9.06	2.36	0.0	0.0	0.0	0.0	2.86	0.0	0.45	0.0	8.65	0.55	0.0	0.0	2.23	1.31	28.86	0.0	4.78	0.0	0.64	13.42	0.0	7.0	0.0	2.25	1.1	0.0	0.0	8.58	0.0	6.67	21.63	11.38	77.25	3.59	0.0	11.64	0.0	1.5	1.45	3.14	0.0	1.58	0.59	0.64	69.52	15.11	10.63	23.42	24.99	32.59	10.39	8.19	16.63	17.13	1.97	2.94	37.05	0.0	0.0	0.0	13.62	0.34	18.97	14.45	8.25	13.93	16.88	12.36	12.83	0.0	12.74	17.0	20.86	17.51	16.75	5.5	24.46	15.34	12.74	14.67	12.74	17.77	20.26	24.63	27.25	14.35	7.63	7.06	18.16	22.26	21.32	17.51	36.79	12.93	21.78	9.85	33.06	9.85	17.0	18.97	14.67	12.09	17.38	18.97	4.5	19.25	6.62	9.85	32.82	16.51	25.35	13.22	26.1	33.3	0.0	0.0	56.68	5.92	6.16	4.78	21.32	12.0	11.47	33.3	6.31	18.43	3.35	12.83	8.99	32.82	14.56	13.72	14.56	20.26	10.71	30.12	9.41	4.5	25.17	40.64	21.63	35.76	19.53	8.71	16.63	0.0	0.0	6.01	0.0	0.0	0.0	0.0	3.14	28.45	7.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	2.07	0.0	0.0	0.0	0.0
CYP26A1	1.07	0.0	0.0	1.23	0.0	0.79	3190.46	0.0	0.0	0.0	0.0	0.0	0.0	105.89	2.01	7.63	6.78	0.3	117.6	10.71	41.81	1.41	1.43	16.27	78.34	4.24	67.59	52.08	8.85	9.06	10.08	0.59	5.23	13.93	12.45	146.03	3.56	2.84	31.9	8.65	19.25	6.94	0.89	14.67	92.7	4.7	36.79	0.59	119.26	2.2	175.07	183.82	4.46	17.0	171.45	46.5	40.93	6.78	26.67	41.81	0.27	0.55	1.46	0.87	60.82	8.25	0.67	303.44	18.97	23.93	48.52	40.36	1.39	43.32	1.35	65.72	11.3	26.47	11.38	3.59	0.67	37.85	73.54	17.77	251.48	94.67	262.2	217.27	23.59	23.59	29.06	21.32	4.06	309.83	37.85	5.45	17.51	327.56	111.99	40.36	5.11	57.89	22.1	105.15	246.28	68.07	76.71	4.54	13.83	2.07	26.1	1.03	141.02	84.63	6.16	15.34	208.38	249.73	11.21	5.54	22.59	8.71	1.43	43.63	21.78	167.9	42.41	61.25	19.25	4.35	6.31	42.41	9.27	312.0	16.03	145.02	3.82	25.91	236.21	22.43	21.01	6.62	3.2	212.78	24.11	5.59	10.88	16.27	61.68	29.48	0.39	0.0	1.75	0.0	1.89	0.0	0.25	0.0	0.0	0.0	0.95	0.0	3.29	0.0	0.0	6.67	1.69	2.14	0.77	2.2	2.53	0.0	1.85	57.08	4.62
DACH1	11.04	9.27	11.91	19.68	3.08	27.64	149.12	12.27	8.85	51.71	9.56	29.27	7.94	176.29	2.92	353.59	339.14	728.11	83.45	7.4	104.42	29.27	4.74	72.01	194.36	612.11	255.0	111.99	1030.12	124.37	80.57	1096.5	575.03	17.9	389.72	145.02	7.4	10.16	132.44	271.48	1.07	182.55	563.18	785.88	173.85	135.24	444.72	381.68	13.03	5.23	127.0	12.18	7.46	7.17	135.24	59.97	218.79	65.72	23.59	412.0	325.29	4.43	1001.93	743.43	651.58	226.54	101.54	91.41	84.04	223.41	141.02	77.79	256.78	135.24	75.11	327.56	98.04	175.07	100.13	211.31	41.52	198.47	198.47	150.17	202.66	165.57	209.84	170.25	137.14	82.29	202.66	130.6	143.01	403.5	366.09	137.14	58.3	253.23	94.67	151.22	153.34	281.09	291.04	258.57	125.24	181.28	211.31	111.99	281.09	251.48	147.06	96.01	170.25	314.17	2271.4	189.02	2119.22	1350.18	366.09	1225.22	215.77	214.27	66.18	224.97	146.03	366.09	480.04	429.54	199.85	67.59	1769.57	64.8	116.78	1073.91	116.78	336.79	143.01	361.04	1540.37	24.99	373.81	88.88	17.77	941.27	647.07	141.02	186.4	343.89	262.2	1769.57	21.94	21.63	6.73	4.5	21.78	0.0	0.15	26.67	190.34	133.36	42.11	202.66	0.96	9.78	8.78	163.28	77.25	81.14	29.48	32.59	117.6	36.27	6.73	27.84	7.51
DCDC2	0.0	0.48	0.72	0.0	0.04	1.58	2.2	0.46	0.0	7.34	0.45	3.53	0.46	82.87	53.95	202.66	80.01	205.5	18.84	29.91	23.25	81.14	31.22	426.57	277.2	68.07	127.0	56.68	220.32	172.65	41.81	3.53	164.42	9.34	42.11	41.81	11.13	5.5	135.24	17.77	5.96	53.57	2.03	30.34	44.57	31.0	58.3	1277.29	4.46	8.58	603.67	29.27	2.86	191.67	181.28	110.43	260.38	25.54	3.2	108.9	50.98	45.85	43.94	69.52	172.65	100.83	0.65	53.19	88.26	80.01	161.02	122.64	92.7	246.28	0.97	185.11	327.56	457.25	202.66	323.03	50.98	68.07	251.48	351.14	110.43	381.68	59.97	426.57	156.59	198.47	113.56	181.28	400.71	642.59	73.03	486.75	287.01	441.64	178.77	186.4	124.37	206.94	117.6	536.45	279.14	152.28	260.38	99.43	122.64	84.63	267.73	51.35	206.94	264.03	111.21	83.45	134.3	2758.13	392.44	285.03	28.86	20.56	28.86	155.5	135.24	1397.83	629.35	301.33	139.07	36.01	124.37	82.29	426.57	536.45	384.34	293.07	157.68	277.2	96.01	94.67	279.14	147.06	53.19	2209.26	447.82	769.69	95.34	273.37	47.5	199.85	0.07	0.0	0.06	1.01	0.96	0.0	0.0	20.56	10.39	1.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	10.16	31.0	37.05	43.63	9.06	8.92	0.0
DSC1	0.0	0.0	3.47	0.0	0.0	0.39	0.0	0.0	0.0	0.41	0.0	0.0	0.0	3.44	0.49	3.29	2.41	7.34	4.43	3.66	0.93	1.31	0.21	2.16	3.14	0.53	2.78	1.79	7.11	1.39	0.24	0.0	24.63	0.82	3.92	23.08	2.78	3.29	4.03	0.26	0.0	2.36	1.69	1.64	3.32	1.23	3.96	0.23	1.53	16.51	13.03	0.85	1.95	2.97	13.93	3.03	21.01	1.25	0.0	13.32	1.38	3.26	1.08	0.0	0.54	69.52	0.29	7.34	37.05	22.1	76.17	29.06	33.54	15.34	0.0	72.52	24.28	12.93	26.28	24.11	2.97	15.11	60.39	31.0	60.39	12.0	37.32	32.82	56.68	57.08	45.85	33.06	16.39	43.32	39.22	30.78	14.14	48.52	21.63	13.83	32.59	28.04	24.11	53.57	38.95	24.81	40.36	15.11	67.12	37.85	10.96	25.35	31.9	65.26	19.82	23.76	17.13	35.5	45.53	28.04	12.83	40.93	12.27	43.02	13.93	35.5	48.52	5.41	34.51	7.51	22.75	6.73	20.56	14.14	15.68	13.22	14.24	81.14	15.91	21.94	62.12	7.4	4.46	29.06	88.88	3.47	15.0	57.08	32.36	33.78	0.0	1.11	0.0	0.45	6.41	0.0	0.0	0.0	2.84	1.27	0.38	1.17	3.2	1.07	0.56	1.5	0.0	0.0	0.0	0.0	1.99	0.22	0.0	0.6	1.57
DUSP16	176.29	145.02	389.72	239.52	101.54	96.68	197.09	147.06	271.48	361.04	127.0	305.55	114.36	441.64	251.48	830.75	395.18	1111.82	866.07	708.18	381.68	429.54	406.31	529.06	607.87	316.37	1498.22	518.15	728.11	466.88	525.39	1991.0	1651.0	532.74	733.19	1832.01	251.48	63.89	514.56	878.17	180.02	1572.76	358.54	785.88	457.25	1001.93	967.76	438.59	229.72	599.49	884.29	540.19	264.03	490.14	941.27	231.32	1447.15	194.36	339.14	928.3	796.86	620.67	988.12	244.57	368.65	1208.34	140.04	536.45	379.04	567.1	819.3	791.35	579.04	656.11	121.79	995.0	1037.29	1066.48	473.41	571.05	166.73	981.29	1119.56	791.35	1806.78	1127.35	1745.2	866.07	547.75	575.03	738.29	518.15	723.08	1001.93	1015.93	1135.2	371.22	1208.34	1268.46	1143.1	529.06	1015.93	890.44	981.29	1015.93	1794.29	1143.1	620.67	1909.85	1498.22	884.29	444.72	1059.11	1359.57	1066.48	723.08	1073.91	1183.45	1216.75	532.74	796.86	988.12	743.43	1378.57	1096.5	1295.13	915.51	890.44	1519.15	384.34	961.07	934.76	764.36	1350.18	486.75	1498.22	1015.93	848.22	1088.92	493.56	1896.65	819.3	409.15	1781.89	921.88	1008.9	486.75	1697.45	651.58	1651.0	241.19	287.01	186.4	56.28	159.9	0.0	0.32	409.15	325.29	409.15	108.9	93.35	312.0	249.73	234.57	77.79	353.59	202.66	177.53	189.02	64.34	182.55	185.11	206.94	164.42
EDARADD	12.93	28.65	24.28	21.63	16.51	14.89	176.29	4.03	8.06	93.35	9.2	14.56	1.36	226.54	612.11	674.59	143.01	3467.27	555.41	71.5	884.29	723.08	612.11	144.01	1697.45	2451.44	563.18	241.19	59.55	389.72	947.83	0.0	171.45	159.9	145.02	171.45	23.76	8.51	66.65	373.81	7.11	50.27	921.88	1135.2	285.03	107.38	143.01	775.05	51.35	17.9	450.94	38.4	36.79	486.75	356.05	202.66	441.64	72.01	10.71	1127.35	234.57	12.83	1277.29	10.0	518.15	361.04	8.58	190.34	287.01	212.78	271.48	295.11	209.84	275.28	1.01	414.87	264.03	363.56	218.79	269.6	92.7	159.9	703.28	234.57	406.31	387.02	157.68	395.18	214.27	435.55	239.52	248.0	295.11	444.72	384.34	336.79	368.65	743.43	287.01	281.09	221.86	532.74	403.5	497.0	295.11	239.52	325.29	176.29	547.75	120.1	366.09	94.67	395.18	688.78	152.28	273.37	295.11	825.0	356.05	293.07	41.22	159.9	114.36	435.55	140.04	1304.15	723.08	397.93	166.73	155.5	217.27	170.25	198.47	514.56	373.81	414.87	500.46	543.96	297.17	165.57	651.58	201.25	139.07	1037.29	896.64	698.41	167.9	607.87	176.29	234.57	9.63	5.92	7.17	11.3	19.97	0.0	0.13	3.59	3.2	37.59	5.92	9.48	3.2	1.91	2.23	3.41	7.82	5.82	13.93	7.63	23.59	5.32	3.11	66.18	8.13
EFCAB4A	51.35	159.9	88.88	67.59	51.71	112.77	68.07	29.91	41.81	199.85	39.22	87.03	44.25	10084.54	1529.73	5517.27	2240.11	5329.3	1191.69	325.29	1051.79	1819.35	2303.12	571.05	19214.73	2178.83	9540.5	3690.52	1674.06	1662.49	2645.74	1417.35	1605.83	723.08	1447.15	2835.7	1397.83	2178.83	5995.9	7032.37	182.55	5995.9	199.85	13306.94	1397.83	4210.15	4639.29	3039.3	830.75	1008.9	2434.5	483.38	3491.39	2367.9	3060.45	3168.41	1977.24	1685.71	1572.76	7130.55	3039.3	884.29	1540.37	3665.02	1037.29	1936.53	121.79	3928.15	4450.27	1447.15	2609.3	4450.27	1769.57	1991.0	454.09	5255.91	1250.98	3280.18	1340.84	2075.59	2018.8	2163.77	3564.78	1757.34	3395.89	3060.45	2555.58	2835.7	1268.46	2537.92	2468.49	954.43	728.11	4066.71	2895.31	2816.11	2520.38	3540.14	3564.78	2627.46	2133.97	5517.27	2976.74	3303.0	4388.98	3124.78	2004.85	2739.08	3395.89	1015.93	3303.0	2104.58	2997.45	4836.35	3665.02	1662.49	2209.26	4450.27	2777.33	1340.84	981.29	1896.65	2061.24	3103.19	1977.24	6471.02	5751.61	4671.57	3639.7	825.0	2417.67	2090.03	2004.85	4010.71	3124.78	4038.61	1191.69	2351.53	5041.77	2555.58	1508.65	2319.15	1437.15	7433.4	3280.18	4066.71	1794.29	3190.46	1331.57	2400.97	132.44	157.68	130.6	287.01	417.77	0.0	0.85	551.56	260.38	967.76	180.02	208.38	87.65	84.63	57.89	223.41	208.38	232.94	182.55	265.87	260.38	373.81	332.14	447.82	72.01
EFCAB4B	13.32	39.79	11.64	21.16	11.64	50.27	12.18	16.75	19.11	43.63	58.71	16.27	26.1	96.01	69.03	149.12	78.34	237.86	301.33	21.47	20.26	120.94	32.13	73.03	114.36	285.03	242.88	81.14	115.16	62.56	19.97	127.89	167.9	176.29	159.9	409.15	70.51	8.51	147.06	208.38	45.21	178.77	438.59	82.29	146.03	94.67	131.51	142.01	52.45	13.83	142.01	48.52	21.32	16.27	158.79	62.12	236.21	43.63	43.02	131.51	212.78	59.55	214.27	73.54	295.11	158.79	29.06	140.04	149.12	87.65	312.0	332.14	101.54	129.69	14.45	312.0	127.89	221.86	134.3	197.09	102.97	89.51	368.65	100.83	176.29	555.41	287.01	320.8	194.36	136.19	127.0	153.34	108.14	387.02	287.01	99.43	104.42	275.28	366.09	164.42	170.25	232.94	157.68	162.14	309.83	201.25	129.69	117.6	141.02	90.14	226.54	111.21	231.32	343.89	559.28	146.03	141.02	384.34	97.36	87.03	98.04	165.57	76.17	176.29	143.01	796.86	403.5	262.2	295.11	56.68	262.2	212.78	68.55	583.07	206.94	164.42	154.42	299.25	403.5	122.64	218.79	133.36	57.89	397.93	255.0	128.79	122.64	305.55	77.79	343.89	20.41	63.45	71.0	14.24	60.82	0.0	0.54	70.01	28.65	71.0	78.34	68.07	56.68	18.7	77.79	53.95	14.35	14.03	24.11	29.27	27.25	24.81	16.63	5.06	64.34
FAM196B	3.5	0.0	0.0	0.0	0.0	0.39	26.86	0.44	2.18	0.41	1.71	0.88	0.0	13.42	0.24	21.94	0.27	12.83	5.5	1.99	5.96	1.62	0.24	5.45	22.75	2.61	12.55	2.16	13.52	2.53	0.0	0.85	75.64	0.85	52.45	175.07	0.0	10.39	13.22	0.0	1.11	3.35	0.0	3.38	1.2	2.89	11.21	0.26	2.23	6.46	40.07	4.9	4.31	0.27	124.37	9.63	80.57	12.45	6.11	35.0	1.13	12.18	1.41	0.0	0.26	57.08	8.25	29.48	141.02	13.12	389.72	334.46	50.98	97.36	2.71	256.78	18.97	110.43	63.0	93.35	25.35	24.63	299.25	107.38	115.16	309.83	269.6	189.02	217.27	136.19	82.29	152.28	48.87	417.77	220.32	71.0	31.45	138.1	285.03	45.53	59.13	144.01	106.63	111.21	327.56	96.01	86.43	86.43	170.25	54.33	90.77	11.38	242.88	170.25	105.89	45.85	40.64	224.97	234.57	69.52	80.01	34.75	36.01	92.05	76.17	145.02	287.01	73.54	164.42	6.41	41.22	19.11	28.65	159.9	104.42	74.06	30.56	262.2	105.89	162.14	153.34	30.56	35.76	104.42	246.28	30.56	25.91	307.69	77.79	332.14	4.39	3.11	4.21	0.0	0.0	0.0	0.15	2.25	0.46	8.32	1.87	4.82	3.86	0.48	6.52	0.85	1.11	2.27	5.63	0.0	0.0	3.03	0.78	0.4	0.42
