	TCGA.G4.6321.01A.11R.1723.07	TCGA.G4.6302.01A.11R.1723.07	TCGA.A6.6651.01A.21R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.ZY6K.1226.SM.5GZYL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.YJ8A.1726.SM.5P9IQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.XBEW.1926.SM.4SOJO	GTEX.UPIC.1726.SM.4IHKG	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.ZY6K.1326.SM.5GZWP	GTEX.12BJ1.2126.SM.5BC5O	GTEX.UJHI.1126.SM.4IHLN	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.WOFM.2026.SM.4OOSQ	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZTSS.1126.SM.5985O	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	GTEX.11DXX.1226.SM.5GICD	GTEX.144GM.1626.SM.5O9AG	GTEX.QLQ7.1026.SM.447BB
FAP	14.45	2209.26	1417.35	20.41	7.11	23.42	9.7	7.46	11.21	5.41	25.54	24.11	18.03	17.51	53.19	15.11	23.59	4.66	9.41	29.06	16.51	25.54	12.93	183.82	13.93	80.01	7.22	12.55	30.78	50.63	30.56	7.28	41.22	3.82	155.5	10.24	7.46	36.27	6.01	22.92	4.74	4.35	7.28	41.52	14.24	9.78	50.63	25.35	15.56	8.19	39.79	47.84	10.24	8.78	12.83	2.29	20.11	8.99	4.24	6.73	41.52	5.11	20.86	10.08	35.5	31.67	5.28	43.94	4.31	7.22	25.54	13.72	12.55	41.81	28.86	11.21	47.84	4.66	16.88	47.5	115.97	31.22	29.7	23.76	18.29	4.86	941.27	698.41	232.94	264.03	236.21
FAT4	7.11	144.01	135.24	12.09	14.45	29.48	35.25	9.48	3.99	13.72	26.86	23.42	32.13	51.71	57.08	37.85	22.92	6.31	14.24	11.3	14.14	24.28	23.42	40.93	18.97	67.12	2.78	11.47	36.27	117.6	102.25	6.52	92.7	6.11	53.19	34.26	10.71	87.65	8.0	18.7	5.19	18.97	14.78	43.32	7.22	12.09	89.51	25.35	23.59	15.22	68.55	131.51	8.65	8.19	9.7	7.88	9.7	31.45	6.01	17.0	101.54	5.19	10.71	18.97	47.17	102.97	18.29	62.12	6.41	13.72	41.22	4.9	8.58	117.6	86.43	7.46	36.01	8.45	25.91	94.67	117.6	34.26	53.19	96.68	11.38	3.69	231.32	341.51	127.0	124.37	148.09
FGF2	35.5	363.56	138.1	16.03	21.01	47.84	43.63	9.93	6.73	11.82	32.36	27.25	51.35	63.45	61.25	38.4	43.94	9.41	15.34	15.68	14.89	25.72	30.34	108.9	24.99	72.52	8.13	13.12	46.5	85.82	106.63	16.39	100.83	8.99	111.99	34.02	11.13	132.44	10.0	37.59	9.34	23.42	16.15	47.17	8.38	18.56	90.77	50.63	29.48	23.93	65.26	177.53	16.63	8.51	12.74	9.2	14.56	43.63	9.41	19.39	77.79	10.88	11.21	27.84	49.21	111.21	15.22	58.71	10.47	19.82	43.94	6.62	8.65	86.43	107.38	12.09	53.95	10.31	30.12	96.68	112.77	57.08	70.01	106.63	15.45	6.41	463.65	612.11	198.47	490.14	241.19
FHOD3	18.97	307.69	366.09	96.68	54.72	79.45	83.45	57.89	22.92	76.71	73.54	64.34	91.41	110.43	116.78	107.38	70.51	45.85	26.47	86.43	57.08	61.25	70.01	529.06	41.52	100.83	29.7	51.71	98.73	241.19	253.23	55.89	197.09	64.34	170.25	123.5	36.79	205.5	44.57	92.7	31.9	43.94	52.82	84.63	40.07	25.17	289.02	105.15	45.53	62.56	87.03	733.19	32.13	44.89	40.07	37.59	43.63	71.0	51.71	68.55	246.28	40.64	52.45	67.59	91.41	182.55	35.0	218.79	33.06	54.33	109.66	31.67	35.0	327.56	162.14	102.97	111.99	68.55	102.97	198.47	318.57	120.94	76.71	231.32	73.54	52.45	277.2	1066.48	293.07	271.48	283.05
FUT11	170.25	473.41	397.93	199.85	127.0	202.66	130.6	108.14	90.77	130.6	177.53	129.69	143.01	143.01	194.36	175.07	152.28	108.9	110.43	159.9	138.1	187.71	98.73	249.73	242.88	185.11	69.03	108.14	185.11	177.53	177.53	145.02	246.28	88.26	215.77	125.24	115.16	346.29	92.05	148.09	170.25	151.22	95.34	177.53	127.89	169.07	181.28	166.73	106.63	178.77	149.12	255.0	134.3	139.07	125.24	103.69	124.37	157.68	109.66	116.78	169.07	117.6	183.82	115.97	142.01	244.57	145.02	177.53	133.36	202.66	186.4	65.72	103.69	265.87	181.28	120.1	201.25	191.67	80.01	177.53	255.0	180.02	231.32	177.53	120.1	108.14	551.56	733.19	500.46	348.71	343.89
GDF5	0.0	642.59	120.1	0.0	2.66	6.36	3.99	0.0	0.24	0.0	1.87	3.29	2.16	12.0	12.74	5.87	3.82	0.0	0.34	0.0	7.4	3.79	4.35	94.67	1.11	21.47	0.78	0.0	6.01	8.65	10.24	0.06	22.92	0.0	27.84	5.11	0.0	17.38	0.95	5.5	0.05	0.72	0.47	2.58	0.0	0.0	17.77	8.51	0.96	0.28	9.85	58.71	0.0	0.0	0.0	0.0	5.19	7.06	0.28	2.01	9.27	0.0	0.27	0.27	14.03	5.45	0.67	27.64	0.49	0.0	5.63	0.0	0.0	23.93	10.31	0.0	6.11	0.28	6.46	16.75	15.22	7.51	0.72	8.85	0.0	0.0	23.08	8.58	6.52	7.69	89.51
GLI3	10.31	332.14	221.86	19.53	28.04	57.08	45.21	14.03	5.15	10.08	43.02	29.48	38.12	69.03	92.7	54.33	24.11	9.93	11.04	16.03	24.28	28.04	33.54	67.59	28.24	90.14	4.17	18.16	55.49	95.34	183.82	12.55	92.05	8.32	79.45	40.07	8.06	221.86	8.92	32.82	11.91	20.86	17.0	63.0	7.46	13.32	145.02	43.94	33.54	17.64	81.71	194.36	13.83	11.91	14.45	4.86	12.93	38.4	9.63	23.59	87.03	4.35	10.63	24.81	40.64	126.12	18.7	61.68	10.63	19.68	63.45	8.78	11.55	74.06	105.89	10.39	53.57	12.18	25.17	91.41	98.04	101.54	54.33	110.43	13.62	6.06	208.38	211.31	178.77	409.15	860.08
GLIS2	24.63	896.64	769.69	94.67	57.08	99.43	61.68	48.18	53.19	31.22	115.16	74.58	65.72	79.45	103.69	94.67	70.01	29.06	32.13	46.5	67.59	51.71	78.34	283.05	44.25	236.21	13.83	36.01	154.42	137.14	165.57	39.5	217.27	32.82	127.89	53.19	27.44	320.8	38.95	99.43	31.45	36.53	74.58	113.56	49.56	41.22	258.57	100.13	65.26	50.98	86.43	323.03	30.34	40.07	30.56	16.27	40.64	81.71	24.46	52.45	136.19	20.86	53.19	42.71	79.45	124.37	41.22	122.64	31.22	48.52	123.5	25.91	38.95	120.94	151.22	26.86	108.14	36.27	59.97	182.55	237.86	116.78	106.63	144.01	57.08	30.56	902.89	785.88	775.05	981.29	441.64
GUCY1B3	14.56	1359.57	624.99	105.15	62.56	167.9	129.69	38.12	28.45	36.27	106.63	81.71	151.22	155.5	177.53	132.44	98.04	18.29	38.4	47.5	73.54	60.39	98.04	125.24	71.5	189.02	15.11	33.3	154.42	285.03	384.34	41.22	211.31	23.08	221.86	140.04	27.05	420.68	34.51	105.89	31.22	69.03	63.0	173.85	18.16	38.67	316.37	102.97	88.26	77.79	155.5	559.28	40.93	32.36	29.7	13.93	48.52	77.25	23.93	52.82	295.11	20.11	34.75	75.11	118.43	312.0	34.02	209.84	27.44	53.95	139.07	17.0	22.1	309.83	297.17	18.43	139.07	32.13	108.14	248.0	287.01	224.97	217.27	289.02	35.0	16.27	2417.67	2701.35	1250.98	743.43	819.3
HIVEP2	117.6	181.28	197.09	62.56	53.95	73.54	74.58	48.52	25.17	42.71	55.1	48.52	57.89	62.12	71.0	111.99	49.21	60.39	54.33	60.82	38.67	63.45	41.52	202.66	52.45	71.5	35.5	88.26	92.7	100.83	127.89	63.45	84.63	35.76	98.73	57.89	67.59	212.78	40.64	50.63	52.82	58.71	60.82	66.18	87.65	59.97	81.14	76.71	69.52	57.08	71.5	265.87	66.18	39.79	47.84	38.67	74.58	98.73	78.89	51.35	126.12	59.55	57.49	66.18	71.5	139.07	53.95	131.51	61.25	45.21	101.54	50.27	49.21	140.04	92.05	52.82	115.97	60.39	40.64	111.21	107.38	108.14	79.45	70.01	87.65	51.71	301.33	277.2	190.34	780.44	133.36
HMCN2	103.69	2451.44	1183.45	703.28	669.92	392.44	543.96	246.28	279.14	148.09	595.34	426.57	214.27	616.37	348.71	307.69	525.39	194.36	629.35	164.42	301.33	409.15	299.25	1662.49	248.0	1151.06	297.17	166.73	575.03	647.07	708.18	145.02	2739.08	248.0	1745.2	379.04	189.02	1088.92	351.14	256.78	323.03	175.07	198.47	441.64	197.09	249.73	1551.09	348.71	693.58	137.14	309.83	1081.39	167.9	318.57	237.86	127.0	551.56	878.17	307.69	293.07	500.46	96.68	329.84	423.61	995.0	444.72	629.35	1015.93	384.34	183.82	1216.75	194.36	87.65	571.05	540.19	161.02	563.18	164.42	332.14	1551.09	1721.16	305.55	363.56	665.29	178.77	162.14	796.86	1950.0	909.17	733.19	2758.13
HSPB7	31.0	9025.81	1870.53	95.34	105.89	221.86	387.02	35.5	34.26	44.25	287.01	255.0	237.86	511.0	1104.13	164.42	406.31	18.03	29.48	75.64	244.57	244.57	363.56	5076.84	107.38	1216.75	108.14	57.08	647.07	1685.71	764.36	52.45	3039.3	39.5	3190.46	312.0	21.16	684.02	26.86	343.89	41.22	115.16	57.89	1051.79	45.53	52.08	2224.63	346.29	172.65	98.04	480.04	1119.56	42.71	29.7	57.49	16.88	221.86	318.57	33.3	164.42	796.86	53.57	39.22	144.01	1030.12	651.58	139.07	426.57	131.51	244.57	256.78	32.13	40.64	848.22	1135.2	32.36	525.39	56.68	285.03	743.43	1437.15	802.41	514.56	1397.83	46.84	17.9	7857.29	15180.22	12676.65	3280.18	4181.07
JAM3	53.95	1936.53	1051.79	152.28	154.42	312.0	271.48	140.04	83.45	114.36	293.07	244.57	223.41	325.29	384.34	305.55	264.03	110.43	97.36	147.06	122.64	190.34	212.78	361.04	173.85	414.87	56.68	121.79	231.32	473.41	587.13	118.43	547.75	108.14	412.0	258.57	92.05	819.3	88.26	199.85	108.9	161.02	140.04	366.09	111.21	118.43	607.87	273.37	180.02	159.9	373.81	532.74	134.3	102.25	124.37	92.05	103.69	283.05	79.45	155.5	532.74	96.68	127.89	201.25	343.89	470.14	127.0	392.44	116.78	145.02	301.33	85.22	106.63	435.55	493.56	108.14	346.29	105.15	253.23	599.49	748.61	444.72	309.83	470.14	147.06	82.87	3303.0	3280.18	1015.93	934.76	802.41
KHDRBS3	33.3	246.28	500.46	172.65	88.26	169.07	114.36	83.45	105.89	78.34	183.82	76.17	131.51	134.3	175.07	105.89	125.24	66.18	101.54	53.95	120.94	88.26	134.3	591.22	165.57	208.38	48.87	108.9	175.07	226.54	264.03	118.43	339.14	75.11	231.32	104.42	91.41	595.34	81.71	178.77	86.43	104.42	117.6	231.32	61.68	114.36	269.6	131.51	103.69	139.07	166.73	356.05	70.01	65.72	104.42	85.22	70.51	132.44	63.89	122.64	224.97	88.88	126.12	76.17	145.02	194.36	61.25	175.07	97.36	123.5	169.07	62.56	137.14	273.37	157.68	57.49	176.29	73.54	139.07	173.85	529.06	169.07	351.14	214.27	131.51	50.27	466.88	432.53	376.41	764.36	283.05
KIAA0754	15.0	53.95	57.49	7.94	7.11	15.0	15.8	4.39	0.37	5.19	5.68	9.48	15.34	7.57	11.64	19.25	7.51	3.26	8.13	4.5	11.64	13.42	8.25	78.89	6.06	18.43	0.47	10.79	17.38	17.64	21.01	1.81	37.59	4.03	18.56	10.79	8.45	29.06	6.31	3.32	7.4	6.46	7.63	15.11	5.77	3.0	40.36	11.55	14.56	6.46	15.8	64.8	2.25	4.9	6.78	6.46	9.48	12.93	7.22	5.82	38.4	4.86	4.58	7.82	22.43	32.36	9.78	20.11	6.11	8.38	21.32	5.19	1.35	19.97	34.51	6.94	19.82	4.78	18.03	58.3	63.0	11.55	13.62	24.11	6.94	1.99	47.5	69.03	65.26	104.42	52.45
KLHL4	0.55	33.54	19.82	2.89	0.93	2.2	2.84	5.63	1.95	2.18	6.52	4.28	3.59	4.1	4.58	8.25	4.82	2.73	4.39	2.56	7.63	1.79	6.84	14.67	1.69	7.28	0.93	3.26	4.1	5.11	8.85	1.79	5.23	3.41	8.06	4.86	0.88	28.04	8.25	1.27	2.1	3.47	5.5	5.54	1.45	2.81	12.18	4.58	4.06	2.14	12.36	4.86	1.85	2.2	4.31	0.95	3.96	3.69	0.44	1.83	11.82	1.51	5.92	2.12	5.92	5.92	1.22	14.89	2.58	2.36	8.78	0.45	1.25	14.78	10.08	0.96	1.71	0.44	4.35	10.16	8.85	6.73	4.35	8.58	3.23	0.49	22.1	27.25	23.08	5.02	8.78
KLHL5	34.51	1963.57	1350.18	106.63	96.68	223.41	189.02	60.82	39.22	73.54	165.57	186.4	148.09	323.03	348.71	229.72	149.12	63.89	80.57	81.14	128.79	117.6	148.09	291.04	106.63	361.04	19.11	60.39	237.86	403.5	559.28	63.89	612.11	50.98	551.56	166.73	73.54	808.0	46.84	162.14	51.35	110.43	101.54	387.02	55.49	88.88	551.56	172.65	139.07	98.73	237.86	684.02	69.03	51.35	61.25	31.9	96.68	177.53	44.89	116.78	303.44	47.5	74.06	137.14	287.01	547.75	85.82	273.37	57.49	111.21	256.78	53.57	53.57	339.14	457.25	44.25	246.28	67.12	138.1	381.68	348.71	295.11	166.73	454.09	82.87	56.28	2468.49	921.88	1030.12	1225.22	1259.69
KRBA1	16.39	246.28	258.57	52.82	25.17	61.25	30.78	15.91	12.64	30.12	39.22	50.63	48.18	42.11	63.45	36.53	44.25	19.11	18.7	18.29	33.78	25.91	38.12	145.02	26.1	88.26	7.63	16.39	56.28	68.07	119.26	26.1	105.15	25.72	127.89	41.22	14.35	137.14	22.75	46.5	18.56	22.26	22.59	70.01	31.67	29.48	101.54	52.82	48.87	25.35	40.64	94.67	17.13	21.63	19.82	4.06	26.86	38.4	11.47	24.81	72.52	12.74	21.78	26.1	56.28	64.8	28.24	58.71	21.16	26.1	58.71	20.71	15.8	67.59	49.21	18.56	63.45	18.84	23.76	93.35	124.37	86.43	72.52	84.63	36.01	12.45	171.45	251.48	157.68	229.72	291.04
LAYN	35.5	1529.73	738.29	68.07	69.03	102.97	63.45	38.4	29.06	38.67	114.36	70.01	109.66	101.54	94.67	138.1	109.66	45.85	21.01	55.49	42.11	57.49	67.12	473.41	57.49	167.9	19.68	39.79	220.32	239.52	229.72	54.72	473.41	38.12	236.21	82.29	31.22	532.74	35.76	87.65	20.71	47.84	68.55	100.83	42.41	51.71	358.54	118.43	87.65	53.57	100.83	555.41	51.35	34.26	36.27	18.84	43.32	113.56	34.75	46.84	334.46	40.64	37.05	82.29	115.97	218.79	66.18	214.27	35.0	39.79	92.7	34.51	24.46	287.01	217.27	30.56	142.01	34.51	145.02	208.38	466.88	198.47	98.73	248.0	41.52	38.4	239.52	463.65	420.68	316.37	915.51
MAK16	68.07	244.57	279.14	93.35	114.36	102.97	82.29	64.34	76.71	82.29	106.63	84.04	92.7	96.01	93.35	167.9	82.87	75.11	163.28	105.15	88.26	98.04	144.01	215.77	70.51	197.09	33.06	86.43	171.45	124.37	123.5	67.59	110.43	87.65	208.38	80.01	98.04	256.78	102.97	117.6	142.01	82.29	89.51	114.36	68.07	76.17	164.42	146.03	88.26	86.43	111.21	232.94	116.78	66.18	63.0	85.22	83.45	181.28	62.12	92.05	161.02	91.41	80.57	116.78	98.73	145.02	55.89	149.12	75.64	88.26	120.1	54.33	94.01	130.6	132.44	96.68	148.09	92.05	84.63	111.21	147.06	177.53	107.38	125.24	100.83	82.29	201.25	206.94	223.41	301.33	157.68
MAN1C1	50.98	583.07	486.75	142.01	122.64	249.73	87.03	83.45	81.14	47.17	172.65	140.04	110.43	172.65	161.02	182.55	64.34	52.08	79.45	63.45	62.12	65.72	110.43	373.81	73.03	135.24	31.67	84.04	147.06	96.68	144.01	69.52	187.71	36.79	96.01	87.65	58.71	351.14	63.0	98.73	49.21	102.25	92.05	150.17	54.33	85.22	258.57	149.12	145.02	85.22	94.01	323.03	55.1	74.06	50.98	45.53	79.45	117.6	24.28	69.52	198.47	46.84	80.57	61.25	100.83	206.94	49.21	140.04	40.07	40.07	204.07	46.18	50.27	221.86	183.82	29.27	161.02	76.17	96.01	241.19	381.68	307.69	161.02	136.19	77.25	43.94	529.06	1111.82	708.18	1277.29	791.35
MDH1B	4.5	15.56	30.12	5.28	5.06	9.34	6.06	4.17	2.2	3.59	7.34	10.16	9.63	12.93	8.0	11.64	3.56	1.75	2.94	3.76	5.96	3.5	12.0	18.97	6.36	11.38	2.01	5.19	1.95	19.39	8.45	0.88	8.78	3.5	10.47	11.55	6.73	11.73	8.85	4.03	4.94	5.92	3.44	7.63	1.19	3.86	19.68	15.91	9.13	4.66	10.79	27.84	4.06	4.39	5.15	3.92	6.01	9.13	2.25	4.94	12.18	5.87	7.0	3.14	6.41	6.26	2.84	12.0	3.72	2.89	9.41	6.31	1.0	12.45	10.24	3.14	4.66	9.63	17.13	10.08	16.88	5.63	7.82	17.25	6.06	4.21	19.11	42.71	11.3	17.51	16.63
MFHAS1	214.27	361.04	521.76	258.57	226.54	251.48	221.86	178.77	204.07	208.38	265.87	151.22	220.32	281.09	281.09	287.01	244.57	212.78	186.4	223.41	199.85	291.04	231.32	612.11	271.48	305.55	130.6	209.84	283.05	281.09	371.22	226.54	256.78	221.86	262.2	157.68	197.09	555.41	194.36	241.19	148.09	211.31	242.88	287.01	183.82	173.85	323.03	176.29	253.23	223.41	309.83	830.75	325.29	178.77	181.28	287.01	173.85	198.47	199.85	214.27	273.37	228.13	258.57	177.53	224.97	387.02	221.86	341.51	224.97	255.0	287.01	273.37	215.77	356.05	403.5	228.13	260.38	214.27	244.57	320.8	323.03	497.0	236.21	387.02	166.73	137.14	460.44	316.37	444.72	1191.69	417.77
MKL1	432.53	688.78	620.67	387.02	291.04	395.18	363.56	301.33	241.19	281.09	318.57	395.18	277.2	381.68	373.81	351.14	389.72	273.37	234.57	299.25	291.04	279.14	287.01	1023.0	309.83	420.68	209.84	271.48	470.14	529.06	480.04	267.73	493.56	327.56	414.87	358.54	241.19	514.56	348.71	295.11	229.72	258.57	318.57	392.44	371.22	249.73	444.72	368.65	353.59	305.55	299.25	884.29	199.85	299.25	281.09	209.84	323.03	356.05	271.48	295.11	532.74	236.21	305.55	381.68	358.54	476.71	305.55	525.39	323.03	287.01	373.81	275.28	301.33	743.43	426.57	307.69	397.93	237.86	255.0	441.64	599.49	409.15	406.31	447.82	339.14	183.82	603.67	1037.29	642.59	674.59	928.3
MPDZ	23.25	848.22	543.96	52.08	52.45	130.6	80.01	33.54	21.01	45.21	88.88	88.26	141.02	127.89	154.42	114.36	82.87	26.47	30.56	53.19	67.59	70.51	90.14	164.42	85.22	191.67	16.15	36.79	140.04	228.13	309.83	36.27	202.66	35.0	167.9	110.43	34.51	366.09	34.51	88.88	23.93	72.01	44.25	176.29	43.32	32.36	283.05	134.3	68.07	73.03	145.02	343.89	41.22	32.82	33.06	19.82	49.56	99.43	33.3	51.71	211.31	24.28	41.22	93.35	94.01	258.57	43.63	186.4	42.71	75.64	152.28	26.47	28.24	251.48	241.19	32.36	164.42	33.3	62.12	182.55	277.2	151.22	183.82	271.48	63.0	27.84	1857.6	1883.54	708.18	656.11	476.71
MRVI1	41.81	2664.15	1407.55	177.53	220.32	356.05	277.2	110.43	55.89	100.83	264.03	305.55	269.6	432.53	579.04	332.14	234.57	76.71	124.37	92.7	201.25	167.9	246.28	669.92	199.85	738.29	55.49	150.17	540.19	684.02	902.89	120.94	733.19	98.73	642.59	327.56	111.21	878.17	105.89	201.25	95.34	140.04	130.6	529.06	100.83	102.25	1081.39	314.17	202.66	136.19	384.34	1175.27	113.56	121.79	141.02	70.51	123.5	267.73	82.29	155.5	629.35	48.52	143.01	150.17	309.83	660.68	139.07	466.88	109.66	111.99	384.34	49.56	77.25	591.22	642.59	70.01	444.72	96.01	175.07	684.02	836.53	473.41	346.29	703.28	127.89	93.35	7130.55	9945.68	3372.43	2163.77	2004.85
MYEF2	38.67	277.2	435.55	132.44	73.54	118.43	98.04	40.36	14.03	67.59	86.43	96.68	136.19	119.26	140.04	159.9	87.65	40.07	38.95	81.14	40.93	55.49	94.01	232.94	65.26	124.37	31.22	63.0	98.73	301.33	291.04	20.56	309.83	39.79	187.71	102.25	72.01	368.65	71.5	53.57	38.95	54.33	73.54	110.43	63.45	54.33	285.03	162.14	71.5	94.01	126.12	543.96	46.18	35.76	27.64	68.07	100.83	91.41	69.52	37.59	334.46	53.57	38.95	71.0	180.02	305.55	29.27	277.2	37.05	88.26	79.45	56.28	27.84	305.55	167.9	78.89	269.6	48.18	80.01	332.14	540.19	163.28	151.22	309.83	105.15	37.05	490.14	1104.13	728.11	1015.93	543.96
MYH10	28.24	884.29	769.69	77.25	47.17	69.03	122.64	43.32	17.25	23.25	55.49	66.18	81.71	54.33	63.0	92.05	55.89	21.01	36.27	45.21	43.63	34.75	97.36	262.2	36.79	98.73	9.06	31.9	69.52	171.45	169.07	30.34	234.57	30.78	164.42	83.45	26.86	195.72	25.91	54.33	56.28	82.87	82.29	105.15	50.98	49.21	193.01	53.19	136.19	65.72	76.17	202.66	31.0	39.22	27.25	27.05	28.65	60.82	12.45	28.86	169.07	28.04	50.27	43.02	121.79	155.5	47.84	68.55	41.52	54.33	94.67	31.22	25.35	119.26	175.07	27.64	112.77	45.85	61.25	273.37	361.04	73.03	127.0	102.25	48.18	27.64	343.89	514.56	463.65	217.27	291.04
MYOCD	10.79	941.27	351.14	44.25	45.85	152.28	116.78	15.11	12.09	24.63	74.06	71.5	133.36	163.28	146.03	135.24	61.68	12.27	27.25	25.91	61.68	49.91	67.59	305.55	84.04	289.02	7.11	18.29	185.11	283.05	457.25	18.29	384.34	11.64	277.2	108.14	19.97	559.28	18.43	67.59	19.68	52.08	53.57	172.65	13.52	21.01	318.57	85.22	81.71	34.26	217.27	647.07	19.82	23.25	23.08	8.85	33.78	94.67	13.32	48.52	262.2	10.0	25.91	52.08	132.44	392.44	27.84	293.07	13.22	52.08	163.28	11.04	21.32	373.81	323.03	19.25	121.79	19.53	71.5	258.57	201.25	157.68	105.89	309.83	31.45	8.51	753.83	447.82	497.0	271.48	571.05
NHSL2	2.66	63.45	68.55	4.17	4.78	11.82	12.18	1.69	0.71	2.36	7.75	7.0	12.0	6.41	11.91	14.14	7.11	0.02	2.66	2.51	7.0	5.06	8.78	49.21	6.78	27.44	1.16	4.43	7.46	14.35	17.13	1.93	33.54	1.55	28.45	7.94	3.44	59.13	3.99	4.03	2.53	3.59	5.45	12.18	4.35	5.32	29.48	7.75	6.89	3.35	10.55	36.27	1.99	2.39	1.57	1.48	7.22	8.58	2.86	5.19	25.72	0.67	5.41	6.31	10.39	23.42	3.63	13.93	2.84	1.75	16.75	2.36	1.01	18.43	25.91	4.9	7.63	4.35	5.41	31.9	31.45	7.0	11.04	17.38	3.06	0.04	140.04	149.12	43.63	183.82	71.0
NLGN2	57.89	1135.2	878.17	94.01	75.64	194.36	80.01	57.89	43.02	66.18	118.43	136.19	147.06	143.01	157.68	134.3	90.77	47.5	37.05	57.49	119.26	84.63	121.79	198.47	75.64	217.27	31.9	57.49	154.42	281.09	346.29	54.72	224.97	54.33	236.21	130.6	38.95	466.88	48.87	147.06	49.21	89.51	63.45	214.27	63.45	62.56	246.28	154.42	170.25	71.0	126.12	379.04	41.52	57.49	38.4	21.01	67.12	121.79	33.78	62.56	218.79	28.86	77.25	118.43	115.16	283.05	74.06	217.27	56.28	57.49	171.45	37.32	46.84	249.73	169.07	45.21	202.66	47.5	69.52	223.41	289.02	217.27	215.77	236.21	68.55	40.36	1191.69	1870.53	665.29	1051.79	1191.69
NOC3L	50.98	147.06	231.32	80.01	109.66	102.25	70.51	69.03	68.55	85.22	95.34	102.97	76.17	120.94	84.04	132.44	69.03	95.34	84.04	124.37	73.54	94.01	119.26	186.4	76.71	159.9	30.78	97.36	123.5	95.34	114.36	70.51	102.97	90.77	178.77	72.52	90.14	244.57	90.14	94.67	76.17	90.14	90.14	107.38	102.25	83.45	137.14	135.24	95.34	88.88	140.04	199.85	93.35	62.12	40.07	78.89	86.43	186.4	78.89	96.01	137.14	77.25	94.67	87.65	81.71	116.78	51.35	181.28	95.34	98.73	105.15	49.91	92.05	116.78	116.78	78.34	145.02	90.14	83.45	134.3	152.28	152.28	100.13	133.36	87.03	62.56	246.28	287.01	201.25	190.34	153.34
