	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.BH.A1FU.11A.23R.A14D.07	GTEX.ZF2S.2026.SM.5E461	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.BJ.A45I.01A.11R.A23W.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.E8.A436.01A.12R.A23W.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.DJ.A3UQ.01A.11R.A22L.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A1CS.01A.11R.A13Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.DJ.A1QE.01A.21R.A14Y.07	TCGA.FE.A234.01A.11R.A14Y.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3V7.01A.11R.A23N.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.E8.A242.01A.21R.A16R.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3GV.01A.11R.A21D.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3T9.01A.21R.A22L.07	TCGA.EL.A4KG.01A.11R.A250.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	TCGA.EL.A3N2.11A.11R.A20F.07	GTEX.R55C.0626.SM.2TF4Q
HMGXB3	708.18	638.15	642.59	540.19	595.34	536.45	525.39	679.29	693.58	438.59	571.05	563.18	872.1	435.55	441.64	743.43	450.94	444.72	607.87	518.15	647.07	356.05	559.28	532.74	599.49	603.67	457.25	764.36	514.56	500.46	397.93	633.73	738.29	647.07	633.73	473.41	490.14	595.34	591.22	329.84	409.15	483.38	441.64	412.0	638.15	603.67	507.46	518.15	540.19	579.04	698.41	674.59	356.05	591.22	497.0	688.78	669.92	500.46	463.65	551.56	638.15	514.56	518.15	872.1	514.56	559.28	444.72	473.41	511.0	511.0
INTS2	127.89	144.01	217.27	59.55	53.57	71.5	41.81	56.68	47.84	36.27	60.82	55.49	99.43	38.12	28.65	79.45	15.91	63.45	57.49	27.25	54.33	63.89	65.72	49.21	59.55	46.18	55.49	65.26	90.77	57.89	26.86	52.45	65.72	62.56	54.72	36.01	34.02	65.72	52.82	33.54	33.78	25.35	37.85	64.8	68.55	42.71	50.63	61.68	57.08	74.06	52.45	29.91	31.0	52.08	53.95	43.63	63.89	32.82	111.99	54.72	73.54	79.45	71.5	79.45	36.53	41.52	42.11	48.87	106.63	130.6
IQCE	332.14	348.71	412.0	234.57	199.85	358.54	220.32	236.21	187.71	177.53	232.94	178.77	256.78	187.71	173.85	260.38	189.02	525.39	212.78	176.29	231.32	226.54	277.2	226.54	279.14	186.4	206.94	214.27	285.03	258.57	195.72	181.28	285.03	212.78	251.48	224.97	169.07	242.88	265.87	198.47	193.01	169.07	201.25	287.01	237.86	163.28	297.17	228.13	199.85	323.03	234.57	199.85	194.36	156.59	159.9	171.45	205.5	199.85	249.73	249.73	267.73	312.0	232.94	358.54	221.86	172.65	185.11	187.71	325.29	297.17
ITGB8	579.04	264.03	214.27	11.3	98.73	6.01	127.0	120.94	90.77	83.45	108.14	144.01	137.14	120.1	79.45	146.03	34.75	2.76	111.99	80.57	116.78	7.82	170.25	4.86	113.56	96.68	14.78	94.01	256.78	8.25	44.89	37.32	249.73	146.03	139.07	48.87	86.43	151.22	4.54	5.92	38.67	84.04	72.52	93.35	116.78	120.94	8.19	155.5	136.19	169.07	132.44	68.07	60.39	134.3	134.3	122.64	85.82	57.49	11.55	158.79	147.06	214.27	116.78	189.02	127.89	70.01	77.25	89.51	132.44	55.49
KCTD20	607.87	785.88	878.17	309.83	314.17	423.61	267.73	293.07	420.68	251.48	363.56	289.02	423.61	242.88	224.97	441.64	180.02	277.2	341.51	204.07	329.84	231.32	327.56	265.87	409.15	312.0	265.87	371.22	384.34	336.79	194.36	346.29	389.72	346.29	242.88	212.78	267.73	376.41	291.04	186.4	223.41	180.02	231.32	297.17	361.04	312.0	262.2	329.84	285.03	373.81	287.01	187.71	251.48	316.37	271.48	289.02	301.33	281.09	332.14	346.29	376.41	346.29	414.87	389.72	212.78	368.65	255.0	255.0	435.55	432.53
KCTD7	234.57	312.0	392.44	186.4	127.89	256.78	122.64	231.32	183.82	65.26	119.26	146.03	327.56	126.12	92.7	316.37	63.45	209.84	194.36	130.6	134.3	172.65	182.55	211.31	172.65	129.69	209.84	187.71	307.69	169.07	114.36	208.38	190.34	166.73	262.2	142.01	84.63	318.57	229.72	115.16	100.83	69.03	152.28	163.28	178.77	131.51	128.79	149.12	242.88	371.22	173.85	96.01	146.03	100.83	138.1	166.73	163.28	139.07	312.0	146.03	191.67	189.02	212.78	295.11	121.79	127.0	143.01	149.12	239.52	325.29
KIAA1147	500.46	454.09	547.75	389.72	164.42	275.28	194.36	205.5	201.25	113.56	208.38	175.07	277.2	193.01	129.69	289.02	120.94	351.14	206.94	133.36	180.02	264.03	255.0	297.17	221.86	191.67	236.21	183.82	371.22	295.11	158.79	258.57	237.86	244.57	249.73	171.45	120.1	248.0	255.0	217.27	157.68	117.6	159.9	285.03	255.0	144.01	221.86	249.73	246.28	351.14	199.85	142.01	134.3	162.14	173.85	209.84	226.54	156.59	283.05	242.88	246.28	376.41	269.6	406.31	146.03	155.5	131.51	187.71	476.71	463.65
KIAA1549	90.77	109.66	165.57	98.04	20.41	48.18	30.56	27.84	31.9	18.16	33.78	27.44	55.89	23.59	17.51	42.11	15.8	40.93	36.27	14.03	29.48	41.22	43.94	56.28	30.78	22.1	68.55	30.12	76.71	33.78	15.91	24.99	48.18	31.0	33.3	21.47	18.97	41.52	38.4	23.76	16.39	17.25	18.29	45.53	28.24	20.71	27.25	37.85	27.84	47.17	29.7	24.11	28.24	15.34	19.25	29.48	24.99	17.13	70.01	31.45	38.12	45.53	35.76	48.87	20.71	22.59	19.97	23.93	54.33	28.65
KIF3B	595.34	563.18	1073.91	423.61	246.28	728.11	279.14	339.14	346.29	253.23	334.46	312.0	426.57	262.2	255.0	426.57	256.78	587.13	376.41	232.94	353.59	366.09	392.44	264.03	379.04	348.71	417.77	373.81	486.75	607.87	265.87	281.09	507.46	376.41	400.71	271.48	189.02	507.46	363.56	423.61	226.54	211.31	265.87	327.56	336.79	371.22	486.75	412.0	309.83	493.56	358.54	197.09	260.38	307.69	316.37	325.29	283.05	236.21	395.18	332.14	466.88	339.14	454.09	426.57	249.73	307.69	265.87	293.07	466.88	480.04
KLHL20	316.37	361.04	536.45	258.57	217.27	197.09	194.36	242.88	297.17	180.02	232.94	220.32	325.29	218.79	150.17	318.57	104.42	147.06	295.11	157.68	289.02	199.85	262.2	204.07	287.01	253.23	171.45	281.09	258.57	186.4	120.1	249.73	281.09	256.78	231.32	145.02	208.38	239.52	249.73	171.45	162.14	148.09	228.13	237.86	295.11	209.84	141.02	217.27	231.32	232.94	228.13	139.07	197.09	189.02	180.02	332.14	267.73	175.07	309.83	241.19	269.6	269.6	295.11	334.46	144.01	291.04	281.09	248.0	246.28	202.66
KRBA2	109.66	91.41	193.01	47.84	33.78	106.63	35.76	39.22	39.79	23.59	34.26	25.17	57.89	23.59	15.91	58.71	23.76	48.87	31.67	17.0	39.22	32.36	44.25	33.06	49.21	36.53	44.89	48.18	61.68	55.89	12.93	53.57	59.97	49.56	47.17	35.76	17.25	68.55	49.21	18.84	23.76	10.88	20.11	35.0	71.0	37.85	60.39	50.27	33.54	63.0	36.53	21.32	15.91	33.3	27.44	34.02	22.43	24.11	98.73	37.59	34.02	54.33	53.57	66.65	24.99	40.64	33.06	24.99	77.79	98.73
LETM1	371.22	414.87	320.8	540.19	314.17	551.56	287.01	351.14	297.17	234.57	305.55	251.48	454.09	224.97	228.13	361.04	279.14	551.56	301.33	185.11	295.11	381.68	339.14	435.55	376.41	291.04	503.95	389.72	473.41	497.0	249.73	332.14	318.57	356.05	400.71	339.14	217.27	371.22	518.15	571.05	307.69	183.82	208.38	395.18	320.8	246.28	529.06	314.17	289.02	470.14	366.09	301.33	208.38	253.23	260.38	283.05	287.01	242.88	703.28	361.04	363.56	470.14	371.22	420.68	279.14	314.17	249.73	265.87	332.14	470.14
LMLN	129.69	119.26	156.59	100.13	69.03	128.79	68.07	80.01	77.25	46.5	73.03	78.34	94.01	71.0	34.75	106.63	24.28	109.66	72.52	46.5	72.52	80.57	82.87	80.57	87.03	57.08	94.67	69.03	124.37	86.43	42.11	101.54	98.73	87.65	84.63	52.45	53.19	88.88	98.73	72.52	67.12	41.81	55.49	78.89	85.82	55.89	116.78	76.17	78.89	98.73	65.72	39.22	59.55	59.97	66.18	66.65	87.65	47.84	85.82	70.51	90.77	90.77	91.41	125.24	52.45	67.12	68.55	48.18	130.6	153.34
LYRM7	133.36	158.79	167.9	81.71	57.89	156.59	76.71	82.29	63.45	55.1	76.17	77.79	87.03	61.68	40.64	78.34	20.56	167.9	67.59	66.65	57.89	171.45	66.18	102.97	54.33	60.39	118.43	65.72	78.34	139.07	43.32	115.16	62.56	66.18	89.51	78.89	49.91	44.89	112.77	90.14	70.01	51.71	61.25	84.04	85.22	42.41	131.51	80.57	80.57	99.43	65.26	47.17	75.11	61.25	55.49	63.45	68.07	43.02	143.01	73.54	77.79	107.38	91.41	96.68	46.18	78.89	60.82	48.52	170.25	201.25
MAFG	320.8	277.2	249.73	392.44	206.94	379.04	201.25	318.57	356.05	215.77	205.5	201.25	353.59	211.31	169.07	400.71	159.9	249.73	269.6	165.57	215.77	312.0	376.41	305.55	275.28	336.79	480.04	253.23	297.17	387.02	187.71	253.23	291.04	293.07	327.56	218.79	180.02	265.87	412.0	224.97	148.09	120.1	234.57	256.78	271.48	190.34	412.0	214.27	256.78	309.83	289.02	150.17	214.27	183.82	199.85	251.48	244.57	183.82	420.68	289.02	376.41	329.84	236.21	277.2	153.34	291.04	194.36	234.57	536.45	389.72
MAK16	255.0	312.0	208.38	143.01	181.28	123.5	175.07	186.4	167.9	162.14	201.25	182.55	249.73	147.06	134.3	232.94	97.36	162.14	164.42	90.77	204.07	129.69	202.66	113.56	173.85	146.03	186.4	173.85	231.32	136.19	129.69	194.36	258.57	175.07	178.77	126.12	128.79	218.79	100.13	87.65	141.02	170.25	143.01	129.69	170.25	163.28	208.38	205.5	194.36	271.48	181.28	120.94	165.57	156.59	156.59	138.1	175.07	129.69	158.79	136.19	255.0	189.02	190.34	267.73	161.02	134.3	164.42	169.07	220.32	209.84
MAML1	518.15	555.41	521.76	361.04	363.56	239.52	358.54	379.04	389.72	281.09	353.59	293.07	392.44	287.01	275.28	438.59	267.73	218.79	423.61	248.0	387.02	215.77	450.94	249.73	447.82	343.89	226.54	366.09	518.15	244.57	242.88	316.37	450.94	406.31	384.34	269.6	258.57	493.56	301.33	187.71	260.38	224.97	283.05	389.72	426.57	314.17	231.32	379.04	339.14	454.09	358.54	232.94	260.38	312.0	301.33	395.18	343.89	281.09	356.05	397.93	353.59	447.82	368.65	540.19	293.07	332.14	287.01	316.37	423.61	356.05
MED1	555.41	674.59	988.12	293.07	236.21	384.34	226.54	226.54	271.48	185.11	283.05	223.41	371.22	208.38	157.68	305.55	142.01	271.48	251.48	119.26	281.09	223.41	269.6	214.27	277.2	223.41	228.13	287.01	325.29	246.28	175.07	199.85	358.54	285.03	285.03	164.42	171.45	348.71	221.86	189.02	158.79	149.12	176.29	237.86	264.03	229.72	229.72	265.87	229.72	361.04	241.19	147.06	190.34	191.67	226.54	195.72	229.72	172.65	358.54	229.72	336.79	327.56	312.0	262.2	177.53	229.72	201.25	226.54	332.14	341.51
MLLT1	591.22	669.92	633.73	395.18	199.85	361.04	264.03	420.68	320.8	154.42	287.01	218.79	466.88	202.66	176.29	514.56	180.02	435.55	348.71	195.72	301.33	256.78	444.72	267.73	447.82	320.8	265.87	366.09	514.56	309.83	128.79	312.0	444.72	368.65	426.57	237.86	135.24	426.57	403.5	237.86	155.5	110.43	201.25	361.04	336.79	307.69	260.38	348.71	297.17	483.38	293.07	165.57	150.17	251.48	190.34	253.23	236.21	189.02	579.04	400.71	412.0	532.74	389.72	389.72	178.77	271.48	193.01	253.23	728.11	457.25
MNT	289.02	376.41	305.55	371.22	285.03	209.84	291.04	435.55	285.03	237.86	281.09	314.17	341.51	197.09	241.19	392.44	221.86	277.2	332.14	221.86	295.11	277.2	376.41	329.84	392.44	327.56	239.52	387.02	525.39	199.85	214.27	234.57	420.68	376.41	373.81	289.02	251.48	466.88	366.09	224.97	193.01	167.9	289.02	363.56	327.56	307.69	190.34	373.81	373.81	463.65	403.5	228.13	291.04	239.52	265.87	273.37	269.6	255.0	457.25	293.07	334.46	368.65	271.48	559.28	258.57	312.0	236.21	291.04	329.84	218.79
MTF1	220.32	237.86	264.03	67.59	48.87	75.11	63.0	66.65	64.34	49.56	64.8	50.27	88.88	48.52	29.91	95.34	30.12	58.71	60.39	28.04	61.68	49.91	85.22	52.82	84.04	56.68	71.0	63.45	99.43	78.34	35.5	56.68	95.34	67.59	55.89	37.85	33.06	94.01	59.55	42.41	38.67	33.78	41.81	53.57	68.55	55.49	55.1	69.03	53.57	94.01	66.18	30.56	35.25	46.5	41.81	40.93	59.55	39.79	67.12	52.45	92.05	84.63	72.52	91.41	52.82	59.97	43.63	52.08	127.89	107.38
MYLK4	24.28	15.8	20.56	5.77	5.96	10.79	4.62	6.78	8.19	3.41	7.46	7.06	8.0	7.34	5.28	11.47	3.5	7.06	8.51	2.32	6.67	10.79	4.94	12.74	7.51	6.26	9.34	7.82	19.25	16.39	4.21	5.87	17.38	4.17	5.32	4.13	3.5	10.16	7.63	3.96	6.11	2.78	3.23	10.08	5.54	5.54	4.03	9.93	7.94	15.22	6.89	3.29	5.54	5.87	5.28	3.59	11.13	6.94	3.63	8.32	11.21	8.78	11.13	18.56	4.28	4.98	4.5	5.11	23.93	16.27
NBPF1	587.13	909.17	1757.34	476.71	351.14	547.75	361.04	373.81	267.73	151.22	447.82	336.79	500.46	363.56	256.78	587.13	104.42	336.79	373.81	156.59	323.03	244.57	353.59	346.29	366.09	194.36	409.15	361.04	656.11	236.21	218.79	157.68	463.65	429.54	373.81	255.0	256.78	480.04	327.56	403.5	208.38	220.32	129.69	532.74	387.02	376.41	493.56	356.05	343.89	412.0	412.0	269.6	303.44	205.5	265.87	152.28	420.68	226.54	813.63	237.86	518.15	575.03	503.95	518.15	248.0	242.88	231.32	256.78	769.69	332.14
NBPF24	74.58	92.7	135.24	23.76	31.9	34.75	32.13	29.06	22.75	1.85	20.71	17.9	27.05	10.16	19.53	45.53	6.89	17.25	20.41	24.46	5.5	11.47	38.95	38.4	32.59	15.68	1.91	65.26	88.26	25.91	11.38	33.3	32.82	12.74	35.76	22.75	10.63	35.76	23.08	6.52	18.29	6.46	6.46	36.01	37.32	17.0	16.03	38.12	33.3	53.19	26.47	13.93	14.67	16.63	12.36	14.14	27.64	15.56	45.85	28.86	32.59	87.65	29.06	63.45	16.63	37.85	25.17	27.44	64.34	33.06
NCAPD2	521.76	514.56	567.1	301.33	237.86	226.54	277.2	320.8	299.25	231.32	273.37	248.0	316.37	241.19	212.78	351.14	189.02	244.57	379.04	173.85	327.56	170.25	414.87	217.27	441.64	297.17	218.79	303.44	490.14	273.37	206.94	232.94	363.56	312.0	332.14	237.86	262.2	417.77	232.94	181.28	297.17	185.11	202.66	314.17	341.51	289.02	228.13	327.56	271.48	417.77	287.01	211.31	217.27	279.14	246.28	320.8	287.01	212.78	356.05	327.56	248.0	423.61	397.93	457.25	283.05	251.48	232.94	224.97	463.65	346.29
NMNAT1	211.31	237.86	305.55	190.34	121.79	432.53	115.97	164.42	161.02	121.79	181.28	153.34	153.34	116.78	124.37	178.77	120.94	265.87	141.02	118.43	141.02	318.57	150.17	195.72	124.37	122.64	309.83	167.9	148.09	325.29	133.36	246.28	151.22	150.17	145.02	229.72	91.41	147.06	244.57	209.84	146.03	98.04	158.79	133.36	142.01	141.02	269.6	166.73	180.02	199.85	122.64	83.45	140.04	164.42	119.26	115.97	135.24	107.38	228.13	114.36	166.73	147.06	206.94	148.09	114.36	123.5	129.69	124.37	204.07	381.68
NSD1	620.67	521.76	656.11	312.0	185.11	244.57	178.77	220.32	226.54	138.1	218.79	163.28	305.55	162.14	139.07	305.55	130.6	209.84	231.32	128.79	206.94	221.86	291.04	231.32	295.11	211.31	211.31	232.94	454.09	273.37	138.1	182.55	358.54	246.28	273.37	176.29	120.1	318.57	242.88	195.72	158.79	135.24	155.5	262.2	265.87	181.28	202.66	281.09	223.41	414.87	256.78	143.01	144.01	176.29	180.02	193.01	209.84	150.17	281.09	224.97	283.05	395.18	305.55	271.48	153.34	180.02	172.65	209.84	400.71	420.68
NUP155	265.87	307.69	361.04	120.94	133.36	186.4	124.37	105.89	120.94	132.44	164.42	103.69	150.17	107.38	123.5	149.12	90.14	150.17	113.56	84.04	162.14	88.88	132.44	80.57	140.04	123.5	124.37	136.19	150.17	153.34	94.67	127.89	178.77	136.19	139.07	111.21	170.25	180.02	106.63	105.89	96.68	88.26	102.97	116.78	105.89	118.43	136.19	135.24	137.14	170.25	113.56	95.34	98.73	119.26	138.1	129.69	105.15	92.7	122.64	150.17	151.22	147.06	167.9	228.13	108.9	127.0	111.99	117.6	159.9	187.71
P2RX5-TAX1BP3	8.25	6.52	6.31	4.98	1.25	3.92	2.14	4.46	2.39	1.79	1.97	4.62	4.17	3.5	1.48	6.36	1.53	5.32	3.38	1.48	1.43	2.86	4.28	3.92	3.69	2.66	3.89	2.78	6.67	3.92	4.28	3.11	4.86	4.28	3.96	2.36	2.76	4.94	2.71	3.86	2.1	1.85	2.53	3.69	5.11	2.05	6.46	2.41	3.72	4.21	2.25	1.93	1.62	1.55	1.77	1.27	2.63	2.12	7.06	1.99	4.62	7.82	3.92	2.81	2.23	1.64	2.73	2.18	6.06	9.27
PEG3	323.03	236.21	665.29	84.04	15.8	48.18	16.63	48.18	32.13	9.41	20.26	21.94	37.32	18.29	16.03	38.95	9.85	116.78	27.25	19.53	22.43	58.3	27.05	52.45	23.08	25.35	44.89	36.01	58.3	57.89	18.97	36.79	29.91	28.04	36.79	14.35	14.35	27.25	44.25	43.63	16.15	11.73	18.03	50.63	22.92	19.25	29.48	32.82	26.1	60.82	28.45	14.03	14.24	13.32	14.24	5.82	26.67	9.85	94.67	18.03	38.4	38.4	36.01	23.25	15.34	9.78	8.19	25.17	93.35	381.68
PER2	314.17	567.1	511.0	115.16	72.52	25.17	66.18	112.77	90.77	61.68	135.24	66.65	133.36	111.21	73.03	166.73	39.5	98.04	82.87	49.56	52.82	87.65	146.03	151.22	90.14	62.56	61.25	74.58	171.45	87.65	77.25	143.01	61.68	92.7	176.29	77.25	37.85	94.67	100.83	97.36	72.52	65.26	86.43	147.06	163.28	70.01	98.73	142.01	183.82	139.07	104.42	71.5	100.83	62.56	53.95	57.49	119.26	83.45	205.5	120.94	173.85	173.85	125.24	176.29	55.1	88.88	75.11	58.71	141.02	74.58
PLAGL2	175.07	186.4	186.4	108.9	114.36	51.71	111.21	119.26	115.16	89.51	121.79	80.57	144.01	101.54	74.58	169.07	65.26	57.08	129.69	101.54	124.37	60.39	153.34	81.71	142.01	103.69	92.7	126.12	164.42	50.63	69.52	83.45	151.22	148.09	113.56	77.25	88.88	151.22	100.13	70.01	64.8	80.57	94.67	119.26	146.03	113.56	57.89	147.06	105.15	134.3	122.64	101.54	41.22	76.71	111.21	93.35	102.25	88.88	106.63	117.6	186.4	202.66	132.44	189.02	105.89	111.21	75.11	97.36	223.41	130.6
POLR3A	209.84	211.31	244.57	134.3	119.26	125.24	107.38	127.0	112.77	110.43	127.0	100.83	155.5	96.01	80.57	164.42	69.52	113.56	130.6	71.0	132.44	88.88	134.3	98.73	150.17	115.97	102.97	130.6	205.5	118.43	96.68	126.12	165.57	130.6	133.36	91.41	75.64	172.65	109.66	85.22	86.43	71.0	96.01	117.6	132.44	109.66	92.7	127.0	115.16	157.68	130.6	75.11	80.01	102.25	85.82	95.34	111.99	95.34	135.24	95.34	137.14	144.01	139.07	138.1	103.69	110.43	89.51	117.6	159.9	167.9
POM121	587.13	665.29	493.56	483.38	312.0	567.1	325.29	387.02	379.04	249.73	320.8	246.28	579.04	248.0	244.57	447.82	158.79	521.76	379.04	178.77	397.93	379.04	409.15	283.05	423.61	343.89	426.57	384.34	674.59	463.65	189.02	312.0	532.74	387.02	429.54	283.05	244.57	571.05	395.18	295.11	178.77	149.12	267.73	366.09	341.51	358.54	432.53	387.02	356.05	463.65	384.34	195.72	206.94	332.14	258.57	395.18	312.0	214.27	435.55	291.04	432.53	476.71	384.34	693.58	239.52	353.59	334.46	303.44	529.06	536.45
POM121C	753.83	872.1	638.15	599.49	457.25	748.61	490.14	547.75	514.56	368.65	470.14	409.15	775.05	363.56	373.81	665.29	246.28	669.92	543.96	291.04	518.15	463.65	521.76	438.59	647.07	483.38	514.56	559.28	780.44	486.75	351.14	435.55	723.08	529.06	583.07	397.93	387.02	693.58	444.72	373.81	341.51	346.29	379.04	457.25	483.38	480.04	525.39	483.38	511.0	638.15	470.14	285.03	323.03	381.68	423.61	571.05	395.18	289.02	497.0	454.09	575.03	563.18	551.56	1037.29	457.25	450.94	454.09	417.77	624.99	490.14
PURB	532.74	463.65	507.46	253.23	265.87	314.17	293.07	255.0	285.03	208.38	320.8	258.57	381.68	248.0	197.09	318.57	151.22	303.44	228.13	202.66	275.28	180.02	320.8	195.72	275.28	237.86	264.03	281.09	356.05	237.86	214.27	241.19	334.46	332.14	303.44	211.31	166.73	312.0	265.87	231.32	234.57	206.94	212.78	249.73	361.04	220.32	251.48	343.89	293.07	327.56	277.2	217.27	194.36	256.78	305.55	289.02	234.57	220.32	262.2	269.6	400.71	429.54	381.68	525.39	221.86	295.11	239.52	241.19	318.57	336.79
RAD52	249.73	283.05	273.37	285.03	285.03	133.36	253.23	325.29	182.55	163.28	289.02	206.94	450.94	151.22	162.14	423.61	92.05	224.97	229.72	204.07	110.43	178.77	318.57	202.66	303.44	197.09	153.34	248.0	400.71	176.29	187.71	358.54	332.14	214.27	217.27	190.34	150.17	305.55	205.5	72.01	94.67	103.69	165.57	221.86	336.79	305.55	169.07	325.29	281.09	320.8	289.02	206.94	177.53	183.82	206.94	432.53	251.48	171.45	295.11	175.07	253.23	249.73	215.77	291.04	332.14	356.05	229.72	303.44	329.84	476.71
RBM33	518.15	525.39	486.75	412.0	384.34	297.17	253.23	392.44	242.88	202.66	229.72	273.37	339.14	218.79	229.72	470.14	171.45	368.65	251.48	334.46	246.28	228.13	297.17	343.89	429.54	214.27	241.19	406.31	473.41	234.57	242.88	334.46	412.0	265.87	384.34	279.14	248.0	332.14	303.44	182.55	273.37	236.21	281.09	325.29	348.71	251.48	258.57	301.33	307.69	429.54	412.0	265.87	201.25	211.31	279.14	348.71	323.03	376.41	432.53	299.25	295.11	379.04	334.46	470.14	260.38	281.09	293.07	301.33	540.19	361.04
RIT1	525.39	543.96	656.11	351.14	373.81	329.84	356.05	441.64	438.59	379.04	444.72	387.02	473.41	361.04	275.28	457.25	289.02	208.38	447.82	281.09	387.02	217.27	470.14	303.44	476.71	376.41	381.68	356.05	575.03	353.59	275.28	409.15	532.74	426.57	343.89	255.0	387.02	429.54	341.51	265.87	291.04	285.03	320.8	387.02	403.5	343.89	264.03	432.53	400.71	429.54	414.87	264.03	297.17	366.09	438.59	438.59	438.59	323.03	379.04	348.71	423.61	460.44	470.14	470.14	327.56	518.15	412.0	417.77	426.57	438.59
RNF216	476.71	547.75	450.94	339.14	314.17	466.88	371.22	348.71	336.79	275.28	373.81	281.09	414.87	287.01	305.55	384.34	287.01	571.05	423.61	258.57	368.65	291.04	444.72	293.07	412.0	366.09	336.79	395.18	547.75	320.8	255.0	293.07	414.87	379.04	432.53	341.51	291.04	486.75	320.8	229.72	291.04	234.57	309.83	406.31	346.29	334.46	406.31	392.44	332.14	514.56	348.71	285.03	293.07	351.14	258.57	307.69	309.83	275.28	414.87	417.77	395.18	447.82	423.61	536.45	293.07	289.02	253.23	309.83	441.64	429.54
SCAF4	460.44	511.0	521.76	376.41	299.25	204.07	323.03	356.05	285.03	224.97	305.55	316.37	336.79	269.6	197.09	376.41	242.88	186.4	287.01	208.38	307.69	228.13	289.02	293.07	309.83	255.0	258.57	297.17	381.68	234.57	218.79	293.07	341.51	289.02	307.69	229.72	242.88	387.02	291.04	182.55	303.44	264.03	248.0	275.28	343.89	224.97	285.03	293.07	293.07	332.14	285.03	249.73	214.27	181.28	242.88	228.13	269.6	281.09	314.17	246.28	293.07	327.56	285.03	320.8	244.57	246.28	291.04	255.0	384.34	356.05
SETD1A	258.57	332.14	267.73	265.87	208.38	212.78	265.87	242.88	205.5	164.42	218.79	193.01	255.0	175.07	208.38	248.0	197.09	204.07	234.57	149.12	231.32	175.07	224.97	228.13	293.07	199.85	165.57	224.97	327.56	189.02	190.34	214.27	305.55	217.27	271.48	208.38	226.54	281.09	208.38	153.34	211.31	185.11	202.66	249.73	237.86	212.78	279.14	226.54	195.72	283.05	253.23	195.72	193.01	166.73	146.03	204.07	193.01	198.47	217.27	249.73	208.38	277.2	211.31	332.14	212.78	208.38	173.85	175.07	267.73	264.03
