	GTEX.111VG.2226.SM.5N9DU	GTEX.11DXY.2026.SM.5N9CZ	GTEX.145MO.2426.SM.5NQ9W	GTEX.13CF2.1826.SM.5N9GK	GTEX.14BMV.2426.SM.5S2PP	GTEX.XBEW.1926.SM.4SOJO	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.14DAR.1526.SM.5RQIX	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11ONC.1426.SM.5N9F4	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.AK.3447.01A.01R.1766.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.DW.7963.01B.11R.A28H.07	GTEX.Q2AG.1126.SM.48U1P	GTEX.145LU.1326.SM.5LU9N	GTEX.13QJC.0726.SM.5RQJK	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.13QJ3.2726.SM.5SI6L	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.11EI6.2426.SM.5PNVS	GTEX.111VG.0526.SM.5N9BW
NEK7	1037.29	753.83	703.28	1030.12	941.27	366.09	1135.2	403.5	947.83	753.83	941.27	1225.22	860.08	305.55	444.72	316.37	305.55	283.05	265.87	241.19	591.22	406.31	423.61	228.13	444.72	476.71	314.17	1963.57	540.19	1350.18	974.5	587.13	1208.34	612.11
NIM1	30.12	37.05	37.05	33.3	54.72	18.03	52.08	3.72	91.41	53.57	39.22	85.22	55.1	1.36	4.94	1.95	3.63	10.08	3.79	4.28	0.61	5.41	8.85	6.73	2.25	18.16	6.62	141.02	18.43	82.29	17.25	16.75	126.12	17.51
NLGN3	108.9	99.43	88.26	52.82	134.3	22.26	124.37	9.56	173.85	128.79	77.79	198.47	69.03	0.91	0.91	0.0	0.82	1.69	3.32	0.96	25.54	0.0	10.55	7.69	17.9	6.26	1.5	361.04	26.67	190.34	27.84	22.92	463.65	36.01
NMNAT2	105.15	29.91	28.45	72.01	57.08	21.01	82.29	3.79	12.74	32.59	56.68	65.26	11.73	3.14	2.71	8.19	11.13	1.28	7.57	4.28	5.36	0.4	7.51	2.92	0.49	1.23	0.39	78.89	3.66	89.51	48.87	11.21	109.66	48.18
NRN1	2835.7	921.88	1044.52	579.04	2193.99	226.54	1498.22	51.71	1322.37	1073.91	1167.14	1407.55	909.17	133.36	36.79	51.71	39.5	591.22	131.51	60.82	116.78	82.87	118.43	63.0	176.29	47.5	12.36	4671.57	105.15	2591.27	279.14	255.0	3146.52	209.84
NRXN1	540.19	346.29	301.33	323.03	651.58	49.56	521.76	16.63	543.96	438.59	262.2	571.05	281.09	0.0	0.0	0.95	0.0	0.0	0.46	0.0	5.73	0.0	1.31	0.0	10.16	3.69	0.45	3257.52	30.56	896.64	82.29	20.86	1781.89	3.69
NTM	665.29	460.44	343.89	384.34	748.61	73.54	607.87	17.0	679.29	921.88	457.25	988.12	409.15	7.63	43.94	2.92	15.56	1.28	4.28	12.36	37.85	0.79	50.63	7.69	102.97	8.71	0.0	2627.46	27.05	1457.23	116.78	58.71	2502.97	111.21
PAM	3955.48	2758.13	2895.31	2627.46	5041.77	1561.89	5183.54	728.11	7803.01	3372.43	5076.84	5441.3	3540.14	1794.29	2875.3	1639.59	307.69	221.86	995.0	1674.06	3212.66	2133.97	1378.57	5831.91	1001.93	361.04	135.24	8901.53	902.89	7130.55	7589.61	1757.34	4268.94	3212.66
PHF11	1359.57	1628.26	1242.34	1191.69	1286.18	921.88	1143.1	571.05	2119.22	1896.65	1268.46	1617.0	1457.23	551.56	647.07	454.09	426.57	426.57	808.0	563.18	1216.75	2417.67	1088.92	444.72	988.12	665.29	406.31	3124.78	860.08	1857.6	947.83	551.56	2004.85	1936.53
PLSCR4	1697.45	791.35	961.07	842.36	1304.15	287.01	1250.98	483.38	981.29	995.0	890.44	1313.23	1044.52	51.71	29.27	24.28	23.42	13.62	43.32	29.7	490.14	15.22	128.79	71.0	1175.27	890.44	417.77	2502.97	115.97	1794.29	703.28	341.51	1295.13	915.51
PLXDC1	486.75	660.68	379.04	336.79	733.19	126.12	738.29	75.64	6250.56	1044.52	1277.29	1340.84	780.44	187.71	199.85	44.57	182.55	51.35	271.48	127.89	24.11	19.39	361.04	41.22	110.43	61.68	12.0	1167.14	142.01	1096.5	409.15	279.14	1733.13	500.46
PMP22	7130.55	5441.3	4869.99	3303.0	6840.04	1757.34	7911.95	525.39	6207.38	6607.01	6250.56	7966.99	7642.41	183.82	142.01	62.56	71.5	39.5	339.14	205.5	1088.92	108.14	466.88	708.18	743.43	208.38	68.07	17681.08	915.51	9474.59	4181.07	1709.26	9945.68	1277.29
PTPLAD2	303.44	170.25	234.57	323.03	201.25	82.87	269.6	48.52	189.02	232.94	275.28	264.03	217.27	55.89	77.25	42.71	43.32	78.89	134.3	61.68	63.89	246.28	166.73	128.79	59.97	32.82	33.78	748.61	75.11	441.64	371.22	94.01	457.25	217.27
RASGEF1C	122.64	120.1	47.17	69.03	158.79	16.75	94.67	2.94	201.25	151.22	77.79	158.79	51.35	0.0	0.0	0.99	0.41	0.43	2.84	0.49	0.51	0.0	1.35	54.33	8.0	5.19	0.77	607.87	3.79	201.25	43.32	9.7	429.54	33.06
RFTN2	115.97	80.57	108.9	72.52	131.51	18.97	123.5	14.56	140.04	115.16	108.9	165.57	147.06	43.02	20.86	72.52	35.5	19.68	46.18	15.56	87.03	95.34	43.63	26.28	75.64	37.85	10.31	293.07	17.51	231.32	84.04	52.82	209.84	75.11
RLBP1	34.02	48.87	35.0	13.42	44.57	4.86	37.85	0.22	0.0	7.69	1.97	23.42	3.72	3.08	0.0	0.0	0.79	1.25	0.0	0.47	0.0	0.0	0.0	0.0	0.65	0.0	1.81	106.63	0.0	24.99	4.62	0.0	93.35	0.0
SCN2B	40.64	42.41	31.0	66.65	58.3	12.83	62.56	3.2	32.82	30.12	32.82	83.45	12.0	0.0	0.42	0.0	0.0	0.0	0.45	0.45	48.52	0.0	2.58	0.46	3.29	0.0	0.33	92.7	3.38	56.28	11.55	4.24	84.63	33.3
SEPT4	633.73	392.44	536.45	281.09	603.67	229.72	559.28	72.01	808.0	718.08	679.29	624.99	591.22	376.41	166.73	154.42	164.42	130.6	363.56	260.38	353.59	81.71	444.72	82.87	1697.45	2335.28	591.22	1167.14	172.65	1111.82	400.71	249.73	1183.45	848.22
SH3RF3	205.5	279.14	171.45	223.41	221.86	88.88	236.21	38.95	273.37	141.02	273.37	185.11	220.32	29.27	42.41	14.78	12.36	9.13	47.84	28.24	878.17	12.27	51.71	169.07	67.59	20.41	3.92	353.59	28.45	332.14	239.52	127.89	198.47	73.03
SLC22A17	1008.9	1175.27	934.76	555.41	1378.57	289.02	1183.45	74.58	1250.98	1208.34	825.0	1304.15	723.08	34.75	34.26	19.25	47.84	44.25	47.17	32.59	80.01	12.36	114.36	540.19	275.28	103.69	17.38	3372.43	181.28	2976.74	974.5	432.53	3212.66	819.3
SLC35F1	136.19	107.38	81.14	57.89	123.5	15.8	123.5	6.06	127.0	102.25	43.32	138.1	96.01	9.27	3.11	2.89	4.39	2.1	4.7	2.36	13.83	1.93	7.88	0.97	8.92	1.99	0.0	463.65	5.63	151.22	27.05	9.13	287.01	25.54
SLIT3	836.53	521.76	503.95	409.15	1359.57	127.0	1662.49	21.94	928.3	1662.49	954.43	1388.16	1081.39	69.52	102.25	25.72	56.28	18.7	151.22	149.12	255.0	3.17	318.57	43.32	124.37	145.02	7.17	1936.53	84.04	2367.9	463.65	454.09	1127.35	836.53
SMIM10	400.71	262.2	314.17	303.44	376.41	109.66	466.88	28.86	334.46	384.34	361.04	493.56	366.09	57.89	20.41	31.67	25.91	21.32	112.77	53.57	67.59	12.18	104.42	22.43	69.52	73.03	25.72	728.11	63.0	723.08	297.17	182.55	583.07	303.44
SORCS1	289.02	253.23	212.78	172.65	314.17	60.39	336.79	16.75	325.29	249.73	84.63	343.89	214.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.97	1.57	2.71	0.0	32.13	2.12	0.0	753.83	7.17	426.57	72.01	16.27	638.15	12.64
SOX8	305.55	480.04	114.36	88.26	429.54	65.72	339.14	2.73	162.14	171.45	84.63	211.31	108.14	0.93	234.57	175.07	4.06	0.88	32.13	10.08	12.55	13.62	6.73	244.57	16.75	0.0	0.0	854.13	3.03	536.45	26.1	10.79	819.3	96.68
SPIN2A	27.64	34.02	25.17	33.54	26.67	27.44	28.86	16.27	57.49	40.36	21.63	59.13	23.59	0.0	1.41	0.54	2.1	7.34	7.28	8.25	3.53	1.23	8.19	3.5	13.83	6.52	1.46	64.34	11.13	26.67	22.43	7.11	22.75	34.75
SPTBN1	6699.25	5555.65	5672.41	4123.49	9215.48	2178.83	8421.31	2502.97	13215.02	7911.95	8421.31	9876.98	9215.48	2720.15	9606.86	5292.48	2178.83	2400.97	2664.15	2417.67	6652.97	909.17	2520.38	2796.65	2701.35	2075.59	1844.76	20030.74	2047.0	11745.96	2835.7	1447.15	9279.58	3467.27
SSC5D	775.05	819.3	607.87	718.08	921.88	126.12	981.29	12.36	1268.46	1073.91	1322.37	1023.0	551.56	10.88	13.12	6.84	5.68	1.75	13.83	6.78	17.13	1.2	42.11	113.56	86.43	111.99	2.66	1844.76	39.5	2104.58	525.39	120.1	1870.53	189.02
ST8SIA1	165.57	124.37	127.89	164.42	112.77	57.49	141.02	13.72	603.67	301.33	392.44	327.56	157.68	3.56	9.78	1.45	1.58	1.68	16.03	6.16	0.0	0.0	38.95	6.67	11.91	3.0	0.65	591.22	98.04	334.46	63.0	39.5	262.2	470.14
STX8	1991.0	1605.83	2104.58	2451.44	1857.6	1066.48	1923.14	1135.2	1583.71	1991.0	2351.53	1870.53	1794.29	1369.04	1551.09	1059.11	974.5	902.89	1340.84	1175.27	928.3	3589.58	1397.83	1757.34	836.53	473.41	775.05	3874.05	1540.37	3060.45	1896.65	1857.6	2485.67	1685.71
SYT11	511.0	447.82	275.28	242.88	571.05	106.63	595.34	30.78	343.89	316.37	295.11	406.31	211.31	57.08	37.32	21.63	22.26	12.18	56.28	33.06	81.71	22.26	126.12	49.91	49.91	21.78	8.0	728.11	57.08	563.18	231.32	121.79	620.67	114.36
TCEAL7	583.07	525.39	387.02	341.51	688.78	131.51	587.13	42.41	387.02	466.88	463.65	500.46	297.17	15.22	8.99	8.19	10.79	14.24	23.08	23.59	47.5	31.0	76.17	6.78	47.5	43.94	19.25	1151.06	33.54	738.29	260.38	75.11	836.53	135.24
TEKT3	52.82	41.22	40.64	38.12	71.0	42.11	49.56	11.21	70.51	40.36	30.56	99.43	15.11	1.85	6.36	1.99	0.0	0.0	0.0	0.0	1.36	0.82	4.5	0.0	22.75	1.62	1.33	79.45	9.48	45.85	20.26	10.08	76.71	16.75
TICAM2	120.94	123.5	73.03	100.13	120.94	27.05	126.12	24.11	177.53	81.14	111.99	186.4	88.88	32.36	12.18	43.94	41.52	48.87	75.11	61.25	100.13	35.5	29.7	20.26	68.07	33.06	63.0	209.84	57.08	241.19	77.79	87.03	144.01	94.67
TIMP2	10154.69	6607.01	6207.38	5076.84	14561.8	2163.77	15715.58	819.3	16269.83	10585.95	10368.08	14461.21	10154.69	915.51	624.99	366.09	1819.35	1286.18	1081.39	928.3	2255.7	220.32	3018.3	3325.99	2004.85	1143.1	242.88	20881.4	1127.35	15285.81	5517.27	3589.58	13306.94	4903.87
TMEM155	61.68	51.71	30.78	37.85	66.18	8.65	56.28	1.28	74.06	47.84	24.46	68.55	18.7	0.46	1.36	0.49	0.41	0.0	2.39	0.49	0.0	0.0	6.16	0.0	13.72	0.0	0.0	151.22	7.0	64.34	7.06	1.48	96.68	1.81
TMEM257	3.14	2.27	1.93	2.07	0.35	0.42	2.92	0.0	2.66	5.02	2.92	4.62	3.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73	0.0	0.45	0.0	0.0	0.0	0.0	5.36	0.0	3.96	0.59	0.0	4.7	0.47
TMEM71	854.13	909.17	343.89	363.56	884.29	30.56	599.49	18.29	665.29	511.0	366.09	656.11	490.14	9.78	10.71	3.38	0.8	2.1	19.82	10.39	11.73	5.02	31.67	92.7	103.69	54.33	3.99	1378.57	14.89	412.0	170.25	30.12	1250.98	157.68
TMOD2	373.81	314.17	277.2	224.97	438.59	59.13	363.56	26.86	497.0	511.0	202.66	642.59	332.14	54.72	63.45	51.71	23.08	113.56	119.26	83.45	75.11	24.28	277.2	17.77	40.93	15.22	18.56	988.12	57.49	638.15	142.01	80.57	921.88	141.02
TNXB	9025.81	7485.11	3303.0	1662.49	9740.98	1015.93	15180.22	293.07	29943.43	10512.82	18689.27	16045.82	20737.16	75.11	22.75	37.32	33.78	47.84	126.12	98.73	119.26	14.56	212.78	108.9	878.17	373.81	57.08	39785.74	483.38	36357.37	4736.79	1313.23	18304.63	2075.59
TRPV3	100.83	47.5	45.21	39.22	71.5	55.49	84.63	212.78	312.0	60.82	50.27	98.73	56.28	0.47	0.47	0.0	0.42	0.0	0.49	0.51	0.09	0.0	0.92	3.41	10.31	0.45	6.01	115.16	42.11	151.22	15.91	5.06	102.97	13.32
TSPAN11	1295.13	1757.34	656.11	521.76	1561.89	145.02	1407.55	40.07	518.15	503.95	384.34	753.83	320.8	3.59	4.5	6.73	1.62	9.63	59.97	18.84	16.15	4.24	108.9	14.89	150.17	18.43	1.58	2682.69	71.5	819.3	267.73	50.63	1519.15	100.83
TTYH2	297.17	341.51	232.94	186.4	381.68	78.34	289.02	25.35	312.0	285.03	183.82	336.79	214.27	83.45	34.51	7.82	51.71	76.17	59.13	31.45	19.53	9.7	45.21	36.53	107.38	19.82	5.36	890.44	67.59	616.37	157.68	115.97	1208.34	368.65
VIM	48307.85	31432.17	32540.65	11189.6	52863.07	10659.59	47313.67	4038.61	36357.37	34396.12	35609.13	31650.8	44452.21	5872.48	3467.27	2777.33	2835.7	2875.3	7280.4	5219.6	3303.0	1259.69	10585.95	28328.16	8658.09	5292.48	1651.0	76861.91	6164.49	70238.75	21919.61	20593.91	52863.07	52497.92
WFIKKN2	10.96	15.91	15.8	10.71	16.63	5.45	21.16	0.74	20.11	18.03	9.13	37.32	19.97	0.43	0.0	0.0	0.0	0.4	0.0	3.72	3.66	0.0	0.43	0.46	1.62	1.0	0.0	36.79	0.51	24.99	2.18	1.79	51.35	1.33
ZCCHC24	860.08	1119.56	703.28	819.3	723.08	248.0	1023.0	67.12	1427.22	1119.56	995.0	1651.0	1651.0	60.39	35.25	23.76	15.34	24.63	36.27	26.47	140.04	12.45	73.54	74.58	493.56	244.57	486.75	2287.2	100.83	1519.15	902.89	309.83	1709.26	583.07
ZEB2	2133.97	1175.27	629.35	764.36	2591.27	368.65	1674.06	98.04	2119.22	1225.22	921.88	1508.65	928.3	76.71	80.01	42.11	40.93	19.25	129.69	87.03	444.72	19.25	211.31	246.28	669.92	409.15	115.16	5329.3	152.28	2682.69	981.29	420.68	3060.45	884.29
ZNF280D	647.07	624.99	497.0	642.59	728.11	423.61	629.35	351.14	974.5	1044.52	753.83	1030.12	599.49	285.03	231.32	206.94	269.6	301.33	346.29	314.17	309.83	327.56	414.87	211.31	358.54	429.54	287.01	1096.5	301.33	1216.75	718.08	366.09	1001.93	813.63
ZNF417	90.14	163.28	120.1	123.5	135.24	88.88	76.17	94.67	262.2	193.01	126.12	146.03	175.07	51.71	61.25	49.21	65.26	126.12	88.26	62.56	119.26	22.59	159.9	31.45	75.11	114.36	28.65	269.6	67.59	169.07	133.36	65.72	209.84	185.11
