	GTEX.P4PP.0526.SM.2HMKE	GTEX.YF7O.0626.SM.4W21R	GTEX.O5YW.0526.SM.2YUMX	GTEX.TMMY.0926.SM.4TT1Z	GTEX.YFCO.0426.SM.4W1Z7	GTEX.13OVH.1026.SM.5J2NP	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.WFJO.0326.SM.3GIL3	GTEX.YB5E.0726.SM.4VDSH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.U3ZN.0626.SM.3DB7U	GTEX.ZDXO.1326.SM.57WBS	GTEX.YEC3.0226.SM.5IFJO	GTEX.13S86.0626.SM.5Q5E7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.PX3G.0526.SM.2I3EM	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13O21.3026.SM.5J2NI	GTEX.13QJC.0526.SM.5RQKB	GTEX.13N2G.0826.SM.5IJE6	GTEX.ZPU1.0926.SM.57WDO	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.Q2AH.0426.SM.2I3EP	GTEX.11NUK.0826.SM.5HL4U	GTEX.XQ3S.0926.SM.4BOPI	GTEX.OIZI.1026.SM.3NB1K	GTEX.Y3IK.0626.SM.4WWE4	GTEX.UPIC.0826.SM.3GADQ	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.SIU8.0926.SM.5SI87	GTEX.PLZ6.0426.SM.5IFK2	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.OXRK.0926.SM.2HMKP	GTEX.SUCS.0626.SM.32PM5	GTEX.PLZ5.0726.SM.2I5F9	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.13NYB.0626.SM.5MR47	GTEX.11LCK.0426.SM.5A5M8	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.QMRM.0826.SM.3NB33	GTEX.13OVG.0326.SM.5KM57	GTEX.131XH.0426.SM.5DUWU
GMEB1	242.88	145.02	211.31	138.1	163.28	158.79	186.4	97.36	127.89	142.01	92.7	135.24	114.36	211.31	100.13	163.28	186.4	155.5	132.44	145.02	218.79	85.22	157.68	211.31	96.01	100.13	153.34	186.4	162.14	170.25	76.17	118.43	229.72	156.59	51.35	59.55	260.38	195.72	111.21	59.97	88.88	234.57	166.73	98.73	146.03	123.5	118.43	94.01	123.5	136.19	90.14	229.72	132.44	208.38	265.87	206.94	86.43	172.65	84.04	99.43	215.77	73.03	92.05
GNL3L	197.09	140.04	205.5	108.9	85.22	92.05	209.84	103.69	44.89	194.36	61.68	70.01	50.63	139.07	67.59	116.78	98.04	38.12	72.52	157.68	242.88	67.12	161.02	173.85	17.38	61.68	119.26	141.02	85.22	99.43	65.26	96.01	151.22	161.02	123.5	86.43	412.0	183.82	75.11	57.89	77.79	173.85	100.13	108.9	125.24	159.9	52.82	66.65	75.11	70.51	48.52	212.78	57.08	220.32	267.73	108.14	21.63	181.28	74.58	62.56	122.64	53.19	61.25
GOLPH3L	454.09	647.07	595.34	753.83	656.11	204.07	836.53	647.07	540.19	563.18	312.0	813.63	454.09	674.59	186.4	409.15	651.58	348.71	466.88	493.56	954.43	183.82	638.15	988.12	166.73	291.04	607.87	651.58	368.65	743.43	334.46	540.19	813.63	896.64	334.46	551.56	698.41	791.35	264.03	305.55	397.93	559.28	708.18	567.1	738.29	651.58	175.07	567.1	379.04	423.61	514.56	1295.13	603.67	902.89	753.83	547.75	295.11	753.83	299.25	279.14	738.29	275.28	470.14
GOSR1	995.0	555.41	791.35	414.87	420.68	356.05	674.59	503.95	463.65	559.28	236.21	802.41	417.77	723.08	220.32	579.04	718.08	223.41	633.73	555.41	738.29	384.34	718.08	743.43	163.28	343.89	587.13	450.94	368.65	583.07	327.56	371.22	660.68	607.87	366.09	291.04	1304.15	708.18	447.82	236.21	466.88	543.96	500.46	432.53	624.99	616.37	262.2	392.44	283.05	316.37	412.0	743.43	400.71	743.43	591.22	444.72	353.59	854.13	429.54	334.46	854.13	603.67	381.68
GOT2	1088.92	1277.29	896.64	624.99	1225.22	583.07	1037.29	759.08	813.63	1199.98	612.11	1487.87	1015.93	1104.13	583.07	825.0	1437.15	376.41	579.04	1167.14	1733.13	493.56	1051.79	1277.29	269.6	796.86	1540.37	1135.2	660.68	1023.0	518.15	738.29	1191.69	1277.29	708.18	780.44	1051.79	1250.98	547.75	791.35	525.39	1277.29	1030.12	738.29	1175.27	1388.16	432.53	988.12	698.41	796.86	753.83	1073.91	1023.0	1331.57	902.89	981.29	830.75	1225.22	536.45	791.35	941.27	543.96	476.71
GPR180	26.1	68.55	50.98	45.21	39.79	25.91	57.49	56.28	38.95	39.79	45.21	63.45	34.02	45.85	21.94	41.52	79.45	32.59	45.85	49.91	167.9	41.52	66.65	108.9	13.03	36.01	87.65	52.08	40.36	40.93	38.95	43.02	81.14	56.68	58.71	37.85	38.12	90.77	28.24	37.05	32.13	43.32	74.06	54.33	48.18	43.32	19.39	56.28	41.52	43.02	56.68	42.11	40.36	66.18	44.57	47.17	47.84	64.34	29.48	36.27	75.64	31.0	32.13
HHIP	5403.7	1369.04	2816.11	1551.09	791.35	444.72	2701.35	759.08	2997.45	1066.48	995.0	2400.97	1037.29	2271.4	229.72	3372.43	1111.82	97.36	819.3	3212.66	2400.97	279.14	2047.0	6516.03	33.3	2193.99	2935.74	5791.62	447.82	967.76	228.13	3039.3	4066.71	3564.78	2777.33	1417.35	4388.98	3589.58	202.66	547.75	1119.56	3060.45	3060.45	718.08	902.89	669.92	32.36	2609.3	708.18	2255.7	1199.98	708.18	1709.26	4358.66	3982.99	2758.13	214.27	2032.85	1467.37	214.27	4239.45	2434.5	450.94
HIRA	518.15	381.68	432.53	414.87	400.71	329.84	397.93	392.44	346.29	559.28	199.85	336.79	312.0	441.64	158.79	312.0	476.71	199.85	341.51	444.72	503.95	181.28	466.88	490.14	303.44	314.17	346.29	438.59	293.07	403.5	193.01	256.78	429.54	426.57	441.64	483.38	1259.69	638.15	253.23	279.14	373.81	218.79	295.11	412.0	713.11	521.76	185.11	241.19	127.0	273.37	303.44	406.31	470.14	387.02	373.81	575.03	366.09	392.44	229.72	264.03	409.15	312.0	241.19
INTS5	551.56	483.38	450.94	403.5	543.96	232.94	414.87	420.68	318.57	507.46	170.25	420.68	387.02	486.75	169.07	412.0	403.5	108.9	327.56	395.18	429.54	217.27	412.0	466.88	187.71	231.32	529.06	511.0	351.14	368.65	190.34	260.38	441.64	447.82	343.89	269.6	656.11	575.03	208.38	289.02	323.03	341.51	480.04	358.54	603.67	454.09	148.09	366.09	119.26	423.61	351.14	457.25	457.25	389.72	441.64	457.25	171.45	525.39	239.52	236.21	423.61	351.14	209.84
ISG20L2	775.05	493.56	587.13	603.67	441.64	441.64	536.45	583.07	316.37	563.18	341.51	540.19	387.02	547.75	253.23	417.77	486.75	264.03	414.87	423.61	669.92	262.2	521.76	728.11	301.33	353.59	518.15	599.49	400.71	438.59	211.31	234.57	511.0	591.22	241.19	307.69	1250.98	633.73	251.48	325.29	307.69	536.45	483.38	457.25	563.18	529.06	187.71	325.29	320.8	297.17	269.6	967.76	361.04	624.99	679.29	490.14	241.19	591.22	267.73	371.22	473.41	301.33	497.0
KIF3B	511.0	435.55	796.86	420.68	371.22	212.78	493.56	441.64	289.02	444.72	209.84	397.93	325.29	620.67	228.13	414.87	563.18	153.34	358.54	334.46	603.67	249.73	420.68	435.55	258.57	183.82	450.94	656.11	366.09	323.03	232.94	275.28	703.28	591.22	423.61	384.34	813.63	579.04	237.86	297.17	460.44	493.56	429.54	409.15	483.38	358.54	208.38	356.05	241.19	384.34	332.14	738.29	295.11	521.76	466.88	417.77	237.86	447.82	161.02	273.37	567.1	381.68	295.11
LCLAT1	105.89	108.14	164.42	59.13	84.63	65.72	97.36	118.43	50.27	77.25	76.17	113.56	78.89	110.43	50.27	119.26	110.43	64.34	81.14	115.97	152.28	93.35	87.65	126.12	42.41	58.71	187.71	120.1	65.72	80.01	42.41	55.49	202.66	166.73	37.32	85.22	140.04	176.29	63.89	84.63	85.22	103.69	102.97	100.83	82.29	87.65	71.5	131.51	93.35	50.63	134.3	139.07	65.72	153.34	77.25	120.94	98.04	127.0	46.18	64.8	139.07	96.68	76.71
LDOC1L	669.92	343.89	329.84	379.04	314.17	153.34	336.79	320.8	256.78	358.54	133.36	329.84	244.57	327.56	171.45	287.01	414.87	84.63	264.03	239.52	414.87	131.51	429.54	397.93	89.51	199.85	285.03	368.65	231.32	312.0	142.01	212.78	406.31	412.0	269.6	194.36	679.29	493.56	186.4	202.66	228.13	228.13	327.56	376.41	490.14	457.25	72.52	307.69	92.05	158.79	293.07	444.72	297.17	366.09	307.69	358.54	136.19	336.79	107.38	177.53	429.54	305.55	100.13
LSG1	780.44	583.07	470.14	603.67	379.04	305.55	361.04	563.18	483.38	376.41	267.73	764.36	325.29	406.31	242.88	228.13	679.29	172.65	444.72	435.55	571.05	249.73	480.04	633.73	264.03	217.27	486.75	409.15	289.02	343.89	88.88	177.53	559.28	395.18	409.15	156.59	2047.0	500.46	155.5	81.71	444.72	303.44	738.29	521.76	1008.9	447.82	187.71	202.66	212.78	223.41	267.73	713.11	353.59	559.28	303.44	723.08	212.78	974.5	155.5	201.25	607.87	368.65	202.66
MED1	599.49	351.14	435.55	371.22	329.84	178.77	438.59	327.56	265.87	420.68	108.9	441.64	253.23	384.34	129.69	246.28	514.56	88.88	329.84	348.71	616.37	144.01	511.0	500.46	81.71	148.09	450.94	325.29	262.2	341.51	115.16	195.72	426.57	540.19	163.28	220.32	836.53	483.38	198.47	151.22	229.72	262.2	281.09	397.93	444.72	409.15	131.51	295.11	177.53	175.07	211.31	591.22	273.37	629.35	332.14	432.53	101.54	493.56	134.3	140.04	417.77	205.5	156.59
METTL2B	441.64	299.25	256.78	289.02	289.02	221.86	287.01	201.25	251.48	325.29	191.67	258.57	163.28	409.15	212.78	165.57	316.37	117.6	214.27	309.83	551.56	214.27	289.02	309.83	209.84	215.77	444.72	291.04	234.57	275.28	132.44	152.28	256.78	327.56	190.34	239.52	463.65	384.34	169.07	154.42	234.57	291.04	339.14	314.17	303.44	289.02	149.12	323.03	202.66	214.27	229.72	348.71	289.02	289.02	371.22	361.04	204.07	299.25	130.6	169.07	320.8	224.97	208.38
MIOS	454.09	287.01	267.73	327.56	287.01	271.48	389.72	269.6	368.65	332.14	148.09	414.87	273.37	312.0	191.67	191.67	309.83	144.01	327.56	346.29	575.03	194.36	348.71	363.56	69.03	218.79	412.0	307.69	248.0	305.55	275.28	295.11	412.0	525.39	189.02	285.03	470.14	432.53	289.02	198.47	262.2	348.71	325.29	297.17	353.59	371.22	152.28	301.33	297.17	264.03	332.14	476.71	348.71	379.04	275.28	314.17	176.29	454.09	258.57	198.47	332.14	232.94	173.85
MLEC	1447.15	1781.89	1081.39	896.64	928.3	698.41	1388.16	1322.37	884.29	1216.75	988.12	1594.73	981.29	1498.22	511.0	988.12	1250.98	753.83	1277.29	872.1	1883.54	693.58	1417.35	2485.67	543.96	1081.39	1617.0	1540.37	780.44	1467.37	738.29	1242.34	1369.04	1397.83	1183.45	1417.35	1909.85	1977.24	738.29	1088.92	1111.82	1225.22	1340.84	1467.37	1340.84	1088.92	595.34	1340.84	1378.57	866.07	1628.26	1832.01	1259.69	1977.24	1340.84	1388.16	896.64	1551.09	624.99	802.41	1407.55	878.17	500.46
MTF1	202.66	132.44	133.36	156.59	103.69	132.44	169.07	120.1	80.01	136.19	54.33	116.78	82.87	201.25	76.17	105.15	144.01	131.51	88.88	111.99	186.4	72.52	182.55	194.36	45.53	56.68	140.04	104.42	83.45	90.14	88.88	103.69	177.53	262.2	59.55	118.43	395.18	178.77	76.71	39.79	70.51	126.12	111.99	109.66	170.25	153.34	105.15	86.43	65.72	69.52	59.55	271.48	123.5	209.84	134.3	150.17	46.84	126.12	71.0	74.58	157.68	52.45	167.9
MTMR9	121.79	91.41	72.01	100.13	84.04	67.12	127.0	68.55	85.82	90.77	52.45	113.56	69.03	87.03	73.54	65.72	131.51	48.87	81.14	108.14	172.65	55.49	101.54	161.02	52.82	47.5	119.26	62.56	83.45	111.21	78.89	58.71	131.51	129.69	36.53	59.55	221.86	126.12	84.63	26.28	66.18	99.43	120.1	91.41	91.41	74.06	75.11	62.56	86.43	43.02	59.55	127.0	74.06	189.02	106.63	140.04	49.91	131.51	31.67	52.45	183.82	96.68	71.0
MTOR	387.02	279.14	438.59	371.22	332.14	341.51	358.54	387.02	358.54	490.14	198.47	397.93	339.14	497.0	202.66	332.14	314.17	173.85	417.77	406.31	470.14	271.48	480.04	406.31	71.0	217.27	406.31	403.5	299.25	417.77	265.87	291.04	438.59	529.06	397.93	264.03	571.05	647.07	295.11	193.01	277.2	366.09	567.1	387.02	423.61	414.87	441.64	265.87	191.67	212.78	291.04	426.57	432.53	733.19	493.56	503.95	177.53	414.87	305.55	182.55	426.57	343.89	265.87
NAA35	232.94	175.07	198.47	181.28	170.25	115.97	241.19	256.78	159.9	127.89	201.25	239.52	143.01	191.67	112.77	164.42	221.86	96.68	231.32	223.41	633.73	162.14	217.27	312.0	102.97	178.77	387.02	242.88	157.68	241.19	164.42	228.13	406.31	255.0	121.79	248.0	327.56	204.07	198.47	114.36	159.9	283.05	253.23	182.55	186.4	127.89	132.44	169.07	153.34	159.9	109.66	191.67	144.01	353.59	164.42	190.34	131.51	366.09	82.29	130.6	249.73	218.79	136.19
NEK4	228.13	171.45	194.36	183.82	248.0	88.26	285.03	197.09	164.42	255.0	157.68	209.84	133.36	212.78	94.67	158.79	269.6	115.16	145.02	232.94	371.22	86.43	199.85	258.57	47.5	111.21	232.94	199.85	140.04	305.55	98.04	155.5	255.0	325.29	96.01	131.51	325.29	231.32	172.65	59.97	151.22	239.52	197.09	158.79	255.0	148.09	82.29	152.28	105.89	123.5	172.65	320.8	148.09	264.03	255.0	177.53	121.79	301.33	138.1	150.17	262.2	121.79	73.54
NOC3L	231.32	120.1	126.12	85.82	138.1	152.28	119.26	126.12	144.01	106.63	83.45	157.68	115.16	147.06	104.42	105.15	151.22	91.41	158.79	138.1	318.57	129.69	157.68	164.42	100.13	114.36	256.78	156.59	122.64	159.9	78.34	55.1	173.85	133.36	100.83	97.36	316.37	162.14	149.12	69.52	120.94	151.22	136.19	149.12	140.04	143.01	67.12	95.34	73.54	94.01	128.79	135.24	149.12	181.28	97.36	202.66	94.67	202.66	76.71	117.6	157.68	69.52	69.52
NOP9	480.04	189.02	346.29	194.36	191.67	221.86	379.04	406.31	291.04	507.46	164.42	299.25	251.48	438.59	154.42	301.33	283.05	132.44	295.11	295.11	414.87	108.9	400.71	341.51	132.44	190.34	291.04	490.14	209.84	234.57	152.28	309.83	444.72	334.46	244.57	303.44	1037.29	511.0	277.2	180.02	246.28	277.2	376.41	392.44	450.94	381.68	193.01	154.42	108.14	178.77	195.72	432.53	351.14	441.64	379.04	525.39	117.6	336.79	205.5	223.41	353.59	212.78	141.02
NSF	616.37	620.67	466.88	358.54	325.29	279.14	497.0	540.19	444.72	409.15	186.4	651.58	450.94	518.15	303.44	417.77	555.41	145.02	460.44	543.96	775.05	183.82	591.22	486.75	128.79	371.22	563.18	579.04	332.14	384.34	320.8	277.2	599.49	603.67	384.34	348.71	629.35	599.49	381.68	392.44	420.68	591.22	463.65	447.82	423.61	629.35	295.11	559.28	303.44	299.25	507.46	567.1	483.38	595.34	540.19	583.07	173.85	733.19	376.41	299.25	466.88	305.55	202.66
NSUN4	353.59	371.22	339.14	432.53	271.48	348.71	327.56	297.17	316.37	346.29	255.0	291.04	285.03	293.07	172.65	346.29	392.44	147.06	341.51	346.29	426.57	187.71	426.57	486.75	135.24	226.54	366.09	307.69	273.37	406.31	214.27	209.84	348.71	325.29	205.5	214.27	708.18	521.76	221.86	152.28	223.41	320.8	301.33	312.0	384.34	389.72	108.9	264.03	206.94	236.21	299.25	532.74	351.14	397.93	409.15	384.34	131.51	532.74	232.94	193.01	441.64	166.73	232.94
OGFOD1	723.08	511.0	500.46	376.41	470.14	366.09	543.96	426.57	368.65	567.1	318.57	616.37	366.09	575.03	289.02	438.59	612.11	281.09	432.53	529.06	902.89	325.29	679.29	808.0	186.4	551.56	583.07	525.39	490.14	540.19	325.29	397.93	497.0	629.35	571.05	447.82	896.64	688.78	395.18	289.02	563.18	486.75	521.76	463.65	525.39	612.11	228.13	460.44	343.89	363.56	444.72	703.28	395.18	753.83	444.72	457.25	343.89	738.29	387.02	497.0	457.25	376.41	351.14
OPA3	291.04	211.31	205.5	244.57	201.25	147.06	215.77	202.66	137.14	246.28	117.6	177.53	151.22	236.21	242.88	185.11	239.52	130.6	132.44	224.97	239.52	72.52	223.41	291.04	255.0	89.51	159.9	275.28	114.36	157.68	66.18	96.68	253.23	214.27	117.6	108.14	343.89	246.28	91.41	125.24	87.65	209.84	204.07	150.17	220.32	231.32	101.54	115.16	131.51	107.38	142.01	226.54	214.27	201.25	212.78	205.5	83.45	201.25	56.68	119.26	206.94	100.83	169.07
OSBP	802.41	624.99	665.29	543.96	595.34	332.14	563.18	493.56	339.14	529.06	507.46	651.58	356.05	507.46	318.57	454.09	638.15	417.77	698.41	500.46	909.17	348.71	547.75	1088.92	358.54	536.45	780.44	473.41	403.5	547.75	332.14	511.0	718.08	915.51	555.41	665.29	1127.35	848.22	346.29	343.89	525.39	414.87	441.64	540.19	500.46	567.1	279.14	476.71	525.39	409.15	543.96	1015.93	432.53	738.29	507.46	723.08	559.28	780.44	409.15	409.15	718.08	346.29	400.71
P2RX5-TAX1BP3	19.53	11.55	10.79	15.34	14.89	2.81	8.32	7.06	11.55	11.04	6.11	7.06	10.47	11.13	3.35	10.39	15.11	3.69	7.46	8.38	8.45	0.0	14.45	20.86	7.57	2.18	6.41	5.92	6.06	8.13	13.72	5.15	12.74	16.27	3.72	9.34	16.03	11.91	2.07	4.1	5.36	7.57	12.83	15.34	20.56	14.03	2.78	8.92	2.36	8.13	7.11	20.71	14.35	14.35	8.0	9.7	2.36	5.92	3.08	2.73	11.47	7.34	4.82
PHACTR4	316.37	287.01	460.44	343.89	323.03	140.04	406.31	301.33	262.2	299.25	120.1	327.56	224.97	397.93	177.53	273.37	432.53	118.43	258.57	281.09	358.54	159.9	295.11	339.14	77.25	165.57	307.69	366.09	249.73	265.87	183.82	148.09	379.04	334.46	221.86	217.27	412.0	444.72	205.5	176.29	262.2	258.57	397.93	351.14	293.07	299.25	157.68	299.25	189.02	264.03	283.05	387.02	267.73	392.44	376.41	307.69	105.89	255.0	221.86	172.65	507.46	312.0	126.12
PHF23	616.37	656.11	647.07	595.34	808.0	400.71	785.88	651.58	674.59	674.59	693.58	624.99	624.99	647.07	356.05	647.07	713.11	387.02	521.76	656.11	785.88	366.09	651.58	1037.29	555.41	384.34	575.03	802.41	363.56	466.88	320.8	457.25	769.69	563.18	291.04	518.15	974.5	819.3	353.59	409.15	361.04	693.58	921.88	616.37	813.63	665.29	444.72	660.68	559.28	460.44	476.71	665.29	532.74	836.53	842.36	612.11	384.34	660.68	269.6	551.56	547.75	314.17	395.18
PIAS4	381.68	305.55	633.73	323.03	351.14	176.29	511.0	275.28	301.33	414.87	303.44	251.48	285.03	301.33	289.02	277.2	379.04	366.09	309.83	334.46	366.09	142.01	327.56	532.74	441.64	146.03	262.2	486.75	297.17	283.05	244.57	295.11	412.0	420.68	241.19	297.17	624.99	325.29	206.94	217.27	186.4	497.0	406.31	299.25	392.44	320.8	226.54	201.25	353.59	202.66	163.28	363.56	279.14	327.56	429.54	540.19	214.27	525.39	170.25	198.47	368.65	314.17	269.6
PIGM	145.02	149.12	111.21	122.64	92.7	50.63	157.68	141.02	105.15	108.14	61.68	176.29	101.54	169.07	55.89	111.21	146.03	34.75	107.38	139.07	234.57	48.52	144.01	144.01	12.09	64.8	185.11	161.02	78.89	132.44	122.64	100.13	142.01	162.14	71.5	72.01	169.07	177.53	120.94	46.5	102.97	118.43	161.02	155.5	141.02	142.01	49.56	130.6	79.45	74.58	90.14	165.57	105.15	201.25	111.21	137.14	53.57	187.71	50.27	54.33	146.03	83.45	44.89
POFUT1	414.87	406.31	599.49	301.33	373.81	244.57	389.72	353.59	293.07	607.87	205.5	426.57	341.51	529.06	183.82	432.53	412.0	127.89	409.15	366.09	718.08	358.54	599.49	343.89	128.79	234.57	575.03	607.87	368.65	476.71	152.28	237.86	583.07	507.46	368.65	301.33	583.07	633.73	316.37	400.71	507.46	389.72	595.34	412.0	417.77	371.22	232.94	420.68	223.41	279.14	329.84	368.65	423.61	551.56	384.34	571.05	265.87	579.04	183.82	204.07	612.11	348.71	223.41
POLD3	251.48	267.73	218.79	323.03	157.68	146.03	400.71	256.78	229.72	231.32	198.47	417.77	221.86	223.41	108.9	229.72	305.55	161.02	217.27	285.03	403.5	152.28	231.32	368.65	103.69	120.94	316.37	409.15	147.06	218.79	84.04	158.79	420.68	303.44	145.02	167.9	441.64	397.93	217.27	134.3	197.09	255.0	269.6	285.03	336.79	256.78	130.6	205.5	145.02	120.1	189.02	307.69	172.65	376.41	444.72	258.57	91.41	262.2	140.04	193.01	256.78	176.29	231.32
POLR1B	287.01	211.31	209.84	165.57	204.07	165.57	248.0	166.73	209.84	211.31	78.89	241.19	167.9	205.5	69.52	218.79	232.94	51.71	165.57	198.47	341.51	63.0	206.94	275.28	38.95	129.69	242.88	244.57	115.16	201.25	48.52	115.97	249.73	241.19	100.83	110.43	454.09	334.46	85.22	63.0	134.3	170.25	221.86	163.28	264.03	253.23	48.52	147.06	108.14	111.21	145.02	234.57	171.45	265.87	187.71	218.79	83.45	249.73	80.57	88.88	258.57	103.69	62.12
POLR3A	137.14	77.79	115.16	74.58	82.29	78.34	118.43	149.12	87.65	155.5	67.12	117.6	84.63	142.01	49.91	87.65	101.54	43.32	105.89	124.37	149.12	100.83	122.64	146.03	46.5	43.02	131.51	183.82	76.17	125.24	70.51	65.72	153.34	128.79	116.78	72.52	251.48	183.82	99.43	75.64	84.63	157.68	144.01	129.69	128.79	91.41	67.59	59.97	51.35	64.8	77.79	162.14	107.38	144.01	189.02	116.78	84.63	139.07	66.18	82.29	147.06	50.27	60.39
POLR3B	139.07	144.01	124.37	103.69	80.01	66.65	128.79	112.77	118.43	120.94	45.85	151.22	100.13	131.51	43.94	108.9	131.51	29.48	94.67	111.99	204.07	55.1	152.28	176.29	15.8	69.03	152.28	145.02	80.57	132.44	66.65	75.64	176.29	135.24	98.04	49.21	236.21	156.59	76.71	48.87	104.42	148.09	120.94	120.94	115.16	144.01	50.63	130.6	56.28	104.42	101.54	122.64	98.04	158.79	116.78	117.6	39.5	185.11	54.33	50.98	127.0	76.71	47.84
PREP	483.38	679.29	579.04	457.25	563.18	264.03	638.15	579.04	633.73	540.19	171.45	848.22	525.39	599.49	231.32	514.56	698.41	112.77	532.74	733.19	941.27	305.55	591.22	638.15	115.97	441.64	1030.12	647.07	571.05	603.67	314.17	295.11	559.28	591.22	503.95	223.41	679.29	684.02	329.84	264.03	620.67	620.67	656.11	500.46	579.04	769.69	246.28	599.49	165.57	497.0	507.46	647.07	579.04	708.18	473.41	616.37	177.53	825.0	366.09	244.57	547.75	420.68	195.72
PRKAR2A	612.11	457.25	511.0	480.04	432.53	187.71	384.34	420.68	251.48	555.41	220.32	466.88	341.51	486.75	202.66	423.61	603.67	157.68	348.71	420.68	660.68	258.57	511.0	438.59	116.78	318.57	460.44	343.89	295.11	387.02	163.28	244.57	432.53	507.46	232.94	293.07	551.56	571.05	218.79	193.01	366.09	312.0	363.56	381.68	403.5	483.38	122.64	297.17	237.86	303.44	473.41	525.39	341.51	579.04	320.8	447.82	131.51	483.38	239.52	194.36	423.61	346.29	249.73
PRPF38A	642.59	595.34	624.99	511.0	521.76	334.46	647.07	460.44	591.22	497.0	371.22	642.59	438.59	567.1	511.0	432.53	540.19	351.14	624.99	612.11	708.18	525.39	559.28	748.61	307.69	387.02	616.37	579.04	493.56	599.49	299.25	429.54	854.13	532.74	327.56	312.0	961.07	718.08	567.1	277.2	397.93	733.19	450.94	429.54	633.73	698.41	400.71	567.1	457.25	305.55	255.0	1015.93	414.87	575.03	753.83	540.19	346.29	769.69	356.05	332.14	624.99	503.95	629.35
QTRTD1	285.03	253.23	148.09	191.67	191.67	121.79	343.89	170.25	175.07	175.07	111.21	204.07	169.07	267.73	295.11	215.77	264.03	90.14	229.72	201.25	457.25	211.31	217.27	316.37	206.94	109.66	293.07	258.57	193.01	236.21	121.79	93.35	312.0	283.05	113.56	190.34	638.15	277.2	221.86	85.22	195.72	197.09	356.05	229.72	251.48	211.31	124.37	157.68	110.43	109.66	158.79	246.28	220.32	303.44	244.57	343.89	125.24	320.8	98.04	186.4	389.72	166.73	117.6
RAB19	26.28	31.0	53.19	23.08	19.68	11.55	9.78	28.04	24.28	51.35	0.0	49.21	13.03	20.41	12.0	0.0	24.28	0.0	21.78	20.86	26.67	8.65	21.78	46.84	8.38	0.0	5.5	63.45	7.46	13.62	0.0	23.76	33.3	31.0	0.0	5.82	80.57	23.93	6.84	0.0	20.41	28.04	13.72	18.03	28.86	12.55	0.0	7.82	4.54	31.45	18.56	33.06	22.75	36.79	37.85	66.65	14.35	18.43	0.0	11.13	26.1	8.51	8.06
RAB8A	1561.89	1457.23	1340.84	1313.23	1286.18	802.41	1417.35	1540.37	1119.56	1733.13	733.19	1143.1	1268.46	1369.04	579.04	1037.29	1617.0	642.59	1111.82	1167.14	1233.75	540.19	1313.23	2133.97	753.83	718.08	921.88	1295.13	974.5	961.07	825.0	884.29	1457.23	1295.13	642.59	780.44	1561.89	1477.58	921.88	718.08	872.1	1127.35	1066.48	1175.27	1498.22	1594.73	698.41	1191.69	559.28	848.22	884.29	2303.12	995.0	1950.0	1651.0	1268.46	665.29	1561.89	854.13	884.29	1397.83	819.3	728.11
RABEPK	389.72	470.14	318.57	316.37	376.41	256.78	376.41	356.05	441.64	299.25	209.84	406.31	406.31	450.94	206.94	327.56	348.71	125.24	389.72	373.81	579.04	236.21	429.54	591.22	115.16	258.57	429.54	563.18	318.57	358.54	193.01	217.27	473.41	420.68	353.59	165.57	497.0	463.65	249.73	406.31	351.14	473.41	403.5	353.59	395.18	356.05	273.37	571.05	199.85	353.59	309.83	356.05	384.34	336.79	368.65	381.68	212.78	450.94	239.52	214.27	327.56	323.03	171.45
RABL3	323.03	309.83	289.02	253.23	156.59	148.09	339.14	289.02	258.57	220.32	162.14	379.04	190.34	241.19	162.14	258.57	316.37	142.01	251.48	229.72	457.25	154.42	277.2	392.44	88.88	186.4	486.75	267.73	214.27	287.01	101.54	202.66	414.87	353.59	295.11	177.53	423.61	285.03	234.57	110.43	275.28	403.5	248.0	297.17	246.28	301.33	89.51	305.55	180.02	194.36	224.97	412.0	183.82	470.14	205.5	314.17	147.06	395.18	120.94	143.01	373.81	234.57	134.3
