	TCGA.JY.A93D.01A.11R.A38D.31	TCGA.B0.5096.01A.01R.1420.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.55.1592.01A.01R.0946.07	TCGA.05.4410.01A.21R.1858.07	TCGA.55.7727.01A.11R.2170.07	TCGA.55.7724.01A.11R.2170.07	TCGA.44.6778.01A.11R.1858.07	TCGA.66.2742.01A.01R.0980.07	TCGA.66.2773.01A.01R.1201.07	TCGA.21.1071.01A.01R.0692.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.ET.A3DW.01A.11R.A19O.07	TCGA.BJ.A2N7.01A.11R.A18C.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.EM.A22L.01A.11R.A180.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DJ.A3V8.01A.11R.A23N.07	TCGA.BJ.A4O9.01A.11R.A250.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Z.01A.11R.A23N.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.ET.A3BP.01A.21R.A19O.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.ET.A25R.01A.11R.A16R.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.ET.A25L.01A.11R.A16R.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A3V6.01A.11R.A22U.07	TCGA.EM.A3AK.01A.11R.A206.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.ET.A39T.01A.11R.A19O.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A40Q.01A.11R.A23N.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.CE.A483.01A.11R.A23W.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.BJ.A18Z.01A.21R.A13Y.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.IM.A3U3.01A.11R.A22L.07	TCGA.BJ.A28S.01A.11R.A19O.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.ET.A25M.01A.11R.A16R.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.EL.A3CM.01A.11R.A19O.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.EL.A3MZ.01A.11R.A21D.07	TCGA.EM.A3O9.01A.11R.A220.07	TCGA.E8.A418.01A.11R.A23N.07	TCGA.EM.A3SZ.01A.11R.A22U.07	GTEX.WHPG.0226.SM.3NMB9	GTEX.Y5V6.0526.SM.4VBRV	GTEX.WHSE.0626.SM.4RGNF	GTEX.139YR.1226.SM.5IFEU	GTEX.R55C.0626.SM.2TF4Q	GTEX.V955.0426.SM.3GAEL	GTEX.QLQ7.0726.SM.2I5G2
DDX6	775.05	1322.37	132.44	186.4	842.36	825.0	796.86	1191.69	1159.07	1051.79	764.36	713.11	441.64	366.09	403.5	387.02	241.19	358.54	679.29	186.4	450.94	327.56	258.57	279.14	181.28	214.27	285.03	273.37	202.66	279.14	500.46	281.09	316.37	525.39	368.65	366.09	460.44	172.65	435.55	256.78	397.93	381.68	217.27	368.65	463.65	693.58	381.68	277.2	221.86	142.01	334.46	490.14	334.46	432.53	303.44	165.57	507.46	381.68	287.01	780.44	379.04	194.36	248.0	368.65	583.07	412.0	353.59	327.56	417.77	194.36	189.02	376.41	299.25	915.51	339.14	353.59	423.61	361.04	463.65	191.67	563.18	423.61	651.58	346.29	149.12	267.73	334.46	665.29	791.35	638.15	878.17	947.83	785.88	1359.57
DENND1B	209.84	182.55	22.43	26.67	148.09	358.54	234.57	251.48	255.0	142.01	171.45	204.07	115.16	102.97	120.1	96.01	105.89	120.1	123.5	80.01	148.09	115.16	112.77	111.99	87.65	54.33	119.26	106.63	73.03	126.12	163.28	77.25	117.6	156.59	89.51	98.73	116.78	78.34	94.67	100.13	119.26	155.5	99.43	91.41	127.89	130.6	102.97	74.58	100.83	90.14	104.42	177.53	127.89	136.19	77.79	76.17	140.04	78.89	74.58	149.12	167.9	72.52	80.57	116.78	159.9	125.24	117.6	115.16	115.97	94.67	88.88	121.79	120.1	193.01	201.25	106.63	92.7	135.24	136.19	75.64	102.25	142.01	169.07	152.28	73.54	102.97	112.77	181.28	177.53	100.13	131.51	239.52	158.79	151.22
DIS3	457.25	450.94	50.98	78.89	406.31	379.04	543.96	463.65	361.04	647.07	389.72	307.69	285.03	281.09	255.0	297.17	116.78	285.03	387.02	229.72	325.29	271.48	220.32	224.97	205.5	161.02	289.02	232.94	204.07	244.57	339.14	201.25	198.47	285.03	249.73	242.88	277.2	201.25	239.52	237.86	255.0	273.37	214.27	236.21	323.03	392.44	246.28	205.5	217.27	172.65	202.66	334.46	253.23	285.03	221.86	187.71	318.57	293.07	220.32	473.41	271.48	205.5	226.54	255.0	343.89	312.0	232.94	226.54	248.0	201.25	189.02	299.25	265.87	497.0	279.14	271.48	236.21	299.25	253.23	193.01	285.03	305.55	400.71	237.86	159.9	258.57	277.2	381.68	351.14	470.14	389.72	400.71	384.34	532.74
DNAJC10	860.08	1674.06	277.2	314.17	1427.22	1388.16	1359.57	1407.55	1508.65	813.63	1096.5	1183.45	723.08	571.05	571.05	698.41	638.15	860.08	1295.13	595.34	896.64	769.69	743.43	743.43	547.75	371.22	679.29	842.36	547.75	1088.92	759.08	896.64	500.46	674.59	713.11	934.76	620.67	447.82	660.68	521.76	1030.12	866.07	624.99	713.11	785.88	941.27	1119.56	1081.39	723.08	460.44	665.29	674.59	813.63	769.69	466.88	567.1	656.11	543.96	551.56	974.5	819.3	753.83	629.35	830.75	825.0	796.86	679.29	819.3	718.08	624.99	748.61	703.28	830.75	1208.34	753.83	656.11	599.49	813.63	620.67	693.58	928.3	684.02	1001.93	599.49	414.87	642.59	633.73	1059.11	1286.18	698.41	1051.79	1304.15	1498.22	1457.23
DTD2	204.07	186.4	144.01	107.38	232.94	314.17	381.68	406.31	269.6	507.46	277.2	271.48	150.17	165.57	120.94	145.02	151.22	121.79	189.02	97.36	163.28	109.66	133.36	123.5	78.34	64.34	236.21	153.34	72.52	177.53	159.9	113.56	138.1	115.97	111.21	166.73	108.9	104.42	96.68	109.66	147.06	182.55	125.24	120.94	127.0	153.34	143.01	119.26	109.66	69.03	122.64	136.19	94.01	139.07	122.64	125.24	114.36	113.56	204.07	142.01	190.34	131.51	89.51	130.6	159.9	106.63	239.52	109.66	123.5	84.63	120.1	116.78	115.97	169.07	114.36	97.36	148.09	120.94	122.64	91.41	149.12	145.02	153.34	108.14	125.24	124.37	102.97	239.52	251.48	124.37	226.54	297.17	309.83	228.13
ENPP4	89.51	447.82	47.5	54.33	470.14	329.84	575.03	166.73	309.83	214.27	78.89	115.16	187.71	241.19	226.54	177.53	141.02	191.67	249.73	102.97	214.27	193.01	167.9	130.6	112.77	82.87	281.09	162.14	177.53	232.94	187.71	159.9	201.25	139.07	137.14	234.57	140.04	88.26	157.68	170.25	195.72	260.38	140.04	156.59	165.57	100.83	255.0	166.73	131.51	127.89	138.1	190.34	175.07	232.94	163.28	157.68	215.77	122.64	171.45	218.79	191.67	105.15	157.68	159.9	187.71	234.57	283.05	169.07	129.69	181.28	150.17	226.54	208.38	199.85	205.5	180.02	197.09	221.86	152.28	108.9	271.48	239.52	215.77	153.34	157.68	189.02	198.47	271.48	327.56	248.0	318.57	392.44	291.04	343.89
ERLEC1	780.44	1963.57	387.02	454.09	1844.76	1447.15	1844.76	1498.22	1487.87	1417.35	1295.13	2018.8	1167.14	624.99	1081.39	1331.57	759.08	1250.98	1662.49	981.29	1183.45	1135.2	1199.98	1151.06	1023.0	738.29	1143.1	1417.35	1208.34	1794.29	1159.07	1304.15	764.36	878.17	1268.46	1225.22	981.29	753.83	941.27	1037.29	1519.15	1407.55	988.12	1111.82	1208.34	1277.29	1477.58	1487.87	1059.11	896.64	1277.29	1167.14	1066.48	1295.13	941.27	1135.2	1081.39	1081.39	902.89	1313.23	1369.04	934.76	1030.12	1208.34	1250.98	1437.15	1199.98	961.07	1037.29	1030.12	1023.0	1304.15	1407.55	1135.2	1037.29	1081.39	1250.98	1295.13	1030.12	915.51	1359.57	1225.22	1233.75	830.75	507.46	1037.29	1350.18	1806.78	1870.53	1417.35	1883.54	1857.6	2061.24	1936.53
EXOC8	141.02	303.44	56.28	53.95	164.42	197.09	277.2	226.54	195.72	123.5	120.94	151.22	116.78	135.24	123.5	156.59	85.82	92.7	169.07	79.45	118.43	106.63	97.36	89.51	68.07	40.93	123.5	94.67	64.8	110.43	119.26	102.25	127.0	138.1	77.79	128.79	76.71	62.12	111.99	122.64	132.44	94.67	79.45	100.13	108.9	133.36	142.01	103.69	88.26	72.01	91.41	108.9	98.04	104.42	98.73	92.05	128.79	94.01	120.1	117.6	91.41	52.45	74.58	100.83	138.1	96.01	147.06	105.15	110.43	82.29	69.52	83.45	100.13	159.9	128.79	99.43	94.67	105.89	102.25	71.0	114.36	101.54	137.14	145.02	119.26	87.03	99.43	172.65	201.25	122.64	201.25	256.78	209.84	221.86
FAM126B	217.27	71.0	13.93	30.34	107.38	141.02	234.57	193.01	157.68	117.6	100.13	100.83	71.5	71.0	67.12	72.01	93.35	66.18	128.79	47.84	81.71	64.8	76.17	64.8	44.25	19.39	73.03	76.71	61.25	95.34	81.14	94.01	83.45	72.52	55.49	110.43	59.55	47.5	81.71	79.45	111.21	98.73	55.1	53.19	70.51	80.57	81.71	83.45	61.68	56.28	73.03	113.56	69.03	91.41	70.51	57.08	89.51	61.68	54.72	94.01	77.25	43.63	49.21	63.45	84.04	78.89	84.63	78.34	75.64	61.68	53.95	58.3	65.72	153.34	59.13	63.45	108.14	83.45	97.36	45.21	116.78	72.52	108.9	66.65	49.56	59.55	63.89	127.89	116.78	90.77	149.12	185.11	121.79	151.22
GOSR1	507.46	848.22	287.01	406.31	669.92	723.08	1167.14	759.08	591.22	860.08	656.11	909.17	490.14	612.11	417.77	493.56	392.44	454.09	629.35	400.71	460.44	470.14	417.77	457.25	361.04	299.25	547.75	454.09	348.71	473.41	521.76	368.65	412.0	500.46	368.65	503.95	486.75	332.14	532.74	381.68	490.14	450.94	358.54	438.59	503.95	579.04	490.14	392.44	327.56	358.54	387.02	497.0	406.31	429.54	389.72	395.18	460.44	444.72	441.64	669.92	529.06	441.64	343.89	503.95	483.38	447.82	559.28	366.09	429.54	325.29	356.05	403.5	447.82	693.58	432.53	420.68	406.31	470.14	483.38	389.72	684.02	409.15	559.28	454.09	231.32	412.0	466.88	540.19	525.39	444.72	759.08	769.69	435.55	748.61
INTS2	145.02	103.69	16.75	52.45	143.01	105.15	158.79	126.12	172.65	173.85	131.51	197.09	59.55	71.5	41.81	50.63	45.53	47.84	72.52	36.27	60.82	55.49	38.12	33.3	28.65	15.91	63.45	40.36	27.25	63.89	65.72	49.21	37.05	59.55	46.18	55.49	52.82	31.45	45.21	43.32	57.89	52.45	36.01	41.22	55.1	65.72	52.82	33.54	33.78	25.35	50.27	72.52	49.91	64.8	34.02	38.4	68.55	43.94	50.63	63.89	42.11	31.45	42.41	46.18	61.68	57.08	78.34	40.93	52.45	29.91	31.0	52.08	53.95	100.13	43.63	47.17	57.49	63.89	45.85	32.82	111.99	54.72	73.54	41.52	36.01	42.11	48.87	96.68	96.68	53.57	115.97	130.6	91.41	89.51
ITCH	791.35	363.56	68.55	139.07	507.46	679.29	878.17	651.58	540.19	813.63	490.14	525.39	316.37	353.59	291.04	258.57	248.0	339.14	429.54	236.21	339.14	309.83	255.0	256.78	232.94	178.77	397.93	260.38	217.27	334.46	417.77	269.6	218.79	334.46	291.04	316.37	327.56	186.4	303.44	246.28	371.22	356.05	231.32	246.28	417.77	400.71	309.83	251.48	214.27	217.27	255.0	339.14	283.05	316.37	212.78	205.5	320.8	215.77	332.14	480.04	336.79	249.73	237.86	297.17	384.34	316.37	403.5	253.23	293.07	229.72	199.85	366.09	341.51	423.61	348.71	275.28	293.07	346.29	384.34	193.01	327.56	332.14	466.88	281.09	299.25	256.78	316.37	279.14	463.65	665.29	563.18	629.35	708.18	507.46
KIAA0947	400.71	186.4	39.22	75.11	293.07	303.44	420.68	312.0	438.59	334.46	265.87	229.72	185.11	249.73	152.28	163.28	159.9	163.28	228.13	124.37	182.55	165.57	143.01	87.65	113.56	84.63	269.6	134.3	92.05	156.59	199.85	148.09	148.09	187.71	162.14	170.25	167.9	112.77	162.14	145.02	198.47	161.02	123.5	150.17	170.25	224.97	153.34	125.24	121.79	98.04	143.01	199.85	152.28	187.71	132.44	124.37	175.07	159.9	205.5	223.41	167.9	131.51	138.1	163.28	190.34	162.14	277.2	128.79	178.77	106.63	117.6	146.03	147.06	297.17	112.77	154.42	176.29	169.07	176.29	118.43	172.65	167.9	224.97	122.64	163.28	125.24	156.59	242.88	209.84	262.2	289.02	289.02	253.23	343.89
KIF2A	444.72	384.34	63.0	54.33	312.0	389.72	457.25	371.22	555.41	351.14	348.71	775.05	193.01	209.84	137.14	129.69	111.21	205.5	182.55	158.79	189.02	158.79	123.5	117.6	99.43	90.14	180.02	142.01	93.35	126.12	212.78	89.51	101.54	241.19	182.55	147.06	166.73	97.36	194.36	91.41	164.42	155.5	113.56	146.03	224.97	299.25	159.9	92.05	69.52	62.12	157.68	211.31	127.0	195.72	92.05	87.65	173.85	137.14	122.64	318.57	186.4	158.79	149.12	169.07	231.32	169.07	195.72	96.01	189.02	73.03	101.54	197.09	173.85	264.03	195.72	162.14	93.35	177.53	186.4	95.34	173.85	183.82	234.57	138.1	102.25	158.79	163.28	201.25	211.31	209.84	417.77	299.25	320.8	414.87
KIF5B	1674.06	1350.18	127.89	191.67	1340.84	1769.57	1674.06	1662.49	1551.09	825.0	1044.52	1081.39	981.29	1030.12	872.1	708.18	819.3	1051.79	1199.98	595.34	1088.92	896.64	866.07	813.63	575.03	447.82	954.43	896.64	587.13	947.83	995.0	796.86	728.11	808.0	909.17	1119.56	698.41	463.65	791.35	656.11	1001.93	748.61	708.18	679.29	1015.93	947.83	928.3	884.29	708.18	651.58	693.58	934.76	890.44	1037.29	713.11	603.67	974.5	665.29	813.63	1216.75	909.17	665.29	674.59	860.08	934.76	988.12	1216.75	775.05	796.86	775.05	743.43	947.83	1015.93	1119.56	1015.93	748.61	693.58	967.76	928.3	543.96	884.29	1104.13	1350.18	902.89	543.96	1096.5	860.08	830.75	1066.48	1242.34	1044.52	1143.1	890.44	1143.1
KLHL28	138.1	69.03	24.28	32.36	93.35	133.36	211.31	145.02	153.34	122.64	80.01	91.41	69.03	65.72	62.12	71.5	54.33	75.64	99.43	49.56	74.58	56.68	54.33	52.82	36.27	21.78	63.45	60.39	51.71	72.52	94.67	61.68	68.07	78.89	57.49	75.11	66.65	41.81	68.07	62.56	56.68	84.04	40.36	53.95	70.51	102.97	73.54	45.85	52.08	43.02	62.12	99.43	62.56	71.5	51.71	51.71	84.63	58.71	61.68	88.88	69.03	39.5	50.63	58.71	84.63	66.65	80.01	61.68	65.72	44.57	43.63	70.51	76.71	127.0	74.06	55.89	73.54	69.03	76.17	36.53	81.71	66.65	108.9	63.0	46.5	59.55	57.08	126.12	140.04	71.0	133.36	175.07	147.06	142.01
LEMD3	314.17	291.04	74.58	159.9	503.95	237.86	303.44	332.14	379.04	256.78	256.78	336.79	229.72	194.36	228.13	198.47	161.02	218.79	289.02	161.02	241.19	215.77	194.36	195.72	156.59	93.35	217.27	190.34	132.44	224.97	260.38	183.82	193.01	239.52	198.47	218.79	176.29	161.02	194.36	189.02	201.25	253.23	158.79	176.29	218.79	236.21	253.23	178.77	165.57	113.56	177.53	264.03	185.11	264.03	199.85	180.02	242.88	198.47	177.53	236.21	212.78	136.19	167.9	195.72	281.09	267.73	224.97	215.77	208.38	151.22	150.17	190.34	190.34	346.29	206.94	187.71	232.94	260.38	217.27	120.94	255.0	205.5	283.05	180.02	152.28	171.45	211.31	279.14	336.79	287.01	371.22	412.0	334.46	384.34
LGALS8	1745.2	1883.54	255.0	241.19	1583.71	1191.69	1674.06	1605.83	1350.18	974.5	988.12	941.27	583.07	514.56	599.49	547.75	444.72	651.58	603.67	450.94	753.83	674.59	583.07	555.41	559.28	426.57	521.76	412.0	454.09	525.39	603.67	493.56	591.22	825.0	591.22	497.0	723.08	518.15	642.59	567.1	563.18	733.19	521.76	543.96	567.1	995.0	603.67	420.68	511.0	567.1	511.0	733.19	583.07	543.96	429.54	348.71	733.19	497.0	353.59	1111.82	647.07	373.81	567.1	595.34	665.29	915.51	540.19	591.22	624.99	463.65	514.56	647.07	723.08	1208.34	1051.79	607.87	480.04	624.99	633.73	591.22	463.65	624.99	612.11	718.08	444.72	567.1	651.58	450.94	476.71	1073.91	660.68	595.34	684.02	514.56
LMBRD2	90.14	206.94	17.13	22.59	155.5	183.82	297.17	208.38	146.03	147.06	96.01	115.97	116.78	140.04	95.34	90.77	88.26	90.14	158.79	51.35	108.9	90.77	80.01	85.82	58.71	25.72	224.97	94.67	63.45	127.89	104.42	108.14	94.01	80.57	71.5	146.03	75.64	41.52	86.43	75.11	111.99	86.43	71.5	68.07	102.97	78.34	111.99	119.26	60.82	44.89	68.55	121.79	79.45	112.77	82.29	70.51	101.54	63.89	128.79	102.25	104.42	59.97	72.52	94.01	116.78	110.43	172.65	73.03	85.22	64.8	69.52	94.01	89.51	124.37	102.97	78.89	97.36	112.77	105.89	45.21	119.26	95.34	124.37	88.88	105.15	84.63	75.64	123.5	162.14	58.71	163.28	209.84	164.42	144.01
LTN1	175.07	299.25	21.94	22.75	143.01	217.27	336.79	154.42	195.72	144.01	212.78	194.36	137.14	122.64	112.77	98.04	99.43	144.01	237.86	72.52	153.34	145.02	102.25	100.13	64.34	35.25	112.77	104.42	77.25	175.07	159.9	133.36	119.26	152.28	114.36	152.28	118.43	63.89	105.89	109.66	155.5	167.9	81.14	96.01	146.03	156.59	156.59	100.83	98.73	71.0	100.83	163.28	124.37	144.01	100.83	82.29	159.9	117.6	106.63	180.02	119.26	68.55	105.89	113.56	149.12	165.57	149.12	115.16	138.1	85.22	84.63	142.01	142.01	269.6	138.1	112.77	144.01	175.07	134.3	79.45	163.28	137.14	186.4	113.56	102.25	122.64	120.94	209.84	175.07	165.57	197.09	244.57	234.57	229.72
METTL2B	329.84	295.11	159.9	214.27	493.56	521.76	708.18	387.02	366.09	603.67	348.71	450.94	197.09	332.14	244.57	182.55	212.78	234.57	248.0	181.28	237.86	187.71	176.29	285.03	186.4	143.01	332.14	195.72	159.9	215.77	246.28	155.5	175.07	201.25	181.28	262.2	223.41	178.77	187.71	127.0	193.01	241.19	165.57	185.11	285.03	260.38	204.07	143.01	148.09	128.79	185.11	248.0	176.29	201.25	180.02	167.9	220.32	229.72	239.52	221.86	314.17	297.17	202.66	205.5	237.86	325.29	220.32	166.73	215.77	158.79	173.85	199.85	194.36	366.09	185.11	191.67	204.07	242.88	214.27	157.68	323.03	226.54	332.14	177.53	198.47	226.54	218.79	299.25	312.0	231.32	285.03	339.14	351.14	339.14
MOB4	647.07	988.12	150.17	166.73	884.29	525.39	890.44	909.17	872.1	759.08	718.08	921.88	384.34	281.09	423.61	450.94	348.71	417.77	555.41	529.06	518.15	555.41	463.65	361.04	356.05	195.72	325.29	346.29	312.0	463.65	470.14	376.41	486.75	301.33	356.05	435.55	291.04	336.79	336.79	507.46	423.61	497.0	346.29	309.83	414.87	368.65	403.5	329.84	384.34	389.72	373.81	403.5	423.61	457.25	525.39	435.55	366.09	406.31	215.77	447.82	470.14	277.2	397.93	387.02	460.44	497.0	260.38	447.82	384.34	397.93	368.65	426.57	480.04	547.75	376.41	332.14	332.14	525.39	329.84	376.41	323.03	389.72	503.95	361.04	318.57	435.55	444.72	638.15	620.67	373.81	500.46	633.73	748.61	591.22
NAA15	403.5	379.04	24.28	56.68	267.73	343.89	457.25	314.17	389.72	348.71	281.09	299.25	163.28	201.25	153.34	136.19	198.47	173.85	163.28	146.03	198.47	171.45	136.19	137.14	133.36	111.21	154.42	136.19	112.77	159.9	187.71	102.97	140.04	177.53	146.03	171.45	165.57	119.26	154.42	120.94	153.34	164.42	127.0	120.94	191.67	193.01	144.01	100.83	111.99	105.89	149.12	172.65	177.53	164.42	124.37	100.83	162.14	133.36	124.37	255.0	155.5	127.89	145.02	157.68	202.66	156.59	172.65	134.3	146.03	108.14	123.5	164.42	165.57	229.72	155.5	147.06	115.16	172.65	147.06	108.14	147.06	180.02	209.84	140.04	191.67	158.79	165.57	193.01	204.07	244.57	239.52	206.94	194.36	287.01
NAA50	1277.29	1781.89	339.14	283.05	1183.45	1519.15	1313.23	2061.24	1685.71	3303.0	4038.61	3716.2	674.59	854.13	674.59	540.19	563.18	915.51	941.27	429.54	813.63	612.11	599.49	660.68	438.59	400.71	620.67	567.1	463.65	656.11	995.0	426.57	426.57	848.22	733.19	753.83	813.63	395.18	748.61	463.65	759.08	738.29	480.04	738.29	1023.0	1322.37	819.3	493.56	353.59	368.65	567.1	878.17	575.03	808.0	483.38	366.09	759.08	616.37	629.35	1008.9	909.17	575.03	536.45	728.11	1044.52	830.75	974.5	514.56	713.11	423.61	426.57	860.08	642.59	947.83	759.08	647.07	514.56	813.63	825.0	358.54	775.05	896.64	1081.39	620.67	473.41	638.15	693.58	961.07	1015.93	1857.6	1407.55	1233.75	1073.91	1350.18
NECAP1	361.04	599.49	346.29	441.64	591.22	599.49	759.08	713.11	759.08	463.65	748.61	616.37	532.74	583.07	460.44	497.0	563.18	525.39	583.07	387.02	511.0	521.76	486.75	435.55	358.54	295.11	651.58	529.06	395.18	529.06	500.46	503.95	483.38	412.0	503.95	575.03	518.15	234.57	438.59	426.57	500.46	603.67	409.15	435.55	480.04	500.46	473.41	473.41	417.77	373.81	466.88	500.46	507.46	450.94	403.5	371.22	476.71	441.64	629.35	518.15	473.41	361.04	480.04	490.14	486.75	571.05	620.67	466.88	450.94	379.04	450.94	486.75	432.53	587.13	503.95	490.14	406.31	540.19	447.82	400.71	470.14	444.72	583.07	460.44	450.94	603.67	532.74	518.15	511.0	607.87	547.75	583.07	579.04	660.68
NEK7	819.3	1044.52	109.66	158.79	612.11	723.08	764.36	791.35	1023.0	387.02	470.14	679.29	334.46	358.54	400.71	299.25	343.89	432.53	358.54	265.87	432.53	325.29	389.72	351.14	255.0	118.43	476.71	336.79	260.38	389.72	441.64	301.33	334.46	432.53	339.14	420.68	269.6	201.25	361.04	346.29	379.04	507.46	253.23	256.78	368.65	353.59	323.03	258.57	258.57	246.28	301.33	423.61	423.61	457.25	363.56	260.38	423.61	283.05	323.03	579.04	514.56	301.33	291.04	371.22	450.94	447.82	339.14	339.14	366.09	303.44	323.03	426.57	432.53	521.76	551.56	314.17	341.51	450.94	363.56	226.54	323.03	493.56	543.96	500.46	403.5	287.01	353.59	400.71	514.56	656.11	525.39	620.67	486.75	486.75
NUFIP2	616.37	599.49	90.14	181.28	450.94	660.68	775.05	441.64	463.65	629.35	575.03	830.75	301.33	285.03	248.0	217.27	186.4	297.17	379.04	197.09	307.69	236.21	205.5	209.84	165.57	141.02	251.48	194.36	173.85	211.31	358.54	208.38	234.57	339.14	241.19	318.57	297.17	136.19	267.73	198.47	217.27	212.78	167.9	214.27	341.51	518.15	260.38	206.94	199.85	177.53	215.77	269.6	241.19	236.21	199.85	164.42	307.69	172.65	239.52	420.68	214.27	170.25	202.66	244.57	320.8	237.86	297.17	232.94	279.14	183.82	166.73	249.73	307.69	417.77	246.28	199.85	232.94	269.6	265.87	183.82	473.41	228.13	412.0	229.72	128.79	256.78	253.23	400.71	320.8	361.04	483.38	483.38	414.87	480.04
NUP133	684.02	723.08	204.07	251.48	607.87	579.04	764.36	703.28	665.29	651.58	521.76	698.41	444.72	450.94	432.53	387.02	346.29	423.61	435.55	387.02	432.53	392.44	371.22	432.53	417.77	217.27	379.04	420.68	327.56	395.18	483.38	341.51	356.05	493.56	387.02	417.77	341.51	376.41	476.71	384.34	435.55	409.15	368.65	384.34	414.87	457.25	343.89	316.37	275.28	277.2	343.89	460.44	384.34	454.09	366.09	348.71	426.57	384.34	320.8	551.56	426.57	409.15	397.93	400.71	441.64	490.14	381.68	373.81	368.65	316.37	318.57	395.18	521.76	521.76	540.19	368.65	307.69	356.05	395.18	351.14	412.0	493.56	463.65	536.45	323.03	314.17	454.09	466.88	511.0	376.41	514.56	612.11	595.34	500.46
NUP153	429.54	507.46	131.51	169.07	414.87	395.18	525.39	438.59	587.13	497.0	607.87	684.02	236.21	332.14	220.32	195.72	201.25	229.72	251.48	145.02	275.28	190.34	177.53	191.67	124.37	127.0	232.94	178.77	128.79	190.34	253.23	158.79	173.85	260.38	208.38	205.5	237.86	134.3	220.32	173.85	218.79	234.57	148.09	195.72	262.2	281.09	217.27	147.06	165.57	125.24	187.71	255.0	214.27	205.5	173.85	128.79	251.48	175.07	209.84	320.8	202.66	175.07	178.77	211.31	239.52	226.54	271.48	186.4	205.5	139.07	149.12	208.38	212.78	316.37	218.79	208.38	214.27	226.54	215.77	135.24	244.57	229.72	307.69	198.47	197.09	197.09	202.66	323.03	318.57	463.65	341.51	429.54	379.04	547.75
PPP2R1B	277.2	511.0	76.71	116.78	647.07	361.04	353.59	473.41	435.55	403.5	329.84	356.05	145.02	218.79	159.9	175.07	178.77	185.11	223.41	152.28	191.67	193.01	185.11	115.16	148.09	100.83	155.5	137.14	133.36	173.85	224.97	146.03	122.64	220.32	198.47	206.94	156.59	100.83	193.01	145.02	201.25	197.09	134.3	195.72	211.31	204.07	204.07	134.3	153.34	141.02	136.19	197.09	153.34	172.65	155.5	155.5	198.47	201.25	144.01	234.57	173.85	155.5	146.03	182.55	271.48	206.94	114.36	177.53	181.28	108.9	120.94	167.9	183.82	327.56	195.72	128.79	155.5	172.65	170.25	169.07	164.42	169.07	231.32	157.68	146.03	150.17	181.28	246.28	264.03	229.72	279.14	316.37	209.84	312.0
