	GTEX.WFON.1426.SM.4LVMT	GTEX.147F3.1926.SM.5SIB9	GTEX.X15G.1326.SM.4PQZJ	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.TML8.1326.SM.4DXTO	GTEX.13D11.0826.SM.5KLZJ	GTEX.R55D.1826.SM.48FEF	GTEX.13PL7.2526.SM.5IFGR	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XMK1.1726.SM.4B64Z	GTEX.WOFM.2026.SM.4OOSQ	GTEX.Y3IK.1826.SM.4WWDS	GTEX.Q2AH.1226.SM.48TZL	GTEX.12C56.0626.SM.5EGGC	GTEX.132NY.1226.SM.5PNVF	GTEX.13U4I.1426.SM.5J2M3	GTEX.12WSI.0826.SM.5EGKD	GTEX.1313W.0926.SM.5EQ56	GTEX.Y5V5.0826.SM.4VBQD	GTEX.12WSD.0826.SM.5GCNE	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.S7SE.0926.SM.2XCD6	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.147JS.1226.SM.5RQK4	GTEX.V1D1.0826.SM.3P5ZA	GTEX.X3Y1.0626.SM.3P5YS	GTEX.14E7W.1326.SM.5RQIV	GTEX.13FTY.0126.SM.5J2NZ	GTEX.11GSP.0726.SM.5986L	GTEX.12696.1026.SM.5FQUV	GTEX.117YW.0526.SM.5H11C	GTEX.11NV4.1126.SM.5HL6J	GTEX.OHPL.0526.SM.3NM8U	GTEX.X4EO.0926.SM.3P5Z2	GTEX.13FLV.0426.SM.5KLZA	GTEX.T6MN.0826.SM.32PM4	GTEX.P78B.0926.SM.2I5FA	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.SIU8.0926.SM.5SI87	GTEX.ZYT6.0526.SM.5GIEA	GTEX.OXRL.0526.SM.2I3EZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.SUCS.0626.SM.32PM5	GTEX.XOT4.1426.SM.4B65T	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.13OW8.1726.SM.5L3GO	GTEX.ZVT3.0926.SM.5GICK	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	GTEX.QCQG.0526.SM.48U2A	GTEX.WHPG.0426.SM.4M1XW	GTEX.13U4I.2526.SM.5SI8Z	GTEX.POMQ.0826.SM.3P61H
DNAJC11	1242.34	1159.07	1216.75	1135.2	1457.23	1008.9	1457.23	1127.35	1457.23	1378.57	1159.07	1242.34	1151.06	1199.98	279.14	547.75	379.04	301.33	376.41	599.49	346.29	563.18	555.41	312.0	435.55	624.99	599.49	187.71	187.71	265.87	579.04	289.02	112.77	583.07	518.15	217.27	423.61	607.87	612.11	476.71	343.89	289.02	497.0	603.67	493.56	693.58	414.87	186.4	152.28	318.57	277.2	187.71	231.32	896.64	620.67	660.68	651.58
DOLPP1	1096.5	830.75	902.89	961.07	1111.82	1104.13	1199.98	1015.93	1119.56	1023.0	1175.27	988.12	981.29	854.13	189.02	231.32	182.55	178.77	169.07	205.5	187.71	244.57	264.03	128.79	215.77	236.21	275.28	85.82	83.45	117.6	244.57	88.88	75.11	305.55	145.02	83.45	134.3	253.23	256.78	136.19	181.28	109.66	262.2	265.87	343.89	269.6	121.79	96.68	77.25	119.26	121.79	122.64	88.88	669.92	583.07	438.59	579.04
EHHADH	450.94	444.72	343.89	397.93	656.11	525.39	587.13	497.0	518.15	547.75	483.38	463.65	384.34	414.87	63.45	169.07	66.65	53.19	115.97	81.14	87.65	147.06	117.6	37.05	56.68	171.45	201.25	33.78	12.0	40.07	150.17	35.0	5.82	164.42	88.88	47.17	58.71	163.28	246.28	73.03	95.34	36.01	149.12	215.77	161.02	176.29	31.45	51.35	24.11	90.77	50.63	33.54	45.53	289.02	191.67	183.82	167.9
ENOSF1	1388.16	1561.89	974.5	1781.89	1844.76	1044.52	1023.0	1073.91	1378.57	1268.46	848.22	1340.84	967.76	1697.45	463.65	1769.57	967.76	1304.15	802.41	1096.5	1030.12	1369.04	825.0	915.51	708.18	1397.83	1242.34	466.88	463.65	356.05	1030.12	1088.92	256.78	854.13	988.12	679.29	476.71	2004.85	1594.73	1551.09	1127.35	921.88	1340.84	1674.06	1233.75	1794.29	521.76	323.03	198.47	1225.22	351.14	381.68	842.36	1519.15	896.64	1977.24	1073.91
ENTPD5	3303.0	3060.45	2271.4	2796.65	3515.68	3540.14	4095.0	2855.44	3564.78	3018.3	3395.89	3190.46	2591.27	2537.92	55.1	156.59	112.77	142.01	148.09	176.29	185.11	217.27	161.02	81.71	101.54	178.77	271.48	62.56	70.51	61.68	273.37	127.89	31.22	190.34	194.36	117.6	64.8	195.72	228.13	214.27	135.24	152.28	194.36	253.23	148.09	172.65	110.43	64.34	27.05	115.97	79.45	73.54	94.67	1015.93	575.03	624.99	713.11
EPS8L3	13586.57	10959.3	12076.21	11827.67	13215.02	12076.21	14561.8	12764.83	14561.8	12329.98	13033.07	10440.2	11189.6	13399.51	6.67	20.41	4.62	0.0	38.95	9.13	0.0	0.0	0.0	0.0	0.0	8.51	34.02	0.0	0.0	9.85	11.82	102.25	0.0	0.0	2.89	1.97	0.0	0.0	1059.11	13.12	20.41	0.05	0.04	7.88	0.0	1.77	29.06	4.5	14.45	0.55	9.85	23.25	35.0	1151.06	1561.89	802.41	1883.54
FA2H	1268.46	1001.93	1111.82	1135.2	1540.37	1233.75	1304.15	1304.15	1477.58	1199.98	1407.55	1259.69	1277.29	1167.14	22.59	125.24	105.89	12.55	21.01	58.3	50.63	91.41	140.04	15.11	6.57	8.19	161.02	30.78	30.56	19.82	84.63	15.34	3.69	82.29	16.88	12.55	12.74	72.01	872.1	31.67	221.86	8.78	27.44	228.13	201.25	260.38	10.96	8.25	15.34	21.47	15.0	8.65	58.3	1794.29	1870.53	665.29	1369.04
FAM83E	4736.79	4869.99	4736.79	4388.98	6381.92	4388.98	5995.9	4607.24	5255.91	5555.65	5147.73	4152.18	4388.98	4268.94	180.02	802.41	1159.07	356.05	647.07	414.87	258.57	796.86	1628.26	518.15	220.32	480.04	785.88	295.11	559.28	120.1	325.29	23.59	123.5	540.19	71.0	194.36	166.73	607.87	808.0	748.61	3146.52	144.01	417.77	1191.69	208.38	1037.29	249.73	514.56	70.01	267.73	647.07	122.64	555.41	1697.45	2178.83	902.89	1721.16
FAM98C	836.53	674.59	723.08	890.44	884.29	813.63	708.18	872.1	961.07	764.36	1044.52	819.3	703.28	703.28	236.21	575.03	339.14	348.71	376.41	435.55	389.72	529.06	329.84	195.72	226.54	651.58	679.29	214.27	178.77	323.03	470.14	336.79	140.04	301.33	395.18	138.1	303.44	392.44	432.53	532.74	334.46	293.07	575.03	447.82	297.17	466.88	316.37	142.01	39.79	234.57	295.11	221.86	305.55	603.67	583.07	791.35	616.37
FOXA3	1208.34	1051.79	974.5	995.0	2047.0	1001.93	961.07	1037.29	1277.29	1331.57	1175.27	1950.0	1233.75	1378.57	23.25	69.03	14.24	31.0	7.11	0.89	3.72	147.06	0.0	3.38	0.0	1.79	7.88	10.47	1.03	7.69	28.65	4.21	28.24	9.85	1.51	11.04	0.0	50.98	1457.23	12.09	197.09	2.46	0.97	4.62	77.25	27.84	9.7	13.83	2.43	4.94	4.1	11.04	12.55	616.37	638.15	587.13	629.35
FOXD2	341.51	275.28	325.29	275.28	376.41	305.55	379.04	316.37	403.5	320.8	363.56	457.25	301.33	348.71	3.2	7.46	7.0	4.21	11.04	6.78	3.89	23.76	1.87	7.69	9.34	14.24	14.14	4.78	5.77	5.41	14.67	7.88	4.78	4.86	6.73	5.06	4.21	6.46	7.46	6.52	11.55	2.76	4.74	8.25	3.44	7.0	10.47	3.08	4.78	7.94	10.16	8.99	9.06	12.64	14.35	16.51	11.73
FUT2	1519.15	1605.83	2855.44	2104.58	2271.4	1639.59	2976.74	2287.2	2895.31	3190.46	2468.49	2645.74	2032.85	1617.0	10.08	54.33	161.02	6.26	33.54	43.63	39.5	167.9	25.91	48.87	32.36	94.01	183.82	9.78	38.12	16.27	43.63	56.68	29.27	36.79	33.54	55.49	59.55	131.51	190.34	32.36	878.17	32.36	70.01	13.32	24.46	74.58	13.12	36.79	23.08	11.13	13.52	15.11	57.08	2434.5	1745.2	1437.15	2287.2
FUT3	8134.41	6792.79	9540.5	7331.05	8598.28	9673.69	10440.2	8658.09	9151.82	8963.45	8598.28	8022.41	9474.59	9606.86	88.26	138.1	171.45	41.52	119.26	90.14	167.9	72.52	212.78	51.71	20.86	154.42	139.07	40.07	76.71	13.52	45.21	22.26	7.0	277.2	30.78	11.21	0.0	153.34	246.28	46.5	392.44	13.22	34.02	260.38	423.61	336.79	29.91	14.56	7.75	146.03	20.26	27.44	127.89	1628.26	8191.0	1111.82	3372.43
FUT6	2287.2	1923.14	2178.83	2090.03	2739.08	2485.67	2627.46	2400.97	2351.53	2133.97	2400.97	2119.22	2119.22	1757.34	1.51	3.69	34.02	1.66	12.09	0.04	5.28	198.47	12.09	2.61	0.0	0.0	11.04	2.23	0.45	0.0	27.64	0.09	0.0	8.38	1.43	2.89	0.0	11.21	5.45	0.0	529.06	0.0	5.68	20.71	15.0	18.7	0.0	0.0	0.09	3.59	1.14	0.15	70.51	220.32	8134.41	48.18	96.68
GGACT	162.14	199.85	185.11	130.6	178.77	148.09	262.2	183.82	205.5	273.37	202.66	316.37	162.14	205.5	89.51	90.77	60.39	63.0	54.33	111.99	169.07	96.68	41.52	40.93	35.0	198.47	94.01	44.89	24.11	71.0	156.59	73.54	16.39	150.17	87.65	52.08	27.64	77.25	102.97	82.29	57.49	66.18	100.83	139.07	139.07	88.88	60.82	74.58	49.21	51.35	29.27	65.26	35.0	283.05	228.13	217.27	100.83
GJB1	4268.94	3419.52	3325.99	3768.09	4543.8	4038.61	4607.24	3212.66	4239.45	4836.35	3716.2	4972.34	3639.7	3467.27	32.36	1088.92	128.79	13.52	441.64	198.47	351.14	1081.39	603.67	6.67	38.4	74.58	127.0	151.22	11.13	16.51	32.82	0.0	18.43	159.9	30.78	5.02	15.11	269.6	4769.75	119.26	136.19	10.88	40.64	289.02	1733.13	400.71	13.22	6.62	21.32	253.23	23.76	9.41	34.75	607.87	420.68	450.94	366.09
GLOD5	417.77	392.44	476.71	486.75	500.46	426.57	595.34	480.04	521.76	384.34	507.46	438.59	403.5	314.17	52.08	70.01	60.39	57.08	40.64	26.86	75.11	60.82	215.77	14.35	14.24	117.6	69.03	14.35	25.35	28.45	33.3	0.0	8.51	82.87	11.13	9.13	67.12	265.87	271.48	46.5	38.95	8.0	93.35	135.24	928.3	202.66	27.05	29.27	9.13	98.04	10.79	29.91	17.77	94.67	115.16	88.88	44.89
GMDS	5403.7	5147.73	5366.37	3515.68	6471.02	4298.64	7433.4	5633.22	5633.22	7642.41	5076.84	5751.61	5872.48	5555.65	616.37	271.48	583.07	387.02	285.03	283.05	813.63	389.72	202.66	258.57	480.04	358.54	287.01	277.2	432.53	189.02	384.34	387.02	140.04	583.07	209.84	201.25	438.59	170.25	819.3	305.55	1023.0	232.94	195.72	223.41	486.75	366.09	151.22	209.84	195.72	264.03	343.89	309.83	612.11	5292.48	5219.6	5255.91	5183.54
GMPPB	921.88	896.64	1540.37	896.64	1225.22	947.83	1127.35	947.83	1119.56	1519.15	878.17	1066.48	1407.55	1030.12	665.29	414.87	497.0	426.57	406.31	540.19	457.25	450.94	463.65	334.46	395.18	555.41	525.39	406.31	295.11	329.84	532.74	277.2	336.79	860.08	438.59	265.87	264.03	392.44	547.75	341.51	529.06	381.68	389.72	444.72	511.0	414.87	226.54	301.33	217.27	444.72	339.14	320.8	371.22	775.05	1001.93	909.17	941.27
GOLPH3L	1250.98	1135.2	1015.93	1008.9	1277.29	1322.37	1216.75	1159.07	1467.37	1111.82	1151.06	1208.34	1477.58	1096.5	275.28	575.03	571.05	318.57	473.41	323.03	620.67	607.87	563.18	312.0	273.37	591.22	896.64	186.4	348.71	110.43	629.35	186.4	166.73	616.37	239.52	190.34	236.21	665.29	802.41	264.03	921.88	175.07	551.56	802.41	830.75	603.67	129.69	183.82	248.0	299.25	279.14	161.02	470.14	1008.9	836.53	679.29	830.75
GPA33	21617.82	16045.82	16960.78	21026.65	21919.61	20593.91	18560.17	17681.08	21617.82	17681.08	20881.4	21172.91	21617.82	16611.71	161.02	258.57	1427.22	738.29	108.9	64.34	22.75	228.13	463.65	139.07	339.14	51.71	102.25	115.97	129.69	145.02	555.41	148.09	78.89	76.17	63.89	111.99	165.57	129.69	507.46	934.76	63.89	612.11	177.53	743.43	381.68	764.36	90.14	105.89	39.79	202.66	312.0	647.07	88.88	206.94	5633.22	785.88	7280.4
GPR160	3168.41	3257.52	2119.22	2451.44	3103.19	3212.66	3081.75	2935.74	3372.43	3039.3	3515.68	2816.11	2645.74	2682.69	571.05	532.74	507.46	1259.69	314.17	135.24	262.2	536.45	595.34	194.36	224.97	486.75	305.55	120.94	104.42	75.11	381.68	55.89	30.12	441.64	76.71	158.79	108.14	967.76	2573.36	303.44	1923.14	262.2	490.14	414.87	1447.15	624.99	155.5	100.13	58.3	295.11	75.64	127.0	183.82	607.87	555.41	688.78	476.71
GPR35	1685.71	1437.15	1175.27	1769.57	1697.45	1950.0	1427.22	1794.29	2090.03	1487.87	1651.0	1529.73	1331.57	1225.22	144.01	52.82	30.56	16.39	27.05	170.25	29.27	133.36	87.03	96.68	34.75	111.99	148.09	39.5	438.59	43.02	50.98	22.75	57.49	35.76	414.87	22.43	146.03	41.52	44.57	45.53	28.65	104.42	64.34	26.28	9.27	44.57	109.66	51.71	97.36	46.84	103.69	32.59	33.78	698.41	733.19	753.83	769.69
GPRC5C	3190.46	2468.49	2287.2	3124.78	2701.35	3018.3	3768.09	3467.27	3212.66	2075.59	3901.01	3419.52	2555.58	3124.78	928.3	2758.13	1407.55	275.28	1096.5	624.99	1286.18	825.0	4802.93	1023.0	204.07	2004.85	3325.99	303.44	902.89	249.73	1437.15	249.73	229.72	1096.5	825.0	1081.39	334.46	1857.6	13306.94	995.0	1407.55	376.41	1369.04	4419.52	1561.89	6337.83	155.5	197.09	187.71	4095.0	175.07	107.38	2417.67	3874.05	1745.2	3540.14	2796.65
HADH	4152.18	4268.94	4123.49	4181.07	5517.27	3589.58	5329.3	5479.15	5791.62	5292.48	4903.87	6652.97	5403.7	3982.99	486.75	1369.04	974.5	718.08	1073.91	896.64	860.08	860.08	1066.48	854.13	651.58	1104.13	1151.06	363.56	651.58	392.44	775.05	348.71	260.38	1030.12	651.58	547.75	547.75	1059.11	1685.71	921.88	1183.45	559.28	1104.13	1286.18	1540.37	1369.04	466.88	381.68	241.19	1111.82	363.56	540.19	825.0	1923.14	1950.0	2485.67	1991.0
HDHD3	3235.01	3395.89	3540.14	3190.46	4268.94	3847.29	4736.79	3928.15	4639.29	3168.41	4239.45	4298.64	3928.15	3168.41	197.09	647.07	356.05	277.2	309.83	353.59	301.33	336.79	444.72	248.0	323.03	698.41	684.02	143.01	194.36	114.36	366.09	258.57	172.65	476.71	307.69	183.82	305.55	583.07	684.02	186.4	368.65	97.36	423.61	414.87	420.68	624.99	158.79	195.72	122.64	178.77	171.45	116.78	329.84	2178.83	2417.67	1745.2	2434.5
HEMK1	529.06	490.14	490.14	555.41	718.08	432.53	483.38	470.14	551.56	441.64	607.87	748.61	529.06	470.14	348.71	497.0	239.52	429.54	503.95	429.54	529.06	599.49	329.84	376.41	271.48	536.45	540.19	185.11	389.72	191.67	236.21	438.59	166.73	358.54	490.14	212.78	397.93	514.56	371.22	384.34	423.61	358.54	409.15	529.06	483.38	669.92	387.02	175.07	82.87	303.44	236.21	327.56	348.71	343.89	320.8	532.74	329.84
HKDC1	376.41	265.87	642.59	571.05	540.19	638.15	743.43	656.11	718.08	599.49	473.41	258.57	638.15	277.2	60.39	166.73	24.63	20.86	162.14	94.01	115.16	9.93	163.28	120.1	11.82	105.15	89.51	29.48	12.74	10.79	20.11	34.26	5.23	153.34	19.68	15.11	2.58	53.95	111.21	24.81	44.25	15.91	7.75	78.34	595.34	176.29	7.17	11.21	4.58	27.64	12.83	24.63	30.12	29.27	191.67	23.08	40.93
HMGCL	2400.97	2133.97	1991.0	2240.11	3060.45	2061.24	2209.26	2178.83	2935.74	2434.5	2758.13	3235.01	2061.24	2351.53	728.11	1199.98	1191.69	748.61	878.17	830.75	1277.29	866.07	1183.45	426.57	633.73	1369.04	1066.48	579.04	395.18	334.46	1199.98	607.87	312.0	1127.35	860.08	432.53	540.19	1151.06	1639.59	1159.07	819.3	688.78	1111.82	1159.07	1745.2	1340.84	518.15	417.77	205.5	1008.9	651.58	511.0	571.05	1819.35	1304.15	1159.07	1037.29
HNF1A	450.94	287.01	376.41	395.18	414.87	379.04	466.88	379.04	543.96	358.54	423.61	457.25	392.44	381.68	3.76	4.31	7.4	2.32	3.29	37.32	12.45	7.94	28.86	3.5	9.7	18.7	64.8	0.11	0.08	0.87	8.58	13.62	0.79	12.83	2.94	1.0	0.72	24.46	65.26	0.95	0.09	7.94	18.03	15.34	4.94	21.94	7.82	1.75	0.0	0.0	1.64	0.55	0.16	111.21	140.04	155.5	212.78
HOXA6	199.85	206.94	205.5	205.5	171.45	255.0	209.84	149.12	371.22	234.57	169.07	312.0	132.44	309.83	17.25	42.11	11.3	1.5	36.79	14.78	9.85	49.91	58.3	33.78	11.91	39.79	60.39	6.36	30.34	4.5	39.79	51.71	1.08	42.71	14.45	9.85	53.19	42.11	34.02	18.43	4.5	6.62	72.52	57.49	8.71	38.67	25.91	7.46	8.65	6.16	10.47	7.82	13.03	23.08	5.54	19.97	2.23
HOXA7	665.29	909.17	1216.75	718.08	2537.92	457.25	1857.6	1127.35	775.05	3467.27	733.19	3212.66	878.17	1073.91	62.56	73.03	52.82	5.15	85.22	73.54	76.17	102.25	66.65	92.7	26.28	84.63	153.34	36.01	19.39	16.39	167.9	52.82	21.47	264.03	47.84	18.43	205.5	80.57	80.57	145.02	3.32	51.71	182.55	81.14	149.12	67.12	27.64	24.11	9.7	42.41	15.11	39.79	52.45	44.25	0.79	106.63	11.38
IFT172	2816.11	2367.9	2319.15	2434.5	2777.33	2520.38	2537.92	1923.14	3467.27	2758.13	3847.29	2816.11	1662.49	2555.58	212.78	547.75	1111.82	234.57	400.71	1044.52	808.0	708.18	332.14	329.84	150.17	866.07	1457.23	201.25	878.17	264.03	780.44	591.22	159.9	249.73	358.54	412.0	373.81	713.11	583.07	579.04	2047.0	262.2	1088.92	547.75	307.69	759.08	384.34	293.07	98.04	341.51	130.6	277.2	775.05	1104.13	2997.45	1963.57	2287.2
IL17RB	733.19	595.34	514.56	392.44	316.37	463.65	679.29	603.67	438.59	334.46	463.65	518.15	395.18	493.56	98.73	241.19	73.54	170.25	190.34	255.0	37.85	71.0	167.9	98.73	147.06	348.71	74.58	39.5	47.5	130.6	115.97	129.69	175.07	105.15	25.91	318.57	84.63	575.03	334.46	123.5	117.6	97.36	123.5	251.48	483.38	215.77	88.26	129.69	36.27	136.19	32.59	80.01	48.18	162.14	159.9	180.02	226.54
ILVBL	2701.35	1883.54	2061.24	2417.67	2104.58	1963.57	2133.97	1909.85	2400.97	2075.59	2502.97	2664.15	1757.34	2224.63	521.76	1096.5	796.86	616.37	854.13	808.0	830.75	1015.93	1066.48	713.11	759.08	1008.9	1268.46	507.46	283.05	633.73	1023.0	450.94	426.57	1044.52	854.13	423.61	669.92	860.08	1151.06	941.27	579.04	688.78	934.76	1037.29	1340.84	1322.37	571.05	409.15	246.28	665.29	518.15	314.17	412.0	1685.71	1508.65	1909.85	1617.0
IMPDH2	3690.52	3540.14	3419.52	3901.01	3018.3	2573.36	2271.4	2367.9	3467.27	3742.05	3280.18	3982.99	4010.71	4181.07	3742.05	2032.85	1583.71	1745.2	1508.65	1286.18	3303.0	1733.13	1427.22	2018.8	1991.0	1977.24	2075.59	1551.09	1896.65	1769.57	1844.76	2104.58	2400.97	3039.3	1437.15	988.12	1529.73	1605.83	1437.15	1794.29	1685.71	1331.57	1183.45	1685.71	2255.7	2367.9	1111.82	1322.37	1781.89	1806.78	1733.13	1709.26	1437.15	1950.0	2997.45	4512.4	3325.99
KRTAP5-5	28.24	13.12	4.9	33.06	8.38	48.52	19.82	41.81	19.53	3.82	54.72	8.06	9.27	12.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	7.69	10.88	0.0
LEFTY1	23009.42	13586.57	8778.97	6561.36	5672.41	8191.0	10585.95	10296.45	8658.09	6935.54	12502.12	11745.96	6037.61	10733.74	0.46	18.16	3.76	1.83	13.83	4.74	1.31	46.84	9.06	3.69	6.06	10.39	14.56	14.14	5.82	20.56	9.85	11.64	11.55	3.26	15.22	3.66	7.88	20.56	15.34	2.73	4.21	6.52	12.55	20.11	7.69	9.13	14.14	3.66	4.39	4.24	5.87	6.84	15.45	40.36	0.0	18.43	1.13
LRRC31	1023.0	854.13	651.58	1066.48	941.27	1175.27	1467.37	1331.57	1023.0	854.13	1572.76	1104.13	1208.34	1037.29	2.86	19.11	11.73	3.0	36.01	16.75	47.17	34.51	171.45	8.38	3.96	3.06	23.59	5.73	0.0	0.0	13.72	0.0	0.0	24.46	0.0	3.17	0.0	28.24	381.68	4.39	48.87	0.0	9.7	30.78	10.63	38.4	4.13	0.0	0.0	173.85	4.06	0.0	4.5	56.68	57.89	127.0	28.45
MISP	11504.21	9606.86	12076.21	12943.04	15715.58	14765.09	14461.21	14361.31	14867.79	12589.08	14461.21	11267.44	15180.22	11345.82	954.43	68.55	915.51	1199.98	2271.4	825.0	65.26	988.12	403.5	1977.24	688.78	171.45	441.64	1135.2	567.1	1066.48	281.09	75.11	1037.29	854.13	133.36	50.98	915.51	941.27	156.59	387.02	1883.54	99.43	723.08	1015.93	412.0	896.64	236.21	3742.05	409.15	28.65	1250.98	368.65	559.28	1135.2	1769.57	255.0	591.22
MNX1	307.69	373.81	198.47	281.09	318.57	206.94	246.28	231.32	297.17	264.03	351.14	287.01	217.27	283.05	0.0	18.84	2.34	6.78	4.82	2.56	2.61	1.03	3.66	3.63	0.58	8.99	0.0	0.0	0.23	0.0	0.0	0.21	0.65	1.14	0.0	0.0	0.59	0.27	48.87	11.38	0.69	6.62	0.0	14.78	2.05	34.51	0.0	0.66	0.0	18.56	1.6	0.0	0.0	37.85	33.06	71.0	39.5
MPI	1617.0	1225.22	2104.58	1832.01	1757.34	1936.53	1950.0	2075.59	2004.85	1350.18	2303.12	2209.26	1651.0	1498.22	733.19	769.69	420.68	447.82	603.67	624.99	934.76	684.02	836.53	356.05	417.77	1023.0	934.76	412.0	244.57	346.29	733.19	329.84	165.57	934.76	587.13	264.03	423.61	848.22	688.78	579.04	500.46	258.57	723.08	872.1	1059.11	743.43	273.37	376.41	127.89	497.0	426.57	314.17	246.28	860.08	1508.65	2047.0	1498.22
MPST	5954.47	5711.87	4802.93	5751.61	6207.38	6121.9	8022.41	5633.22	7331.05	5913.33	7749.1	6840.04	5711.87	5441.3	460.44	1397.83	1628.26	1044.52	1359.57	688.78	1540.37	748.61	1991.0	1313.23	896.64	1417.35	1685.71	493.56	860.08	503.95	1322.37	728.11	785.88	1295.13	890.44	493.56	836.53	1594.73	2193.99	915.51	878.17	866.07	1167.14	2163.77	1498.22	2895.31	848.22	466.88	417.77	1519.15	728.11	579.04	1051.79	3257.52	2004.85	2434.5	2701.35
MRPL16	1745.2	1697.45	1030.12	1685.71	1844.76	1477.58	1757.34	1447.15	1883.54	1950.0	1417.35	2796.65	1963.57	1561.89	595.34	961.07	1023.0	785.88	728.11	974.5	928.3	1183.45	941.27	463.65	981.29	1304.15	909.17	403.5	358.54	397.93	1044.52	842.36	339.14	1008.9	961.07	642.59	591.22	1183.45	1259.69	1096.5	759.08	708.18	1340.84	947.83	1639.59	785.88	447.82	384.34	253.23	884.29	665.29	536.45	312.0	1066.48	1175.27	1457.23	1295.13
MRPL34	2956.17	3190.46	3443.31	2956.17	4010.71	3039.3	3372.43	3349.13	3540.14	2573.36	3303.0	5872.48	3146.52	2609.3	836.53	1733.13	1286.18	1378.57	1605.83	1277.29	1561.89	1250.98	2032.85	896.64	1225.22	2178.83	1233.75	507.46	836.53	728.11	1950.0	1044.52	476.71	1721.16	1096.5	518.15	1844.76	2682.69	2061.24	1073.91	1030.12	1008.9	2400.97	2018.8	1286.18	2537.92	928.3	629.35	878.17	733.19	1369.04	896.64	1143.1	3018.3	1250.98	1709.26	1781.89
MRPS25	1417.35	1594.73	1457.23	1674.06	1745.2	1487.87	1709.26	1388.16	1697.45	1447.15	1183.45	1709.26	1697.45	1551.09	371.22	1216.75	371.22	660.68	551.56	1037.29	819.3	909.17	1233.75	753.83	660.68	842.36	1991.0	323.03	860.08	325.29	579.04	1001.93	249.73	825.0	813.63	450.94	563.18	2163.77	1295.13	878.17	358.54	409.15	1304.15	1175.27	397.93	1628.26	693.58	323.03	236.21	785.88	490.14	414.87	314.17	1277.29	728.11	1331.57	1151.06
MTNR1A	30.56	38.12	53.19	32.59	23.59	12.74	72.52	33.06	54.33	26.86	43.32	28.86	26.1	35.25	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1127.35	14.56	111.21
MVP	11424.74	9215.48	10512.82	10585.95	11664.82	12160.22	12676.65	10585.95	12589.08	10733.74	10959.3	9606.86	11909.94	8718.32	8658.09	4066.71	5872.48	4066.71	3372.43	5479.15	6935.54	4972.34	8247.98	3982.99	4358.66	6121.9	3639.7	4358.66	5219.6	2758.13	3146.52	4123.49	1832.01	8718.32	3928.15	2915.45	3614.55	6337.83	3614.55	5995.9	6607.01	4543.8	1540.37	5913.33	2271.4	8963.45	3955.48	3124.78	842.36	5076.84	8778.97	3928.15	3443.31	6471.02	8305.36	3768.09	7081.29
MYO1A	7857.29	5872.48	6516.03	6792.79	6745.86	6471.02	9344.14	6887.62	8247.98	5517.27	6652.97	6840.04	5954.47	5831.91	31.45	44.25	52.82	78.34	3.0	21.47	9.93	8.51	41.52	3.11	16.27	47.84	10.0	67.59	7.82	4.1	48.18	8.06	1.33	27.05	54.33	26.67	3.79	40.07	194.36	96.68	52.08	40.36	111.21	43.02	49.21	39.79	7.57	4.9	7.57	11.82	11.13	29.27	9.93	1081.39	988.12	327.56	1143.1
NLE1	215.77	241.19	301.33	246.28	279.14	146.03	211.31	158.79	234.57	316.37	229.72	291.04	211.31	269.6	142.01	152.28	64.34	106.63	114.36	136.19	157.68	185.11	156.59	102.97	146.03	231.32	191.67	50.27	82.87	132.44	199.85	105.15	98.04	211.31	109.66	52.08	159.9	182.55	157.68	102.97	92.7	57.89	124.37	183.82	195.72	172.65	84.63	75.64	81.71	62.56	90.14	75.11	63.0	163.28	237.86	231.32	232.94
NME6	397.93	532.74	599.49	476.71	423.61	403.5	543.96	420.68	384.34	486.75	423.61	454.09	476.71	387.02	229.72	547.75	363.56	325.29	353.59	444.72	297.17	497.0	454.09	209.84	353.59	473.41	447.82	185.11	148.09	226.54	500.46	204.07	149.12	417.77	414.87	204.07	204.07	540.19	466.88	379.04	376.41	241.19	476.71	476.71	480.04	435.55	218.79	212.78	146.03	267.73	297.17	228.13	183.82	507.46	518.15	620.67	638.15
