	TCGA.FD.A6TI.01A.11R.A32O.07	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.XF.A9SL.01A.11R.A39I.07	TCGA.G2.A3VY.01A.11R.A22U.07	TCGA.CF.A47X.01A.31R.A23W.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A5U8.01A.11R.A28M.07	TCGA.UY.A9PF.01A.11R.A38B.07	TCGA.BL.A0C8.01A.11R.A277.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A1A3.01A.11R.A13Y.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.K4.A3WU.01B.11R.A23N.07	TCGA.BL.A0C8.01A.11R.A10U.07	TCGA.XF.AAMX.01A.11R.A42T.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.FJ.A3ZF.01A.11R.A23N.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.XF.A9SV.01A.21R.A42T.07	TCGA.DK.A2I1.01A.11R.A180.07	TCGA.LT.A5Z6.01A.11R.A28M.07	TCGA.DK.A3IL.01A.11R.A20F.07	TCGA.A7.A13D.01A.13R.A277.07	TCGA.A7.A13E.01A.11R.A277.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.AC.A3QQ.01B.06R.A22O.07	TCGA.A7.A26I.01A.11R.A169.07.1	TCGA.A7.A26I.01B.06R.A22O.07	TCGA.A7.A0DB.01A.11R.A277.07	TCGA.A6.2684.01A.01R.A278.07	TCGA.A6.5656.01A.21R.A278.07	TCGA.A6.2674.01A.02R.A278.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.44.2666.01A.01R.A278.07	TCGA.38.4625.01A.01R.1206.07	TCGA.44.6147.01A.11R.A278.07	TCGA.44.5645.01A.01R.A278.07	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.BK.A139.01A.11R.A277.07
TAS2R30	0.0	0.0	0.36	0.0	0.0	0.0	0.31	0.73	64.8	0.0	0.33	0.0	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.67	0.33	0.0	0.0	0.0	0.0	0.91	1.35	68.07	118.43	115.16	26.47	249.73	34.75	107.38	78.34	34.51	88.88	97.36	0.0	42.11	0.0	71.5	87.65	0.62	0.66	1.08	102.97
TAS2R31	1.6	0.0	1.77	5.32	0.0	1.11	0.93	1.46	53.57	0.61	2.29	0.0	2.2	2.39	0.0	4.82	0.6	3.69	5.15	0.0	0.67	1.19	4.78	0.0	0.0	3.63	3.72	101.54	132.44	48.52	36.53	67.59	38.12	109.66	104.42	40.36	125.24	156.59	0.0	33.78	0.0	83.45	72.52	2.23	12.18	5.87	102.25
TAS2R46	0.64	0.0	1.06	0.0	0.0	0.0	0.0	1.45	33.54	0.0	0.0	0.0	0.0	4.06	0.0	0.0	0.0	0.0	0.0	2.34	0.0	0.0	0.0	0.0	0.0	0.0	0.68	69.03	92.05	55.1	20.71	27.25	19.39	31.67	33.06	7.57	111.99	75.64	0.0	21.78	0.0	34.26	48.87	1.43	4.1	0.82	85.22
TAS2R50	0.64	0.0	0.0	2.23	1.01	0.0	0.0	1.45	46.5	0.0	0.0	0.0	1.55	0.0	0.0	1.69	1.17	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	1.81	0.0	42.41	75.11	16.88	26.28	35.0	21.78	58.3	40.64	29.27	87.03	81.14	0.0	22.43	0.0	59.55	52.45	2.43	2.56	3.99	99.43
TET1	6.67	6.11	3.89	7.06	3.76	10.96	2.48	4.03	50.27	2.14	2.63	10.0	1.28	4.43	14.35	1.73	3.56	10.39	6.62	2.71	3.99	5.5	2.41	2.36	1.83	1.23	3.72	122.64	441.64	86.43	48.87	178.77	92.7	121.79	76.71	28.65	14.35	42.41	0.74	39.5	0.0	45.21	40.07	14.14	64.34	9.27	74.06
TMPPE	24.99	32.36	8.85	36.27	17.64	14.67	7.4	14.14	109.66	33.54	8.19	24.99	4.1	19.97	16.15	31.0	24.99	17.13	12.18	17.13	18.43	11.73	21.16	15.68	19.39	38.95	6.11	76.71	165.57	214.27	87.65	224.97	88.26	136.19	163.28	68.07	115.97	111.21	3.56	50.63	0.0	99.43	98.04	82.29	55.1	54.72	141.02
TNRC6B	87.03	73.03	62.12	75.11	55.49	59.13	45.21	67.12	551.56	70.51	60.39	127.0	59.13	54.33	80.01	74.06	146.03	52.82	110.43	84.04	74.06	40.07	58.71	52.82	50.27	50.27	71.5	429.54	612.11	409.15	341.51	860.08	325.29	819.3	363.56	314.17	457.25	395.18	50.98	567.1	64.8	688.78	808.0	187.71	281.09	139.07	540.19
UBN2	48.87	127.0	33.78	153.34	70.01	72.01	68.55	77.79	277.2	55.1	62.56	43.63	117.6	76.17	111.99	92.7	98.04	85.82	108.9	68.07	84.04	69.52	46.84	66.18	80.57	131.51	81.71	255.0	339.14	348.71	231.32	708.18	291.04	1023.0	346.29	143.01	387.02	224.97	9.78	123.5	39.22	237.86	195.72	133.36	215.77	136.19	241.19
UPK2	51775.15	88291.3	36106.23	120609.84	93974.69	124863.17	42346.82	61146.25	5831.91	47974.16	66449.85	61999.83	78476.96	110983.6	52497.92	53973.86	52135.28	69271.73	85283.74	64186.29	64186.29	195931.88	78476.96	61146.25	149521.18	67846.12	68318.04	2.14	5.77	2.07	7.94	0.0	0.57	6.31	0.0	0.0	3.0	17.77	0.88	2.76	0.0	0.0	2.51	6.06	65.26	3.66	0.0
ZBED6	53.19	46.18	2.92	68.07	51.35	8.92	4.7	36.79	866.07	62.56	1.71	76.71	22.1	17.51	145.02	25.72	84.04	21.63	28.86	6.84	133.36	11.13	11.47	22.59	5.15	68.07	20.71	769.69	848.22	2209.26	1073.91	2004.85	551.56	753.83	915.51	220.32	376.41	703.28	6.67	361.04	0.0	514.56	470.14	128.79	303.44	351.14	638.15
ZBTB20	16.39	2.73	9.85	10.39	13.83	23.25	4.62	36.01	339.14	1.53	7.88	18.56	11.55	18.97	9.85	3.99	19.25	2.78	9.93	18.97	11.82	3.56	13.32	9.06	43.02	52.08	7.11	733.19	587.13	536.45	316.37	1167.14	314.17	1135.2	748.61	466.88	409.15	287.01	8.13	497.0	0.0	738.29	825.0	53.57	97.36	63.89	185.11
ZBTB37	16.88	36.01	19.82	55.89	24.11	10.71	17.64	12.09	202.66	14.56	14.56	22.75	30.34	70.51	36.27	40.07	31.9	52.08	141.02	36.01	44.57	18.56	13.12	22.92	10.55	33.06	21.32	255.0	267.73	738.29	133.36	1119.56	336.79	392.44	348.71	82.29	153.34	156.59	13.72	131.51	18.56	341.51	283.05	40.36	39.79	40.36	269.6
ZNF124	41.81	131.51	33.78	239.52	327.56	54.72	85.22	75.64	1963.57	48.87	84.63	112.77	161.02	57.49	147.06	127.89	236.21	212.78	133.36	47.17	127.89	156.59	106.63	253.23	94.01	46.84	122.64	2061.24	1208.34	1008.9	2090.03	825.0	1277.29	651.58	1151.06	2367.9	599.49	759.08	8.71	551.56	0.0	1594.73	1286.18	167.9	255.0	165.57	928.3
ZNF221	15.56	12.64	15.22	28.24	19.68	13.93	16.27	13.12	75.64	11.55	11.47	23.08	23.76	7.51	17.9	12.0	7.11	46.5	42.71	51.35	33.78	13.72	26.86	18.43	5.11	53.57	29.27	177.53	94.01	159.9	72.01	101.54	206.94	241.19	137.14	40.36	46.5	65.26	1.36	51.35	0.0	101.54	73.54	41.52	75.64	32.82	88.26
ZNF236	47.84	81.14	24.11	71.0	76.71	32.82	37.85	53.57	332.14	40.07	18.56	33.3	60.39	45.21	63.0	37.32	67.12	41.81	46.18	43.63	60.82	46.18	45.21	32.59	16.39	91.41	44.25	140.04	299.25	323.03	111.99	555.41	144.01	346.29	229.72	125.24	155.5	186.4	16.15	164.42	0.0	180.02	202.66	85.22	116.78	96.68	123.5
ZNF264	94.67	318.57	142.01	74.06	49.91	166.73	42.41	186.4	420.68	54.72	79.45	147.06	89.51	70.51	101.54	79.45	134.3	50.63	59.97	53.19	71.0	72.01	45.21	59.13	61.25	90.77	159.9	1199.98	473.41	872.1	713.11	435.55	1096.5	629.35	1135.2	248.0	258.57	161.02	85.22	269.6	0.0	743.43	591.22	265.87	226.54	143.01	529.06
ZNF283	48.52	31.45	48.87	91.41	56.28	51.71	41.81	85.82	197.09	32.13	31.0	70.51	121.79	36.27	75.11	71.0	48.18	101.54	103.69	50.98	66.65	27.64	73.03	59.55	51.71	86.43	60.82	285.03	140.04	312.0	260.38	559.28	318.57	450.94	435.55	199.85	414.87	223.41	4.94	301.33	0.0	220.32	191.67	111.21	163.28	75.64	214.27
ZNF724P	3.86	7.88	4.62	69.03	10.88	14.35	4.66	8.78	253.23	15.68	6.94	74.06	11.04	12.93	34.26	74.06	38.4	27.05	8.85	10.79	14.89	5.92	6.89	8.38	4.35	39.79	4.78	127.89	373.81	208.38	223.41	123.5	256.78	178.77	165.57	133.36	74.58	89.51	0.59	98.73	0.0	92.05	45.21	105.15	78.89	65.26	264.03
ZNF782	17.51	19.68	23.93	27.25	24.46	18.43	13.83	30.78	89.51	7.94	25.91	29.06	30.78	37.59	37.59	32.59	28.86	27.64	35.0	23.59	30.34	36.27	29.7	15.8	15.56	47.17	28.65	58.71	101.54	145.02	78.34	262.2	150.17	366.09	137.14	76.71	148.09	99.43	10.55	92.7	0.0	102.97	131.51	48.87	55.49	38.95	125.24
ZNF8	32.13	25.91	29.7	59.13	41.81	52.08	19.25	52.82	120.94	27.25	32.59	49.91	61.25	56.28	24.11	43.63	107.38	37.05	88.88	40.93	58.71	15.45	23.08	20.26	12.36	68.07	46.18	291.04	220.32	277.2	209.84	389.72	414.87	551.56	277.2	151.22	145.02	231.32	7.51	195.72	0.0	226.54	120.1	72.01	97.36	109.66	114.36
ZNF805	18.84	48.52	21.16	43.32	36.53	9.63	16.63	24.99	329.84	20.26	12.83	30.34	32.59	28.65	45.85	29.27	56.28	10.55	42.11	12.18	39.5	16.88	27.64	19.39	13.72	34.75	23.93	607.87	277.2	483.38	460.44	287.01	256.78	159.9	660.68	171.45	258.57	256.78	8.99	232.94	0.0	343.89	271.48	128.79	63.0	82.29	275.28
ZNF808	71.0	68.55	47.17	147.06	71.0	40.93	57.08	76.71	503.95	40.07	68.55	40.93	50.98	77.25	101.54	69.52	76.17	91.41	110.43	72.01	128.79	70.01	82.29	74.58	39.5	120.94	45.53	480.04	198.47	587.13	341.51	688.78	444.72	665.29	460.44	241.19	429.54	234.57	8.13	273.37	0.0	387.02	323.03	237.86	115.16	183.82	435.55
