	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.XP.A8T6.01A.11R.A36D.31	TCGA.IG.A3Y9.01A.12R.A24K.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13OVL.2726.SM.5J2MP	GTEX.S341.0426.SM.4AD5L	TCGA.CV.5442.01A.01R.1514.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
MAP1A	4.82	35.0	289.02	13.52	476.71	82.87	7.06	90.14	7.51	28.24	96.01	95.34	14.24	18.43	902.89	2148.82	48.87	283.05	297.17	1.69	3.35	0.0	0.24	49.21	30.56	23.25	20.86
MAP6	0.0	18.03	255.0	22.92	575.03	81.14	5.82	110.43	7.57	47.17	133.36	109.66	25.54	21.94	1066.48	1896.65	45.85	836.53	620.67	0.62	1.25	0.0	0.21	5.23	7.94	9.56	5.32
MRGPRF	53.57	624.99	2468.49	142.01	5403.7	669.92	88.26	995.0	96.01	403.5	1806.78	1529.73	242.88	54.33	5954.47	21768.19	656.11	3716.2	2777.33	6.06	29.27	0.0	0.6	112.77	112.77	59.13	49.21
MRVI1	9.13	76.71	1745.2	177.53	4066.71	769.69	63.45	1096.5	40.64	395.18	1304.15	624.99	231.32	149.12	7130.55	9409.14	493.56	2178.83	3515.68	10.88	31.9	0.0	0.59	101.54	85.82	39.5	18.97
MYL9	466.88	2895.31	146444.06	10154.69	636586.81	62865.33	2335.28	126606.21	825.0	19348.38	120609.84	43537.38	17317.18	2520.38	1070607.81	1916442.45	46986.85	225066.78	191899.64	202.66	348.71	0.0	0.89	764.36	4543.8	1427.22	363.56
MYOC	1.28	0.0	84.04	9.06	995.0	775.05	1.0	26.28	2.73	6.94	158.79	279.14	4.78	1.6	2104.58	7857.29	10.88	1757.34	3235.01	0.39	8.51	0.0	0.0	55.49	67.59	9.56	13.72
MYOCD	0.49	3.41	275.28	22.43	336.79	78.34	2.86	104.42	1.55	35.76	111.99	37.85	21.01	3.66	753.83	1923.14	57.49	447.82	669.92	0.0	0.51	0.0	0.24	10.31	11.64	4.54	2.01
NRXN3	0.33	8.85	988.12	28.24	703.28	209.84	11.91	148.09	4.31	94.01	748.61	182.55	59.13	7.57	2875.3	5954.47	57.08	571.05	785.88	0.0	3.89	0.0	0.21	11.55	0.0	2.89	1.39
NXPH3	7.63	21.63	343.89	17.9	152.28	70.01	15.34	74.58	10.08	46.5	83.45	169.07	24.81	7.46	281.09	713.11	44.57	226.54	171.45	0.0	7.51	0.0	0.03	21.32	40.64	7.94	1.79
PDE1B	2.34	7.57	75.11	27.64	124.37	68.55	15.8	144.01	17.51	43.32	191.67	167.9	42.41	35.25	186.4	327.56	72.52	205.5	260.38	3.11	4.62	0.0	0.38	17.13	18.56	6.73	9.63
PDLIM3	8.25	30.56	8840.04	493.56	20881.4	3540.14	273.37	3146.52	339.14	1023.0	3982.99	3443.31	559.28	166.73	34396.12	70727.3	1487.87	12853.63	10659.59	5.77	134.3	0.0	0.46	384.34	180.02	197.09	110.43
PLA2G5	0.89	1.3	432.53	90.14	1685.71	273.37	122.64	620.67	35.5	153.34	244.57	341.51	171.45	14.14	718.08	3018.3	139.07	802.41	327.56	1.08	5.15	0.0	0.28	1.48	2.89	8.58	0.84
PLN	0.83	7.75	1721.16	98.04	2739.08	493.56	22.59	387.02	20.41	381.68	866.07	529.06	88.26	7.11	7180.15	15499.21	195.72	1685.71	4268.94	0.0	5.77	0.0	0.39	69.52	283.05	77.79	49.21
PPAPDC3	0.0	7.94	107.38	17.64	253.23	68.55	18.29	92.7	13.52	23.76	50.27	126.12	23.25	10.08	214.27	607.87	21.63	269.6	123.5	0.78	6.84	0.0	0.34	25.54	31.9	35.5	20.41
