	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.E2.A1L7.01A.11R.A144.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.GM.A2DH.01A.11R.A180.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.VS.A9UL.01A.11R.A42T.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BR.A4CR.01A.11R.A24K.31
REV3L	162.14	153.34	81.14	206.94	255.0	107.38	206.94	175.07	123.5	156.59	204.07	226.54	400.71	143.01	147.06	84.04	97.36	191.67	52.45	95.34	201.25	97.36	83.45	285.03	237.86	94.67	124.37	157.68	187.71	521.76	246.28	127.0	76.71	211.31	111.21	130.6	58.3	60.39	82.29	119.26	163.28	94.67	563.18	17.64	102.97	81.14	55.49	84.04	65.26	105.89	63.89	53.19	67.59	78.89	41.52	82.87	33.06	543.96
RNF168	120.94	305.55	193.01	199.85	264.03	136.19	138.1	221.86	127.89	142.01	212.78	132.44	384.34	199.85	139.07	197.09	92.7	155.5	139.07	130.6	198.47	176.29	153.34	647.07	244.57	161.02	189.02	212.78	186.4	860.08	176.29	82.29	189.02	181.28	194.36	237.86	98.04	148.09	128.79	191.67	165.57	98.73	620.67	15.11	77.25	52.45	69.52	68.55	53.19	60.39	46.84	43.32	75.64	80.57	71.0	176.29	55.49	262.2
SASS6	43.63	110.43	67.59	96.01	194.36	71.0	44.89	115.97	64.8	70.01	87.65	80.01	159.9	57.49	42.71	89.51	40.64	98.04	102.97	18.43	114.36	70.01	78.34	123.5	97.36	90.77	40.36	87.65	295.11	150.17	119.26	34.51	107.38	58.3	50.98	101.54	72.01	80.01	93.35	194.36	50.63	25.17	256.78	4.62	21.47	22.1	10.31	21.78	11.38	11.91	11.13	14.78	27.25	24.63	8.71	7.4	4.98	289.02
SETD5	1268.46	1001.93	785.88	1417.35	1540.37	397.93	633.73	1208.34	928.3	624.99	1073.91	612.11	1369.04	954.43	536.45	486.75	417.77	1104.13	780.44	915.51	967.76	713.11	753.83	1015.93	1037.29	934.76	723.08	775.05	1268.46	1572.76	819.3	336.79	447.82	2468.49	381.68	842.36	575.03	1340.84	688.78	1745.2	521.76	555.41	1721.16	55.49	417.77	217.27	140.04	273.37	211.31	312.0	185.11	206.94	273.37	211.31	343.89	246.28	135.24	1896.65
SGOL1	87.03	205.5	167.9	106.63	438.59	32.36	36.01	115.16	78.89	29.7	152.28	61.68	251.48	98.73	23.93	71.5	18.43	111.99	182.55	39.5	86.43	20.86	97.36	285.03	134.3	81.71	57.89	83.45	260.38	279.14	78.89	16.03	54.72	236.21	45.21	71.5	66.18	137.14	94.67	130.6	76.71	12.09	316.37	1.91	22.59	31.9	10.47	21.78	6.89	9.13	14.24	21.16	33.06	16.27	8.71	5.32	2.71	312.0
SGOL2	90.77	163.28	132.44	125.24	242.88	80.01	59.13	163.28	60.82	49.91	120.1	78.34	237.86	113.56	49.21	74.06	40.07	183.82	122.64	33.54	122.64	26.86	102.97	215.77	110.43	95.34	51.35	122.64	253.23	334.46	91.41	22.1	71.5	133.36	132.44	57.89	106.63	209.84	81.14	183.82	111.21	16.75	265.87	1.51	17.38	24.46	5.87	26.1	11.55	6.16	8.06	14.89	17.51	10.79	6.73	3.11	0.58	246.28
SKA1	77.25	237.86	197.09	144.01	466.88	45.53	47.84	152.28	84.04	41.81	151.22	85.22	389.72	95.34	20.86	87.65	44.57	201.25	169.07	35.0	122.64	11.47	94.01	325.29	116.78	122.64	48.18	128.79	120.1	194.36	88.26	30.12	81.14	253.23	58.3	94.67	51.35	187.71	87.03	267.73	121.79	12.74	441.64	1.93	15.91	48.87	10.31	16.27	8.58	6.01	18.7	28.86	42.71	12.64	8.38	0.0	1.93	295.11
SMC4	825.0	1304.15	1088.92	842.36	2335.28	476.71	575.03	713.11	629.35	587.13	988.12	947.83	2701.35	693.58	813.63	791.35	181.28	1008.9	1467.37	684.02	624.99	540.19	651.58	2609.3	1199.98	830.75	575.03	1051.79	1250.98	2664.15	796.86	351.14	698.41	1407.55	967.76	878.17	447.82	1250.98	1175.27	808.0	909.17	361.04	6164.49	38.12	236.21	177.53	69.03	164.42	183.82	129.69	175.07	154.42	208.38	206.94	186.4	94.67	32.36	1175.27
SPATS2	426.57	423.61	438.59	463.65	532.74	217.27	529.06	579.04	490.14	476.71	559.28	358.54	551.56	819.3	307.69	351.14	395.18	381.68	476.71	466.88	483.38	417.77	620.67	1051.79	389.72	470.14	447.82	406.31	854.13	1044.52	536.45	543.96	473.41	1015.93	409.15	500.46	603.67	395.18	426.57	518.15	376.41	111.21	1015.93	133.36	74.06	175.07	88.88	124.37	191.67	144.01	115.97	172.65	77.25	100.83	264.03	34.26	71.0	607.87
SPDL1	175.07	241.19	297.17	253.23	392.44	129.69	105.15	231.32	185.11	106.63	253.23	334.46	395.18	215.77	103.69	185.11	121.79	255.0	285.03	118.43	366.09	102.97	187.71	387.02	279.14	170.25	131.51	186.4	341.51	303.44	199.85	69.03	214.27	503.95	149.12	251.48	119.26	236.21	142.01	249.73	176.29	101.54	470.14	7.34	48.18	76.17	37.32	56.68	37.32	32.59	31.0	72.52	89.51	33.78	68.07	17.38	13.62	373.81
STIL	80.01	151.22	101.54	106.63	145.02	66.18	49.91	132.44	48.18	68.55	166.73	90.77	339.14	75.11	53.95	80.57	32.59	258.57	182.55	28.24	117.6	43.32	111.99	312.0	129.69	78.34	59.13	136.19	119.26	376.41	71.5	34.26	131.51	197.09	69.52	86.43	54.72	102.97	88.26	68.07	86.43	15.68	389.72	1.55	14.03	19.68	11.82	12.74	11.13	12.09	12.64	17.25	12.93	11.13	8.85	3.79	2.58	371.22
TCF19	229.72	629.35	463.65	285.03	669.92	121.79	156.59	239.52	285.03	191.67	483.38	255.0	612.11	406.31	91.41	236.21	283.05	406.31	493.56	137.14	307.69	100.83	148.09	1277.29	417.77	323.03	209.84	336.79	642.59	3742.05	214.27	96.68	212.78	629.35	299.25	277.2	180.02	343.89	258.57	432.53	368.65	64.34	1417.35	15.91	120.1	153.34	64.34	49.91	14.78	41.52	70.01	84.63	228.13	78.34	31.22	10.71	36.27	890.44
TET3	153.34	262.2	56.68	112.77	237.86	50.63	71.5	142.01	146.03	67.12	130.6	47.84	181.28	123.5	53.57	110.43	30.34	197.09	45.53	73.03	148.09	53.57	103.69	379.04	95.34	85.22	94.01	81.14	147.06	348.71	128.79	31.0	62.56	99.43	131.51	85.82	77.79	100.83	79.45	146.03	69.03	66.18	289.02	1.2	40.93	27.84	27.44	28.04	21.16	33.54	17.9	31.22	20.56	17.38	31.45	23.42	10.88	368.65
TMEM44	197.09	303.44	226.54	285.03	387.02	111.99	130.6	112.77	220.32	327.56	297.17	54.33	265.87	110.43	136.19	237.86	90.14	361.04	253.23	295.11	483.38	95.34	122.64	255.0	145.02	92.7	185.11	122.64	170.25	866.07	307.69	48.52	185.11	346.29	107.38	106.63	140.04	120.94	283.05	98.73	67.12	95.34	1331.57	32.13	62.56	75.64	53.95	62.56	66.65	88.88	55.1	122.64	29.48	80.57	54.72	39.79	64.8	305.55
TOPBP1	420.68	967.76	503.95	656.11	1059.11	307.69	307.69	579.04	518.15	283.05	525.39	444.72	1286.18	460.44	209.84	470.14	217.27	703.28	624.99	334.46	435.55	239.52	441.64	1359.57	583.07	497.0	323.03	454.09	954.43	1008.9	373.81	187.71	460.44	669.92	341.51	470.14	381.68	775.05	497.0	961.07	460.44	358.54	1313.23	53.19	149.12	127.89	115.16	109.66	100.13	114.36	92.05	126.12	121.79	100.13	94.01	66.18	41.22	915.51
TPX2	473.41	1407.55	1199.98	476.71	1909.85	223.41	271.48	571.05	629.35	264.03	1175.27	547.75	1819.35	718.08	157.68	511.0	323.03	974.5	830.75	145.02	525.39	185.11	1175.27	1923.14	759.08	483.38	457.25	563.18	866.07	2384.37	579.04	125.24	409.15	1015.93	567.1	267.73	460.44	902.89	291.04	802.41	733.19	121.79	1794.29	5.77	88.88	181.28	35.25	103.69	50.63	55.1	130.6	101.54	176.29	72.52	107.38	61.25	14.56	1832.01
TTK	66.18	165.57	181.28	141.02	529.06	64.34	71.5	85.82	71.5	59.55	185.11	120.1	595.34	176.29	48.87	75.11	39.79	262.2	151.22	40.07	165.57	14.14	101.54	836.53	161.02	68.55	62.12	197.09	297.17	802.41	164.42	51.71	96.01	312.0	161.02	46.84	115.97	107.38	50.27	101.54	100.83	26.28	860.08	6.89	14.35	35.0	5.5	27.64	4.35	8.58	11.04	26.28	23.76	7.11	8.19	1.6	1.55	547.75
UPF2	323.03	525.39	229.72	329.84	536.45	237.86	255.0	567.1	279.14	253.23	341.51	281.09	507.46	379.04	351.14	297.17	158.79	406.31	289.02	309.83	220.32	218.79	325.29	447.82	423.61	264.03	318.57	267.73	389.72	595.34	253.23	159.9	332.14	343.89	285.03	414.87	221.86	312.0	269.6	204.07	186.4	271.48	384.34	15.91	244.57	156.59	88.88	99.43	127.0	154.42	158.79	126.12	132.44	133.36	190.34	102.25	38.12	441.64
USP1	540.19	713.11	412.0	607.87	728.11	591.22	503.95	796.86	444.72	460.44	490.14	651.58	2520.38	379.04	381.68	417.77	325.29	1135.2	684.02	217.27	633.73	575.03	473.41	2645.74	674.59	412.0	713.11	780.44	665.29	1340.84	490.14	376.41	775.05	738.29	384.34	679.29	412.0	389.72	441.64	1208.34	476.71	178.77	1350.18	185.11	187.71	136.19	99.43	151.22	89.51	136.19	113.56	115.97	103.69	144.01	154.42	117.6	48.52	1369.04
VHL	587.13	764.36	529.06	713.11	1066.48	579.04	397.93	743.43	656.11	738.29	511.0	525.39	825.0	603.67	400.71	325.29	269.6	669.92	536.45	348.71	915.51	490.14	381.68	647.07	1037.29	400.71	339.14	470.14	684.02	954.43	500.46	212.78	309.83	1066.48	239.52	1081.39	444.72	738.29	583.07	660.68	332.14	457.25	921.88	16.75	163.28	104.42	68.07	172.65	140.04	161.02	139.07	134.3	115.97	111.99	182.55	166.73	115.97	981.29
WDHD1	122.64	223.41	208.38	231.32	423.61	59.13	49.21	212.78	181.28	68.07	182.55	115.97	287.01	253.23	48.18	123.5	59.55	334.46	190.34	77.79	169.07	61.68	291.04	389.72	212.78	107.38	151.22	199.85	336.79	307.69	125.24	40.93	96.01	214.27	151.22	90.14	104.42	182.55	195.72	228.13	158.79	33.54	674.59	9.13	14.14	34.26	20.86	10.79	10.16	16.63	12.0	17.9	19.11	13.62	10.0	3.92	3.79	387.02
WHSC1	633.73	928.3	728.11	928.3	1447.15	244.57	555.41	567.1	780.44	444.72	791.35	563.18	1167.14	819.3	229.72	941.27	239.52	785.88	511.0	341.51	571.05	397.93	785.88	1685.71	1350.18	476.71	293.07	1015.93	1322.37	1437.15	571.05	381.68	454.09	967.76	476.71	543.96	507.46	854.13	521.76	1015.93	450.94	346.29	1304.15	58.3	111.21	120.94	58.3	118.43	79.45	96.01	116.78	115.97	90.14	89.51	63.45	60.82	50.98	1359.57
XXYLT1	217.27	198.47	221.86	234.57	271.48	145.02	256.78	202.66	493.56	218.79	152.28	164.42	381.68	172.65	173.85	182.55	208.38	358.54	301.33	167.9	521.76	253.23	181.28	447.82	242.88	289.02	262.2	151.22	323.03	836.53	307.69	177.53	118.43	180.02	414.87	283.05	198.47	426.57	177.53	325.29	299.25	165.57	848.22	47.84	43.94	41.52	24.81	42.11	42.71	42.41	39.79	55.1	44.25	48.52	27.64	15.68	37.32	154.42
YEATS2	251.48	305.55	124.37	231.32	441.64	94.01	193.01	301.33	152.28	122.64	256.78	153.34	414.87	236.21	127.89	187.71	122.64	334.46	155.5	130.6	271.48	167.9	218.79	713.11	215.77	258.57	218.79	156.59	171.45	703.28	166.73	88.26	178.77	307.69	178.77	182.55	117.6	182.55	136.19	193.01	149.12	116.78	1081.39	11.04	62.12	102.25	49.91	94.01	108.14	78.89	65.26	98.73	54.72	42.11	84.04	19.97	29.48	457.25
ZNF184	111.21	129.69	120.1	129.69	166.73	102.25	105.15	177.53	102.97	120.1	121.79	154.42	305.55	121.79	110.43	154.42	175.07	175.07	129.69	114.36	171.45	71.5	72.52	295.11	104.42	96.01	205.5	161.02	92.7	226.54	126.12	108.14	89.51	260.38	152.28	195.72	77.25	190.34	154.42	80.57	248.0	63.0	426.57	14.24	93.35	25.17	33.06	28.86	16.27	24.63	15.34	44.57	57.89	27.84	26.1	23.08	9.27	161.02
ZNF326	248.0	432.53	248.0	384.34	825.0	251.48	267.73	713.11	412.0	599.49	389.72	358.54	693.58	476.71	271.48	371.22	283.05	441.64	231.32	214.27	543.96	348.71	373.81	665.29	397.93	426.57	351.14	320.8	607.87	493.56	470.14	211.31	316.37	389.72	241.19	361.04	351.14	283.05	309.83	1015.93	620.67	242.88	579.04	23.25	165.57	224.97	154.42	119.26	163.28	195.72	103.69	100.83	117.6	145.02	220.32	190.34	93.35	1066.48
ZNF519	81.71	107.38	92.7	145.02	158.79	45.53	40.36	76.71	43.32	43.32	60.82	52.08	130.6	40.36	31.9	81.14	25.17	113.56	47.5	26.1	73.03	10.63	33.06	316.37	96.68	71.5	38.12	67.59	90.14	165.57	74.58	19.25	44.57	87.65	31.0	58.71	82.87	87.65	57.08	78.89	69.03	22.26	323.03	0.79	6.62	10.39	7.82	8.92	10.39	0.0	7.57	12.0	6.36	5.73	4.5	5.96	2.84	162.14
ZNF530	50.98	62.12	76.71	48.52	50.27	34.75	67.59	49.56	47.84	60.82	35.5	17.13	187.71	36.53	32.59	66.18	73.54	126.12	95.34	75.11	87.03	27.25	70.01	325.29	70.51	54.33	19.39	63.0	27.25	94.67	79.45	36.53	53.19	109.66	62.12	48.87	11.55	99.43	75.11	108.9	54.33	22.26	147.06	68.07	29.06	47.17	0.8	6.21	5.23	5.92	13.22	14.89	19.97	14.03	3.44	8.71	10.31	84.63
