	TCGA.5N.A9KI.01A.31R.A42T.07	TCGA.UY.A8OD.01A.11R.A36F.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A8.A09I.01A.22R.A034.07	TCGA.A8.A08X.01A.21R.A00Z.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.BH.A0DG.01A.21R.A12P.07	TCGA.BH.A1EO.01A.11R.A137.07	TCGA.JL.A3YW.01A.12R.A239.07	TCGA.BH.A1EN.01A.11R.A13Q.07	TCGA.EW.A1OZ.01A.11R.A144.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.A2.A0YG.01A.21R.A109.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.VS.A9UO.01A.11R.A42T.07	TCGA.EX.A69M.01A.11R.A32P.07	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.CM.6162.01A.11R.1653.07	TCGA.DM.A28K.01A.21R.A32Y.07	TCGA.D5.6536.01A.11R.1723.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.AA.A02Y.01A.43R.A32Y.07	TCGA.JY.A6FH.01A.11R.A336.31	TCGA.VR.AA4D.01A.11R.A37I.31	TCGA.V5.A7RB.01A.11R.A354.31	TCGA.V5.AASW.01A.11R.A406.31	TCGA.JY.A93C.01A.11R.A38D.31	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A4OW.01A.11R.A28J.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	TCGA.AG.3725.01A.11R.1736.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.F1.A72C.01A.21R.A33Y.31	TCGA.CG.5732.01A.11R.1602.13	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	TCGA.VQ.A91X.01A.12R.A414.31	TCGA.D7.A4YT.01A.11R.A251.31	TCGA.IN.A6RS.01A.12R.A354.31	TCGA.VQ.AA6J.01A.11R.A414.31	TCGA.VQ.A91W.01A.11R.A414.31	TCGA.VQ.A8PU.01A.12R.A414.31	TCGA.CD.5804.01A.12R.2055.13	TCGA.CD.A486.01A.11R.A24K.31	TCGA.HU.A4GU.01A.11R.A251.31	TCGA.D7.6820.01A.11R.1884.13	GTEX.XV7Q.1326.SM.4BRWM	GTEX.12BJ1.1726.SM.5HL9B	GTEX.POMQ.0826.SM.3P61H	GTEX.QDVN.1226.SM.48TZ5	GTEX.12WSB.0726.SM.5N9GD
PLXNC1	78.34	94.01	12.45	154.42	656.11	332.14	684.02	332.14	186.4	454.09	363.56	336.79	842.36	228.13	172.65	134.3	417.77	158.79	414.87	693.58	59.13	69.03	320.8	241.19	18.56	76.17	6.73	183.82	12.0	40.36	85.22	8.19	20.11	25.17	73.54	40.36	110.43	58.71	92.7	24.99	48.18	70.01	153.34	14.03	29.91	78.89	37.59	113.56	87.65	353.59	30.78	14.89	49.91	39.5	186.4	140.04	51.71	69.52	116.78	37.59	28.86	137.14	105.89	145.02	131.51	490.14
PRICKLE1	36.53	71.5	48.18	173.85	688.78	460.44	1167.14	460.44	125.24	583.07	723.08	368.65	629.35	299.25	110.43	127.0	532.74	152.28	748.61	791.35	35.76	154.42	287.01	616.37	1.64	6.62	5.73	65.26	10.79	14.67	49.56	2.66	77.25	29.48	25.54	13.32	49.91	23.25	33.54	14.78	27.84	46.5	91.41	10.96	92.05	18.43	19.25	47.17	27.25	460.44	22.92	7.34	30.56	12.0	23.93	23.25	19.68	78.34	65.72	5.28	19.53	87.65	31.0	109.66	40.07	444.72
PRRX1	229.72	397.93	86.43	656.11	4298.64	1540.37	3982.99	1540.37	1059.11	1639.59	2224.63	2018.8	4239.45	2004.85	866.07	808.0	3874.05	575.03	2627.46	4671.57	183.82	1529.73	1781.89	4095.0	8.99	87.03	26.28	915.51	42.11	400.71	412.0	2.1	92.7	135.24	197.09	131.51	366.09	127.89	293.07	217.27	141.02	371.22	255.0	26.86	115.97	57.08	21.32	532.74	37.85	941.27	78.89	8.06	122.64	104.42	277.2	24.11	6.01	137.14	309.83	253.23	47.84	77.79	38.12	111.21	48.52	2645.74
RP11-383H13.1	38.95	135.24	6.62	172.65	201.25	117.6	351.14	117.6	67.59	93.35	236.21	132.44	175.07	128.79	59.13	58.71	232.94	47.5	190.34	242.88	7.63	29.91	118.43	163.28	2.48	26.1	5.54	82.87	8.58	51.71	35.76	2.41	14.14	10.79	19.39	12.0	42.41	18.16	35.5	24.81	16.51	24.28	35.0	14.56	50.63	26.67	20.86	55.89	33.3	267.73	9.7	8.99	37.32	30.78	75.11	32.82	10.0	52.82	35.5	33.06	14.24	154.42	23.59	55.49	24.11	260.38
RUNX2	363.56	105.15	34.51	358.54	1001.93	353.59	848.22	353.59	173.85	366.09	656.11	376.41	567.1	454.09	105.89	183.82	1104.13	71.0	444.72	878.17	120.1	255.0	1277.29	1447.15	6.67	234.57	36.53	139.07	67.59	108.9	89.51	13.52	46.5	16.27	29.48	9.48	36.01	70.01	70.51	88.26	40.93	62.56	58.3	21.63	209.84	42.41	27.25	138.1	72.52	599.49	117.6	9.7	85.22	48.18	84.63	229.72	90.14	89.51	271.48	39.79	32.59	152.28	81.71	95.34	115.16	423.61
SLC1A3	825.0	64.8	206.94	60.39	229.72	264.03	255.0	264.03	96.01	748.61	208.38	167.9	353.59	332.14	140.04	122.64	316.37	92.7	218.79	248.0	555.41	579.04	291.04	435.55	30.12	242.88	6.52	197.09	21.01	64.8	91.41	9.78	18.84	13.12	116.78	15.45	92.7	95.34	94.67	63.45	27.84	289.02	244.57	20.11	209.84	61.68	8.78	48.52	74.06	403.5	43.63	6.06	41.81	73.54	195.72	98.04	18.84	74.06	187.71	85.82	58.3	82.87	165.57	90.77	73.54	142.01
SLITRK4	7.51	2.32	0.0	10.24	78.89	47.5	83.45	47.5	3.79	36.53	49.91	25.72	86.43	14.56	16.75	35.25	83.45	10.71	53.19	84.63	5.11	80.57	76.71	323.03	0.0	3.23	0.0	5.77	0.0	4.17	1.1	0.0	0.2	0.22	0.22	0.23	1.91	1.87	1.64	0.21	0.0	6.94	3.56	0.0	12.45	0.21	0.58	3.0	0.23	39.5	0.44	0.24	0.21	0.21	1.39	0.0	0.53	6.31	6.31	0.46	0.0	6.84	0.72	8.13	3.72	55.1
SSC5D	108.14	591.22	9.85	591.22	583.07	1008.9	884.29	1008.9	189.02	327.56	514.56	819.3	307.69	543.96	55.1	356.05	406.31	51.71	954.43	420.68	9.7	74.58	223.41	325.29	6.78	15.0	9.85	884.29	12.83	110.43	206.94	1.07	11.47	7.06	19.11	6.57	84.63	25.72	77.79	40.93	21.63	63.45	82.87	18.29	6.41	48.18	6.41	115.97	43.32	287.01	17.38	7.17	50.63	8.85	52.08	13.03	15.34	279.14	87.03	41.52	19.11	145.02	18.97	108.9	60.82	258.57
TGFB2	21.16	53.95	13.42	108.9	126.12	281.09	185.11	281.09	34.02	780.44	429.54	154.42	1295.13	341.51	46.5	44.89	178.77	30.78	764.36	743.43	13.83	102.25	785.88	483.38	3.82	15.22	20.71	194.36	32.13	82.29	27.25	7.0	9.78	35.76	44.57	17.9	40.07	48.87	59.97	95.34	57.08	74.58	98.73	35.76	183.82	35.5	45.53	57.08	28.24	108.9	13.12	9.34	128.79	66.18	50.27	108.9	53.57	78.34	80.57	31.0	40.93	47.84	19.68	38.12	46.18	110.43
TGFB3	208.38	679.29	93.35	1378.57	3515.68	2133.97	5995.9	2133.97	579.04	1135.2	1950.0	1674.06	2895.31	1331.57	1313.23	1467.37	1883.54	536.45	3690.52	3060.45	27.84	92.7	2047.0	1340.84	143.01	320.8	58.71	473.41	81.71	281.09	460.44	11.38	64.8	37.85	72.01	41.52	110.43	69.03	82.87	87.03	42.11	113.56	88.88	33.06	140.04	514.56	62.12	392.44	101.54	1745.2	339.14	36.01	463.65	57.89	466.88	400.71	83.45	559.28	518.15	65.72	157.68	107.38	154.42	40.07	169.07	2664.15
TMEM119	194.36	351.14	12.27	665.29	1487.87	2367.9	4937.99	2367.9	201.25	981.29	2271.4	884.29	1119.56	1794.29	450.94	323.03	2451.44	121.79	2163.77	2133.97	293.07	3395.89	4210.15	5112.16	4.17	19.97	4.03	543.96	56.28	85.82	242.88	14.67	55.1	17.51	63.45	31.9	148.09	66.18	149.12	49.91	56.68	102.97	131.51	57.49	13.03	151.22	36.01	271.48	236.21	1096.5	34.51	35.5	226.54	48.18	314.17	64.34	59.13	307.69	289.02	67.12	77.79	607.87	83.45	521.76	74.58	3235.01
TXNDC15	693.58	967.76	679.29	1397.83	2400.97	1697.45	1963.57	1697.45	1322.37	2271.4	1721.16	1037.29	1594.73	1397.83	1651.0	921.88	1991.0	954.43	1991.0	2335.28	563.18	860.08	1685.71	1572.76	1199.98	974.5	624.99	1167.14	293.07	1388.16	1023.0	423.61	291.04	269.6	587.13	309.83	872.1	454.09	511.0	409.15	559.28	460.44	392.44	420.68	669.92	612.11	591.22	866.07	1191.69	1583.71	460.44	397.93	500.46	708.18	629.35	947.83	514.56	780.44	743.43	967.76	470.14	854.13	1001.93	1225.22	896.64	2004.85
VCAN	587.13	1191.69	69.03	3589.58	13776.25	3168.41	21026.65	3168.41	1909.85	4972.34	6792.79	5831.91	6840.04	3742.05	1233.75	2047.0	9606.86	1806.78	8840.04	11504.21	126.12	195.72	2193.99	848.22	6.01	49.56	94.01	4268.94	197.09	775.05	967.76	34.26	99.43	212.78	111.99	94.01	514.56	175.07	429.54	226.54	127.0	1594.73	376.41	105.15	41.81	228.13	209.84	1350.18	205.5	4903.87	165.57	94.01	1757.34	255.0	854.13	275.28	299.25	638.15	1119.56	432.53	125.24	323.03	486.75	460.44	555.41	4268.94
VSTM4	38.95	87.65	9.56	119.26	395.18	158.79	423.61	158.79	44.89	128.79	215.77	180.02	244.57	148.09	55.49	67.59	182.55	38.12	269.6	293.07	6.11	32.82	796.86	878.17	3.06	3.96	6.73	148.09	10.47	43.32	63.0	3.76	19.82	14.35	29.7	20.71	88.88	19.11	56.68	27.64	22.43	43.32	81.71	17.51	10.0	19.39	6.41	48.18	22.75	112.77	12.93	3.79	40.07	20.86	61.68	19.68	13.83	52.45	47.17	27.64	16.39	115.16	24.99	72.52	42.11	204.07
ZNF521	35.25	113.56	3.63	165.57	559.28	255.0	638.15	255.0	72.52	244.57	334.46	281.09	463.65	169.07	78.89	93.35	271.48	70.01	551.56	486.75	0.84	71.0	170.25	85.82	5.11	9.78	7.57	157.68	15.8	50.27	72.01	11.04	27.44	29.91	64.8	25.35	94.67	53.57	71.5	35.25	40.07	50.98	108.9	24.28	23.76	34.51	18.43	78.34	64.8	297.17	10.0	5.32	31.0	57.08	117.6	28.45	20.86	54.72	57.08	23.76	35.76	102.25	25.54	93.35	54.33	246.28
