	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83V.01A.11R.A355.07	TCGA.BQ.7059.01A.11R.1965.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.DD.AACZ.01A.11R.A41C.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.AADC.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AAC8.01A.11R.A41C.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.BW.A5NP.01A.11R.A27V.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.EP.A2KC.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.Q734.0326.SM.48U15	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.139YR.0926.SM.5LZYB	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.WVJS.0826.SM.4MVNR	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	TCGA.77.8007.11A.01R.2187.07
CFLAR	1583.71	1519.15	1388.16	890.44	764.36	1208.34	1059.11	961.07	947.83	1030.12	825.0	693.58	802.41	890.44	518.15	1059.11	460.44	775.05	698.41	688.78	769.69	785.88	830.75	647.07	414.87	575.03	543.96	567.1	988.12	1051.79	334.46	934.76	2224.63	693.58	723.08	460.44	753.83	1044.52	713.11	473.41	642.59	575.03	743.43	1059.11	518.15	2163.77	2627.46	1844.76	2224.63	1498.22	1909.85	2004.85	2451.44	2224.63	6887.62	1781.89	2287.2	2255.7	3639.7	2271.4
CIITA	361.04	327.56	567.1	102.25	127.0	251.48	287.01	236.21	444.72	224.97	171.45	124.37	110.43	79.45	34.02	102.25	40.07	135.24	14.89	38.67	6.67	33.54	265.87	153.34	19.68	19.25	26.67	108.9	24.63	33.3	33.06	80.01	41.52	9.93	32.13	74.58	46.84	42.71	141.02	24.28	116.78	36.27	96.01	246.28	36.79	1096.5	45.21	426.57	376.41	1388.16	368.65	2701.35	954.43	1322.37	1883.54	2664.15	1745.2	624.99	633.73	728.11
CLEC7A	466.88	441.64	620.67	175.07	185.11	291.04	395.18	212.78	514.56	339.14	193.01	78.34	41.22	123.5	49.56	95.34	32.82	37.85	6.57	18.29	9.63	2.34	141.02	24.81	30.78	18.03	12.09	40.07	13.72	36.79	8.58	70.51	60.82	14.89	22.59	55.49	129.69	140.04	129.69	19.11	119.26	53.95	76.17	70.51	37.59	1096.5	53.95	1662.49	791.35	1008.9	438.59	2133.97	791.35	1183.45	2047.0	796.86	633.73	1304.15	1857.6	1457.23
CORO1A	2609.3	1457.23	3847.29	733.19	1081.39	1896.65	2451.44	1519.15	2178.83	2468.49	860.08	551.56	336.79	830.75	473.41	1991.0	368.65	656.11	56.68	173.85	65.72	81.14	1199.98	291.04	209.84	236.21	314.17	642.59	138.1	273.37	195.72	361.04	346.29	120.1	148.09	301.33	295.11	264.03	842.36	215.77	579.04	563.18	738.29	1127.35	400.71	1936.53	444.72	2555.58	1359.57	2104.58	1745.2	8247.98	3515.68	1950.0	2104.58	2855.44	1369.04	1674.06	1111.82	2816.11
CSF2RB	136.19	68.55	301.33	46.84	87.65	96.01	124.37	58.71	113.56	61.25	91.41	46.84	36.53	61.68	19.82	40.36	11.13	17.77	3.29	9.85	9.85	2.01	93.35	16.88	8.65	8.65	5.28	26.86	8.51	14.03	5.63	15.91	58.71	8.19	7.11	18.84	48.18	22.75	34.51	7.69	44.25	27.05	42.11	65.72	26.67	327.56	32.59	480.04	336.79	353.59	214.27	896.64	878.17	201.25	718.08	400.71	135.24	164.42	120.1	389.72
CSF3R	1167.14	842.36	934.76	346.29	358.54	575.03	884.29	511.0	1059.11	995.0	295.11	89.51	159.9	105.15	89.51	3168.41	42.11	62.12	11.3	41.22	33.54	40.93	1883.54	72.52	37.59	55.89	72.52	111.99	28.65	59.13	25.91	51.71	64.8	30.12	41.52	44.57	3280.18	441.64	96.68	41.52	444.72	223.41	120.94	137.14	52.82	4903.87	4038.61	2627.46	1487.87	947.83	412.0	4388.98	4328.55	521.76	2895.31	14663.09	1605.83	4038.61	2935.74	2935.74
CTLA4	18.16	23.42	43.63	3.14	6.84	15.91	11.91	13.32	11.91	0.69	27.05	18.84	14.56	23.25	6.89	52.45	9.93	13.32	0.0	1.62	0.53	0.43	77.25	9.7	10.39	3.44	28.86	9.34	5.28	19.53	8.65	5.41	9.06	3.26	11.64	10.31	4.94	10.55	9.13	39.79	39.22	0.75	3.96	4.9	0.0	89.51	5.36	55.49	140.04	30.12	143.01	17.77	31.67	177.53	86.43	110.43	38.4	57.49	395.18	78.34
CTSW	403.5	194.36	265.87	108.9	234.57	343.89	647.07	320.8	155.5	373.81	133.36	108.9	41.22	97.36	72.52	59.55	80.57	161.02	22.75	26.1	5.82	15.56	191.67	47.84	61.25	47.17	54.72	178.77	19.53	35.0	19.25	40.36	50.98	25.35	41.81	8.45	120.94	126.12	56.28	279.14	134.3	98.04	186.4	159.9	61.68	289.02	21.01	521.76	353.59	381.68	435.55	1119.56	341.51	583.07	2573.36	525.39	1896.65	1088.92	269.6	325.29
CXCR3	62.12	45.85	262.2	30.12	82.29	105.89	186.4	59.13	103.69	62.56	42.41	38.67	12.36	75.11	22.75	93.35	28.45	40.36	0.31	10.63	3.66	5.45	31.45	23.93	13.72	13.72	18.84	44.57	2.71	33.78	8.85	5.19	11.38	3.0	4.9	17.38	2.16	6.36	37.85	22.59	26.67	12.27	28.45	112.77	5.23	103.69	20.86	98.04	115.97	176.29	99.43	503.95	166.73	242.88	98.73	91.41	119.26	169.07	277.2	127.0
CXCR6	202.66	194.36	199.85	48.18	33.78	110.43	224.97	105.89	246.28	56.68	35.0	38.12	15.11	44.89	24.11	29.06	22.26	60.39	0.0	8.99	4.54	1.55	71.5	18.29	18.56	12.18	18.43	52.82	4.94	21.32	10.47	3.03	21.01	10.39	11.91	15.11	2.39	32.82	42.41	10.0	25.54	12.55	136.19	97.36	55.89	106.63	27.84	265.87	412.0	126.12	102.25	612.11	624.99	612.11	551.56	392.44	96.68	78.89	287.01	215.77
CXorf21	88.26	50.98	139.07	11.55	25.54	16.15	31.45	29.7	82.29	40.07	24.63	17.13	9.7	13.72	14.67	16.15	6.36	10.16	0.74	2.41	0.37	0.28	42.71	3.5	3.03	3.38	4.98	10.16	3.5	9.27	5.92	9.63	9.41	3.17	2.48	7.82	17.25	10.39	28.45	7.57	20.41	13.72	23.25	85.82	17.0	127.0	16.88	133.36	56.68	246.28	124.37	376.41	139.07	115.16	115.16	47.84	187.71	78.34	66.65	139.07
CYP1B1	470.14	376.41	346.29	1437.15	293.07	178.77	198.47	325.29	470.14	65.72	236.21	251.48	146.03	128.79	18.03	59.55	3.17	46.84	11.73	50.27	40.64	31.22	14.24	152.28	14.78	82.87	14.67	36.27	74.58	71.0	16.88	7.75	19.25	67.59	3.76	137.14	143.01	70.01	9.78	59.55	131.51	75.11	106.63	163.28	199.85	493.56	178.77	1617.0	1651.0	1662.49	599.49	1191.69	1551.09	1447.15	2119.22	1757.34	842.36	356.05	438.59	890.44
DAPP1	87.65	55.49	163.28	30.78	36.53	17.13	80.01	30.56	122.64	38.12	36.01	20.41	8.13	24.81	12.0	31.9	11.04	18.43	3.38	2.76	0.54	3.47	73.03	3.56	2.71	3.79	3.53	10.63	3.56	6.41	1.27	5.41	8.71	2.92	4.58	8.13	19.97	4.13	26.1	10.88	25.35	17.51	36.01	33.78	2.41	187.71	19.97	208.38	217.27	119.26	226.54	688.78	127.89	154.42	303.44	96.01	108.14	182.55	242.88	228.13
DOCK2	665.29	389.72	1051.79	231.32	293.07	521.76	679.29	289.02	567.1	518.15	156.59	92.7	51.71	130.6	88.88	142.01	44.25	73.54	20.86	28.45	6.89	9.41	318.57	31.9	29.48	32.13	18.7	85.82	30.56	31.22	19.68	63.0	55.49	17.9	44.89	37.85	120.1	90.14	72.52	76.17	129.69	63.45	155.5	215.77	61.68	688.78	49.91	638.15	713.11	1199.98	743.43	2148.82	1268.46	1088.92	1191.69	1037.29	1407.55	1159.07	1594.73	656.11
DOCK8	466.88	417.77	647.07	366.09	336.79	236.21	713.11	400.71	660.68	389.72	85.22	52.08	38.67	83.45	43.32	169.07	35.76	35.5	183.82	60.82	5.59	45.53	176.29	63.89	13.03	16.03	65.72	37.59	27.44	46.18	16.39	31.22	30.56	47.5	16.63	22.43	55.89	40.64	208.38	85.22	36.27	52.08	161.02	161.02	99.43	384.34	62.12	334.46	769.69	629.35	563.18	1427.22	909.17	1073.91	599.49	718.08	1051.79	1508.65	1781.89	426.57
DOK1	525.39	563.18	872.1	297.17	403.5	808.0	599.49	483.38	638.15	669.92	176.29	91.41	48.87	118.43	72.52	165.57	34.26	100.83	18.43	30.12	128.79	58.71	127.89	93.35	31.45	100.13	103.69	81.14	27.84	68.07	25.91	53.95	157.68	61.68	35.76	45.53	61.25	21.63	121.79	19.68	52.08	159.9	115.97	371.22	129.69	660.68	224.97	559.28	423.61	1340.84	769.69	1417.35	830.75	551.56	403.5	825.0	854.13	1242.34	358.54	529.06
DOK3	633.73	379.04	909.17	191.67	267.73	403.5	466.88	343.89	447.82	518.15	165.57	121.79	75.64	122.64	95.34	299.25	35.25	67.12	11.13	35.0	14.35	19.39	204.07	68.55	45.53	24.81	74.58	122.64	40.93	62.56	30.78	69.03	73.03	86.43	31.45	53.57	137.14	38.12	220.32	26.28	66.65	58.71	59.97	134.3	66.65	1096.5	92.05	563.18	387.02	780.44	595.34	1950.0	1183.45	414.87	693.58	1151.06	543.96	902.89	629.35	638.15
EOMES	48.52	26.28	69.52	13.12	26.67	13.62	127.0	18.56	36.01	25.54	7.69	9.56	9.41	9.41	7.28	14.45	5.23	6.78	3.17	0.93	1.04	1.22	32.36	2.18	6.62	2.48	4.1	9.13	5.23	7.51	1.06	3.0	4.03	3.08	4.24	4.5	12.0	27.44	8.78	13.83	20.56	10.16	33.3	23.25	6.78	28.86	8.38	45.85	36.79	47.17	24.63	42.41	37.85	54.33	120.1	3.08	113.56	52.45	39.22	17.0
EVI2A	616.37	429.54	591.22	127.89	110.43	75.64	60.39	260.38	397.93	215.77	201.25	74.58	62.12	90.77	73.03	102.97	36.01	64.8	9.06	20.86	14.45	4.06	253.23	39.79	21.47	32.82	18.16	75.11	11.55	50.98	18.84	48.52	45.85	24.63	31.9	33.06	65.72	25.17	42.71	31.22	115.16	45.53	120.1	229.72	27.44	547.75	59.55	1487.87	2520.38	1286.18	1037.29	1467.37	2075.59	1467.37	518.15	629.35	1819.35	1923.14	1073.91	934.76
EVI2B	988.12	669.92	1313.23	339.14	387.02	343.89	684.02	503.95	1044.52	718.08	287.01	114.36	94.67	186.4	94.67	153.34	54.72	78.34	14.14	21.01	10.55	5.73	400.71	49.21	30.12	36.79	28.65	96.68	31.0	51.71	22.43	73.03	88.88	37.32	43.02	53.95	204.07	111.21	178.77	61.68	356.05	70.01	224.97	371.22	75.64	819.3	85.22	1250.98	1757.34	1233.75	1143.1	2520.38	2682.69	1769.57	2682.69	808.0	2351.53	3901.01	1870.53	854.13
FAIM3	647.07	503.95	511.0	116.78	217.27	432.53	759.08	264.03	656.11	447.82	91.41	44.57	63.89	64.8	15.34	61.68	44.25	44.57	10.16	22.43	26.1	31.0	187.71	114.36	23.93	16.75	42.41	55.1	12.55	26.28	12.93	40.64	29.91	33.78	47.17	18.7	18.84	113.56	30.12	51.35	118.43	52.82	100.83	41.22	43.94	351.14	68.55	289.02	624.99	153.34	341.51	748.61	265.87	237.86	775.05	167.9	878.17	543.96	1242.34	231.32
FAM78A	258.57	144.01	432.53	80.57	128.79	178.77	218.79	152.28	291.04	201.25	85.22	40.64	21.94	53.95	31.67	106.63	38.12	38.67	14.67	21.01	6.57	35.0	69.03	27.05	14.35	15.91	14.14	49.21	16.39	26.47	25.17	30.78	18.29	13.32	24.11	28.04	22.92	13.32	46.84	11.82	29.91	23.59	67.59	90.77	39.5	309.83	56.68	211.31	193.01	540.19	287.01	559.28	287.01	170.25	82.87	169.07	429.54	366.09	186.4	176.29
FASLG	20.86	11.91	38.95	4.66	11.73	5.87	64.8	13.12	25.35	12.74	5.36	7.69	6.67	10.31	9.13	14.56	2.81	11.47	1.35	4.7	0.51	1.46	22.1	3.63	3.47	4.62	6.36	7.4	5.41	2.41	1.55	3.2	8.85	3.66	1.31	2.81	5.11	7.28	5.15	18.03	35.76	3.92	5.96	25.54	13.93	36.53	7.11	47.5	19.11	59.97	32.13	72.52	21.94	27.64	59.13	8.65	92.7	26.86	12.27	27.25
FCRL6	49.21	37.85	64.34	19.53	22.75	27.05	49.91	37.32	42.71	63.89	21.32	7.51	6.89	23.08	14.45	21.32	12.45	19.53	6.11	5.19	14.67	4.7	33.54	2.51	4.74	3.2	2.25	9.63	8.45	8.51	3.08	12.36	3.03	1.57	4.21	9.2	37.85	42.11	12.45	26.67	20.26	12.36	22.1	23.42	14.89	68.55	7.11	64.34	65.72	100.83	132.44	171.45	44.57	30.56	100.13	28.65	267.73	127.89	16.03	84.63
FGD2	665.29	264.03	460.44	199.85	157.68	325.29	373.81	277.2	368.65	307.69	127.0	39.79	54.72	78.34	58.3	193.01	44.25	49.21	7.4	33.78	9.13	15.11	316.37	26.47	19.97	29.91	15.8	57.89	26.1	40.64	16.88	64.34	57.89	10.79	35.76	54.72	65.72	21.47	316.37	31.67	76.71	140.04	212.78	169.07	77.25	607.87	34.26	351.14	563.18	872.1	785.88	2090.03	389.72	836.53	232.94	934.76	1059.11	1477.58	277.2	503.95
FLI1	397.93	204.07	647.07	166.73	155.5	253.23	368.65	248.0	403.5	291.04	191.67	165.57	73.54	132.44	96.01	118.43	80.57	100.13	37.59	58.71	31.9	28.24	262.2	85.82	42.71	70.01	31.22	99.43	64.34	117.6	23.08	152.28	71.5	52.45	33.78	112.77	81.14	62.12	140.04	85.82	108.9	94.67	117.6	256.78	77.25	599.49	118.43	718.08	251.48	521.76	1477.58	872.1	457.25	748.61	728.11	158.79	406.31	559.28	403.5	713.11
FMNL1	884.29	525.39	1250.98	205.5	450.94	540.19	733.19	567.1	684.02	642.59	358.54	178.77	153.34	265.87	170.25	371.22	120.94	170.25	406.31	81.14	34.02	38.4	450.94	178.77	66.65	79.45	81.14	185.11	66.65	113.56	47.84	108.9	75.11	45.85	52.82	105.15	395.18	111.99	101.54	91.41	228.13	81.71	108.14	279.14	46.84	1605.83	194.36	753.83	1175.27	1397.83	1359.57	2178.83	1857.6	1498.22	4181.07	1794.29	2417.67	1015.93	1674.06	1135.2
FTL	1422501.74	919186.72	1355129.16	932018.1	998912.34	1422501.74	1048575.0	783730.52	741454.2	992012.34	1123834.93	971597.0	2111737.85	1327240.99	1452391.55	1026995.62	1393227.06	1055868.42	706337.4	696613.03	691801.16	1514068.5	919186.72	985160.01	1100706.72	958220.73	912837.43	932018.1	1147449.11	894051.48	1493223.86	992012.34	900270.11	677564.08	627822.72	925580.18	2294899.22	1179708.33	1327240.99	1147449.11	1374046.07	1055868.42	1131651.83	925580.18	2326934.84	998912.34	1273174.62	1204496.53	845824.19	1336472.68	945028.61	614902.29	845824.19	875652.15	932018.1	1327240.99	741454.2	900270.11	1179708.33	971597.0
GMFG	2875.3	2319.15	4298.64	759.08	921.88	2209.26	1605.83	1844.76	1781.89	2434.5	1015.93	656.11	384.34	902.89	438.59	1745.2	423.61	703.28	178.77	312.0	139.07	108.9	1508.65	406.31	307.69	366.09	287.01	872.1	239.52	426.57	343.89	438.59	514.56	232.94	289.02	384.34	543.96	674.59	934.76	447.82	638.15	571.05	988.12	1096.5	503.95	2976.74	312.0	4836.35	2417.67	1617.0	3124.78	11909.94	2758.13	5255.91	3768.09	6426.31	4671.57	3103.19	5751.61	4639.29
GNG2	303.44	224.97	336.79	92.7	100.83	93.35	241.19	248.0	295.11	281.09	90.14	82.87	46.18	90.77	34.51	93.35	41.52	65.26	22.59	18.56	14.67	8.71	167.9	57.08	42.11	31.45	14.03	64.8	47.84	64.8	42.11	55.1	71.5	25.72	35.25	33.78	41.52	70.01	85.22	61.68	136.19	69.03	85.82	92.7	56.28	271.48	80.01	353.59	343.89	476.71	575.03	753.83	591.22	647.07	819.3	273.37	733.19	158.79	178.77	497.0
GNGT2	303.44	232.94	384.34	122.64	117.6	236.21	242.88	212.78	242.88	285.03	70.51	52.82	42.41	68.07	35.25	116.78	23.25	38.67	11.73	8.71	3.66	8.19	90.14	35.0	23.76	13.62	19.97	60.82	11.55	16.88	29.06	23.59	21.94	4.94	19.25	37.85	34.75	34.75	70.51	57.08	48.18	35.76	102.25	115.97	49.91	277.2	20.86	190.34	137.14	142.01	507.46	1199.98	325.29	381.68	346.29	529.06	206.94	647.07	273.37	255.0
GPR174	11.73	4.46	19.53	3.08	2.27	2.2	31.45	7.4	19.82	2.36	7.28	7.46	2.14	6.16	1.5	5.15	2.1	1.31	0.0	0.0	0.0	1.25	24.99	0.97	1.36	1.36	0.0	0.55	2.46	1.2	0.0	1.25	1.51	3.23	2.48	0.97	7.06	2.43	3.99	14.56	13.32	3.14	0.93	21.63	1.73	21.78	2.41	20.26	22.43	38.12	32.59	50.98	26.86	60.82	35.0	0.99	78.89	14.78	15.68	26.67
GPR18	21.63	14.35	52.08	2.71	13.93	13.22	22.75	11.13	19.53	23.76	10.55	6.16	0.91	12.45	6.41	13.03	6.06	5.63	3.17	3.66	0.0	1.22	25.35	2.58	3.63	1.71	1.97	6.06	1.62	2.53	1.06	1.57	3.06	1.62	4.21	3.32	9.7	11.3	2.16	5.19	17.13	3.47	5.02	11.73	4.82	19.25	6.94	26.1	45.53	24.63	55.49	44.57	9.85	41.52	20.56	22.26	43.02	9.06	22.43	25.35
GPR183	2502.97	1769.57	941.27	120.94	201.25	514.56	130.6	368.65	674.59	334.46	156.59	55.1	64.8	74.58	64.8	127.0	19.25	67.12	4.35	15.45	4.13	4.86	429.54	25.72	35.76	19.39	16.63	71.5	5.96	109.66	16.15	14.56	52.45	18.97	63.45	32.13	53.19	70.01	16.15	80.01	98.04	11.21	77.25	65.72	38.95	1051.79	47.5	1199.98	896.64	819.3	723.08	780.44	3168.41	1304.15	1991.0	591.22	743.43	599.49	6561.36	1037.29
GPSM3	1639.59	1313.23	2303.12	728.11	733.19	1388.16	1551.09	1467.37	1594.73	1769.57	540.19	241.19	208.38	503.95	234.57	796.86	181.28	289.02	51.35	111.99	36.79	85.82	713.11	171.45	108.14	141.02	197.09	325.29	77.79	159.9	118.43	186.4	156.59	115.97	156.59	156.59	251.48	193.01	316.37	124.37	387.02	231.32	536.45	860.08	182.55	1594.73	214.27	1721.16	1697.45	1896.65	1733.13	6164.49	3982.99	1081.39	3235.01	5831.91	3146.52	1806.78	2351.53	1709.26
GZMA	414.87	470.14	836.53	217.27	212.78	277.2	620.67	444.72	366.09	412.0	61.68	138.1	63.89	209.84	105.89	293.07	76.17	229.72	10.31	46.18	15.8	28.04	454.09	53.19	73.03	57.89	49.91	173.85	36.79	46.84	32.82	36.01	63.89	36.53	52.45	47.84	141.02	183.82	70.01	256.78	211.31	110.43	244.57	595.34	106.63	316.37	91.41	848.22	638.15	967.76	753.83	1096.5	563.18	1794.29	389.72	860.08	1066.48	698.41	343.89	896.64
GZMB	101.54	125.24	209.84	49.56	51.71	181.28	59.13	37.05	53.95	20.56	21.63	63.89	27.84	48.87	23.25	341.51	42.41	43.63	18.7	22.26	6.67	10.71	201.25	15.91	35.5	21.94	31.67	44.25	74.06	46.84	18.43	41.81	16.63	14.56	17.64	36.01	133.36	121.79	106.63	77.79	93.35	43.63	50.63	48.87	11.38	218.79	53.95	1066.48	1819.35	665.29	387.02	1936.53	1477.58	1896.65	3443.31	1605.83	1447.15	209.84	208.38	896.64
GZMH	133.36	211.31	291.04	122.64	65.26	120.1	131.51	264.03	180.02	148.09	31.45	43.02	22.1	133.36	68.55	166.73	49.21	136.19	12.27	38.67	7.4	13.62	162.14	19.82	24.81	21.32	29.48	115.16	46.18	39.5	15.91	30.56	12.55	21.47	21.16	29.27	61.68	148.09	87.03	39.79	51.71	61.68	62.56	150.17	59.13	197.09	47.84	603.67	555.41	423.61	409.15	599.49	713.11	688.78	493.56	194.36	981.29	299.25	141.02	384.34
HCK	1242.34	1088.92	2224.63	595.34	860.08	1259.69	1277.29	624.99	1143.1	1225.22	447.82	190.34	110.43	303.44	102.25	358.54	66.65	122.64	17.13	34.26	17.77	15.34	540.19	68.55	62.12	54.72	58.71	161.02	57.49	72.52	45.21	143.01	127.89	37.05	55.1	81.14	395.18	148.09	447.82	50.27	212.78	249.73	397.93	366.09	201.25	1143.1	64.34	1268.46	2271.4	2193.99	1143.1	6250.56	3768.09	1561.89	1923.14	3614.55	1304.15	1909.85	651.58	1477.58
HLA-DOA	1427.22	733.19	1769.57	518.15	759.08	1447.15	1322.37	1407.55	1639.59	1388.16	195.72	67.59	36.79	131.51	87.03	92.05	47.17	43.94	13.22	11.55	6.57	5.5	457.25	39.79	24.99	38.67	22.59	70.51	19.39	31.67	19.97	59.55	41.81	18.16	29.91	31.67	69.52	44.57	169.07	30.12	161.02	51.35	293.07	264.03	76.17	1259.69	61.68	1540.37	3901.01	947.83	995.0	3847.29	660.68	1119.56	5006.93	2018.8	1639.59	5183.54	9344.14	1832.01
IKZF1	217.27	133.36	336.79	105.89	102.97	153.34	295.11	129.69	246.28	193.01	57.08	30.34	21.94	52.82	27.25	59.55	24.81	76.17	3.08	8.0	3.17	4.06	97.36	14.35	14.56	12.0	15.91	29.91	11.38	21.01	8.58	14.67	18.97	7.11	9.93	15.68	20.26	24.28	64.8	26.28	69.52	25.91	52.08	74.06	25.35	228.13	29.7	246.28	392.44	205.5	309.83	872.1	220.32	353.59	1199.98	264.03	253.23	301.33	1127.35	237.86
IL10RA	1143.1	769.69	1651.0	334.46	480.04	738.29	1340.84	791.35	1051.79	813.63	264.03	91.41	94.67	182.55	114.36	189.02	50.98	105.89	20.11	28.86	65.26	22.43	563.18	51.35	44.89	67.59	39.22	161.02	39.79	42.71	47.17	157.68	91.41	30.34	63.0	117.6	80.57	72.52	211.31	92.7	147.06	152.28	353.59	409.15	156.59	1397.83	72.52	1051.79	1757.34	1639.59	2240.11	2319.15	1008.9	1662.49	2400.97	890.44	860.08	1617.0	2609.3	967.76
IL12RB1	93.35	49.91	198.47	50.98	67.12	167.9	158.79	87.03	114.36	99.43	57.08	42.11	62.12	57.89	32.82	71.5	23.08	35.25	3.47	11.55	0.58	7.06	82.87	50.98	11.73	11.73	13.72	35.0	14.24	13.03	9.2	26.67	41.81	5.68	8.32	25.17	19.68	18.97	66.65	71.5	42.11	34.51	49.21	82.29	12.83	140.04	13.83	180.02	454.09	400.71	507.46	713.11	356.05	293.07	262.2	255.0	341.51	332.14	285.03	142.01
IL16	403.5	327.56	878.17	142.01	217.27	341.51	543.96	262.2	429.54	341.51	150.17	96.68	43.63	137.14	69.52	167.9	82.29	98.04	28.24	27.05	40.64	25.54	248.0	48.18	33.54	55.1	37.05	120.1	52.82	45.21	23.25	131.51	73.03	30.12	34.75	53.57	40.93	61.68	88.88	52.82	169.07	56.28	241.19	414.87	110.43	500.46	84.04	555.41	563.18	381.68	633.73	848.22	181.28	902.89	229.72	262.2	934.76	1183.45	1662.49	612.11
IL18BP	1216.75	698.41	1487.87	444.72	759.08	974.5	802.41	647.07	753.83	743.43	511.0	518.15	191.67	651.58	232.94	684.02	226.54	299.25	52.82	88.88	59.13	84.04	954.43	363.56	226.54	120.94	167.9	275.28	125.24	231.32	119.26	144.01	251.48	88.88	83.45	265.87	146.03	117.6	226.54	75.11	262.2	120.94	135.24	309.83	98.04	1044.52	171.45	2777.33	2224.63	759.08	890.44	1331.57	2319.15	583.07	2367.9	884.29	624.99	490.14	775.05	1551.09
IL18RAP	27.84	34.02	7.82	5.19	4.7	10.96	6.46	6.26	9.56	8.99	23.08	7.4	10.55	13.22	7.75	22.26	21.63	12.93	1.53	8.13	1.57	3.11	21.78	5.92	8.92	2.39	4.94	17.0	5.41	7.51	2.32	3.53	8.38	1.83	4.39	11.91	18.29	65.26	10.08	6.41	42.11	6.06	6.84	3.44	6.57	43.02	6.21	95.34	50.63	26.47	18.84	49.21	70.01	28.86	126.12	223.41	72.01	27.44	69.03	102.25
IL21R	29.91	16.88	102.25	8.19	39.5	43.32	34.02	17.0	21.94	13.93	41.22	16.88	5.77	34.51	4.17	38.4	3.23	5.68	2.2	2.41	3.92	1.85	31.45	3.56	2.36	2.01	4.21	13.62	2.92	6.41	2.16	3.47	20.56	1.91	2.84	3.53	9.63	2.53	8.58	11.91	23.93	6.78	16.15	43.32	19.25	68.55	21.63	71.0	37.32	151.22	47.17	140.04	94.67	57.89	177.53	38.67	55.89	36.79	51.71	114.36
IL2RB	241.19	85.22	279.14	42.11	88.26	85.82	303.44	85.22	182.55	72.52	54.72	86.43	52.08	86.43	50.98	51.35	32.59	40.07	11.82	10.88	6.26	13.52	208.38	28.04	18.29	15.11	23.25	32.36	19.11	22.59	14.89	19.39	40.36	7.28	15.68	27.64	70.51	127.0	64.34	90.14	176.29	89.51	198.47	73.03	87.03	187.71	40.93	167.9	130.6	251.48	175.07	595.34	211.31	244.57	866.07	169.07	454.09	166.73	162.14	316.37
INPP5D	1051.79	432.53	1044.52	301.33	420.68	607.87	1225.22	624.99	791.35	866.07	239.52	158.79	113.56	146.03	120.1	186.4	97.36	96.01	32.82	61.25	64.34	24.63	414.87	61.25	63.89	67.59	217.27	146.03	63.0	85.22	32.82	96.68	64.34	78.34	82.29	77.25	87.03	198.47	139.07	84.63	144.01	108.14	248.0	246.28	59.55	684.02	327.56	447.82	693.58	336.79	642.59	1127.35	457.25	909.17	2178.83	551.56	974.5	460.44	3190.46	638.15
