	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.VR.A8EU.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.R55G.1026.SM.48FDI	GTEX.ZLV1.0526.SM.4WWD4	GTEX.T6MO.0526.SM.4DM6R	GTEX.ZC5H.1326.SM.5HL7E	GTEX.11P7K.1326.SM.5BC5G	GTEX.14H4A.1626.SM.5SI69	GTEX.REY6.1326.SM.48FDO	GTEX.T5JC.1726.SM.4DM6U	GTEX.1399R.0826.SM.5IJEL	GTEX.TML8.1526.SM.4DXUX	GTEX.ZG7Y.1126.SM.4WWEZ	GTEX.X585.1226.SM.46MW7	GTEX.ZVT2.1326.SM.5E45H	GTEX.139YR.1726.SM.5IFFK	GTEX.QV44.1126.SM.4R1KO	GTEX.11DXY.1426.SM.5N9CN	GTEX.146FH.1726.SM.5QGQ2	GTEX.VUSG.1226.SM.4KKZF	GTEX.OXRN.1726.SM.3NM9B	GTEX.14AS3.0626.SM.5QGQD	GTEX.12ZZX.1326.SM.5DUWI	TCGA.CV.7089.01A.11R.2016.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.7252.11A.01R.2016.07	TCGA.CV.6960.11A.01R.2016.07	TCGA.CV.6962.11A.01R.1915.07	TCGA.CV.7438.11A.01R.2132.07	TCGA.CV.7242.11A.01R.2016.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.6936.11A.01R.1915.07	TCGA.CV.6943.11A.01R.1915.07	TCGA.CV.7103.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.CV.7177.11A.01R.2016.07	TCGA.CV.7437.11A.01R.2132.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.11EI6.0826.SM.5985V	GTEX.131XW.1126.SM.5EGK4	GTEX.13FTY.0126.SM.5J2NZ	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.ZA64.1726.SM.5CVMF	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.8663.11A.01R.2402.13
MRTO4	813.63	435.55	647.07	587.13	981.29	1457.23	473.41	819.3	830.75	967.76	450.94	728.11	813.63	540.19	1104.13	981.29	379.04	414.87	400.71	483.38	368.65	414.87	559.28	785.88	307.69	429.54	400.71	620.67	358.54	521.76	441.64	432.53	325.29	775.05	514.56	392.44	624.99	483.38	961.07	318.57	825.0	884.29	514.56	1104.13	967.76	1183.45	713.11	660.68	733.19	974.5	529.06	836.53	209.84	217.27	212.78	208.38	193.01	202.66	127.89	1008.9	1250.98	808.0	1151.06	723.08	688.78	738.29	791.35	450.94
NCL	10959.3	7695.57	7749.1	7485.11	9808.75	10733.74	7857.29	6426.31	10154.69	12160.22	4358.66	6079.61	6935.54	7642.41	9151.82	7642.41	4704.07	5633.22	4769.75	5555.65	3419.52	5441.3	7642.41	7382.04	4010.71	5517.27	4639.29	6887.62	2664.15	7032.37	6207.38	5751.61	4123.49	8305.36	4704.07	3419.52	7695.57	5292.48	10296.45	2627.46	11992.79	10808.41	6607.01	11584.24	10659.59	11504.21	9151.82	7230.1	9151.82	8598.28	7331.05	9409.14	2956.17	3103.19	4769.75	3103.19	4095.0	4937.99	4358.66	11584.24	10659.59	13399.51	12853.63	8479.89	10585.95	9151.82	10959.3	3564.78
NLE1	237.86	228.13	110.43	299.25	351.14	361.04	159.9	295.11	193.01	236.21	149.12	232.94	339.14	189.02	353.59	303.44	215.77	211.31	194.36	180.02	202.66	165.57	164.42	262.2	181.28	206.94	251.48	214.27	178.77	130.6	145.02	228.13	115.16	327.56	226.54	191.67	228.13	287.01	291.04	85.82	246.28	444.72	228.13	353.59	384.34	353.59	208.38	228.13	392.44	231.32	212.78	318.57	109.66	87.03	66.65	82.87	77.25	78.34	64.8	392.44	283.05	139.07	466.88	279.14	236.21	204.07	173.85	198.47
NOL10	463.65	343.89	409.15	389.72	483.38	486.75	343.89	387.02	470.14	426.57	295.11	353.59	525.39	366.09	567.1	429.54	251.48	316.37	339.14	260.38	232.94	323.03	366.09	353.59	239.52	289.02	309.83	334.46	251.48	285.03	341.51	329.84	237.86	476.71	279.14	183.82	356.05	301.33	514.56	217.27	486.75	591.22	323.03	571.05	497.0	543.96	361.04	480.04	409.15	559.28	363.56	490.14	124.37	162.14	206.94	142.01	195.72	273.37	199.85	595.34	555.41	301.33	567.1	423.61	323.03	450.94	521.76	291.04
NOLC1	1721.16	1111.82	764.36	1277.29	2193.99	1001.93	1073.91	1350.18	1397.83	1551.09	612.11	1427.22	1250.98	1119.56	2178.83	1628.26	764.36	785.88	836.53	728.11	567.1	836.53	1250.98	1059.11	346.29	866.07	769.69	884.29	371.22	825.0	1066.48	974.5	575.03	1208.34	854.13	890.44	934.76	1340.84	1709.26	540.19	1832.01	2573.36	854.13	1857.6	1781.89	2209.26	1268.46	1457.23	1313.23	1832.01	1030.12	1561.89	507.46	633.73	647.07	934.76	435.55	854.13	633.73	1594.73	1628.26	1304.15	3982.99	1295.13	1313.23	1295.13	1477.58	775.05
NOP14	665.29	493.56	366.09	612.11	669.92	579.04	444.72	660.68	567.1	642.59	429.54	532.74	703.28	397.93	441.64	738.29	486.75	420.68	514.56	460.44	246.28	429.54	567.1	511.0	291.04	409.15	351.14	497.0	368.65	536.45	444.72	447.82	334.46	616.37	409.15	281.09	575.03	356.05	813.63	327.56	759.08	848.22	473.41	769.69	819.3	1008.9	595.34	698.41	665.29	866.07	511.0	728.11	281.09	242.88	251.48	241.19	237.86	170.25	212.78	813.63	928.3	733.19	1143.1	698.41	620.67	703.28	872.1	409.15
NOP16	1832.01	842.36	896.64	1044.52	1991.0	2485.67	884.29	1651.0	884.29	1001.93	660.68	1143.1	1498.22	854.13	1407.55	2303.12	1066.48	651.58	825.0	728.11	607.87	567.1	1037.29	1037.29	497.0	633.73	603.67	954.43	500.46	748.61	684.02	638.15	507.46	902.89	733.19	915.51	878.17	785.88	1437.15	473.41	1350.18	1628.26	713.11	1819.35	2178.83	2209.26	1119.56	1350.18	947.83	1923.14	819.3	1639.59	177.53	182.55	289.02	255.0	224.97	153.34	154.42	1561.89	1757.34	2047.0	3280.18	1313.23	1388.16	1457.23	1721.16	642.59
NPM3	947.83	1369.04	490.14	629.35	2609.3	2855.44	466.88	981.29	890.44	1037.29	532.74	674.59	1127.35	825.0	1844.76	836.53	599.49	353.59	208.38	457.25	336.79	226.54	297.17	909.17	389.72	387.02	231.32	607.87	341.51	320.8	555.41	441.64	358.54	1073.91	713.11	447.82	493.56	902.89	1781.89	389.72	1066.48	1662.49	769.69	1806.78	1519.15	1697.45	1059.11	995.0	1167.14	1806.78	813.63	1417.35	348.71	353.59	406.31	133.36	204.07	435.55	141.02	2004.85	2335.28	1119.56	3212.66	802.41	1216.75	836.53	1286.18	371.22
PAK1IP1	503.95	273.37	329.84	435.55	583.07	796.86	599.49	563.18	647.07	688.78	392.44	559.28	603.67	417.77	483.38	651.58	373.81	285.03	299.25	297.17	258.57	384.34	450.94	366.09	178.77	320.8	275.28	373.81	181.28	444.72	341.51	339.14	167.9	470.14	256.78	265.87	454.09	262.2	466.88	144.01	521.76	563.18	229.72	638.15	698.41	555.41	397.93	567.1	450.94	693.58	450.94	525.39	72.01	91.41	66.18	61.25	76.17	144.01	94.67	463.65	878.17	587.13	813.63	476.71	476.71	624.99	532.74	348.71
PES1	1561.89	890.44	961.07	1286.18	1781.89	1662.49	1015.93	1508.65	1175.27	1340.84	819.3	1216.75	1697.45	1369.04	1437.15	1427.22	830.75	802.41	813.63	764.36	723.08	718.08	1096.5	1242.34	660.68	819.3	764.36	995.0	713.11	848.22	902.89	808.0	397.93	1286.18	921.88	819.3	1088.92	718.08	1991.0	854.13	1437.15	1883.54	1096.5	1991.0	1832.01	2178.83	1572.76	1350.18	1551.09	1963.57	995.0	1594.73	518.15	389.72	486.75	309.83	480.04	403.5	297.17	2434.5	1651.0	1388.16	1923.14	1498.22	1477.58	1561.89	1143.1	595.34
PGAM5	878.17	733.19	392.44	718.08	1199.98	1096.5	497.0	1073.91	660.68	854.13	438.59	759.08	1023.0	500.46	1066.48	796.86	620.67	536.45	518.15	435.55	463.65	514.56	579.04	563.18	320.8	500.46	429.54	679.29	299.25	432.53	733.19	587.13	281.09	934.76	669.92	497.0	684.02	426.57	1225.22	521.76	915.51	1844.76	540.19	1378.57	1151.06	1378.57	836.53	836.53	974.5	1437.15	738.29	1096.5	198.47	195.72	204.07	209.84	221.86	376.41	232.94	1104.13	1175.27	1008.9	3081.75	1175.27	884.29	1073.91	974.5	447.82
PIGW	180.02	143.01	122.64	205.5	177.53	209.84	248.0	180.02	217.27	137.14	100.83	127.89	318.57	175.07	429.54	379.04	108.14	143.01	116.78	120.1	108.14	232.94	249.73	218.79	84.63	119.26	137.14	155.5	63.45	176.29	146.03	129.69	71.5	185.11	127.0	96.68	158.79	58.71	244.57	100.83	316.37	224.97	143.01	299.25	253.23	202.66	197.09	262.2	260.38	267.73	206.94	244.57	52.45	35.25	82.87	38.4	96.01	68.07	79.45	348.71	432.53	497.0	151.22	242.88	242.88	283.05	190.34	161.02
PNO1	518.15	176.29	392.44	246.28	371.22	307.69	271.48	293.07	297.17	444.72	128.79	237.86	423.61	334.46	536.45	387.02	166.73	152.28	191.67	171.45	100.13	194.36	320.8	356.05	107.38	175.07	175.07	218.79	134.3	231.32	220.32	198.47	118.43	273.37	156.59	164.42	244.57	191.67	423.61	154.42	463.65	500.46	167.9	486.75	587.13	518.15	318.57	454.09	305.55	587.13	260.38	403.5	88.26	150.17	132.44	124.37	130.6	173.85	101.54	480.04	616.37	329.84	684.02	363.56	329.84	320.8	376.41	208.38
POLR1B	256.78	193.01	204.07	303.44	384.34	312.0	301.33	212.78	301.33	409.15	147.06	248.0	267.73	251.48	224.97	301.33	190.34	199.85	181.28	156.59	103.69	217.27	242.88	204.07	103.69	189.02	135.24	171.45	118.43	175.07	173.85	204.07	115.16	262.2	163.28	140.04	281.09	176.29	273.37	86.43	255.0	447.82	147.06	457.25	457.25	332.14	177.53	329.84	376.41	343.89	209.84	379.04	96.01	51.35	73.54	51.71	110.43	90.14	108.14	212.78	463.65	279.14	848.22	236.21	224.97	444.72	256.78	201.25
POLR1E	587.13	384.34	170.25	400.71	525.39	395.18	361.04	379.04	497.0	420.68	332.14	366.09	346.29	271.48	363.56	379.04	420.68	255.0	237.86	256.78	205.5	246.28	403.5	285.03	299.25	246.28	246.28	237.86	190.34	236.21	253.23	229.72	182.55	409.15	221.86	156.59	301.33	325.29	571.05	152.28	371.22	381.68	346.29	612.11	603.67	536.45	339.14	429.54	490.14	457.25	318.57	463.65	271.48	194.36	307.69	234.57	157.68	320.8	144.01	775.05	629.35	283.05	420.68	283.05	295.11	265.87	309.83	275.28
POLR2E	3146.52	2956.17	2875.3	3665.02	3768.09	3443.31	2573.36	4123.49	2701.35	2777.33	3124.78	4450.27	3901.01	2777.33	3349.13	3794.3	3349.13	2335.28	2400.97	3039.3	1991.0	1806.78	1870.53	2875.3	2287.2	1477.58	2133.97	2591.27	2520.38	2287.2	1977.24	2133.97	2209.26	3018.3	2664.15	2351.53	2573.36	2287.2	3467.27	1870.53	2645.74	3395.89	3190.46	3847.29	3467.27	3716.2	3491.39	3081.75	3665.02	3564.78	2434.5	4038.61	2434.5	2119.22	1733.13	2240.11	2645.74	2591.27	1350.18	3639.7	4736.79	5076.84	4607.24	4268.94	3257.52	4575.41	3257.52	2682.69
PPAN	1030.12	521.76	665.29	954.43	1191.69	1313.23	796.86	1081.39	718.08	842.36	567.1	1015.93	1721.16	785.88	947.83	1295.13	872.1	571.05	819.3	500.46	656.11	607.87	780.44	934.76	480.04	633.73	555.41	769.69	579.04	728.11	753.83	624.99	329.84	1030.12	775.05	743.43	961.07	454.09	878.17	435.55	947.83	941.27	525.39	988.12	1350.18	1199.98	684.02	825.0	808.0	941.27	733.19	902.89	172.65	172.65	309.83	180.02	255.0	195.72	141.02	808.0	660.68	703.28	1572.76	813.63	819.3	825.0	684.02	403.5
PPAT	114.36	195.72	108.9	105.15	164.42	190.34	130.6	71.5	152.28	215.77	59.97	114.36	148.09	104.42	158.79	134.3	67.12	83.45	86.43	64.8	68.55	84.04	108.9	88.26	62.56	88.88	88.88	85.22	52.45	78.34	117.6	106.63	69.52	138.1	92.05	81.14	119.26	92.7	186.4	57.08	193.01	176.29	76.17	163.28	215.77	187.71	86.43	181.28	121.79	166.73	112.77	113.56	65.72	25.17	35.5	33.3	28.86	53.19	34.02	148.09	156.59	242.88	555.41	88.88	148.09	114.36	128.79	79.45
PTRH2	738.29	595.34	406.31	454.09	743.43	974.5	470.14	460.44	555.41	373.81	318.57	483.38	612.11	684.02	748.61	595.34	329.84	303.44	373.81	287.01	329.84	348.71	476.71	543.96	260.38	285.03	312.0	356.05	287.01	353.59	414.87	334.46	136.19	447.82	232.94	363.56	511.0	273.37	698.41	432.53	595.34	532.74	323.03	769.69	947.83	819.3	503.95	607.87	543.96	813.63	358.54	603.67	260.38	214.27	244.57	305.55	229.72	215.77	226.54	1023.0	928.3	366.09	1268.46	454.09	438.59	647.07	363.56	460.44
RPL26L1	896.64	988.12	780.44	866.07	1388.16	1151.06	769.69	1183.45	796.86	860.08	769.69	1044.52	1119.56	915.51	1583.71	1096.5	688.78	785.88	567.1	796.86	476.71	647.07	764.36	995.0	629.35	780.44	507.46	813.63	571.05	674.59	928.3	764.36	642.59	1268.46	738.29	486.75	825.0	796.86	1709.26	708.18	1008.9	1259.69	796.86	1540.37	1295.13	1583.71	1088.92	1037.29	1073.91	1313.23	941.27	1331.57	629.35	423.61	273.37	269.6	503.95	743.43	329.84	1923.14	2367.9	1639.59	1427.22	1551.09	1059.11	1662.49	1199.98	791.35
RPL7L1	1167.14	1331.57	1295.13	1208.34	1313.23	1233.75	1081.39	1008.9	1268.46	1437.15	954.43	1127.35	1066.48	947.83	1135.2	1081.39	902.89	934.76	915.51	819.3	748.61	1199.98	1127.35	1199.98	733.19	1037.29	1015.93	941.27	813.63	854.13	1199.98	981.29	470.14	1059.11	928.3	532.74	967.76	616.37	1277.29	638.15	1540.37	1551.09	1023.0	1340.84	1304.15	1199.98	1208.34	1340.84	1427.22	1304.15	1096.5	1183.45	718.08	579.04	599.49	454.09	728.11	529.06	575.03	1369.04	2555.58	1286.18	1639.59	1519.15	1286.18	1322.37	1617.0	1051.79
RPP40	476.71	289.02	183.82	358.54	460.44	376.41	320.8	490.14	575.03	295.11	305.55	301.33	540.19	185.11	435.55	444.72	363.56	204.07	269.6	260.38	190.34	277.2	264.03	265.87	157.68	178.77	201.25	234.57	130.6	186.4	223.41	262.2	226.54	332.14	197.09	120.94	239.52	208.38	258.57	144.01	426.57	351.14	237.86	503.95	435.55	366.09	314.17	417.77	381.68	429.54	297.17	435.55	63.0	29.06	47.17	26.1	18.29	81.71	28.65	301.33	748.61	559.28	599.49	363.56	480.04	571.05	547.75	426.57
RRP15	277.2	190.34	156.59	125.24	204.07	323.03	281.09	159.9	297.17	295.11	101.54	94.67	206.94	191.67	198.47	187.71	118.43	135.24	172.65	101.54	172.65	169.07	281.09	248.0	94.01	140.04	72.52	183.82	65.72	231.32	218.79	154.42	105.89	279.14	155.5	68.07	241.19	183.82	287.01	73.03	299.25	327.56	130.6	363.56	381.68	341.51	183.82	299.25	186.4	336.79	244.57	303.44	44.25	91.41	145.02	82.29	94.01	172.65	74.06	289.02	353.59	264.03	403.5	351.14	198.47	293.07	279.14	161.02
RRP9	612.11	318.57	389.72	518.15	981.29	872.1	486.75	866.07	518.15	521.76	334.46	708.18	723.08	603.67	1015.93	638.15	371.22	224.97	289.02	248.0	177.53	183.82	361.04	514.56	165.57	239.52	205.5	314.17	180.02	244.57	371.22	239.52	214.27	470.14	309.83	267.73	329.84	379.04	595.34	232.94	540.19	802.41	273.37	733.19	825.0	947.83	432.53	483.38	503.95	819.3	289.02	642.59	166.73	155.5	195.72	156.59	155.5	190.34	136.19	583.07	759.08	480.04	1259.69	500.46	432.53	476.71	551.56	176.29
RRS1	848.22	329.84	303.44	450.94	728.11	921.88	420.68	486.75	612.11	575.03	269.6	521.76	591.22	450.94	854.13	518.15	366.09	318.57	397.93	312.0	217.27	329.84	551.56	543.96	165.57	373.81	236.21	412.0	176.29	426.57	376.41	358.54	139.07	693.58	307.69	334.46	603.67	229.72	669.92	167.9	490.14	642.59	283.05	813.63	934.76	780.44	435.55	656.11	571.05	567.1	343.89	633.73	124.37	109.66	161.02	75.64	154.42	126.12	79.45	796.86	819.3	426.57	1250.98	540.19	470.14	559.28	536.45	269.6
SDAD1	441.64	329.84	470.14	426.57	493.56	521.76	460.44	389.72	698.41	579.04	356.05	384.34	457.25	483.38	555.41	473.41	309.83	373.81	371.22	314.17	237.86	397.93	387.02	406.31	214.27	368.65	392.44	351.14	215.77	368.65	351.14	358.54	236.21	470.14	312.0	212.78	420.68	249.73	521.76	205.5	525.39	591.22	332.14	607.87	521.76	395.18	327.56	518.15	470.14	432.53	486.75	521.76	212.78	228.13	214.27	164.42	264.03	228.13	221.86	571.05	599.49	320.8	540.19	432.53	420.68	381.68	353.59	412.0
SLC25A13	293.07	156.59	346.29	397.93	435.55	316.37	463.65	325.29	460.44	348.71	295.11	312.0	327.56	318.57	660.68	307.69	246.28	242.88	223.41	226.54	161.02	293.07	341.51	463.65	189.02	258.57	253.23	287.01	291.04	356.05	264.03	295.11	177.53	348.71	295.11	143.01	412.0	131.51	289.02	299.25	387.02	392.44	314.17	406.31	334.46	318.57	397.93	351.14	426.57	395.18	384.34	414.87	119.26	206.94	170.25	171.45	260.38	239.52	249.73	620.67	490.14	332.14	205.5	312.0	287.01	312.0	346.29	264.03
SNRNP40	819.3	476.71	656.11	728.11	967.76	896.64	769.69	780.44	848.22	954.43	603.67	884.29	909.17	728.11	967.76	842.36	532.74	497.0	353.59	387.02	301.33	497.0	457.25	665.29	299.25	476.71	476.71	507.46	341.51	490.14	490.14	674.59	450.94	743.43	460.44	363.56	547.75	323.03	1167.14	429.54	775.05	934.76	559.28	1088.92	915.51	872.1	698.41	819.3	890.44	915.51	599.49	941.27	476.71	466.88	536.45	412.0	329.84	497.0	518.15	921.88	1104.13	878.17	915.51	633.73	934.76	723.08	921.88	583.07
TAF4B	40.64	25.54	39.79	74.58	72.52	60.39	94.01	66.18	83.45	104.42	47.5	40.07	72.01	51.71	94.67	44.89	58.71	68.55	56.68	40.64	59.13	55.49	84.63	29.7	40.93	60.39	52.08	43.63	39.22	42.71	55.49	55.49	58.71	56.68	42.41	21.63	75.64	61.25	83.45	23.08	94.01	78.34	41.52	71.5	86.43	73.54	69.52	77.25	77.25	67.12	50.98	56.68	29.91	16.63	31.0	15.91	15.91	15.0	21.78	110.43	121.79	68.55	76.17	40.36	41.81	53.57	64.8	51.71
TFB2M	301.33	206.94	195.72	193.01	237.86	267.73	248.0	180.02	234.57	303.44	153.34	171.45	363.56	186.4	320.8	305.55	167.9	208.38	212.78	217.27	143.01	220.32	241.19	187.71	120.94	193.01	220.32	215.77	157.68	239.52	199.85	220.32	130.6	258.57	162.14	118.43	285.03	130.6	246.28	69.03	397.93	323.03	234.57	348.71	387.02	329.84	262.2	353.59	363.56	497.0	237.86	341.51	135.24	76.71	98.73	63.89	141.02	186.4	109.66	262.2	409.15	158.79	373.81	299.25	229.72	293.07	251.48	241.19
TIMM23	1709.26	1259.69	1417.35	1322.37	1769.57	1896.65	1322.37	1819.35	1359.57	1277.29	1199.98	1407.55	1685.71	1295.13	1551.09	1477.58	1044.52	872.1	988.12	934.76	698.41	967.76	1127.35	1378.57	836.53	836.53	775.05	1119.56	902.89	941.27	1015.93	1191.69	514.56	1378.57	878.17	890.44	1259.69	954.43	1733.13	1447.15	1519.15	1447.15	1088.92	1781.89	1709.26	1769.57	1477.58	1340.84	1437.15	1832.01	1199.98	1674.06	371.22	361.04	395.18	447.82	638.15	769.69	334.46	1963.57	2537.92	1769.57	2271.4	1594.73	1487.87	1757.34	1651.0	1191.69
TOMM40	1639.59	1088.92	1844.76	1583.71	2209.26	2384.37	1685.71	2682.69	2075.59	1594.73	954.43	2271.4	2163.77	1242.34	2720.15	2573.36	1096.5	981.29	961.07	1059.11	587.13	791.35	1151.06	1498.22	575.03	872.1	674.59	1359.57	540.19	1225.22	1015.93	974.5	842.36	1378.57	1143.1	693.58	1225.22	1143.1	2163.77	620.67	1487.87	2163.77	1059.11	1963.57	2061.24	2485.67	1359.57	1135.2	1378.57	1950.0	1135.2	2133.97	466.88	389.72	460.44	420.68	563.18	363.56	287.01	1832.01	2434.5	1870.53	3325.99	1883.54	1639.59	1963.57	1733.13	703.28
TRMT6	412.0	211.31	514.56	325.29	651.58	423.61	348.71	363.56	511.0	351.14	198.47	262.2	435.55	305.55	435.55	441.64	171.45	177.53	185.11	165.57	189.02	242.88	287.01	307.69	126.12	211.31	157.68	212.78	138.1	234.57	224.97	201.25	127.89	283.05	148.09	170.25	299.25	140.04	423.61	224.97	447.82	332.14	187.71	397.93	406.31	457.25	297.17	327.56	309.83	435.55	271.48	309.83	66.18	60.82	63.89	86.43	99.43	132.44	75.11	387.02	493.56	368.65	571.05	314.17	309.83	403.5	336.79	189.02
URB2	195.72	42.71	80.57	102.25	100.83	82.87	176.29	90.14	111.21	152.28	52.08	74.06	119.26	79.45	65.26	102.25	78.34	70.01	85.22	42.71	69.52	94.67	150.17	108.9	31.9	92.7	75.11	84.63	28.24	100.83	94.01	78.34	10.39	116.78	55.89	102.25	106.63	28.45	115.97	28.86	155.5	108.9	54.72	151.22	186.4	139.07	102.25	161.02	122.64	108.14	88.88	116.78	25.54	20.56	37.59	27.05	27.05	43.32	27.05	135.24	94.01	120.1	339.14	78.89	80.57	115.16	66.18	48.87
UTP11L	1111.82	1096.5	928.3	909.17	1216.75	1674.06	1030.12	1037.29	1286.18	1175.27	785.88	967.76	1081.39	1051.79	1135.2	1225.22	825.0	791.35	575.03	780.44	457.25	583.07	796.86	1008.9	679.29	718.08	483.38	728.11	547.75	674.59	785.88	872.1	511.0	854.13	669.92	571.05	915.51	728.11	1104.13	708.18	1175.27	1059.11	633.73	1313.23	1127.35	1175.27	921.88	1008.9	967.76	1216.75	785.88	1081.39	490.14	414.87	547.75	444.72	476.71	660.68	529.06	1167.14	1769.57	1001.93	1572.76	967.76	1127.35	1008.9	1417.35	860.08
UTP14A	457.25	251.48	460.44	343.89	473.41	460.44	438.59	341.51	507.46	423.61	246.28	314.17	457.25	356.05	470.14	358.54	224.97	244.57	255.0	218.79	186.4	248.0	353.59	307.69	195.72	283.05	269.6	297.17	220.32	234.57	281.09	258.57	187.71	435.55	223.41	163.28	384.34	180.02	435.55	165.57	450.94	551.56	279.14	543.96	587.13	466.88	325.29	420.68	429.54	503.95	309.83	460.44	217.27	152.28	111.21	115.97	98.04	181.28	106.63	567.1	599.49	334.46	536.45	463.65	305.55	432.53	432.53	234.57
UTP18	780.44	642.59	441.64	583.07	718.08	688.78	633.73	674.59	764.36	555.41	470.14	536.45	571.05	563.18	780.44	733.19	514.56	480.04	503.95	514.56	366.09	466.88	629.35	612.11	387.02	470.14	480.04	583.07	417.77	518.15	483.38	612.11	551.56	595.34	460.44	371.22	642.59	525.39	708.18	532.74	775.05	713.11	480.04	902.89	842.36	819.3	647.07	743.43	753.83	884.29	532.74	718.08	493.56	547.75	532.74	454.09	381.68	483.38	728.11	981.29	1167.14	743.43	1051.79	595.34	583.07	665.29	848.22	460.44
YARS2	409.15	291.04	366.09	316.37	511.0	624.99	376.41	571.05	389.72	902.89	246.28	366.09	651.58	295.11	733.19	316.37	279.14	256.78	265.87	220.32	327.56	226.54	262.2	289.02	264.03	297.17	262.2	271.48	215.77	193.01	169.07	466.88	118.43	518.15	314.17	307.69	287.01	241.19	567.1	204.07	473.41	463.65	334.46	595.34	547.75	529.06	283.05	417.77	480.04	490.14	432.53	536.45	277.2	114.36	163.28	135.24	150.17	198.47	155.5	412.0	366.09	248.0	521.76	318.57	346.29	397.93	320.8	320.8
