	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.KC.A7FD.01A.11R.A33R.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.HC.7212.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.CH.5746.01A.11R.1580.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.M7.A721.01A.12R.A32O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.KK.A6E1.01A.11R.A311.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
GCHFR	0.0	0.07	325.29	435.55	974.5	395.18	135.24	199.85	759.08	764.36	348.71	791.35	669.92	507.46	208.38	633.73	251.48	915.51	297.17	480.04	346.29	161.02	540.19	438.59	406.31	902.89	392.44	497.0	215.77	218.79	660.68	624.99	368.65	417.77	423.61	454.09	314.17	480.04	575.03	718.08	258.57	1008.9	872.1	409.15	693.58	521.76	454.09	258.57	281.09	285.03	688.78	703.28	540.19	242.88	591.22	153.34	775.05	529.06	493.56	435.55	1208.34	314.17	318.57	163.28	620.67	909.17	412.0	301.33	1037.29	947.83	764.36	674.59	785.88	909.17	620.67	733.19
HCFC1R1	0.0	0.51	1286.18	1037.29	1923.14	1437.15	1001.93	915.51	3103.19	2018.8	1233.75	2255.7	2018.8	1427.22	1143.1	1757.34	1143.1	2104.58	1844.76	1340.84	1551.09	1208.34	2417.67	1295.13	1081.39	3168.41	1242.34	1617.0	769.69	1977.24	1088.92	1151.06	1322.37	1769.57	2061.24	1295.13	1437.15	1457.23	2875.3	1359.57	1191.69	3349.13	3103.19	1561.89	1407.55	2796.65	1697.45	1313.23	1417.35	1832.01	2032.85	1561.89	748.61	1477.58	1159.07	1059.11	2451.44	2178.83	1487.87	1417.35	2163.77	1437.15	1167.14	1769.57	2104.58	2468.49	1936.53	1143.1	2287.2	2303.12	2075.59	3303.0	2061.24	2400.97	2384.37	2335.28
HDHD3	651.58	665.29	536.45	500.46	503.95	547.75	559.28	603.67	764.36	819.3	656.11	941.27	728.11	775.05	420.68	665.29	493.56	796.86	708.18	669.92	669.92	62.56	884.29	830.75	551.56	703.28	753.83	830.75	967.76	466.88	656.11	759.08	647.07	698.41	599.49	718.08	476.71	400.71	1001.93	995.0	397.93	1427.22	802.41	473.41	878.17	775.05	713.11	620.67	473.41	387.02	624.99	1030.12	571.05	540.19	387.02	444.72	1143.1	738.29	830.75	463.65	1044.52	525.39	497.0	595.34	723.08	890.44	651.58	733.19	813.63	1081.39	941.27	791.35	507.46	928.3	780.44	642.59
HIRIP3	0.0	0.01	265.87	242.88	483.38	291.04	232.94	191.67	376.41	336.79	249.73	363.56	323.03	197.09	197.09	343.89	217.27	323.03	277.2	229.72	269.6	279.14	392.44	248.0	269.6	432.53	204.07	295.11	123.5	271.48	249.73	248.0	212.78	255.0	289.02	251.48	211.31	231.32	409.15	277.2	224.97	420.68	395.18	279.14	241.19	381.68	366.09	237.86	320.8	260.38	332.14	255.0	149.12	343.89	214.27	187.71	423.61	325.29	260.38	305.55	305.55	287.01	169.07	312.0	373.81	353.59	339.14	260.38	426.57	438.59	392.44	438.59	307.69	336.79	420.68	343.89
IDNK	0.0	0.23	279.14	194.36	265.87	341.51	167.9	127.0	273.37	239.52	371.22	379.04	334.46	269.6	162.14	305.55	195.72	356.05	202.66	275.28	173.85	82.87	400.71	147.06	242.88	299.25	215.77	341.51	115.16	186.4	251.48	226.54	171.45	371.22	232.94	193.01	221.86	260.38	218.79	444.72	215.77	231.32	327.56	334.46	277.2	329.84	309.83	180.02	172.65	83.45	297.17	295.11	249.73	217.27	316.37	127.89	376.41	348.71	258.57	226.54	320.8	316.37	217.27	183.82	363.56	363.56	249.73	199.85	269.6	353.59	279.14	371.22	368.65	460.44	336.79	332.14
IFITM10	0.0	0.31	32.36	37.32	53.95	38.4	22.92	26.67	57.49	35.76	37.59	111.99	35.25	34.02	27.05	26.1	22.75	36.53	31.67	25.17	56.68	12.36	71.5	15.68	28.45	56.28	20.71	68.55	31.22	31.0	28.04	34.02	41.81	27.84	88.88	28.45	17.64	29.06	40.64	76.17	17.9	55.89	52.08	45.21	47.84	90.14	39.22	17.0	22.26	17.51	28.24	49.21	36.53	20.26	23.42	13.52	66.18	35.5	34.75	29.7	59.55	20.11	21.32	21.47	29.27	48.52	30.78	43.63	60.39	37.85	169.07	46.5	53.19	49.91	22.75	37.59
ILVBL	0.0	0.56	679.29	688.78	866.07	743.43	400.71	497.0	1119.56	1183.45	444.72	1208.34	830.75	878.17	587.13	915.51	521.76	698.41	830.75	785.88	890.44	457.25	902.89	656.11	647.07	1119.56	460.44	660.68	476.71	660.68	759.08	842.36	441.64	748.61	909.17	854.13	503.95	723.08	1015.93	1051.79	423.61	934.76	1066.48	738.29	848.22	896.64	616.37	607.87	866.07	507.46	830.75	579.04	629.35	579.04	507.46	500.46	1059.11	693.58	532.74	819.3	830.75	796.86	629.35	583.07	890.44	1081.39	981.29	684.02	1119.56	1167.14	1208.34	1233.75	941.27	1183.45	1001.93	981.29
IQSEC2	0.0	0.45	267.73	221.86	291.04	312.0	165.57	130.6	334.46	361.04	201.25	368.65	366.09	217.27	190.34	297.17	255.0	299.25	171.45	329.84	171.45	205.5	264.03	305.55	249.73	438.59	279.14	299.25	226.54	217.27	232.94	209.84	204.07	195.72	260.38	242.88	242.88	299.25	242.88	351.14	220.32	503.95	460.44	228.13	241.19	269.6	253.23	156.59	226.54	208.38	305.55	283.05	211.31	234.57	112.77	226.54	316.37	334.46	246.28	220.32	353.59	262.2	253.23	224.97	358.54	353.59	189.02	194.36	341.51	334.46	327.56	403.5	356.05	356.05	341.51	334.46
JPH3	0.0	0.27	2.36	1.46	2.46	6.36	1.13	2.14	23.42	6.06	1.11	19.97	4.58	9.2	1.25	3.06	3.76	3.96	0.85	2.34	1.57	1.19	4.74	2.89	4.17	3.59	1.5	4.06	1.93	2.25	3.63	4.54	1.87	7.46	2.71	2.23	0.89	3.03	2.2	2.25	1.95	11.64	5.28	2.61	3.0	2.27	3.35	1.23	0.0	0.44	3.82	2.27	2.27	1.83	0.75	1.2	2.61	6.62	0.47	2.25	1.89	2.89	3.86	0.8	2.66	10.31	3.59	1.22	2.78	3.38	8.0	7.51	7.06	7.11	4.13	4.94
KAT5	0.0	0.33	866.07	1250.98	1304.15	1199.98	1037.29	1037.29	1417.35	1313.23	1119.56	1250.98	1208.34	1259.69	909.17	1242.34	1037.29	1397.83	1191.69	1127.35	1183.45	921.88	1268.46	1225.22	1051.79	1216.75	1369.04	1167.14	995.0	1081.39	1051.79	1096.5	1175.27	866.07	1277.29	961.07	981.29	1008.9	1119.56	1277.29	860.08	1259.69	1369.04	1111.82	1250.98	1340.84	1250.98	974.5	1143.1	854.13	1331.57	1096.5	988.12	1304.15	1073.91	954.43	1216.75	1127.35	1242.34	1295.13	1001.93	1111.82	974.5	1143.1	1250.98	1331.57	1498.22	1119.56	1340.84	1540.37	1295.13	1331.57	1151.06	1216.75	1417.35	1088.92
KLHDC8B	0.0	0.67	579.04	441.64	928.3	521.76	236.21	361.04	764.36	718.08	769.69	819.3	607.87	753.83	371.22	684.02	525.39	748.61	500.46	587.13	480.04	381.68	802.41	607.87	547.75	872.1	373.81	967.76	183.82	500.46	417.77	543.96	476.71	480.04	603.67	567.1	521.76	642.59	571.05	679.29	361.04	718.08	669.92	698.41	921.88	607.87	397.93	379.04	454.09	289.02	583.07	1359.57	400.71	486.75	612.11	395.18	961.07	860.08	599.49	316.37	633.73	500.46	336.79	493.56	688.78	860.08	708.18	470.14	872.1	928.3	921.88	733.19	563.18	896.64	848.22	759.08
KLK3	0.0	0.0	772940.66	881742.8	1345768.59	1005860.33	682276.92	751804.53	731246.37	632189.57	1116072.03	610654.84	1212874.47	845824.19	459592.86	887875.81	585779.24	1163466.92	1116072.03	691801.16	794671.01	517068.97	751804.53	985160.01	447025.24	1055868.42	906531.99	726195.27	691801.16	1187913.85	706337.4	1093103.58	654483.73	746611.43	805764.22	881742.8	1327240.99	731246.37	1147449.11	925580.18	394590.4	1412675.8	822695.06	654483.73	1238359.56	1327240.99	1196176.45	542775.98	985160.01	589853.66	839981.65	869603.57	805764.22	741454.2	757033.75	381149.17	627822.72	627822.72	1063212.58	736332.6	1212874.47	1238359.56	654483.73	985160.01	627822.72	736332.6	828417.36	938500.81	691801.16	1019901.63	499455.67	925580.18	589853.66	1063212.58	554180.87	573724.06
LHPP	0.0	0.41	417.77	356.05	612.11	703.28	249.73	312.0	587.13	769.69	532.74	529.06	409.15	409.15	303.44	503.95	316.37	629.35	444.72	540.19	346.29	297.17	748.61	555.41	389.72	713.11	435.55	571.05	181.28	387.02	511.0	406.31	373.81	318.57	493.56	454.09	454.09	555.41	595.34	426.57	323.03	497.0	842.36	392.44	503.95	575.03	447.82	348.71	363.56	283.05	595.34	493.56	291.04	503.95	295.11	293.07	647.07	698.41	395.18	503.95	642.59	540.19	420.68	503.95	514.56	571.05	579.04	473.41	493.56	567.1	603.67	718.08	642.59	656.11	647.07	723.08
LRRC29	0.0	0.3	111.99	117.6	269.6	145.02	67.59	59.97	120.94	150.17	201.25	273.37	193.01	155.5	60.82	156.59	76.17	176.29	111.21	116.78	135.24	80.57	187.71	100.13	123.5	223.41	181.28	135.24	55.49	109.66	80.57	113.56	99.43	91.41	128.79	130.6	95.34	115.16	115.97	234.57	80.01	44.25	206.94	114.36	120.1	175.07	161.02	80.01	178.77	94.01	156.59	145.02	88.26	151.22	119.26	44.25	164.42	142.01	204.07	101.54	147.06	153.34	85.22	135.24	156.59	205.5	120.94	132.44	202.66	226.54	211.31	217.27	127.89	157.68	144.01	145.02
LSM1	0.0	0.77	723.08	872.1	1088.92	825.0	518.15	518.15	902.89	785.88	954.43	759.08	995.0	947.83	860.08	961.07	620.67	693.58	708.18	825.0	599.49	463.65	1051.79	620.67	748.61	981.29	825.0	878.17	444.72	723.08	656.11	629.35	830.75	967.76	860.08	718.08	642.59	860.08	808.0	825.0	854.13	1199.98	890.44	612.11	698.41	1088.92	775.05	796.86	397.93	674.59	896.64	802.41	703.28	555.41	1073.91	684.02	1167.14	854.13	995.0	808.0	1216.75	928.3	780.44	583.07	1037.29	947.83	1167.14	583.07	934.76	1059.11	738.29	1066.48	896.64	1119.56	1119.56	961.07
LYRM9	0.0	0.16	476.71	287.01	409.15	368.65	136.19	198.47	450.94	503.95	518.15	591.22	334.46	246.28	260.38	454.09	209.84	379.04	289.02	403.5	279.14	186.4	473.41	403.5	406.31	476.71	194.36	414.87	242.88	242.88	332.14	318.57	201.25	301.33	314.17	309.83	429.54	343.89	265.87	483.38	221.86	514.56	511.0	246.28	423.61	551.56	392.44	195.72	297.17	146.03	351.14	543.96	206.94	441.64	429.54	260.38	490.14	457.25	339.14	309.83	426.57	356.05	283.05	215.77	450.94	595.34	423.61	246.28	493.56	435.55	511.0	466.88	336.79	395.18	521.76	607.87
MAP7D1	1697.45	1242.34	2061.24	1963.57	2573.36	2075.59	1757.34	2004.85	2816.11	2004.85	2502.97	2591.27	2090.03	2335.28	1447.15	2701.35	1769.57	2627.46	1832.01	2178.83	1639.59	1350.18	2384.37	2573.36	1519.15	3235.01	1331.57	2255.7	1662.49	2004.85	2047.0	1519.15	1529.73	1963.57	1781.89	1540.37	1757.34	1832.01	2835.7	3124.78	1709.26	2591.27	2758.13	1331.57	2895.31	2148.82	1844.76	1369.04	2758.13	1519.15	2133.97	2255.7	1639.59	2178.83	2609.3	1477.58	2720.15	2004.85	3716.2	2104.58	3257.52	1806.78	1477.58	878.17	2701.35	3018.3	2520.38	1781.89	2627.46	2434.5	2855.44	2895.31	2287.2	1923.14	2367.9	2434.5
MAPK3	0.0	0.75	1167.14	1151.06	1191.69	1259.69	591.22	896.64	1378.57	2104.58	1096.5	1407.55	1242.34	941.27	1216.75	1216.75	1066.48	1259.69	954.43	1313.23	1037.29	1081.39	1685.71	1457.23	1073.91	1447.15	669.92	1322.37	764.36	1081.39	1143.1	974.5	1030.12	1135.2	1467.37	1208.34	1135.2	1259.69	1304.15	1135.2	967.76	1806.78	1745.2	1037.29	1233.75	1819.35	1268.46	872.1	1143.1	1127.35	1477.58	1119.56	974.5	884.29	928.3	1030.12	1378.57	1417.35	1250.98	1044.52	1030.12	988.12	1044.52	780.44	1437.15	1594.73	1313.23	1081.39	1605.83	1457.23	1685.71	1529.73	1617.0	1662.49	1757.34	1870.53
MEF2B	0.0	0.59	36.79	63.45	55.49	49.91	57.08	60.82	71.5	54.33	43.02	104.42	82.87	87.65	28.45	58.3	57.89	70.51	75.11	51.35	66.65	65.26	89.51	72.01	47.5	75.64	24.11	86.43	49.56	59.13	50.63	22.59	52.82	67.12	54.33	29.91	41.52	19.11	39.5	14.14	40.07	60.82	85.22	65.72	102.25	69.03	63.0	18.97	50.27	9.85	60.39	75.64	40.93	76.71	35.0	12.55	79.45	65.26	134.3	35.25	107.38	45.53	38.95	56.28	55.1	112.77	71.5	49.56	68.55	132.44	105.89	106.63	39.22	85.22	46.5	88.88
MIEF2	159.9	283.05	191.67	218.79	239.52	249.73	163.28	186.4	309.83	356.05	239.52	343.89	267.73	232.94	224.97	314.17	260.38	299.25	285.03	265.87	208.38	232.94	312.0	309.83	273.37	346.29	295.11	244.57	214.27	190.34	215.77	265.87	231.32	228.13	346.29	285.03	201.25	228.13	253.23	312.0	218.79	441.64	293.07	191.67	301.33	281.09	198.47	237.86	255.0	162.14	251.48	307.69	246.28	253.23	221.86	145.02	312.0	323.03	165.57	242.88	255.0	267.73	205.5	191.67	246.28	269.6	283.05	267.73	323.03	336.79	366.09	285.03	265.87	343.89	237.86	239.52
MLXIPL	0.0	0.32	6.89	35.76	34.26	12.0	7.06	5.36	42.41	17.38	16.03	73.03	12.18	52.08	11.13	21.16	21.01	25.54	8.51	21.16	19.25	24.28	25.17	15.22	18.16	17.9	16.27	17.25	10.79	7.0	24.81	17.25	10.88	49.91	18.03	10.08	3.53	14.56	14.35	35.76	15.0	38.4	28.04	27.44	19.97	22.43	11.64	5.36	6.16	3.44	23.76	18.84	21.78	9.78	14.35	7.51	78.89	15.22	19.97	22.43	35.5	7.34	7.4	17.0	30.78	59.13	16.75	19.53	25.54	100.83	67.59	11.73	30.78	23.42	26.47	24.99
MRPL11	0.0	0.52	669.92	708.18	988.12	902.89	813.63	612.11	1175.27	1167.14	525.39	1073.91	981.29	896.64	698.41	1059.11	723.08	1015.93	842.36	769.69	995.0	759.08	1023.0	836.53	884.29	1322.37	748.61	1051.79	830.75	934.76	961.07	785.88	665.29	1001.93	995.0	842.36	813.63	836.53	1304.15	819.3	698.41	1519.15	1340.84	915.51	854.13	934.76	947.83	854.13	688.78	1191.69	947.83	878.17	616.37	988.12	769.69	647.07	1519.15	1051.79	825.0	1008.9	1015.93	947.83	836.53	1037.29	1015.93	1167.14	1242.34	1088.92	1119.56	1216.75	1096.5	1295.13	1159.07	1572.76	1167.14	1066.48
MRPS18A	0.0	0.37	1023.0	1143.1	1721.16	1437.15	1143.1	1030.12	2303.12	2133.97	1081.39	2133.97	1745.2	1685.71	1268.46	1674.06	1073.91	1639.59	1268.46	1259.69	1242.34	1508.65	1508.65	1529.73	1143.1	2537.92	1143.1	1697.45	902.89	1709.26	1183.45	1111.82	1191.69	1001.93	1519.15	1936.53	1059.11	1477.58	2032.85	2434.5	934.76	1977.24	1950.0	1015.93	2485.67	1832.01	1216.75	1066.48	1268.46	1540.37	1733.13	1583.71	947.83	1143.1	1427.22	860.08	2224.63	1594.73	1662.49	1259.69	2104.58	1208.34	1066.48	1457.23	1781.89	2090.03	2178.83	1583.71	1936.53	3395.89	1883.54	2178.83	1991.0	2032.85	1870.53	1781.89
MSRB2	0.0	0.61	878.17	728.11	1519.15	1015.93	1111.82	379.04	1697.45	941.27	1096.5	1127.35	1277.29	1111.82	708.18	1066.48	656.11	1407.55	1044.52	872.1	967.76	633.73	1551.09	1051.79	902.89	1540.37	915.51	1216.75	674.59	1331.57	928.3	902.89	791.35	915.51	981.29	884.29	1208.34	1030.12	1709.26	1066.48	616.37	1721.16	1508.65	753.83	954.43	728.11	1286.18	854.13	860.08	830.75	1119.56	1369.04	563.18	1111.82	1008.9	713.11	1781.89	854.13	866.07	633.73	2104.58	1167.14	616.37	1487.87	1388.16	1551.09	1388.16	1104.13	1225.22	1167.14	1030.12	1457.23	1008.9	1832.01	1023.0	1183.45
NAT14	0.0	0.33	177.53	139.07	307.69	283.05	127.0	176.29	466.88	400.71	204.07	381.68	291.04	277.2	162.14	392.44	211.31	392.44	220.32	283.05	178.77	146.03	470.14	180.02	232.94	450.94	146.03	341.51	214.27	239.52	214.27	237.86	163.28	163.28	387.02	267.73	169.07	255.0	392.44	258.57	215.77	665.29	476.71	273.37	336.79	463.65	363.56	159.9	320.8	166.73	323.03	253.23	186.4	198.47	176.29	208.38	426.57	329.84	187.71	255.0	356.05	242.88	185.11	281.09	397.93	417.77	384.34	198.47	412.0	403.5	368.65	483.38	450.94	348.71	361.04	303.44
NGFRAP1	0.0	1.0	4181.07	3742.05	5672.41	7382.04	3280.18	5517.27	7081.29	5517.27	3955.48	5403.7	5954.47	4972.34	5041.77	5479.15	3589.58	7130.55	5292.48	4836.35	5831.91	3639.7	6983.79	5954.47	4450.27	7857.29	4512.4	6037.61	2796.65	6079.61	4736.79	5076.84	3928.15	6887.62	6121.9	4450.27	6561.36	4802.93	6792.79	6121.9	5006.93	10512.82	7433.4	5255.91	5633.22	7857.29	5672.41	3589.58	5076.84	6079.61	6250.56	5403.7	3212.66	6037.61	6840.04	4388.98	8305.36	6037.61	2701.35	4268.94	5633.22	5292.48	4010.71	5292.48	6745.86	7280.4	5292.48	5183.54	6516.03	6652.97	4802.93	6607.01	5954.47	7485.11	6337.83	6426.31
NMB	0.0	0.39	82.87	94.67	180.02	58.71	53.19	20.86	135.24	114.36	80.01	101.54	96.01	125.24	35.0	97.36	51.71	61.25	59.13	77.79	57.49	42.41	98.73	41.22	92.05	98.73	48.52	149.12	48.18	50.27	47.17	77.79	66.18	70.01	50.63	56.28	53.57	70.01	105.15	87.65	49.21	60.39	134.3	96.01	98.73	64.8	93.35	45.21	93.35	112.77	85.22	82.87	69.03	77.25	55.89	69.52	167.9	67.12	76.17	101.54	74.06	75.11	105.89	58.71	127.89	94.67	67.59	75.64	94.67	103.69	81.71	125.24	145.02	180.02	75.11	92.05
NPM2	0.0	0.28	118.43	206.94	185.11	126.12	68.55	108.9	297.17	166.73	223.41	358.54	223.41	295.11	177.53	181.28	159.9	246.28	98.04	111.21	218.79	156.59	228.13	114.36	218.79	285.03	150.17	166.73	47.5	169.07	136.19	24.63	186.4	38.12	223.41	63.0	181.28	303.44	218.79	426.57	181.28	253.23	457.25	68.55	185.11	281.09	183.82	175.07	108.9	92.05	239.52	201.25	127.89	115.97	273.37	156.59	507.46	199.85	299.25	172.65	269.6	102.97	75.64	171.45	215.77	384.34	269.6	165.57	312.0	285.03	262.2	182.55	289.02	371.22	348.71	248.0
NT5C	0.0	0.93	813.63	656.11	1508.65	753.83	860.08	693.58	1135.2	1175.27	1111.82	1685.71	961.07	961.07	301.33	1216.75	507.46	988.12	902.89	791.35	638.15	297.17	1467.37	928.3	733.19	1369.04	514.56	1331.57	753.83	1008.9	988.12	830.75	733.19	665.29	995.0	1191.69	684.02	791.35	819.3	1519.15	567.1	1447.15	1583.71	934.76	1159.07	1519.15	1159.07	497.0	780.44	521.76	928.3	1242.34	796.86	813.63	728.11	381.68	1769.57	941.27	961.07	764.36	1794.29	587.13	450.94	563.18	1313.23	1583.71	1697.45	708.18	1388.16	1697.45	1407.55	1529.73	1313.23	1286.18	1199.98	1088.92
PALM	0.0	0.73	518.15	376.41	669.92	441.64	409.15	214.27	890.44	674.59	603.67	665.29	441.64	555.41	303.44	571.05	551.56	607.87	563.18	642.59	497.0	466.88	785.88	559.28	414.87	780.44	255.0	629.35	312.0	493.56	389.72	435.55	336.79	503.95	612.11	417.77	438.59	525.39	718.08	543.96	414.87	921.88	1119.56	500.46	713.11	656.11	503.95	351.14	529.06	101.54	507.46	764.36	297.17	376.41	341.51	334.46	961.07	934.76	466.88	511.0	591.22	303.44	368.65	309.83	743.43	967.76	540.19	435.55	854.13	674.59	1051.79	698.41	454.09	497.0	620.67	995.0
PC	0.0	0.47	616.37	660.68	1127.35	457.25	463.65	532.74	934.76	780.44	1044.52	703.28	1096.5	665.29	275.28	785.88	656.11	961.07	651.58	656.11	633.73	400.71	780.44	836.53	514.56	878.17	406.31	961.07	325.29	825.0	563.18	563.18	403.5	884.29	620.67	860.08	629.35	1001.93	1023.0	854.13	435.55	1225.22	1119.56	358.54	848.22	400.71	802.41	507.46	791.35	651.58	902.89	1498.22	633.73	486.75	665.29	395.18	1001.93	1066.48	583.07	791.35	1397.83	409.15	480.04	503.95	884.29	1199.98	1037.29	693.58	1008.9	1191.69	633.73	1199.98	1208.34	878.17	571.05	684.02
PCBP4	0.0	0.69	616.37	638.15	775.05	733.19	688.78	836.53	1044.52	941.27	620.67	1561.89	890.44	1015.93	379.04	791.35	620.67	1037.29	1119.56	842.36	679.29	591.22	1143.1	775.05	713.11	1037.29	669.92	909.17	218.79	791.35	612.11	753.83	819.3	698.41	796.86	780.44	563.18	698.41	1081.39	1447.15	647.07	995.0	1159.07	718.08	1015.93	872.1	743.43	511.0	669.92	921.88	780.44	813.63	547.75	708.18	674.59	529.06	995.0	848.22	954.43	995.0	928.3	703.28	507.46	698.41	1225.22	1250.98	1151.06	802.41	934.76	1111.82	1322.37	1023.0	1001.93	967.76	830.75	928.3
PHF1	0.0	0.44	1745.2	2032.85	1963.57	1781.89	1417.35	1167.14	2758.13	2090.03	2178.83	2796.65	2240.11	2148.82	1119.56	1991.0	1388.16	3491.39	1781.89	1991.0	2004.85	1088.92	1857.6	2271.4	1832.01	2468.49	2090.03	1870.53	1781.89	1594.73	1819.35	1950.0	1781.89	1457.23	1467.37	1769.57	1662.49	1674.06	2061.24	1883.54	1268.46	3190.46	2351.53	1551.09	2367.9	2520.38	2075.59	1437.15	1369.04	830.75	2032.85	2240.11	2224.63	1685.71	1594.73	1199.98	2148.82	1857.6	2271.4	1733.13	2193.99	1794.29	1350.18	1781.89	2193.99	2720.15	2400.97	1745.2	2384.37	2997.45	3039.3	2224.63	1832.01	1963.57	2367.9	2075.59
PINK1	0.0	0.47	1651.0	1199.98	1639.59	1844.76	1175.27	1378.57	1963.57	1844.76	1378.57	1561.89	1467.37	1427.22	1167.14	1477.58	1417.35	2163.77	1605.83	1250.98	1127.35	1322.37	1572.76	2384.37	1127.35	1806.78	1295.13	1963.57	1066.48	1304.15	1259.69	1651.0	1191.69	2119.22	1340.84	1407.55	1457.23	1709.26	1617.0	1909.85	896.64	1883.54	1950.0	1378.57	1977.24	2555.58	1447.15	1104.13	1388.16	1225.22	1909.85	2384.37	1437.15	1313.23	1216.75	1216.75	1674.06	1844.76	1015.93	1378.57	1923.14	1066.48	1073.91	1104.13	1662.49	1950.0	1844.76	1250.98	1844.76	1844.76	1721.16	2104.58	1794.29	2555.58	2090.03	2163.77
PPIE	0.0	0.51	995.0	995.0	1487.87	1277.29	1073.91	1059.11	1467.37	1233.75	988.12	1447.15	1340.84	1111.82	1008.9	1340.84	967.76	1191.69	1233.75	1073.91	1081.39	961.07	1331.57	1199.98	1104.13	1427.22	921.88	1059.11	941.27	1250.98	1175.27	1044.52	1135.2	1015.93	1295.13	1208.34	1066.48	1167.14	1529.73	1151.06	1059.11	1551.09	1407.55	1259.69	1313.23	1268.46	1304.15	1242.34	1104.13	1183.45	1437.15	1183.45	967.76	1225.22	1066.48	1001.93	1721.16	1066.48	1135.2	1250.98	1322.37	1340.84	1008.9	1313.23	1397.83	1397.83	1508.65	1191.69	1388.16	1651.0	1216.75	1359.57	1199.98	1487.87	1540.37	1268.46
PPP1R13B	0.0	0.72	813.63	718.08	728.11	723.08	575.03	728.11	981.29	878.17	723.08	1259.69	796.86	753.83	486.75	1340.84	728.11	836.53	941.27	854.13	830.75	624.99	620.67	1111.82	764.36	1023.0	563.18	620.67	813.63	674.59	947.83	934.76	346.29	503.95	583.07	785.88	595.34	759.08	884.29	1437.15	633.73	1313.23	1073.91	769.69	866.07	514.56	1023.0	698.41	753.83	320.8	825.0	791.35	633.73	633.73	463.65	642.59	1143.1	571.05	1051.79	848.22	1008.9	988.12	802.41	595.34	915.51	1111.82	1023.0	775.05	1008.9	1268.46	1242.34	967.76	674.59	693.58	813.63	656.11
