	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.BC.A10R.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.UTHO.2426.SM.4JBHD	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.RU72.1426.SM.46MUF	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.12KS4.1326.SM.5LUB3	GTEX.13PVR.0126.SM.5S2PY	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.11WQC.0726.SM.5EQMR	GTEX.NFK9.2226.SM.3MJGP	TCGA.EM.A3FR.01A.11R.A220.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CW.01A.11R.A19O.07	TCGA.EL.A3CY.01A.11R.A19O.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.EL.A3ZL.11A.11R.A23N.07	TCGA.FY.A3TY.11A.12R.A22U.07	TCGA.EL.A3MW.11A.11R.A20F.07	TCGA.KS.A41I.11A.11R.A23N.07	TCGA.EL.A3GZ.11A.11R.A20F.07	TCGA.BJ.A2N8.11A.11R.A18C.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3N3.11A.11R.A20F.07	TCGA.BJ.A2N9.11A.11R.A18C.07	TCGA.EL.A3T2.11A.11R.A22L.07	TCGA.BJ.A2N7.11A.11R.A18C.07	GTEX.S7SF.0226.SM.5SI7H	GTEX.WOFL.0726.SM.3MJG4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.YB5K.0526.SM.5LUAS	GTEX.XUJ4.0726.SM.4BOOP	GTEX.13OVI.0826.SM.5KLZ8
CTC-236F12.4	3.14	8.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.73	0.0	0.0	0.0	0.0	5.73	0.0	4.06	0.0	0.0	0.0	23.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.56	4.98	0.0	0.0	0.0	8.38	18.84	6.06	0.0	0.0	9.85	0.0	0.0	0.0	0.0	0.0	0.0	27.84	0.0	0.0	7.11	2.1	21.16	33.3	29.27	17.77	33.3	18.84	50.63	51.71	43.02	22.59	32.82	23.93	40.93	21.16	7.94	38.12	26.67	31.22	28.86	45.21	23.76	53.19	16.15	20.41	40.07
CYTH2	780.44	575.03	536.45	547.75	463.65	629.35	514.56	624.99	450.94	941.27	738.29	629.35	571.05	450.94	400.71	483.38	309.83	406.31	420.68	426.57	1417.35	603.67	457.25	595.34	426.57	848.22	503.95	305.55	536.45	713.11	444.72	356.05	379.04	348.71	1044.52	575.03	884.29	490.14	412.0	651.58	934.76	316.37	1051.79	329.84	356.05	703.28	591.22	444.72	368.65	1457.23	1936.53	1977.24	1733.13	1806.78	1250.98	1519.15	2591.27	1936.53	1909.85	2240.11	1883.54	1685.71	1674.06	1806.78	1794.29	2664.15	1977.24	1857.6	2090.03	1662.49	2417.67	1769.57	1561.89	1781.89	2004.85
DALRD3	647.07	514.56	376.41	417.77	470.14	529.06	358.54	412.0	450.94	521.76	341.51	318.57	332.14	258.57	447.82	444.72	242.88	128.79	368.65	218.79	848.22	291.04	251.48	403.5	463.65	518.15	343.89	253.23	387.02	305.55	616.37	293.07	285.03	426.57	651.58	223.41	587.13	466.88	414.87	651.58	450.94	265.87	521.76	423.61	325.29	285.03	447.82	226.54	624.99	1844.76	2004.85	1286.18	1359.57	961.07	1175.27	1191.69	1259.69	1242.34	1044.52	1378.57	1191.69	1088.92	1151.06	974.5	1498.22	1331.57	1143.1	1286.18	1331.57	796.86	1322.37	1519.15	1313.23	1199.98	1304.15
DDAH2	1378.57	1225.22	1073.91	660.68	624.99	1225.22	769.69	1066.48	1059.11	3081.75	392.44	1572.76	660.68	555.41	423.61	1733.13	348.71	500.46	1044.52	995.0	2502.97	1250.98	1066.48	642.59	1199.98	1250.98	684.02	232.94	1096.5	703.28	802.41	483.38	624.99	579.04	1015.93	555.41	591.22	791.35	1044.52	2018.8	1295.13	400.71	1313.23	339.14	988.12	866.07	2573.36	1044.52	1313.23	2367.9	2895.31	3349.13	3146.52	2573.36	2537.92	2485.67	3018.3	3235.01	2976.74	3103.19	3928.15	2400.97	2573.36	2485.67	3395.89	3372.43	2720.15	3060.45	2178.83	2935.74	2271.4	3639.7	3443.31	2855.44	1794.29
DIRC3	1.58	2.94	1.95	0.0	1.73	1.83	0.0	0.0	0.75	5.06	1.99	0.0	1.33	2.58	1.77	0.0	0.59	4.62	0.87	2.46	10.55	0.0	2.48	0.19	0.46	3.96	0.14	1.62	0.99	2.92	2.39	0.2	1.87	0.16	6.16	1.53	2.61	7.17	1.66	2.84	1.11	3.0	0.85	0.16	1.79	5.02	4.1	1.91	0.49	11.82	14.03	65.26	33.06	37.59	48.18	26.67	57.08	47.84	44.57	31.22	47.5	18.97	26.67	19.53	17.38	49.91	35.0	171.45	36.27	47.17	157.68	10.88	57.08	301.33	186.4
DNAL4	221.86	271.48	159.9	52.82	154.42	303.44	112.77	105.89	189.02	241.19	202.66	116.78	121.79	78.89	167.9	146.03	105.15	56.68	106.63	127.0	406.31	48.52	130.6	44.89	242.88	285.03	191.67	76.71	127.0	86.43	291.04	108.9	118.43	170.25	336.79	107.38	234.57	157.68	134.3	175.07	208.38	98.04	307.69	170.25	125.24	130.6	134.3	115.16	255.0	733.19	1498.22	293.07	633.73	507.46	567.1	842.36	1008.9	884.29	743.43	718.08	808.0	909.17	769.69	612.11	928.3	759.08	961.07	947.83	633.73	723.08	1088.92	902.89	921.88	921.88	688.78
DOK5	54.33	32.36	4.58	45.85	2.68	13.72	7.46	8.78	14.67	23.08	21.16	1.75	6.57	15.56	4.31	3.14	14.14	3.44	6.01	2.32	84.63	3.14	14.56	14.35	8.25	12.36	7.46	0.0	19.82	8.45	19.68	0.0	8.13	2.92	46.5	3.06	46.18	3.96	0.0	3.79	7.06	5.54	42.71	3.69	7.75	7.17	6.73	6.89	19.82	4.62	9.7	53.95	106.63	72.52	85.82	150.17	172.65	140.04	143.01	146.03	148.09	65.26	102.25	132.44	91.41	194.36	116.78	48.52	130.6	169.07	215.77	126.12	323.03	131.51	71.0
DTX3	162.14	73.54	72.01	71.5	53.19	154.42	66.18	71.0	81.71	299.25	301.33	30.56	148.09	36.53	55.89	42.41	24.11	37.32	76.17	95.34	4239.45	18.7	29.7	7.28	91.41	133.36	154.42	28.04	127.89	157.68	120.94	37.05	82.29	51.35	624.99	29.06	156.59	133.36	60.39	194.36	363.56	27.84	397.93	34.75	38.95	105.89	94.01	78.34	169.07	934.76	1167.14	954.43	1081.39	733.19	872.1	947.83	1529.73	1498.22	1159.07	1088.92	1216.75	974.5	981.29	1104.13	1111.82	1508.65	1388.16	1259.69	1286.18	860.08	1151.06	1651.0	1191.69	1199.98	1111.82
EFEMP2	780.44	165.57	277.2	193.01	166.73	620.67	255.0	325.29	271.48	1175.27	878.17	211.31	521.76	183.82	152.28	323.03	193.01	120.1	170.25	267.73	2816.11	96.01	159.9	173.85	466.88	384.34	305.55	89.51	246.28	483.38	316.37	117.6	201.25	96.01	2032.85	132.44	624.99	248.0	72.01	599.49	1340.84	70.01	1242.34	105.15	143.01	389.72	231.32	279.14	483.38	981.29	2609.3	3257.52	2739.08	2133.97	1991.0	2520.38	2645.74	2720.15	2664.15	2319.15	2976.74	2468.49	2367.9	2193.99	3103.19	3372.43	2758.13	3060.45	3443.31	1769.57	1794.29	3491.39	2935.74	2520.38	2400.97
EFR3B	0.0	1.48	0.68	0.0	0.0	0.93	0.58	2.48	2.01	4.39	2.84	2.43	1.06	3.23	1.28	0.13	3.0	1.58	1.81	1.75	6.52	1.41	2.61	0.57	0.84	0.89	2.81	0.57	1.58	0.55	0.88	0.58	5.59	1.69	1.13	0.52	1.23	0.56	0.14	1.38	2.92	0.57	2.23	0.91	0.18	3.86	2.68	3.69	2.14	0.26	5.02	24.81	31.67	22.75	52.08	43.32	12.74	22.26	47.84	14.24	27.05	135.24	46.5	22.26	44.89	12.36	31.45	35.25	27.44	75.11	33.78	17.13	15.91	45.21	58.3
EIF3E	4328.55	7857.29	3103.19	3349.13	3349.13	5147.73	3349.13	2875.3	4095.0	5329.3	4358.66	3212.66	2502.97	2997.45	1870.53	2720.15	8022.41	3060.45	3372.43	2591.27	12853.63	4937.99	4937.99	2032.85	4239.45	4358.66	3589.58	2796.65	3665.02	3235.01	2997.45	3212.66	2193.99	6699.25	6164.49	2956.17	7382.04	2451.44	3589.58	1151.06	5594.3	4704.07	5791.62	1617.0	3303.0	3280.18	1896.65	3190.46	4239.45	10512.82	7130.55	6607.01	6983.79	5594.3	5831.91	6935.54	7485.11	6294.04	6745.86	6250.56	7180.15	5711.87	6607.01	7130.55	5594.3	7803.01	5255.91	8658.09	5995.9	5791.62	7130.55	5366.37	7695.57	5403.7	7589.61
EIF3H	2367.9	3716.2	1733.13	1769.57	1628.26	2271.4	1651.0	1806.78	1794.29	2417.67	3768.09	2335.28	1991.0	1963.57	1250.98	1498.22	3874.05	2591.27	1870.53	2075.59	4450.27	2434.5	2855.44	1709.26	1819.35	2303.12	3039.3	2004.85	1936.53	2367.9	2004.85	2209.26	2133.97	1883.54	3491.39	2061.24	3665.02	1477.58	2133.97	647.07	2777.33	3124.78	3146.52	1819.35	1857.6	2178.83	1508.65	2758.13	1794.29	4481.23	3564.78	3982.99	4450.27	3716.2	4358.66	4639.29	4239.45	4038.61	3690.52	3982.99	4328.55	4066.71	4512.4	4095.0	3742.05	4512.4	3690.52	5006.93	3564.78	3742.05	4268.94	3847.29	4152.18	3639.7	3794.3
ELMO3	161.02	117.6	109.66	119.26	122.64	186.4	120.94	84.63	105.89	329.84	47.5	363.56	121.79	28.24	258.57	392.44	22.43	2.89	57.89	162.14	728.11	63.45	100.13	173.85	92.05	486.75	32.82	36.79	94.01	54.72	48.87	84.63	185.11	83.45	454.09	47.5	156.59	49.21	69.03	325.29	109.66	113.56	127.89	127.0	59.97	88.88	132.44	10.88	208.38	836.53	872.1	775.05	575.03	420.68	420.68	400.71	457.25	426.57	483.38	409.15	476.71	476.71	397.93	287.01	514.56	514.56	547.75	733.19	435.55	256.78	470.14	591.22	429.54	559.28	651.58
ENKD1	381.68	305.55	228.13	145.02	366.09	420.68	291.04	178.77	248.0	264.03	269.6	95.34	209.84	90.14	151.22	173.85	61.68	150.17	223.41	197.09	638.15	89.51	198.47	120.1	361.04	341.51	265.87	166.73	165.57	221.86	395.18	162.14	140.04	275.28	237.86	132.44	289.02	323.03	217.27	400.71	351.14	146.03	223.41	176.29	158.79	281.09	187.71	140.04	209.84	603.67	830.75	638.15	651.58	392.44	536.45	620.67	688.78	743.43	642.59	713.11	785.88	629.35	698.41	638.15	743.43	688.78	723.08	785.88	708.18	460.44	902.89	785.88	703.28	808.0	684.02
EVA1B	414.87	115.97	187.71	98.04	108.14	483.38	67.12	139.07	158.79	612.11	271.48	201.25	279.14	143.01	67.12	201.25	55.1	167.9	236.21	189.02	1225.22	80.01	191.67	78.89	125.24	182.55	157.68	89.51	255.0	183.82	149.12	103.69	236.21	127.0	271.48	163.28	409.15	59.13	110.43	198.47	223.41	120.1	616.37	83.45	66.18	285.03	236.21	144.01	191.67	325.29	934.76	1551.09	878.17	669.92	473.41	551.56	260.38	412.0	532.74	1127.35	540.19	358.54	616.37	323.03	551.56	358.54	332.14	1322.37	961.07	316.37	796.86	463.65	543.96	723.08	830.75
EVA1C	583.07	31.9	84.04	236.21	38.67	147.06	253.23	97.36	145.02	162.14	733.19	26.47	384.34	198.47	27.25	10.0	88.88	287.01	108.14	211.31	1015.93	24.99	46.5	218.79	100.13	228.13	28.86	134.3	50.63	133.36	78.34	52.08	137.14	103.69	353.59	96.68	291.04	285.03	309.83	109.66	305.55	120.1	61.25	33.78	154.42	170.25	48.18	224.97	135.24	1583.71	563.18	559.28	764.36	1073.91	665.29	591.22	764.36	607.87	629.35	607.87	612.11	642.59	830.75	633.73	759.08	713.11	563.18	547.75	825.0	708.18	351.14	514.56	848.22	490.14	909.17
FAM189A2	41.52	6.94	6.84	3.41	1.5	14.35	11.91	9.63	4.62	31.0	22.75	5.5	18.97	4.21	5.92	13.22	23.42	7.0	4.43	6.11	102.97	0.0	9.34	5.36	6.52	11.3	27.25	3.76	17.51	9.63	13.83	4.82	6.78	2.14	55.89	2.29	40.36	3.08	3.82	3.79	44.89	7.46	44.57	2.51	0.93	10.08	13.52	10.0	13.32	1059.11	2835.7	1628.26	2384.37	830.75	1977.24	2573.36	3124.78	3443.31	3280.18	2816.11	3847.29	1794.29	1757.34	3257.52	2956.17	3665.02	3325.99	3018.3	2777.33	1923.14	3257.52	3540.14	4152.18	5329.3	4481.23
FAM220A	198.47	149.12	126.12	82.29	80.01	145.02	73.03	104.42	115.16	126.12	158.79	111.99	59.97	81.14	86.43	101.54	132.44	206.94	115.97	96.68	314.17	96.01	140.04	70.51	104.42	103.69	152.28	66.65	150.17	91.41	115.16	105.15	60.82	108.9	202.66	89.51	171.45	144.01	102.25	99.43	124.37	88.88	182.55	75.11	71.0	82.29	97.36	120.1	138.1	327.56	406.31	228.13	384.34	220.32	376.41	406.31	346.29	387.02	457.25	327.56	423.61	295.11	353.59	264.03	348.71	293.07	305.55	423.61	312.0	358.54	417.77	381.68	435.55	387.02	351.14
FAM81A	5.77	10.55	3.35	5.5	2.51	3.17	6.16	2.89	17.64	9.2	3.99	6.52	0.73	0.0	1.66	6.11	2.73	0.0	5.23	0.6	40.64	4.62	6.11	0.14	19.39	2.29	3.92	0.0	9.78	0.13	0.58	2.63	4.78	0.09	1.43	0.0	8.32	0.14	9.2	9.27	21.94	1.28	10.0	0.11	3.69	3.32	2.39	0.65	17.64	107.38	26.67	21.16	122.64	35.0	67.12	77.25	35.25	67.59	48.52	61.25	47.5	62.12	50.98	50.27	66.18	18.29	72.01	54.72	65.26	98.04	94.67	38.67	39.22	31.67	47.17
FCHSD1	49.56	55.89	18.43	59.55	15.22	76.71	24.63	38.95	35.76	149.12	75.11	31.67	48.52	10.47	23.42	45.85	36.01	11.04	33.54	35.76	305.55	14.67	32.59	17.25	76.17	57.08	112.77	12.64	69.03	47.5	65.72	17.51	31.22	10.47	271.48	16.27	229.72	14.67	16.03	102.25	91.41	18.29	185.11	36.27	8.32	27.84	89.51	26.86	36.01	103.69	111.21	759.08	543.96	665.29	470.14	329.84	417.77	583.07	307.69	674.59	381.68	271.48	470.14	483.38	457.25	376.41	318.57	547.75	620.67	249.73	536.45	909.17	191.67	551.56	486.75
FGD1	23.25	32.82	15.8	14.24	8.58	20.56	7.57	14.45	22.43	34.51	15.45	15.0	6.16	9.7	6.89	18.16	9.2	11.91	11.91	26.86	73.03	10.39	22.26	9.63	28.04	9.2	22.59	7.4	18.29	17.64	9.48	6.41	6.89	7.82	20.86	7.0	19.97	5.15	15.91	23.59	73.54	9.13	35.0	5.28	7.51	11.13	15.91	7.4	37.85	71.0	93.35	101.54	80.57	92.05	75.11	76.71	87.65	96.01	105.89	67.59	118.43	91.41	72.52	85.22	72.01	127.89	94.01	120.94	118.43	77.25	111.21	105.15	101.54	92.05	88.88
FHOD1	406.31	131.51	100.13	108.14	23.76	189.02	124.37	113.56	147.06	376.41	191.67	118.43	186.4	99.43	59.13	132.44	86.43	52.08	166.73	100.83	612.11	61.25	62.12	32.82	142.01	223.41	173.85	73.54	113.56	209.84	142.01	106.63	181.28	90.77	194.36	45.21	624.99	74.58	55.89	144.01	348.71	46.84	363.56	50.63	31.0	115.97	140.04	134.3	253.23	463.65	961.07	2255.7	988.12	1378.57	780.44	620.67	854.13	860.08	591.22	921.88	780.44	633.73	638.15	808.0	753.83	753.83	703.28	825.0	1397.83	454.09	808.0	902.89	587.13	638.15	1216.75
FLT3LG	273.37	273.37	93.35	108.14	113.56	239.52	106.63	114.36	85.82	271.48	143.01	148.09	146.03	41.22	123.5	236.21	46.84	35.76	111.21	69.03	603.67	182.55	157.68	84.63	353.59	154.42	246.28	55.89	115.97	75.64	279.14	80.01	94.67	96.68	217.27	55.1	409.15	129.69	57.08	229.72	220.32	36.79	151.22	163.28	85.22	57.49	212.78	100.83	289.02	381.68	301.33	476.71	490.14	599.49	651.58	529.06	267.73	289.02	316.37	665.29	309.83	147.06	503.95	291.04	928.3	332.14	206.94	320.8	318.57	194.36	334.46	775.05	389.72	258.57	368.65
FOXL1	26.28	3.96	0.75	0.0	0.68	1.83	0.64	0.77	5.23	2.58	6.94	3.06	4.17	1.11	0.26	0.0	0.79	0.39	1.08	1.04	40.36	0.0	0.0	0.0	1.31	8.38	0.93	0.0	13.83	4.35	7.75	0.0	0.0	0.0	27.25	1.07	10.88	2.51	0.0	4.21	1.77	0.0	23.08	1.45	0.85	5.06	0.28	1.11	4.46	14.78	7.51	31.22	16.15	31.9	9.7	13.83	7.11	16.75	10.08	20.26	3.76	4.86	12.09	7.4	7.06	19.97	4.74	15.8	41.52	33.3	1.69	12.0	11.3	11.91	16.27
FRZB	167.9	55.49	22.59	59.55	10.31	19.53	25.91	23.76	27.44	125.24	15.56	8.58	26.47	31.45	18.16	13.62	41.52	27.44	23.25	28.45	336.79	10.0	145.02	6.01	41.52	22.75	60.82	9.13	80.01	42.71	28.24	9.85	33.06	4.82	191.67	29.06	41.81	16.15	10.55	35.0	47.5	9.7	105.89	4.43	12.93	33.78	20.41	36.79	114.36	96.01	194.36	414.87	275.28	551.56	242.88	379.04	143.01	194.36	181.28	403.5	150.17	98.04	234.57	138.1	194.36	127.89	49.21	197.09	103.69	55.49	199.85	215.77	208.38	395.18	63.0
FUZ	211.31	205.5	255.0	144.01	299.25	341.51	147.06	170.25	183.82	674.59	191.67	102.25	231.32	49.91	202.66	251.48	42.41	36.01	500.46	115.97	703.28	187.71	551.56	69.52	348.71	363.56	435.55	71.5	432.53	94.67	226.54	88.88	177.53	40.36	218.79	43.63	63.45	329.84	551.56	224.97	212.78	109.66	624.99	409.15	232.94	353.59	457.25	118.43	244.57	450.94	813.63	785.88	620.67	297.17	507.46	559.28	921.88	656.11	563.18	651.58	555.41	775.05	624.99	483.38	713.11	599.49	684.02	941.27	536.45	463.65	896.64	909.17	638.15	890.44	616.37
GBGT1	54.33	32.13	19.11	17.77	7.57	67.59	15.8	23.42	31.22	102.97	171.45	28.45	33.54	35.5	12.09	33.3	23.42	34.26	26.28	34.02	208.38	15.45	35.0	13.12	20.71	84.63	55.49	15.56	46.18	18.97	21.01	16.27	46.84	8.13	73.54	35.5	127.0	13.62	6.89	28.04	45.53	24.11	107.38	8.92	15.45	35.76	40.36	45.85	20.11	63.45	90.77	289.02	190.34	339.14	256.78	232.94	221.86	156.59	170.25	260.38	120.1	90.77	264.03	165.57	255.0	132.44	139.07	237.86	204.07	170.25	197.09	358.54	182.55	291.04	90.14
GEMIN8	371.22	327.56	246.28	234.57	256.78	358.54	253.23	232.94	295.11	381.68	503.95	201.25	295.11	237.86	205.5	256.78	346.29	182.55	253.23	264.03	457.25	193.01	289.02	289.02	293.07	314.17	414.87	221.86	303.44	212.78	540.19	309.83	157.68	320.8	444.72	285.03	381.68	289.02	198.47	165.57	320.8	563.18	353.59	232.94	186.4	260.38	256.78	183.82	223.41	409.15	743.43	607.87	759.08	438.59	642.59	629.35	708.18	836.53	669.92	733.19	629.35	743.43	684.02	665.29	713.11	718.08	780.44	738.29	813.63	575.03	743.43	583.07	819.3	607.87	669.92
GGT7	181.28	108.14	164.42	158.79	181.28	166.73	143.01	166.73	105.89	255.0	241.19	356.05	158.79	74.58	226.54	224.97	103.69	90.14	208.38	100.83	450.94	96.01	161.02	228.13	143.01	209.84	189.02	109.66	217.27	110.43	195.72	208.38	170.25	170.25	305.55	94.01	162.14	88.88	153.34	339.14	206.94	102.97	373.81	191.67	104.42	177.53	273.37	132.44	249.73	525.39	473.41	599.49	559.28	325.29	500.46	507.46	665.29	693.58	579.04	559.28	607.87	599.49	624.99	480.04	642.59	713.11	532.74	620.67	620.67	507.46	738.29	723.08	647.07	1051.79	684.02
GP1BB	24.81	8.58	4.46	1.01	10.88	9.27	3.2	11.82	17.9	20.11	4.94	7.94	7.82	16.03	6.73	9.48	1.97	0.0	5.06	0.25	64.34	1.48	19.25	12.93	8.19	20.11	12.93	2.66	18.56	2.81	22.1	4.86	10.63	2.48	23.93	6.21	58.71	1.28	0.37	7.57	20.56	3.53	25.72	3.41	12.93	0.58	3.5	1.99	11.82	83.45	27.25	72.01	10.88	58.3	28.24	37.32	16.88	32.82	27.25	40.93	26.1	17.51	19.11	17.64	32.82	21.01	22.26	33.54	92.7	17.25	19.11	46.18	18.43	55.1	32.82
HCFC1R1	1794.29	866.07	651.58	703.28	728.11	884.29	802.41	486.75	854.13	1119.56	591.22	547.75	595.34	591.22	785.88	1457.23	293.07	295.11	819.3	723.08	1447.15	536.45	902.89	287.01	1183.45	612.11	412.0	368.65	902.89	674.59	1167.14	599.49	521.76	563.18	1498.22	417.77	559.28	878.17	624.99	808.0	1477.58	555.41	921.88	490.14	909.17	633.73	775.05	563.18	902.89	2384.37	1781.89	3820.7	2451.44	2018.8	1697.45	1832.01	1583.71	1628.26	1757.34	1991.0	1662.49	1487.87	1498.22	1519.15	2319.15	1794.29	1757.34	1674.06	2287.2	1583.71	1225.22	1936.53	1617.0	1407.55	1268.46
HDAC1	981.29	1059.11	947.83	718.08	896.64	1388.16	674.59	1183.45	1096.5	1508.65	1407.55	1081.39	836.53	629.35	915.51	836.53	1268.46	941.27	1104.13	954.43	1662.49	909.17	1023.0	947.83	915.51	1359.57	1639.59	660.68	1104.13	854.13	1135.2	947.83	915.51	1216.75	1583.71	616.37	1745.2	575.03	1304.15	1572.76	1259.69	575.03	1583.71	1088.92	450.94	961.07	1551.09	1119.56	1104.13	1844.76	2997.45	3419.52	2997.45	2303.12	2997.45	2739.08	2400.97	3060.45	2537.92	2777.33	3018.3	2627.46	2537.92	3303.0	2701.35	2701.35	2758.13	3146.52	2468.49	2061.24	3419.52	3467.27	2537.92	2555.58	2271.4
HDAC7	414.87	217.27	138.1	145.02	78.89	334.46	121.79	166.73	169.07	866.07	995.0	187.71	341.51	107.38	84.63	198.47	180.02	86.43	221.86	301.33	1674.06	141.02	182.55	209.84	162.14	454.09	368.65	218.79	181.28	353.59	236.21	218.79	189.02	167.9	583.07	189.02	579.04	144.01	90.77	154.42	616.37	139.07	759.08	71.0	61.25	236.21	293.07	218.79	239.52	669.92	1340.84	2255.7	1551.09	1806.78	1781.89	1208.34	1073.91	1551.09	1340.84	1769.57	1199.98	941.27	1277.29	1540.37	1540.37	1359.57	1096.5	1388.16	2682.69	1447.15	1119.56	1883.54	1119.56	1111.82	1909.85
HES7	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.77	1.22	0.77	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	5.28	0.0	0.0	0.0	1.41	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.87	0.58	0.0	0.42	1.83	0.0	0.0	0.43	0.0	3.89	0.0	0.0	0.0	2.12	0.0	0.22	1.25	13.22	20.56	12.18	4.74	2.34	2.36	6.26	4.86	7.11	14.24	13.52	5.06	3.29	5.11	4.74	3.53	6.31	6.41	12.45	4.43	6.73	14.14	5.5	4.94	10.88
HMG20B	1250.98	1051.79	842.36	748.61	1143.1	1159.07	921.88	759.08	819.3	1127.35	743.43	848.22	1199.98	764.36	1073.91	1044.52	420.68	607.87	934.76	954.43	1870.53	480.04	947.83	791.35	1378.57	1216.75	1259.69	536.45	896.64	743.43	1073.91	928.3	848.22	1135.2	775.05	738.29	1111.82	878.17	718.08	1378.57	1127.35	934.76	1175.27	1081.39	866.07	1167.14	988.12	753.83	1081.39	4769.75	1844.76	1733.13	1417.35	1359.57	1277.29	1529.73	1242.34	1286.18	1286.18	1685.71	1304.15	1233.75	1350.18	995.0	1551.09	1167.14	1208.34	1313.23	2061.24	1119.56	1427.22	2018.8	1477.58	1350.18	1709.26
IMPDH1	208.38	99.43	110.43	87.03	32.36	232.94	80.57	164.42	140.04	547.75	379.04	346.29	205.5	161.02	74.06	265.87	63.0	90.77	220.32	173.85	703.28	147.06	136.19	392.44	88.88	406.31	147.06	80.57	202.66	143.01	131.51	76.71	136.19	42.11	176.29	77.79	493.56	50.27	51.71	181.28	119.26	106.63	339.14	63.0	24.99	209.84	236.21	152.28	73.54	1208.34	236.21	759.08	583.07	896.64	518.15	412.0	212.78	318.57	293.07	575.03	253.23	221.86	480.04	366.09	529.06	246.28	221.86	409.15	836.53	346.29	262.2	728.11	271.48	348.71	346.29
INPP4B	27.25	17.77	8.58	8.99	2.73	11.21	7.11	19.11	8.13	31.22	10.63	5.87	8.58	7.88	4.5	2.84	9.27	5.68	10.79	6.26	94.01	4.43	11.04	2.46	26.28	7.82	6.73	11.47	6.26	13.03	11.82	3.03	6.84	3.03	69.03	4.78	23.59	21.47	4.13	9.48	70.51	1.99	20.11	14.14	14.35	3.53	7.57	21.63	17.77	336.79	41.52	90.14	107.38	171.45	123.5	100.83	61.68	65.26	65.26	105.15	47.84	31.22	116.78	88.26	98.73	84.04	55.1	126.12	224.97	63.89	52.45	90.14	63.89	69.52	64.8
INPP5J	21.63	2.63	3.53	3.32	2.63	3.96	1.95	2.34	13.22	9.06	2.76	0.19	7.17	3.5	5.45	0.0	3.03	1.35	0.0	5.19	49.21	3.53	1.35	6.01	5.06	12.93	13.03	0.0	0.0	10.47	13.42	1.14	8.65	1.43	16.03	2.01	23.93	9.34	3.35	1.3	2.92	4.31	12.93	1.19	0.0	9.63	12.18	26.67	4.46	221.86	7589.61	2240.11	4671.57	1250.98	5112.16	4769.75	6121.9	7280.4	5751.61	3515.68	6250.56	6607.01	5219.6	4704.07	6607.01	5791.62	6121.9	4481.23	1832.01	7032.37	5711.87	5751.61	7280.4	5633.22	6250.56
