	TCGA.B8.5552.11A.01R.1672.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.QXCU.0626.SM.2TC69	GTEX.RM2N.0426.SM.2TF4T	TCGA.92.7340.11A.01R.2045.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8I8.01A.11R.A36G.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7317.11A.01R.2118.07
MED16	271.48	0.0	0.64	132.44	642.59	500.46	759.08	1037.29	1216.75	934.76	848.22	981.29	1066.48	941.27	1350.18	961.07	1159.07	902.89	878.17	961.07	1015.93	890.44	638.15	753.83	1143.1	1073.91	791.35	571.05	759.08	1340.84	928.3	995.0	909.17	1127.35	1331.57	981.29	981.29	830.75	1233.75	934.76	860.08	559.28	733.19	1081.39	1313.23	638.15	842.36	802.41	941.27	1159.07	698.41	947.83	825.0	988.12	785.88
MED29	559.28	0.0	0.57	642.59	633.73	660.68	954.43	1151.06	1259.69	1259.69	1277.29	1001.93	902.89	1233.75	1233.75	1051.79	1183.45	1073.91	1159.07	1111.82	1059.11	1119.56	928.3	1023.0	1183.45	1051.79	941.27	669.92	802.41	981.29	1051.79	1208.34	954.43	1508.65	1167.14	1159.07	1250.98	1127.35	934.76	1191.69	981.29	830.75	860.08	1023.0	1183.45	830.75	1183.45	1096.5	1104.13	981.29	860.08	1104.13	1369.04	1135.2	896.64
MRPL23	629.35	0.0	0.64	921.88	1081.39	1143.1	1378.57	2319.15	4181.07	2520.38	2816.11	2417.67	2976.74	2720.15	4095.0	3742.05	3665.02	2434.5	3060.45	2032.85	2502.97	3443.31	1407.55	2400.97	1733.13	3018.3	1709.26	1709.26	1617.0	4268.94	2384.37	4268.94	2303.12	2720.15	4298.64	2915.45	1397.83	1832.01	3018.3	1159.07	2255.7	1268.46	1331.57	2816.11	4358.66	1662.49	3235.01	2032.85	2240.11	3419.52	1832.01	1991.0	2976.74	2485.67	1733.13
MRPS11	529.06	0.0	0.21	497.0	679.29	579.04	981.29	921.88	1529.73	1143.1	1417.35	1023.0	1175.27	1286.18	1467.37	1359.57	1551.09	1175.27	1498.22	1225.22	1135.2	1540.37	775.05	1286.18	1143.1	1322.37	1088.92	884.29	1119.56	1936.53	1143.1	1721.16	1359.57	1331.57	1467.37	1208.34	934.76	1143.1	1037.29	723.08	1216.75	915.51	854.13	1268.46	1806.78	961.07	1498.22	1081.39	1111.82	1268.46	1044.52	1313.23	1519.15	1378.57	954.43
MTA1	264.03	0.0	1.33	866.07	473.41	743.43	848.22	1066.48	1037.29	1015.93	915.51	1268.46	1397.83	1191.69	2032.85	2255.7	1639.59	1437.15	1498.22	1369.04	872.1	1268.46	1167.14	921.88	1268.46	1191.69	836.53	595.34	796.86	1143.1	1467.37	1369.04	1697.45	1331.57	1857.6	1159.07	1073.91	769.69	2119.22	928.3	1350.18	679.29	921.88	1331.57	1233.75	878.17	988.12	947.83	884.29	1794.29	995.0	802.41	764.36	1199.98	769.69
NAA10	1030.12	0.0	1.07	1167.14	1519.15	1304.15	1685.71	2047.0	3257.52	2367.9	2178.83	2271.4	2645.74	2209.26	3614.55	3190.46	3614.55	2468.49	2627.46	2104.58	1991.0	2682.69	1183.45	2468.49	2163.77	2739.08	2209.26	1617.0	1674.06	3742.05	1819.35	2664.15	2720.15	2255.7	2855.44	2163.77	1617.0	1832.01	2384.37	1457.23	1963.57	1208.34	1350.18	2400.97	3303.0	1467.37	2720.15	2075.59	1977.24	2816.11	1794.29	1896.65	2591.27	2384.37	1651.0
NDUFA10	1709.26	1639.59	1044.52	1551.09	1832.01	1583.71	2255.7	2271.4	3690.52	3081.75	2075.59	2104.58	2400.97	2591.27	4038.61	4388.98	3060.45	2502.97	2816.11	2148.82	2468.49	3372.43	2163.77	2875.3	2520.38	3103.19	2645.74	2417.67	2591.27	4010.71	2468.49	3665.02	3060.45	3419.52	2956.17	2796.65	2004.85	2720.15	2400.97	2090.03	2502.97	2004.85	2133.97	3103.19	3614.55	2502.97	3467.27	2573.36	2485.67	2520.38	2417.67	1977.24	2758.13	2271.4	2255.7
NDUFAB1	1870.53	0.0	0.62	1259.69	1685.71	1304.15	1909.85	1870.53	3060.45	2555.58	1936.53	2468.49	2148.82	2434.5	4239.45	3349.13	2816.11	2468.49	2400.97	2351.53	2148.82	2816.11	1806.78	2400.97	2193.99	2485.67	2434.5	2739.08	2351.53	3716.2	2178.83	3081.75	1963.57	2591.27	2777.33	2255.7	2434.5	2075.59	2075.59	1561.89	3928.15	2255.7	1745.2	2502.97	2835.7	2018.8	2537.92	2193.99	2047.0	2255.7	2133.97	2163.77	3146.52	2178.83	1963.57
NDUFB7	1583.71	0.0	0.87	1781.89	1857.6	2645.74	3820.7	4802.93	9673.69	5995.9	7130.55	5633.22	6250.56	6840.04	10512.82	7130.55	9474.59	6983.79	7537.18	6652.97	6121.9	7331.05	3614.55	6250.56	5219.6	7803.01	4010.71	4671.57	4671.57	11035.54	5672.41	12415.75	5555.65	7032.37	9945.68	5633.22	3820.7	5255.91	5366.37	3491.39	5441.3	3467.27	3491.39	6381.92	10225.32	3589.58	7749.1	5791.62	7032.37	6840.04	3901.01	6250.56	8901.53	7032.37	5183.54
NDUFS7	529.06	2468.49	703.28	587.13	896.64	1104.13	1467.37	1909.85	3665.02	1896.65	2875.3	2032.85	2287.2	2319.15	4512.4	2335.28	2777.33	2018.8	2133.97	2417.67	1806.78	2163.77	1059.11	1674.06	2303.12	2119.22	1427.22	1073.91	1407.55	3540.14	2271.4	2303.12	1794.29	2240.11	3190.46	1832.01	1427.22	1781.89	1662.49	1639.59	1437.15	981.29	1378.57	2417.67	3257.52	1081.39	2090.03	1896.65	1963.57	2303.12	1242.34	1617.0	2664.15	3325.99	2047.0
NDUFS8	1340.84	0.0	0.75	1151.06	1781.89	1397.83	3039.3	4038.61	7911.95	5112.16	6381.92	4268.94	4736.79	4972.34	9409.14	4937.99	7695.57	6516.03	5183.54	5219.6	5041.77	5183.54	2224.63	4671.57	4836.35	5479.15	4671.57	3467.27	3515.68	8901.53	4481.23	9740.98	4937.99	4704.07	7230.1	4450.27	3395.89	4181.07	3639.7	2895.31	3325.99	3146.52	2835.7	4836.35	9673.69	2682.69	5147.73	4388.98	4388.98	5441.3	2976.74	4512.4	7081.29	6935.54	3820.7
NHP2	1832.01	0.0	0.39	1950.0	1477.58	1572.76	2434.5	3419.52	4972.34	4010.71	3928.15	3372.43	3742.05	3614.55	7130.55	6652.97	5633.22	3564.78	4543.8	2701.35	3742.05	4298.64	2351.53	4123.49	3257.52	4010.71	2875.3	2976.74	3146.52	5594.3	2573.36	5076.84	3716.2	4123.49	4639.29	3665.02	2119.22	3491.39	3982.99	2209.26	2935.74	2104.58	2133.97	3847.29	5006.93	2777.33	5329.3	3081.75	3564.78	3303.0	2997.45	3235.01	3742.05	3280.18	2468.49
NOSIP	688.78	0.0	0.8	483.38	796.86	981.29	878.17	1268.46	2271.4	1322.37	1605.83	1277.29	1605.83	1605.83	1832.01	1781.89	1639.59	1477.58	1617.0	1304.15	1277.29	1832.01	842.36	1487.87	1457.23	1697.45	954.43	1119.56	1111.82	2351.53	1417.35	2119.22	1498.22	1388.16	2255.7	1199.98	1088.92	1104.13	1457.23	1135.2	1183.45	902.89	1159.07	1388.16	1733.13	967.76	1529.73	1167.14	1268.46	1551.09	995.0	1242.34	1806.78	1733.13	1259.69
NUDC	1427.22	0.0	0.66	1529.73	1733.13	1529.73	1819.35	2240.11	3039.3	2271.4	2935.74	1923.14	2645.74	2537.92	3212.66	3372.43	2796.65	2555.58	2720.15	2609.3	2384.37	2816.11	1529.73	2875.3	2384.37	2739.08	1427.22	1991.0	2075.59	3372.43	2119.22	3103.19	2664.15	2591.27	2835.7	2468.49	2018.8	1832.01	2163.77	1617.0	2224.63	1936.53	2018.8	2400.97	2997.45	1662.49	2895.31	1923.14	2240.11	2682.69	1883.54	2178.83	2777.33	3103.19	2075.59
OTUB1	1119.56	0.0	1.04	2075.59	1407.55	1477.58	1583.71	2133.97	2777.33	2061.24	2520.38	2133.97	2384.37	2468.49	2855.44	2319.15	2682.69	2032.85	2335.28	2163.77	2555.58	2163.77	1769.57	2434.5	2148.82	1417.35	1806.78	1844.76	1963.57	2895.31	2209.26	3039.3	2193.99	2520.38	2956.17	1977.24	1819.35	2224.63	2032.85	1745.2	2004.85	1844.76	1923.14	2224.63	2537.92	1745.2	2468.49	1977.24	2367.9	2090.03	1870.53	2193.99	2739.08	2682.69	2133.97
PARK7	5441.3	0.0	0.96	2417.67	4671.57	5954.47	10808.41	10512.82	16383.0	11827.67	13872.08	9606.86	9808.75	11827.67	13872.08	13872.08	16383.0	13306.94	11909.94	12676.65	10883.59	12853.63	7589.61	12160.22	11827.67	12502.12	8963.45	13033.07	10959.3	14561.8	11745.96	18178.19	10883.59	13033.07	12076.21	11745.96	10440.2	9673.69	9945.68	7589.61	10440.2	9945.68	8421.31	10296.45	16727.26	9215.48	16496.96	10512.82	10585.95	13399.51	9876.98	12076.21	14361.31	13215.02	10154.69
PIH1D1	909.17	0.0	0.72	629.35	1277.29	1119.56	1639.59	1781.89	3235.01	2287.2	2209.26	1857.6	2224.63	2271.4	3716.2	2855.44	2434.5	2335.28	2682.69	2104.58	2224.63	2835.7	1350.18	2104.58	1883.54	2417.67	1651.0	1427.22	1794.29	2796.65	2032.85	3467.27	2796.65	1844.76	2701.35	2090.03	1427.22	1806.78	2335.28	1806.78	1769.57	1467.37	1583.71	1950.0	2956.17	1397.83	2271.4	1870.53	1806.78	2319.15	1794.29	1769.57	2104.58	2075.59	1639.59
POLR2E	1322.37	4181.07	316.37	1819.35	2701.35	2573.36	2351.53	2997.45	4010.71	2956.17	3928.15	2573.36	3443.31	3395.89	4512.4	4010.71	3901.01	3103.19	3372.43	3372.43	3257.52	3589.58	1769.57	3467.27	2915.45	3146.52	2417.67	2451.44	2573.36	4903.87	3491.39	3614.55	3039.3	2956.17	4358.66	3060.45	2573.36	2976.74	3124.78	2701.35	2997.45	2451.44	2255.7	3190.46	4239.45	2303.12	3257.52	2875.3	3103.19	3325.99	2645.74	2835.7	3847.29	3955.48	2915.45
POLR2I	591.22	0.0	0.68	866.07	769.69	1183.45	1540.37	1674.06	2384.37	1551.09	2335.28	1709.26	2119.22	2133.97	3716.2	3124.78	2956.17	1923.14	2485.67	2090.03	2032.85	2417.67	1023.0	2384.37	1806.78	2555.58	1769.57	1572.76	1769.57	3280.18	1561.89	3639.7	2367.9	2193.99	2956.17	2047.0	1242.34	1685.71	2319.15	1331.57	1870.53	1397.83	1331.57	1963.57	3665.02	1225.22	2609.3	1844.76	2193.99	2303.12	1605.83	1870.53	2502.97	2520.38	1857.6
PPIE	743.43	0.0	0.51	273.37	693.58	796.86	995.0	995.0	1487.87	988.12	1340.84	1015.93	1111.82	1340.84	1651.0	1745.2	1295.13	1199.98	1242.34	1225.22	1111.82	1359.57	941.27	1250.98	1044.52	1191.69	796.86	1066.48	1167.14	1529.73	1151.06	1551.09	1313.23	1268.46	1417.35	1594.73	830.75	1104.13	1151.06	967.76	1191.69	1199.98	1008.9	1250.98	1322.37	1008.9	1313.23	1167.14	1277.29	1259.69	1111.82	1135.2	1295.13	1359.57	1313.23
PRPF31	693.58	0.0	0.82	1208.34	974.5	872.1	842.36	1096.5	1359.57	1051.79	1277.29	1051.79	1159.07	1322.37	1467.37	1605.83	1268.46	1096.5	1191.69	1044.52	1081.39	1369.04	928.3	1015.93	1059.11	1250.98	591.22	830.75	921.88	1508.65	1096.5	1417.35	1286.18	1250.98	1378.57	1135.2	848.22	995.0	1073.91	1001.93	1119.56	915.51	928.3	1135.2	1259.69	921.88	1233.75	1073.91	1175.27	1088.92	902.89	954.43	1208.34	1407.55	1066.48
PSMD4	1923.14	0.0	1.08	961.07	2271.4	2485.67	2434.5	2609.3	4152.18	2720.15	3614.55	2468.49	3467.27	3303.0	3901.01	4388.98	3742.05	3018.3	3395.89	2976.74	2855.44	3847.29	2367.9	3614.55	2796.65	3716.2	2271.4	2855.44	2627.46	4298.64	2796.65	3564.78	2976.74	3325.99	4152.18	2997.45	2573.36	2875.3	2997.45	2224.63	2816.11	2537.92	2255.7	3103.19	3742.05	2400.97	4210.15	2701.35	3325.99	3190.46	2682.69	2758.13	4038.61	3742.05	2720.15
PSMD8	2287.2	0.0	0.93	3190.46	3443.31	2758.13	4671.57	5751.61	6121.9	5041.77	6381.92	4010.71	6471.02	5329.3	7857.29	5791.62	5479.15	5076.84	6207.38	4152.18	4704.07	5711.87	3303.0	6164.49	5913.33	4481.23	6164.49	4095.0	4704.07	7911.95	6426.31	6250.56	5954.47	5872.48	6037.61	5183.54	4450.27	4512.4	4869.99	4095.0	4419.52	4481.23	4543.8	5112.16	5995.9	4152.18	4328.55	5441.3	5872.48	3901.01	4769.75	5255.91	4836.35	5441.3	5711.87
PTDSS2	220.32	0.0	0.73	255.0	236.21	318.57	384.34	423.61	769.69	450.94	629.35	647.07	563.18	559.28	1044.52	934.76	698.41	728.11	567.1	718.08	395.18	616.37	432.53	633.73	444.72	674.59	403.5	435.55	466.88	1030.12	579.04	802.41	674.59	684.02	813.63	638.15	429.54	555.41	656.11	412.0	616.37	351.14	429.54	753.83	813.63	460.44	775.05	441.64	629.35	571.05	441.64	476.71	503.95	708.18	454.09
PWWP2B	106.63	0.0	0.52	183.82	291.04	205.5	281.09	325.29	514.56	473.41	412.0	470.14	336.79	435.55	1081.39	743.43	466.88	289.02	483.38	205.5	376.41	373.81	267.73	281.09	332.14	447.82	307.69	244.57	295.11	665.29	435.55	665.29	336.79	327.56	819.3	571.05	412.0	211.31	713.11	195.72	665.29	189.02	253.23	607.87	616.37	414.87	764.36	423.61	366.09	457.25	208.38	412.0	420.68	346.29	336.79
RABGGTA	289.02	0.0	0.67	379.04	521.76	583.07	674.59	825.0	1183.45	1044.52	954.43	638.15	791.35	785.88	1304.15	684.02	1023.0	954.43	1119.56	651.58	974.5	813.63	629.35	825.0	660.68	890.44	842.36	603.67	713.11	1119.56	830.75	934.76	1008.9	830.75	1175.27	753.83	769.69	825.0	902.89	616.37	656.11	490.14	624.99	836.53	921.88	559.28	713.11	660.68	813.63	1088.92	753.83	921.88	854.13	775.05	591.22
RBX1	1111.82	0.0	0.83	884.29	1191.69	1277.29	921.88	1127.35	1519.15	1225.22	1745.2	1159.07	1457.23	1457.23	1950.0	1794.29	1721.16	1487.87	1583.71	1199.98	1467.37	1519.15	521.76	1369.04	1135.2	1674.06	1135.2	1769.57	1378.57	1963.57	1437.15	1909.85	1233.75	1437.15	1819.35	1407.55	860.08	1015.93	1216.75	532.74	1407.55	1457.23	1143.1	1242.34	1844.76	1096.5	1781.89	1225.22	1286.18	1605.83	1167.14	1208.34	1806.78	1551.09	1322.37
RPL22	12943.04	0.0	1.23	9740.98	6381.92	13033.07	14461.21	11827.67	23009.42	15499.21	12589.08	21026.65	14765.09	17927.91	30361.44	34396.12	16269.83	16727.26	20030.74	14461.21	13306.94	22692.63	14867.79	17197.56	15934.98	16611.71	12676.65	16960.78	17558.94	20451.65	13681.08	17437.64	19754.96	20881.4	17558.94	19082.0	10368.08	12502.12	19618.49	11584.24	17437.64	14262.1	10959.3	16611.71	21026.65	16727.26	23820.89	14971.21	12853.63	16843.62	15285.81	13123.73	14971.21	13681.08	13123.73
RPP21	441.64	0.0	0.54	457.25	836.53	642.59	1167.14	1594.73	2400.97	1447.15	2209.26	1605.83	1508.65	1745.2	2555.58	2777.33	2875.3	1819.35	1806.78	1519.15	1806.78	1733.13	1259.69	1617.0	1628.26	2018.8	1268.46	1304.15	1388.16	2777.33	1685.71	3124.78	1819.35	1832.01	2468.49	1551.09	1268.46	1498.22	1639.59	1051.79	1769.57	1111.82	1081.39	1639.59	2555.58	1073.91	1870.53	1359.57	1617.0	2209.26	1322.37	1662.49	2075.59	2163.77	1259.69
SDHAF1	150.17	339.14	395.18	167.9	241.19	199.85	361.04	351.14	665.29	490.14	486.75	312.0	346.29	441.64	718.08	599.49	587.13	551.56	497.0	470.14	423.61	547.75	297.17	392.44	358.54	507.46	429.54	435.55	371.22	620.67	379.04	728.11	426.57	368.65	579.04	503.95	205.5	368.65	457.25	289.02	511.0	273.37	265.87	460.44	718.08	267.73	563.18	412.0	361.04	563.18	346.29	460.44	409.15	417.77	318.57
STK11	314.17	1277.29	148.09	497.0	543.96	559.28	587.13	802.41	1008.9	753.83	796.86	921.88	878.17	961.07	1322.37	1295.13	1388.16	1008.9	921.88	1044.52	764.36	1088.92	684.02	723.08	884.29	974.5	656.11	547.75	665.29	1407.55	1066.48	1066.48	1081.39	961.07	1199.98	947.83	753.83	802.41	1259.69	743.43	1216.75	555.41	718.08	967.76	1304.15	620.67	915.51	718.08	743.43	1208.34	587.13	848.22	748.61	941.27	674.59
SUCLG1	1304.15	0.0	0.91	753.83	1437.15	1304.15	1447.15	1277.29	2104.58	1427.22	1583.71	1407.55	1477.58	1662.49	3372.43	1950.0	1832.01	1540.37	1498.22	1427.22	1359.57	1721.16	1259.69	1583.71	1594.73	1583.71	1322.37	1844.76	1769.57	2148.82	1721.16	1896.65	1594.73	1721.16	1870.53	1617.0	1359.57	1605.83	1277.29	1378.57	1304.15	1733.13	1498.22	1709.26	1819.35	1551.09	2178.83	1447.15	1540.37	1832.01	1447.15	1508.65	1870.53	1883.54	1721.16
SYNE4	115.16	0.0	0.4	29.7	204.07	81.71	656.11	896.64	1628.26	1427.22	1059.11	967.76	1023.0	780.44	2664.15	1733.13	1313.23	698.41	974.5	669.92	974.5	878.17	450.94	995.0	624.99	974.5	836.53	583.07	616.37	1896.65	1044.52	808.0	947.83	1023.0	1529.73	1015.93	909.17	1059.11	967.76	392.44	642.59	497.0	514.56	1059.11	1233.75	547.75	1437.15	836.53	981.29	1427.22	830.75	1447.15	1023.0	909.17	748.61
TCEB2	2537.92	0.0	1.01	2855.44	2537.92	4328.55	5995.9	10296.45	16383.0	8022.41	13681.08	7180.15	9151.82	9151.82	18178.19	9945.68	12764.83	12160.22	10733.74	9215.48	7695.57	10084.54	3491.39	9088.59	9540.5	11112.3	8191.0	8191.0	6699.25	17437.64	7642.41	18950.18	10368.08	9808.75	11345.82	10084.54	7032.37	8247.98	8305.36	6294.04	11424.74	5913.33	5076.84	8963.45	16269.83	5329.3	10585.95	7966.99	7695.57	11909.94	5995.9	9279.58	12676.65	12943.04	7180.15
THAP4	511.0	0.0	0.74	759.08	1008.9	796.86	1059.11	2119.22	1697.45	890.44	2209.26	1781.89	2287.2	1991.0	3665.02	2303.12	2271.4	1583.71	1857.6	1709.26	1088.92	1909.85	1407.55	2271.4	1709.26	2303.12	1388.16	1617.0	1127.35	2855.44	2075.59	1733.13	1794.29	1605.83	2777.33	1832.01	1059.11	1991.0	3372.43	1340.84	1583.71	1059.11	1225.22	2335.28	1977.24	1628.26	3235.01	1508.65	1781.89	1674.06	1936.53	1127.35	1896.65	1977.24	1340.84
TIMM17B	733.19	0.0	0.99	769.69	713.11	780.44	1250.98	1662.49	2303.12	1697.45	2645.74	1447.15	1950.0	1819.35	3060.45	1923.14	2417.67	1896.65	1794.29	1857.6	2209.26	1721.16	1359.57	2133.97	1709.26	2148.82	1508.65	1709.26	1697.45	1950.0	1498.22	2956.17	1662.49	1583.71	2224.63	1870.53	1199.98	1487.87	1685.71	1350.18	1896.65	1457.23	1295.13	1909.85	2796.65	1143.1	2303.12	1685.71	1963.57	2104.58	1519.15	2018.8	2468.49	2502.97	1639.59
TMED1	532.74	0.0	0.4	603.67	759.08	514.56	915.51	1143.1	1769.57	1191.69	1745.2	1088.92	1175.27	1183.45	1662.49	1183.45	1457.23	1159.07	1674.06	1135.2	1135.2	1151.06	708.18	1225.22	1127.35	1059.11	902.89	981.29	1167.14	1721.16	1216.75	2758.13	1277.29	1151.06	1359.57	1088.92	872.1	1250.98	941.27	915.51	896.64	890.44	921.88	1191.69	1819.35	878.17	1015.93	941.27	1037.29	866.07	967.76	1605.83	1143.1	1457.23	1059.11
TMEM177	135.24	0.0	0.0	41.22	111.99	102.25	208.38	201.25	198.47	353.59	291.04	202.66	262.2	325.29	426.57	297.17	316.37	287.01	289.02	287.01	327.56	246.28	229.72	277.2	309.83	265.87	96.01	246.28	303.44	220.32	291.04	392.44	329.84	183.82	341.51	271.48	185.11	285.03	287.01	253.23	162.14	215.77	228.13	307.69	185.11	251.48	237.86	281.09	232.94	267.73	244.57	256.78	258.57	316.37	264.03
TRAPPC5	532.74	0.0	0.49	819.3	830.75	1037.29	1697.45	2209.26	3768.09	2367.9	3235.01	2240.11	3146.52	3060.45	4268.94	3168.41	3955.48	3039.3	3564.78	2739.08	2468.49	2915.45	1487.87	3146.52	2367.9	3325.99	2178.83	1909.85	2104.58	4181.07	2319.15	3443.31	2351.53	3018.3	3794.3	2739.08	2018.8	2520.38	2520.38	1477.58	1832.01	1447.15	1721.16	3103.19	5041.77	1605.83	3639.7	2720.15	2682.69	3564.78	1781.89	3303.0	3303.0	3491.39	2351.53
TSEN34	842.36	0.0	0.71	733.19	884.29	884.29	1313.23	1551.09	1781.89	1674.06	1832.01	1529.73	1498.22	1651.0	2224.63	1819.35	2193.99	1467.37	1794.29	1857.6	1709.26	1639.59	1023.0	1950.0	1572.76	1709.26	1259.69	1313.23	1628.26	1923.14	1487.87	2400.97	1844.76	1781.89	2148.82	1733.13	1685.71	1529.73	1572.76	1242.34	1437.15	1143.1	1183.45	1487.87	1709.26	1216.75	1594.73	1407.55	1883.54	1685.71	1369.04	1857.6	2133.97	1733.13	1561.89
TTC38	287.01	0.0	0.68	476.71	400.71	454.09	1529.73	2240.11	1066.48	1388.16	1340.84	941.27	1135.2	1135.2	1427.22	1572.76	1199.98	819.3	1561.89	854.13	1151.06	1313.23	854.13	1529.73	1427.22	1359.57	1477.58	1051.79	1340.84	1662.49	1175.27	1794.29	1437.15	743.43	2255.7	2627.46	825.0	909.17	1651.0	703.28	890.44	866.07	954.43	1259.69	1551.09	1175.27	1950.0	1359.57	988.12	928.3	1781.89	1561.89	1167.14	890.44	921.88
UQCRH	4239.45	0.0	1.22	2573.36	1721.16	4010.71	6337.83	5633.22	10014.87	7589.61	7382.04	8901.53	7485.11	9279.58	17804.06	16611.71	10883.59	7695.57	10296.45	7180.15	7331.05	9808.75	4152.18	9279.58	7695.57	9673.69	6792.79	8078.22	7331.05	12329.98	7331.05	9474.59	9344.14	10084.54	9215.48	8305.36	5183.54	7032.37	7589.61	4038.61	9025.81	6079.61	5147.73	6935.54	9740.98	6471.02	10512.82	6337.83	7433.4	9088.59	6426.31	6745.86	7803.01	7433.4	5954.47
VARS2	194.36	0.0	0.64	149.12	353.59	356.05	316.37	279.14	435.55	395.18	307.69	341.51	353.59	299.25	775.05	486.75	341.51	273.37	387.02	343.89	473.41	389.72	269.6	318.57	332.14	438.59	384.34	275.28	403.5	318.57	395.18	575.03	476.71	595.34	414.87	312.0	327.56	529.06	497.0	483.38	503.95	283.05	255.0	521.76	536.45	295.11	414.87	486.75	444.72	587.13	381.68	366.09	226.54	297.17	199.85
VKORC1	1378.57	0.0	0.88	743.43	1617.0	1551.09	1674.06	1639.59	3768.09	2090.03	2520.38	1721.16	2502.97	2255.7	3325.99	2520.38	2777.33	1605.83	2739.08	2434.5	2061.24	2895.31	1143.1	2520.38	2075.59	2682.69	2520.38	2319.15	1883.54	3190.46	1721.16	3124.78	2417.67	2193.99	2682.69	2090.03	2061.24	2148.82	2434.5	1529.73	1963.57	1781.89	1617.0	2271.4	2935.74	1685.71	2875.3	2434.5	2468.49	2193.99	1685.71	2319.15	2664.15	3190.46	2367.9
WDR83OS	3018.3	0.0	0.91	3847.29	3874.05	3955.48	5112.16	6935.54	8778.97	5831.91	8658.09	6337.83	8022.41	6983.79	9151.82	8963.45	6887.62	7382.04	7230.1	8022.41	7081.29	7081.29	4298.64	8305.36	6037.61	6699.25	6792.79	6250.56	6426.31	9409.14	6250.56	11267.44	7280.4	7180.15	8247.98	6079.61	5041.77	6426.31	6207.38	5292.48	6792.79	5219.6	4972.34	6607.01	10084.54	4388.98	8840.04	5913.33	6516.03	7749.1	5292.48	7642.41	6935.54	8778.97	6471.02
ZNF133	96.01	0.0	0.46	88.88	167.9	189.02	177.53	176.29	265.87	202.66	208.38	234.57	406.31	251.48	376.41	305.55	221.86	224.97	348.71	208.38	185.11	334.46	231.32	176.29	104.42	275.28	145.02	165.57	189.02	249.73	281.09	118.43	260.38	202.66	426.57	291.04	120.1	156.59	371.22	159.9	223.41	224.97	211.31	285.03	231.32	208.38	241.19	186.4	139.07	253.23	262.2	234.57	158.79	242.88	223.41
ZNF428	480.04	351.14	1709.26	384.34	507.46	392.44	775.05	872.1	2119.22	1088.92	1066.48	1388.16	954.43	1685.71	2148.82	1794.29	2287.2	1295.13	1350.18	1340.84	995.0	1651.0	412.0	1030.12	1250.98	1487.87	551.56	836.53	896.64	2178.83	1651.0	2367.9	1745.2	1721.16	1457.23	1487.87	941.27	743.43	819.3	825.0	1540.37	679.29	878.17	1242.34	1977.24	791.35	1242.34	878.17	1044.52	1233.75	674.59	1001.93	1340.84	1199.98	961.07
ZNF771	30.78	0.0	0.27	16.15	31.22	23.59	110.43	75.64	190.34	115.97	79.45	82.87	90.77	148.09	176.29	189.02	283.05	101.54	147.06	126.12	95.34	154.42	58.71	118.43	163.28	206.94	86.43	97.36	106.63	265.87	136.19	209.84	191.67	141.02	94.67	134.3	172.65	94.67	128.79	73.54	141.02	98.04	85.22	118.43	204.07	94.67	100.83	156.59	109.66	182.55	70.01	134.3	154.42	115.16	111.99
