	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.FD.A5C1.01A.11R.A28M.07	GTEX.ZF2S.2026.SM.5E461	GTEX.Y5V5.2126.SM.4WWFO	GTEX.132AR.0826.SM.5EGK6	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.7288.01A.11R.A32Z.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4506.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	GTEX.13CF2.2426.SM.5LZYL
RAB11FIP2	53.95	55.1	241.19	249.73	180.02	50.98	36.01	307.69	123.5	132.44	273.37	320.8	89.51	343.89	450.94	105.15	384.34	262.2	363.56	432.53	603.67	703.28	212.78	351.14	130.6	140.04	189.02	118.43	241.19	162.14	108.14	309.83	86.43	239.52	0.0	0.43	49.56	21.63	82.29
RAB2B	126.12	77.79	890.44	429.54	224.97	165.57	154.42	218.79	260.38	220.32	412.0	397.93	309.83	167.9	329.84	283.05	480.04	151.22	412.0	371.22	490.14	417.77	202.66	301.33	229.72	195.72	224.97	318.57	432.53	208.38	397.93	260.38	142.01	363.56	262.2	141.02	145.02	104.42	153.34
RAPGEF2	63.0	36.53	764.36	928.3	406.31	91.41	70.01	547.75	607.87	343.89	941.27	447.82	108.9	376.41	698.41	253.23	848.22	547.75	1001.93	595.34	941.27	860.08	587.13	974.5	341.51	234.57	231.32	214.27	366.09	154.42	239.52	460.44	92.05	327.56	0.0	0.56	49.21	14.78	170.25
RERE	224.97	157.68	1508.65	1417.35	785.88	194.36	241.19	547.75	1037.29	1051.79	1417.35	1508.65	1225.22	902.89	1001.93	1037.29	1191.69	400.71	1498.22	1008.9	1023.0	1199.98	1151.06	1407.55	1015.93	521.76	872.1	688.78	1001.93	796.86	583.07	928.3	514.56	854.13	0.0	0.8	198.47	45.53	579.04
RGL1	80.01	70.51	836.53	954.43	708.18	38.4	73.03	312.0	483.38	384.34	1059.11	316.37	279.14	305.55	205.5	423.61	629.35	343.89	896.64	536.45	476.71	651.58	571.05	764.36	256.78	206.94	368.65	336.79	525.39	209.84	343.89	555.41	220.32	205.5	0.0	0.56	84.04	44.89	165.57
RNF38	93.35	87.03	836.53	785.88	281.09	88.26	96.01	361.04	301.33	214.27	392.44	287.01	159.9	423.61	361.04	204.07	460.44	387.02	529.06	409.15	454.09	412.0	356.05	529.06	303.44	256.78	197.09	221.86	409.15	224.97	172.65	301.33	148.09	289.02	0.0	0.51	63.89	70.01	162.14
RPRD2	100.83	106.63	713.11	836.53	343.89	108.14	113.56	490.14	412.0	205.5	551.56	409.15	271.48	599.49	571.05	343.89	460.44	158.79	567.1	397.93	543.96	521.76	412.0	518.15	463.65	133.36	305.55	305.55	532.74	269.6	212.78	336.79	118.43	281.09	214.27	229.72	169.07	44.57	275.28
RYBP	115.16	153.34	447.82	432.53	158.79	155.5	89.51	187.71	181.28	177.53	356.05	309.83	105.89	229.72	297.17	178.77	376.41	199.85	305.55	293.07	341.51	287.01	215.77	271.48	164.42	187.71	167.9	159.9	195.72	228.13	220.32	269.6	127.89	309.83	120.1	237.86	90.14	67.59	117.6
SARM1	8.45	8.92	466.88	384.34	148.09	138.1	13.72	220.32	246.28	392.44	400.71	603.67	175.07	265.87	406.31	148.09	497.0	139.07	486.75	366.09	332.14	454.09	269.6	507.46	275.28	177.53	226.54	186.4	363.56	190.34	358.54	417.77	166.73	234.57	0.0	0.46	15.0	5.82	36.79
SECISBP2L	44.89	56.28	813.63	688.78	206.94	79.45	55.89	420.68	264.03	193.01	480.04	521.76	117.6	327.56	392.44	159.9	438.59	341.51	406.31	403.5	536.45	463.65	403.5	507.46	262.2	164.42	195.72	226.54	325.29	229.72	237.86	379.04	94.01	371.22	0.0	0.11	94.01	33.54	206.94
SEMA4F	141.02	108.9	228.13	206.94	275.28	62.12	76.17	164.42	133.36	124.37	149.12	135.24	53.95	156.59	105.89	124.37	318.57	82.29	173.85	101.54	122.64	143.01	148.09	182.55	176.29	88.88	70.01	96.68	90.14	81.71	98.73	105.89	105.89	104.42	0.0	0.11	13.93	115.16	41.52
SERTAD2	202.66	234.57	532.74	483.38	507.46	135.24	283.05	397.93	211.31	120.94	435.55	295.11	171.45	287.01	256.78	129.69	466.88	223.41	525.39	275.28	293.07	314.17	305.55	450.94	139.07	283.05	154.42	182.55	209.84	198.47	253.23	195.72	107.38	279.14	0.0	0.55	48.18	99.43	379.04
SLC41A1	195.72	214.27	376.41	323.03	329.84	131.51	163.28	507.46	571.05	679.29	348.71	343.89	260.38	642.59	454.09	232.94	511.0	473.41	575.03	473.41	480.04	769.69	457.25	872.1	305.55	186.4	493.56	327.56	547.75	231.32	444.72	447.82	191.67	323.03	0.0	0.51	248.0	40.07	995.0
SLMAP	269.6	334.46	947.83	1233.75	463.65	336.79	332.14	718.08	444.72	476.71	802.41	599.49	242.88	426.57	813.63	397.93	1015.93	633.73	665.29	872.1	1044.52	743.43	559.28	921.88	366.09	336.79	525.39	392.44	463.65	486.75	571.05	890.44	242.88	518.15	0.0	0.32	403.5	255.0	1096.5
SMO	67.59	157.68	780.44	208.38	224.97	130.6	289.02	480.04	507.46	301.33	890.44	1015.93	934.76	791.35	1073.91	633.73	713.11	813.63	1225.22	1037.29	866.07	866.07	231.32	1143.1	651.58	486.75	420.68	392.44	796.86	607.87	486.75	1628.26	769.69	1096.5	0.0	0.54	36.53	41.81	41.81
STAT5B	264.03	244.57	934.76	1457.23	896.64	229.72	232.94	638.15	612.11	559.28	854.13	775.05	638.15	587.13	698.41	429.54	1745.2	476.71	1304.15	909.17	802.41	836.53	559.28	813.63	470.14	463.65	353.59	426.57	514.56	339.14	423.61	412.0	334.46	775.05	358.54	94.01	285.03	170.25	559.28
SVIL	59.13	529.06	1923.14	1936.53	295.11	150.17	323.03	305.55	967.76	149.12	759.08	293.07	120.94	599.49	796.86	81.14	808.0	450.94	1350.18	708.18	813.63	738.29	255.0	1096.5	473.41	346.29	76.17	161.02	450.94	198.47	363.56	480.04	312.0	454.09	0.0	0.64	122.64	126.12	6887.62
TARSL2	65.26	54.72	351.14	234.57	133.36	181.28	134.3	253.23	201.25	151.22	148.09	320.8	121.79	368.65	107.38	98.04	244.57	204.07	287.01	236.21	223.41	287.01	162.14	177.53	191.67	172.65	142.01	102.25	202.66	106.63	67.59	201.25	173.85	186.4	0.0	0.47	97.36	45.85	242.88
TBCEL	60.82	45.53	323.03	177.53	112.77	42.11	78.89	211.31	156.59	95.34	204.07	231.32	61.25	159.9	189.02	73.54	309.83	151.22	232.94	195.72	255.0	226.54	175.07	178.77	102.97	131.51	107.38	106.63	114.36	96.01	86.43	164.42	53.19	201.25	0.0	0.29	26.1	37.59	66.18
THUMPD1	166.73	164.42	1572.76	1096.5	457.25	255.0	224.97	848.22	647.07	343.89	748.61	866.07	555.41	384.34	1059.11	500.46	1143.1	693.58	728.11	759.08	1794.29	902.89	547.75	819.3	228.13	483.38	603.67	299.25	486.75	417.77	511.0	599.49	381.68	688.78	371.22	98.73	281.09	223.41	293.07
TMX4	187.71	185.11	1135.2	1015.93	176.29	113.56	128.79	872.1	493.56	463.65	733.19	447.82	343.89	387.02	1111.82	400.71	1477.58	629.35	665.29	435.55	738.29	1104.13	497.0	679.29	271.48	353.59	293.07	371.22	547.75	435.55	356.05	854.13	281.09	511.0	287.01	117.6	236.21	193.01	285.03
TNFRSF19	4.9	43.63	229.72	172.65	33.78	20.56	67.59	146.03	638.15	182.55	299.25	808.0	260.38	80.57	1175.27	80.01	1135.2	780.44	733.19	988.12	753.83	1551.09	275.28	1268.46	113.56	125.24	64.34	194.36	688.78	194.36	96.01	287.01	138.1	629.35	0.0	0.29	18.03	25.54	158.79
TNRC18	262.2	429.54	1369.04	896.64	441.64	341.51	232.94	384.34	379.04	206.94	819.3	387.02	246.28	460.44	941.27	387.02	1104.13	536.45	1457.23	848.22	1111.82	890.44	483.38	1529.73	223.41	262.2	423.61	356.05	500.46	329.84	366.09	872.1	156.59	872.1	543.96	285.03	460.44	94.67	414.87
TRHDE	11.13	0.35	5.45	31.22	103.69	0.0	0.64	0.0	56.28	35.76	128.79	144.01	75.64	96.68	242.88	24.81	127.89	68.55	208.38	83.45	100.83	215.77	68.55	116.78	32.59	18.56	0.39	70.01	88.26	54.72	1.46	1.17	14.03	70.51	0.0	0.04	0.41	0.0	7.22
TRRAP	77.79	96.01	486.75	318.57	172.65	123.5	93.35	181.28	155.5	137.14	500.46	283.05	97.36	198.47	429.54	137.14	336.79	234.57	460.44	406.31	339.14	480.04	202.66	693.58	175.07	166.73	127.89	119.26	248.0	158.79	181.28	323.03	76.71	309.83	0.0	0.71	65.26	26.1	77.79
TTBK2	22.92	29.06	119.26	116.78	136.19	46.84	24.46	126.12	45.21	37.05	136.19	127.89	35.0	117.6	77.79	33.54	154.42	78.34	116.78	83.45	120.1	94.01	77.79	105.15	36.79	55.49	34.02	50.63	63.0	39.22	48.18	51.71	25.35	75.11	32.36	109.66	15.68	12.64	70.01
TVP23C-CDRT4	6.11	11.38	363.56	217.27	78.34	43.02	48.87	125.24	156.59	116.78	202.66	0.0	0.0	103.69	189.02	10.88	221.86	119.26	141.02	242.88	217.27	220.32	89.51	133.36	125.24	8.71	84.63	1.28	150.17	59.55	5.96	124.37	56.28	73.54	0.0	0.0	13.03	42.41	10.39
UBE3B	256.78	248.0	693.58	543.96	363.56	325.29	269.6	579.04	521.76	587.13	884.29	633.73	220.32	638.15	759.08	332.14	476.71	507.46	688.78	507.46	633.73	583.07	423.61	896.64	457.25	361.04	351.14	395.18	500.46	417.77	356.05	665.29	305.55	381.68	0.0	0.32	285.03	450.94	417.77
ULK2	69.03	79.45	651.58	463.65	285.03	53.57	112.77	217.27	155.5	173.85	265.87	291.04	24.81	297.17	142.01	144.01	363.56	202.66	432.53	246.28	264.03	287.01	248.0	239.52	262.2	123.5	127.0	229.72	194.36	102.97	114.36	112.77	116.78	166.73	0.0	0.37	38.95	73.03	197.09
USP22	575.03	551.56	3540.14	1806.78	1407.55	371.22	642.59	1721.16	2384.37	2682.69	2739.08	2303.12	591.22	1781.89	3443.31	1519.15	2520.38	1883.54	3212.66	3235.01	3639.7	3124.78	1662.49	4481.23	2796.65	1388.16	1540.37	1277.29	2384.37	1369.04	1709.26	2133.97	1066.48	2303.12	543.96	503.95	381.68	583.07	1794.29
VPS41	325.29	329.84	1583.71	1151.06	890.44	320.8	195.72	934.76	376.41	454.09	1081.39	571.05	234.57	463.65	1051.79	297.17	1119.56	769.69	1397.83	872.1	1369.04	1167.14	825.0	1369.04	633.73	417.77	361.04	285.03	656.11	409.15	543.96	660.68	438.59	669.92	379.04	444.72	312.0	185.11	403.5
ZBTB10	30.56	20.71	438.59	480.04	91.41	37.32	30.34	149.12	85.82	69.03	218.79	177.53	60.39	150.17	190.34	49.91	164.42	116.78	153.34	176.29	187.71	165.57	124.37	185.11	65.72	101.54	71.5	110.43	117.6	101.54	104.42	109.66	110.43	120.94	0.0	0.35	16.27	4.03	32.36
ZBTB20	7.57	3.14	100.83	37.59	90.77	5.32	4.54	29.7	20.56	30.78	173.85	148.09	28.24	36.79	65.72	19.53	147.06	18.03	57.49	77.25	143.01	105.15	30.34	277.2	15.56	13.22	40.93	17.9	43.63	36.79	12.93	68.07	10.39	46.18	0.0	0.11	0.95	5.23	12.09
ZBTB4	258.57	267.73	1407.55	1628.26	669.92	379.04	334.46	974.5	703.28	555.41	1151.06	1096.5	143.01	1096.5	1242.34	647.07	1551.09	967.76	1277.29	1208.34	1286.18	995.0	595.34	981.29	796.86	575.03	511.0	620.67	872.1	417.77	447.82	591.22	567.1	1059.11	293.07	309.83	93.35	167.9	536.45
ZFP90	194.36	262.2	633.73	595.34	293.07	146.03	123.5	563.18	209.84	189.02	575.03	825.0	109.66	392.44	825.0	279.14	791.35	435.55	860.08	647.07	1015.93	764.36	412.0	607.87	226.54	242.88	244.57	198.47	320.8	289.02	214.27	307.69	307.69	674.59	147.06	90.14	72.52	156.59	183.82
ZFYVE20	101.54	97.36	444.72	316.37	195.72	74.06	80.01	142.01	111.99	140.04	236.21	164.42	51.35	141.02	191.67	91.41	248.0	121.79	206.94	211.31	281.09	202.66	127.89	256.78	102.97	109.66	146.03	75.11	128.79	110.43	120.94	141.02	71.0	146.03	0.0	0.57	61.68	59.13	173.85
ZKSCAN2	12.09	12.18	81.71	43.94	16.75	17.0	14.89	71.5	53.95	42.11	50.27	49.91	28.86	51.35	92.05	35.76	82.29	74.06	73.03	51.71	128.79	94.01	58.3	78.89	40.64	34.51	51.35	36.01	38.67	41.52	56.68	62.12	45.21	48.87	0.0	0.06	18.97	5.15	19.97
ZNF236	17.25	24.99	138.1	87.65	72.01	18.43	17.51	50.27	31.67	25.35	87.03	106.63	18.56	70.01	58.71	19.68	96.01	43.02	101.54	79.45	132.44	81.71	57.49	64.8	45.53	41.81	29.06	26.67	57.08	21.78	22.59	58.3	19.82	70.01	0.0	0.44	22.59	6.16	30.34
ZNF385C	15.91	24.46	146.03	88.88	11.47	18.84	20.41	36.27	8.71	8.65	41.52	71.5	43.32	123.5	45.21	19.68	65.26	25.54	87.03	35.25	48.18	26.67	10.31	20.41	34.26	41.22	13.62	5.45	6.67	17.9	5.87	9.27	20.86	46.18	0.0	0.13	4.5	1.11	384.34
ZNF445	36.53	17.9	232.94	134.3	104.42	26.1	15.68	96.68	45.21	40.36	102.97	172.65	36.01	80.57	78.89	28.86	158.79	74.58	91.41	107.38	140.04	90.14	66.18	123.5	63.89	57.08	59.13	44.57	88.26	51.35	36.27	82.87	26.47	88.26	0.0	0.49	17.64	4.9	57.49
ZNF507	66.18	57.89	267.73	204.07	129.69	88.26	47.84	109.66	56.28	31.67	104.42	178.77	51.35	135.24	94.67	34.51	140.04	48.87	155.5	96.01	149.12	152.28	94.67	102.97	65.26	40.36	57.49	43.02	94.67	49.91	40.93	71.5	30.78	144.01	0.0	0.49	59.97	38.95	81.71
ZNF570	19.39	18.84	221.86	85.22	50.98	29.06	10.71	93.35	45.53	29.48	72.01	57.08	9.48	64.34	76.71	28.24	92.05	48.18	87.03	79.45	102.97	138.1	39.79	88.26	52.82	28.45	28.65	29.06	76.17	18.84	31.45	67.12	29.06	43.02	0.0	0.25	8.0	3.63	31.22
ZNF592	123.5	107.38	575.03	438.59	215.77	121.79	173.85	267.73	279.14	173.85	387.02	237.86	195.72	260.38	283.05	176.29	332.14	167.9	395.18	279.14	348.71	323.03	376.41	312.0	228.13	122.64	255.0	215.77	346.29	187.71	236.21	318.57	169.07	248.0	0.0	0.71	121.79	21.78	255.0
ZNF610	27.64	17.0	231.32	117.6	34.02	8.13	6.94	30.78	61.68	37.85	65.26	144.01	23.76	132.44	136.19	63.0	95.34	48.87	115.16	165.57	169.07	115.97	37.85	84.04	85.82	63.45	106.63	23.25	79.45	81.14	20.11	59.97	43.94	113.56	0.0	0.21	10.31	1.89	26.1
ZNF621	23.76	15.8	329.84	123.5	98.04	40.64	13.42	212.78	61.68	75.11	165.57	343.89	16.63	205.5	135.24	45.53	309.83	88.26	187.71	183.82	277.2	228.13	111.21	191.67	58.71	76.17	73.03	41.81	98.73	34.02	56.68	89.51	22.1	138.1	0.0	0.48	45.85	18.43	39.79
ZNF827	35.5	23.42	521.76	291.04	155.5	31.0	54.72	198.47	85.82	98.73	171.45	316.37	52.08	82.29	189.02	78.89	281.09	132.44	208.38	187.71	285.03	202.66	190.34	236.21	79.45	65.72	86.43	89.51	148.09	61.25	64.8	132.44	46.84	144.01	0.0	0.32	6.16	17.9	41.81
