	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.ET.A2MX.01A.11R.A23N.07	GTEX.Y111.1926.SM.4SOIS	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.12ZZZ.1226.SM.59HK1	GTEX.12WSK.0926.SM.5CVNQ	GTEX.T5JW.1226.SM.3GACY	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.1399R.0126.SM.5IFEV	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.WY7C.0226.SM.3NB37	GTEX.Y3IK.0526.SM.4WWE3	GTEX.PX3G.2626.SM.2I3EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.YB5K.0526.SM.5LUAS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.1211K.0726.SM.5FQUW	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.111FC.1026.SM.5GZX1
THY1	0.0	0.0	599.49	2351.53	1427.22	2178.83	1447.15	1359.57	450.94	848.22	3614.55	2163.77	575.03	1662.49	1467.37	1119.56	3589.58	2148.82	4903.87	555.41	3060.45	961.07	2502.97	2468.49	819.3	559.28	406.31	808.0	579.04	283.05	1313.23	441.64	2018.8
TP53I11	0.0	0.84	323.03	693.58	629.35	872.1	381.68	759.08	417.77	684.02	1437.15	825.0	567.1	612.11	1313.23	395.18	974.5	2319.15	718.08	995.0	575.03	718.08	1233.75	1498.22	255.0	371.22	723.08	341.51	325.29	860.08	591.22	555.41	679.29
TPPP3	0.0	0.0	96.68	1233.75	195.72	708.18	249.73	511.0	136.19	202.66	2271.4	376.41	147.06	1051.79	575.03	429.54	2720.15	334.46	688.78	108.9	1896.65	332.14	543.96	490.14	277.2	212.78	73.54	260.38	148.09	120.94	236.21	170.25	703.28
TRIM6	0.0	0.35	17.13	199.85	195.72	236.21	169.07	165.57	100.13	94.67	170.25	137.14	80.57	93.35	185.11	55.89	180.02	185.11	113.56	57.49	78.89	153.34	212.78	312.0	97.36	115.97	80.57	205.5	111.99	40.07	132.44	48.18	279.14
TSHZ2	0.0	0.32	2.46	46.5	20.11	40.07	10.16	38.95	11.38	16.27	73.03	52.08	25.17	59.13	44.89	24.63	61.25	34.26	74.06	15.8	84.63	38.67	62.12	65.72	5.96	24.46	12.64	9.06	11.55	11.3	18.56	21.01	51.71
TSSC1	0.0	0.22	547.75	1051.79	1617.0	1088.92	764.36	1096.5	503.95	525.39	1540.37	974.5	642.59	872.1	961.07	674.59	1183.45	941.27	1175.27	665.29	909.17	819.3	890.44	1417.35	819.3	607.87	738.29	813.63	616.37	414.87	769.69	928.3	1709.26
TTC40	0.0	0.0	53.57	339.14	144.01	242.88	111.21	204.07	145.02	84.63	264.03	285.03	99.43	218.79	217.27	281.09	329.84	131.51	127.0	122.64	244.57	218.79	205.5	318.57	94.01	101.54	147.06	95.34	135.24	134.3	215.77	161.02	351.14
VAV2	0.0	0.8	320.8	796.86	454.09	780.44	400.71	575.03	351.14	426.57	764.36	507.46	336.79	669.92	665.29	480.04	633.73	599.49	647.07	441.64	878.17	490.14	591.22	665.29	267.73	301.33	361.04	218.79	301.33	343.89	444.72	559.28	547.75
XXbac-BPG32J3.20	0.0	0.0	0.55	30.34	23.76	19.53	24.99	19.11	0.0	0.0	46.84	20.86	13.93	31.0	19.25	26.28	37.32	0.0	33.3	20.86	17.51	17.0	8.78	31.67	10.24	20.71	6.11	6.26	0.0	3.2	0.0	26.47	39.22
ZNF429	0.0	0.28	112.77	395.18	412.0	444.72	339.14	366.09	387.02	305.55	406.31	438.59	314.17	309.83	454.09	258.57	379.04	457.25	341.51	414.87	351.14	373.81	490.14	432.53	318.57	387.02	297.17	234.57	265.87	417.77	271.48	283.05	457.25
