	GTEX.13O61.1226.SM.5KM21	TCGA.BC.A110.11A.11R.A131.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.HF.7132.01A.11R.2055.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.CG.4301.01A.01R.1157.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.HU.A4G3.11A.11R.A24K.31	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13	GTEX.P4PQ.1526.SM.3NMCK	GTEX.RU1J.0526.SM.46MUT	GTEX.XAJ8.0326.SM.47JYI	GTEX.TKQ2.0926.SM.4DXU5	GTEX.UPIC.1826.SM.4IHKC	GTEX.S7SF.0626.SM.4AD4V
TSPAN18	738.29	34.51	5.02	194.36	232.94	295.11	117.6	52.45	3467.27	177.53	265.87	414.87	2384.37	457.25	159.9	928.3	693.58	120.1	232.94	2997.45	228.13	172.65	94.01	59.97	2591.27	103.69	242.88	2209.26	3103.19	2520.38	2061.24	2335.28	1447.15
TUB	142.01	3.23	0.0	0.0	57.49	26.1	14.14	7.51	183.82	18.29	47.17	77.25	197.09	50.63	18.29	151.22	64.34	31.67	34.02	206.94	36.27	15.34	10.0	13.32	165.57	22.75	39.79	103.69	267.73	187.71	295.11	503.95	212.78
UBQLN2	511.0	423.61	371.22	0.0	647.07	651.58	454.09	571.05	1208.34	579.04	567.1	961.07	1030.12	595.34	417.77	669.92	571.05	518.15	423.61	1119.56	392.44	460.44	373.81	251.48	1208.34	389.72	432.53	1250.98	981.29	1008.9	1498.22	1088.92	1359.57
UBXN10	194.36	164.42	84.63	0.0	74.06	165.57	21.47	2.46	353.59	5.15	17.51	226.54	231.32	70.01	10.88	100.13	90.14	51.35	34.26	314.17	17.64	20.26	10.96	34.26	287.01	5.92	46.5	532.74	518.15	363.56	258.57	412.0	624.99
ZNF286B	32.36	1.87	11.64	25.54	59.13	31.45	26.47	14.78	80.57	7.69	22.59	51.71	53.19	24.81	21.16	75.64	57.49	17.51	22.75	34.02	40.07	16.63	38.4	3.76	55.1	16.63	32.59	46.5	37.85	47.17	71.0	94.67	84.63
ZNF304	118.43	19.68	11.13	0.0	108.14	51.35	68.55	111.99	182.55	151.22	75.11	119.26	152.28	85.82	48.52	90.77	105.15	78.89	65.72	167.9	77.25	57.49	57.89	63.45	193.01	48.52	74.06	217.27	265.87	232.94	334.46	343.89	301.33
ZNF48	149.12	59.55	29.7	0.0	84.04	185.11	99.43	121.79	237.86	55.89	170.25	202.66	215.77	129.69	108.9	181.28	171.45	157.68	102.97	273.37	116.78	114.36	105.89	89.51	356.05	101.54	120.1	154.42	214.27	223.41	277.2	343.89	255.0
ZNF517	224.97	31.22	21.78	0.0	161.02	121.79	88.26	136.19	256.78	56.68	128.79	303.44	346.29	105.89	103.69	232.94	170.25	118.43	102.97	255.0	147.06	125.24	88.88	50.98	241.19	84.63	104.42	262.2	241.19	248.0	366.09	447.82	312.0
ZNF74	90.77	19.82	14.45	0.0	115.16	153.34	88.88	81.71	169.07	98.73	156.59	205.5	158.79	122.64	68.07	193.01	164.42	118.43	79.45	194.36	136.19	102.25	82.29	46.18	173.85	82.29	92.7	120.1	173.85	169.07	251.48	229.72	220.32
ZNF786	60.82	39.79	24.28	52.45	78.34	82.29	55.89	49.21	85.22	29.27	62.56	125.24	90.14	65.72	49.91	85.82	68.07	59.97	50.98	107.38	82.29	65.26	40.07	21.32	100.83	36.01	63.45	103.69	68.55	98.73	140.04	126.12	139.07
ZXDA	54.72	18.16	19.25	0.0	69.52	53.95	27.64	52.08	66.65	46.84	62.56	81.14	62.12	43.02	31.9	50.63	65.26	53.57	39.5	63.0	47.84	43.94	34.75	21.63	76.71	35.0	43.94	52.82	39.79	90.14	161.02	94.67	138.1
