	TCGA.A7.A26E.01A.11R.A169.07	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.ZYFC.0926.SM.5GZWW	GTEX.WWYW.0826.SM.3NB2X	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.WK11.0926.SM.3NMAU	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.PLZ4.1226.SM.2I5FE	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ
OGFOD3	400.71	339.14	353.59	343.89	314.17	463.65	246.28	486.75	0.66	616.37	1088.92	1051.79	753.83	2061.24	1143.1	2032.85	780.44	854.13	1030.12	1216.75	1030.12	1225.22	884.29	842.36	1151.06	819.3	836.53	878.17	878.17	1073.91	981.29	796.86	808.0	1350.18	1030.12	723.08
PDAP1	1857.6	559.28	406.31	909.17	2502.97	2004.85	373.81	2400.97	376.41	2240.11	3614.55	3982.99	3190.46	3847.29	3639.7	3540.14	2645.74	3280.18	3874.05	4181.07	3146.52	3235.01	2468.49	3081.75	3768.09	2915.45	3564.78	3589.58	2739.08	2997.45	3515.68	3467.27	2417.67	3589.58	3235.01	2956.17
PEMT	400.71	186.4	318.57	633.73	470.14	316.37	253.23	447.82	0.72	679.29	1295.13	1088.92	1037.29	1685.71	1487.87	1639.59	698.41	1331.57	1508.65	1540.37	1388.16	1769.57	896.64	1551.09	1950.0	1519.15	1143.1	1175.27	954.43	1369.04	2018.8	854.13	698.41	981.29	1572.76	941.27
PGLS	1066.48	567.1	896.64	620.67	1378.57	1073.91	518.15	1059.11	0.47	842.36	1397.83	1639.59	1936.53	1883.54	1674.06	1487.87	1551.09	1870.53	1733.13	1963.57	2777.33	2104.58	1030.12	2209.26	2061.24	2895.31	2004.85	1447.15	1388.16	1259.69	3190.46	1857.6	1233.75	1498.22	2018.8	1378.57
PHPT1	1733.13	1417.35	1104.13	713.11	2240.11	1369.04	2090.03	1909.85	878.17	1844.76	3665.02	3515.68	3564.78	4358.66	4038.61	5791.62	3325.99	4937.99	4543.8	5112.16	5147.73	6079.61	2555.58	6607.01	6426.31	5594.3	4481.23	2956.17	2739.08	4388.98	6887.62	3928.15	2664.15	3639.7	6164.49	3349.13
PNKP	384.34	460.44	185.11	249.73	358.54	334.46	293.07	368.65	0.97	381.68	547.75	884.29	1167.14	842.36	591.22	934.76	603.67	769.69	988.12	830.75	896.64	813.63	620.67	1059.11	860.08	684.02	1037.29	733.19	665.29	848.22	753.83	854.13	607.87	928.3	769.69	624.99
POLR2E	1757.34	1583.71	967.76	909.17	1832.01	1369.04	1051.79	1832.01	316.37	1662.49	2739.08	2537.92	3018.3	3060.45	2895.31	2739.08	2573.36	2855.44	3039.3	3443.31	2915.45	3146.52	2335.28	3303.0	3280.18	3235.01	2701.35	2417.67	2537.92	2645.74	3235.01	2701.35	2148.82	2816.11	4123.49	2434.5
PPCDC	271.48	327.56	124.37	358.54	256.78	273.37	214.27	368.65	0.38	348.71	334.46	400.71	336.79	571.05	371.22	483.38	291.04	379.04	395.18	571.05	476.71	463.65	346.29	460.44	406.31	381.68	423.61	341.51	373.81	307.69	403.5	400.71	332.14	318.57	476.71	395.18
PPDPF	7433.4	954.43	7911.95	4671.57	10084.54	6745.86	403.5	3639.7	0.95	2796.65	13681.08	11424.74	8421.31	21320.18	15499.21	17197.56	14663.09	10959.3	7911.95	22692.63	20737.16	17558.94	8363.13	13033.07	25530.66	13586.57	9540.5	10733.74	4181.07	3901.01	10808.41	8658.09	6935.54	6561.36	16045.82	7749.1
PPIE	1059.11	638.15	356.05	429.54	872.1	836.53	713.11	764.36	0.51	1447.15	1540.37	1286.18	1304.15	1540.37	1477.58	1427.22	961.07	1259.69	1286.18	1594.73	1477.58	1605.83	1407.55	1427.22	1313.23	1208.34	1151.06	1427.22	1023.0	1151.06	1359.57	1250.98	1104.13	1208.34	1583.71	1340.84
PPIL2	381.68	518.15	660.68	624.99	559.28	591.22	435.55	438.59	0.77	842.36	884.29	1208.34	1794.29	941.27	1030.12	1199.98	748.61	1104.13	1313.23	1044.52	1313.23	1059.11	961.07	1322.37	1023.0	1277.29	1167.14	1127.35	1135.2	1551.09	1268.46	1397.83	995.0	1457.23	1250.98	1015.93
PRR22	38.95	13.93	32.82	20.86	23.08	9.56	9.56	13.12	0.29	36.27	48.87	77.79	75.64	90.14	38.67	104.42	28.45	58.3	56.68	81.14	115.16	88.26	57.08	71.0	115.16	100.83	60.39	57.49	53.19	71.5	78.34	61.25	31.0	63.0	41.52	20.56
PSMF1	2061.24	921.88	1870.53	1832.01	1909.85	2090.03	642.59	1977.24	0.91	2193.99	2855.44	2796.65	2816.11	3564.78	3190.46	2434.5	2209.26	2956.17	3443.31	3146.52	2701.35	2997.45	2384.37	2319.15	2997.45	2682.69	2434.5	2739.08	2816.11	2520.38	2816.11	2720.15	2915.45	2855.44	2591.27	2335.28
R3HCC1	447.82	551.56	395.18	194.36	432.53	476.71	551.56	480.04	0.34	571.05	825.0	703.28	665.29	813.63	693.58	723.08	503.95	624.99	547.75	759.08	842.36	902.89	612.11	624.99	743.43	708.18	698.41	698.41	571.05	579.04	693.58	684.02	579.04	791.35	693.58	518.15
RBBP8NL	57.49	41.81	27.05	13.12	29.91	50.98	60.39	33.78	0.0	61.68	89.51	44.25	112.77	66.65	98.73	248.0	33.78	191.67	85.82	127.0	58.3	84.63	48.18	141.02	99.43	112.77	127.0	48.52	24.11	96.68	100.13	124.37	59.97	59.55	105.89	87.65
RBM42	836.53	476.71	387.02	356.05	909.17	693.58	318.57	647.07	0.99	684.02	1709.26	1674.06	1457.23	2163.77	1551.09	1733.13	1639.59	1487.87	1662.49	1857.6	1745.2	1519.15	1030.12	1844.76	1883.54	1806.78	1519.15	1498.22	1313.23	1143.1	2032.85	1487.87	860.08	1477.58	1709.26	1259.69
RHBDD3	223.41	293.07	265.87	358.54	409.15	248.0	356.05	258.57	0.64	205.5	454.09	743.43	748.61	587.13	486.75	656.11	275.28	693.58	872.1	599.49	409.15	529.06	297.17	642.59	674.59	703.28	748.61	551.56	490.14	638.15	836.53	470.14	343.89	698.41	684.02	348.71
RHOT2	612.11	808.0	579.04	463.65	1487.87	473.41	571.05	624.99	1369.04	748.61	1216.75	1572.76	1936.53	1662.49	1508.65	2591.27	1819.35	1322.37	1540.37	1733.13	2591.27	1870.53	1001.93	1870.53	2255.7	1896.65	1498.22	1304.15	1159.07	1427.22	1794.29	1529.73	1259.69	1583.71	2178.83	1477.58
RILP	93.35	38.4	18.84	11.91	54.33	47.84	45.85	37.05	0.35	629.35	830.75	1143.1	1313.23	1183.45	941.27	1096.5	454.09	1096.5	1467.37	921.88	1051.79	1143.1	878.17	1551.09	1059.11	1457.23	1259.69	1167.14	995.0	842.36	1551.09	1151.06	753.83	1769.57	1183.45	575.03
RNASEK	3589.58	723.08	4575.41	6426.31	4903.87	3742.05	679.29	5711.87	1.0	4972.34	8078.22	6699.25	5831.91	8658.09	9606.86	8963.45	6745.86	7130.55	6426.31	8840.04	9945.68	8901.53	4607.24	7857.29	10084.54	8134.41	6426.31	5913.33	5791.62	5555.65	10084.54	6037.61	5255.91	5555.65	7537.18	8022.41
RNH1	1119.56	2004.85	603.67	1268.46	2367.9	1819.35	1832.01	1322.37	0.93	1991.0	2645.74	4010.71	4358.66	4038.61	3081.75	3665.02	3349.13	4010.71	4704.07	4152.18	4095.0	3874.05	2485.67	3955.48	4066.71	4210.15	3742.05	3742.05	3491.39	3280.18	4671.57	3235.01	2451.44	3372.43	4268.94	2816.11
ROMO1	2224.63	4066.71	555.41	1806.78	1697.45	2193.99	4123.49	1883.54	9344.14	2609.3	3955.48	5219.6	3168.41	7180.15	5219.6	4575.41	3515.68	5366.37	6516.03	5441.3	5913.33	5441.3	2178.83	8778.97	6079.61	7382.04	5995.9	3982.99	3665.02	3847.29	7537.18	4937.99	1794.29	4298.64	5479.15	2915.45
SAP30BP	1331.57	769.69	1008.9	1096.5	988.12	1304.15	603.67	1167.14	1030.12	1397.83	1427.22	1519.15	1733.13	1498.22	1397.83	1487.87	1268.46	1508.65	1457.23	1617.0	2032.85	1583.71	1508.65	1639.59	2018.8	1437.15	1583.71	1757.34	1508.65	1487.87	1561.89	1519.15	1199.98	1487.87	1477.58	1572.76
SF3B5	2400.97	1572.76	2209.26	2047.0	2148.82	2148.82	1697.45	2573.36	0.69	2303.12	3982.99	3690.52	3124.78	4388.98	3540.14	3491.39	3564.78	4972.34	4903.87	3768.09	3955.48	4038.61	2895.31	4268.94	4066.71	5006.93	4450.27	2976.74	3467.27	3564.78	4769.75	3639.7	2351.53	3690.52	3716.2	3639.7
SLC35C2	733.19	836.53	688.78	703.28	674.59	688.78	460.44	591.22	0.74	1037.29	1151.06	1467.37	1457.23	1127.35	872.1	934.76	1259.69	1119.56	1183.45	988.12	1519.15	1447.15	1143.1	1143.1	1313.23	1340.84	1167.14	1322.37	1331.57	1388.16	1467.37	1477.58	1242.34	1313.23	1322.37	1233.75
SLC39A13	361.04	616.37	244.57	307.69	591.22	429.54	341.51	373.81	1216.75	470.14	651.58	1259.69	1191.69	896.64	780.44	1225.22	669.92	1073.91	1233.75	785.88	884.29	842.36	483.38	1159.07	995.0	1259.69	1104.13	988.12	909.17	1159.07	1175.27	934.76	571.05	961.07	995.0	796.86
SMIM1	100.83	73.54	26.67	10.96	157.68	85.82	90.14	105.15	0.17	130.6	507.46	134.3	287.01	540.19	356.05	660.68	339.14	135.24	376.41	575.03	616.37	518.15	293.07	426.57	567.1	420.68	246.28	248.0	258.57	343.89	379.04	228.13	223.41	279.14	463.65	438.59
SPG7	633.73	748.61	363.56	420.68	808.0	607.87	665.29	753.83	0.95	1639.59	2178.83	1806.78	1685.71	1628.26	1923.14	2816.11	1242.34	1572.76	1674.06	1832.01	2193.99	2591.27	1733.13	2417.67	2119.22	2193.99	1950.0	1540.37	1477.58	2319.15	2047.0	2061.24	1437.15	2178.83	2047.0	2090.03
SRA1	583.07	466.88	336.79	575.03	470.14	500.46	708.18	688.78	0.48	616.37	819.3	1037.29	785.88	860.08	928.3	961.07	543.96	713.11	1066.48	896.64	819.3	928.3	620.67	1111.82	1030.12	1015.93	1127.35	665.29	1023.0	723.08	1529.73	698.41	457.25	819.3	1313.23	616.37
SULT1A1	212.78	532.74	279.14	563.18	1066.48	186.4	603.67	423.61	0.35	890.44	1909.85	2240.11	4450.27	1259.69	660.68	5366.37	303.44	1561.89	540.19	1073.91	1457.23	1001.93	2148.82	2240.11	1639.59	6516.03	5041.77	808.0	791.35	1909.85	3257.52	1769.57	753.83	915.51	2835.7	1175.27
TELO2	305.55	346.29	191.67	201.25	432.53	171.45	136.19	218.79	1.13	150.17	444.72	507.46	642.59	460.44	320.8	830.75	620.67	497.0	521.76	679.29	486.75	624.99	389.72	703.28	583.07	599.49	571.05	423.61	358.54	373.81	514.56	389.72	591.22	555.41	665.29	343.89
TG	32.82	100.83	8.78	10.0	12.09	7.17	123.5	15.0	0.64	682276.92	2068278.89	2247670.86	2126426.15	1751305.3	2375828.71	1611529.43	1204496.53	1634025.56	1997825.68	1535204.12	2986448.72	2425749.94	992012.34	1943195.01	1622738.51	2636147.11	2263304.65	2111737.85	1668359.93	1800541.22	3178687.03	3886391.01	1155430.26	2263304.65	2672946.37	1514068.5
THAP7	291.04	366.09	239.52	406.31	743.43	373.81	414.87	536.45	0.45	441.64	974.5	872.1	802.41	954.43	902.89	961.07	733.19	896.64	813.63	1096.5	1081.39	915.51	547.75	842.36	1051.79	1277.29	848.22	921.88	674.59	884.29	1388.16	791.35	693.58	974.5	854.13	854.13
TIMM13	1167.14	1159.07	674.59	493.56	1175.27	764.36	684.02	780.44	0.48	785.88	1662.49	1651.0	1685.71	2004.85	1617.0	2061.24	1721.16	1950.0	1923.14	2119.22	2384.37	2502.97	947.83	1781.89	2935.74	3039.3	1963.57	1233.75	1322.37	1561.89	3235.01	1733.13	1233.75	1674.06	2400.97	1477.58
TINAGL1	214.27	299.25	115.16	74.58	79.45	346.29	128.79	57.89	2119.22	1369.04	1427.22	3901.01	2485.67	2468.49	2178.83	1639.59	967.76	3212.66	3372.43	1540.37	1721.16	1388.16	708.18	4181.07	1427.22	3614.55	1721.16	2287.2	2224.63	2400.97	2485.67	2573.36	1151.06	3103.19	1844.76	1104.13
TMEM220	63.89	33.06	52.08	23.08	67.59	64.34	45.85	18.7	0.37	486.75	497.0	400.71	591.22	450.94	629.35	283.05	208.38	486.75	497.0	307.69	466.88	260.38	583.07	397.93	244.57	764.36	543.96	486.75	525.39	327.56	493.56	624.99	412.0	376.41	454.09	201.25
TMEM259	1159.07	1447.15	1477.58	854.13	1350.18	1051.79	693.58	1191.69	1.07	1806.78	2434.5	2915.45	3235.01	2835.7	2777.33	4358.66	3665.02	2384.37	2384.37	2997.45	4481.23	2935.74	1936.53	2997.45	3372.43	2976.74	2502.97	2627.46	2255.7	2609.3	2664.15	2468.49	2032.85	2645.74	3146.52	2664.15
TP53I3	158.79	223.41	63.0	128.79	409.15	253.23	139.07	301.33	0.41	486.75	466.88	934.76	1023.0	563.18	738.29	612.11	295.11	674.59	1051.79	708.18	848.22	1096.5	547.75	2119.22	679.29	1015.93	738.29	563.18	463.65	629.35	1159.07	928.3	444.72	511.0	1407.55	599.49
TRAPPC5	1397.83	1806.78	1023.0	414.87	1167.14	1167.14	2047.0	587.13	0.49	466.88	1508.65	2193.99	2209.26	2835.7	2047.0	1457.23	2351.53	2335.28	2061.24	2133.97	2816.11	1685.71	954.43	3443.31	1757.34	3564.78	2682.69	1572.76	1277.29	1407.55	4038.61	1936.53	1030.12	1617.0	1923.14	1340.84
TRIP6	733.19	780.44	139.07	44.57	450.94	860.08	679.29	718.08	1.14	961.07	1508.65	2335.28	2664.15	1950.0	1467.37	2090.03	1417.35	1529.73	2090.03	1733.13	2163.77	1923.14	1388.16	1991.0	2224.63	2163.77	2047.0	2384.37	1832.01	1819.35	2090.03	1857.6	1350.18	2178.83	1745.2	1151.06
VEGFB	1832.01	1119.56	1304.15	2335.28	1733.13	2434.5	409.15	1936.53	0.59	2351.53	3901.01	2555.58	4388.98	3901.01	3639.7	4543.8	3060.45	4010.71	4095.0	5076.84	4066.71	4972.34	2287.2	4575.41	5219.6	4066.71	3515.68	3081.75	2875.3	3515.68	4671.57	3467.27	5183.54	3395.89	5403.7	3212.66
WDR34	1159.07	1015.93	915.51	748.61	1037.29	1135.2	780.44	688.78	0.32	1167.14	1709.26	1819.35	2303.12	2104.58	1709.26	2224.63	1225.22	2240.11	2178.83	1909.85	1977.24	2468.49	1359.57	3146.52	2384.37	2591.27	1991.0	1844.76	1259.69	2075.59	2645.74	1844.76	1477.58	1721.16	2720.15	1674.06
ZNF575	36.53	15.68	8.71	13.72	23.08	17.64	6.73	17.9	0.02	35.5	66.65	36.01	64.8	67.12	74.06	52.45	59.97	31.9	42.11	77.25	80.01	43.63	35.5	69.52	69.03	45.53	59.13	46.18	49.91	37.05	35.25	48.18	36.79	46.84	49.21	31.9
