	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.EJ.A65J.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
STARD8	146.03	22.26	65.26	13.93	115.16	55.1	39.22	80.57	8.85	44.25	19.68	51.35	46.84	31.45	98.73	53.57	38.4	148.09	110.43	12.93	32.82	41.81	241.19	10.31	37.32	103.69	102.97	99.43	156.59	19.68	239.52	47.17	23.76	39.22	13.52	9.85	94.01	34.26	7.06	54.33	68.55	30.34	20.11	110.43	406.31	148.09	339.14	123.5	341.51
STX2	102.25	41.22	67.59	47.5	127.0	58.71	86.43	90.77	27.05	63.0	28.86	51.35	57.08	78.89	142.01	68.55	68.55	119.26	116.78	31.22	49.91	34.75	182.55	28.86	37.32	97.36	69.52	137.14	116.78	52.08	152.28	43.02	46.18	38.12	38.67	36.27	79.45	70.51	33.78	68.07	78.34	34.02	42.11	131.51	275.28	139.07	193.01	129.69	194.36
SYNPO	684.02	111.21	384.34	74.06	624.99	185.11	376.41	616.37	96.01	212.78	193.01	224.97	316.37	239.52	507.46	356.05	242.88	651.58	624.99	104.42	301.33	273.37	1304.15	64.8	229.72	426.57	559.28	460.44	417.77	90.14	1044.52	269.6	177.53	151.22	178.77	167.9	368.65	183.82	83.45	277.2	325.29	283.05	142.01	693.58	791.35	651.58	1277.29	511.0	1639.59
SYT11	194.36	28.04	96.01	14.35	175.07	56.68	65.72	171.45	18.03	57.49	25.72	45.85	59.13	53.57	202.66	63.0	63.45	214.27	125.24	10.96	64.34	62.12	329.84	13.93	56.68	105.89	123.5	140.04	157.68	17.25	332.14	49.91	32.82	55.49	36.27	30.34	121.79	35.0	11.47	88.88	90.14	44.25	38.4	182.55	309.83	221.86	403.5	236.21	368.65
TGFBR2	1051.79	251.48	500.46	117.6	723.08	379.04	389.72	607.87	55.1	295.11	123.5	371.22	392.44	283.05	674.59	301.33	371.22	612.11	791.35	108.9	256.78	305.55	1250.98	100.83	329.84	954.43	1104.13	571.05	780.44	125.24	1104.13	348.71	217.27	249.73	109.66	126.12	483.38	228.13	88.26	363.56	325.29	291.04	171.45	854.13	947.83	785.88	1259.69	961.07	1437.15
TGFBR3	351.14	53.95	155.5	22.92	309.83	139.07	151.22	187.71	16.63	84.04	60.82	85.22	91.41	88.88	312.0	72.52	92.7	305.55	186.4	13.62	68.07	57.89	414.87	18.16	87.03	102.97	221.86	198.47	214.27	57.08	356.05	77.25	38.95	70.01	29.06	49.91	164.42	53.19	24.46	100.13	138.1	84.63	61.25	287.01	363.56	248.0	603.67	291.04	638.15
TSHZ3	149.12	27.44	165.57	21.63	303.44	108.9	134.3	108.9	37.05	108.14	43.02	58.71	60.82	96.01	206.94	77.79	61.25	199.85	112.77	13.83	74.06	50.27	327.56	22.1	54.72	93.35	133.36	171.45	152.28	31.45	271.48	55.49	48.18	84.04	38.12	52.45	134.3	65.72	21.01	69.03	132.44	206.94	27.44	262.2	209.84	267.73	307.69	281.09	297.17
UST	187.71	15.11	100.13	31.67	159.9	123.5	69.52	121.79	40.07	56.68	23.25	37.59	50.98	59.97	149.12	47.5	48.18	132.44	198.47	16.39	68.07	51.71	149.12	9.85	38.4	175.07	80.01	108.14	65.72	15.56	194.36	43.94	68.55	46.5	12.27	40.07	75.11	53.57	17.25	171.45	143.01	97.36	22.1	164.42	204.07	157.68	194.36	220.32	221.86
VCAM1	273.37	43.32	118.43	24.99	242.88	41.81	176.29	129.69	11.21	75.11	36.53	211.31	33.06	60.82	343.89	135.24	154.42	239.52	172.65	29.27	46.5	41.22	260.38	50.63	80.57	65.72	256.78	231.32	181.28	14.89	204.07	57.08	28.24	36.27	41.22	26.1	65.72	48.52	17.38	94.01	40.93	80.57	13.83	189.02	208.38	165.57	215.77	91.41	356.05
VSTM4	273.37	50.27	122.64	14.89	248.0	92.7	94.67	206.94	27.05	91.41	26.67	36.27	100.13	58.3	265.87	81.14	60.82	258.57	177.53	8.85	72.01	48.18	400.71	8.58	30.56	141.02	153.34	165.57	170.25	27.05	351.14	68.55	27.25	54.72	21.47	51.71	147.06	43.94	16.39	178.77	105.89	38.12	26.86	195.72	262.2	273.37	336.79	269.6	463.65
WISP1	59.97	4.94	25.17	12.74	42.71	26.28	19.11	32.82	2.71	12.27	7.69	12.83	9.13	7.94	72.52	18.16	14.35	18.43	16.15	6.89	9.34	7.88	28.04	8.45	17.25	20.71	16.27	70.01	37.85	7.82	37.85	15.8	10.63	7.46	17.64	2.68	11.38	13.22	4.94	6.21	21.01	9.41	7.82	59.55	61.25	51.35	94.01	42.11	73.03
ZEB1	336.79	26.86	208.38	26.67	275.28	114.36	135.24	185.11	16.27	76.17	55.1	105.15	86.43	105.89	327.56	93.35	127.89	237.86	136.19	12.64	57.89	49.91	269.6	43.02	89.51	154.42	185.11	177.53	187.71	34.02	303.44	72.01	55.49	121.79	57.89	42.11	127.0	57.49	25.35	69.52	110.43	82.87	63.89	269.6	341.51	242.88	426.57	327.56	441.64
ZEB2	341.51	47.5	145.02	19.68	334.46	104.42	170.25	229.72	10.0	71.5	43.94	84.04	85.82	79.45	454.09	98.73	119.26	353.59	307.69	17.0	72.52	103.69	493.56	39.5	111.21	171.45	204.07	189.02	363.56	31.22	503.95	108.9	59.55	104.42	34.02	51.35	167.9	83.45	21.32	65.26	84.04	93.35	39.79	371.22	547.75	420.68	764.36	232.94	629.35
