	TCGA.5N.A9KM.01A.11R.A42T.07	TCGA.XF.AAN3.01A.11R.A42T.07	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.GV.A3QF.01A.31R.A22U.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.DK.AA6Q.01A.11R.A39I.07	TCGA.K4.A5RI.01A.11R.A28M.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.EK.A2RM.01A.21R.A18M.07	TCGA.CM.5862.01A.01R.1653.07	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.CN.6992.01A.11R.1915.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CN.6010.01A.11R.1686.07	TCGA.CV.7254.01A.11R.2016.07	TCGA.QK.A6VB.01A.12R.A34R.07	TCGA.CQ.A4CI.01A.11R.A266.07	TCGA.CN.6023.01A.11R.1686.07	TCGA.QK.A8Z8.01A.11R.A39I.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.CC.A5UD.01A.11R.A28V.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.2Y.A9GS.01A.12R.A38B.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10R.01A.11R.A131.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.CC.A5UE.01A.11R.A28V.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.13NZ9.1326.SM.5MR3V	TCGA.93.8067.01A.11R.2287.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.3615.01A.01R.0946.07	TCGA.44.3917.01A.01R.A278.07	TCGA.35.5375.01A.01R.1628.07	TCGA.49.4486.01A.01R.1206.07	TCGA.67.3771.01A.01R.0946.07	TCGA.38.4631.01A.01R.1755.07	TCGA.50.5066.01A.01R.1628.07	TCGA.78.7154.01A.11R.2039.07	GTEX.OOBJ.0526.SM.48TDK	GTEX.YB5E.0726.SM.4VDSH	TCGA.22.5485.01A.01R.1635.07	TCGA.18.3415.01A.01R.0980.07	TCGA.33.4589.01A.01R.1443.07	TCGA.66.2766.01A.01R.0851.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.4086.01A.01R.1100.07	TCGA.79.5596.01A.31R.1949.07	TCGA.46.3768.01A.01R.0980.07	TCGA.66.2758.01A.02R.0851.07	TCGA.33.4538.01A.01R.1201.07	TCGA.18.3411.01A.01R.0980.07	TCGA.O2.A52S.01A.11R.A262.07	TCGA.18.5592.01A.01R.1635.07	TCGA.39.5016.01A.01R.1443.07	TCGA.21.1075.01A.01R.0692.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.39.5036.01A.01R.1443.07	TCGA.66.2727.01A.01R.0980.07	TCGA.37.4130.01A.01R.1100.07	TCGA.94.7557.01A.11R.2125.07	TCGA.66.2795.01A.02R.0980.07	TCGA.85.7698.01A.11R.2125.07	TCGA.94.A5I6.01A.21R.A27Q.07	TCGA.77.6843.01A.11R.1949.07	TCGA.56.A4BX.01A.11R.A24H.07	TCGA.22.5473.01A.01R.1635.07	TCGA.98.A53I.01A.31R.A262.07	TCGA.43.3394.01A.01R.0980.07	TCGA.22.5477.01A.01R.1635.07	TCGA.18.3408.01A.01R.0980.07	TCGA.BR.6802.11A.01R.1884.13
KAT6B	50.27	132.44	105.15	69.52	190.34	136.19	75.64	62.56	60.82	38.95	72.52	35.25	205.5	146.03	251.48	133.36	94.67	193.01	195.72	151.22	23.08	28.04	41.81	36.79	36.79	46.18	31.9	72.01	55.49	23.42	29.91	58.71	26.47	53.19	24.28	55.49	55.49	94.01	33.78	88.88	87.65	43.32	65.26	115.16	33.78	31.45	95.34	262.2	161.02	109.66	79.45	12.93	91.41	37.05	132.44	117.6	169.07	143.01	113.56	52.82	260.38	273.37	90.77	161.02	37.05	61.25	124.37	54.33	265.87	146.03	195.72	229.72	244.57	130.6	100.83	175.07	142.01	708.18	187.71	78.89
KDM5A	171.45	381.68	251.48	201.25	256.78	256.78	197.09	209.84	226.54	159.9	162.14	111.99	353.59	301.33	373.81	279.14	532.74	221.86	460.44	279.14	27.25	47.84	131.51	100.13	93.35	114.36	177.53	139.07	142.01	85.82	109.66	118.43	116.78	194.36	105.15	108.9	78.89	361.04	165.57	177.53	371.22	104.42	116.78	175.07	166.73	164.42	358.54	202.66	175.07	334.46	221.86	114.36	176.29	90.77	220.32	353.59	325.29	242.88	403.5	226.54	420.68	642.59	228.13	244.57	90.77	305.55	299.25	120.94	483.38	262.2	323.03	616.37	450.94	287.01	376.41	260.38	591.22	896.64	271.48	87.65
KIAA0226	150.17	220.32	239.52	277.2	140.04	262.2	165.57	148.09	201.25	167.9	74.58	81.71	312.0	255.0	412.0	198.47	171.45	178.77	493.56	336.79	50.27	46.84	80.57	98.04	67.59	131.51	87.65	67.12	78.89	40.36	67.59	101.54	69.03	113.56	76.71	60.82	72.52	205.5	42.11	139.07	130.6	89.51	101.54	503.95	68.07	88.26	164.42	171.45	206.94	232.94	100.13	67.12	134.3	97.36	232.94	473.41	314.17	202.66	139.07	139.07	536.45	251.48	208.38	55.89	97.36	159.9	204.07	75.11	307.69	202.66	202.66	339.14	223.41	423.61	169.07	281.09	220.32	237.86	129.69	52.08
KIDINS220	281.09	376.41	414.87	303.44	400.71	320.8	457.25	305.55	253.23	265.87	348.71	194.36	733.19	361.04	934.76	476.71	470.14	376.41	543.96	583.07	33.06	140.04	195.72	158.79	120.1	279.14	131.51	149.12	248.0	108.14	100.83	303.44	87.03	285.03	181.28	187.71	137.14	236.21	127.0	239.52	503.95	175.07	232.94	490.14	141.02	123.5	226.54	486.75	429.54	507.46	325.29	96.01	82.87	147.06	226.54	612.11	301.33	241.19	447.82	242.88	884.29	599.49	450.94	297.17	147.06	264.03	376.41	149.12	529.06	341.51	607.87	638.15	587.13	518.15	358.54	718.08	555.41	665.29	423.61	150.17
KMT2A	65.26	177.53	223.41	162.14	234.57	182.55	115.16	97.36	87.03	84.63	99.43	46.84	181.28	151.22	299.25	131.51	152.28	166.73	202.66	198.47	12.45	44.57	59.97	50.98	46.18	135.24	73.54	76.71	63.0	45.53	35.25	61.68	50.63	88.26	91.41	60.39	55.1	110.43	53.19	131.51	295.11	44.89	52.45	206.94	57.49	63.0	297.17	178.77	117.6	172.65	99.43	21.32	72.52	47.84	157.68	246.28	109.66	136.19	221.86	78.34	231.32	316.37	119.26	161.02	47.84	176.29	141.02	60.82	368.65	136.19	279.14	228.13	291.04	124.37	94.67	169.07	148.09	218.79	139.07	86.43
KMT2D	108.14	503.95	525.39	414.87	463.65	417.77	466.88	351.14	397.93	224.97	285.03	76.71	688.78	532.74	769.69	224.97	647.07	444.72	759.08	591.22	31.22	143.01	204.07	212.78	134.3	323.03	297.17	220.32	267.73	129.69	154.42	265.87	94.01	206.94	137.14	150.17	201.25	708.18	127.89	332.14	595.34	51.35	150.17	638.15	264.03	56.68	329.84	392.44	277.2	493.56	221.86	22.26	223.41	69.03	316.37	819.3	463.65	305.55	466.88	156.59	842.36	595.34	273.37	190.34	69.03	285.03	336.79	156.59	896.64	211.31	599.49	490.14	638.15	511.0	289.02	454.09	301.33	1151.06	244.57	39.79
MAFG	88.26	713.11	884.29	209.84	1059.11	947.83	503.95	412.0	651.58	392.44	332.14	291.04	728.11	830.75	825.0	450.94	780.44	785.88	2018.8	947.83	29.7	249.73	198.47	511.0	104.42	406.31	271.48	159.9	139.07	142.01	223.41	87.03	95.34	543.96	332.14	260.38	269.6	571.05	157.68	633.73	297.17	563.18	167.9	1066.48	409.15	221.86	457.25	226.54	202.66	1037.29	441.64	241.19	486.75	389.72	547.75	866.07	1023.0	928.3	500.46	738.29	1322.37	1030.12	764.36	603.67	389.72	571.05	866.07	127.89	684.02	669.92	753.83	915.51	1135.2	563.18	738.29	733.19	384.34	1286.18	316.37	153.34
MED13L	88.26	346.29	320.8	151.22	307.69	291.04	217.27	177.53	154.42	122.64	237.86	80.57	403.5	215.77	555.41	246.28	387.02	334.46	460.44	269.6	21.01	60.82	93.35	127.89	48.18	140.04	101.54	150.17	102.25	43.63	48.52	131.51	48.18	76.17	78.89	90.14	71.5	551.56	211.31	224.97	759.08	129.69	189.02	426.57	262.2	77.79	241.19	209.84	228.13	305.55	166.73	35.0	126.12	91.41	248.0	511.0	320.8	175.07	441.64	106.63	660.68	547.75	271.48	253.23	91.41	186.4	295.11	100.83	371.22	249.73	470.14	346.29	376.41	346.29	175.07	334.46	232.94	642.59	281.09	74.58
MGA	71.5	110.43	101.54	100.83	205.5	119.26	92.05	71.5	100.13	99.43	116.78	63.89	186.4	88.88	162.14	90.77	175.07	114.36	228.13	81.14	10.0	28.65	38.67	51.71	40.93	90.77	60.82	39.22	43.94	28.24	30.34	66.18	24.28	55.89	60.39	47.17	65.26	128.79	60.82	82.87	785.88	35.76	43.02	144.01	51.71	37.59	112.77	103.69	80.57	132.44	68.55	18.7	61.68	41.22	101.54	137.14	110.43	70.51	124.37	65.26	194.36	115.97	83.45	77.25	41.22	71.5	109.66	77.25	182.55	91.41	145.02	139.07	156.59	165.57	71.5	142.01	99.43	123.5	80.57	40.07
MGAT5	122.64	361.04	283.05	201.25	392.44	397.93	297.17	246.28	194.36	226.54	387.02	111.21	486.75	441.64	764.36	381.68	387.02	301.33	435.55	521.76	33.54	74.58	100.83	109.66	61.68	165.57	75.64	25.91	37.32	87.65	100.13	101.54	82.87	45.21	41.22	130.6	91.41	316.37	126.12	201.25	277.2	96.01	48.18	497.0	109.66	70.01	1051.79	197.09	325.29	728.11	212.78	38.4	147.06	82.29	323.03	309.83	476.71	532.74	603.67	316.37	521.76	316.37	283.05	291.04	82.29	214.27	299.25	59.13	241.19	228.13	389.72	384.34	583.07	206.94	343.89	454.09	251.48	389.72	363.56	177.53
MNT	99.43	175.07	297.17	307.69	206.94	334.46	163.28	159.9	214.27	96.01	194.36	111.99	363.56	423.61	256.78	167.9	314.17	234.57	236.21	267.73	46.18	67.59	142.01	97.36	78.89	116.78	80.01	163.28	82.87	97.36	65.72	144.01	43.32	111.21	84.63	116.78	108.9	368.65	113.56	228.13	102.97	49.91	107.38	363.56	163.28	78.34	265.87	180.02	211.31	273.37	149.12	65.72	131.51	76.17	232.94	547.75	279.14	215.77	348.71	105.15	285.03	518.15	165.57	158.79	76.17	194.36	151.22	78.34	285.03	132.44	320.8	373.81	395.18	289.02	187.71	356.05	305.55	316.37	82.29	90.77
MYCBP2	206.94	285.03	1757.34	172.65	1583.71	283.05	660.68	327.56	395.18	171.45	830.75	172.65	1119.56	1104.13	698.41	575.03	748.61	392.44	1233.75	525.39	41.52	139.07	171.45	120.1	135.24	143.01	164.42	103.69	229.72	79.45	114.36	118.43	35.0	181.28	65.26	122.64	264.03	301.33	97.36	244.57	825.0	91.41	132.44	656.11	172.65	175.07	275.28	264.03	244.57	514.56	329.84	63.0	339.14	138.1	507.46	769.69	454.09	361.04	486.75	277.2	463.65	941.27	624.99	351.14	138.1	178.77	403.5	180.02	273.37	255.0	785.88	1350.18	688.78	1286.18	334.46	514.56	389.72	775.05	674.59	94.67
NOM1	193.01	143.01	211.31	180.02	320.8	341.51	167.9	115.16	119.26	108.14	285.03	136.19	339.14	115.16	224.97	177.53	185.11	309.83	237.86	114.36	70.51	113.56	110.43	73.03	130.6	189.02	146.03	57.08	98.04	82.29	77.25	127.0	82.29	57.89	115.97	138.1	90.14	130.6	269.6	128.79	348.71	106.63	110.43	218.79	120.1	80.57	157.68	103.69	105.89	166.73	142.01	42.11	223.41	112.77	209.84	316.37	255.0	221.86	297.17	224.97	363.56	236.21	167.9	262.2	112.77	122.64	224.97	161.02	236.21	202.66	289.02	307.69	118.43	283.05	186.4	248.0	275.28	336.79	92.05	49.21
NOTCH1	40.07	214.27	703.28	265.87	808.0	620.67	397.93	211.31	327.56	68.55	497.0	84.04	429.54	599.49	688.78	414.87	98.04	183.82	1015.93	73.03	18.56	40.93	95.34	113.56	110.43	85.22	59.13	70.51	52.45	65.26	93.35	148.09	52.82	37.85	45.53	71.5	78.34	260.38	32.13	163.28	100.13	36.53	63.0	132.44	29.91	33.3	136.19	543.96	341.51	275.28	119.26	19.53	109.66	61.68	151.22	346.29	283.05	255.0	218.79	65.26	909.17	423.61	403.5	108.14	61.68	249.73	182.55	73.03	384.34	181.28	591.22	368.65	258.57	371.22	258.57	454.09	101.54	323.03	36.53	24.63
PAXIP1	108.9	142.01	173.85	211.31	269.6	170.25	182.55	120.94	87.03	98.73	175.07	98.04	273.37	78.89	212.78	131.51	220.32	241.19	211.31	314.17	10.55	61.68	125.24	106.63	81.14	183.82	117.6	110.43	81.14	68.55	82.29	142.01	63.89	69.52	117.6	151.22	102.25	111.99	126.12	124.37	159.9	110.43	88.26	163.28	150.17	51.35	248.0	120.1	120.94	165.57	62.56	26.1	137.14	108.9	171.45	277.2	241.19	156.59	264.03	173.85	432.53	234.57	161.02	195.72	108.9	75.11	156.59	114.36	242.88	167.9	228.13	279.14	148.09	275.28	161.02	221.86	208.38	358.54	148.09	97.36
PHF2	148.09	334.46	791.35	237.86	503.95	348.71	703.28	325.29	454.09	287.01	536.45	137.14	466.88	389.72	511.0	403.5	248.0	728.11	470.14	198.47	53.19	119.26	150.17	246.28	146.03	135.24	187.71	232.94	86.43	102.25	108.14	158.79	94.01	117.6	127.89	197.09	228.13	217.27	162.14	295.11	141.02	190.34	273.37	275.28	145.02	115.97	305.55	1044.52	412.0	429.54	291.04	98.04	256.78	155.5	348.71	409.15	460.44	297.17	432.53	202.66	651.58	543.96	536.45	232.94	155.5	371.22	318.57	121.79	285.03	271.48	476.71	414.87	420.68	551.56	334.46	514.56	348.71	633.73	379.04	156.59
PIKFYVE	79.45	76.17	100.83	76.71	99.43	96.68	66.65	76.71	70.51	35.0	106.63	39.79	199.85	185.11	136.19	82.29	154.42	127.89	149.12	142.01	12.45	50.27	51.71	44.89	30.34	110.43	68.55	54.72	55.1	33.06	30.56	70.51	48.52	68.55	54.33	53.95	75.64	107.38	63.89	74.58	234.57	76.17	44.57	237.86	63.0	57.08	107.38	75.64	94.67	71.0	72.01	18.56	65.72	44.89	60.39	82.29	144.01	88.26	94.67	76.17	221.86	144.01	167.9	74.58	44.89	36.53	71.0	131.51	142.01	80.57	111.21	152.28	224.97	158.79	71.5	155.5	83.45	151.22	125.24	47.17
PPRC1	412.0	521.76	483.38	406.31	836.53	629.35	860.08	423.61	620.67	441.64	351.14	320.8	1001.93	647.07	764.36	525.39	497.0	551.56	819.3	532.74	30.78	332.14	343.89	325.29	255.0	316.37	147.06	406.31	258.57	198.47	224.97	176.29	114.36	249.73	206.94	547.75	199.85	555.41	327.56	403.5	297.17	205.5	361.04	559.28	228.13	176.29	547.75	438.59	395.18	463.65	175.07	108.9	189.02	231.32	532.74	759.08	371.22	444.72	500.46	246.28	1340.84	547.75	470.14	287.01	231.32	285.03	346.29	291.04	981.29	532.74	540.19	624.99	457.25	559.28	679.29	624.99	493.56	493.56	289.02	110.43
PRR14L	149.12	215.77	248.0	273.37	346.29	118.43	217.27	169.07	185.11	202.66	89.51	122.64	366.09	167.9	343.89	198.47	307.69	246.28	224.97	258.57	28.65	79.45	129.69	144.01	82.29	198.47	178.77	105.89	96.68	94.01	115.97	145.02	115.16	166.73	133.36	102.97	178.77	258.57	112.77	175.07	275.28	43.94	88.88	224.97	84.04	64.8	208.38	231.32	206.94	223.41	154.42	67.59	136.19	104.42	202.66	283.05	246.28	201.25	412.0	128.79	363.56	327.56	287.01	271.48	104.42	171.45	123.5	81.71	329.84	152.28	320.8	327.56	297.17	409.15	180.02	303.44	371.22	555.41	318.57	66.65
RANBP2	255.0	264.03	356.05	275.28	438.59	255.0	199.85	260.38	291.04	209.84	329.84	208.38	563.18	363.56	571.05	327.56	438.59	384.34	802.41	417.77	55.1	116.78	147.06	136.19	158.79	262.2	101.54	119.26	92.05	100.83	98.04	234.57	100.83	220.32	83.45	171.45	142.01	447.82	220.32	208.38	708.18	171.45	165.57	417.77	115.16	112.77	373.81	231.32	242.88	312.0	273.37	80.57	158.79	71.5	226.54	334.46	713.11	279.14	521.76	159.9	612.11	307.69	341.51	215.77	71.5	255.0	267.73	149.12	426.57	256.78	363.56	540.19	361.04	483.38	260.38	473.41	271.48	497.0	265.87	132.44
RBAK	80.57	151.22	133.36	85.22	151.22	177.53	133.36	95.34	81.71	100.83	161.02	68.55	141.02	161.02	167.9	118.43	105.89	147.06	194.36	95.34	8.19	42.41	46.84	35.76	57.08	67.59	59.97	49.56	43.63	34.02	31.9	87.03	35.5	68.55	42.41	82.87	61.68	87.03	21.16	75.64	111.21	22.26	40.93	111.99	49.91	54.72	102.25	87.03	87.03	102.97	76.17	24.46	57.49	22.59	81.71	125.24	135.24	73.03	198.47	63.45	202.66	162.14	121.79	169.07	22.59	61.68	99.43	34.02	146.03	139.07	161.02	172.65	149.12	158.79	144.01	128.79	181.28	239.52	116.78	28.24
RBM12B	54.72	92.05	281.09	87.03	260.38	105.15	74.58	77.79	98.04	76.71	136.19	78.89	236.21	84.04	231.32	141.02	215.77	123.5	285.03	249.73	19.53	21.63	55.1	57.89	29.7	130.6	45.21	34.26	43.94	18.43	42.71	49.91	31.0	104.42	95.34	35.25	57.08	231.32	57.89	108.14	303.44	110.43	44.89	120.1	62.12	38.67	139.07	92.7	62.12	223.41	63.45	31.67	68.55	73.03	66.18	145.02	144.01	94.67	153.34	62.56	305.55	181.28	98.73	178.77	73.03	93.35	94.01	54.72	191.67	147.06	241.19	249.73	223.41	193.01	84.63	158.79	127.89	249.73	130.6	36.01
RFX7	60.82	133.36	173.85	76.17	283.05	115.16	165.57	73.54	108.9	51.71	65.72	56.28	202.66	120.94	287.01	161.02	157.68	105.15	143.01	114.36	12.27	9.27	34.75	47.5	27.84	82.87	36.79	36.01	28.04	25.72	19.97	37.32	20.56	24.11	38.4	21.63	34.02	107.38	71.0	72.01	117.6	23.25	60.82	108.9	42.71	34.02	159.9	66.18	74.06	127.89	119.26	23.76	120.1	47.84	123.5	182.55	142.01	107.38	218.79	112.77	129.69	176.29	126.12	208.38	47.84	95.34	120.1	57.08	158.79	91.41	185.11	158.79	171.45	137.14	120.94	127.89	154.42	271.48	108.14	39.22
RIF1	92.7	113.56	189.02	163.28	262.2	224.97	164.42	152.28	135.24	129.69	154.42	143.01	305.55	150.17	423.61	212.78	197.09	185.11	217.27	182.55	17.77	54.72	63.0	74.06	41.52	115.16	77.25	59.13	31.67	38.95	32.59	83.45	43.32	80.01	70.01	36.53	81.14	139.07	129.69	94.01	486.75	124.37	64.34	299.25	130.6	79.45	246.28	89.51	73.03	194.36	138.1	49.21	124.37	77.79	193.01	236.21	241.19	176.29	351.14	127.0	371.22	269.6	170.25	191.67	77.79	118.43	182.55	103.69	291.04	172.65	236.21	291.04	202.66	186.4	139.07	209.84	185.11	246.28	138.1	49.21
RNF169	38.4	115.16	162.14	56.68	198.47	111.99	47.84	44.25	44.57	33.3	58.71	63.45	97.36	78.89	164.42	92.05	101.54	92.7	130.6	117.6	11.91	18.7	24.11	18.16	21.32	44.57	16.03	39.79	29.27	13.83	23.25	52.45	15.56	39.79	25.17	32.13	33.78	62.56	44.57	105.89	127.89	23.42	37.05	113.56	48.18	22.26	108.9	77.25	44.25	96.68	78.34	20.71	74.58	31.45	94.67	118.43	84.63	68.07	148.09	56.68	329.84	141.02	102.25	118.43	31.45	64.8	134.3	35.0	144.01	111.99	138.1	121.79	180.02	120.1	64.8	122.64	99.43	113.56	108.9	27.64
SBNO1	107.38	309.83	289.02	178.77	470.14	273.37	264.03	177.53	258.57	173.85	113.56	115.97	420.68	152.28	507.46	217.27	361.04	293.07	642.59	267.73	19.97	54.33	73.03	127.0	100.83	129.69	96.01	85.22	102.97	64.34	53.57	149.12	47.5	129.69	86.43	94.01	223.41	260.38	128.79	95.34	287.01	187.71	62.12	293.07	166.73	78.89	283.05	108.14	86.43	220.32	173.85	52.82	205.5	98.73	140.04	343.89	368.65	277.2	426.57	178.77	591.22	438.59	167.9	387.02	98.73	173.85	265.87	112.77	656.11	299.25	358.54	301.33	334.46	217.27	111.21	358.54	237.86	438.59	239.52	69.03
SEMA4D	161.02	384.34	796.86	283.05	186.4	228.13	414.87	299.25	253.23	191.67	277.2	112.77	660.68	309.83	688.78	470.14	119.26	759.08	791.35	314.17	46.84	18.84	87.03	64.8	73.03	52.82	14.45	38.12	32.82	32.13	48.18	36.53	14.67	21.63	25.72	98.04	73.54	329.84	158.79	194.36	395.18	127.89	129.69	753.83	177.53	212.78	277.2	480.04	305.55	480.04	297.17	28.45	376.41	241.19	400.71	733.19	775.05	591.22	426.57	170.25	796.86	540.19	575.03	193.01	241.19	343.89	409.15	301.33	395.18	339.14	688.78	392.44	353.59	718.08	493.56	1001.93	583.07	1051.79	353.59	127.0
SETD1B	100.83	193.01	246.28	127.0	231.32	165.57	224.97	220.32	195.72	117.6	116.78	38.4	336.79	138.1	336.79	125.24	379.04	190.34	275.28	281.09	19.39	53.57	120.94	134.3	74.06	204.07	145.02	82.87	120.1	102.25	88.26	159.9	65.26	99.43	63.45	150.17	102.97	236.21	56.68	85.82	57.08	54.72	78.89	205.5	96.68	39.5	123.5	211.31	182.55	169.07	77.25	30.34	52.45	36.27	94.67	379.04	150.17	113.56	267.73	78.89	309.83	275.28	169.07	108.9	36.27	109.66	115.16	77.25	329.84	92.05	229.72	224.97	323.03	258.57	105.15	176.29	129.69	314.17	65.26	43.02
SIN3A	271.48	555.41	647.07	201.25	674.59	669.92	551.56	334.46	417.77	363.56	232.94	267.73	607.87	551.56	1081.39	679.29	665.29	591.22	511.0	674.59	72.01	115.16	201.25	221.86	171.45	429.54	211.31	173.85	234.57	123.5	186.4	226.54	162.14	299.25	293.07	358.54	151.22	651.58	162.14	346.29	463.65	119.26	214.27	595.34	251.48	154.42	753.83	532.74	339.14	607.87	417.77	80.57	397.93	199.85	551.56	995.0	633.73	693.58	703.28	327.56	941.27	819.3	366.09	518.15	199.85	376.41	651.58	190.34	791.35	470.14	775.05	775.05	665.29	547.75	518.15	679.29	698.41	988.12	555.41	264.03
SOCS7	50.27	67.12	134.3	56.68	147.06	127.89	41.22	51.35	55.49	18.84	92.7	14.14	264.03	183.82	262.2	85.22	191.67	59.55	301.33	327.56	2.29	23.42	19.82	57.49	25.91	45.53	24.63	13.42	22.43	8.58	23.08	19.97	7.34	57.89	32.36	10.0	30.78	146.03	23.59	106.63	237.86	26.1	24.28	142.01	54.72	19.82	251.48	31.9	65.72	175.07	79.45	16.75	61.68	28.45	41.81	163.28	208.38	169.07	114.36	59.55	825.0	165.57	82.29	61.68	28.45	35.0	119.26	8.32	195.72	122.64	117.6	157.68	267.73	83.45	143.01	78.34	136.19	381.68	54.33	32.36
SOGA1	63.89	70.01	173.85	111.21	186.4	231.32	234.57	127.89	120.94	94.01	67.59	72.01	591.22	237.86	435.55	348.71	277.2	182.55	353.59	285.03	1.93	24.81	55.1	143.01	54.72	95.34	27.44	18.43	28.65	16.63	28.45	51.35	31.22	82.87	48.87	11.13	9.85	273.37	16.15	69.03	67.59	40.36	32.36	89.51	33.06	14.67	157.68	339.14	111.21	435.55	90.14	13.72	125.24	49.91	180.02	444.72	283.05	209.84	353.59	71.5	708.18	532.74	151.22	123.5	49.91	121.79	198.47	25.35	241.19	104.42	389.72	417.77	587.13	348.71	167.9	339.14	105.89	866.07	111.21	9.13
SSH1	122.64	438.59	218.79	68.07	358.54	293.07	202.66	208.38	199.85	144.01	92.05	71.5	275.28	127.0	363.56	206.94	169.07	202.66	638.15	260.38	36.53	64.8	109.66	120.1	74.58	176.29	181.28	63.45	154.42	99.43	83.45	157.68	72.01	139.07	96.68	86.43	137.14	271.48	39.79	103.69	258.57	55.89	58.71	193.01	128.79	86.43	226.54	208.38	244.57	249.73	134.3	44.25	100.13	71.0	291.04	353.59	242.88	204.07	271.48	109.66	384.34	231.32	190.34	202.66	71.0	125.24	249.73	49.21	356.05	236.21	389.72	251.48	454.09	172.65	183.82	236.21	237.86	346.29	205.5	62.56
STK35	92.05	320.8	312.0	389.72	271.48	312.0	312.0	215.77	202.66	195.72	287.01	93.35	211.31	264.03	351.14	175.07	591.22	447.82	450.94	447.82	23.76	79.45	138.1	125.24	69.52	165.57	177.53	202.66	127.0	70.01	79.45	217.27	60.39	143.01	95.34	74.58	161.02	507.46	52.45	197.09	86.43	130.6	105.15	229.72	212.78	82.29	299.25	236.21	190.34	497.0	223.41	53.57	107.38	101.54	273.37	660.68	318.57	289.02	429.54	128.79	450.94	450.94	361.04	197.09	101.54	387.02	332.14	92.7	493.56	209.84	358.54	460.44	460.44	368.65	275.28	269.6	241.19	555.41	217.27	62.56
STOX2	5.45	47.84	53.95	62.56	64.34	106.63	39.22	32.82	11.82	19.68	6.84	17.13	128.79	41.81	157.68	38.4	76.17	57.89	89.51	127.0	1.58	1.53	8.06	23.59	18.43	35.5	30.34	6.36	24.11	8.45	8.45	4.9	1.91	95.34	32.82	14.56	16.51	33.3	0.82	40.64	82.29	7.4	25.35	47.17	36.79	3.38	70.01	34.75	24.63	34.51	47.17	3.26	60.82	14.89	50.98	133.36	70.01	19.97	78.34	30.56	80.01	102.97	64.8	45.21	14.89	55.1	64.34	4.86	127.89	47.84	69.52	87.03	78.34	124.37	59.55	63.0	95.34	166.73	86.43	19.11
TAF1	123.5	395.18	379.04	214.27	384.34	214.27	165.57	332.14	231.32	124.37	312.0	92.05	414.87	251.48	521.76	170.25	563.18	194.36	629.35	332.14	15.11	55.1	68.55	138.1	59.97	178.77	131.51	75.11	93.35	48.52	66.18	147.06	49.91	256.78	90.14	81.14	46.84	217.27	112.77	197.09	271.48	68.55	106.63	224.97	102.25	68.07	435.55	136.19	214.27	277.2	120.1	26.67	75.64	91.41	204.07	348.71	343.89	289.02	346.29	137.14	583.07	503.95	285.03	297.17	91.41	172.65	281.09	145.02	295.11	283.05	397.93	297.17	346.29	178.77	130.6	303.44	281.09	409.15	185.11	109.66
TAOK1	193.01	271.48	201.25	231.32	299.25	242.88	193.01	214.27	181.28	90.77	140.04	134.3	332.14	264.03	297.17	316.37	267.73	170.25	414.87	293.07	45.85	82.29	72.01	123.5	102.97	144.01	81.71	92.05	112.77	64.8	84.63	94.67	50.98	121.79	94.01	103.69	68.07	348.71	137.14	166.73	536.45	138.1	107.38	323.03	141.02	120.1	518.15	153.34	151.22	195.72	183.82	90.14	130.6	141.02	201.25	231.32	289.02	199.85	435.55	162.14	395.18	297.17	232.94	291.04	141.02	123.5	199.85	154.42	249.73	241.19	307.69	258.57	281.09	318.57	208.38	283.05	249.73	348.71	316.37	70.51
TCF20	193.01	293.07	476.71	248.0	476.71	348.71	409.15	242.88	392.44	242.88	208.38	190.34	748.61	403.5	738.29	595.34	518.15	429.54	529.06	708.18	13.93	89.51	185.11	242.88	94.01	379.04	221.86	131.51	130.6	117.6	146.03	312.0	70.51	242.88	190.34	162.14	175.07	283.05	44.57	320.8	217.27	80.57	162.14	305.55	170.25	69.03	368.65	182.55	141.02	414.87	256.78	76.17	148.09	90.14	336.79	521.76	486.75	486.75	363.56	303.44	878.17	1044.52	285.03	336.79	90.14	232.94	269.6	92.05	463.65	293.07	567.1	603.67	642.59	753.83	392.44	435.55	441.64	1216.75	346.29	73.03
