	TCGA.E9.A1RB.11A.33R.A157.07	GTEX.S32W.1626.SM.4AD6G	TCGA.EK.A2GZ.01A.11R.A180.07	GTEX.139TT.0726.SM.5K7XW	GTEX.14ABY.1126.SM.5Q5F8	GTEX.13O3O.0726.SM.5J1N7	GTEX.13OVJ.0726.SM.5KM1W	GTEX.12584.1426.SM.5EGJ9	GTEX.13FTZ.0526.SM.5IJCW	GTEX.13OVH.1026.SM.5J2NP	GTEX.POYW.1226.SM.2XCEP	GTEX.13JUV.0526.SM.5K7XE	GTEX.ZYY3.0926.SM.5E454	GTEX.13OW5.0726.SM.5KLZK	GTEX.Y111.1026.SM.4TT22	GTEX.147F4.0926.SM.5Q5EO	GTEX.12WSE.0826.SM.5S2VL	GTEX.13O3P.1026.SM.5N9E7	GTEX.111FC.1126.SM.5GZWU	GTEX.S33H.0626.SM.2XCBJ	GTEX.14E7W.1326.SM.5RQIV	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FTY.0126.SM.5J2NZ	GTEX.1477Z.0626.SM.5NQB7	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.1128S.0726.SM.5N9D6	GTEX.ZE7O.0826.SM.57WCP	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.13JVG.1426.SM.5MR4W	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.X261.1026.SM.3NMDL	GTEX.111VG.0726.SM.5GIDC	GTEX.11O72.1326.SM.5BC5A	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZYVF.1726.SM.5E443	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NL3G.0526.SM.4RTWW	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	GTEX.131XH.0426.SM.5DUWU	GTEX.NPJ8.2526.SM.2HML8
LZIC	909.17	1008.9	629.35	258.57	371.22	256.78	476.71	234.57	575.03	176.29	612.11	988.12	339.14	521.76	738.29	212.78	400.71	381.68	450.94	1175.27	262.2	503.95	173.85	483.38	111.99	309.83	351.14	629.35	167.9	223.41	285.03	201.25	473.41	775.05	373.81	525.39	493.56	525.39	723.08	228.13	309.83	181.28	629.35	341.51	220.32	555.41
MEA1	1242.34	2609.3	1745.2	769.69	1242.34	521.76	2163.77	842.36	1745.2	825.0	1259.69	1628.26	1286.18	1745.2	1733.13	728.11	1487.87	1388.16	1551.09	1781.89	878.17	1870.53	612.11	1529.73	748.61	854.13	884.29	1806.78	511.0	583.07	1322.37	759.08	1369.04	2209.26	1044.52	1044.52	1870.53	2224.63	1819.35	764.36	1143.1	738.29	2485.67	1487.87	791.35	2061.24
MED1	567.1	423.61	208.38	202.66	173.85	156.59	348.71	107.38	389.72	178.77	305.55	470.14	206.94	177.53	384.34	191.67	389.72	171.45	297.17	575.03	129.69	438.59	88.88	283.05	81.71	148.09	220.32	327.56	145.02	76.71	175.07	155.5	211.31	470.14	111.21	239.52	204.07	191.67	303.44	175.07	139.07	115.97	309.83	169.07	156.59	329.84
MED20	314.17	312.0	406.31	131.51	209.84	108.14	237.86	69.52	318.57	92.05	444.72	297.17	141.02	201.25	289.02	94.67	204.07	269.6	275.28	463.65	73.54	460.44	104.42	285.03	80.57	121.79	157.68	260.38	125.24	149.12	265.87	145.02	155.5	363.56	112.77	143.01	223.41	218.79	325.29	138.1	118.43	131.51	248.0	199.85	129.69	260.38
METTL18	283.05	167.9	299.25	20.11	102.97	53.19	135.24	42.71	161.02	71.0	212.78	166.73	90.77	92.05	163.28	37.85	133.36	127.0	181.28	224.97	19.11	221.86	32.82	158.79	23.59	68.55	63.0	220.32	63.0	24.28	137.14	49.56	120.1	162.14	38.12	120.1	120.94	131.51	156.59	107.38	49.21	53.19	189.02	141.02	47.84	264.03
METTL6	285.03	397.93	291.04	111.21	141.02	95.34	273.37	98.04	287.01	107.38	297.17	258.57	142.01	218.79	269.6	88.88	182.55	151.22	283.05	339.14	104.42	264.03	71.0	182.55	63.0	117.6	165.57	285.03	57.89	72.01	198.47	120.94	165.57	291.04	124.37	127.0	224.97	197.09	332.14	123.5	153.34	94.01	214.27	232.94	144.01	209.84
MFAP1	743.43	647.07	599.49	376.41	460.44	260.38	397.93	249.73	624.99	295.11	693.58	656.11	466.88	463.65	423.61	356.05	423.61	397.93	486.75	780.44	273.37	575.03	343.89	473.41	363.56	316.37	389.72	532.74	314.17	228.13	406.31	450.94	334.46	575.03	303.44	420.68	406.31	323.03	748.61	414.87	265.87	246.28	567.1	332.14	307.69	780.44
MIS12	348.71	591.22	447.82	156.59	267.73	149.12	336.79	99.43	356.05	137.14	470.14	441.64	221.86	271.48	368.65	120.94	316.37	358.54	363.56	603.67	106.63	314.17	148.09	361.04	130.6	198.47	279.14	397.93	206.94	143.01	199.85	156.59	208.38	438.59	181.28	248.0	289.02	267.73	267.73	224.97	172.65	164.42	429.54	289.02	182.55	406.31
MRP63	363.56	738.29	395.18	182.55	316.37	260.38	599.49	187.71	466.88	339.14	368.65	507.46	463.65	493.56	525.39	134.3	518.15	450.94	511.0	579.04	208.38	470.14	150.17	450.94	141.02	397.93	332.14	698.41	137.14	127.0	312.0	119.26	361.04	473.41	246.28	356.05	307.69	620.67	532.74	234.57	341.51	191.67	493.56	432.53	255.0	713.11
MRPL1	518.15	830.75	629.35	299.25	356.05	124.37	587.13	176.29	567.1	183.82	417.77	441.64	260.38	450.94	583.07	164.42	387.02	309.83	599.49	555.41	63.89	579.04	157.68	346.29	191.67	126.12	283.05	656.11	95.34	151.22	341.51	189.02	295.11	450.94	150.17	320.8	242.88	532.74	571.05	295.11	353.59	198.47	463.65	432.53	198.47	547.75
MRPS27	1073.91	981.29	575.03	231.32	423.61	212.78	785.88	241.19	688.78	397.93	934.76	674.59	473.41	620.67	728.11	208.38	780.44	514.56	759.08	947.83	237.86	728.11	228.13	620.67	121.79	441.64	473.41	860.08	251.48	265.87	480.04	373.81	476.71	723.08	283.05	457.25	860.08	708.18	753.83	299.25	540.19	325.29	669.92	743.43	265.87	1001.93
MRPS9	547.75	775.05	708.18	217.27	289.02	214.27	500.46	197.09	607.87	285.03	309.83	438.59	269.6	379.04	447.82	211.31	540.19	332.14	438.59	466.88	170.25	543.96	183.82	457.25	131.51	279.14	275.28	571.05	181.28	201.25	265.87	231.32	316.37	414.87	241.19	281.09	480.04	532.74	514.56	228.13	320.8	189.02	447.82	400.71	264.03	483.38
MUL1	511.0	684.02	616.37	234.57	356.05	194.36	483.38	167.9	567.1	244.57	587.13	490.14	339.14	381.68	543.96	366.09	447.82	395.18	500.46	775.05	373.81	647.07	180.02	473.41	432.53	476.71	307.69	698.41	361.04	246.28	316.37	366.09	414.87	591.22	293.07	314.17	638.15	366.09	559.28	503.95	389.72	281.09	595.34	329.84	293.07	521.76
MZT1	209.84	379.04	343.89	142.01	316.37	146.03	309.83	103.69	444.72	77.25	395.18	353.59	199.85	307.69	429.54	133.36	351.14	214.27	318.57	395.18	146.03	532.74	86.43	346.29	64.8	131.51	137.14	309.83	92.05	143.01	165.57	104.42	269.6	438.59	176.29	353.59	242.88	406.31	341.51	127.89	84.04	111.99	177.53	226.54	115.16	152.28
NABP2	718.08	1183.45	1286.18	246.28	341.51	251.48	620.67	291.04	514.56	301.33	688.78	551.56	295.11	460.44	595.34	236.21	595.34	555.41	616.37	780.44	244.57	507.46	201.25	454.09	208.38	303.44	389.72	480.04	176.29	187.71	406.31	279.14	389.72	708.18	339.14	303.44	532.74	624.99	438.59	244.57	400.71	193.01	563.18	511.0	295.11	928.3
NARS2	287.01	603.67	109.66	262.2	291.04	165.57	366.09	208.38	371.22	158.79	454.09	283.05	346.29	358.54	563.18	139.07	507.46	403.5	547.75	603.67	133.36	525.39	139.07	307.69	68.55	155.5	346.29	503.95	138.1	212.78	193.01	198.47	312.0	368.65	241.19	152.28	309.83	642.59	463.65	154.42	356.05	126.12	441.64	212.78	176.29	368.65
NCOA6	551.56	536.45	647.07	287.01	507.46	170.25	376.41	135.24	612.11	309.83	429.54	395.18	212.78	420.68	540.19	211.31	607.87	327.56	353.59	466.88	204.07	389.72	241.19	486.75	211.31	318.57	260.38	567.1	180.02	201.25	177.53	444.72	551.56	473.41	224.97	289.02	356.05	343.89	620.67	287.01	363.56	229.72	346.29	256.78	279.14	463.65
NDUFAF1	493.56	616.37	242.88	198.47	283.05	114.36	450.94	108.14	376.41	206.94	450.94	470.14	334.46	316.37	366.09	83.45	320.8	341.51	460.44	532.74	253.23	373.81	120.1	293.07	82.87	327.56	293.07	392.44	126.12	102.97	287.01	166.73	234.57	392.44	180.02	183.82	351.14	314.17	514.56	202.66	264.03	195.72	376.41	289.02	198.47	480.04
NDUFV3	819.3	813.63	551.56	211.31	351.14	251.48	669.92	273.37	567.1	363.56	595.34	571.05	423.61	457.25	575.03	232.94	633.73	444.72	551.56	674.59	262.2	651.58	208.38	599.49	191.67	373.81	381.68	591.22	279.14	244.57	441.64	384.34	379.04	595.34	251.48	373.81	497.0	500.46	616.37	376.41	316.37	264.03	624.99	457.25	327.56	620.67
NHLRC1	55.49	19.97	253.23	7.63	12.74	4.86	29.48	3.44	36.01	8.58	47.17	38.67	13.03	25.35	55.89	5.77	48.52	21.32	43.32	31.22	13.32	24.11	5.63	24.28	6.26	12.55	10.16	36.79	8.58	6.89	3.17	6.21	13.72	13.62	4.06	24.28	25.17	14.35	25.54	18.29	21.32	7.75	52.08	17.64	10.71	25.72
NIF3L1	466.88	567.1	1295.13	141.02	260.38	155.5	339.14	119.26	438.59	167.9	473.41	373.81	173.85	295.11	432.53	139.07	387.02	258.57	336.79	441.64	199.85	381.68	122.64	379.04	151.22	318.57	265.87	392.44	126.12	180.02	167.9	183.82	209.84	320.8	139.07	183.82	316.37	341.51	397.93	209.84	279.14	167.9	343.89	320.8	231.32	332.14
NME6	500.46	395.18	470.14	162.14	316.37	206.94	457.25	113.56	325.29	232.94	373.81	460.44	232.94	307.69	480.04	63.45	336.79	417.77	395.18	483.38	185.11	463.65	148.09	368.65	149.12	256.78	323.03	518.15	173.85	182.55	246.28	220.32	265.87	507.46	229.72	239.52	438.59	420.68	403.5	251.48	291.04	218.79	466.88	356.05	183.82	412.0
NOL8	547.75	521.76	361.04	218.79	387.02	267.73	497.0	76.71	429.54	237.86	738.29	476.71	341.51	432.53	403.5	153.34	466.88	414.87	460.44	473.41	155.5	473.41	156.59	441.64	101.54	209.84	358.54	571.05	172.65	201.25	343.89	246.28	466.88	420.68	202.66	353.59	339.14	346.29	450.94	511.0	151.22	236.21	403.5	366.09	115.16	684.02
NVL	463.65	339.14	854.13	175.07	215.77	145.02	368.65	83.45	454.09	163.28	599.49	423.61	152.28	314.17	334.46	90.14	409.15	309.83	426.57	432.53	108.14	412.0	140.04	412.0	95.34	191.67	171.45	493.56	85.82	133.36	265.87	164.42	287.01	358.54	183.82	255.0	426.57	466.88	409.15	217.27	205.5	204.07	299.25	403.5	111.99	381.68
ORC5	327.56	389.72	429.54	50.98	161.02	107.38	289.02	53.57	353.59	77.79	447.82	234.57	120.1	215.77	269.6	54.33	327.56	159.9	318.57	384.34	83.45	265.87	51.35	220.32	31.9	79.45	126.12	279.14	68.55	63.45	162.14	85.82	123.5	220.32	62.12	153.34	228.13	215.77	229.72	115.97	126.12	80.01	253.23	226.54	71.5	183.82
PDRG1	435.55	665.29	563.18	183.82	339.14	182.55	563.18	136.19	536.45	351.14	351.14	723.08	281.09	473.41	507.46	169.07	603.67	395.18	616.37	521.76	134.3	536.45	244.57	447.82	221.86	195.72	334.46	728.11	236.21	171.45	507.46	208.38	414.87	579.04	172.65	246.28	389.72	525.39	567.1	275.28	231.32	194.36	514.56	447.82	234.57	660.68
PHAX	1051.79	802.41	743.43	327.56	368.65	301.33	587.13	301.33	679.29	246.28	708.18	733.19	529.06	444.72	723.08	373.81	642.59	356.05	708.18	708.18	156.59	708.18	229.72	591.22	170.25	397.93	406.31	607.87	202.66	265.87	409.15	281.09	429.54	748.61	293.07	432.53	518.15	480.04	808.0	339.14	406.31	234.57	656.11	389.72	289.02	575.03
PIGM	181.28	170.25	234.57	52.08	53.95	59.13	132.44	63.0	103.69	50.63	178.77	135.24	102.97	81.14	130.6	60.82	121.79	86.43	105.89	164.42	55.89	125.24	34.75	120.1	12.09	64.8	65.72	109.66	35.25	66.65	62.56	82.87	80.01	121.79	46.18	77.25	154.42	96.01	98.04	66.65	78.89	59.97	108.14	85.22	44.89	108.9
PITHD1	1268.46	1417.35	1417.35	842.36	915.51	480.04	1467.37	591.22	934.76	679.29	1135.2	1322.37	909.17	1104.13	1208.34	1023.0	808.0	1159.07	1350.18	1388.16	743.43	1135.2	693.58	1135.2	947.83	872.1	703.28	988.12	759.08	612.11	633.73	866.07	1001.93	995.0	679.29	802.41	1001.93	995.0	1216.75	947.83	866.07	642.59	1605.83	775.05	808.0	1159.07
POLR2C	1340.84	1594.73	866.07	547.75	872.1	848.22	1259.69	612.11	1191.69	723.08	1259.69	1467.37	1183.45	1030.12	1331.57	693.58	1561.89	1073.91	1498.22	1498.22	629.35	1487.87	854.13	1127.35	616.37	1583.71	967.76	1369.04	743.43	733.19	902.89	674.59	954.43	1369.04	660.68	1096.5	1313.23	1143.1	1697.45	738.29	941.27	693.58	2061.24	1242.34	896.64	1143.1
POLR2G	2148.82	3124.78	3190.46	708.18	1540.37	500.46	2915.45	674.59	2468.49	1135.2	2319.15	2224.63	796.86	2061.24	2573.36	547.75	1991.0	1936.53	2351.53	2720.15	1030.12	1857.6	629.35	1605.83	825.0	1015.93	1167.14	1963.57	872.1	884.29	1977.24	819.3	1350.18	2090.03	872.1	1044.52	1617.0	1794.29	2178.83	967.76	1674.06	1037.29	2119.22	2537.92	813.63	1498.22
POLR3C	669.92	587.13	974.5	195.72	221.86	316.37	500.46	195.72	435.55	316.37	432.53	525.39	279.14	351.14	438.59	258.57	432.53	305.55	420.68	417.77	164.42	500.46	159.9	476.71	144.01	507.46	329.84	486.75	176.29	141.02	332.14	336.79	305.55	521.76	189.02	323.03	503.95	389.72	384.34	239.52	293.07	182.55	503.95	423.61	356.05	379.04
PPP1R11	1143.1	1896.65	2061.24	884.29	1313.23	896.64	1819.35	1605.83	2193.99	860.08	3212.66	1950.0	1183.45	2047.0	1923.14	748.61	1551.09	2075.59	1977.24	2895.31	1388.16	1857.6	825.0	1832.01	1037.29	1081.39	1242.34	2104.58	1051.79	647.07	1417.35	1023.0	1697.45	2451.44	1508.65	2240.11	1674.06	2193.99	1757.34	1008.9	1369.04	1135.2	1896.65	1685.71	1159.07	1909.85
PPP1R8	791.35	1159.07	693.58	348.71	409.15	429.54	884.29	289.02	753.83	373.81	647.07	753.83	389.72	529.06	748.61	299.25	591.22	486.75	693.58	1051.79	323.03	785.88	215.77	571.05	211.31	438.59	435.55	571.05	277.2	281.09	412.0	312.0	417.77	813.63	239.52	490.14	543.96	551.56	603.67	435.55	387.02	236.21	753.83	395.18	316.37	684.02
PRDM4	376.41	339.14	291.04	214.27	209.84	195.72	406.31	154.42	314.17	167.9	358.54	414.87	249.73	249.73	441.64	206.94	356.05	256.78	363.56	381.68	151.22	466.88	115.16	332.14	178.77	194.36	273.37	343.89	157.68	137.14	248.0	214.27	301.33	438.59	139.07	226.54	260.38	220.32	267.73	176.29	260.38	145.02	384.34	271.48	214.27	346.29
PRMT6	215.77	529.06	224.97	51.35	84.63	65.72	309.83	34.51	165.57	45.53	265.87	251.48	91.41	121.79	246.28	39.79	181.28	88.88	194.36	379.04	33.54	190.34	17.64	130.6	19.68	40.93	75.64	293.07	24.81	31.67	102.97	64.8	82.87	224.97	39.22	67.12	119.26	147.06	149.12	109.66	76.17	41.52	193.01	115.16	31.67	178.77
PROSC	1540.37	1331.57	525.39	599.49	743.43	607.87	915.51	693.58	633.73	414.87	1457.23	1340.84	1151.06	1583.71	1233.75	366.09	825.0	1151.06	1674.06	1819.35	426.57	1250.98	536.45	1183.45	194.36	808.0	1733.13	1073.91	507.46	555.41	708.18	470.14	1001.93	2209.26	718.08	1208.34	808.0	1350.18	1225.22	518.15	599.49	376.41	1304.15	1037.29	551.56	1477.58
RAD51D	152.28	175.07	146.03	55.1	103.69	46.84	176.29	55.89	260.38	60.39	239.52	183.82	65.72	166.73	275.28	54.72	295.11	204.07	241.19	269.6	52.82	220.32	51.71	199.85	46.5	62.56	104.42	204.07	64.34	61.25	149.12	82.87	110.43	295.11	101.54	96.68	226.54	217.27	180.02	94.67	124.37	87.03	185.11	229.72	62.12	204.07
RBBP5	358.54	297.17	334.46	111.99	108.14	108.9	183.82	78.89	220.32	90.14	343.89	237.86	139.07	177.53	211.31	88.88	224.97	161.02	226.54	242.88	78.89	248.0	76.17	164.42	50.98	94.01	143.01	194.36	85.22	85.22	145.02	115.16	129.69	220.32	81.71	167.9	206.94	173.85	223.41	102.97	120.1	87.65	224.97	137.14	81.71	244.57
REXO4	423.61	733.19	341.51	190.34	273.37	143.01	518.15	133.36	332.14	202.66	320.8	432.53	236.21	353.59	432.53	137.14	353.59	312.0	351.14	470.14	130.6	384.34	122.64	351.14	140.04	171.45	256.78	460.44	114.36	139.07	232.94	195.72	239.52	463.65	163.28	229.72	325.29	353.59	429.54	246.28	226.54	199.85	460.44	384.34	144.01	511.0
RMND5B	642.59	684.02	417.77	262.2	503.95	226.54	460.44	301.33	753.83	320.8	808.0	866.07	395.18	813.63	684.02	346.29	981.29	665.29	665.29	974.5	295.11	802.41	253.23	624.99	198.47	460.44	429.54	808.0	389.72	447.82	447.82	514.56	603.67	947.83	444.72	624.99	775.05	674.59	698.41	444.72	551.56	387.02	961.07	647.07	314.17	733.19
RPAP2	387.02	379.04	351.14	111.99	224.97	62.56	234.57	111.99	417.77	141.02	295.11	293.07	147.06	255.0	260.38	77.79	229.72	177.53	253.23	217.27	114.36	249.73	127.0	197.09	63.0	100.83	171.45	336.79	253.23	264.03	180.02	162.14	223.41	220.32	176.29	212.78	218.79	127.89	295.11	151.22	185.11	141.02	223.41	269.6	100.83	264.03
RPP21	921.88	2004.85	3467.27	525.39	638.15	353.59	1457.23	674.59	872.1	616.37	890.44	1242.34	830.75	1225.22	974.5	191.67	1594.73	1081.39	1167.14	1295.13	336.79	1208.34	490.14	1331.57	309.83	748.61	603.67	1417.35	325.29	417.77	1151.06	309.83	860.08	1030.12	723.08	583.07	1096.5	1119.56	1066.48	743.43	764.36	514.56	1561.89	1304.15	507.46	1721.16
RPP30	902.89	1096.5	1030.12	583.07	808.0	406.31	802.41	171.45	902.89	392.44	1183.45	624.99	450.94	718.08	785.88	409.15	1051.79	579.04	981.29	909.17	389.72	802.41	323.03	791.35	490.14	329.84	379.04	995.0	358.54	426.57	660.68	301.33	540.19	603.67	295.11	518.15	595.34	708.18	796.86	591.22	435.55	334.46	713.11	703.28	314.17	500.46
RPP38	379.04	529.06	688.78	218.79	457.25	285.03	500.46	136.19	406.31	244.57	423.61	470.14	334.46	327.56	575.03	146.03	473.41	403.5	493.56	447.82	127.89	555.41	277.2	511.0	129.69	182.55	373.81	802.41	193.01	169.07	366.09	239.52	366.09	460.44	281.09	301.33	387.02	591.22	368.65	420.68	303.44	255.0	417.77	318.57	265.87	463.65
RRN3	769.69	848.22	460.44	190.34	185.11	256.78	420.68	209.84	447.82	279.14	571.05	521.76	384.34	297.17	384.34	273.37	373.81	262.2	417.77	426.57	285.03	417.77	185.11	256.78	180.02	289.02	312.0	389.72	323.03	223.41	470.14	224.97	301.33	409.15	171.45	435.55	420.68	295.11	406.31	312.0	253.23	264.03	480.04	314.17	361.04	339.14
SAAL1	197.09	239.52	518.15	65.26	131.51	123.5	236.21	80.01	309.83	85.82	285.03	318.57	131.51	149.12	289.02	37.32	269.6	145.02	343.89	312.0	95.34	265.87	62.56	273.37	24.99	82.87	108.9	260.38	57.89	63.0	218.79	88.26	96.01	228.13	55.49	194.36	279.14	208.38	191.67	166.73	105.89	77.25	249.73	223.41	85.22	289.02
SCNM1	902.89	1216.75	3372.43	412.0	878.17	420.68	1551.09	285.03	1159.07	543.96	896.64	1277.29	429.54	1066.48	1322.37	267.73	1159.07	1030.12	1427.22	1081.39	246.28	1340.84	454.09	1331.57	426.57	529.06	733.19	1397.83	412.0	551.56	988.12	403.5	713.11	1111.82	389.72	463.65	890.44	1081.39	1088.92	785.88	563.18	351.14	1286.18	1135.2	587.13	1233.75
SDHAF2	836.53	1286.18	1477.58	583.07	723.08	674.59	1044.52	406.31	988.12	665.29	1447.15	1081.39	791.35	718.08	1191.69	429.54	1015.93	902.89	1051.79	1322.37	642.59	995.0	463.65	1015.93	543.96	703.28	651.58	1127.35	536.45	384.34	591.22	435.55	638.15	988.12	371.22	848.22	808.0	536.45	928.3	961.07	679.29	470.14	1059.11	723.08	759.08	1259.69
SLC30A6	348.71	244.57	384.34	123.5	176.29	136.19	255.0	90.77	258.57	116.78	356.05	244.57	135.24	165.57	212.78	113.56	209.84	171.45	218.79	371.22	109.66	248.0	89.51	232.94	60.39	162.14	139.07	242.88	120.1	138.1	166.73	146.03	136.19	205.5	119.26	166.73	215.77	189.02	246.28	158.79	140.04	117.6	218.79	167.9	105.89	187.71
SMG8	271.48	215.77	193.01	65.72	87.03	68.55	130.6	28.04	157.68	64.8	163.28	180.02	104.42	111.21	193.01	52.82	133.36	108.9	163.28	195.72	65.72	193.01	47.84	117.6	54.33	89.51	111.21	163.28	41.52	46.84	94.01	60.82	102.97	141.02	50.27	84.63	157.68	90.77	185.11	83.45	102.25	57.08	151.22	98.73	77.79	152.28
SMIM15	1015.93	1304.15	1143.1	409.15	713.11	595.34	995.0	312.0	825.0	454.09	1259.69	1104.13	723.08	723.08	1051.79	249.73	915.51	543.96	947.83	1583.71	406.31	1051.79	183.82	866.07	205.5	642.59	688.78	848.22	267.73	217.27	679.29	231.32	595.34	1088.92	417.77	684.02	825.0	647.07	954.43	432.53	403.5	336.79	921.88	426.57	483.38	941.27
SMIM7	2573.36	2240.11	1991.0	1191.69	2303.12	733.19	2061.24	796.86	2816.11	1044.52	2119.22	2271.4	1081.39	2163.77	3303.0	860.08	3103.19	2255.7	2855.44	3303.0	988.12	2682.69	1407.55	2400.97	848.22	1487.87	1508.65	3443.31	974.5	1135.2	1870.53	1295.13	2178.83	3190.46	1519.15	1605.83	2485.67	2758.13	2319.15	1697.45	2090.03	1467.37	1909.85	2287.2	1487.87	2485.67
SNRPC	1909.85	3168.41	3874.05	934.76	1477.58	928.3	3901.01	981.29	1697.45	1369.04	1991.0	2287.2	1457.23	2351.53	2997.45	629.35	2163.77	2485.67	2835.7	2682.69	1143.1	2133.97	808.0	2163.77	684.02	1519.15	1295.13	2627.46	733.19	796.86	1781.89	703.28	1685.71	3212.66	1529.73	967.76	1883.54	2485.67	2591.27	1088.92	1519.15	1037.29	2303.12	2287.2	1066.48	2502.97
SNUPN	547.75	830.75	470.14	358.54	379.04	136.19	432.53	190.34	507.46	289.02	587.13	435.55	255.0	435.55	603.67	167.9	483.38	429.54	511.0	819.3	198.47	412.0	279.14	384.34	221.86	318.57	318.57	563.18	135.24	198.47	334.46	318.57	348.71	536.45	190.34	307.69	417.77	470.14	563.18	211.31	392.44	265.87	341.51	395.18	334.46	555.41
SNX12	909.17	1191.69	1088.92	607.87	748.61	239.52	988.12	412.0	796.86	381.68	1259.69	896.64	836.53	947.83	1015.93	356.05	718.08	830.75	836.53	1467.37	511.0	884.29	438.59	872.1	381.68	555.41	595.34	718.08	397.93	426.57	796.86	490.14	713.11	1388.16	633.73	503.95	909.17	1001.93	890.44	567.1	738.29	551.56	802.41	896.64	450.94	974.5
SNX6	1936.53	1832.01	1745.2	651.58	1175.27	591.22	961.07	341.51	1572.76	392.44	2335.28	1709.26	819.3	1250.98	1519.15	429.54	1127.35	733.19	1745.2	2627.46	579.04	1819.35	536.45	1844.76	454.09	555.41	791.35	1015.93	579.04	414.87	703.28	599.49	1127.35	1733.13	708.18	1369.04	1073.91	728.11	1477.58	909.17	764.36	555.41	1023.0	961.07	532.74	902.89
STRA13	791.35	1529.73	1457.23	616.37	954.43	423.61	2319.15	547.75	698.41	921.88	1119.56	1096.5	1322.37	1369.04	1447.15	336.79	1268.46	1477.58	1794.29	1769.57	314.17	1044.52	738.29	1191.69	902.89	813.63	759.08	2133.97	356.05	441.64	1015.93	444.72	1143.1	1883.54	981.29	633.73	1030.12	1594.73	1023.0	738.29	713.11	583.07	921.88	1340.84	454.09	2004.85
TACO1	361.04	432.53	536.45	110.43	231.32	129.69	457.25	79.45	323.03	170.25	307.69	371.22	187.71	236.21	327.56	70.51	371.22	277.2	387.02	450.94	124.37	320.8	95.34	325.29	94.01	202.66	241.19	351.14	107.38	123.5	279.14	128.79	145.02	381.68	142.01	176.29	309.83	301.33	381.68	226.54	212.78	128.79	371.22	248.0	127.0	397.93
TAF12	860.08	1233.75	547.75	356.05	579.04	242.88	848.22	277.2	830.75	283.05	988.12	769.69	363.56	748.61	819.3	244.57	651.58	703.28	780.44	896.64	273.37	651.58	181.28	708.18	178.77	334.46	432.53	651.58	293.07	204.07	470.14	185.11	575.03	796.86	228.13	490.14	703.28	669.92	813.63	237.86	444.72	218.79	842.36	684.02	251.48	748.61
TAF1A	159.9	143.01	351.14	40.36	56.28	56.28	133.36	45.21	139.07	48.18	86.43	114.36	105.15	111.21	122.64	53.95	149.12	67.59	111.21	241.19	48.18	169.07	39.5	60.39	15.34	53.19	92.05	157.68	38.12	51.71	55.89	51.71	63.0	161.02	39.79	101.54	107.38	73.03	111.99	51.71	69.03	47.17	124.37	111.99	24.63	87.65
TEFM	229.72	281.09	255.0	79.45	152.28	62.12	228.13	28.04	208.38	59.55	395.18	236.21	96.01	190.34	237.86	43.94	220.32	159.9	260.38	320.8	53.57	231.32	62.56	231.32	45.53	98.04	81.14	287.01	59.97	92.05	167.9	76.71	121.79	229.72	110.43	141.02	191.67	201.25	195.72	135.24	126.12	110.43	206.94	177.53	52.82	295.11
TFCP2	599.49	808.0	518.15	199.85	303.44	151.22	395.18	134.3	497.0	157.68	660.68	438.59	176.29	361.04	511.0	127.0	483.38	366.09	490.14	525.39	138.1	599.49	134.3	441.64	91.41	170.25	246.28	624.99	142.01	146.03	301.33	205.5	351.14	486.75	251.48	293.07	376.41	490.14	454.09	271.48	279.14	199.85	426.57	384.34	186.4	486.75
TGDS	287.01	426.57	176.29	42.71	120.1	107.38	275.28	48.18	175.07	96.68	583.07	283.05	144.01	211.31	271.48	55.49	206.94	172.65	251.48	339.14	86.43	275.28	63.0	193.01	35.5	148.09	148.09	267.73	92.05	95.34	173.85	53.57	127.89	205.5	73.54	186.4	161.02	198.47	244.57	96.68	93.35	77.79	204.07	149.12	122.64	211.31
TGFBRAP1	244.57	182.55	118.43	84.63	128.79	87.03	149.12	51.71	167.9	109.66	253.23	211.31	127.89	140.04	212.78	107.38	208.38	158.79	152.28	239.52	105.15	198.47	57.49	191.67	43.02	153.34	111.21	187.71	75.11	75.64	105.89	109.66	96.68	199.85	64.34	112.77	194.36	134.3	182.55	147.06	127.89	99.43	204.07	134.3	94.67	211.31
THOC3	656.11	890.44	2090.03	211.31	281.09	122.64	400.71	107.38	563.18	77.79	356.05	441.64	162.14	473.41	532.74	185.11	500.46	144.01	493.56	988.12	198.47	665.29	70.51	457.25	39.79	223.41	135.24	379.04	123.5	154.42	239.52	239.52	293.07	890.44	121.79	118.43	718.08	441.64	332.14	148.09	198.47	152.28	473.41	220.32	169.07	285.03
