	TCGA.97.A4M7.01A.11R.A24X.07	TCGA.S2.AA1A.01A.12R.A39D.07	TCGA.55.8621.01A.11R.2403.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.S7SE.0926.SM.2XCD6	GTEX.X3Y1.0626.SM.3P5YS	GTEX.X4EO.0926.SM.3P5Z2	GTEX.Q734.0626.SM.2I3EF	TCGA.98.A53H.01A.12R.A262.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.7328.01A.31R.2118.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL
PATL2	153.34	237.86	130.6	287.01	780.44	934.76	665.29	120.1	208.38	15.22	31.45	57.49	39.79	69.52	264.03	13.12	79.45	158.79	26.86	23.42	21.47	39.22	24.11	75.11	4.31	23.25	67.59	18.56	22.75	59.55	5.82	50.63	22.59	9.63	14.03	12.27	25.35
PILRA	336.79	289.02	1044.52	376.41	470.14	785.88	2193.99	1977.24	307.69	37.32	181.28	314.17	120.94	356.05	521.76	97.36	172.65	283.05	387.02	44.25	163.28	133.36	157.68	126.12	65.26	55.49	173.85	125.24	37.05	150.17	61.25	95.34	138.1	35.5	143.01	189.02	55.89
PLCB2	1697.45	1794.29	988.12	878.17	3103.19	2367.9	3515.68	2255.7	1119.56	31.67	183.82	314.17	147.06	255.0	688.78	64.8	476.71	423.61	159.9	46.5	127.89	110.43	150.17	64.8	32.59	71.0	289.02	50.63	43.32	127.89	42.41	149.12	94.67	57.08	51.71	114.36	75.64
PLCG1	1304.15	1721.16	1208.34	1135.2	2148.82	1617.0	2018.8	1437.15	1427.22	748.61	1051.79	1159.07	1183.45	1242.34	1225.22	728.11	1225.22	1159.07	961.07	529.06	521.76	647.07	921.88	764.36	603.67	733.19	1151.06	297.17	808.0	480.04	603.67	866.07	785.88	435.55	607.87	423.61	909.17
PODNL1	228.13	248.0	194.36	172.65	77.25	381.68	77.79	267.73	660.68	71.0	186.4	211.31	71.5	111.99	395.18	75.11	180.02	63.0	52.45	27.84	34.75	55.49	74.06	66.65	29.7	68.07	140.04	51.35	45.53	80.57	55.1	102.25	26.86	41.52	43.63	50.98	24.81
POSTN	4704.07	5041.77	1870.53	872.1	1477.58	2104.58	2417.67	669.92	5329.3	285.03	878.17	764.36	612.11	514.56	2627.46	432.53	490.14	718.08	275.28	258.57	214.27	412.0	563.18	119.26	214.27	674.59	155.5	281.09	529.06	314.17	231.32	264.03	305.55	68.55	239.52	271.48	223.41
PRAM1	239.52	99.43	473.41	258.57	764.36	251.48	507.46	738.29	182.55	28.86	72.01	149.12	92.7	110.43	194.36	52.82	100.13	148.09	115.16	40.07	73.03	81.71	111.21	59.97	32.82	41.22	198.47	40.07	45.21	51.71	38.12	79.45	91.41	32.13	37.05	52.82	50.98
PSMB9	3280.18	2224.63	3768.09	2335.28	13399.51	6840.04	6792.79	6887.62	2193.99	642.59	1322.37	2075.59	1059.11	1104.13	6745.86	547.75	2271.4	4328.55	669.92	813.63	575.03	836.53	1286.18	1030.12	595.34	693.58	1250.98	1963.57	703.28	2777.33	603.67	1369.04	974.5	860.08	480.04	1037.29	629.35
PSTPIP1	583.07	780.44	373.81	329.84	995.0	830.75	1896.65	769.69	842.36	11.13	67.12	125.24	73.03	120.94	447.82	44.57	363.56	384.34	88.26	18.84	41.52	69.52	112.77	42.11	17.77	35.25	186.4	67.12	38.4	115.16	50.27	103.69	92.7	35.5	11.91	31.45	20.11
RASAL3	450.94	769.69	438.59	447.82	2032.85	1605.83	3257.52	884.29	599.49	31.67	92.7	180.02	59.97	142.01	447.82	29.48	441.64	336.79	70.01	38.4	43.32	74.06	108.9	43.02	21.78	49.21	146.03	38.12	36.01	86.43	38.4	91.41	42.11	29.06	24.81	49.91	17.9
RHEBL1	64.34	31.45	74.06	111.99	68.07	86.43	20.71	63.45	69.52	4.35	8.38	15.8	11.91	13.22	28.24	4.24	25.17	21.16	33.78	12.74	4.5	11.47	16.27	5.23	5.68	9.85	10.63	17.9	6.94	17.0	6.67	8.45	7.88	3.96	3.72	3.63	10.39
RNF166	1437.15	1081.39	688.78	802.41	1487.87	1208.34	3349.13	624.99	1151.06	197.09	291.04	281.09	287.01	376.41	718.08	251.48	559.28	543.96	289.02	148.09	287.01	314.17	358.54	325.29	154.42	193.01	493.56	224.97	211.31	387.02	164.42	281.09	204.07	163.28	157.68	181.28	198.47
RNF213	3146.52	1883.54	4419.52	1977.24	3982.99	2287.2	5633.22	3395.89	2119.22	642.59	1183.45	1104.13	1111.82	1697.45	2255.7	728.11	1167.14	1617.0	1059.11	1127.35	1359.57	896.64	1143.1	915.51	555.41	571.05	1208.34	332.14	713.11	599.49	1037.29	1250.98	796.86	587.13	490.14	759.08	674.59
RP11-468E2.4	35.0	24.46	32.82	15.45	30.56	12.64	39.22	19.82	34.75	7.63	14.89	18.97	22.26	17.77	40.36	6.46	22.59	27.44	10.0	9.78	5.87	5.73	11.82	5.82	10.88	5.02	16.63	5.87	5.92	14.35	3.66	14.78	9.06	6.41	5.11	10.71	11.55
RP11-723O4.6	21.47	9.93	26.28	106.63	43.63	28.65	8.06	35.76	64.34	4.62	2.78	13.03	7.22	7.34	60.39	13.22	19.97	26.86	7.69	6.41	3.72	7.88	8.51	12.0	2.84	3.76	12.55	3.79	3.82	14.14	17.9	21.78	12.45	2.2	4.39	15.34	8.58
SF3B2	3467.27	3982.99	4123.49	3847.29	3257.52	3614.55	4450.27	2796.65	4010.71	3146.52	3235.01	3768.09	3395.89	3235.01	3540.14	3212.66	4038.61	3665.02	3564.78	2758.13	2664.15	3768.09	3146.52	3060.45	2976.74	2997.45	3146.52	2240.11	3018.3	2434.5	2976.74	3303.0	3280.18	3303.0	2956.17	2591.27	2915.45
SIAH3	3.79	0.95	5.36	28.45	10.71	12.0	3.2	1.0	8.78	0.0	1.22	0.57	0.53	0.85	1.75	0.56	1.17	1.43	0.6	0.24	0.23	0.53	0.25	0.23	0.22	0.0	0.58	0.25	0.0	0.23	0.24	0.84	0.55	0.23	0.0	0.0	0.0
SLFN12L	52.82	130.6	42.71	55.1	119.26	258.57	571.05	99.43	53.95	1.95	15.11	21.16	12.83	16.27	76.71	5.11	33.06	36.27	10.31	7.17	6.16	8.45	14.67	4.5	4.24	5.36	19.39	7.88	2.03	13.42	2.81	10.71	4.9	0.72	3.14	3.03	7.22
STAMBPL1	202.66	412.0	114.36	111.21	229.72	100.13	323.03	180.02	185.11	56.28	77.25	64.34	43.94	64.8	146.03	24.63	139.07	73.03	41.52	26.86	41.81	33.3	48.87	49.91	16.75	29.27	44.57	30.12	21.16	83.45	30.56	49.21	33.06	29.27	15.22	34.75	14.78
STAT2	3690.52	3349.13	3081.75	2682.69	3060.45	3325.99	3168.41	3928.15	3349.13	775.05	1407.55	1457.23	1709.26	2047.0	2956.17	825.0	1388.16	2018.8	1508.65	1467.37	1477.58	1167.14	1437.15	1081.39	1233.75	1167.14	1909.85	738.29	753.83	967.76	1242.34	1529.73	954.43	738.29	713.11	1081.39	1143.1
STK17A	1081.39	738.29	563.18	620.67	1561.89	842.36	2520.38	1936.53	896.64	110.43	217.27	237.86	173.85	339.14	543.96	105.89	624.99	457.25	190.34	281.09	529.06	228.13	181.28	123.5	133.36	277.2	454.09	289.02	191.67	547.75	165.57	209.84	156.59	202.66	133.36	211.31	124.37
SULT1A4	392.44	819.3	536.45	587.13	860.08	1561.89	392.44	1286.18	595.34	132.44	217.27	358.54	301.33	190.34	161.02	40.07	400.71	387.02	316.37	96.68	80.57	209.84	173.85	152.28	122.64	205.5	205.5	107.38	116.78	231.32	115.97	244.57	281.09	126.12	73.54	166.73	92.05
TBC1D10C	397.93	728.11	547.75	423.61	3901.01	5366.37	7485.11	1721.16	733.19	30.56	128.79	199.85	97.36	185.11	759.08	34.75	1008.9	579.04	116.78	38.67	49.56	104.42	120.94	61.68	34.26	78.34	206.94	76.71	25.91	251.48	21.94	124.37	76.71	41.22	24.63	63.0	47.5
TICRR	45.85	16.03	19.39	12.45	5.77	7.11	23.25	38.67	90.14	4.86	14.78	11.73	14.24	18.29	22.26	8.13	21.78	27.64	21.94	13.42	7.46	11.04	11.82	5.96	4.24	7.4	18.7	3.06	6.52	7.57	4.9	10.79	12.45	5.28	6.89	3.5	5.06
TMC8	607.87	848.22	493.56	583.07	2319.15	2032.85	5041.77	954.43	813.63	13.32	87.65	170.25	71.0	180.02	703.28	28.04	559.28	361.04	85.82	23.42	53.57	58.3	66.65	38.95	43.32	33.54	162.14	24.63	43.63	156.59	29.48	96.68	46.18	35.0	28.04	46.5	38.4
TNF	98.04	53.19	92.7	31.0	55.49	51.71	75.64	50.27	46.18	3.69	21.63	7.4	2.03	23.59	31.0	4.28	17.38	49.56	8.06	4.86	38.95	1.14	4.06	2.34	1.69	4.54	30.56	5.45	1.53	18.7	0.56	4.66	4.21	0.55	6.11	9.27	1.99
TNFSF14	56.28	87.65	85.82	100.13	96.68	84.04	92.05	303.44	120.94	4.74	18.7	24.11	6.57	52.82	115.16	2.92	50.98	83.45	13.83	3.76	16.27	4.82	8.0	2.39	4.66	3.29	27.64	4.58	4.62	18.84	1.57	15.34	6.26	4.35	1.33	8.58	3.89
TRPV2	624.99	420.68	1617.0	830.75	2485.67	1437.15	3467.27	2271.4	748.61	56.28	177.53	262.2	123.5	212.78	406.31	96.01	329.84	320.8	173.85	81.71	102.97	121.79	146.03	92.7	53.95	117.6	221.86	114.36	111.21	126.12	96.68	170.25	158.79	79.45	82.29	88.26	88.88
TTC13	612.11	507.46	279.14	229.72	543.96	400.71	961.07	297.17	381.68	118.43	155.5	137.14	153.34	180.02	198.47	71.0	187.71	224.97	124.37	136.19	111.99	107.38	148.09	138.1	96.68	90.14	145.02	44.89	87.65	117.6	74.06	88.88	119.26	71.0	86.43	78.89	80.57
UBA7	1991.0	2384.37	2047.0	2193.99	7589.61	2645.74	7280.4	2627.46	1857.6	397.93	954.43	1208.34	1437.15	1508.65	1286.18	612.11	1572.76	1806.78	974.5	620.67	759.08	1023.0	1322.37	1023.0	529.06	642.59	2061.24	563.18	579.04	848.22	507.46	1295.13	1037.29	450.94	351.14	1088.92	1605.83
UBD	1369.04	4512.4	967.76	713.11	7331.05	3847.29	11345.82	2119.22	1159.07	96.68	769.69	3124.78	341.51	1477.58	5076.84	100.83	2434.5	4450.27	128.79	148.09	202.66	373.81	796.86	95.34	358.54	201.25	426.57	1015.93	48.52	1594.73	265.87	316.37	575.03	246.28	85.82	642.59	46.84
UNC13D	1167.14	2004.85	1757.34	607.87	819.3	1088.92	2004.85	3190.46	693.58	36.53	102.25	152.28	103.69	194.36	438.59	50.63	426.57	281.09	120.94	41.52	80.01	99.43	131.51	63.45	21.47	52.08	229.72	46.84	24.99	107.38	42.41	135.24	64.34	27.84	34.02	52.82	135.24
USF1	1950.0	1963.57	1950.0	1745.2	1572.76	1498.22	2224.63	1208.34	1651.0	603.67	872.1	1119.56	941.27	1044.52	1233.75	718.08	1477.58	1304.15	921.88	669.92	679.29	1015.93	928.3	748.61	647.07	836.53	1175.27	1183.45	679.29	928.3	633.73	780.44	1008.9	679.29	679.29	620.67	1023.0
ZAP70	567.1	854.13	387.02	373.81	1199.98	1143.1	3212.66	559.28	633.73	19.53	102.25	139.07	67.59	122.64	607.87	19.25	543.96	389.72	89.51	19.11	26.1	65.26	55.89	36.27	14.14	33.3	181.28	24.11	18.84	106.63	13.42	98.04	46.84	23.42	10.55	21.16	19.97
ZBP1	191.67	547.75	201.25	159.9	463.65	264.03	708.18	237.86	167.9	7.51	14.35	27.84	18.29	30.34	124.37	3.99	166.73	90.14	8.51	3.14	10.16	12.55	15.11	10.47	4.78	7.06	35.5	3.08	6.78	38.12	3.79	36.01	8.19	9.41	1.66	7.51	1.14
ZFYVE28	629.35	221.86	175.07	253.23	543.96	819.3	1388.16	136.19	236.21	75.64	111.21	113.56	126.12	130.6	199.85	109.66	146.03	151.22	112.77	48.87	78.89	82.29	87.65	79.45	64.34	69.52	217.27	62.56	96.01	79.45	101.54	100.83	77.25	76.71	57.49	64.8	129.69
ZNF80	13.72	25.35	7.06	8.58	22.1	8.13	31.45	16.27	15.22	1.33	3.76	1.45	2.63	3.99	17.77	0.56	10.0	5.59	3.41	1.85	11.73	0.54	3.72	2.23	0.54	0.56	2.84	2.76	0.0	3.89	0.55	5.23	1.41	0.0	1.11	1.04	1.73
