	TCGA.DD.A118.11A.11R.A131.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZZPU.0426.SM.5GZYH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.RVPV.1226.SM.2TF73	GTEX.13113.0126.SM.5LZVX	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11P7K.0226.SM.5986Z	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.QXCU.0326.SM.2TC63	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13FTW.0626.SM.5IFEX
RBM19	111.21	100.13	141.02	139.07	133.36	124.37	148.09	228.13	0.0	1.07	346.29	389.72	426.57	493.56	423.61	559.28	351.14	387.02	403.5	435.55	536.45	651.58	642.59	547.75	567.1	339.14	483.38	371.22	392.44	334.46	688.78	381.68	591.22	368.65	371.22	688.78	329.84	532.74	529.06	353.59	346.29
RHBDF1	69.52	97.36	57.08	38.4	37.05	119.26	31.22	77.25	0.0	0.92	890.44	854.13	432.53	1151.06	848.22	555.41	379.04	616.37	612.11	529.06	575.03	507.46	633.73	500.46	791.35	454.09	860.08	441.64	802.41	540.19	825.0	603.67	1008.9	559.28	543.96	860.08	579.04	616.37	890.44	463.65	651.58
RNF166	214.27	218.79	115.16	169.07	109.66	142.01	172.65	182.55	0.0	0.56	262.2	358.54	307.69	251.48	287.01	287.01	283.05	244.57	201.25	273.37	381.68	830.75	295.11	265.87	400.71	271.48	366.09	249.73	253.23	320.8	387.02	186.4	403.5	273.37	181.28	387.02	273.37	429.54	381.68	215.77	242.88
RP11-468E2.4	6.01	5.54	6.52	6.11	1.83	7.94	4.03	1.27	0.0	0.57	14.35	17.9	8.19	8.19	13.42	17.64	13.22	13.42	4.7	12.64	15.22	28.45	14.89	10.31	25.17	12.55	21.63	8.06	9.93	10.79	9.7	14.67	16.75	8.45	10.0	40.36	17.13	9.56	10.63	7.06	14.03
SF3A2	312.0	351.14	463.65	336.79	258.57	194.36	202.66	343.89	0.0	1.07	1151.06	1030.12	813.63	1991.0	1721.16	1540.37	848.22	902.89	1127.35	1143.1	1769.57	1651.0	1583.71	1167.14	1963.57	1030.12	1551.09	599.49	1030.12	896.64	1551.09	1127.35	1304.15	1208.34	934.76	2335.28	896.64	1073.91	1639.59	896.64	896.64
SLC35C2	764.36	521.76	599.49	679.29	518.15	412.0	536.45	738.29	0.0	0.74	1467.37	1457.23	872.1	1304.15	1286.18	1313.23	1119.56	1183.45	1225.22	1359.57	1437.15	1457.23	1519.15	1447.15	1457.23	1059.11	1447.15	995.0	1340.84	1167.14	1594.73	1322.37	1127.35	1467.37	1477.58	1447.15	1313.23	1322.37	1359.57	1037.29	1088.92
SNAPC4	68.07	42.71	43.32	62.56	40.93	49.21	40.36	88.88	0.0	0.64	127.89	143.01	128.79	142.01	165.57	176.29	112.77	119.26	172.65	144.01	237.86	232.94	156.59	156.59	236.21	114.36	156.59	120.94	109.66	123.5	197.09	120.94	165.57	121.79	141.02	170.25	148.09	122.64	148.09	122.64	111.99
SNED1	75.64	25.72	28.65	41.22	33.3	75.11	26.86	97.36	0.0	0.72	244.57	281.09	460.44	1151.06	511.0	1277.29	205.5	348.71	320.8	642.59	813.63	403.5	1073.91	493.56	703.28	277.2	563.18	334.46	124.37	253.23	607.87	525.39	358.54	131.51	251.48	1286.18	339.14	532.74	409.15	420.68	320.8
SP100	854.13	738.29	830.75	780.44	1498.22	703.28	836.53	825.0	0.0	0.36	1001.93	1096.5	1295.13	1397.83	1111.82	872.1	884.29	775.05	1073.91	974.5	1151.06	1457.23	1794.29	1340.84	1651.0	830.75	1015.93	1242.34	591.22	860.08	1286.18	1191.69	1081.39	796.86	988.12	1651.0	915.51	1286.18	981.29	1001.93	921.88
SPRED3	0.0	1.73	0.0	0.0	1.97	1.38	0.0	0.0	0.0	0.55	13.83	23.42	14.45	36.53	46.18	4.66	24.28	20.11	15.56	23.08	10.79	17.13	29.27	17.25	35.0	18.16	22.43	18.16	14.45	20.26	29.48	26.86	17.25	29.7	15.0	22.26	18.7	31.22	20.41	16.27	12.64
SRGAP3	26.67	6.36	8.32	8.92	4.54	9.06	5.87	11.3	0.0	0.0	58.71	83.45	98.04	108.9	90.77	175.07	65.72	81.71	143.01	116.78	159.9	166.73	124.37	175.07	242.88	74.58	128.79	158.79	46.5	100.83	217.27	127.89	195.72	58.3	74.58	71.0	100.13	70.01	130.6	63.89	119.26
STARD3	603.67	785.88	409.15	583.07	450.94	642.59	460.44	651.58	0.0	0.73	1073.91	954.43	915.51	1359.57	1183.45	1167.14	909.17	836.53	934.76	1081.39	1378.57	1477.58	1216.75	1242.34	1350.18	830.75	1183.45	1001.93	808.0	842.36	1407.55	791.35	1191.69	860.08	1008.9	1175.27	961.07	1208.34	1208.34	981.29	796.86
TCF25	1733.13	1628.26	1313.23	2434.5	1936.53	1781.89	1617.0	2090.03	0.0	1.11	4328.55	4450.27	3257.52	6561.36	5366.37	4450.27	3235.01	4481.23	3564.78	4419.52	4268.94	4869.99	4358.66	3443.31	4575.41	3372.43	4937.99	2485.67	2997.45	3982.99	4903.87	3768.09	4450.27	3589.58	4038.61	6294.04	4639.29	3928.15	4239.45	3716.2	3303.0
TCTE3	4.78	0.0	0.75	0.0	1.93	0.0	0.0	1.3	0.0	0.16	1.31	3.86	3.47	14.24	10.39	5.11	5.68	7.06	3.44	6.57	7.46	10.71	5.06	10.0	7.46	1.85	9.7	1.53	3.59	4.03	4.46	3.89	11.82	3.17	5.36	8.13	0.0	3.35	5.68	0.0	2.25
TG	18.29	1.93	78.89	1.07	59.55	38.4	5.59	28.24	0.0	0.64	2247670.86	2126426.15	2375828.71	2111737.85	1493223.86	1739208.14	1634025.56	1997825.68	1984025.69	1997825.68	1984025.69	1355129.16	2986448.72	2425749.94	925580.18	1929772.37	1212874.47	1100706.72	2636147.11	2263304.65	1229805.58	2111737.85	1691649.38	3178687.03	3886391.01	1055868.42	2263304.65	2672946.37	1864037.21	1402917.72	1026995.62
TMEM259	2032.85	1457.23	1639.59	2075.59	1081.39	1685.71	1199.98	2434.5	0.0	1.07	2915.45	3235.01	2777.33	3901.01	3794.3	3540.14	2384.37	2384.37	2417.67	3168.41	3395.89	4419.52	4481.23	2935.74	3982.99	2816.11	3847.29	1709.26	2976.74	2502.97	3982.99	2627.46	3639.7	2664.15	2468.49	4512.4	2645.74	3146.52	3820.7	2739.08	2075.59
TRIM11	137.14	96.01	89.51	119.26	41.22	86.43	81.71	84.63	0.0	0.74	244.57	262.2	162.14	211.31	248.0	327.56	242.88	251.48	258.57	251.48	267.73	312.0	269.6	223.41	460.44	258.57	260.38	201.25	281.09	249.73	336.79	256.78	187.71	248.0	256.78	341.51	258.57	312.0	239.52	220.32	265.87
TTC12	104.42	94.67	102.25	63.45	123.5	63.0	142.01	54.72	0.0	0.19	463.65	444.72	511.0	490.14	332.14	423.61	371.22	447.82	368.65	353.59	624.99	633.73	669.92	450.94	808.0	463.65	444.72	325.29	244.57	543.96	450.94	591.22	587.13	343.89	500.46	426.57	764.36	283.05	435.55	353.59	297.17
TTLL3	75.11	43.63	26.86	50.27	45.85	21.78	28.65	75.11	0.0	1.08	500.46	819.3	708.18	954.43	688.78	728.11	490.14	457.25	679.29	579.04	1268.46	1216.75	1594.73	1111.82	1159.07	358.54	684.02	579.04	500.46	432.53	1709.26	620.67	915.51	332.14	525.39	860.08	511.0	1081.39	1030.12	426.57	293.07
UACA	318.57	232.94	178.77	135.24	246.28	172.65	124.37	229.72	0.0	0.21	679.29	1143.1	1127.35	2796.65	2032.85	1183.45	921.88	748.61	1498.22	1183.45	2018.8	2319.15	1572.76	1369.04	2148.82	713.11	1359.57	1104.13	738.29	738.29	1259.69	647.07	2720.15	785.88	1073.91	1991.0	651.58	1286.18	1733.13	941.27	540.19
VSIG8	0.0	0.54	0.14	1.87	0.26	0.0	0.0	0.0	0.0	0.0	0.95	2.36	2.81	2.66	4.03	3.26	1.16	1.14	4.58	3.38	3.47	4.7	2.23	0.74	5.73	2.01	3.44	1.33	1.97	0.75	7.11	2.58	3.66	0.49	3.23	2.73	3.35	3.69	5.92	1.81	3.23
WDR86	8.85	8.13	3.53	1.79	4.28	3.38	3.08	10.0	0.0	0.67	884.29	884.29	995.0	1896.65	1331.57	2335.28	339.14	265.87	1268.46	753.83	2148.82	2485.67	2816.11	1051.79	2855.44	791.35	1487.87	279.14	872.1	612.11	3168.41	967.76	775.05	723.08	356.05	866.07	532.74	1685.71	1529.73	647.07	403.5
WDR90	105.89	84.04	120.1	108.14	54.33	68.55	52.45	221.86	0.0	0.97	665.29	723.08	743.43	785.88	813.63	890.44	426.57	660.68	612.11	688.78	896.64	1015.93	1037.29	819.3	1001.93	647.07	878.17	460.44	521.76	450.94	1175.27	642.59	830.75	525.39	647.07	1286.18	532.74	571.05	1066.48	466.88	473.41
WDR91	89.51	55.1	98.73	189.02	82.87	43.63	66.65	267.73	0.0	0.83	169.07	149.12	144.01	148.09	246.28	242.88	100.83	154.42	202.66	172.65	209.84	314.17	156.59	171.45	371.22	141.02	193.01	177.53	94.01	99.43	198.47	156.59	205.5	125.24	120.94	253.23	135.24	115.16	211.31	209.84	130.6
XAB2	423.61	293.07	406.31	361.04	275.28	395.18	287.01	384.34	0.0	0.85	878.17	981.29	703.28	1359.57	1030.12	1286.18	708.18	819.3	921.88	941.27	1127.35	1191.69	1295.13	934.76	1529.73	872.1	1259.69	575.03	842.36	651.58	1277.29	1127.35	981.29	915.51	860.08	1896.65	878.17	915.51	1225.22	896.64	796.86
ZBTB20	24.11	11.21	10.71	18.16	54.72	29.06	5.82	19.97	0.0	0.11	25.91	31.22	36.53	69.52	38.4	71.0	20.71	40.36	47.5	40.36	48.18	51.71	44.89	92.05	35.0	53.95	30.34	6.31	47.84	60.39	113.56	37.32	127.89	22.59	41.81	83.45	43.32	62.56	11.13	26.67	34.26
ZFAND2B	1151.06	854.13	753.83	1037.29	738.29	559.28	1023.0	1037.29	743.43	764.36	2502.97	2591.27	1378.57	2976.74	2075.59	2075.59	1583.71	2119.22	2240.11	1819.35	2104.58	2502.97	2224.63	1697.45	2400.97	1896.65	2485.67	1457.23	2133.97	2163.77	2739.08	2240.11	2400.97	2367.9	1605.83	2451.44	2468.49	2032.85	2796.65	1697.45	1991.0
ZFYVE27	299.25	182.55	197.09	341.51	150.17	312.0	343.89	318.57	0.0	0.75	500.46	567.1	432.53	775.05	612.11	555.41	429.54	497.0	521.76	529.06	595.34	660.68	624.99	599.49	718.08	412.0	642.59	460.44	435.55	532.74	703.28	466.88	579.04	457.25	518.15	995.0	483.38	555.41	483.38	406.31	400.71
ZMIZ2	336.79	103.69	144.01	269.6	234.57	164.42	146.03	279.14	0.0	1.2	1594.73	1909.85	1359.57	2796.65	2240.11	2104.58	1331.57	1447.15	2193.99	1662.49	2591.27	2591.27	2468.49	2047.0	2664.15	1259.69	2555.58	1498.22	1304.15	1572.76	3018.3	1733.13	2609.3	1286.18	1806.78	1819.35	1498.22	1781.89	2835.7	1322.37	1250.98
ZNF226	325.29	371.22	231.32	265.87	470.14	204.07	551.56	242.88	0.0	0.55	591.22	718.08	647.07	693.58	532.74	575.03	540.19	503.95	642.59	651.58	518.15	603.67	769.69	688.78	728.11	616.37	764.36	525.39	571.05	633.73	713.11	612.11	599.49	521.76	698.41	674.59	607.87	579.04	559.28	551.56	500.46
ZNF276	146.03	68.55	60.82	116.78	76.17	116.78	124.37	153.34	0.0	1.0	348.71	412.0	295.11	500.46	463.65	470.14	291.04	392.44	309.83	414.87	387.02	651.58	420.68	381.68	743.43	295.11	426.57	248.0	295.11	403.5	587.13	314.17	460.44	249.73	325.29	444.72	336.79	493.56	563.18	323.03	279.14
ZNF282	123.5	97.36	98.04	94.01	99.43	118.43	82.87	157.68	0.0	0.27	273.37	289.02	226.54	269.6	318.57	366.09	281.09	255.0	351.14	323.03	348.71	332.14	264.03	277.2	392.44	279.14	392.44	221.86	305.55	218.79	327.56	343.89	260.38	320.8	332.14	397.93	295.11	256.78	397.93	303.44	215.77
ZNF335	85.22	60.82	61.68	82.87	78.34	71.5	76.71	101.54	0.0	0.91	295.11	387.02	205.5	309.83	281.09	358.54	246.28	256.78	309.83	291.04	423.61	529.06	389.72	305.55	366.09	256.78	373.81	223.41	249.73	305.55	348.71	329.84	249.73	289.02	234.57	511.0	285.03	366.09	457.25	289.02	279.14
ZNF784	90.14	76.71	67.12	87.65	73.54	88.88	71.0	142.01	0.0	0.0	158.79	152.28	106.63	208.38	180.02	204.07	137.14	147.06	183.82	190.34	224.97	206.94	246.28	159.9	262.2	204.07	241.19	141.02	170.25	111.99	205.5	189.02	258.57	185.11	150.17	246.28	191.67	110.43	167.9	149.12	108.9
