	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.14E1K.0326.SM.5S2PE	GTEX.11DXZ.0126.SM.5EGGY	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.J8.A3YH.01A.11R.A22U.07	TCGA.ET.A3BU.01A.11R.A19O.07	TCGA.ET.A39J.01A.11R.A19O.07	TCGA.DJ.A2PV.01A.11R.A19O.07	TCGA.DJ.A2PU.01A.12R.A19O.07	TCGA.FK.A3SE.01A.11R.A22L.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.EM.A3FK.01A.11R.A21D.07	TCGA.L6.A4EQ.01A.11R.A250.07	TCGA.CE.A3ME.01A.11R.A20F.07	TCGA.EM.A22O.01A.11R.A180.07	TCGA.ET.A3BT.01A.11R.A19O.07	TCGA.ET.A39S.01A.11R.A19O.07
PLXNA3	57.08	15.0	31.22	31.9	28.65	7.75	46.18	16.88	12.36	45.21	15.91	59.13	32.59	53.57	836.53	669.92	463.65	591.22	532.74	684.02	974.5	693.58	674.59	830.75	909.17	738.29	514.56	529.06
POU2F3	16.39	14.14	0.0	2.71	6.46	7.82	4.5	1.38	14.03	0.0	29.91	3.66	2.61	1.83	232.94	134.3	137.14	147.06	217.27	195.72	237.86	119.26	122.64	208.38	211.31	117.6	199.85	194.36
PPP1CA	2627.46	2573.36	2224.63	1757.34	2032.85	2255.7	3212.66	2485.67	2255.7	2367.9	2417.67	2895.31	3325.99	2224.63	3847.29	4239.45	4328.55	3614.55	4972.34	2976.74	5041.77	4543.8	3280.18	4903.87	3982.99	4152.18	4388.98	4268.94
PQLC2	194.36	242.88	171.45	157.68	226.54	162.14	343.89	186.4	201.25	269.6	249.73	314.17	187.71	262.2	493.56	438.59	379.04	353.59	466.88	325.29	555.41	493.56	281.09	579.04	583.07	583.07	555.41	384.34
PRNP	1605.83	866.07	1242.34	1540.37	1883.54	1359.57	4239.45	954.43	633.73	1127.35	753.83	884.29	947.83	890.44	2997.45	2520.38	3146.52	2240.11	3190.46	3395.89	2400.97	2400.97	2645.74	2417.67	2915.45	2573.36	2178.83	2777.33
PWWP2B	74.06	111.99	60.39	14.35	56.28	40.64	85.22	54.33	63.0	195.72	41.52	53.95	82.87	84.04	409.15	503.95	353.59	371.22	373.81	229.72	723.08	432.53	389.72	819.3	480.04	525.39	406.31	395.18
RAB34	187.71	579.04	583.07	115.97	158.79	147.06	83.45	123.5	366.09	110.43	52.45	283.05	299.25	127.89	5366.37	5366.37	5517.27	4802.93	5831.91	4802.93	5995.9	6337.83	4671.57	6471.02	5292.48	5112.16	5672.41	5147.73
RABL6	232.94	329.84	131.51	96.01	125.24	127.0	246.28	191.67	309.83	223.41	175.07	281.09	258.57	289.02	1397.83	1015.93	1127.35	1268.46	1268.46	830.75	1651.0	1322.37	1073.91	1769.57	1605.83	1551.09	1407.55	1477.58
RDH5	1457.23	2018.8	1662.49	974.5	748.61	473.41	651.58	2335.28	1721.16	629.35	2224.63	3955.48	981.29	1745.2	2075.59	860.08	1015.93	866.07	1551.09	921.88	2434.5	1127.35	595.34	1991.0	915.51	2255.7	1467.37	878.17
RHBDD2	1685.71	1540.37	1304.15	1233.75	1977.24	1651.0	2303.12	1233.75	1167.14	2119.22	1313.23	1023.0	1561.89	1467.37	6037.61	5006.93	5041.77	4802.93	6745.86	3540.14	6652.97	5555.65	3081.75	6294.04	5219.6	5147.73	6516.03	5913.33
RHNO1	221.86	164.42	98.73	140.04	80.57	69.03	136.19	136.19	81.14	69.52	80.01	139.07	95.34	120.1	684.02	624.99	688.78	679.29	830.75	432.53	738.29	603.67	612.11	723.08	842.36	599.49	775.05	688.78
RNF10	1572.76	2303.12	2255.7	2163.77	2090.03	1781.89	2163.77	1498.22	1561.89	2367.9	1870.53	1721.16	2417.67	2255.7	3491.39	2701.35	3325.99	2720.15	3081.75	3280.18	3212.66	3280.18	2591.27	3212.66	3443.31	3540.14	3103.19	2935.74
RNF224	0.0	0.21	0.16	1.36	0.23	0.16	0.0	0.19	0.0	1.27	0.56	1.95	3.76	0.0	53.57	31.9	59.13	28.65	33.78	55.1	53.57	21.94	42.11	52.08	43.02	67.59	59.13	37.59
RP11-195F19.5	108.14	63.45	70.51	15.91	122.64	64.8	170.25	34.02	145.02	55.89	113.56	215.77	173.85	45.21	1225.22	463.65	679.29	647.07	830.75	521.76	1540.37	928.3	387.02	1268.46	728.11	1151.06	941.27	769.69
RP11-644F5.10	28.86	67.59	60.39	47.5	27.84	22.43	15.8	59.13	55.89	55.49	50.98	91.41	30.34	60.39	145.02	61.25	71.5	84.63	105.15	55.89	126.12	74.06	63.0	172.65	85.22	111.99	78.89	53.57
RRP9	232.94	239.52	287.01	205.5	193.01	291.04	316.37	251.48	303.44	281.09	143.01	144.01	166.73	194.36	547.75	450.94	532.74	493.56	599.49	476.71	830.75	587.13	420.68	830.75	616.37	733.19	624.99	551.56
RSPO4	2.73	1.0	1.38	0.24	0.0	0.0	0.0	0.96	0.03	0.0	1.71	5.54	0.21	0.0	480.04	444.72	476.71	323.03	490.14	351.14	476.71	241.19	353.59	441.64	441.64	299.25	231.32	303.44
RTN4R	124.37	101.54	31.0	11.91	37.05	25.17	175.07	18.97	82.87	166.73	93.35	73.03	38.95	101.54	265.87	447.82	255.0	208.38	316.37	71.5	547.75	209.84	193.01	616.37	341.51	669.92	303.44	211.31
SAMD1	221.86	229.72	190.34	88.88	256.78	112.77	191.67	214.27	163.28	368.65	329.84	224.97	239.52	497.0	1159.07	1008.9	1216.75	1191.69	1073.91	406.31	1572.76	902.89	1199.98	1467.37	947.83	1008.9	1001.93	848.22
SCXA	0.0	4.5	1.2	0.0	0.21	0.0	2.16	3.06	3.03	1.68	2.01	5.54	2.92	3.06	571.05	981.29	693.58	981.29	260.38	543.96	1359.57	854.13	1167.14	1250.98	1923.14	1159.07	466.88	529.06
SCYL1	1896.65	1605.83	1963.57	1037.29	1605.83	1096.5	2451.44	1340.84	2104.58	1605.83	1331.57	1594.73	1733.13	2075.59	1870.53	1896.65	1923.14	1757.34	2255.7	1806.78	2400.97	1991.0	1487.87	2468.49	2104.58	2451.44	2451.44	2047.0
SETD9	258.57	392.44	521.76	483.38	249.73	190.34	143.01	339.14	285.03	206.94	253.23	314.17	128.79	187.71	182.55	199.85	426.57	193.01	325.29	248.0	223.41	269.6	327.56	248.0	320.8	248.0	190.34	314.17
SIPA1L1	244.57	497.0	579.04	358.54	371.22	486.75	279.14	567.1	417.77	511.0	423.61	406.31	591.22	361.04	878.17	796.86	1081.39	1059.11	995.0	1073.91	967.76	647.07	1001.93	909.17	1127.35	1081.39	703.28	764.36
SLC48A1	251.48	231.32	134.3	157.68	103.69	135.24	129.69	277.2	220.32	175.07	265.87	178.77	172.65	412.0	1322.37	1487.87	1175.27	1519.15	1963.57	1023.0	1447.15	1286.18	1322.37	1397.83	1819.35	1417.35	1350.18	1225.22
SLMO1	5.45	3.2	3.59	6.06	6.31	1.6	6.11	6.21	8.85	13.62	0.21	13.22	9.7	4.17	373.81	307.69	248.0	170.25	107.38	239.52	206.94	312.0	293.07	403.5	169.07	334.46	115.97	149.12
SNAPC2	149.12	166.73	64.34	84.04	140.04	124.37	87.65	144.01	140.04	148.09	100.83	151.22	163.28	181.28	802.41	743.43	842.36	612.11	679.29	486.75	928.3	860.08	555.41	693.58	738.29	656.11	679.29	743.43
SOWAHA	18.16	120.94	13.52	24.11	5.92	19.53	25.35	31.45	14.03	33.78	40.36	53.19	9.78	24.99	65.26	51.71	59.97	85.82	78.34	17.13	98.04	52.08	57.49	116.78	71.0	46.5	111.99	50.98
SRP68	1242.34	753.83	928.3	1685.71	1191.69	1015.93	1639.59	759.08	1059.11	981.29	703.28	660.68	915.51	780.44	2178.83	2163.77	2384.37	2133.97	2178.83	2148.82	2104.58	2468.49	2287.2	2537.92	2178.83	2061.24	2018.8	2209.26
STIM1	497.0	974.5	909.17	563.18	1001.93	708.18	656.11	1208.34	974.5	1183.45	791.35	684.02	1427.22	830.75	1286.18	1242.34	1304.15	1340.84	1487.87	981.29	1208.34	1191.69	995.0	1096.5	1378.57	1322.37	1030.12	1388.16
STRN4	343.89	403.5	392.44	197.09	260.38	325.29	493.56	332.14	273.37	363.56	332.14	444.72	346.29	514.56	1304.15	1242.34	1378.57	1340.84	1407.55	1059.11	1427.22	1183.45	1088.92	1388.16	1331.57	1378.57	1225.22	1143.1
STUB1	1617.0	2255.7	1104.13	1199.98	1183.45	1572.76	2047.0	1769.57	1551.09	1388.16	1359.57	1909.85	1427.22	1883.54	4450.27	3235.01	3491.39	2758.13	4268.94	3039.3	5441.3	5292.48	2664.15	4671.57	3614.55	4328.55	4388.98	3982.99
STXBP2	595.34	1037.29	555.41	346.29	361.04	389.72	1001.93	819.3	555.41	872.1	753.83	2018.8	1331.57	1015.93	2935.74	2335.28	2224.63	1896.65	2240.11	2303.12	3190.46	3419.52	2682.69	3235.01	2645.74	2367.9	2855.44	2875.3
SURF2	480.04	450.94	470.14	248.0	486.75	441.64	521.76	297.17	483.38	438.59	329.84	460.44	392.44	414.87	928.3	688.78	819.3	571.05	703.28	674.59	1015.93	878.17	571.05	909.17	1008.9	1135.2	836.53	884.29
TFE3	356.05	392.44	417.77	277.2	497.0	361.04	435.55	384.34	351.14	423.61	348.71	241.19	353.59	595.34	1216.75	1208.34	1151.06	1378.57	1427.22	1183.45	1467.37	1295.13	1175.27	1605.83	1498.22	1143.1	1322.37	1397.83
TIMM44	629.35	620.67	551.56	460.44	476.71	511.0	796.86	665.29	470.14	878.17	521.76	656.11	486.75	525.39	1208.34	961.07	802.41	738.29	866.07	1066.48	1628.26	1037.29	759.08	1167.14	1572.76	1378.57	995.0	909.17
TIMM50	684.02	1268.46	954.43	872.1	928.3	1304.15	1008.9	981.29	1037.29	1359.57	1059.11	890.44	1030.12	775.05	1487.87	1388.16	1331.57	1242.34	1498.22	2032.85	1794.29	1417.35	1268.46	1896.65	1572.76	1977.24	1685.71	1617.0
TMEM125	0.69	616.37	2.05	10.88	0.85	0.58	0.99	13.93	4.31	38.4	0.0	8.65	32.13	12.18	1096.5	1322.37	988.12	656.11	1104.13	802.41	1199.98	1037.29	967.76	1008.9	1233.75	1350.18	915.51	981.29
TMEM54	98.73	281.09	130.6	75.64	73.03	31.67	201.25	68.07	46.5	579.04	123.5	303.44	353.59	403.5	2047.0	2163.77	2090.03	1572.76	1896.65	1322.37	2701.35	2303.12	1583.71	2224.63	2163.77	3235.01	3081.75	1977.24
TNKS1BP1	1977.24	1806.78	2384.37	1199.98	1322.37	1909.85	2335.28	1447.15	2555.58	2758.13	1674.06	2520.38	1662.49	2555.58	2777.33	3235.01	2758.13	2976.74	3081.75	3018.3	3039.3	3491.39	2351.53	3540.14	3639.7	3690.52	3303.0	2682.69
TOE1	117.6	105.15	121.79	113.56	234.57	127.0	159.9	143.01	84.63	118.43	99.43	134.3	96.01	105.89	341.51	323.03	305.55	309.83	387.02	267.73	329.84	358.54	258.57	283.05	291.04	283.05	281.09	361.04
TOLLIP	2032.85	1417.35	1529.73	1378.57	2178.83	1277.29	1191.69	2163.77	2163.77	2384.37	1883.54	1909.85	1639.59	1923.14	884.29	934.76	915.51	921.88	1051.79	703.28	1350.18	974.5	723.08	1183.45	1008.9	1378.57	988.12	961.07
TOMM34	403.5	323.03	285.03	332.14	232.94	318.57	353.59	193.01	218.79	346.29	346.29	226.54	246.28	363.56	878.17	961.07	995.0	1037.29	1286.18	1073.91	1359.57	1096.5	860.08	1216.75	1096.5	1322.37	1143.1	1066.48
TPD52L1	3168.41	1427.22	3982.99	2739.08	5076.84	4671.57	2104.58	3614.55	1519.15	2303.12	2400.97	1498.22	2119.22	2351.53	7230.1	4095.0	4358.66	3235.01	6250.56	4481.23	8538.88	4298.64	3847.29	6983.79	10225.32	10296.45	5183.54	4836.35
TRIM7	0.0	39.22	5.36	2.27	6.52	1.46	0.16	1.87	14.35	9.85	1.64	1.27	5.77	0.0	343.89	244.57	275.28	206.94	279.14	136.19	403.5	201.25	285.03	559.28	332.14	236.21	189.02	363.56
TRMT11	429.54	295.11	571.05	616.37	256.78	665.29	967.76	307.69	260.38	253.23	214.27	208.38	309.83	273.37	470.14	358.54	379.04	417.77	343.89	473.41	389.72	493.56	336.79	346.29	532.74	559.28	438.59	397.93
UBALD1	848.22	1023.0	860.08	460.44	1250.98	450.94	1030.12	860.08	684.02	934.76	808.0	642.59	791.35	718.08	743.43	674.59	693.58	633.73	748.61	483.38	1183.45	728.11	587.13	1059.11	813.63	866.07	759.08	1088.92
UBE2I	909.17	909.17	915.51	1008.9	1073.91	909.17	1340.84	1023.0	743.43	961.07	616.37	728.11	921.88	723.08	2875.3	2720.15	2682.69	2720.15	2555.58	2537.92	3280.18	2609.3	3103.19	3372.43	3190.46	3168.41	2609.3	2627.46
UPF1	444.72	490.14	473.41	305.55	368.65	470.14	470.14	435.55	525.39	500.46	624.99	432.53	525.39	743.43	1250.98	1427.22	1359.57	1340.84	1594.73	890.44	1709.26	1277.29	1030.12	1991.0	1487.87	1295.13	1304.15	1388.16
WDR34	688.78	409.15	368.65	126.12	211.31	193.01	251.48	341.51	551.56	583.07	642.59	684.02	480.04	934.76	2796.65	1870.53	2609.3	1709.26	2384.37	1819.35	3081.75	2875.3	1605.83	2627.46	2303.12	2796.65	2609.3	2451.44
YIF1A	4038.61	4095.0	3280.18	3212.66	2895.31	3124.78	3235.01	3901.01	3419.52	4704.07	2777.33	2935.74	4066.71	2777.33	2502.97	2537.92	2367.9	1870.53	1977.24	1991.0	2645.74	2367.9	1757.34	2367.9	2178.83	2502.97	2193.99	2502.97
ZCCHC16	21.32	17.51	71.0	128.79	39.5	28.86	3.5	9.41	15.56	5.15	24.46	70.01	30.56	26.1	152.28	90.77	115.97	137.14	171.45	28.65	140.04	126.12	86.43	117.6	75.64	32.36	125.24	125.24
ZFAND2B	1037.29	988.12	703.28	738.29	559.28	1023.0	1051.79	1037.29	988.12	909.17	1059.11	1369.04	909.17	1313.23	2004.85	1963.57	1605.83	1583.71	1605.83	1781.89	2627.46	2835.7	1437.15	2384.37	2609.3	2335.28	2335.28	2061.24
ZNF213	25.35	43.02	23.25	25.54	12.83	8.92	12.93	42.71	41.81	29.06	22.1	50.98	19.53	25.54	291.04	226.54	305.55	320.8	376.41	124.37	379.04	264.03	211.31	361.04	336.79	318.57	267.73	246.28
ZNF524	368.65	320.8	206.94	145.02	232.94	256.78	149.12	327.56	309.83	305.55	297.17	444.72	325.29	457.25	1001.93	748.61	902.89	674.59	902.89	435.55	1477.58	1030.12	633.73	961.07	1073.91	1143.1	1175.27	1199.98
hsa-mir-1199	33.3	98.73	32.82	26.28	88.26	17.0	21.47	87.03	100.13	91.41	105.89	73.03	52.45	232.94	281.09	208.38	202.66	161.02	236.21	87.65	624.99	351.14	173.85	607.87	169.07	275.28	214.27	275.28
