	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.FU.A3YQ.01A.11R.A22U.07	TCGA.EA.A3HT.01A.61R.A21T.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A5S3.01A.11R.A28J.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.LN.A4MQ.01A.11R.A28J.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
PLA2G6	9.41	173.85	249.73	269.6	69.52	426.57	1044.52	660.68	559.28	660.68	890.44	1066.48	825.0	543.96	1909.85	429.54	791.35	599.49	633.73	674.59	674.59	71.0	74.06	0.0	0.91	37.05	37.32	94.67	114.36	220.32	82.29	63.89	63.89
PRMT7	961.07	493.56	583.07	540.19	507.46	1119.56	1477.58	1208.34	808.0	753.83	1008.9	764.36	890.44	607.87	1008.9	629.35	547.75	941.27	1081.39	961.07	733.19	325.29	429.54	0.0	0.09	379.04	583.07	379.04	346.29	647.07	497.0	620.67	273.37
RABL2A	43.94	86.43	215.77	224.97	105.15	836.53	1268.46	387.02	363.56	279.14	703.28	660.68	511.0	299.25	988.12	231.32	490.14	395.18	409.15	915.51	242.88	34.02	106.63	0.0	0.13	35.76	28.04	68.55	61.25	126.12	47.84	71.0	43.63
RABL2B	131.51	161.02	358.54	470.14	346.29	660.68	947.83	547.75	500.46	587.13	708.18	703.28	836.53	463.65	967.76	463.65	743.43	638.15	698.41	896.64	384.34	178.77	194.36	0.0	0.18	221.86	133.36	161.02	244.57	293.07	149.12	204.07	108.14
RBM12B-AS1	7.06	7.51	22.43	18.97	10.08	111.21	127.0	50.27	34.26	21.47	145.02	176.29	351.14	17.13	158.79	31.9	75.64	13.52	36.27	51.71	28.04	16.51	2.27	0.0	0.3	10.31	1.11	2.92	4.74	8.65	2.76	1.41	0.0
RDH5	13.52	15.22	65.26	59.97	46.18	166.73	236.21	68.07	193.01	202.66	145.02	218.79	356.05	312.0	351.14	293.07	159.9	98.04	206.94	808.0	429.54	44.25	50.63	0.0	0.66	37.59	72.01	140.04	40.36	63.0	80.57	34.75	32.59
RP11-1105G2.3	0.0	1.51	13.83	8.45	13.93	59.97	62.12	19.11	23.08	24.63	43.63	12.83	120.1	13.93	85.82	25.91	38.95	33.3	56.68	138.1	5.19	3.0	8.45	0.0	0.52	0.0	1.46	7.0	3.23	0.87	26.47	10.31	17.9
RP11-231C14.4	4.1	118.43	221.86	132.44	95.34	1135.2	1111.82	551.56	529.06	693.58	1096.5	878.17	1594.73	432.53	1183.45	343.89	947.83	444.72	819.3	1001.93	392.44	79.45	25.54	0.0	1.2	6.01	5.77	92.7	127.89	84.63	57.49	65.26	102.25
RP11-552F3.12	1.25	21.32	12.74	8.99	7.22	24.46	56.68	71.5	19.68	18.97	37.85	114.36	76.17	29.48	53.57	24.63	53.57	16.75	30.78	34.02	17.0	0.99	2.78	0.0	0.27	4.58	12.09	4.98	8.65	19.97	12.93	4.58	9.2
RP11-644F5.10	2.48	7.06	26.28	23.08	35.76	69.03	165.57	24.11	55.1	54.72	80.57	87.65	115.16	63.0	152.28	59.97	55.49	38.67	91.41	348.71	59.55	7.94	7.88	0.0	0.52	7.57	4.5	32.59	8.25	16.39	14.24	10.88	10.88
RP11-793H13.10	10.47	19.39	46.18	21.32	31.22	140.04	108.14	38.12	70.01	108.14	164.42	186.4	518.15	134.3	262.2	80.01	148.09	29.91	127.89	173.85	71.0	0.0	9.48	0.0	0.8	0.0	0.0	7.94	2.07	7.0	3.26	3.82	12.36
RP11-795F19.5	3.38	0.0	3.5	8.45	3.53	67.59	40.07	31.45	13.32	34.51	44.57	33.78	8.13	8.85	81.71	7.63	57.08	15.0	19.11	43.02	25.17	1.97	1.07	0.0	0.31	1.46	0.0	4.06	5.15	1.73	0.21	0.87	3.03
RP13-996F3.5	0.0	13.32	13.22	3.82	3.29	60.39	23.25	25.17	94.01	42.71	27.44	31.0	109.66	31.22	102.97	82.29	29.27	10.31	36.53	37.59	31.67	0.83	3.96	0.0	0.44	0.0	0.15	1.55	3.69	6.41	3.86	1.14	10.16
RPAP1	299.25	217.27	305.55	236.21	236.21	400.71	638.15	429.54	414.87	309.83	384.34	312.0	305.55	358.54	381.68	447.82	332.14	351.14	299.25	651.58	353.59	202.66	134.3	0.0	0.38	76.17	180.02	277.2	199.85	426.57	205.5	218.79	260.38
SAPCD1	2.53	92.05	83.45	31.67	30.56	147.06	183.82	167.9	86.43	80.57	234.57	190.34	197.09	100.83	392.44	127.89	251.48	185.11	119.26	273.37	57.49	3.5	2.94	0.0	0.78	0.0	2.36	27.44	2.92	11.21	7.94	7.69	9.27
SEC31B	6.84	28.04	164.42	53.95	32.82	400.71	493.56	186.4	175.07	167.9	356.05	150.17	567.1	170.25	728.11	123.5	194.36	64.34	182.55	301.33	176.29	3.29	7.11	0.0	1.28	0.0	1.19	11.38	15.68	17.13	9.48	4.24	6.16
SFI1	46.18	255.0	341.51	267.73	236.21	780.44	633.73	403.5	507.46	423.61	684.02	884.29	928.3	392.44	915.51	525.39	902.89	384.34	698.41	669.92	387.02	65.26	64.8	0.0	0.84	46.18	19.53	94.67	85.82	101.54	56.28	52.45	37.32
SLC25A27	16.75	22.43	127.0	133.36	63.45	638.15	1159.07	775.05	262.2	343.89	500.46	616.37	4239.45	336.79	921.88	273.37	902.89	221.86	497.0	559.28	420.68	1.71	6.36	0.0	1.06	6.06	0.0	8.78	26.67	26.67	8.13	7.94	9.63
SLC25A29	43.02	536.45	209.84	353.59	305.55	397.93	748.61	563.18	753.83	775.05	748.61	642.59	703.28	579.04	1322.37	633.73	1651.0	624.99	698.41	713.11	1001.93	104.42	251.48	0.0	0.91	161.02	50.63	54.33	316.37	258.57	118.43	205.5	91.41
SLC7A9	0.0	1.55	3.06	5.15	2.81	34.02	49.91	9.93	50.98	29.06	34.51	25.17	48.18	18.03	59.55	73.03	30.56	15.56	27.05	312.0	6.89	0.0	0.0	0.0	0.36	1.93	0.0	0.46	0.22	2.41	0.64	2.94	2.56
SLMO1	73.03	11.82	11.38	22.59	119.26	486.75	260.38	197.09	81.71	105.89	273.37	173.85	444.72	76.17	420.68	71.0	201.25	171.45	104.42	293.07	34.26	33.06	11.21	0.0	0.65	22.1	25.35	13.52	20.41	6.89	6.94	5.82	14.03
SPDYE1	0.93	5.5	4.21	4.39	3.53	21.01	19.25	13.83	8.13	11.64	18.03	21.78	34.51	9.2	17.38	9.13	20.86	5.68	15.8	21.47	5.02	1.08	1.97	0.0	0.12	0.44	0.27	2.76	1.11	1.89	1.1	2.43	1.22
SPEG	80.01	9.85	417.77	327.56	244.57	1617.0	2240.11	291.04	1259.69	961.07	3589.58	1088.92	2335.28	567.1	2193.99	162.14	1304.15	241.19	381.68	1909.85	896.64	64.34	11.82	0.0	0.8	51.71	11.04	35.0	127.0	122.64	85.82	41.52	13.72
SRRT	1111.82	1674.06	2133.97	1883.54	1769.57	2915.45	4388.98	2555.58	2417.67	2720.15	3690.52	4181.07	3540.14	2090.03	5672.41	2384.37	3146.52	3146.52	4937.99	3395.89	1819.35	842.36	802.41	0.0	1.25	878.17	540.19	1259.69	1088.92	1277.29	1191.69	947.83	1286.18
SRSF2	3955.48	3372.43	4481.23	4769.75	4836.35	5711.87	6607.01	5711.87	6337.83	5555.65	6121.9	10084.54	6840.04	4903.87	6250.56	6037.61	5441.3	7695.57	5633.22	9215.48	4181.07	2335.28	2816.11	3257.52	974.5	3928.15	2956.17	4736.79	4512.4	3847.29	4419.52	2351.53	4152.18
STK36	114.36	135.24	400.71	332.14	293.07	860.08	2193.99	679.29	525.39	587.13	679.29	1088.92	1051.79	669.92	995.0	587.13	551.56	356.05	743.43	1628.26	579.04	33.78	77.25	0.0	0.83	53.95	39.79	66.65	146.03	165.57	74.06	94.01	60.82
STRADA	256.78	373.81	579.04	497.0	387.02	669.92	825.0	872.1	764.36	693.58	854.13	884.29	830.75	830.75	974.5	718.08	1023.0	633.73	669.92	688.78	728.11	221.86	339.14	0.0	0.84	182.55	320.8	450.94	309.83	384.34	373.81	412.0	336.79
SUGP2	232.94	379.04	529.06	497.0	414.87	1508.65	2303.12	1066.48	1001.93	866.07	1709.26	2468.49	2739.08	743.43	1378.57	878.17	1277.29	1457.23	1167.14	1216.75	954.43	152.28	137.14	0.0	1.25	157.68	106.63	249.73	351.14	244.57	166.73	189.02	202.66
SYNGAP1	13.93	105.89	246.28	135.24	69.03	603.67	620.67	312.0	406.31	414.87	579.04	563.18	642.59	312.0	866.07	251.48	612.11	224.97	450.94	551.56	316.37	81.71	45.85	0.0	0.77	8.06	45.21	146.03	201.25	141.02	93.35	73.54	63.45
TAF1C	218.79	237.86	684.02	470.14	392.44	921.88	1963.57	1286.18	1030.12	974.5	1427.22	1709.26	2255.7	842.36	1583.71	1037.29	813.63	1242.34	1167.14	1605.83	967.76	253.23	211.31	368.65	212.78	117.6	96.68	244.57	244.57	323.03	204.07	221.86	163.28
TAF6L	144.01	271.48	303.44	253.23	269.6	454.09	890.44	656.11	483.38	525.39	890.44	808.0	563.18	441.64	669.92	480.04	896.64	759.08	791.35	603.67	423.61	103.69	135.24	0.0	0.35	102.25	121.79	283.05	157.68	236.21	283.05	269.6	271.48
TAS2R46	0.0	0.88	0.8	0.0	0.0	1.51	1.07	1.07	0.19	1.62	3.92	1.14	2.18	0.21	2.86	0.48	1.69	0.0	1.23	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TBX5	1.55	2.12	0.8	1.1	0.41	480.04	1628.26	100.83	139.07	149.12	567.1	299.25	346.29	85.22	353.59	69.52	201.25	27.64	297.17	547.75	242.88	0.46	0.44	0.0	0.52	1.81	4.24	13.03	0.0	1.71	1.35	0.53	2.14
TCF7L1	312.0	16.63	231.32	198.47	165.57	371.22	2664.15	237.86	341.51	318.57	651.58	555.41	808.0	223.41	1457.23	303.44	521.76	503.95	395.18	353.59	251.48	120.94	36.53	0.0	0.78	57.49	39.79	264.03	82.87	164.42	251.48	108.14	80.57
TSSK3	31.0	0.82	15.68	17.25	21.47	70.51	145.02	94.01	37.05	50.98	117.6	99.43	87.65	24.28	265.87	31.45	101.54	39.79	66.65	102.97	9.7	0.0	2.97	0.0	0.61	55.1	0.0	2.39	0.01	5.32	1.36	4.06	0.99
TUB	3.41	2.16	17.0	18.56	23.59	70.01	262.2	44.89	45.21	41.52	104.42	50.98	36.79	29.91	135.24	13.93	119.26	17.38	39.79	35.25	48.52	13.62	6.06	0.0	0.46	0.88	4.78	24.46	22.75	13.42	10.16	9.34	0.66
UBAP1L	0.96	26.28	33.06	12.0	9.34	68.55	71.0	33.06	58.71	54.33	68.55	57.49	90.77	58.71	87.03	43.32	57.08	26.1	46.5	49.21	102.25	2.71	21.63	0.0	0.68	3.44	1.11	31.9	15.91	10.71	6.06	2.03	21.78
VPS39	185.11	529.06	603.67	529.06	409.15	813.63	934.76	642.59	738.29	759.08	915.51	543.96	995.0	764.36	884.29	620.67	848.22	612.11	679.29	819.3	743.43	368.65	281.09	0.0	0.6	93.35	204.07	400.71	229.72	406.31	500.46	384.34	356.05
WDR27	28.24	339.14	202.66	307.69	181.28	753.83	1709.26	884.29	633.73	854.13	902.89	796.86	1151.06	656.11	1857.6	543.96	947.83	414.87	723.08	1104.13	629.35	40.64	69.03	0.0	1.04	58.3	19.82	82.29	106.63	120.94	45.85	57.89	63.45
WDR59	258.57	536.45	536.45	366.09	295.11	954.43	1167.14	1001.93	620.67	934.76	954.43	1104.13	1369.04	743.43	1044.52	559.28	728.11	791.35	791.35	802.41	780.44	248.0	348.71	0.0	0.79	224.97	157.68	336.79	356.05	343.89	414.87	279.14	262.2
WDR90	190.34	316.37	934.76	511.0	389.72	1331.57	2104.58	1044.52	753.83	651.58	1806.78	1583.71	2148.82	540.19	1909.85	854.13	1199.98	872.1	934.76	1295.13	447.82	87.03	64.8	0.0	0.97	54.72	29.06	166.73	148.09	166.73	88.88	57.08	84.63
ZCCHC8	236.21	269.6	368.65	406.31	361.04	575.03	748.61	450.94	441.64	583.07	616.37	988.12	1159.07	447.82	796.86	532.74	890.44	457.25	684.02	708.18	435.55	185.11	318.57	0.0	0.55	171.45	175.07	289.02	229.72	275.28	258.57	253.23	281.09
ZFC3H1	74.58	500.46	775.05	547.75	346.29	1250.98	947.83	1111.82	684.02	836.53	813.63	813.63	2193.99	728.11	1175.27	647.07	1225.22	612.11	974.5	1127.35	571.05	189.02	109.66	0.0	0.84	26.67	32.59	234.57	283.05	162.14	107.38	121.79	186.4
ZNF337	82.87	106.63	163.28	166.73	162.14	629.35	1437.15	397.93	343.89	403.5	698.41	518.15	941.27	348.71	587.13	255.0	536.45	336.79	647.07	567.1	327.56	71.5	83.45	0.0	0.82	48.87	47.84	53.57	94.01	106.63	77.79	39.79	50.27
ZNF519	21.63	49.21	137.14	98.04	117.6	343.89	323.03	320.8	132.44	146.03	275.28	265.87	241.19	267.73	460.44	194.36	414.87	152.28	180.02	332.14	101.54	7.17	144.01	0.0	0.29	9.63	25.72	187.71	9.34	45.53	82.87	69.03	23.08
ZNF789	55.49	111.21	195.72	150.17	150.17	297.17	503.95	307.69	217.27	277.2	379.04	444.72	423.61	181.28	616.37	242.88	414.87	198.47	460.44	406.31	152.28	45.21	97.36	127.89	249.73	132.44	16.75	70.01	43.02	60.39	60.82	43.32	33.3
