	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.ZLFU.1426.SM.4WWEU	GTEX.11I78.1326.SM.5PNY9	GTEX.ZDTS.2726.SM.5L3E2	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.13111.1126.SM.5GCMZ	GTEX.U3ZH.1126.SM.4DXUG	GTEX.TKQ2.1226.SM.4DXSV	GTEX.R53T.1026.SM.48FCO	GTEX.TML8.1426.SM.4DXUT	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.13111.1226.SM.5GCNC	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.S4P3.0726.SM.4AD57	GTEX.P4QT.1526.SM.3NMCT	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.R55D.1526.SM.48FEJ	GTEX.XPVG.1526.SM.4B66C
VPS41	591.22	633.73	429.54	444.72	379.04	624.99	733.19	819.3	684.02	728.11	733.19	1250.98	379.04	444.72	185.11	941.27	571.05	612.11	450.94	854.13	612.11	368.65	808.0
XPO4	112.77	150.17	58.71	119.26	43.63	147.06	150.17	206.94	163.28	172.65	176.29	246.28	0.0	0.24	31.67	271.48	221.86	152.28	81.14	76.71	148.09	165.57	214.27
YLPM1	536.45	718.08	397.93	525.39	301.33	633.73	688.78	878.17	612.11	674.59	718.08	738.29	0.0	0.73	100.83	848.22	624.99	417.77	293.07	309.83	423.61	521.76	476.71
ZBTB1	429.54	435.55	325.29	521.76	189.02	429.54	500.46	525.39	536.45	583.07	571.05	703.28	0.0	0.27	351.14	450.94	447.82	412.0	423.61	366.09	397.93	381.68	476.71
ZBTB37	30.34	41.52	9.41	12.64	8.51	36.53	63.89	50.63	76.71	73.03	77.25	82.87	18.56	23.76	4.1	37.85	36.27	31.45	11.55	10.16	24.63	42.11	29.7
ZDHHC17	343.89	703.28	165.57	205.5	195.72	447.82	679.29	518.15	551.56	536.45	563.18	633.73	0.0	0.72	66.18	507.46	314.17	264.03	130.6	155.5	234.57	373.81	279.14
ZMAT1	105.89	155.5	29.91	14.78	76.17	164.42	463.65	438.59	518.15	316.37	387.02	802.41	0.0	0.65	1.58	438.59	114.36	42.11	19.25	22.26	28.04	59.55	181.28
ZMYM6	182.55	234.57	88.88	128.79	100.83	237.86	229.72	265.87	251.48	242.88	253.23	291.04	0.0	0.23	153.34	231.32	167.9	189.02	74.06	89.51	125.24	165.57	202.66
ZNF117	50.27	100.13	18.03	30.78	45.53	87.65	202.66	77.79	339.14	129.69	197.09	223.41	0.0	0.88	27.25	110.43	52.45	87.65	13.72	31.45	25.54	102.97	48.18
ZNF229	49.91	109.66	36.53	54.72	17.64	41.52	75.11	57.89	83.45	155.5	106.63	202.66	0.0	0.37	1.11	143.01	52.82	28.45	72.01	26.28	120.1	80.01	57.49
ZNF24	450.94	420.68	325.29	412.0	228.13	447.82	540.19	743.43	435.55	599.49	563.18	656.11	0.0	0.53	158.79	713.11	397.93	389.72	332.14	366.09	353.59	703.28	480.04
ZNF354C	55.49	91.41	24.28	41.52	17.25	78.89	102.97	100.83	65.26	111.99	102.97	100.83	0.0	0.38	1.51	90.77	88.26	47.84	22.92	54.33	61.25	81.71	67.12
ZNF382	68.07	128.79	27.64	43.94	24.46	127.0	82.87	74.06	116.78	122.64	74.58	94.67	0.0	0.33	2.16	137.14	78.34	98.73	23.76	28.24	87.65	162.14	67.12
ZNF432	142.01	166.73	77.79	79.45	72.52	152.28	113.56	303.44	214.27	208.38	199.85	260.38	65.26	93.35	20.86	190.34	145.02	88.26	40.93	71.0	89.51	112.77	163.28
ZNF546	52.08	49.91	12.27	8.32	11.3	48.18	69.03	111.21	74.06	59.97	72.01	88.26	0.0	0.17	3.56	44.25	49.91	32.13	10.96	14.35	24.46	45.85	25.91
ZNF568	94.67	134.3	80.57	59.55	57.08	128.79	156.59	162.14	92.05	206.94	167.9	163.28	0.0	0.45	4.98	149.12	80.57	73.03	108.9	105.15	137.14	123.5	161.02
ZNF596	102.25	70.01	29.48	39.22	38.95	87.65	202.66	132.44	166.73	123.5	139.07	202.66	0.0	0.52	17.0	176.29	116.78	34.75	44.57	67.59	66.65	71.5	191.67
ZNF808	61.68	69.52	50.98	41.22	30.12	90.14	107.38	183.82	178.77	113.56	205.5	177.53	0.0	0.39	4.5	57.89	78.89	51.71	36.79	40.36	41.22	105.89	51.35
ZNF84	275.28	409.15	186.4	164.42	107.38	285.03	332.14	351.14	381.68	414.87	366.09	423.61	0.0	0.64	80.57	403.5	220.32	198.47	94.01	107.38	145.02	241.19	189.02
ZSCAN30	180.02	241.19	89.51	72.52	73.03	201.25	320.8	244.57	432.53	381.68	339.14	460.44	0.0	0.59	28.65	204.07	191.67	127.0	89.51	98.73	82.87	193.01	218.79
