	GTEX.13YAN.1826.SM.5LU3Q	GTEX.13YAN.2026.SM.5Q5EY	GTEX.13FHO.1826.SM.5K7Y6	GTEX.YECK.1726.SM.5IFI3	TCGA.BA.5557.01A.01R.1514.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.13N11.0326.SM.5LUA3	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.WFG8.0926.SM.3GIKJ	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.12WSJ.0226.SM.5GCP7	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.11I78.0126.SM.5HL6F	GTEX.WFG7.0526.SM.3GIKI	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.R55G.0826.SM.2TC5U	GTEX.YEC3.0226.SM.5IFJO	GTEX.145MN.0926.SM.5NQBT	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.132QS.0726.SM.5IJE9	GTEX.1399S.1726.SM.5L3DI	GTEX.UJHI.0726.SM.3DB92	GTEX.WH7G.0726.SM.3NMBM	GTEX.11TT1.1626.SM.5EQL7	GTEX.X4LF.0526.SM.3NMB6	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1399U.0826.SM.5KM1P	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	GTEX.QEG5.1126.SM.33HC2	GTEX.OHPM.0526.SM.2YUMJ	GTEX.ZQG8.2126.SM.4YCF1	TCGA.EL.A3ZT.01A.12R.A23N.07	GTEX.12584.0826.SM.5FQSK	GTEX.RTLS.0626.SM.5SI7Z	GTEX.13QJC.0826.SM.5RQKC	GTEX.V1D1.0926.SM.4JBHQ
ELMOD3	532.74	669.92	647.07	688.78	79.45	723.08	551.56	148.09	96.01	121.79	149.12	236.21	208.38	244.57	457.25	316.37	267.73	182.55	176.29	305.55	193.01	180.02	264.03	480.04	264.03	299.25	312.0	232.94	327.56	397.93	334.46	353.59	309.83	441.64	320.8	187.71	194.36	267.73	579.04	275.28	253.23	368.65	264.03	348.71	234.57	242.88	400.71	154.42	348.71	172.65	351.14	339.14	400.71	371.22	182.55	273.37	178.77	136.19	518.15	463.65	575.03	624.99	660.68
ERCC3	1175.27	1350.18	1073.91	1233.75	353.59	1407.55	1066.48	258.57	215.77	299.25	525.39	607.87	603.67	559.28	878.17	669.92	555.41	497.0	447.82	536.45	511.0	567.1	620.67	748.61	551.56	796.86	808.0	551.56	693.58	884.29	660.68	603.67	651.58	769.69	780.44	579.04	507.46	563.18	796.86	633.73	483.38	884.29	543.96	555.41	583.07	514.56	796.86	540.19	713.11	540.19	693.58	759.08	713.11	802.41	551.56	656.11	379.04	325.29	954.43	1216.75	1073.91	928.3	1096.5
EZH1	1457.23	1605.83	1208.34	1529.73	127.89	1551.09	1001.93	100.13	59.13	60.82	332.14	529.06	361.04	450.94	819.3	457.25	381.68	414.87	199.85	532.74	327.56	262.2	454.09	854.13	403.5	669.92	679.29	356.05	450.94	791.35	733.19	441.64	796.86	1167.14	514.56	373.81	409.15	674.59	967.76	470.14	423.61	769.69	457.25	660.68	334.46	246.28	884.29	420.68	633.73	312.0	559.28	708.18	591.22	669.92	429.54	769.69	291.04	98.73	1369.04	1073.91	1175.27	1519.15	878.17
FAM133B	848.22	547.75	547.75	490.14	177.53	536.45	457.25	43.63	186.4	151.22	409.15	202.66	287.01	186.4	579.04	214.27	599.49	269.6	260.38	309.83	343.89	264.03	201.25	332.14	356.05	454.09	397.93	283.05	441.64	395.18	376.41	493.56	241.19	281.09	384.34	158.79	275.28	444.72	348.71	295.11	314.17	392.44	279.14	348.71	373.81	244.57	389.72	303.44	264.03	231.32	384.34	299.25	327.56	432.53	470.14	323.03	236.21	287.01	423.61	642.59	511.0	679.29	669.92
FAM156A	314.17	988.12	1037.29	995.0	31.0	1397.83	921.88	37.85	23.25	23.59	50.98	133.36	113.56	90.14	872.1	105.89	120.94	113.56	121.79	209.84	291.04	73.54	152.28	403.5	131.51	381.68	351.14	82.29	256.78	511.0	209.84	194.36	127.89	392.44	228.13	96.68	144.01	205.5	624.99	142.01	146.03	334.46	147.06	273.37	220.32	113.56	339.14	185.11	232.94	249.73	551.56	244.57	190.34	197.09	273.37	129.69	28.24	10.88	1081.39	532.74	769.69	493.56	764.36
FAM192A	2004.85	2875.3	2032.85	2287.2	1111.82	2520.38	2520.38	780.44	688.78	1143.1	1088.92	1721.16	1769.57	1159.07	2591.27	1498.22	1605.83	1540.37	1088.92	1191.69	1561.89	1151.06	1331.57	1936.53	1651.0	1936.53	1477.58	1407.55	1437.15	2271.4	1733.13	1233.75	1529.73	1963.57	1769.57	1674.06	1277.29	1529.73	2384.37	1467.37	1388.16	2796.65	1313.23	1628.26	1268.46	1313.23	2645.74	1277.29	1487.87	1378.57	1733.13	1397.83	1583.71	1561.89	1487.87	1519.15	866.07	1111.82	2319.15	2720.15	2335.28	2555.58	1936.53
FAM76B	825.0	665.29	713.11	575.03	81.71	791.35	521.76	46.84	83.45	93.35	139.07	201.25	153.34	169.07	260.38	151.22	155.5	172.65	106.63	217.27	145.02	96.68	244.57	246.28	152.28	373.81	346.29	146.03	285.03	361.04	251.48	260.38	387.02	291.04	297.17	232.94	281.09	289.02	312.0	209.84	180.02	387.02	176.29	194.36	176.29	69.52	486.75	231.32	198.47	186.4	346.29	193.01	117.6	327.56	289.02	438.59	78.34	37.05	665.29	890.44	791.35	620.67	536.45
FNBP4	2609.3	2701.35	2682.69	1819.35	197.09	2061.24	1977.24	65.72	109.66	124.37	559.28	392.44	441.64	514.56	1030.12	497.0	633.73	684.02	890.44	941.27	507.46	281.09	595.34	1561.89	426.57	981.29	995.0	346.29	708.18	830.75	830.75	802.41	1769.57	2104.58	551.56	1427.22	1151.06	947.83	961.07	514.56	518.15	928.3	447.82	612.11	392.44	316.37	1059.11	909.17	414.87	447.82	656.11	543.96	518.15	708.18	688.78	1322.37	395.18	139.07	2319.15	2319.15	1781.89	2193.99	1639.59
FUK	476.71	693.58	466.88	540.19	110.43	536.45	679.29	277.2	72.52	105.15	187.71	384.34	208.38	287.01	525.39	412.0	215.77	226.54	108.9	265.87	231.32	180.02	287.01	543.96	208.38	303.44	293.07	242.88	368.65	567.1	420.68	256.78	457.25	503.95	420.68	205.5	159.9	241.19	665.29	314.17	208.38	518.15	205.5	387.02	332.14	325.29	406.31	191.67	409.15	329.84	256.78	486.75	490.14	532.74	253.23	366.09	99.43	55.49	511.0	454.09	483.38	441.64	633.73
GOLGA8B	1457.23	1794.29	3690.52	2573.36	7.28	2976.74	2303.12	12.55	49.21	34.51	305.55	466.88	121.79	269.6	830.75	486.75	373.81	258.57	123.5	220.32	417.77	88.26	490.14	909.17	447.82	1857.6	1073.91	148.09	674.59	1427.22	947.83	215.77	1159.07	995.0	995.0	226.54	248.0	941.27	1605.83	258.57	229.72	679.29	339.14	660.68	18.56	135.24	599.49	264.03	177.53	339.14	1359.57	555.41	130.6	1923.14	356.05	486.75	33.3	2.58	9025.81	8538.88	6887.62	3742.05	7331.05
GTF2IRD2	1088.92	1572.76	934.76	878.17	136.19	532.74	775.05	209.84	307.69	141.02	423.61	346.29	514.56	384.34	466.88	406.31	490.14	281.09	231.32	400.71	221.86	392.44	450.94	579.04	376.41	529.06	518.15	387.02	460.44	1135.2	457.25	189.02	438.59	414.87	571.05	376.41	583.07	486.75	1073.91	387.02	295.11	679.29	348.71	412.0	366.09	341.51	612.11	381.68	332.14	417.77	688.78	902.89	536.45	642.59	283.05	204.07	153.34	77.79	684.02	780.44	718.08	693.58	1081.39
GTF2IRD2B	1175.27	1378.57	1127.35	1277.29	65.26	1277.29	1477.58	368.65	133.36	175.07	536.45	435.55	361.04	638.15	878.17	642.59	679.29	587.13	318.57	595.34	595.34	346.29	490.14	536.45	595.34	775.05	540.19	463.65	733.19	674.59	854.13	435.55	571.05	665.29	836.53	540.19	688.78	769.69	967.76	483.38	400.71	1088.92	591.22	579.04	540.19	303.44	813.63	559.28	703.28	426.57	660.68	713.11	708.18	928.3	551.56	343.89	332.14	155.5	1008.9	848.22	1159.07	1135.2	1467.37
HAUS3	265.87	327.56	281.09	177.53	77.25	316.37	241.19	20.26	65.72	82.87	69.52	84.04	97.36	87.03	246.28	99.43	151.22	140.04	53.95	127.89	86.43	104.42	90.77	128.79	148.09	198.47	180.02	98.73	114.36	181.28	167.9	157.68	127.0	158.79	166.73	94.67	88.26	123.5	165.57	157.68	109.66	206.94	77.79	143.01	113.56	85.82	161.02	112.77	123.5	98.04	205.5	103.69	83.45	149.12	109.66	212.78	51.71	87.03	183.82	170.25	281.09	217.27	269.6
HCG27	75.11	229.72	167.9	265.87	4.58	521.76	457.25	5.63	8.99	5.73	35.5	43.02	23.42	9.13	71.0	36.53	24.28	31.0	53.19	29.06	24.81	7.0	80.01	33.78	12.55	32.82	14.24	52.08	5.06	74.06	32.36	152.28	138.1	182.55	41.81	155.5	12.55	33.54	28.65	59.13	13.52	27.84	12.27	49.91	18.56	58.3	27.64	32.36	31.67	17.25	32.59	32.36	71.5	28.65	38.95	123.5	71.0	0.37	157.68	152.28	164.42	144.01	120.94
HINFP	665.29	848.22	802.41	808.0	156.59	836.53	679.29	102.25	76.71	57.49	187.71	214.27	204.07	221.86	612.11	297.17	271.48	193.01	147.06	287.01	234.57	234.57	241.19	536.45	229.72	358.54	329.84	205.5	241.19	361.04	397.93	239.52	271.48	387.02	248.0	185.11	246.28	285.03	293.07	275.28	177.53	371.22	281.09	228.13	244.57	201.25	318.57	204.07	314.17	194.36	279.14	291.04	348.71	295.11	217.27	301.33	198.47	103.69	728.11	684.02	713.11	665.29	961.07
HIST4H4	94.67	33.78	44.57	71.5	9.85	141.02	83.45	0.0	3.35	2.1	16.51	29.48	6.41	48.87	29.27	23.59	9.63	8.99	27.44	10.16	22.59	8.38	71.0	21.78	21.47	11.21	30.78	22.92	33.3	86.43	28.45	20.41	42.41	28.45	71.5	20.11	14.03	24.46	36.53	9.78	19.25	49.21	33.78	43.63	10.24	11.04	20.26	10.24	68.07	43.32	21.01	60.82	34.26	57.89	20.11	19.82	12.64	15.22	190.34	185.11	50.63	138.1	97.36
HNRNPH1	12943.04	13872.08	11345.82	12076.21	2682.69	22072.07	16727.26	1233.75	1135.2	1295.13	4639.29	3820.7	4328.55	3690.52	13399.51	8778.97	3874.05	3491.39	4481.23	4671.57	4937.99	3716.2	7280.4	11827.67	4210.15	7589.61	9808.75	3665.02	9945.68	11035.54	7749.1	5329.3	11827.67	6699.25	6983.79	6935.54	4239.45	6983.79	9540.5	4066.71	5147.73	11909.94	5292.48	7382.04	5041.77	3325.99	9876.98	4450.27	6121.9	3443.31	8078.22	7032.37	9025.81	5633.22	6607.01	6079.61	3372.43	1277.29	15824.9	16843.62	13215.02	18052.61	12853.63
ILKAP	1397.83	1519.15	1111.82	1295.13	361.04	1044.52	890.44	353.59	265.87	305.55	392.44	309.83	521.76	279.14	1259.69	400.71	836.53	466.88	514.56	651.58	587.13	417.77	441.64	921.88	334.46	723.08	718.08	248.0	429.54	830.75	738.29	583.07	583.07	1088.92	830.75	567.1	591.22	703.28	842.36	486.75	490.14	1051.79	629.35	802.41	409.15	412.0	974.5	473.41	470.14	356.05	679.29	563.18	444.72	780.44	514.56	466.88	351.14	314.17	1467.37	1135.2	1081.39	1457.23	1605.83
INTS3	1340.84	1963.57	2335.28	2701.35	220.32	3039.3	1857.6	291.04	172.65	215.77	941.27	753.83	579.04	928.3	1674.06	802.41	854.13	587.13	460.44	934.76	660.68	785.88	791.35	934.76	769.69	808.0	928.3	693.58	842.36	1313.23	1175.27	1037.29	1183.45	1407.55	1135.2	217.27	543.96	796.86	1378.57	656.11	909.17	854.13	759.08	1051.79	1059.11	967.76	995.0	660.68	1088.92	764.36	825.0	1151.06	1119.56	1378.57	928.3	1023.0	583.07	267.73	1540.37	1313.23	1498.22	1313.23	1487.87
KANSL1L	616.37	603.67	503.95	363.56	29.27	587.13	819.3	43.32	39.5	55.49	180.02	198.47	208.38	348.71	454.09	218.79	232.94	220.32	172.65	163.28	148.09	125.24	262.2	212.78	267.73	358.54	318.57	194.36	204.07	420.68	301.33	180.02	384.34	346.29	351.14	201.25	121.79	303.44	358.54	264.03	119.26	309.83	166.73	368.65	193.01	68.55	312.0	132.44	316.37	237.86	406.31	305.55	334.46	343.89	228.13	361.04	122.64	36.01	507.46	1030.12	490.14	660.68	500.46
KIAA0907	1594.73	1991.0	1991.0	1487.87	153.34	1477.58	1331.57	80.57	43.32	115.16	157.68	237.86	152.28	81.71	435.55	163.28	209.84	191.67	438.59	183.82	242.88	162.14	293.07	376.41	190.34	289.02	450.94	205.5	123.5	559.28	325.29	275.28	595.34	480.04	301.33	629.35	155.5	234.57	612.11	234.57	194.36	358.54	151.22	441.64	186.4	104.42	334.46	170.25	307.69	246.28	460.44	332.14	281.09	348.71	264.03	273.37	191.67	41.22	1572.76	1225.22	743.43	1073.91	1044.52
L3MBTL1	483.38	476.71	551.56	651.58	14.14	518.15	301.33	14.78	2.1	2.01	39.5	59.13	21.78	40.64	301.33	80.01	21.94	21.63	34.26	32.13	33.54	34.26	52.45	96.01	24.63	76.71	81.71	37.59	39.79	228.13	64.34	38.12	133.36	113.56	175.07	56.28	15.34	65.26	155.5	53.95	24.46	105.15	30.78	122.64	48.18	29.27	164.42	21.94	105.15	62.56	70.01	70.01	157.68	104.42	38.12	71.5	18.84	1.07	444.72	575.03	426.57	318.57	493.56
LUC7L	2434.5	3540.14	3146.52	2816.11	232.94	4210.15	2627.46	148.09	137.14	161.02	291.04	217.27	591.22	483.38	2367.9	595.34	647.07	389.72	536.45	753.83	351.14	376.41	287.01	1617.0	490.14	698.41	967.76	269.6	854.13	866.07	995.0	679.29	796.86	1832.01	791.35	486.75	563.18	703.28	1757.34	607.87	289.02	1199.98	361.04	836.53	368.65	325.29	1015.93	595.34	543.96	246.28	1233.75	563.18	693.58	941.27	318.57	587.13	339.14	176.29	3515.68	2468.49	3665.02	2720.15	4239.45
LUC7L3	6121.9	7230.1	8658.09	7642.41	457.25	4769.75	4123.49	111.99	332.14	480.04	660.68	1167.14	967.76	902.89	2018.8	819.3	1044.52	1023.0	1159.07	921.88	1277.29	748.61	1295.13	1745.2	1104.13	1322.37	2178.83	909.17	1304.15	2163.77	1457.23	1151.06	3018.3	1674.06	1697.45	1651.0	890.44	1437.15	2417.67	1073.91	884.29	1605.83	974.5	1977.24	1081.39	525.39	1844.76	902.89	1199.98	890.44	1709.26	1397.83	1151.06	1477.58	1242.34	1651.0	830.75	339.14	5751.61	9945.68	7180.15	5995.9	4038.61
LY6G5B	791.35	1183.45	854.13	1066.48	2.2	748.61	547.75	0.0	8.71	17.64	154.42	74.58	78.89	70.51	211.31	164.42	92.7	52.08	171.45	68.07	87.65	52.08	80.01	244.57	69.03	307.69	154.42	54.72	116.78	212.78	127.89	106.63	198.47	142.01	165.57	323.03	135.24	92.7	336.79	42.71	64.34	269.6	124.37	177.53	92.05	73.54	414.87	108.9	126.12	70.51	220.32	195.72	76.17	289.02	57.08	110.43	51.71	0.18	429.54	312.0	258.57	356.05	234.57
MAU2	1216.75	1551.09	1331.57	1378.57	283.05	1487.87	1023.0	170.25	56.28	83.45	371.22	376.41	379.04	540.19	902.89	753.83	483.38	450.94	260.38	480.04	409.15	320.8	555.41	708.18	341.51	819.3	647.07	318.57	583.07	896.64	698.41	587.13	1066.48	909.17	563.18	493.56	603.67	536.45	1059.11	414.87	414.87	854.13	514.56	423.61	466.88	379.04	733.19	559.28	738.29	525.39	457.25	866.07	866.07	1044.52	555.41	518.15	403.5	194.36	974.5	1331.57	974.5	909.17	1015.93
MDM4	525.39	713.11	571.05	521.76	75.64	988.12	1313.23	32.59	20.86	20.86	123.5	90.77	72.01	124.37	231.32	134.3	102.25	108.14	156.59	147.06	115.16	117.6	121.79	147.06	107.38	129.69	189.02	103.69	147.06	183.82	143.01	246.28	255.0	281.09	186.4	108.9	136.19	128.79	187.71	74.58	164.42	153.34	72.52	166.73	69.52	125.24	127.89	129.69	159.9	111.21	125.24	277.2	376.41	206.94	194.36	395.18	62.56	13.93	325.29	400.71	283.05	420.68	476.71
MED23	583.07	728.11	587.13	525.39	148.09	599.49	432.53	74.06	35.5	68.07	150.17	112.77	212.78	167.9	559.28	187.71	260.38	214.27	153.34	180.02	208.38	166.73	249.73	277.2	256.78	305.55	264.03	178.77	211.31	277.2	289.02	312.0	277.2	361.04	212.78	256.78	158.79	229.72	293.07	208.38	149.12	363.56	151.22	190.34	228.13	143.01	307.69	212.78	198.47	231.32	316.37	221.86	264.03	231.32	202.66	356.05	110.43	100.13	423.61	728.11	525.39	579.04	684.02
METTL3	1447.15	1769.57	1477.58	1583.71	389.72	1832.01	1127.35	265.87	211.31	312.0	277.2	305.55	454.09	236.21	921.88	366.09	450.94	470.14	688.78	412.0	571.05	348.71	299.25	796.86	525.39	438.59	748.61	353.59	575.03	1143.1	703.28	679.29	1073.91	1225.22	665.29	629.35	368.65	536.45	1175.27	473.41	406.31	780.44	567.1	563.18	314.17	371.22	854.13	435.55	483.38	361.04	713.11	595.34	483.38	866.07	435.55	532.74	426.57	135.24	1304.15	2209.26	1540.37	1447.15	1397.83
MGEA5	2875.3	3540.14	3614.55	2351.53	791.35	3665.02	3235.01	470.14	275.28	358.54	674.59	1023.0	599.49	947.83	1674.06	1073.91	780.44	1059.11	785.88	651.58	674.59	629.35	974.5	848.22	941.27	1697.45	1119.56	718.08	866.07	1709.26	1059.11	961.07	1923.14	1151.06	1096.5	1359.57	521.76	890.44	1697.45	733.19	854.13	1745.2	753.83	1794.29	878.17	866.07	1417.35	723.08	1551.09	1015.93	1417.35	1359.57	988.12	1331.57	1088.92	2739.08	503.95	371.22	2255.7	3235.01	2468.49	2682.69	2255.7
MITD1	1225.22	1183.45	842.36	669.92	289.02	1781.89	1378.57	110.43	258.57	256.78	195.72	312.0	483.38	215.77	1037.29	320.8	620.67	463.65	325.29	397.93	460.44	389.72	397.93	624.99	563.18	624.99	612.11	351.14	457.25	616.37	521.76	384.34	429.54	796.86	486.75	236.21	435.55	591.22	551.56	551.56	521.76	748.61	392.44	271.48	454.09	389.72	500.46	529.06	281.09	366.09	444.72	305.55	420.68	490.14	559.28	450.94	260.38	555.41	947.83	988.12	854.13	974.5	1183.45
MON2	941.27	1111.82	1331.57	854.13	199.85	988.12	743.43	158.79	100.13	140.04	221.86	161.02	186.4	228.13	612.11	153.34	267.73	289.02	231.32	246.28	211.31	164.42	182.55	316.37	329.84	420.68	258.57	198.47	232.94	307.69	343.89	343.89	361.04	514.56	205.5	234.57	231.32	255.0	336.79	189.02	241.19	301.33	161.02	229.72	198.47	175.07	256.78	291.04	195.72	198.47	373.81	271.48	336.79	277.2	305.55	540.19	119.26	108.9	665.29	934.76	878.17	748.61	813.63
MSANTD2	329.84	414.87	420.68	387.02	28.86	400.71	348.71	12.27	11.21	19.11	60.39	51.35	100.13	70.51	507.46	87.65	172.65	130.6	54.72	90.14	81.14	64.34	91.41	234.57	102.25	187.71	157.68	67.12	119.26	246.28	183.82	110.43	146.03	208.38	112.77	39.5	70.51	113.56	267.73	78.89	77.25	221.86	72.01	56.28	114.36	105.15	209.84	92.7	106.63	94.01	221.86	111.99	148.09	205.5	106.63	85.82	51.35	15.91	483.38	476.71	521.76	536.45	738.29
MSH5	363.56	607.87	629.35	638.15	34.75	1259.69	1175.27	40.93	29.27	60.82	60.39	142.01	92.05	50.27	260.38	85.82	66.65	165.57	102.25	72.01	107.38	123.5	164.42	123.5	46.5	177.53	111.99	118.43	81.71	267.73	129.69	198.47	221.86	172.65	143.01	77.25	109.66	71.0	265.87	122.64	137.14	195.72	64.34	94.01	96.01	125.24	228.13	105.15	116.78	155.5	95.34	130.6	244.57	204.07	134.3	275.28	11.82	18.97	320.8	343.89	336.79	191.67	334.46
MUTYH	587.13	819.3	698.41	753.83	120.1	791.35	656.11	165.57	82.87	156.59	189.02	115.97	177.53	169.07	854.13	295.11	239.52	289.02	133.36	229.72	226.54	197.09	229.72	389.72	139.07	341.51	289.02	151.22	285.03	346.29	363.56	264.03	155.5	460.44	246.28	186.4	228.13	248.0	432.53	220.32	206.94	551.56	267.73	189.02	204.07	178.77	450.94	229.72	299.25	172.65	198.47	297.17	435.55	366.09	199.85	175.07	134.3	87.03	836.53	718.08	579.04	693.58	995.0
NBPF20	85.82	77.79	138.1	90.14	19.68	148.09	84.04	5.59	8.25	4.86	18.03	23.76	11.04	27.05	87.65	19.25	13.83	15.22	13.12	25.72	40.36	22.75	34.02	71.0	17.0	21.01	23.25	18.56	73.54	30.78	23.93	18.29	50.63	45.53	23.08	11.47	20.71	41.52	67.12	10.63	31.45	27.25	33.06	18.84	17.77	15.22	24.46	7.75	12.93	12.93	36.01	95.34	81.14	47.5	43.02	40.93	37.59	3.2	152.28	85.82	60.39	187.71	65.26
NBPF9	830.75	1151.06	1175.27	728.11	121.79	1059.11	909.17	220.32	137.14	108.14	229.72	181.28	191.67	246.28	1037.29	343.89	299.25	248.0	316.37	454.09	329.84	392.44	351.14	620.67	395.18	363.56	376.41	169.07	329.84	599.49	351.14	309.83	555.41	529.06	356.05	323.03	173.85	312.0	961.07	265.87	281.09	514.56	197.09	334.46	178.77	371.22	295.11	256.78	316.37	167.9	688.78	346.29	438.59	629.35	289.02	414.87	206.94	47.17	1111.82	890.44	775.05	1457.23	941.27
NEMF	928.3	1088.92	921.88	753.83	232.94	748.61	559.28	66.18	156.59	138.1	283.05	376.41	387.02	234.57	890.44	273.37	438.59	457.25	473.41	223.41	397.93	332.14	420.68	438.59	551.56	457.25	450.94	301.33	426.57	493.56	441.64	460.44	454.09	532.74	381.68	511.0	241.19	283.05	595.34	346.29	291.04	543.96	363.56	559.28	295.11	218.79	607.87	341.51	251.48	656.11	703.28	339.14	301.33	532.74	555.41	769.69	283.05	343.89	679.29	896.64	599.49	842.36	808.0
NFATC2IP	860.08	1001.93	872.1	890.44	253.23	1605.83	1233.75	134.3	134.3	141.02	329.84	329.84	312.0	293.07	1030.12	612.11	320.8	371.22	361.04	329.84	387.02	463.65	579.04	819.3	325.29	567.1	620.67	438.59	463.65	825.0	466.88	358.54	463.65	738.29	521.76	232.94	371.22	514.56	723.08	460.44	409.15	785.88	392.44	339.14	307.69	403.5	703.28	303.44	638.15	417.77	493.56	497.0	796.86	674.59	395.18	327.56	239.52	109.66	769.69	591.22	525.39	713.11	713.11
NKTR	2384.37	2209.26	2976.74	2384.37	61.25	1781.89	1313.23	21.63	34.26	37.59	172.65	316.37	187.71	361.04	1030.12	341.51	246.28	395.18	248.0	307.69	262.2	175.07	633.73	591.22	417.77	848.22	651.58	193.01	567.1	819.3	688.78	525.39	1457.23	819.3	624.99	563.18	363.56	629.35	1044.52	303.44	208.38	854.13	251.48	473.41	264.03	187.71	1081.39	323.03	406.31	490.14	642.59	595.34	450.94	665.29	591.22	1143.1	135.24	22.75	1870.53	2319.15	1477.58	1832.01	1135.2
NXF1	3060.45	3103.19	1883.54	2384.37	703.28	2224.63	2240.11	497.0	447.82	463.65	1001.93	743.43	836.53	1286.18	3039.3	1340.84	1268.46	825.0	934.76	1369.04	775.05	981.29	1127.35	2758.13	791.35	1151.06	1467.37	679.29	1757.34	1806.78	1277.29	1216.75	1359.57	1340.84	1769.57	1583.71	902.89	1417.35	1685.71	954.43	708.18	2240.11	1487.87	2555.58	1059.11	995.0	2224.63	1030.12	1216.75	723.08	1844.76	1250.98	1397.83	1477.58	860.08	1709.26	988.12	688.78	3794.3	1794.29	2351.53	2875.3	4388.98
OCLM	51.71	52.45	29.48	19.39	1.35	43.32	50.27	0.0	1.62	0.35	4.06	5.02	0.96	4.7	12.55	5.15	2.86	0.3	13.32	5.28	4.66	7.69	4.1	2.76	4.46	5.41	8.25	3.14	6.31	12.74	6.89	10.71	17.9	5.15	7.75	13.93	4.21	4.21	15.11	2.63	3.35	2.25	1.89	8.06	3.99	3.2	12.45	5.11	4.46	6.36	4.06	6.52	13.62	16.51	11.21	36.79	7.11	0.03	19.39	28.86	25.17	18.7	8.19
OGT	4769.75	4328.55	4268.94	3280.18	283.05	4038.61	2537.92	177.53	96.68	154.42	587.13	665.29	332.14	563.18	2104.58	514.56	429.54	551.56	563.18	366.09	551.56	356.05	1088.92	1216.75	679.29	1008.9	1674.06	587.13	791.35	2417.67	603.67	1183.45	2758.13	684.02	854.13	629.35	264.03	796.86	2303.12	547.75	620.67	1127.35	412.0	1008.9	633.73	392.44	1447.15	318.57	1135.2	406.31	1508.65	813.63	1313.23	1127.35	723.08	1304.15	466.88	79.45	4512.4	4607.24	3665.02	3395.89	1721.16
ORMDL1	2193.99	2720.15	2573.36	1745.2	283.05	2224.63	1639.59	314.17	521.76	607.87	775.05	947.83	1208.34	785.88	2400.97	974.5	1447.15	1605.83	642.59	1008.9	1104.13	848.22	1477.58	1806.78	1551.09	2682.69	1551.09	848.22	1457.23	1745.2	1551.09	1709.26	915.51	1697.45	1322.37	974.5	988.12	1628.26	2303.12	1572.76	813.63	3018.3	1015.93	947.83	1313.23	981.29	2468.49	1159.07	974.5	1359.57	3168.41	1088.92	860.08	1832.01	1159.07	1250.98	514.56	314.17	2271.4	1781.89	1697.45	2417.67	1844.76
OSGEP	1015.93	1572.76	1331.57	1519.15	217.27	1896.65	1096.5	403.5	297.17	356.05	392.44	466.88	796.86	629.35	2895.31	651.58	808.0	674.59	417.77	830.75	703.28	642.59	620.67	1268.46	450.94	825.0	693.58	490.14	651.58	988.12	921.88	748.61	651.58	1051.79	620.67	400.71	532.74	551.56	1175.27	563.18	503.95	1059.11	633.73	733.19	607.87	915.51	988.12	507.46	563.18	669.92	808.0	915.51	1008.9	775.05	753.83	432.53	339.14	209.84	2209.26	1909.85	1295.13	1088.92	1529.73
PABPC1L	457.25	559.28	490.14	447.82	16.39	2351.53	1277.29	30.34	17.77	35.5	67.12	102.97	137.14	82.29	395.18	206.94	186.4	559.28	148.09	309.83	312.0	314.17	603.67	733.19	183.82	205.5	289.02	173.85	265.87	708.18	303.44	1233.75	607.87	1487.87	206.94	36.27	180.02	490.14	595.34	221.86	961.07	307.69	122.64	441.64	583.07	1369.04	368.65	303.44	170.25	316.37	642.59	307.69	521.76	211.31	633.73	525.39	64.34	3.56	3060.45	2555.58	1340.84	1551.09	2682.69
