	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.13FTW.1126.SM.5J2NV	GTEX.139YR.0226.SM.5IFEM	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.14ABY.1126.SM.5Q5F8	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.T5JC.0826.SM.32PMC	GTEX.PVOW.1026.SM.2XCF9	GTEX.OXRN.0526.SM.2I5EN	GTEX.P4QT.0526.SM.2I3EX	GTEX.WZTO.0426.SM.3NM99	GTEX.X585.1026.SM.46MW6	GTEX.11PRG.0926.SM.5EGI8	GTEX.13O61.0726.SM.5J2MD	GTEX.11EI6.0826.SM.5985V	GTEX.RWSA.1126.SM.2XCAZ	GTEX.131YS.0926.SM.5IJB9	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.13FHP.0726.SM.5K7YI	GTEX.WYJK.0826.SM.3NM8Y	GTEX.13QJC.0526.SM.5RQKB	GTEX.1122O.0126.SM.5GICA	GTEX.13QJ3.1026.SM.5QGQU	GTEX.13N1W.0726.SM.5MR57	GTEX.WRHU.0226.SM.3MJFV	GTEX.QESD.0626.SM.2I5G4	GTEX.ZTPG.0926.SM.5O99H	GTEX.ZDTT.0926.SM.5J2MS	GTEX.11NUK.0826.SM.5HL4U	GTEX.13OW6.0826.SM.5L3GA	GTEX.N7MS.0926.SM.2HMIZ	GTEX.ZVZQ.1526.SM.5N9G6	GTEX.145LU.0526.SM.5O9AT	GTEX.14DAR.0226.SM.5S2PR	GTEX.OIZH.0526.SM.2HMKV	GTEX.ZYT6.0526.SM.5GIEA	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.VJYA.0326.SM.3GAEX	GTEX.QEG4.0526.SM.48TZD	GTEX.XOT4.1426.SM.4B65T	GTEX.QCQG.0326.SM.2I3ES	GTEX.12WSA.1026.SM.5EGHN	GTEX.13G51.0426.SM.5K7Z5	GTEX.ZVT3.0926.SM.5GICK	GTEX.OHPM.0526.SM.2YUMJ
NAA16	14.89	103.69	68.07	21.94	63.45	89.51	49.91	29.91	58.71	57.49	68.07	102.97	121.79	267.73	145.02	231.32	100.13	363.56	316.37	151.22	381.68	165.57	113.56	169.07	343.89	525.39	334.46	275.28	232.94	217.27	316.37	108.9	156.59	197.09	476.71	154.42	176.29	158.79	267.73	281.09	242.88	193.01	457.25	108.9	108.14	165.57	587.13	246.28	260.38	108.9	336.79	299.25	170.25	289.02	170.25	204.07	135.24
NEMF	61.25	223.41	182.55	66.18	185.11	209.84	155.5	156.59	138.1	191.67	217.27	376.41	256.78	753.83	234.57	454.09	403.5	1540.37	698.41	273.37	497.0	466.88	202.66	417.77	647.07	934.76	1088.92	633.73	303.44	514.56	974.5	351.14	595.34	511.0	371.22	457.25	511.0	412.0	825.0	543.96	616.37	567.1	1167.14	363.56	242.88	525.39	909.17	559.28	551.56	363.56	435.55	647.07	339.14	470.14	493.56	412.0	283.05
NHLRC2	23.59	45.53	48.87	34.75	62.12	48.87	71.5	64.8	60.82	55.49	36.27	78.89	55.1	141.02	89.51	122.64	100.83	156.59	84.63	73.54	167.9	102.25	84.63	104.42	144.01	156.59	166.73	155.5	218.79	111.99	237.86	79.45	94.01	92.7	277.2	98.04	107.38	115.16	162.14	136.19	193.01	120.94	189.02	73.03	78.89	119.26	435.55	70.01	170.25	57.08	208.38	177.53	109.66	149.12	124.37	122.64	62.56
NIPSNAP3B	9.27	32.82	3.53	3.92	5.92	14.45	5.68	20.11	9.56	10.88	23.08	49.91	13.83	103.69	44.89	67.12	82.29	59.97	92.05	25.35	92.7	62.56	50.98	26.86	94.01	52.08	120.1	121.79	117.6	38.67	101.54	37.85	98.73	35.25	63.45	20.26	17.0	37.85	100.83	52.45	57.89	186.4	117.6	18.97	16.39	94.67	124.37	36.53	59.55	35.76	79.45	98.04	27.05	42.71	70.51	101.54	26.86
NKTR	14.14	76.71	94.01	21.63	82.29	91.41	72.52	34.26	37.59	144.01	80.01	316.37	199.85	540.19	361.04	450.94	514.56	830.75	358.54	341.51	1119.56	521.76	134.3	500.46	728.11	703.28	830.75	684.02	518.15	808.0	2104.58	301.33	373.81	563.18	1551.09	183.82	260.38	503.95	1304.15	514.56	1073.91	543.96	2739.08	251.48	167.9	525.39	1662.49	473.41	426.57	74.58	1081.39	1088.92	595.34	693.58	708.18	559.28	135.24
NR2C1	123.5	395.18	346.29	158.79	287.01	318.57	244.57	197.09	232.94	241.19	309.83	432.53	211.31	947.83	500.46	473.41	674.59	974.5	642.59	503.95	954.43	616.37	441.64	547.75	733.19	651.58	738.29	669.92	674.59	830.75	1268.46	563.18	583.07	575.03	934.76	320.8	248.0	463.65	698.41	403.5	1001.93	759.08	1066.48	244.57	329.84	543.96	1233.75	612.11	503.95	376.41	1073.91	753.83	587.13	791.35	435.55	583.07	232.94
ODF2L	24.81	144.01	9.63	10.55	70.51	81.14	33.54	80.57	26.1	50.98	53.95	206.94	307.69	796.86	253.23	463.65	381.68	1096.5	384.34	224.97	802.41	802.41	341.51	420.68	551.56	329.84	642.59	1111.82	346.29	642.59	1037.29	239.52	660.68	191.67	743.43	353.59	299.25	246.28	587.13	343.89	490.14	1015.93	1216.75	435.55	193.01	1119.56	872.1	214.27	361.04	156.59	607.87	708.18	441.64	454.09	361.04	466.88	169.07
PAN3	84.63	99.43	64.8	29.27	68.07	68.07	63.0	40.07	33.54	64.8	82.29	197.09	149.12	567.1	271.48	289.02	366.09	791.35	343.89	241.19	441.64	403.5	297.17	239.52	361.04	571.05	603.67	480.04	373.81	379.04	480.04	318.57	316.37	223.41	426.57	253.23	226.54	297.17	417.77	301.33	457.25	376.41	620.67	246.28	182.55	392.44	738.29	303.44	361.04	244.57	473.41	414.87	295.11	332.14	341.51	285.03	183.82
PAPD4	145.02	291.04	226.54	130.6	229.72	253.23	283.05	224.97	248.0	329.84	236.21	341.51	334.46	713.11	379.04	358.54	444.72	791.35	525.39	403.5	633.73	575.03	403.5	470.14	642.59	884.29	1037.29	571.05	486.75	642.59	1359.57	490.14	423.61	753.83	967.76	329.84	351.14	450.94	954.43	651.58	819.3	591.22	1175.27	371.22	312.0	473.41	1250.98	493.56	486.75	361.04	571.05	890.44	486.75	463.65	540.19	616.37	285.03
PAPOLG	44.25	55.89	34.75	25.17	42.11	44.57	56.68	39.22	37.85	27.64	49.56	103.69	63.89	193.01	121.79	223.41	105.15	343.89	190.34	141.02	158.79	143.01	125.24	115.16	226.54	118.43	150.17	260.38	149.12	187.71	417.77	100.13	155.5	79.45	182.55	100.83	103.69	145.02	108.9	87.65	128.79	163.28	248.0	110.43	128.79	137.14	251.48	126.12	187.71	125.24	137.14	190.34	149.12	83.45	161.02	108.9	127.89
PAXBP1	17.38	153.34	127.0	39.22	105.89	100.13	90.77	60.82	59.13	112.77	97.36	105.89	127.89	547.75	128.79	251.48	318.57	417.77	497.0	130.6	579.04	241.19	156.59	277.2	371.22	273.37	368.65	486.75	384.34	194.36	603.67	166.73	273.37	147.06	460.44	198.47	177.53	166.73	366.09	275.28	423.61	470.14	813.63	140.04	108.14	241.19	620.67	119.26	366.09	117.6	400.71	511.0	221.86	373.81	283.05	271.48	115.16
PHF3	29.91	169.07	189.02	58.3	237.86	190.34	208.38	172.65	212.78	206.94	162.14	417.77	156.59	587.13	599.49	373.81	444.72	896.64	457.25	363.56	587.13	540.19	320.8	341.51	490.14	728.11	1015.93	660.68	540.19	441.64	1023.0	323.03	414.87	497.0	802.41	273.37	373.81	387.02	679.29	363.56	460.44	616.37	934.76	291.04	269.6	518.15	780.44	435.55	651.58	253.23	674.59	454.09	366.09	417.77	381.68	511.0	267.73
PHF6	25.91	46.84	42.41	36.27	36.79	49.21	70.51	67.12	54.33	53.57	65.26	94.67	66.65	356.05	88.88	193.01	158.79	309.83	180.02	75.11	341.51	187.71	87.65	120.94	262.2	127.0	246.28	249.73	239.52	103.69	607.87	87.03	155.5	137.14	395.18	89.51	143.01	120.1	215.77	146.03	165.57	260.38	343.89	92.05	112.77	205.5	674.59	77.25	236.21	74.06	197.09	314.17	109.66	205.5	214.27	226.54	83.45
PHIP	12.55	34.75	33.06	9.63	33.3	34.51	40.64	44.57	39.79	36.27	27.84	120.1	133.36	309.83	204.07	217.27	187.71	368.65	255.0	130.6	470.14	242.88	121.79	155.5	293.07	301.33	432.53	289.02	232.94	228.13	387.02	115.97	152.28	172.65	432.53	127.89	199.85	197.09	353.59	208.38	299.25	301.33	426.57	146.03	146.03	221.86	693.58	185.11	277.2	86.43	305.55	356.05	208.38	255.0	291.04	246.28	129.69
PIKFYVE	32.36	43.63	55.89	28.86	49.21	64.8	63.89	65.72	49.56	80.57	43.02	98.73	73.03	173.85	144.01	139.07	158.79	305.55	102.25	100.13	195.72	116.78	53.95	144.01	131.51	320.8	201.25	167.9	129.69	148.09	329.84	94.01	102.97	178.77	316.37	169.07	128.79	161.02	183.82	176.29	173.85	131.51	353.59	95.34	96.68	116.78	429.54	115.97	178.77	111.21	125.24	241.19	139.07	118.43	198.47	135.24	103.69
PKN2	33.78	118.43	134.3	65.72	131.51	115.16	138.1	98.04	121.79	181.28	73.03	336.79	209.84	426.57	389.72	358.54	303.44	1081.39	220.32	341.51	397.93	454.09	363.56	379.04	353.59	476.71	808.0	571.05	368.65	525.39	607.87	356.05	281.09	373.81	476.71	206.94	242.88	358.54	921.88	389.72	325.29	346.29	426.57	303.44	255.0	444.72	769.69	406.31	460.44	246.28	414.87	583.07	289.02	547.75	301.33	285.03	229.72
PLAGL1	63.0	41.81	11.64	12.36	24.28	20.11	23.25	63.45	14.56	26.86	33.78	262.2	265.87	400.71	400.71	748.61	928.3	764.36	183.82	314.17	1628.26	307.69	195.72	536.45	486.75	507.46	1015.93	1143.1	1397.83	381.68	339.14	397.93	1059.11	438.59	872.1	182.55	249.73	521.76	1572.76	368.65	679.29	819.3	351.14	392.44	116.78	866.07	1936.53	305.55	708.18	314.17	1685.71	934.76	314.17	723.08	642.59	543.96	218.79
PLEKHA2	312.0	99.43	57.08	99.43	66.18	63.0	97.36	123.5	59.55	69.52	146.03	397.93	218.79	921.88	429.54	738.29	356.05	1594.73	684.02	389.72	540.19	647.07	967.76	275.28	1369.04	532.74	947.83	1233.75	616.37	438.59	490.14	339.14	629.35	336.79	825.0	212.78	351.14	299.25	941.27	287.01	1008.9	543.96	1407.55	242.88	493.56	693.58	775.05	332.14	759.08	403.5	988.12	819.3	379.04	323.03	595.34	511.0	246.28
PRPF39	33.06	111.21	123.5	27.64	102.97	112.77	115.97	47.17	81.71	89.51	105.15	111.99	135.24	529.06	136.19	287.01	285.03	403.5	287.01	169.07	503.95	197.09	103.69	231.32	373.81	334.46	381.68	409.15	289.02	242.88	420.68	180.02	373.81	212.78	368.65	221.86	181.28	211.31	307.69	295.11	429.54	392.44	633.73	156.59	156.59	269.6	660.68	218.79	299.25	167.9	379.04	435.55	234.57	320.8	361.04	267.73	136.19
PTBP2	68.55	53.57	63.0	20.71	43.63	44.25	48.18	26.1	38.67	75.11	55.89	53.57	70.01	218.79	82.87	158.79	169.07	371.22	163.28	97.36	248.0	218.79	85.82	94.67	212.78	295.11	277.2	231.32	131.51	291.04	341.51	136.19	164.42	161.02	169.07	75.64	66.18	99.43	185.11	82.29	195.72	204.07	336.79	58.71	98.73	183.82	193.01	226.54	170.25	37.32	236.21	206.94	122.64	111.99	166.73	143.01	54.72
RAB3GAP2	36.01	77.79	76.71	35.5	92.7	104.42	98.73	78.89	126.12	100.83	94.67	172.65	167.9	299.25	186.4	224.97	256.78	281.09	307.69	155.5	348.71	236.21	183.82	185.11	279.14	312.0	297.17	303.44	223.41	220.32	389.72	115.97	256.78	258.57	271.48	206.94	236.21	173.85	275.28	279.14	384.34	279.14	460.44	144.01	169.07	248.0	426.57	202.66	221.86	194.36	320.8	384.34	155.5	169.07	320.8	249.73	190.34
RALGAPA1	52.82	127.89	121.79	59.97	109.66	125.24	110.43	49.21	80.01	135.24	118.43	273.37	215.77	647.07	256.78	486.75	336.79	954.43	483.38	244.57	890.44	361.04	293.07	275.28	473.41	656.11	753.83	769.69	361.04	463.65	728.11	220.32	356.05	244.57	780.44	140.04	241.19	336.79	660.68	366.09	684.02	713.11	967.76	293.07	187.71	318.57	780.44	368.65	307.69	170.25	575.03	529.06	336.79	363.56	703.28	423.61	281.09
RASA2	19.53	41.22	38.12	18.43	45.53	41.22	42.41	41.81	32.82	27.64	40.36	68.55	88.26	409.15	90.77	211.31	169.07	323.03	173.85	94.01	371.22	186.4	124.37	108.14	273.37	175.07	185.11	248.0	165.57	176.29	351.14	85.22	175.07	117.6	271.48	103.69	130.6	94.01	187.71	173.85	291.04	316.37	423.61	94.67	98.73	161.02	429.54	115.97	176.29	83.45	212.78	329.84	107.38	123.5	307.69	239.52	134.3
RC3H1	18.16	54.72	72.01	25.91	77.79	48.18	65.26	51.35	56.68	44.89	75.11	80.57	98.73	251.48	111.21	138.1	165.57	358.54	249.73	111.99	206.94	141.02	162.14	103.69	220.32	255.0	186.4	237.86	178.77	141.02	248.0	135.24	127.89	117.6	234.57	121.79	89.51	114.36	166.73	141.02	217.27	173.85	285.03	87.65	105.89	115.16	400.71	116.78	175.07	90.77	194.36	248.0	122.64	193.01	148.09	154.42	102.25
RCOR3	172.65	163.28	154.42	159.9	198.47	197.09	157.68	97.36	121.79	185.11	123.5	392.44	239.52	703.28	438.59	547.75	316.37	595.34	460.44	406.31	813.63	595.34	476.71	466.88	642.59	514.56	674.59	669.92	503.95	503.95	1540.37	473.41	444.72	603.67	860.08	215.77	236.21	540.19	872.1	327.56	638.15	591.22	1051.79	325.29	301.33	559.28	941.27	555.41	612.11	241.19	995.0	620.67	476.71	780.44	409.15	708.18	215.77
RICTOR	11.82	52.45	50.27	24.11	69.52	51.71	65.72	37.05	40.93	53.57	43.63	119.26	77.25	320.8	161.02	142.01	151.22	318.57	249.73	135.24	476.71	221.86	109.66	157.68	299.25	289.02	323.03	220.32	258.57	244.57	476.71	126.12	193.01	248.0	423.61	92.05	111.99	141.02	299.25	217.27	343.89	242.88	409.15	96.01	96.01	147.06	718.08	204.07	218.79	80.01	348.71	483.38	171.45	283.05	351.14	287.01	80.57
RIMKLB	171.45	81.71	23.08	12.55	29.48	29.27	23.76	39.5	7.82	24.99	64.8	339.14	195.72	1073.91	748.61	854.13	753.83	915.51	669.92	353.59	1447.15	450.94	514.56	540.19	1044.52	902.89	1359.57	1191.69	595.34	954.43	514.56	303.44	525.39	312.0	1008.9	90.77	507.46	258.57	1233.75	244.57	1119.56	1745.2	921.88	157.68	218.79	703.28	1685.71	624.99	409.15	146.03	1605.83	1030.12	575.03	1023.0	896.64	603.67	202.66
RNF111	127.89	120.1	120.1	131.51	155.5	123.5	123.5	94.67	119.26	95.34	161.02	195.72	178.77	435.55	293.07	343.89	318.57	483.38	366.09	305.55	379.04	248.0	389.72	231.32	450.94	312.0	483.38	438.59	371.22	231.32	457.25	248.0	332.14	273.37	490.14	305.55	301.33	249.73	423.61	320.8	518.15	409.15	470.14	279.14	258.57	361.04	674.59	194.36	432.53	191.67	441.64	543.96	209.84	285.03	389.72	368.65	267.73
RPRD1A	111.21	305.55	249.73	180.02	237.86	291.04	291.04	214.27	220.32	153.34	281.09	356.05	346.29	808.0	389.72	547.75	759.08	961.07	941.27	307.69	961.07	647.07	450.94	476.71	813.63	1088.92	1073.91	698.41	775.05	708.18	1199.98	373.81	497.0	753.83	759.08	334.46	500.46	438.59	974.5	567.1	759.08	796.86	1104.13	339.14	332.14	693.58	941.27	688.78	403.5	329.84	872.1	1037.29	366.09	1322.37	915.51	780.44	470.14
S100PBP	73.03	83.45	69.03	30.78	83.45	81.71	63.0	34.75	49.56	38.12	105.15	171.45	131.51	432.53	232.94	332.14	269.6	381.68	332.14	256.78	395.18	366.09	246.28	206.94	346.29	316.37	414.87	490.14	262.2	265.87	325.29	169.07	389.72	173.85	336.79	136.19	159.9	190.34	368.65	102.97	366.09	403.5	403.5	128.79	163.28	303.44	511.0	246.28	457.25	212.78	543.96	336.79	170.25	255.0	208.38	267.73	103.69
SENP6	53.19	297.17	323.03	83.45	444.72	384.34	332.14	265.87	314.17	301.33	353.59	567.1	555.41	947.83	651.58	693.58	1044.52	1781.89	836.53	497.0	872.1	836.53	587.13	629.35	819.3	2287.2	1857.6	1183.45	718.08	1225.22	1286.18	607.87	764.36	1208.34	866.07	842.36	713.11	543.96	1340.84	1286.18	941.27	1233.75	1167.14	532.74	483.38	902.89	1081.39	796.86	656.11	743.43	1277.29	836.53	825.0	1001.93	764.36	791.35	591.22
SOS1	38.12	114.36	91.41	59.13	81.71	94.67	102.97	52.45	84.04	88.26	87.65	185.11	131.51	334.46	305.55	432.53	183.82	669.92	193.01	262.2	312.0	318.57	356.05	289.02	379.04	232.94	356.05	454.09	246.28	166.73	476.71	201.25	269.6	180.02	500.46	189.02	248.0	224.97	384.34	158.79	361.04	591.22	358.54	143.01	153.34	395.18	738.29	103.69	423.61	130.6	476.71	392.44	201.25	255.0	241.19	283.05	120.1
SPATA13	117.6	148.09	212.78	87.65	287.01	191.67	253.23	80.57	78.34	231.32	193.01	241.19	145.02	728.11	423.61	490.14	409.15	808.0	738.29	587.13	473.41	1066.48	318.57	264.03	909.17	1286.18	2178.83	698.41	624.99	688.78	2240.11	616.37	909.17	346.29	1378.57	148.09	202.66	529.06	1572.76	813.63	947.83	633.73	1233.75	503.95	279.14	444.72	1529.73	480.04	318.57	198.47	1191.69	1159.07	769.69	555.41	532.74	1073.91	420.68
SPOPL	31.22	91.41	69.52	50.63	77.79	82.87	102.25	115.97	82.87	81.14	85.82	167.9	112.77	366.09	208.38	291.04	224.97	529.06	309.83	153.34	361.04	318.57	205.5	163.28	332.14	279.14	429.54	368.65	229.72	229.72	264.03	169.07	314.17	218.79	353.59	167.9	239.52	224.97	314.17	221.86	256.78	312.0	363.56	154.42	182.55	295.11	466.88	143.01	339.14	130.6	285.03	351.14	131.51	159.9	246.28	262.2	178.77
SPTAN1	2047.0	417.77	339.14	547.75	525.39	332.14	361.04	483.38	483.38	703.28	476.71	1870.53	2104.58	3060.45	3419.52	2255.7	3081.75	3325.99	1697.45	2855.44	4450.27	2739.08	2319.15	1844.76	3540.14	3901.01	5076.84	3190.46	4123.49	3303.0	3820.7	1896.65	2319.15	1605.83	3982.99	1008.9	1250.98	2163.77	4704.07	1096.5	3928.15	2664.15	2915.45	1950.0	2178.83	2004.85	3124.78	1832.01	2119.22	1508.65	5219.6	5076.84	2209.26	2627.46	3820.7	2537.92	1551.09
STX16	178.77	226.54	241.19	165.57	223.41	287.01	237.86	127.0	151.22	172.65	356.05	532.74	470.14	698.41	348.71	981.29	587.13	1066.48	607.87	486.75	808.0	791.35	633.73	693.58	813.63	748.61	947.83	1388.16	435.55	733.19	896.64	454.09	698.41	500.46	738.29	253.23	563.18	547.75	1183.45	356.05	607.87	769.69	988.12	397.93	353.59	934.76	540.19	748.61	878.17	291.04	902.89	854.13	612.11	1023.0	620.67	684.02	211.31
SUDS3	126.12	122.64	142.01	120.1	135.24	161.02	151.22	129.69	93.35	111.21	189.02	190.34	189.02	525.39	237.86	343.89	316.37	575.03	303.44	224.97	497.0	435.55	389.72	267.73	341.51	457.25	454.09	563.18	381.68	277.2	575.03	242.88	363.56	271.48	493.56	258.57	253.23	260.38	356.05	301.33	363.56	420.68	511.0	212.78	206.94	476.71	444.72	232.94	400.71	221.86	518.15	368.65	277.2	307.69	400.71	289.02	164.42
TBL1XR1	139.07	215.77	211.31	128.79	253.23	229.72	223.41	166.73	189.02	242.88	223.41	323.03	248.0	1008.9	327.56	575.03	444.72	1242.34	607.87	258.57	1313.23	785.88	514.56	301.33	759.08	728.11	1832.01	1015.93	743.43	543.96	842.36	287.01	571.05	486.75	941.27	197.09	406.31	336.79	764.36	547.75	921.88	679.29	713.11	241.19	309.83	559.28	2163.77	457.25	878.17	236.21	1628.26	1119.56	363.56	500.46	674.59	543.96	239.52
THOC1	45.85	334.46	297.17	84.63	202.66	221.86	151.22	140.04	157.68	167.9	295.11	147.06	237.86	830.75	162.14	368.65	444.72	884.29	688.78	173.85	647.07	343.89	237.86	297.17	638.15	397.93	612.11	785.88	420.68	409.15	753.83	228.13	447.82	341.51	358.54	264.03	334.46	178.77	599.49	336.79	660.68	769.69	780.44	165.57	183.82	591.22	941.27	339.14	507.46	142.01	470.14	525.39	269.6	450.94	341.51	353.59	193.01
TNKS	98.04	46.5	61.68	47.5	45.53	57.89	69.52	36.01	39.22	45.21	33.3	113.56	93.35	224.97	148.09	141.02	155.5	361.04	131.51	84.63	236.21	167.9	195.72	115.16	181.28	312.0	248.0	182.55	195.72	190.34	348.71	109.66	135.24	231.32	397.93	92.7	113.56	137.14	267.73	189.02	262.2	173.85	327.56	93.35	115.16	156.59	379.04	151.22	153.34	80.57	211.31	283.05	129.69	283.05	154.42	165.57	99.43
TRAPPC2	80.01	89.51	123.5	63.89	85.22	93.35	78.34	48.18	78.89	71.0	113.56	99.43	98.04	403.5	99.43	189.02	177.53	356.05	204.07	186.4	307.69	241.19	255.0	143.01	248.0	185.11	283.05	301.33	293.07	208.38	336.79	194.36	242.88	204.07	336.79	119.26	128.79	117.6	273.37	141.02	249.73	400.71	441.64	91.41	198.47	258.57	457.25	157.68	221.86	181.28	287.01	351.14	231.32	208.38	187.71	253.23	104.42
TTBK2	11.04	24.63	19.82	21.78	28.04	24.11	26.47	11.73	9.34	16.88	33.78	60.39	44.89	135.24	73.54	105.15	105.15	114.36	102.25	66.18	182.55	137.14	91.41	71.0	151.22	61.25	140.04	141.02	129.69	82.87	154.42	46.18	111.21	70.51	195.72	49.21	69.03	69.52	138.1	74.58	159.9	190.34	181.28	45.21	49.91	100.13	256.78	86.43	126.12	43.32	162.14	139.07	60.82	97.36	126.12	119.26	50.63
TTC13	51.71	63.0	63.0	45.21	59.97	67.12	47.17	44.89	50.63	65.72	50.63	133.36	128.79	525.39	123.5	265.87	209.84	493.56	157.68	165.57	343.89	211.31	182.55	165.57	376.41	155.5	267.73	318.57	361.04	175.07	872.1	159.9	176.29	125.24	555.41	72.52	177.53	173.85	323.03	173.85	351.14	269.6	669.92	126.12	98.73	253.23	353.59	133.36	248.0	139.07	368.65	454.09	125.24	273.37	277.2	320.8	87.03
TTC17	217.27	656.11	780.44	371.22	743.43	555.41	698.41	285.03	406.31	559.28	532.74	651.58	480.04	1191.69	802.41	1030.12	1151.06	1639.59	802.41	656.11	1397.83	921.88	860.08	915.51	1111.82	1073.91	1242.34	1617.0	1331.57	813.63	2032.85	665.29	1151.06	718.08	1977.24	460.44	708.18	718.08	1508.65	748.61	1733.13	1250.98	1651.0	514.56	480.04	1023.0	2032.85	921.88	1059.11	656.11	1628.26	1350.18	825.0	1143.1	1008.9	1104.13	454.09
UBN2	9.7	14.67	24.81	9.78	23.76	23.25	23.25	7.11	18.29	11.55	26.28	28.24	27.25	76.17	45.21	80.57	75.11	128.79	59.13	40.07	88.88	61.68	56.68	58.71	92.7	71.0	74.06	149.12	75.64	57.08	115.16	43.32	69.03	34.02	129.69	36.27	36.79	59.55	78.34	26.1	84.63	91.41	103.69	36.53	34.75	86.43	154.42	36.01	99.43	21.01	82.29	75.11	64.8	59.55	40.64	46.5	26.1
USP33	134.3	343.89	226.54	134.3	255.0	248.0	279.14	157.68	162.14	209.84	281.09	473.41	303.44	1088.92	575.03	669.92	547.75	1159.07	1030.12	583.07	1096.5	764.36	532.74	575.03	915.51	607.87	928.3	902.89	656.11	941.27	1477.58	525.39	796.86	447.82	1030.12	395.18	423.61	540.19	733.19	490.14	1059.11	928.3	1322.37	470.14	583.07	660.68	1397.83	616.37	819.3	521.76	791.35	1111.82	551.56	884.29	660.68	651.58	343.89
USP48	139.07	237.86	194.36	155.5	191.67	264.03	201.25	193.01	165.57	186.4	209.84	409.15	267.73	915.51	332.14	414.87	547.75	1096.5	301.33	348.71	713.11	470.14	381.68	420.68	536.45	327.56	791.35	480.04	392.44	591.22	1870.53	366.09	435.55	384.34	974.5	191.67	403.5	460.44	780.44	297.17	753.83	651.58	1208.34	291.04	318.57	497.0	848.22	366.09	503.95	251.48	642.59	708.18	463.65	896.64	441.64	409.15	241.19
VPS13B	63.45	66.65	71.5	54.33	65.72	108.9	76.17	37.05	50.27	85.22	59.97	154.42	159.9	251.48	181.28	231.32	129.69	438.59	146.03	198.47	316.37	232.94	165.57	194.36	249.73	287.01	409.15	353.59	237.86	323.03	476.71	187.71	208.38	126.12	334.46	82.29	149.12	156.59	277.2	150.17	273.37	217.27	353.59	171.45	165.57	253.23	476.71	116.78	264.03	133.36	334.46	275.28	285.03	334.46	239.52	126.12	124.37
VPS13C	105.15	176.29	159.9	77.79	126.12	202.66	129.69	146.03	149.12	166.73	208.38	353.59	242.88	1151.06	307.69	1030.12	591.22	1697.45	575.03	325.29	967.76	669.92	387.02	607.87	642.59	536.45	1437.15	1508.65	698.41	780.44	1457.23	447.82	432.53	486.75	728.11	234.57	339.14	532.74	848.22	665.29	854.13	967.76	1447.15	363.56	339.14	854.13	1733.13	373.81	698.41	420.68	693.58	967.76	503.95	540.19	733.19	493.56	178.77
VPS36	140.04	229.72	214.27	180.02	215.77	283.05	244.57	164.42	199.85	339.14	215.77	426.57	406.31	703.28	450.94	656.11	718.08	1119.56	713.11	376.41	988.12	743.43	417.77	669.92	708.18	633.73	941.27	878.17	555.41	708.18	909.17	486.75	633.73	381.68	764.36	400.71	341.51	543.96	603.67	454.09	674.59	679.29	743.43	406.31	466.88	708.18	1457.23	483.38	571.05	490.14	884.29	713.11	525.39	909.17	473.41	423.61	303.44
WDR48	212.78	221.86	226.54	176.29	277.2	237.86	197.09	134.3	182.55	180.02	258.57	346.29	226.54	500.46	444.72	441.64	607.87	796.86	612.11	414.87	698.41	532.74	429.54	353.59	764.36	567.1	769.69	647.07	764.36	620.67	848.22	454.09	497.0	392.44	896.64	281.09	301.33	470.14	703.28	289.02	547.75	693.58	791.35	395.18	309.83	483.38	1175.27	493.56	500.46	486.75	612.11	693.58	423.61	532.74	551.56	417.77	255.0
ZBTB37	7.0	13.83	12.09	13.72	13.03	15.0	22.92	10.71	12.36	11.3	13.12	26.67	20.11	52.82	34.02	52.08	43.32	77.25	28.04	36.53	57.89	55.49	45.85	43.02	63.45	31.0	105.89	87.65	49.56	54.33	73.03	31.45	38.95	27.44	78.34	16.03	25.35	35.0	80.57	17.77	57.89	58.3	69.03	27.05	22.43	46.84	106.63	30.34	51.35	12.83	72.52	68.55	45.53	66.18	44.89	38.67	11.73
ZBTB44	193.01	178.77	183.82	166.73	178.77	158.79	180.02	177.53	205.5	166.73	151.22	414.87	149.12	591.22	373.81	423.61	473.41	599.49	301.33	351.14	583.07	536.45	414.87	332.14	403.5	529.06	743.43	629.35	447.82	543.96	543.96	262.2	356.05	309.83	708.18	242.88	246.28	348.71	633.73	379.04	447.82	518.15	563.18	224.97	287.01	397.93	813.63	320.8	555.41	223.41	571.05	435.55	341.51	665.29	381.68	332.14	244.57
