	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.H4.A2HO.01A.11R.A180.07	GTEX.R45C.1226.SM.48FEE	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8428.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KO.8415.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.13RTJ.2226.SM.5S2Q1	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.G7.A4TM.01A.11R.A31O.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.Y8.A894.01A.11R.A36F.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.B9.A8YH.01A.11R.A37K.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.DZ.6132.11A.01R.1965.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.BJ.A45C.01A.11R.A23W.07	TCGA.BJ.A191.01A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1497J.0126.SM.5Q5BK	GTEX.11EI6.0726.SM.59866	GTEX.SE5C.0726.SM.4BRWY	GTEX.ZXG5.0926.SM.5NQ8H	GTEX.145MH.0426.SM.5LU8T	GTEX.1399U.0326.SM.5P9G5	GTEX.Y3IK.0526.SM.4WWE3	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.XMK1.0626.SM.4B65A	GTEX.11LCK.0526.SM.5A5M9	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
KIAA0753	116.78	125.24	204.07	150.17	149.12	102.97	141.02	120.1	100.83	66.65	73.03	98.04	137.14	75.64	124.37	110.43	7.51	202.66	91.41	90.77	120.1	144.01	105.15	141.02	95.34	108.9	130.6	98.04	138.1	97.36	110.43	161.02	154.42	107.38	113.56	145.02	138.1	131.51	117.6	75.64	156.59	115.97	106.63	100.83	146.03	301.33	426.57	312.0	303.44	287.01	346.29	256.78	336.79	116.78	141.02	87.65	82.87	111.21	107.38	111.21	178.77	111.21	127.89	146.03	109.66	98.73	93.35	232.94	269.6	316.37	212.78	417.77	265.87	283.05	323.03	223.41	295.11	260.38	400.71	336.79	208.38	265.87	454.09	260.38	241.19	242.88	287.01	277.2	297.17	281.09
MAPK8IP3	1936.53	575.03	1369.04	256.78	244.57	115.97	309.83	134.3	143.01	66.18	90.77	173.85	262.2	72.01	183.82	587.13	18.84	273.37	110.43	88.88	264.03	366.09	73.03	102.25	154.42	101.54	135.24	57.49	130.6	56.28	124.37	151.22	105.89	94.01	128.79	185.11	187.71	218.79	116.78	54.33	90.77	119.26	132.44	33.54	194.36	890.44	2335.28	890.44	988.12	1437.15	890.44	830.75	1216.75	273.37	301.33	99.43	92.05	186.4	281.09	172.65	486.75	70.51	194.36	476.71	106.63	198.47	105.15	1030.12	1697.45	1529.73	483.38	1225.22	620.67	1037.29	988.12	723.08	536.45	961.07	693.58	583.07	954.43	915.51	1191.69	866.07	656.11	791.35	1605.83	753.83	1991.0	775.05
MBD6	1991.0	860.08	1662.49	753.83	1208.34	309.83	540.19	511.0	500.46	346.29	353.59	547.75	620.67	356.05	603.67	753.83	112.77	332.14	412.0	387.02	457.25	836.53	412.0	507.46	348.71	379.04	460.44	303.44	543.96	124.37	417.77	450.94	497.0	301.33	540.19	536.45	638.15	521.76	426.57	208.38	400.71	713.11	511.0	224.97	486.75	1359.57	1651.0	1498.22	2609.3	1008.9	1199.98	780.44	974.5	432.53	607.87	444.72	412.0	400.71	480.04	480.04	802.41	389.72	409.15	624.99	429.54	368.65	305.55	2018.8	3665.02	1709.26	2682.69	2400.97	1605.83	1923.14	2895.31	1250.98	1991.0	2271.4	1950.0	2591.27	3039.3	2287.2	2645.74	1651.0	2502.97	1896.65	1794.29	1605.83	1378.57	1870.53
MINK1	1088.92	521.76	3901.01	866.07	802.41	460.44	642.59	769.69	532.74	379.04	583.07	629.35	674.59	423.61	780.44	909.17	77.79	536.45	669.92	713.11	728.11	813.63	599.49	540.19	612.11	647.07	660.68	633.73	660.68	507.46	563.18	665.29	703.28	698.41	723.08	693.58	660.68	679.29	769.69	417.77	785.88	624.99	624.99	460.44	708.18	1277.29	1883.54	1781.89	1359.57	1225.22	1628.26	1119.56	1498.22	819.3	915.51	624.99	753.83	842.36	941.27	819.3	1151.06	665.29	860.08	896.64	890.44	785.88	665.29	1350.18	902.89	1096.5	656.11	1037.29	791.35	878.17	967.76	921.88	674.59	819.3	878.17	698.41	791.35	896.64	738.29	909.17	836.53	723.08	1015.93	703.28	1561.89	703.28
MTA1	2032.85	896.64	2976.74	555.41	612.11	289.02	536.45	397.93	361.04	171.45	255.0	381.68	432.53	205.5	438.59	591.22	115.16	164.42	329.84	279.14	595.34	551.56	265.87	406.31	273.37	279.14	309.83	303.44	366.09	190.34	316.37	343.89	363.56	264.03	368.65	426.57	412.0	429.54	403.5	229.72	429.54	329.84	332.14	242.88	438.59	1111.82	1417.35	947.83	1437.15	466.88	1051.79	718.08	1295.13	483.38	579.04	316.37	373.81	483.38	567.1	346.29	915.51	314.17	450.94	769.69	361.04	493.56	343.89	2090.03	2935.74	2835.7	1096.5	2384.37	1487.87	2047.0	1896.65	1407.55	1199.98	2090.03	1175.27	988.12	2104.58	2004.85	1819.35	1963.57	2018.8	1561.89	2255.7	1359.57	2609.3	1674.06
NBPF16	93.35	29.7	169.07	43.63	40.93	15.8	20.11	24.99	6.84	35.5	38.12	29.06	28.24	16.27	17.0	96.68	2.05	15.8	21.94	23.25	47.84	50.98	47.84	38.4	28.45	38.67	46.18	20.11	39.22	5.82	25.35	30.34	36.01	23.76	27.05	65.72	46.18	18.03	29.91	10.55	43.32	18.56	16.75	31.9	51.35	175.07	151.22	158.79	87.65	72.52	183.82	63.89	56.28	14.67	43.94	21.63	23.59	32.82	8.65	46.18	25.72	36.01	38.67	15.11	35.76	43.32	18.43	67.12	164.42	63.45	143.01	102.25	142.01	126.12	234.57	255.0	64.8	182.55	81.14	201.25	92.05	178.77	103.69	81.14	102.25	67.12	221.86	202.66	72.01	68.07
NEURL4	381.68	239.52	514.56	356.05	320.8	265.87	305.55	264.03	231.32	256.78	366.09	371.22	204.07	336.79	262.2	351.14	24.28	171.45	303.44	289.02	303.44	400.71	226.54	212.78	269.6	327.56	293.07	234.57	312.0	155.5	242.88	343.89	312.0	277.2	297.17	329.84	279.14	307.69	341.51	135.24	229.72	305.55	215.77	156.59	320.8	660.68	981.29	713.11	387.02	441.64	738.29	559.28	587.13	432.53	384.34	303.44	295.11	323.03	389.72	343.89	441.64	327.56	389.72	490.14	256.78	320.8	271.48	483.38	703.28	698.41	463.65	638.15	583.07	503.95	665.29	460.44	361.04	583.07	599.49	438.59	595.34	540.19	409.15	607.87	571.05	463.65	660.68	493.56	796.86	563.18
NLGN2	329.84	54.72	493.56	177.53	140.04	42.41	99.43	133.36	76.71	63.89	82.87	65.26	178.77	59.13	165.57	158.79	3.66	68.07	69.52	77.79	201.25	162.14	74.58	131.51	91.41	85.82	71.0	105.15	94.67	77.79	69.52	99.43	122.64	119.26	112.77	110.43	114.36	72.01	106.63	98.04	183.82	81.14	177.53	92.7	136.19	412.0	791.35	379.04	244.57	297.17	403.5	325.29	616.37	98.04	195.72	72.01	81.71	132.44	145.02	85.82	246.28	67.59	125.24	140.04	161.02	127.89	102.25	389.72	432.53	297.17	103.69	271.48	318.57	158.79	242.88	223.41	181.28	178.77	253.23	169.07	177.53	281.09	329.84	128.79	142.01	122.64	256.78	164.42	339.14	137.14
NR1I2	7.4	2.76	5.63	2.16	3.96	0.74	2.92	2.12	1.01	0.27	1.93	1.01	0.21	0.0	1.22	4.46	0.0	6.16	1.25	0.0	3.35	6.06	0.48	1.19	2.94	0.47	1.51	1.14	1.25	3.32	0.44	0.8	3.11	0.79	0.43	2.36	0.77	2.41	0.82	0.43	3.23	0.78	3.23	1.2	3.2	4.21	15.22	8.58	6.31	9.41	6.46	3.59	9.7	2.53	1.91	1.53	1.62	0.8	1.22	1.14	3.14	0.83	1.57	1.13	1.91	0.83	0.83	3.69	8.45	11.73	2.92	12.09	4.21	2.03	3.03	1.93	2.43	4.7	3.29	4.28	0.89	6.26	4.62	5.96	10.31	4.1	8.13	1.41	5.06	3.35
OSBPL7	217.27	153.34	723.08	158.79	121.79	38.4	105.89	81.71	62.56	48.87	52.08	84.04	101.54	34.02	84.63	256.78	4.86	78.34	53.95	45.21	106.63	116.78	72.52	75.11	65.72	60.39	100.13	73.54	92.05	69.03	55.89	82.29	86.43	80.01	87.03	76.17	88.88	90.14	76.17	50.98	98.04	69.03	96.68	57.49	103.69	361.04	567.1	403.5	251.48	223.41	343.89	217.27	327.56	73.03	122.64	64.8	75.64	103.69	119.26	84.04	209.84	55.89	97.36	120.1	75.64	105.89	69.03	358.54	450.94	381.68	249.73	265.87	275.28	265.87	358.54	255.0	346.29	277.2	444.72	358.54	220.32	384.34	381.68	199.85	239.52	256.78	194.36	256.78	348.71	206.94
PCED1A	1561.89	713.11	1674.06	693.58	647.07	507.46	669.92	521.76	571.05	525.39	392.44	361.04	575.03	318.57	480.04	1037.29	743.43	665.29	587.13	423.61	500.46	547.75	348.71	348.71	450.94	387.02	486.75	409.15	395.18	547.75	543.96	447.82	470.14	403.5	417.77	363.56	493.56	656.11	450.94	392.44	312.0	447.82	423.61	301.33	493.56	1427.22	2319.15	1242.34	1127.35	934.76	1950.0	679.29	1268.46	620.67	551.56	507.46	540.19	521.76	612.11	559.28	743.43	503.95	500.46	688.78	441.64	743.43	575.03	1781.89	3146.52	2335.28	1225.22	1359.57	1350.18	1331.57	1685.71	1167.14	1936.53	1794.29	2255.7	1674.06	1216.75	2163.77	2119.22	1447.15	1583.71	1225.22	1088.92	1135.2	1909.85	1119.56
PCNXL3	1023.0	463.65	802.41	432.53	403.5	187.71	323.03	438.59	220.32	171.45	389.72	500.46	379.04	353.59	612.11	532.74	144.01	293.07	341.51	303.44	420.68	339.14	279.14	323.03	353.59	295.11	285.03	379.04	299.25	255.0	275.28	397.93	348.71	366.09	356.05	346.29	303.44	339.14	429.54	265.87	511.0	305.55	299.25	206.94	412.0	708.18	708.18	743.43	665.29	743.43	518.15	679.29	624.99	460.44	500.46	387.02	483.38	473.41	607.87	511.0	728.11	356.05	457.25	521.76	563.18	532.74	403.5	620.67	579.04	551.56	603.67	423.61	466.88	373.81	603.67	486.75	493.56	579.04	470.14	395.18	633.73	547.75	417.77	633.73	642.59	529.06	441.64	473.41	579.04	651.58
RAD9A	1159.07	309.83	830.75	212.78	297.17	151.22	181.28	136.19	186.4	64.8	117.6	167.9	265.87	121.79	295.11	204.07	60.82	111.99	173.85	127.0	239.52	209.84	122.64	132.44	105.15	108.9	149.12	171.45	154.42	121.79	142.01	172.65	169.07	124.37	144.01	163.28	149.12	177.53	140.04	110.43	128.79	148.09	108.14	118.43	137.14	665.29	759.08	753.83	423.61	616.37	587.13	432.53	612.11	218.79	218.79	131.51	166.73	202.66	182.55	175.07	258.57	162.14	181.28	441.64	138.1	228.13	177.53	669.92	896.64	1059.11	318.57	497.0	493.56	429.54	555.41	500.46	327.56	543.96	575.03	327.56	343.89	348.71	708.18	361.04	281.09	264.03	497.0	346.29	624.99	323.03
RTEL1	518.15	86.43	309.83	115.97	99.43	51.71	110.43	94.67	71.5	70.51	57.89	90.14	126.12	58.3	92.05	138.1	23.08	143.01	88.88	57.08	110.43	143.01	69.52	64.8	63.0	87.65	96.01	70.51	76.71	61.68	51.35	93.35	74.58	69.03	75.64	88.88	88.88	73.54	66.18	43.94	96.01	76.17	81.14	41.52	92.05	251.48	384.34	299.25	244.57	161.02	363.56	100.83	249.73	81.14	121.79	67.12	106.63	100.13	115.97	111.99	181.28	78.89	104.42	110.43	92.7	92.05	84.04	289.02	267.73	186.4	198.47	228.13	180.02	229.72	293.07	190.34	138.1	277.2	157.68	171.45	239.52	281.09	171.45	226.54	169.07	158.79	204.07	209.84	346.29	154.42
RTEL1-TNFRSF6B	164.42	34.51	138.1	37.85	28.45	18.29	37.05	19.53	21.63	6.62	7.22	18.7	28.45	8.25	25.35	57.89	0.0	25.91	16.03	7.51	41.81	43.02	5.36	13.22	19.11	5.19	12.36	3.53	14.35	3.5	21.01	14.03	14.35	6.78	12.74	19.82	19.53	28.86	15.45	6.89	13.62	9.48	14.89	5.36	17.77	205.5	262.2	130.6	121.79	73.54	205.5	71.5	149.12	21.78	41.81	9.48	10.79	21.63	24.81	28.24	51.35	7.51	17.13	46.18	19.11	17.13	6.31	109.66	325.29	164.42	88.88	193.01	92.7	157.68	157.68	124.37	97.36	212.78	97.36	100.13	215.77	151.22	171.45	186.4	176.29	78.34	162.14	82.29	291.04	78.89
SFI1	1191.69	447.82	836.53	204.07	220.32	102.97	199.85	146.03	146.03	115.97	92.7	248.0	223.41	73.54	189.02	575.03	60.82	186.4	117.6	110.43	208.38	285.03	118.43	115.16	144.01	120.94	108.14	93.35	173.85	118.43	133.36	138.1	140.04	143.01	145.02	138.1	173.85	199.85	145.02	91.41	157.68	109.66	111.21	127.89	183.82	599.49	902.89	620.67	836.53	928.3	860.08	642.59	511.0	185.11	256.78	106.63	144.01	178.77	248.0	149.12	353.59	112.77	172.65	269.6	120.94	164.42	132.44	575.03	1001.93	802.41	289.02	624.99	435.55	426.57	583.07	389.72	400.71	620.67	438.59	417.77	423.61	660.68	633.73	525.39	387.02	376.41	587.13	275.28	780.44	285.03
SH2B1	1487.87	753.83	1883.54	1030.12	1250.98	555.41	1015.93	629.35	738.29	529.06	563.18	791.35	1008.9	563.18	713.11	947.83	466.88	450.94	612.11	529.06	723.08	890.44	480.04	595.34	536.45	529.06	620.67	599.49	633.73	426.57	563.18	500.46	723.08	555.41	679.29	674.59	660.68	651.58	665.29	346.29	507.46	679.29	563.18	348.71	638.15	1572.76	2976.74	1721.16	1870.53	2047.0	1447.15	1605.83	1572.76	974.5	854.13	647.07	743.43	733.19	961.07	796.86	1096.5	595.34	703.28	1008.9	665.29	764.36	583.07	1977.24	2417.67	1950.0	1359.57	1540.37	1378.57	1225.22	1794.29	1437.15	1781.89	1628.26	2004.85	1909.85	1378.57	2240.11	2133.97	1295.13	1388.16	1437.15	1277.29	1242.34	1268.46	1242.34
SIN3B	607.87	438.59	1167.14	432.53	366.09	182.55	348.71	336.79	262.2	195.72	295.11	384.34	450.94	181.28	426.57	583.07	56.28	279.14	287.01	279.14	341.51	457.25	279.14	356.05	246.28	253.23	334.46	279.14	318.57	232.94	251.48	327.56	283.05	258.57	329.84	343.89	346.29	316.37	325.29	189.02	420.68	299.25	358.54	190.34	348.71	575.03	967.76	595.34	866.07	753.83	688.78	476.71	708.18	353.59	447.82	246.28	356.05	358.54	409.15	320.8	583.07	264.03	343.89	540.19	368.65	366.09	269.6	884.29	1051.79	928.3	540.19	1135.2	780.44	1051.79	780.44	791.35	693.58	872.1	693.58	733.19	769.69	759.08	961.07	921.88	620.67	753.83	1066.48	713.11	1427.22	830.75
SLC35C2	2104.58	1233.75	1388.16	915.51	934.76	684.02	842.36	981.29	753.83	500.46	813.63	915.51	1073.91	532.74	1073.91	866.07	988.12	785.88	738.29	571.05	775.05	713.11	638.15	718.08	679.29	603.67	713.11	775.05	718.08	669.92	684.02	660.68	656.11	743.43	599.49	684.02	688.78	733.19	693.58	718.08	1037.29	759.08	813.63	708.18	703.28	1508.65	1447.15	1519.15	1350.18	1467.37	1617.0	1167.14	1477.58	896.64	954.43	679.29	759.08	791.35	909.17	718.08	1175.27	660.68	791.35	967.76	819.3	825.0	791.35	1519.15	1350.18	1685.71	1037.29	1639.59	1457.23	1191.69	1359.57	1313.23	1216.75	1331.57	1250.98	1191.69	1561.89	1359.57	1427.22	1561.89	1369.04	1286.18	1313.23	1037.29	1583.71	1447.15
SMPD4	808.0	753.83	1233.75	567.1	567.1	295.11	583.07	529.06	389.72	332.14	397.93	466.88	525.39	332.14	547.75	563.18	55.49	466.88	414.87	441.64	638.15	559.28	432.53	432.53	420.68	483.38	447.82	460.44	476.71	466.88	379.04	438.59	507.46	441.64	432.53	454.09	423.61	454.09	493.56	346.29	511.0	483.38	497.0	318.57	507.46	941.27	954.43	866.07	1001.93	1233.75	808.0	890.44	825.0	532.74	624.99	463.65	540.19	583.07	642.59	559.28	728.11	457.25	521.76	669.92	547.75	579.04	507.46	1268.46	1551.09	1119.56	1037.29	1135.2	1051.79	1059.11	1250.98	1059.11	1127.35	1199.98	1457.23	1175.27	1242.34	1081.39	1096.5	1175.27	1111.82	974.5	1159.07	1023.0	1477.58	1096.5
STK11IP	521.76	371.22	738.29	253.23	251.48	118.43	232.94	176.29	154.42	105.15	171.45	195.72	231.32	145.02	231.32	269.6	59.13	177.53	138.1	113.56	176.29	239.52	130.6	142.01	161.02	166.73	153.34	133.36	146.03	178.77	127.0	171.45	177.53	127.89	150.17	177.53	180.02	172.65	148.09	112.77	206.94	149.12	169.07	116.78	206.94	423.61	660.68	438.59	429.54	525.39	511.0	454.09	329.84	189.02	224.97	129.69	178.77	176.29	228.13	173.85	361.04	133.36	190.34	236.21	228.13	163.28	140.04	412.0	684.02	723.08	429.54	493.56	387.02	432.53	698.41	460.44	376.41	543.96	368.65	287.01	500.46	540.19	356.05	417.77	500.46	395.18	470.14	454.09	629.35	363.56
SUV420H2	612.11	116.78	457.25	86.43	96.68	35.5	89.51	77.79	49.56	19.11	45.85	66.18	80.57	39.5	111.21	136.19	21.47	43.02	68.07	55.89	153.34	121.79	35.5	68.55	68.55	59.13	64.8	53.19	49.91	27.84	56.28	58.71	45.85	47.5	45.53	56.68	65.72	77.25	47.84	50.27	111.21	56.28	61.25	50.63	56.68	262.2	248.0	220.32	258.57	312.0	329.84	140.04	392.44	98.73	86.43	38.95	57.89	62.56	96.68	62.56	142.01	46.5	64.8	128.79	74.06	78.34	54.72	295.11	403.5	356.05	111.99	265.87	166.73	191.67	237.86	153.34	156.59	244.57	178.77	90.77	166.73	279.14	156.59	185.11	204.07	149.12	211.31	131.51	267.73	137.14
TAF1C	1605.83	497.0	2090.03	575.03	476.71	269.6	547.75	339.14	348.71	172.65	323.03	376.41	441.64	251.48	583.07	733.19	40.93	320.8	293.07	265.87	444.72	629.35	237.86	258.57	299.25	249.73	312.0	246.28	373.81	228.13	318.57	318.57	327.56	341.51	334.46	320.8	384.34	392.44	363.56	182.55	341.51	287.01	341.51	169.07	403.5	961.07	1883.54	785.88	947.83	1081.39	1096.5	769.69	830.75	438.59	463.65	309.83	336.79	400.71	470.14	400.71	599.49	239.52	412.0	616.37	309.83	320.8	285.03	909.17	1540.37	1259.69	612.11	866.07	995.0	1322.37	1295.13	878.17	521.76	1073.91	679.29	738.29	1167.14	915.51	836.53	1073.91	848.22	860.08	1104.13	934.76	1340.84	848.22
TAS2R20	1.73	4.74	63.0	1.11	1.03	1.85	1.99	0.74	1.71	2.71	0.68	5.23	0.61	1.13	1.58	2.29	0.0	2.81	0.44	2.29	4.66	10.71	0.51	3.53	5.96	1.85	0.79	1.91	3.32	1.36	1.73	2.39	2.36	0.8	1.28	4.78	2.29	3.26	1.22	1.28	2.18	1.57	1.25	3.2	1.64	12.64	13.83	16.75	10.88	8.19	14.45	5.92	6.16	2.92	3.08	3.08	1.64	3.17	1.66	1.91	5.63	0.84	0.82	3.0	1.93	5.73	3.29	24.11	26.47	24.46	6.73	23.08	18.16	19.53	22.43	11.3	10.08	13.62	14.78	9.34	10.88	29.48	10.47	13.62	9.13	18.7	14.24	14.67	31.67	8.0
TAS2R4	7.82	3.96	15.56	1.1	1.35	1.83	3.59	0.73	5.32	1.99	4.17	5.59	2.84	1.62	1.83	2.89	0.0	1.75	1.66	4.06	5.02	8.58	0.96	3.11	2.12	6.31	1.14	2.63	5.32	0.0	3.82	5.87	1.57	1.93	0.0	8.58	3.0	2.84	0.82	0.85	4.66	1.16	3.23	1.6	3.63	15.11	35.0	10.16	13.52	9.78	18.43	11.04	26.47	1.1	3.79	1.55	3.23	1.97	2.84	4.13	3.86	1.22	3.5	3.72	0.78	3.26	1.64	16.03	30.34	15.91	8.85	5.23	9.78	12.74	31.9	13.32	8.06	8.38	5.87	14.78	15.22	15.91	9.7	17.51	27.25	6.01	11.13	13.62	7.94	19.39
TAS2R5	23.08	6.73	57.49	6.57	1.71	7.34	6.89	2.53	4.39	3.92	0.83	2.48	9.2	2.32	3.96	7.17	0.0	2.84	2.12	4.13	8.45	23.42	3.35	5.11	4.7	5.5	5.68	1.17	4.17	1.38	5.19	7.11	3.56	0.42	4.21	10.31	7.94	10.96	5.63	0.88	2.56	3.5	1.66	2.03	9.34	52.08	83.45	25.35	14.56	27.44	38.12	17.0	54.72	4.03	8.78	3.5	1.66	5.54	3.69	1.93	6.01	2.46	6.67	10.08	1.57	4.54	4.54	42.71	26.47	46.18	14.67	27.84	27.44	15.0	14.67	18.16	13.93	20.56	13.22	19.68	19.39	13.42	12.74	15.34	12.64	20.41	31.67	21.47	51.35	20.71
TELO2	1427.22	813.63	1331.57	423.61	490.14	205.5	476.71	353.59	281.09	223.41	158.79	273.37	432.53	153.34	189.02	423.61	142.01	291.04	162.14	201.25	368.65	341.51	212.78	256.78	176.29	145.02	256.78	275.28	182.55	204.07	242.88	169.07	234.57	185.11	239.52	221.86	241.19	275.28	279.14	205.5	327.56	253.23	303.44	135.24	277.2	872.1	1923.14	808.0	656.11	1104.13	656.11	785.88	825.0	376.41	450.94	267.73	341.51	353.59	412.0	323.03	669.92	244.57	289.02	389.72	275.28	351.14	260.38	1167.14	1073.91	802.41	500.46	791.35	511.0	376.41	713.11	514.56	603.67	825.0	624.99	607.87	642.59	866.07	1127.35	688.78	571.05	483.38	1044.52	403.5	896.64	447.82
TUBGCP6	866.07	559.28	1119.56	432.53	420.68	197.09	327.56	305.55	253.23	201.25	169.07	212.78	490.14	183.82	214.27	511.0	147.06	314.17	214.27	190.34	301.33	457.25	202.66	204.07	209.84	185.11	246.28	226.54	273.37	142.01	223.41	285.03	279.14	253.23	260.38	287.01	289.02	289.02	283.05	146.03	289.02	232.94	256.78	128.79	325.29	954.43	1096.5	775.05	669.92	698.41	872.1	503.95	759.08	351.14	438.59	223.41	281.09	314.17	420.68	334.46	551.56	214.27	301.33	529.06	275.28	341.51	241.19	1208.34	1127.35	1051.79	629.35	775.05	748.61	743.43	1015.93	656.11	647.07	941.27	836.53	679.29	656.11	1037.29	842.36	769.69	698.41	753.83	642.59	638.15	1008.9	567.1
WDR90	2573.36	376.41	941.27	318.57	381.68	202.66	244.57	229.72	204.07	85.82	87.65	154.42	289.02	109.66	183.82	246.28	69.52	256.78	161.02	117.6	312.0	320.8	138.1	169.07	178.77	141.02	198.47	182.55	189.02	111.99	202.66	206.94	176.29	161.02	178.77	232.94	232.94	277.2	199.85	124.37	202.66	180.02	126.12	87.65	234.57	1127.35	2271.4	1023.0	1059.11	1397.83	928.3	813.63	1008.9	262.2	241.19	181.28	157.68	180.02	264.03	241.19	497.0	167.9	320.8	392.44	194.36	249.73	165.57	679.29	1467.37	1225.22	521.76	1233.75	934.76	796.86	896.64	785.88	551.56	884.29	802.41	743.43	759.08	941.27	1216.75	1081.39	954.43	620.67	1268.46	679.29	1896.65	988.12
ZMIZ2	2468.49	830.75	2271.4	872.1	1119.56	384.34	708.18	819.3	559.28	289.02	575.03	684.02	743.43	518.15	825.0	1331.57	169.07	748.61	583.07	473.41	713.11	1030.12	532.74	660.68	599.49	486.75	656.11	507.46	612.11	320.8	591.22	669.92	769.69	466.88	651.58	759.08	759.08	703.28	665.29	392.44	890.44	620.67	579.04	323.03	830.75	4181.07	3018.3	2739.08	2193.99	2895.31	3716.2	1923.14	3665.02	819.3	1051.79	595.34	753.83	728.11	854.13	860.08	1639.59	555.41	688.78	1135.2	921.88	718.08	595.34	1457.23	2573.36	2609.3	1322.37	2303.12	1832.01	1883.54	2400.97	1605.83	1674.06	2682.69	1963.57	1628.26	1806.78	2163.77	2163.77	2004.85	2287.2	1733.13	2193.99	1561.89	3212.66	1639.59
ZNF276	1104.13	228.13	1191.69	209.84	275.28	96.01	197.09	147.06	111.21	79.45	108.9	178.77	173.85	60.82	251.48	251.48	55.1	217.27	105.15	95.34	152.28	239.52	92.05	147.06	144.01	148.09	127.89	98.04	155.5	82.87	100.83	112.77	135.24	98.04	124.37	173.85	175.07	141.02	135.24	75.11	123.5	125.24	138.1	91.41	176.29	511.0	1295.13	507.46	466.88	529.06	463.65	507.46	493.56	177.53	273.37	115.16	96.01	127.89	166.73	163.28	368.65	96.68	138.1	237.86	128.79	127.0	100.13	358.54	559.28	547.75	376.41	612.11	426.57	397.93	466.88	540.19	403.5	400.71	507.46	334.46	429.54	591.22	470.14	447.82	381.68	426.57	438.59	397.93	665.29	361.04
