	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.KK.A8IM.01A.11R.A36G.07	TCGA.KK.A8IK.01A.11R.A36G.07	TCGA.Y6.A8TL.01A.21R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.WW.A8ZI.01A.11R.A37L.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.KK.A8IF.01A.11R.A36G.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.EJ.7115.01A.11R.2118.07	TCGA.HC.7819.01A.11R.2118.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.YL.A8S9.01A.11R.A37L.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.VP.A875.01A.31R.A352.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.HC.8258.01A.11R.2263.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
FBXL5	2104.58	1651.0	1977.24	1268.46	2720.15	1540.37	1806.78	1304.15	947.83	1605.83	743.43	1151.06	830.75	1457.23	1487.87	1572.76	1936.53	1073.91	1151.06	1519.15	1268.46	1572.76	1208.34	2032.85	2163.77	1175.27	1250.98	1286.18	1340.84	947.83	1259.69	1605.83	1143.1	1322.37	1508.65	1467.37	1896.65	1175.27	1407.55	1457.23	1286.18	1417.35	1639.59	2119.22	1233.75	1685.71	1135.2	1250.98	1286.18	1870.53	1233.75	1883.54	1151.06	1437.15	1023.0	921.88	1135.2	1322.37	1159.07	2193.99	1594.73	2090.03	2555.58	1477.58	1991.0	1963.57	1407.55	2224.63	1709.26	1498.22	2075.59
FBXO21	808.0	420.68	1015.93	532.74	684.02	595.34	743.43	642.59	332.14	642.59	232.94	480.04	353.59	660.68	587.13	629.35	738.29	890.44	620.67	764.36	633.73	688.78	473.41	718.08	536.45	775.05	297.17	351.14	318.57	470.14	332.14	571.05	435.55	543.96	616.37	547.75	769.69	412.0	708.18	441.64	507.46	423.61	332.14	842.36	444.72	660.68	540.19	301.33	511.0	665.29	473.41	748.61	376.41	490.14	444.72	595.34	620.67	381.68	412.0	669.92	713.11	633.73	612.11	603.67	660.68	743.43	708.18	759.08	669.92	748.61	884.29
FBXO3	507.46	332.14	830.75	460.44	775.05	511.0	665.29	497.0	277.2	638.15	329.84	450.94	291.04	473.41	466.88	587.13	713.11	397.93	356.05	511.0	435.55	728.11	518.15	748.61	563.18	466.88	267.73	332.14	371.22	441.64	305.55	476.71	403.5	480.04	486.75	567.1	583.07	483.38	529.06	341.51	384.34	368.65	426.57	775.05	441.64	603.67	497.0	297.17	450.94	693.58	373.81	599.49	371.22	457.25	406.31	381.68	450.94	438.59	403.5	738.29	638.15	723.08	896.64	563.18	780.44	738.29	599.49	713.11	599.49	698.41	748.61
FCF1	802.41	348.71	967.76	518.15	884.29	599.49	669.92	567.1	264.03	693.58	336.79	551.56	432.53	518.15	551.56	603.67	759.08	368.65	511.0	665.29	507.46	743.43	500.46	808.0	507.46	463.65	255.0	214.27	346.29	397.93	305.55	713.11	406.31	591.22	629.35	543.96	769.69	571.05	651.58	529.06	476.71	493.56	444.72	884.29	511.0	759.08	529.06	356.05	551.56	896.64	483.38	708.18	381.68	629.35	429.54	332.14	567.1	470.14	420.68	842.36	813.63	748.61	902.89	651.58	909.17	769.69	713.11	902.89	728.11	902.89	830.75
FEM1B	470.14	166.73	507.46	211.31	607.87	262.2	450.94	273.37	170.25	346.29	258.57	236.21	191.67	221.86	285.03	297.17	518.15	169.07	253.23	295.11	214.27	301.33	241.19	426.57	249.73	301.33	135.24	164.42	239.52	186.4	177.53	336.79	214.27	299.25	348.71	301.33	371.22	237.86	323.03	220.32	221.86	211.31	228.13	567.1	237.86	429.54	281.09	183.82	224.97	497.0	267.73	358.54	246.28	267.73	197.09	218.79	303.44	204.07	206.94	493.56	518.15	463.65	551.56	373.81	514.56	420.68	368.65	612.11	339.14	414.87	563.18
FKBP9	1583.71	490.14	1143.1	802.41	1991.0	941.27	1467.37	941.27	728.11	928.3	376.41	830.75	540.19	1037.29	1111.82	1322.37	1096.5	583.07	866.07	1088.92	890.44	674.59	819.3	896.64	896.64	1340.84	392.44	563.18	915.51	684.02	194.36	1059.11	708.18	954.43	1037.29	1167.14	1059.11	651.58	1340.84	878.17	684.02	1008.9	567.1	1350.18	981.29	1561.89	909.17	536.45	775.05	1359.57	571.05	1127.35	759.08	698.41	785.88	432.53	1208.34	551.56	780.44	1008.9	1498.22	1268.46	1331.57	1096.5	1417.35	1242.34	1304.15	1467.37	1135.2	1340.84	1896.65
GDAP2	173.85	75.64	195.72	96.68	220.32	103.69	191.67	100.13	102.25	156.59	114.36	98.73	75.64	130.6	120.94	101.54	191.67	96.01	114.36	114.36	102.25	138.1	106.63	199.85	102.97	126.12	89.51	122.64	103.69	97.36	85.82	182.55	98.04	111.99	124.37	146.03	163.28	89.51	109.66	96.68	115.97	81.71	108.14	172.65	120.1	163.28	115.97	100.13	117.6	163.28	90.77	118.43	110.43	113.56	116.78	113.56	155.5	133.36	87.65	135.24	127.0	140.04	164.42	149.12	165.57	153.34	126.12	186.4	145.02	183.82	155.5
GINM1	1111.82	896.64	1225.22	802.41	1583.71	780.44	954.43	854.13	551.56	575.03	400.71	780.44	540.19	764.36	967.76	941.27	1111.82	842.36	791.35	921.88	854.13	1151.06	902.89	967.76	819.3	656.11	444.72	693.58	748.61	921.88	521.76	1119.56	775.05	921.88	872.1	1191.69	921.88	624.99	1037.29	616.37	660.68	769.69	921.88	1313.23	830.75	1023.0	954.43	698.41	802.41	1304.15	441.64	896.64	674.59	759.08	733.19	629.35	647.07	928.3	802.41	1135.2	1088.92	1127.35	1407.55	954.43	1119.56	1159.07	941.27	1143.1	967.76	1127.35	1191.69
GK	114.36	62.56	127.0	57.89	228.13	76.71	113.56	76.17	43.94	89.51	59.55	68.55	51.35	82.87	72.52	90.14	119.26	58.3	43.94	82.87	58.3	123.5	56.28	128.79	132.44	102.25	32.36	53.95	43.02	67.59	42.11	91.41	53.95	69.52	70.51	101.54	74.06	52.82	105.89	80.57	44.57	54.33	99.43	105.89	59.97	100.13	77.79	52.45	82.29	107.38	307.69	102.25	57.89	78.34	47.17	52.82	73.03	58.71	92.7	126.12	81.71	90.77	104.42	71.0	126.12	92.7	77.25	106.63	84.04	107.38	105.89
GNG12	928.3	295.11	1111.82	470.14	1111.82	543.96	884.29	514.56	121.79	518.15	277.2	503.95	299.25	540.19	603.67	503.95	961.07	336.79	536.45	616.37	454.09	728.11	480.04	854.13	521.76	490.14	130.6	285.03	384.34	262.2	348.71	723.08	432.53	514.56	713.11	466.88	647.07	373.81	679.29	497.0	503.95	420.68	307.69	961.07	426.57	866.07	563.18	303.44	450.94	1104.13	420.68	723.08	438.59	441.64	507.46	303.44	441.64	371.22	318.57	967.76	909.17	947.83	1259.69	620.67	1143.1	872.1	616.37	1119.56	698.41	836.53	1059.11
GTPBP8	244.57	158.79	214.27	214.27	229.72	190.34	285.03	197.09	141.02	237.86	98.04	199.85	176.29	205.5	220.32	187.71	201.25	102.97	209.84	249.73	205.5	176.29	220.32	167.9	144.01	176.29	163.28	181.28	198.47	123.5	159.9	256.78	221.86	170.25	205.5	181.28	234.57	121.79	198.47	165.57	164.42	165.57	109.66	223.41	172.65	253.23	206.94	175.07	187.71	221.86	146.03	217.27	139.07	191.67	187.71	119.26	162.14	99.43	177.53	239.52	205.5	248.0	297.17	177.53	251.48	234.57	198.47	229.72	195.72	236.21	212.78
HDGFRP3	743.43	312.0	684.02	205.5	674.59	414.87	529.06	642.59	341.51	532.74	75.11	363.56	332.14	285.03	559.28	540.19	813.63	363.56	476.71	497.0	438.59	796.86	332.14	547.75	303.44	543.96	205.5	303.44	329.84	414.87	156.59	450.94	255.0	417.77	607.87	476.71	518.15	384.34	454.09	293.07	334.46	291.04	195.72	656.11	323.03	583.07	353.59	309.83	486.75	514.56	486.75	616.37	281.09	444.72	334.46	353.59	551.56	291.04	234.57	633.73	688.78	642.59	928.3	518.15	872.1	633.73	638.15	1015.93	607.87	813.63	802.41
HELQ	175.07	110.43	205.5	134.3	202.66	214.27	217.27	159.9	164.42	167.9	138.1	169.07	98.04	172.65	176.29	224.97	206.94	100.13	131.51	183.82	162.14	217.27	115.16	166.73	127.0	187.71	164.42	111.99	130.6	150.17	150.17	228.13	158.79	173.85	171.45	201.25	178.77	116.78	229.72	130.6	161.02	147.06	117.6	159.9	211.31	231.32	199.85	105.15	191.67	226.54	175.07	166.73	139.07	173.85	146.03	100.13	185.11	178.77	150.17	237.86	239.52	260.38	293.07	256.78	303.44	205.5	281.09	275.28	293.07	277.2	277.2
HIPK1	791.35	170.25	633.73	336.79	629.35	361.04	607.87	395.18	156.59	438.59	224.97	305.55	251.48	371.22	389.72	400.71	718.08	269.6	356.05	368.65	316.37	563.18	318.57	587.13	334.46	336.79	166.73	186.4	226.54	258.57	279.14	417.77	237.86	376.41	447.82	450.94	583.07	346.29	420.68	303.44	267.73	339.14	295.11	616.37	234.57	587.13	392.44	229.72	332.14	571.05	258.57	503.95	275.28	363.56	275.28	358.54	358.54	265.87	265.87	444.72	567.1	414.87	420.68	438.59	579.04	521.76	473.41	612.11	432.53	486.75	603.67
HK1	1883.54	1059.11	1757.34	1159.07	2193.99	2119.22	2240.11	1781.89	1096.5	1709.26	587.13	1561.89	1304.15	1923.14	1806.78	2061.24	2163.77	1037.29	1651.0	1909.85	1685.71	1369.04	1487.87	2032.85	878.17	1709.26	928.3	1674.06	941.27	1295.13	543.96	1794.29	1477.58	1674.06	1909.85	1437.15	2032.85	1096.5	2255.7	1378.57	1561.89	1583.71	1208.34	2777.33	2119.22	1896.65	1685.71	1250.98	1427.22	2018.8	928.3	2004.85	1350.18	1757.34	1427.22	743.43	1733.13	1498.22	1417.35	1781.89	2591.27	2032.85	1794.29	2502.97	2032.85	2573.36	2417.67	2875.3	1936.53	2555.58	2627.46
HLF	293.07	37.05	190.34	50.27	190.34	148.09	165.57	141.02	10.88	140.04	18.7	187.71	128.79	136.19	281.09	177.53	206.94	47.5	101.54	167.9	86.43	102.97	173.85	164.42	56.28	110.43	4.74	59.97	146.03	33.06	28.45	122.64	89.51	185.11	205.5	85.22	166.73	20.26	212.78	65.72	76.17	115.97	75.64	293.07	134.3	249.73	141.02	38.12	73.03	199.85	29.7	215.77	84.63	122.64	85.22	41.52	251.48	47.17	80.01	195.72	303.44	454.09	460.44	269.6	493.56	281.09	221.86	460.44	301.33	351.14	511.0
HMG20A	403.5	151.22	395.18	182.55	417.77	231.32	295.11	287.01	139.07	312.0	148.09	246.28	103.69	185.11	312.0	232.94	361.04	175.07	228.13	271.48	170.25	283.05	197.09	334.46	232.94	287.01	73.03	204.07	231.32	156.59	186.4	251.48	223.41	262.2	269.6	226.54	283.05	178.77	289.02	195.72	208.38	236.21	275.28	281.09	217.27	403.5	220.32	152.28	226.54	389.72	193.01	295.11	217.27	287.01	202.66	226.54	283.05	181.28	221.86	366.09	414.87	341.51	426.57	348.71	480.04	262.2	316.37	490.14	356.05	420.68	476.71
HNRNPH2	1832.01	1135.2	1991.0	1540.37	2351.53	1674.06	1963.57	1674.06	921.88	1950.0	1191.69	1529.73	981.29	1721.16	1427.22	1896.65	2032.85	1340.84	1572.76	1628.26	1639.59	2271.4	1427.22	1794.29	1685.71	1369.04	1233.75	1191.69	1369.04	1540.37	808.0	1745.2	1127.35	1651.0	1359.57	1896.65	1651.0	1437.15	1628.26	1378.57	1322.37	1250.98	1378.57	1909.85	1467.37	1594.73	1397.83	1350.18	1417.35	1870.53	1457.23	1417.35	1242.34	1417.35	1369.04	1216.75	1242.34	1529.73	1437.15	1617.0	1551.09	1304.15	1369.04	1583.71	1674.06	1651.0	1721.16	1745.2	1605.83	1909.85	1769.57
IDS	1059.11	320.8	1143.1	447.82	1175.27	656.11	1233.75	698.41	361.04	785.88	420.68	591.22	525.39	551.56	679.29	733.19	1295.13	363.56	409.15	693.58	395.18	1242.34	490.14	743.43	785.88	656.11	275.28	341.51	392.44	521.76	329.84	708.18	463.65	624.99	836.53	669.92	860.08	470.14	713.11	536.45	521.76	483.38	603.67	1030.12	426.57	1216.75	612.11	376.41	529.06	947.83	511.0	825.0	457.25	669.92	493.56	143.01	759.08	457.25	463.65	1081.39	988.12	1001.93	1417.35	890.44	1477.58	1119.56	1143.1	1457.23	884.29	1127.35	1167.14
INTS2	111.21	32.82	124.37	43.02	127.0	63.45	102.25	62.12	28.86	83.45	43.63	61.68	38.12	62.12	60.39	62.56	105.15	28.04	45.53	74.58	53.57	119.26	67.12	97.36	59.97	51.35	24.81	26.1	61.25	36.79	37.32	87.03	40.93	65.72	77.25	85.22	69.03	60.39	86.43	50.98	55.1	64.8	54.72	119.26	41.22	100.83	76.71	43.02	62.56	111.21	55.1	99.43	46.18	69.03	46.18	41.81	66.65	48.87	47.17	96.68	108.9	96.01	119.26	94.01	121.79	87.03	89.51	139.07	76.71	99.43	120.1
ITGB3	76.17	1.73	64.8	4.39	61.68	46.18	63.45	74.06	6.16	44.25	5.45	42.41	13.03	15.68	45.53	53.57	144.01	7.94	17.77	83.45	13.32	50.27	19.53	28.45	7.17	27.84	8.51	26.67	18.97	17.25	2.68	32.13	25.72	63.89	73.03	18.03	63.45	5.23	71.0	24.46	38.12	20.56	12.09	75.64	13.12	94.67	30.56	3.44	21.78	74.06	9.2	52.82	25.91	28.86	40.07	21.16	53.19	16.51	16.88	73.54	95.34	129.69	97.36	55.1	113.56	74.58	70.51	197.09	37.32	123.5	140.04
KCTD18	353.59	198.47	373.81	299.25	417.77	332.14	314.17	318.57	144.01	341.51	166.73	305.55	249.73	301.33	287.01	366.09	305.55	224.97	231.32	392.44	346.29	363.56	309.83	314.17	264.03	323.03	87.65	205.5	208.38	237.86	209.84	320.8	251.48	332.14	295.11	314.17	320.8	291.04	336.79	307.69	253.23	258.57	183.82	395.18	249.73	329.84	264.03	229.72	314.17	392.44	249.73	353.59	190.34	273.37	267.73	249.73	297.17	269.6	251.48	373.81	356.05	361.04	426.57	336.79	395.18	381.68	363.56	353.59	368.65	361.04	423.61
KDELC2	547.75	115.97	764.36	157.68	743.43	490.14	555.41	395.18	77.25	412.0	180.02	291.04	126.12	297.17	379.04	497.0	620.67	122.64	269.6	379.04	239.52	409.15	307.69	325.29	190.34	334.46	59.13	209.84	241.19	59.13	103.69	529.06	303.44	423.61	358.54	480.04	343.89	105.89	500.46	191.67	246.28	246.28	289.02	665.29	287.01	612.11	353.59	157.68	363.56	620.67	262.2	616.37	299.25	332.14	198.47	221.86	387.02	267.73	246.28	629.35	669.92	518.15	775.05	543.96	660.68	591.22	603.67	669.92	579.04	620.67	866.07
KDR	303.44	40.93	195.72	29.48	536.45	116.78	223.41	134.3	16.03	154.42	147.06	144.01	88.26	99.43	185.11	215.77	191.67	125.24	136.19	148.09	82.87	189.02	120.1	133.36	76.17	204.07	78.34	40.07	169.07	59.13	59.55	151.22	85.82	161.02	241.19	94.67	318.57	53.95	170.25	93.35	77.25	220.32	104.42	178.77	118.43	409.15	85.22	75.64	91.41	215.77	31.45	253.23	93.35	116.78	104.42	120.1	220.32	52.08	42.41	271.48	133.36	237.86	305.55	173.85	435.55	314.17	186.4	473.41	473.41	289.02	395.18
KIF2A	361.04	63.0	299.25	107.38	336.79	163.28	327.56	182.55	87.65	198.47	75.11	108.14	99.43	165.57	191.67	144.01	279.14	77.25	127.0	146.03	112.77	271.48	106.63	249.73	125.24	231.32	62.56	68.07	57.08	50.98	27.44	193.01	78.89	115.97	214.27	199.85	198.47	151.22	173.85	131.51	143.01	111.99	88.26	256.78	98.73	256.78	175.07	60.39	138.1	303.44	132.44	256.78	74.06	162.14	101.54	80.57	120.1	108.14	86.43	253.23	239.52	241.19	336.79	178.77	314.17	229.72	228.13	351.14	165.57	271.48	316.37
KLHL5	476.71	82.87	563.18	54.72	651.58	395.18	441.64	318.57	104.42	563.18	97.36	339.14	113.56	166.73	332.14	379.04	660.68	185.11	262.2	273.37	151.22	379.04	199.85	289.02	161.02	187.71	28.65	204.07	173.85	153.34	124.37	285.03	177.53	450.94	381.68	281.09	253.23	54.72	447.82	122.64	150.17	164.42	239.52	674.59	205.5	490.14	265.87	115.97	281.09	412.0	287.01	343.89	209.84	189.02	175.07	142.01	289.02	303.44	204.07	395.18	642.59	738.29	842.36	320.8	759.08	457.25	420.68	915.51	373.81	633.73	802.41
KLK2	246289.25	520665.48	189257.69	391864.76	174152.51	329517.51	225066.78	353168.2	156954.93	258533.99	170568.48	324980.94	309589.14	350728.68	378516.38	269512.87	175363.84	334117.42	341137.96	311742.51	378516.38	318292.9	383800.28	303217.87	386469.83	360589.03	341137.96	443937.41	338781.54	269512.87	141455.6	286861.53	324980.94	284880.02	294926.33	329517.51	320506.81	373305.21	262143.0	316094.29	303217.87	419990.32	345900.08	258533.99	311742.51	228208.61	324980.94	279017.26	355624.68	221968.2	437825.58	280957.98	265802.39	331809.5	375901.76	389157.95	365622.68	383800.28	402881.61	241220.67	269512.87	284880.02	176583.6	284880.02	168220.2	267651.2	263966.36	155870.75	370726.6	175363.84	223512.12
LEPROT	1127.35	497.0	1191.69	497.0	1397.83	743.43	1023.0	656.11	343.89	825.0	293.07	633.73	397.93	669.92	703.28	808.0	1167.14	503.95	603.67	860.08	693.58	1096.5	571.05	902.89	698.41	583.07	279.14	373.81	595.34	575.03	358.54	860.08	503.95	733.19	848.22	743.43	1081.39	529.06	909.17	612.11	620.67	555.41	518.15	1295.13	603.67	1059.11	713.11	480.04	656.11	1143.1	409.15	1044.52	536.45	656.11	603.67	638.15	698.41	514.56	500.46	1477.58	1151.06	1397.83	1651.0	1044.52	1369.04	1340.84	1175.27	1250.98	1051.79	1250.98	1605.83
LPP	1159.07	178.77	1135.2	314.17	836.53	607.87	941.27	743.43	97.36	540.19	126.12	457.25	297.17	420.68	679.29	480.04	1096.5	327.56	432.53	607.87	368.65	825.0	343.89	813.63	423.61	348.71	134.3	262.2	271.48	231.32	106.63	525.39	351.14	595.34	785.88	289.02	612.11	303.44	674.59	281.09	343.89	373.81	373.81	1561.89	269.6	988.12	536.45	232.94	441.64	842.36	169.07	1051.79	303.44	356.05	503.95	301.33	470.14	262.2	255.0	616.37	1104.13	872.1	1051.79	688.78	1159.07	830.75	599.49	1870.53	743.43	954.43	1407.55
MEF2A	536.45	142.01	665.29	163.28	718.08	318.57	529.06	400.71	137.14	341.51	138.1	301.33	242.88	208.38	356.05	366.09	559.28	234.57	271.48	438.59	262.2	486.75	231.32	395.18	395.18	348.71	136.19	148.09	249.73	199.85	206.94	395.18	221.86	392.44	466.88	291.04	417.77	244.57	417.77	204.07	267.73	289.02	255.0	642.59	206.94	563.18	312.0	155.5	249.73	521.76	325.29	429.54	264.03	316.37	244.57	269.6	384.34	182.55	199.85	457.25	559.28	480.04	723.08	497.0	738.29	500.46	486.75	813.63	473.41	656.11	915.51
MEF2C	291.04	23.08	256.78	43.94	325.29	119.26	249.73	125.24	7.69	117.6	48.52	129.69	98.04	72.01	234.57	123.5	249.73	85.22	55.1	120.94	65.26	246.28	104.42	79.45	84.63	182.55	26.67	43.63	314.17	47.5	34.02	113.56	59.55	105.89	185.11	92.7	171.45	31.9	86.43	59.97	90.14	121.79	71.5	154.42	72.52	277.2	67.12	39.5	70.51	173.85	30.34	291.04	89.51	108.14	232.94	80.57	103.69	41.81	34.75	224.97	172.65	239.52	476.71	126.12	420.68	173.85	185.11	297.17	187.71	185.11	575.03
MSANTD4	189.02	55.89	198.47	45.85	181.28	120.94	202.66	112.77	80.57	176.29	8.71	114.36	84.63	95.34	142.01	127.89	176.29	23.59	82.29	135.24	101.54	153.34	99.43	159.9	87.65	114.36	82.87	88.26	68.07	72.01	39.79	152.28	104.42	105.15	126.12	108.14	126.12	7.88	140.04	91.41	100.13	57.89	89.51	162.14	78.34	176.29	111.21	67.59	146.03	183.82	117.6	161.02	60.82	123.5	64.34	65.26	120.1	92.7	128.79	169.07	169.07	208.38	287.01	150.17	224.97	133.36	157.68	220.32	170.25	217.27	255.0
NCOA4	4736.79	2384.37	4328.55	2319.15	5219.6	3614.55	4836.35	2047.0	1781.89	4066.71	1721.16	2061.24	1216.75	2645.74	2090.03	3540.14	4671.57	1369.04	2895.31	2701.35	2032.85	2956.17	2255.7	4481.23	2645.74	2609.3	1015.93	1651.0	1781.89	1832.01	1832.01	3257.52	2591.27	3349.13	2915.45	3235.01	3060.45	2835.7	5831.91	2319.15	2178.83	3257.52	2609.3	5112.16	2485.67	3794.3	2835.7	2287.2	2875.3	4152.18	2855.44	3212.66	1745.2	3168.41	1697.45	1183.45	2451.44	3212.66	2224.63	8840.04	4450.27	3768.09	5633.22	4066.71	3325.99	4481.23	4836.35	4481.23	4450.27	5711.87	5076.84
NPTN	3395.89	954.43	2976.74	1183.45	3060.45	2400.97	2520.38	2451.44	1487.87	3018.3	860.08	1572.76	723.08	1477.58	2468.49	2468.49	2895.31	896.64	1628.26	2287.2	1183.45	2335.28	1498.22	1896.65	1286.18	1359.57	414.87	995.0	1697.45	1008.9	941.27	2627.46	1457.23	2163.77	2075.59	2133.97	2451.44	3146.52	2701.35	1697.45	1397.83	1286.18	1242.34	2451.44	1388.16	3443.31	1685.71	1073.91	1950.0	2720.15	1199.98	2417.67	1572.76	2075.59	1331.57	995.0	1857.6	1487.87	1277.29	3665.02	3665.02	3716.2	5672.41	4010.71	5006.93	2997.45	4066.71	5076.84	3443.31	5751.61	5183.54
PAFAH1B1	1242.34	476.71	1030.12	684.02	1225.22	753.83	921.88	813.63	493.56	902.89	327.56	718.08	559.28	607.87	753.83	780.44	1135.2	616.37	638.15	848.22	651.58	878.17	703.28	988.12	733.19	728.11	567.1	575.03	620.67	470.14	575.03	753.83	591.22	651.58	780.44	669.92	896.64	591.22	780.44	595.34	669.92	612.11	647.07	1191.69	656.11	988.12	718.08	607.87	647.07	1081.39	647.07	902.89	624.99	738.29	708.18	708.18	651.58	612.11	511.0	902.89	1001.93	830.75	1008.9	928.3	1073.91	974.5	981.29	1167.14	928.3	1135.2	1127.35
PJA2	2119.22	587.13	1781.89	981.29	2271.4	1175.27	1781.89	1066.48	470.14	1111.82	460.44	703.28	387.02	1225.22	1119.56	1350.18	1963.57	708.18	1001.93	1340.84	967.76	1151.06	1066.48	1242.34	1191.69	1081.39	395.18	500.46	665.29	450.94	346.29	1295.13	748.61	1277.29	1233.75	1259.69	1721.16	1175.27	1397.83	718.08	728.11	860.08	423.61	2163.77	708.18	1487.87	1104.13	575.03	1037.29	1883.54	693.58	1529.73	493.56	884.29	842.36	785.88	902.89	842.36	723.08	1733.13	1781.89	1467.37	2104.58	1388.16	1870.53	1963.57	1427.22	2178.83	1508.65	1757.34	2335.28
PLEKHA1	400.71	93.35	426.57	178.77	518.15	228.13	255.0	248.0	69.52	293.07	128.79	204.07	146.03	172.65	253.23	236.21	423.61	187.71	206.94	267.73	214.27	309.83	236.21	327.56	211.31	253.23	55.1	127.89	189.02	127.0	175.07	301.33	182.55	231.32	301.33	251.48	327.56	239.52	239.52	173.85	236.21	139.07	150.17	412.0	194.36	373.81	241.19	141.02	186.4	387.02	202.66	267.73	170.25	262.2	226.54	199.85	193.01	166.73	180.02	432.53	366.09	414.87	450.94	363.56	616.37	368.65	336.79	532.74	309.83	387.02	426.57
POC1B	224.97	97.36	287.01	139.07	236.21	148.09	178.77	144.01	52.08	156.59	139.07	164.42	161.02	124.37	190.34	143.01	204.07	237.86	120.94	151.22	176.29	223.41	177.53	234.57	175.07	212.78	70.51	104.42	151.22	90.14	127.0	198.47	140.04	127.0	143.01	159.9	186.4	127.89	175.07	108.9	113.56	112.77	125.24	202.66	132.44	162.14	151.22	102.25	151.22	231.32	159.9	190.34	90.14	136.19	124.37	150.17	166.73	140.04	137.14	255.0	190.34	223.41	318.57	176.29	273.37	162.14	156.59	265.87	177.53	205.5	228.13
PPP1R12A	1225.22	154.42	1295.13	320.8	988.12	698.41	872.1	896.64	105.89	660.68	236.21	587.13	371.22	387.02	785.88	651.58	1044.52	281.09	384.34	780.44	414.87	1359.57	511.0	674.59	470.14	532.74	134.3	248.0	366.09	264.03	201.25	703.28	417.77	753.83	684.02	435.55	660.68	316.37	819.3	323.03	381.68	426.57	395.18	1322.37	318.57	1096.5	555.41	144.01	642.59	878.17	381.68	872.1	384.34	518.15	579.04	389.72	543.96	314.17	348.71	878.17	1183.45	1096.5	1745.2	974.5	1477.58	1015.93	1001.93	2018.8	1119.56	1651.0	1540.37
PPP3CB	890.44	591.22	1023.0	463.65	1104.13	802.41	825.0	808.0	518.15	785.88	351.14	679.29	476.71	656.11	808.0	836.53	988.12	490.14	629.35	713.11	603.67	934.76	669.92	848.22	599.49	698.41	423.61	612.11	563.18	620.67	406.31	796.86	620.67	759.08	748.61	669.92	723.08	624.99	819.3	497.0	547.75	607.87	612.11	1151.06	684.02	890.44	674.59	500.46	647.07	902.89	466.88	785.88	555.41	603.67	647.07	647.07	703.28	642.59	665.29	1030.12	954.43	995.0	1378.57	902.89	1030.12	961.07	884.29	1111.82	884.29	1023.0	1250.98
