	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A27L.01A.11R.A16F.07	TCGA.A8.A08P.01A.11R.A00Z.07	TCGA.A2.A0YF.01A.21R.A109.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.E2.A1IG.01A.11R.A144.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E2.A15F.01A.11R.A115.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.A7.A0D9.01A.31R.A056.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.A8.A09K.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.D8.A140.01A.11R.A115.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.AR.A2LL.01A.11R.A180.07	TCGA.AQ.A04H.01B.11R.A10J.07	TCGA.D8.A27T.01A.11R.A16F.07	TCGA.BH.A0C3.01A.21R.A12P.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A7.A0CJ.01A.21R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.BH.A0AU.01A.11R.A12P.07	TCGA.AR.A24S.01A.11R.A169.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.AN.A0FY.01A.11R.A034.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A11C.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EB.11A.11R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZAB5.0426.SM.5CVMI	GTEX.13113.1326.SM.5GCOI	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13NZB.0626.SM.5IFH6	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	GTEX.V1D1.1926.SM.4JBGX	GTEX.NFK9.2226.SM.3MJGP
CCDC117	395.18	387.02	647.07	387.02	271.48	299.25	2895.31	718.08	974.5	1651.0	860.08	473.41	607.87	743.43	4836.35	848.22	921.88	318.57	1427.22	995.0	454.09	6607.01	587.13	540.19	3349.13	10225.32	543.96	480.04	279.14	466.88	358.54	503.95	525.39	1551.09	327.56	595.34	312.0	406.31	269.6	379.04	303.44	303.44	332.14	371.22	389.72	279.14	201.25	255.0	291.04	297.17	277.2	244.57	384.34	358.54	334.46	303.44	277.2	314.17	309.83	175.07	316.37	199.85	182.55	503.95	224.97	301.33	255.0	301.33	162.14	312.0	466.88	150.17	271.48	336.79	166.73	497.0	309.83	379.04	127.89	353.59	420.68	197.09	229.72	231.32	264.03	183.82	172.65	624.99	334.46	353.59	361.04	518.15	265.87	169.07	271.48	264.03	201.25	379.04	220.32	329.84	633.73	189.02	307.69
CCDC132	269.6	429.54	264.03	486.75	279.14	121.79	334.46	224.97	376.41	414.87	555.41	237.86	454.09	329.84	454.09	376.41	323.03	514.56	224.97	343.89	351.14	309.83	253.23	470.14	297.17	312.0	339.14	279.14	249.73	197.09	381.68	466.88	447.82	693.58	353.59	351.14	273.37	211.31	120.1	150.17	111.99	92.05	120.1	97.36	138.1	54.33	47.84	85.82	128.79	79.45	57.08	126.12	94.01	123.5	110.43	85.82	111.21	103.69	130.6	134.3	85.22	94.67	58.3	120.1	77.79	153.34	74.58	131.51	73.54	80.57	166.73	82.29	90.14	105.15	32.59	88.26	116.78	140.04	49.56	121.79	122.64	93.35	91.41	70.51	92.7	61.25	61.25	194.36	74.58	120.1	127.89	119.26	100.13	61.68	86.43	33.78	95.34	120.94	87.03	108.9	156.59	215.77	183.82
CCDC83	1.71	1.73	3.38	0.0	0.87	0.0	7.34	1.46	1.58	0.0	5.5	6.94	2.92	0.33	2.12	5.59	58.71	3.89	1.27	1.99	13.52	5.11	0.31	1.04	0.0	54.72	0.0	0.69	29.48	0.29	2.92	0.97	0.71	0.92	2.2	15.0	4.74	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.11	0.0
CDH13	147.06	190.34	132.44	318.57	73.54	84.04	392.44	106.63	109.66	183.82	205.5	68.07	141.02	119.26	32.13	417.77	92.7	206.94	77.79	171.45	54.72	137.14	117.6	221.86	44.25	327.56	117.6	348.71	149.12	90.14	190.34	85.22	176.29	123.5	224.97	587.13	111.99	121.79	19.82	36.27	28.65	12.09	8.58	9.63	69.52	9.41	7.28	3.99	7.57	1.95	4.82	4.35	39.5	6.52	13.93	17.64	10.96	19.68	81.14	24.46	54.72	4.82	36.53	9.2	12.74	34.26	24.28	16.63	10.55	11.04	31.67	10.63	4.28	21.16	7.69	3.56	13.72	13.52	16.27	14.35	18.43	9.85	13.93	18.43	7.63	4.21	17.0	47.84	7.63	4.1	12.45	11.38	49.56	13.83	19.39	6.41	21.63	9.06	7.51	20.11	9.93	64.8	40.36
CDR2	450.94	860.08	497.0	981.29	285.03	521.76	718.08	1023.0	563.18	599.49	909.17	384.34	836.53	417.77	400.71	1059.11	466.88	660.68	409.15	1242.34	988.12	366.09	406.31	555.41	343.89	2627.46	633.73	878.17	1250.98	241.19	620.67	460.44	387.02	518.15	1417.35	575.03	603.67	503.95	205.5	384.34	265.87	199.85	215.77	226.54	253.23	191.67	148.09	161.02	293.07	384.34	320.8	432.53	279.14	242.88	241.19	189.02	444.72	214.27	320.8	896.64	255.0	264.03	241.19	309.83	91.41	414.87	262.2	139.07	199.85	140.04	249.73	164.42	159.9	175.07	277.2	241.19	348.71	208.38	111.99	236.21	198.47	414.87	199.85	159.9	283.05	279.14	283.05	708.18	463.65	237.86	220.32	366.09	190.34	205.5	136.19	255.0	251.48	220.32	234.57	521.76	273.37	205.5	346.29
CEP41	291.04	529.06	289.02	297.17	688.78	221.86	260.38	255.0	220.32	325.29	318.57	320.8	463.65	279.14	285.03	351.14	236.21	476.71	218.79	363.56	267.73	246.28	178.77	232.94	241.19	389.72	441.64	269.6	175.07	239.52	363.56	358.54	291.04	684.02	389.72	307.69	323.03	181.28	54.72	82.87	50.63	45.53	77.79	55.49	63.0	40.07	48.87	52.82	74.58	41.22	52.45	72.52	67.12	59.13	70.01	54.72	80.57	72.52	98.73	128.79	57.89	59.97	64.8	62.12	68.55	136.19	58.71	122.64	76.71	47.84	90.77	59.97	47.84	94.67	38.95	61.68	68.07	187.71	49.56	45.21	76.17	57.89	59.55	70.51	65.72	35.25	70.01	125.24	64.8	63.0	38.95	44.89	46.5	45.85	63.45	30.78	64.8	76.71	90.14	46.5	115.16	142.01	90.14
CNTD1	33.78	65.26	94.01	33.06	43.94	43.94	73.54	95.34	60.39	108.9	131.51	70.01	31.45	72.52	44.89	66.18	406.31	68.07	48.18	83.45	49.56	110.43	88.26	47.17	183.82	718.08	27.05	60.82	15.34	285.03	202.66	223.41	65.72	68.55	37.05	77.79	209.84	31.9	20.41	12.55	13.22	7.4	4.82	6.84	13.62	5.06	4.21	3.79	7.0	3.0	15.45	10.79	13.52	7.11	8.78	6.26	11.3	20.86	7.46	9.2	3.38	7.51	8.58	2.86	11.21	4.35	7.34	10.24	12.0	8.78	4.17	11.21	9.93	3.41	27.44	10.24	10.63	4.62	11.47	4.35	5.23	10.71	1.39	3.08	13.03	20.56	7.88	8.25	9.06	4.03	18.03	28.24	11.3	8.99	8.85	4.35	10.88	12.36	9.34	7.0	1.51	61.25	125.24
COL4A1	2451.44	1857.6	2485.67	2303.12	1857.6	4181.07	6561.36	2148.82	1467.37	2573.36	4972.34	1331.57	2997.45	1794.29	547.75	2758.13	2591.27	2061.24	1073.91	3395.89	2935.74	1572.76	2664.15	2502.97	743.43	6079.61	1628.26	4903.87	2193.99	1242.34	3190.46	1407.55	3060.45	2351.53	3235.01	2816.11	3491.39	2319.15	186.4	616.37	441.64	152.28	414.87	223.41	486.75	33.06	201.25	82.87	457.25	178.77	251.48	281.09	217.27	158.79	426.57	187.71	426.57	371.22	1498.22	1819.35	353.59	236.21	348.71	111.99	197.09	307.69	204.07	208.38	316.37	256.78	339.14	177.53	80.57	312.0	397.93	106.63	194.36	400.71	220.32	165.57	180.02	612.11	136.19	237.86	117.6	185.11	139.07	1870.53	241.19	72.01	186.4	163.28	540.19	164.42	126.12	201.25	397.93	177.53	307.69	299.25	149.12	161.02	242.88
COL4A2	2520.38	1769.57	2178.83	1572.76	2075.59	4239.45	6561.36	1561.89	1417.35	1832.01	4038.61	1183.45	2537.92	1407.55	595.34	1896.65	2485.67	1832.01	1167.14	2739.08	3103.19	1295.13	3039.3	2335.28	785.88	4543.8	1519.15	4671.57	1733.13	1216.75	3060.45	1331.57	2224.63	2133.97	2193.99	3589.58	2682.69	2255.7	277.2	890.44	616.37	260.38	503.95	356.05	620.67	91.41	387.02	124.37	698.41	291.04	281.09	376.41	269.6	239.52	575.03	323.03	420.68	400.71	1909.85	3303.0	412.0	392.44	571.05	202.66	438.59	511.0	209.84	197.09	616.37	303.44	543.96	291.04	145.02	473.41	457.25	182.55	279.14	728.11	387.02	281.09	194.36	1135.2	297.17	463.65	214.27	381.68	325.29	1769.57	249.73	93.35	279.14	197.09	647.07	281.09	185.11	271.48	532.74	202.66	503.95	397.93	177.53	351.14	974.5
COPB1	3146.52	1923.14	2090.03	3372.43	1369.04	1857.6	1757.34	1651.0	2701.35	1936.53	1883.54	1757.34	1883.54	2061.24	2004.85	2591.27	3515.68	2796.65	2271.4	2645.74	2119.22	1769.57	1407.55	2255.7	1286.18	2209.26	2400.97	1437.15	1991.0	1832.01	2133.97	2777.33	2061.24	5403.7	3540.14	3060.45	1561.89	2163.77	1151.06	921.88	988.12	854.13	1199.98	1175.27	1199.98	723.08	490.14	679.29	995.0	718.08	848.22	1242.34	1051.79	995.0	1159.07	928.3	1295.13	967.76	988.12	2090.03	1721.16	934.76	1233.75	974.5	866.07	2537.92	1447.15	1015.93	1096.5	1427.22	1015.93	921.88	872.1	995.0	1104.13	748.61	1051.79	1030.12	860.08	902.89	1104.13	1359.57	1135.2	1104.13	1427.22	981.29	961.07	1322.37	934.76	1030.12	802.41	780.44	775.05	1331.57	1191.69	638.15	1268.46	878.17	1167.14	1111.82	1199.98	1617.0	1572.76
CSPG4	120.1	159.9	55.1	129.69	255.0	197.09	339.14	45.21	92.7	69.03	287.01	72.01	119.26	76.17	31.67	146.03	116.78	115.16	57.49	122.64	232.94	67.59	167.9	144.01	33.06	325.29	62.56	194.36	49.21	69.03	120.94	46.84	97.36	51.71	127.89	376.41	116.78	109.66	20.71	71.0	54.33	31.45	7.0	6.67	32.36	2.51	3.99	1.46	10.08	3.72	4.86	5.82	38.95	4.1	7.63	13.62	5.36	8.25	54.72	8.38	3.69	10.63	9.78	6.21	9.7	8.65	14.67	11.55	16.15	6.41	52.08	5.23	11.38	7.4	3.56	7.11	9.93	7.46	15.68	4.82	22.26	6.46	7.82	15.34	4.82	1.07	4.1	43.32	6.62	3.69	13.22	14.03	18.16	9.7	2.48	4.58	15.22	8.45	11.82	17.13	3.29	29.06	197.09
DCLK3	3.76	5.87	3.08	7.06	3.11	5.36	9.78	5.87	0.6	5.11	18.16	8.0	6.16	1.58	6.36	3.0	7.22	6.52	2.48	4.94	4.1	4.5	3.29	11.47	2.43	29.7	4.24	10.24	17.13	3.35	21.47	1.58	1.73	8.51	6.94	5.82	11.55	5.68	0.64	0.57	12.45	0.0	0.6	0.57	1.75	0.54	0.52	1.08	1.22	0.0	0.0	0.0	0.58	1.5	0.6	0.0	0.0	7.69	2.03	0.0	0.0	0.95	0.88	0.0	0.37	0.0	2.78	1.38	1.33	0.38	0.99	0.0	0.35	2.16	0.0	0.32	0.0	1.22	10.55	0.0	0.99	0.0	0.39	1.68	0.0	0.34	0.85	0.78	0.0	0.39	0.39	1.89	23.76	0.39	0.0	0.43	0.39	0.36	0.88	16.88	0.32	0.26	0.06
DYM	759.08	642.59	620.67	967.76	616.37	571.05	575.03	718.08	791.35	954.43	813.63	703.28	642.59	647.07	723.08	698.41	563.18	660.68	555.41	802.41	780.44	651.58	376.41	620.67	674.59	503.95	825.0	802.41	490.14	1277.29	503.95	884.29	954.43	1457.23	389.72	703.28	708.18	1030.12	486.75	339.14	429.54	293.07	444.72	329.84	403.5	323.03	368.65	316.37	312.0	320.8	258.57	327.56	320.8	287.01	327.56	356.05	373.81	356.05	438.59	583.07	450.94	341.51	511.0	358.54	239.52	703.28	253.23	507.46	273.37	403.5	289.02	195.72	379.04	409.15	493.56	373.81	343.89	507.46	253.23	444.72	258.57	260.38	384.34	271.48	299.25	312.0	293.07	688.78	466.88	336.79	267.73	285.03	226.54	397.93	447.82	231.32	358.54	387.02	220.32	361.04	532.74	665.29	780.44
DYNC1I2	2335.28	2758.13	1936.53	3190.46	1950.0	1225.22	2591.27	1745.2	2434.5	2367.9	1991.0	2367.9	2178.83	1896.65	2018.8	3039.3	1794.29	2193.99	1467.37	2133.97	1286.18	2367.9	2178.83	2976.74	2004.85	2701.35	2400.97	1487.87	1662.49	1529.73	1605.83	1769.57	2835.7	2468.49	2018.8	4268.94	1467.37	1561.89	532.74	647.07	587.13	514.56	591.22	536.45	629.35	395.18	387.02	476.71	612.11	454.09	500.46	612.11	466.88	591.22	551.56	497.0	563.18	591.22	1044.52	1175.27	460.44	518.15	633.73	518.15	651.58	1127.35	684.02	866.07	575.03	902.89	961.07	624.99	312.0	808.0	688.78	454.09	728.11	802.41	231.32	555.41	769.69	947.83	595.34	518.15	476.71	341.51	612.11	848.22	420.68	733.19	493.56	514.56	698.41	521.76	351.14	417.77	836.53	567.1	587.13	395.18	733.19	1225.22	1119.56
ECE1	2777.33	2895.31	1159.07	1883.54	2271.4	2502.97	2682.69	1023.0	4450.27	842.36	2758.13	1617.0	2976.74	1127.35	1685.71	2351.53	5147.73	2520.38	1896.65	1350.18	2193.99	2018.8	2163.77	2271.4	1447.15	5329.3	2664.15	2485.67	1639.59	2104.58	2271.4	1709.26	1498.22	1044.52	1066.48	2351.53	2075.59	2997.45	791.35	1183.45	1242.34	981.29	1199.98	1088.92	1721.16	1008.9	961.07	1268.46	1044.52	1073.91	813.63	954.43	947.83	1127.35	1233.75	1111.82	1447.15	878.17	1331.57	2163.77	1225.22	909.17	995.0	842.36	1191.69	575.03	1340.84	1304.15	775.05	1909.85	1066.48	1331.57	909.17	1015.93	3589.58	1313.23	698.41	813.63	1066.48	665.29	1127.35	651.58	665.29	1001.93	836.53	1051.79	1008.9	1407.55	1208.34	1685.71	3060.45	1605.83	1378.57	656.11	1709.26	808.0	830.75	1135.2	1037.29	1651.0	486.75	3235.01	909.17
EDDM3B	1.66	4.66	10.31	65.72	6.26	183.82	0.0	3.11	5.45	57.89	58.71	1.79	0.0	0.0	1.75	46.84	41.22	7.51	5.41	2.25	0.0	0.62	0.0	8.92	0.6	2875.3	0.68	32.13	0.0	0.0	503.95	0.0	3.72	10.71	4.54	0.0	9.48	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EIF4G2	15499.21	11992.79	8247.98	12415.75	10154.69	7803.01	9344.14	7180.15	12076.21	11909.94	9945.68	12076.21	13776.25	10808.41	18304.63	9876.98	11504.21	19892.37	9740.98	13492.72	6983.79	7382.04	6887.62	11504.21	7803.01	10883.59	9540.5	8718.32	10959.3	7966.99	11035.54	16727.26	12943.04	16269.83	16727.26	10368.08	9540.5	14163.58	3794.3	4543.8	3716.2	2976.74	5329.3	4152.18	5292.48	2895.31	2224.63	3168.41	4358.66	3491.39	3467.27	4802.93	4038.61	4239.45	4210.15	3325.99	5292.48	4066.71	5041.77	6887.62	6887.62	4388.98	6561.36	3349.13	3540.14	8718.32	6983.79	5147.73	4066.71	9945.68	5517.27	2835.7	3928.15	5995.9	4607.24	2319.15	4239.45	5913.33	4937.99	3690.52	6079.61	5329.3	4450.27	5594.3	4481.23	3395.89	5292.48	6745.86	3716.2	4419.52	3467.27	3103.19	4123.49	6381.92	3928.15	2434.5	4095.0	5479.15	5594.3	4769.75	6250.56	7857.29	11112.3
EPHA4	81.14	95.34	52.45	43.94	21.47	35.76	98.04	25.54	67.12	46.84	53.57	138.1	39.79	44.25	18.03	85.82	57.08	64.8	57.49	39.22	22.43	43.63	73.03	89.51	28.45	41.52	66.65	92.7	130.6	420.68	41.52	55.49	77.25	17.51	61.25	97.36	30.56	49.21	55.1	36.53	22.59	19.39	8.71	17.9	18.84	5.77	8.85	7.63	15.8	6.01	21.63	7.4	11.47	18.43	19.39	18.43	8.32	17.51	30.12	21.94	10.31	19.82	7.34	27.25	83.45	15.45	18.29	36.27	49.91	14.78	47.5	16.75	19.53	18.29	6.46	14.03	10.71	19.25	8.92	8.0	28.65	17.51	33.3	17.38	8.13	8.78	11.73	26.1	13.22	24.63	51.35	29.91	13.83	64.8	3.82	7.28	25.91	7.11	70.51	11.21	20.11	58.71	50.63
ESYT2	1397.83	1216.75	718.08	1208.34	595.34	599.49	854.13	1167.14	1498.22	1008.9	1350.18	713.11	1923.14	1015.93	791.35	1304.15	866.07	1745.2	802.41	1111.82	1277.29	698.41	563.18	1242.34	759.08	1350.18	1369.04	1167.14	591.22	2090.03	616.37	1104.13	1001.93	1540.37	836.53	1233.75	791.35	1709.26	341.51	373.81	318.57	228.13	366.09	178.77	441.64	262.2	260.38	329.84	353.59	381.68	389.72	348.71	287.01	400.71	381.68	262.2	379.04	273.37	387.02	429.54	289.02	279.14	346.29	265.87	239.52	343.89	583.07	356.05	409.15	395.18	454.09	389.72	221.86	420.68	389.72	285.03	169.07	320.8	334.46	212.78	454.09	332.14	287.01	281.09	265.87	214.27	363.56	525.39	228.13	536.45	351.14	217.27	480.04	320.8	166.73	400.71	283.05	303.44	420.68	525.39	567.1	409.15	332.14
EXOC6B	226.54	277.2	120.1	237.86	180.02	166.73	195.72	152.28	346.29	246.28	229.72	214.27	289.02	195.72	217.27	305.55	231.32	228.13	148.09	265.87	193.01	181.28	136.19	285.03	171.45	232.94	199.85	253.23	141.02	145.02	123.5	194.36	217.27	318.57	182.55	285.03	127.89	111.99	60.82	69.52	56.28	37.85	71.5	69.52	88.26	30.78	31.22	38.67	46.18	31.9	42.71	51.71	55.49	51.35	80.57	41.52	90.14	66.18	124.37	87.65	45.53	52.45	63.89	63.45	45.53	75.64	48.18	98.73	71.0	57.49	80.01	72.52	59.13	80.01	39.5	38.4	59.55	100.13	41.22	73.54	118.43	57.49	36.01	58.71	85.82	26.28	34.75	71.5	50.98	61.68	35.5	50.98	49.21	78.34	27.05	43.02	46.18	55.89	74.58	94.67	63.0	173.85	139.07
FAM171B	61.68	115.16	39.5	29.06	18.56	53.19	157.68	52.08	129.69	47.17	186.4	41.22	126.12	48.18	56.28	267.73	314.17	87.03	30.78	108.9	113.56	21.78	123.5	106.63	16.27	325.29	75.11	72.52	85.82	34.26	37.59	102.97	53.19	121.79	140.04	444.72	35.25	44.89	3.79	6.06	6.31	1.66	6.46	4.78	5.63	0.97	0.49	1.5	4.98	0.53	0.91	3.69	1.53	2.73	3.59	2.56	3.66	4.43	20.71	4.1	1.91	5.23	7.17	1.62	3.69	12.45	5.5	1.75	1.68	2.71	22.1	2.36	0.89	3.11	0.0	0.0	4.39	5.02	1.89	2.36	1.13	0.99	3.92	2.27	1.85	1.6	3.56	9.7	1.01	1.06	8.78	0.95	4.5	1.03	0.91	0.36	3.89	2.61	3.69	2.78	2.32	11.73	6.94
FAM198B	1304.15	2193.99	860.08	2777.33	361.04	1427.22	7803.01	1183.45	2627.46	1467.37	3257.52	651.58	629.35	769.69	743.43	7966.99	3372.43	1651.0	1617.0	4639.29	1359.57	6607.01	579.04	2104.58	1794.29	13968.57	1685.71	1709.26	651.58	493.56	759.08	1977.24	1135.2	1322.37	1331.57	2271.4	819.3	836.53	56.28	100.83	105.89	23.08	117.6	52.08	98.04	9.27	22.92	30.78	110.43	16.39	49.91	60.82	43.94	63.45	100.13	52.45	102.97	53.57	251.48	133.36	131.51	57.49	85.22	31.22	80.01	134.3	126.12	134.3	54.33	141.02	133.36	25.91	57.49	95.34	63.45	27.44	107.38	111.21	43.02	38.95	90.14	57.89	46.5	96.01	51.71	20.56	59.13	155.5	15.22	44.57	60.39	42.71	153.34	71.5	40.64	11.91	73.54	117.6	88.26	99.43	85.82	138.1	107.38
FAR1	1088.92	836.53	490.14	819.3	260.38	473.41	483.38	571.05	947.83	759.08	1378.57	563.18	921.88	368.65	2032.85	583.07	1259.69	1378.57	718.08	854.13	587.13	703.28	669.92	915.51	444.72	981.29	624.99	400.71	463.65	928.3	854.13	791.35	656.11	1806.78	785.88	1127.35	435.55	518.15	51.71	66.65	52.45	24.99	39.5	41.81	75.64	16.88	9.56	19.39	46.84	16.39	35.76	46.18	30.34	38.95	46.84	31.0	66.18	59.55	178.77	70.01	55.89	46.18	28.86	27.44	43.02	73.03	47.5	65.26	28.24	51.71	142.01	15.56	6.57	59.55	22.43	48.87	77.25	28.86	22.26	16.27	54.72	57.49	18.29	35.5	26.86	17.38	27.44	371.22	17.64	10.88	42.11	28.45	62.12	22.75	15.91	4.39	50.98	84.04	21.94	34.26	30.56	387.02	138.1
FRS2	842.36	688.78	334.46	660.68	358.54	255.0	351.14	2935.74	1008.9	384.34	381.68	591.22	483.38	314.17	718.08	599.49	1662.49	555.41	825.0	503.95	4388.98	262.2	212.78	629.35	262.2	4328.55	450.94	575.03	567.1	406.31	896.64	1216.75	532.74	660.68	665.29	921.88	387.02	223.41	68.07	106.63	98.04	68.55	111.99	113.56	130.6	53.95	56.28	78.89	84.04	67.12	80.01	133.36	85.82	128.79	146.03	51.71	120.94	82.87	161.02	80.57	82.29	88.26	122.64	164.42	95.34	234.57	111.21	142.01	66.18	232.94	305.55	71.5	36.79	260.38	93.35	62.56	49.56	163.28	117.6	94.67	117.6	139.07	84.63	111.99	54.33	44.25	109.66	212.78	46.18	67.12	149.12	74.58	120.94	83.45	48.52	64.8	65.72	84.63	135.24	88.88	137.14	125.24	169.07
GTF2H1	698.41	647.07	603.67	688.78	490.14	371.22	575.03	417.77	698.41	684.02	567.1	656.11	688.78	559.28	825.0	688.78	738.29	713.11	575.03	514.56	651.58	575.03	536.45	651.58	381.68	559.28	599.49	466.88	457.25	703.28	638.15	753.83	796.86	1030.12	616.37	583.07	476.71	1037.29	334.46	379.04	297.17	180.02	320.8	248.0	279.14	231.32	113.56	303.44	271.48	285.03	412.0	327.56	248.0	305.55	309.83	226.54	361.04	253.23	273.37	571.05	341.51	204.07	301.33	301.33	273.37	403.5	253.23	228.13	318.57	583.07	343.89	368.65	236.21	237.86	454.09	181.28	412.0	392.44	262.2	269.6	371.22	371.22	273.37	211.31	389.72	318.57	329.84	497.0	242.88	269.6	312.0	329.84	291.04	346.29	220.32	206.94	314.17	215.77	400.71	403.5	202.66	480.04	444.72
HARBI1	123.5	170.25	136.19	155.5	78.89	83.45	61.25	73.54	156.59	109.66	78.34	131.51	96.01	162.14	122.64	147.06	197.09	172.65	94.67	122.64	107.38	80.57	67.59	110.43	101.54	121.79	113.56	76.71	74.06	114.36	92.05	129.69	126.12	264.03	140.04	102.25	122.64	96.68	24.46	43.32	31.9	33.3	45.53	43.02	46.84	42.41	30.34	23.25	39.22	35.5	27.44	55.89	40.36	50.98	45.21	41.52	43.32	35.25	45.53	65.26	50.98	45.21	47.5	54.72	47.5	67.59	68.55	48.52	42.11	40.64	57.49	29.27	57.49	44.57	42.11	46.18	47.5	77.79	49.91	46.5	52.82	47.17	44.89	43.94	59.55	61.25	59.13	52.45	33.06	40.07	28.04	47.5	33.3	64.8	43.32	21.16	30.78	34.02	46.18	52.08	66.65	53.95	48.87
