	TCGA.FD.A62P.01A.32R.A30C.07	TCGA.ZF.AA4V.01A.11R.A38B.07	TCGA.UY.A78L.01A.12R.A33J.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.E7.A3Y1.01A.11R.A22U.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.BH.A0B3.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BI.A0VS.01A.11R.A10U.07	TCGA.MA.AA3X.01A.22R.A42S.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.LN.A49W.01A.11R.A260.31	TCGA.IG.A5B8.01A.11R.A28J.31	TCGA.LN.A4A3.01A.11R.A260.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.R6.A6L6.01B.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.VR.A8EW.01A.11R.A36D.31	TCGA.IG.A3YC.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.R6.A6KZ.01A.11R.A31P.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.ZVE2.1326.SM.5NQ94	GTEX.ZZPT.1426.SM.5N9C5	GTEX.ZAB4.1126.SM.5HL86	GTEX.11DZ1.2026.SM.5A5KG	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.HD.A633.01A.11R.A28V.07	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.CV.7416.11A.01R.2081.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.33.4589.01A.01R.1443.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
PASK	94.01	120.94	106.63	58.3	46.5	426.57	50.63	110.43	206.94	112.77	131.51	178.77	260.38	49.21	237.86	234.57	87.65	92.7	55.89	115.97	46.5	108.9	127.0	86.43	126.12	450.94	231.32	33.78	334.46	551.56	115.97	177.53	128.79	100.83	156.59	100.13	511.0	85.82	183.82	336.79	444.72	497.0	392.44	40.07	43.02	36.01	43.32	54.72	65.72	61.25	26.86	22.1	8.65	72.52	28.24	30.34	24.46
PAXBP1	384.34	273.37	163.28	142.01	148.09	633.73	279.14	204.07	149.12	223.41	262.2	255.0	638.15	218.79	438.59	579.04	376.41	379.04	287.01	423.61	325.29	353.59	343.89	358.54	529.06	493.56	420.68	379.04	629.35	947.83	353.59	409.15	279.14	325.29	500.46	279.14	651.58	368.65	332.14	665.29	854.13	480.04	629.35	120.1	105.15	67.12	87.03	94.67	173.85	167.9	156.59	44.25	62.56	103.69	121.79	108.9	100.13
PHKA2	190.34	318.57	397.93	154.42	128.79	890.44	368.65	493.56	190.34	511.0	297.17	271.48	551.56	293.07	366.09	447.82	368.65	336.79	205.5	224.97	314.17	303.44	312.0	248.0	332.14	323.03	384.34	412.0	343.89	693.58	332.14	285.03	361.04	381.68	466.88	279.14	915.51	332.14	376.41	738.29	1991.0	693.58	941.27	106.63	110.43	96.01	73.54	199.85	158.79	175.07	121.79	134.3	53.95	140.04	135.24	137.14	99.43
PHYKPL	273.37	277.2	381.68	353.59	341.51	941.27	208.38	249.73	275.28	336.79	536.45	759.08	1001.93	497.0	872.1	679.29	728.11	540.19	595.34	647.07	480.04	878.17	684.02	587.13	607.87	1081.39	612.11	607.87	780.44	1066.48	624.99	825.0	860.08	518.15	743.43	571.05	1191.69	703.28	638.15	1551.09	2271.4	1605.83	2133.97	231.32	232.94	255.0	312.0	356.05	381.68	264.03	273.37	239.52	135.24	279.14	201.25	215.77	197.09
PLGLB1	13.52	78.34	20.56	14.03	15.0	204.07	33.54	46.84	84.04	16.39	9.34	71.0	150.17	92.05	55.49	118.43	88.26	82.87	23.59	35.5	37.59	79.45	73.54	111.99	138.1	85.22	92.7	66.18	105.89	255.0	110.43	98.73	65.26	54.33	74.58	17.25	285.03	27.64	54.33	111.99	264.03	115.97	111.21	5.96	5.87	1.38	8.25	11.3	5.32	8.32	11.82	23.93	3.38	10.16	2.48	5.15	11.91
PNISR	248.0	708.18	665.29	320.8	414.87	2384.37	728.11	791.35	616.37	961.07	693.58	981.29	2520.38	2075.59	2032.85	3060.45	1304.15	1369.04	684.02	1745.2	954.43	2178.83	1143.1	1963.57	2351.53	2976.74	3146.52	2148.82	2335.28	3874.05	1378.57	1369.04	1388.16	791.35	3212.66	1304.15	2855.44	1183.45	1015.93	3491.39	4419.52	3146.52	3280.18	177.53	176.29	244.57	253.23	486.75	521.76	450.94	341.51	244.57	100.13	358.54	248.0	215.77	228.13
PNN	599.49	703.28	688.78	447.82	486.75	1923.14	483.38	802.41	684.02	1745.2	890.44	1015.93	2209.26	1697.45	2178.83	1697.45	1037.29	1594.73	995.0	1936.53	1119.56	1605.83	1059.11	1870.53	1844.76	2682.69	2417.67	1923.14	4210.15	2609.3	921.88	1417.35	1857.6	1437.15	2351.53	1709.26	2178.83	1259.69	967.76	2816.11	4607.24	2178.83	3190.46	202.66	392.44	279.14	525.39	651.58	748.61	890.44	341.51	186.4	115.97	511.0	463.65	373.81	414.87
PPP1R3E	94.01	146.03	115.97	64.8	53.95	414.87	91.41	114.36	136.19	163.28	267.73	234.57	353.59	143.01	223.41	226.54	214.27	297.17	75.64	195.72	155.5	312.0	217.27	151.22	242.88	309.83	329.84	156.59	312.0	318.57	244.57	159.9	223.41	221.86	275.28	226.54	226.54	248.0	181.28	473.41	607.87	429.54	447.82	41.81	36.79	39.5	29.27	39.22	50.27	62.12	43.02	67.59	23.59	48.87	65.26	59.97	41.81
RBFOX3	6.73	3.76	2.86	0.65	0.0	0.77	0.0	1.51	0.49	1.97	0.55	0.54	41.22	0.0	26.47	12.45	283.05	26.86	6.89	6.78	0.0	13.03	559.28	40.07	122.64	21.47	85.22	11.21	150.17	26.1	197.09	9.78	21.16	53.19	40.07	27.25	98.73	599.49	842.36	28.24	19.68	133.36	29.27	0.59	0.0	0.0	0.0	0.51	0.54	3.35	0.0	0.0	0.0	5.77	0.28	0.0	0.49
RNF207	376.41	159.9	116.78	50.27	84.04	1135.2	57.49	34.75	483.38	143.01	111.99	220.32	896.64	281.09	753.83	808.0	514.56	848.22	155.5	409.15	500.46	181.28	303.44	791.35	656.11	1540.37	921.88	612.11	642.59	454.09	387.02	669.92	283.05	339.14	796.86	358.54	878.17	420.68	414.87	1286.18	1331.57	1167.14	1127.35	9.7	9.06	12.0	9.7	295.11	157.68	85.82	41.52	11.3	12.27	77.25	139.07	46.18	9.63
RP4-583P15.15	56.68	55.1	68.55	31.0	10.88	138.1	36.53	63.89	41.22	24.99	46.5	53.57	189.02	56.28	128.79	141.02	98.73	87.65	43.63	57.08	79.45	67.59	118.43	148.09	97.36	78.89	92.7	135.24	165.57	152.28	75.11	87.65	88.88	70.51	114.36	63.0	191.67	49.91	67.59	104.42	185.11	111.99	92.7	2.58	5.59	7.57	13.93	28.04	31.0	19.39	15.45	15.56	2.76	16.39	7.69	5.73	5.15
S100A11	185362.8	345900.08	214407.12	140478.49	267651.2	256748.15	234624.45	233003.78	353168.2	386469.83	244588.0	215898.44	102836.01	951601.81	217400.14	258533.99	303217.87	1187913.85	334117.42	925580.18	443937.41	411347.03	394590.4	355624.68	202841.44	610654.84	233003.78	731246.37	251464.33	155870.75	636586.81	711250.37	397335.0	286861.53	209994.66	267651.2	46019.85	800198.39	1100706.72	109455.64	70238.75	102836.01	84694.64	67846.12	109455.64	80683.28	125731.67	171754.88	180294.02	150561.19	137587.47	70727.3	162489.97	226632.25	185362.8	148488.36	195931.88
SMARCC2	583.07	361.04	470.14	295.11	708.18	860.08	316.37	563.18	450.94	921.88	624.99	518.15	1313.23	703.28	1081.39	872.1	1225.22	660.68	808.0	743.43	947.83	607.87	728.11	890.44	1175.27	830.75	1407.55	1119.56	866.07	1088.92	1151.06	988.12	1159.07	1023.0	1015.93	559.28	1709.26	728.11	1037.29	1331.57	1923.14	1467.37	1286.18	151.22	500.46	476.71	551.56	587.13	441.64	432.53	346.29	114.36	283.05	547.75	503.95	551.56	260.38
SPIN3	50.63	51.35	67.59	16.03	16.27	128.79	31.9	39.5	34.75	15.56	43.94	40.07	127.89	37.59	105.89	90.77	72.52	73.03	10.71	13.72	8.25	54.33	67.59	73.54	71.0	172.65	95.34	106.63	70.01	120.94	82.29	70.51	106.63	121.79	70.51	47.84	170.25	94.01	73.54	211.31	281.09	198.47	162.14	22.1	7.88	13.52	5.87	1.85	1.57	16.88	23.25	0.0	2.43	6.78	5.11	6.57	1.45
SRGAP2	381.68	961.07	507.46	480.04	796.86	435.55	237.86	575.03	511.0	629.35	733.19	629.35	1175.27	551.56	981.29	723.08	808.0	708.18	420.68	764.36	660.68	476.71	480.04	595.34	954.43	1015.93	1457.23	819.3	902.89	1127.35	813.63	836.53	587.13	954.43	1030.12	934.76	915.51	633.73	890.44	872.1	1143.1	836.53	780.44	318.57	353.59	454.09	417.77	423.61	406.31	218.79	241.19	190.34	389.72	490.14	312.0	336.79	406.31
SRSF11	808.0	1135.2	1143.1	708.18	1030.12	2915.45	1709.26	2384.37	941.27	2664.15	1977.24	1806.78	4181.07	2384.37	3515.68	3901.01	2875.3	2400.97	2485.67	3589.58	2351.53	6294.04	2351.53	3325.99	4671.57	6983.79	3235.01	4450.27	6792.79	6337.83	2835.7	2976.74	2193.99	2520.38	5219.6	2739.08	4512.4	2915.45	2224.63	4607.24	3955.48	5006.93	3742.05	764.36	947.83	915.51	1073.91	1639.59	1313.23	1277.29	1233.75	642.59	379.04	1096.5	974.5	684.02	848.22
STK36	121.79	209.84	177.53	82.87	121.79	1331.57	154.42	164.42	135.24	173.85	111.21	256.78	860.08	197.09	802.41	759.08	525.39	353.59	166.73	307.69	297.17	348.71	547.75	860.08	587.13	1059.11	599.49	353.59	1088.92	1051.79	669.92	587.13	543.96	346.29	743.43	314.17	1628.26	406.31	579.04	1127.35	1977.24	1175.27	1359.57	48.52	72.01	33.78	57.49	68.55	84.63	125.24	77.25	53.95	39.79	66.65	74.06	94.01	60.82
STX16	500.46	463.65	525.39	256.78	414.87	1721.16	454.09	420.68	583.07	796.86	638.15	575.03	2485.67	684.02	2104.58	1477.58	1081.39	1159.07	830.75	1199.98	1199.98	860.08	1088.92	1639.59	1540.37	1498.22	1359.57	1662.49	1277.29	2287.2	1199.98	954.43	1127.35	921.88	1331.57	1175.27	2400.97	1037.29	988.12	1519.15	1378.57	1540.37	1685.71	343.89	283.05	435.55	438.59	500.46	507.46	426.57	249.73	403.5	178.77	395.18	334.46	287.01	214.27
TRIM52	66.18	92.7	88.26	48.52	94.01	409.15	80.01	77.25	102.97	96.01	90.77	139.07	373.81	158.79	285.03	208.38	146.03	139.07	75.11	153.34	98.73	181.28	145.02	173.85	157.68	381.68	234.57	176.29	361.04	521.76	152.28	119.26	176.29	102.97	186.4	181.28	616.37	130.6	119.26	466.88	486.75	318.57	346.29	40.07	28.24	35.0	36.27	63.89	56.68	40.36	33.06	16.63	18.03	33.78	33.3	35.5	23.42
UVSSA	60.82	32.59	109.66	32.13	33.54	223.41	70.01	45.85	92.05	89.51	38.67	32.82	185.11	70.51	140.04	139.07	155.5	91.41	100.13	139.07	73.54	66.65	206.94	102.25	132.44	172.65	124.37	90.77	142.01	234.57	135.24	194.36	164.42	66.18	153.34	55.1	153.34	173.85	144.01	325.29	180.02	518.15	166.73	17.38	47.84	75.64	38.4	38.12	64.34	44.89	29.7	16.39	18.97	49.56	25.72	35.76	22.26
WASH4P	173.85	642.59	281.09	392.44	224.97	995.0	283.05	157.68	275.28	253.23	277.2	450.94	651.58	476.71	540.19	616.37	423.61	947.83	249.73	441.64	450.94	1104.13	406.31	529.06	466.88	909.17	420.68	878.17	961.07	890.44	376.41	400.71	511.0	521.76	743.43	483.38	995.0	406.31	246.28	684.02	1008.9	1233.75	1051.79	98.04	120.1	111.99	145.02	171.45	212.78	181.28	103.69	88.88	30.12	141.02	84.63	76.71	70.01
WDR27	73.54	202.66	244.57	129.69	100.13	780.44	167.9	78.89	339.14	177.53	161.02	232.94	753.83	358.54	808.0	872.1	633.73	884.29	346.29	490.14	470.14	432.53	356.05	490.14	854.13	825.0	753.83	559.28	796.86	1151.06	656.11	543.96	356.05	329.84	723.08	587.13	1104.13	397.93	629.35	1286.18	1674.06	1183.45	967.76	53.19	30.78	40.64	53.57	98.04	273.37	119.26	69.03	58.3	19.82	82.29	45.85	57.89	63.45
ZBTB26	34.02	55.49	48.52	18.43	29.91	136.19	27.05	42.71	35.5	60.82	43.94	55.1	127.89	32.82	129.69	118.43	65.26	88.88	53.95	70.51	49.56	61.68	59.55	72.52	105.15	159.9	100.13	130.6	221.86	218.79	67.12	71.5	106.63	59.97	102.97	98.73	169.07	61.68	52.45	163.28	169.07	135.24	127.89	34.51	16.03	29.7	17.51	33.3	27.64	24.46	29.7	24.28	19.82	20.56	21.94	21.63	17.64
ZC3H7A	307.69	1044.52	403.5	264.03	384.34	521.76	518.15	612.11	305.55	693.58	559.28	490.14	967.76	698.41	884.29	748.61	387.02	403.5	514.56	579.04	307.69	387.02	291.04	607.87	642.59	896.64	796.86	1030.12	775.05	796.86	348.71	470.14	285.03	612.11	638.15	368.65	1359.57	387.02	241.19	713.11	759.08	559.28	866.07	269.6	256.78	251.48	409.15	420.68	466.88	209.84	178.77	256.78	197.09	199.85	241.19	182.55	248.0
ZDBF2	3.38	13.93	1.6	0.96	10.31	3.72	6.73	4.13	0.42	3.5	26.28	7.22	78.34	9.7	23.76	34.75	17.51	19.39	19.53	3.82	20.86	7.94	19.97	24.99	30.56	37.05	48.18	18.29	60.39	71.0	26.28	13.62	45.85	32.59	32.36	10.39	46.18	20.56	24.63	71.5	55.49	42.71	43.94	7.4	11.91	8.85	32.13	6.41	22.1	8.78	6.62	8.71	12.64	3.41	7.57	9.78	2.56
ZFC3H1	497.0	291.04	289.02	183.82	368.65	1167.14	177.53	223.41	500.46	525.39	255.0	507.46	1250.98	743.43	813.63	902.89	684.02	563.18	500.46	796.86	536.45	363.56	480.04	884.29	836.53	1457.23	1208.34	738.29	813.63	2193.99	728.11	647.07	575.03	447.82	974.5	669.92	1127.35	497.0	571.05	2090.03	1477.58	1674.06	1369.04	95.34	124.37	189.02	167.9	327.56	320.8	287.01	109.66	26.67	32.59	234.57	107.38	121.79	186.4
ZNF169	13.52	43.02	19.68	8.78	21.63	90.14	17.64	31.45	14.78	37.05	22.1	46.5	140.04	21.94	87.03	75.64	49.56	66.18	38.4	72.52	26.28	42.11	55.49	49.56	62.12	113.56	113.56	45.53	93.35	151.22	57.08	59.13	64.34	30.34	59.55	91.41	97.36	42.71	43.94	161.02	156.59	154.42	109.66	15.22	7.57	12.0	10.63	18.43	10.71	8.85	14.89	7.0	2.25	10.71	9.34	7.69	7.82
ZNF224	78.89	121.79	110.43	51.35	75.64	518.15	82.29	175.07	61.68	152.28	115.16	152.28	231.32	171.45	237.86	423.61	234.57	133.36	163.28	172.65	163.28	152.28	234.57	217.27	253.23	423.61	334.46	220.32	251.48	521.76	224.97	169.07	236.21	127.89	255.0	346.29	583.07	234.57	199.85	480.04	1073.91	493.56	463.65	44.89	55.49	52.45	71.5	119.26	110.43	50.98	67.12	21.32	30.12	55.89	45.85	49.56	26.67
ZNF354B	39.5	96.01	177.53	74.06	55.1	381.68	58.3	54.72	91.41	214.27	120.1	186.4	366.09	164.42	220.32	185.11	167.9	139.07	146.03	220.32	193.01	164.42	164.42	255.0	154.42	236.21	218.79	177.53	277.2	412.0	151.22	114.36	185.11	127.89	205.5	176.29	336.79	212.78	170.25	441.64	591.22	289.02	392.44	34.75	18.16	36.53	57.49	75.64	75.11	73.03	58.71	23.08	15.45	15.8	34.26	29.48	20.86
ZRANB2	438.59	595.34	660.68	368.65	575.03	988.12	738.29	583.07	432.53	830.75	638.15	819.3	1674.06	620.67	1295.13	1359.57	825.0	665.29	1104.13	1304.15	802.41	842.36	808.0	1477.58	1407.55	2645.74	1088.92	1397.83	2090.03	2090.03	1001.93	896.64	684.02	688.78	1757.34	1015.93	1896.65	890.44	603.67	1242.34	1340.84	1313.23	1066.48	547.75	329.84	309.83	429.54	713.11	679.29	381.68	647.07	563.18	251.48	351.14	323.03	281.09	218.79
