	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.EM.A4FU.01A.11R.A250.07	TCGA.KS.A4ID.01A.11R.A250.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.EM.A3FP.01A.11R.A21D.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11NSD.0126.SM.5987F	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.PX3G.2626.SM.2I3EG	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QMRM.0726.SM.2I5G8	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
NFATC3	144.01	58.71	118.43	127.89	106.63	125.24	110.43	102.25	57.49	74.06	125.24	88.26	115.16	180.02	144.01	126.12	108.14	217.27	189.02	135.24	343.89	348.71	185.11	312.0	253.23	351.14	521.76	395.18	202.66	158.79	356.05	209.84	178.77	291.04	178.77	287.01	275.28	289.02	275.28	165.57	486.75	283.05	309.83	277.2	134.3	309.83	400.71	164.42	181.28	351.14	327.56	518.15	486.75	307.69	249.73	205.5	244.57	414.87	389.72	271.48	228.13	201.25
NRBF2	275.28	275.28	277.2	275.28	214.27	265.87	265.87	332.14	229.72	176.29	215.77	273.37	226.54	285.03	199.85	264.03	236.21	258.57	260.38	241.19	325.29	529.06	307.69	429.54	341.51	423.61	341.51	435.55	351.14	301.33	368.65	361.04	285.03	334.46	312.0	366.09	339.14	356.05	432.53	314.17	529.06	307.69	490.14	429.54	251.48	379.04	441.64	400.71	363.56	423.61	463.65	381.68	438.59	358.54	285.03	381.68	341.51	275.28	490.14	314.17	373.81	325.29
NSD1	301.33	128.79	231.32	224.97	264.03	195.72	208.38	158.79	135.24	202.66	231.32	169.07	199.85	206.94	214.27	234.57	208.38	318.57	281.09	212.78	483.38	414.87	108.14	351.14	361.04	432.53	412.0	536.45	287.01	325.29	384.34	320.8	291.04	409.15	314.17	351.14	348.71	341.51	387.02	248.0	392.44	346.29	444.72	348.71	291.04	423.61	466.88	246.28	420.68	435.55	323.03	438.59	348.71	363.56	232.94	309.83	269.6	466.88	480.04	373.81	262.2	414.87
NUDCD3	1015.93	934.76	934.76	738.29	848.22	967.76	819.3	665.29	819.3	753.83	830.75	764.36	947.83	1023.0	825.0	934.76	753.83	1135.2	995.0	759.08	1417.35	1191.69	854.13	1030.12	1015.93	1340.84	1313.23	1119.56	1119.56	866.07	1322.37	1111.82	890.44	1167.14	1037.29	1322.37	1295.13	1259.69	1199.98	764.36	1397.83	1313.23	1487.87	1081.39	866.07	1135.2	1331.57	796.86	775.05	1030.12	1081.39	1529.73	1286.18	961.07	703.28	974.5	1008.9	1111.82	1331.57	1127.35	954.43	1030.12
PAXIP1	122.64	58.71	95.34	124.37	129.69	75.11	102.97	96.01	76.71	100.83	117.6	94.67	106.63	111.21	75.11	93.35	106.63	140.04	96.68	104.42	164.42	217.27	109.66	121.79	138.1	169.07	212.78	199.85	122.64	141.02	171.45	147.06	145.02	201.25	141.02	137.14	177.53	169.07	228.13	193.01	183.82	183.82	195.72	139.07	113.56	170.25	220.32	155.5	135.24	166.73	148.09	186.4	151.22	162.14	125.24	153.34	138.1	186.4	182.55	154.42	154.42	212.78
PCDH9	4.1	5.19	1.57	3.26	2.71	1.45	1.38	7.69	9.41	4.62	1.85	3.53	3.11	1.31	1.36	6.11	11.82	2.97	2.32	9.78	31.22	111.21	13.12	33.06	33.3	67.59	46.84	88.26	4.58	5.82	55.49	43.94	10.39	35.25	20.71	75.64	9.93	93.35	64.8	19.25	12.09	61.25	66.18	66.65	2.76	57.49	37.85	21.01	33.3	18.43	28.65	108.9	101.54	27.05	4.74	15.34	26.28	19.82	33.3	63.89	24.99	37.85
PHLPP2	81.71	69.52	76.17	90.77	55.89	66.18	81.71	64.34	58.71	55.89	73.03	60.39	43.63	76.17	32.13	49.91	88.26	96.01	84.63	88.88	111.99	173.85	113.56	171.45	141.02	131.51	180.02	209.84	172.65	159.9	116.78	149.12	132.44	214.27	92.05	180.02	114.36	163.28	189.02	166.73	142.01	109.66	180.02	100.13	120.1	175.07	164.42	125.24	155.5	205.5	177.53	164.42	154.42	209.84	102.97	172.65	82.29	202.66	119.26	161.02	134.3	185.11
PLAGL2	111.99	101.54	81.71	93.35	84.04	70.01	82.29	64.8	80.57	59.55	102.25	60.39	74.06	119.26	101.54	86.43	91.41	125.24	116.78	89.51	161.02	127.89	90.14	164.42	132.44	217.27	103.69	208.38	161.02	161.02	156.59	136.19	128.79	202.66	132.44	177.53	162.14	217.27	246.28	164.42	172.65	118.43	198.47	185.11	82.29	185.11	158.79	159.9	115.16	183.82	191.67	279.14	209.84	209.84	148.09	157.68	178.77	237.86	237.86	193.01	121.79	155.5
POFUT1	358.54	198.47	299.25	277.2	260.38	412.0	312.0	307.69	241.19	262.2	314.17	271.48	273.37	371.22	287.01	334.46	363.56	441.64	395.18	327.56	684.02	848.22	420.68	507.46	486.75	629.35	651.58	703.28	532.74	417.77	500.46	500.46	417.77	674.59	536.45	629.35	500.46	665.29	698.41	466.88	642.59	759.08	669.92	571.05	420.68	633.73	633.73	406.31	563.18	620.67	571.05	819.3	616.37	665.29	466.88	447.82	500.46	665.29	603.67	511.0	438.59	559.28
PRKRIR	353.59	320.8	329.84	348.71	343.89	366.09	318.57	336.79	325.29	285.03	395.18	376.41	336.79	403.5	301.33	392.44	351.14	392.44	435.55	339.14	583.07	785.88	414.87	543.96	514.56	616.37	669.92	825.0	624.99	521.76	642.59	551.56	563.18	432.53	457.25	629.35	563.18	595.34	507.46	525.39	624.99	503.95	713.11	624.99	457.25	551.56	775.05	480.04	429.54	563.18	563.18	587.13	738.29	536.45	403.5	435.55	432.53	555.41	878.17	540.19	503.95	624.99
RAB5B	1340.84	860.08	1225.22	1030.12	1216.75	921.88	915.51	718.08	748.61	934.76	988.12	633.73	872.1	1151.06	947.83	1127.35	842.36	1467.37	1183.45	947.83	2032.85	1883.54	1104.13	1721.16	2075.59	1709.26	1844.76	1950.0	1721.16	1519.15	1427.22	1697.45	1127.35	2335.28	1551.09	1540.37	1662.49	1662.49	2075.59	1304.15	2701.35	1733.13	1977.24	1561.89	1208.34	1721.16	1844.76	896.64	1769.57	2004.85	2351.53	1896.65	2193.99	1977.24	848.22	1844.76	1883.54	1794.29	2193.99	1674.06	1259.69	1397.83
RABGAP1	688.78	500.46	583.07	656.11	559.28	379.04	587.13	423.61	356.05	536.45	579.04	470.14	511.0	693.58	438.59	525.39	620.67	796.86	708.18	607.87	1001.93	1208.34	493.56	1030.12	988.12	1457.23	1081.39	1350.18	1175.27	921.88	1096.5	896.64	878.17	1277.29	836.53	896.64	1127.35	1143.1	1427.22	915.51	1044.52	791.35	1066.48	1066.48	743.43	1350.18	902.89	743.43	796.86	1508.65	1295.13	1151.06	896.64	1268.46	587.13	1081.39	872.1	1806.78	1378.57	1295.13	848.22	1037.29
RBM23	1250.98	769.69	928.3	974.5	1268.46	836.53	1066.48	848.22	708.18	1008.9	660.68	1151.06	1175.27	1359.57	808.0	1233.75	1059.11	1369.04	1066.48	1225.22	1870.53	1437.15	808.0	1806.78	1781.89	1674.06	1167.14	2018.8	1572.76	1388.16	1709.26	1617.0	1498.22	1870.53	1350.18	1583.71	1561.89	1923.14	2209.26	1359.57	1844.76	1397.83	1781.89	1331.57	1359.57	2090.03	2032.85	1519.15	1561.89	1733.13	1757.34	2047.0	1936.53	1733.13	1572.76	1617.0	1832.01	1457.23	1991.0	1950.0	1183.45	1794.29
RBMXL1	91.41	59.97	68.07	50.27	89.51	55.1	64.8	75.11	66.18	65.72	71.5	108.9	74.58	96.68	78.89	83.45	74.58	94.01	115.16	112.77	237.86	244.57	86.43	232.94	158.79	239.52	151.22	217.27	175.07	117.6	193.01	202.66	167.9	120.1	142.01	120.94	141.02	289.02	269.6	123.5	281.09	169.07	260.38	253.23	121.79	170.25	209.84	116.78	156.59	215.77	249.73	217.27	438.59	181.28	100.83	193.01	190.34	220.32	246.28	199.85	141.02	137.14
RFWD3	128.79	99.43	120.1	105.89	127.89	124.37	127.0	111.21	90.77	109.66	125.24	127.89	96.01	131.51	94.67	113.56	115.97	127.0	151.22	107.38	161.02	205.5	82.29	147.06	159.9	187.71	149.12	191.67	151.22	175.07	191.67	154.42	151.22	190.34	117.6	145.02	149.12	198.47	208.38	116.78	214.27	126.12	194.36	141.02	114.36	197.09	255.0	128.79	149.12	221.86	175.07	220.32	228.13	166.73	94.01	159.9	154.42	125.24	228.13	146.03	149.12	158.79
RNF111	214.27	242.88	271.48	231.32	260.38	166.73	239.52	201.25	171.45	202.66	217.27	236.21	262.2	309.83	180.02	248.0	223.41	287.01	297.17	226.54	312.0	358.54	193.01	358.54	368.65	500.46	287.01	438.59	384.34	323.03	287.01	327.56	316.37	376.41	361.04	329.84	373.81	397.93	373.81	221.86	332.14	205.5	346.29	329.84	237.86	397.93	423.61	336.79	356.05	381.68	406.31	373.81	503.95	329.84	356.05	289.02	277.2	307.69	414.87	318.57	256.78	285.03
RNF121	629.35	551.56	483.38	460.44	579.04	543.96	379.04	334.46	420.68	567.1	669.92	529.06	629.35	559.28	429.54	629.35	414.87	743.43	551.56	432.53	802.41	785.88	532.74	743.43	688.78	830.75	642.59	934.76	629.35	743.43	791.35	698.41	497.0	854.13	928.3	769.69	669.92	775.05	854.13	521.76	728.11	587.13	813.63	775.05	579.04	759.08	954.43	532.74	679.29	890.44	791.35	909.17	780.44	796.86	543.96	703.28	718.08	587.13	796.86	753.83	575.03	591.22
RNF20	409.15	295.11	309.83	316.37	343.89	376.41	305.55	277.2	212.78	289.02	320.8	237.86	293.07	358.54	371.22	336.79	265.87	454.09	444.72	334.46	703.28	759.08	275.28	420.68	435.55	571.05	551.56	819.3	406.31	361.04	543.96	529.06	387.02	612.11	493.56	551.56	536.45	532.74	759.08	368.65	825.0	470.14	780.44	473.41	376.41	497.0	753.83	356.05	532.74	612.11	532.74	703.28	616.37	511.0	332.14	490.14	543.96	656.11	656.11	555.41	392.44	551.56
RPL7L1	1135.2	684.02	909.17	902.89	830.75	890.44	921.88	830.75	638.15	842.36	813.63	759.08	791.35	1111.82	941.27	941.27	854.13	1175.27	1044.52	954.43	1467.37	1359.57	902.89	1151.06	1183.45	1388.16	1143.1	1437.15	1175.27	934.76	1066.48	1151.06	1001.93	1295.13	1143.1	1175.27	1088.92	1417.35	1225.22	921.88	1437.15	1183.45	1313.23	1295.13	961.07	1304.15	1540.37	1044.52	1081.39	1268.46	1295.13	1498.22	1487.87	1233.75	947.83	1143.1	1151.06	1233.75	1561.89	1183.45	1088.92	1008.9
SAP130	214.27	129.69	191.67	176.29	197.09	121.79	167.9	181.28	147.06	164.42	199.85	167.9	193.01	215.77	186.4	180.02	170.25	251.48	223.41	189.02	287.01	285.03	223.41	237.86	253.23	329.84	260.38	289.02	279.14	241.19	283.05	220.32	217.27	295.11	239.52	267.73	269.6	237.86	325.29	237.86	329.84	220.32	309.83	281.09	186.4	251.48	332.14	198.47	232.94	309.83	271.48	327.56	297.17	303.44	220.32	256.78	248.0	283.05	269.6	267.73	248.0	309.83
SCAF8	438.59	211.31	293.07	353.59	348.71	211.31	351.14	303.44	237.86	226.54	299.25	267.73	269.6	371.22	295.11	341.51	334.46	423.61	400.71	291.04	490.14	607.87	341.51	493.56	514.56	536.45	457.25	575.03	551.56	400.71	480.04	490.14	444.72	547.75	392.44	532.74	507.46	486.75	497.0	406.31	607.87	426.57	555.41	521.76	414.87	555.41	708.18	341.51	497.0	543.96	480.04	555.41	674.59	457.25	332.14	429.54	406.31	551.56	819.3	540.19	325.29	444.72
SF3A1	1594.73	1250.98	1030.12	830.75	1037.29	688.78	633.73	830.75	728.11	808.0	1175.27	902.89	860.08	1467.37	860.08	1008.9	738.29	1242.34	1447.15	1216.75	2591.27	1950.0	1073.91	2351.53	1529.73	2178.83	1674.06	1417.35	2119.22	1350.18	1991.0	1477.58	1119.56	2351.53	1769.57	2032.85	1991.0	2451.44	2796.65	1378.57	3081.75	1721.16	1769.57	1991.0	1250.98	2240.11	2796.65	1066.48	1651.0	2335.28	2193.99	2976.74	2351.53	1457.23	1059.11	1674.06	1883.54	1369.04	1870.53	1806.78	1313.23	1508.65
SMC1A	242.88	128.79	181.28	152.28	164.42	265.87	127.0	153.34	109.66	182.55	181.28	176.29	190.34	232.94	183.82	232.94	145.02	241.19	198.47	194.36	785.88	476.71	132.44	493.56	525.39	753.83	376.41	656.11	679.29	412.0	432.53	351.14	368.65	728.11	551.56	329.84	679.29	934.76	551.56	209.84	802.41	361.04	454.09	947.83	256.78	438.59	1023.0	175.07	555.41	718.08	633.73	974.5	656.11	703.28	214.27	450.94	540.19	583.07	808.0	555.41	281.09	255.0
SMC3	400.71	353.59	368.65	395.18	447.82	285.03	384.34	334.46	327.56	264.03	363.56	316.37	314.17	339.14	287.01	379.04	341.51	426.57	476.71	323.03	567.1	612.11	341.51	493.56	547.75	708.18	490.14	902.89	579.04	460.44	514.56	555.41	412.0	583.07	486.75	579.04	603.67	698.41	647.07	329.84	607.87	441.64	708.18	575.03	381.68	532.74	607.87	397.93	551.56	567.1	633.73	595.34	684.02	525.39	432.53	551.56	529.06	555.41	612.11	551.56	417.77	500.46
SMCR8	59.55	22.1	46.5	24.11	42.11	33.54	24.63	11.64	8.65	17.9	45.53	9.93	18.16	38.95	13.72	49.56	27.44	54.33	50.27	31.67	115.97	93.35	22.1	95.34	157.68	226.54	61.68	141.02	167.9	84.04	131.51	69.03	50.27	231.32	73.03	116.78	122.64	162.14	198.47	70.51	162.14	49.56	169.07	125.24	36.53	171.45	178.77	10.55	80.57	223.41	148.09	255.0	198.47	111.99	21.78	124.37	124.37	175.07	155.5	214.27	34.51	85.22
SMG8	133.36	70.01	111.99	82.29	121.79	68.55	74.06	78.89	52.82	70.51	120.1	73.54	81.71	127.0	43.02	103.69	74.58	122.64	115.97	80.57	193.01	177.53	119.26	181.28	151.22	232.94	111.21	262.2	171.45	138.1	164.42	181.28	138.1	156.59	181.28	195.72	205.5	223.41	237.86	123.5	214.27	125.24	255.0	206.94	125.24	172.65	231.32	150.17	170.25	182.55	193.01	258.57	205.5	193.01	161.02	189.02	206.94	193.01	201.25	186.4	123.5	162.14
SMIM15	718.08	493.56	563.18	708.18	679.29	587.13	660.68	629.35	536.45	529.06	599.49	514.56	514.56	684.02	728.11	647.07	620.67	825.0	808.0	647.07	1119.56	1498.22	785.88	1081.39	802.41	1037.29	1268.46	1023.0	780.44	607.87	813.63	1059.11	748.61	915.51	684.02	902.89	738.29	1023.0	974.5	808.0	1277.29	1037.29	1143.1	934.76	651.58	830.75	967.76	703.28	1081.39	878.17	909.17	974.5	902.89	830.75	775.05	974.5	872.1	902.89	1030.12	830.75	981.29	967.76
SOCS6	109.66	88.26	93.35	105.89	103.69	81.71	90.77	118.43	83.45	107.38	110.43	98.04	104.42	136.19	126.12	114.36	111.21	145.02	138.1	116.78	248.0	279.14	130.6	204.07	206.94	267.73	176.29	323.03	183.82	181.28	204.07	220.32	172.65	256.78	193.01	149.12	180.02	221.86	285.03	155.5	320.8	173.85	291.04	215.77	158.79	205.5	353.59	175.07	182.55	236.21	217.27	269.6	232.94	201.25	149.12	198.47	175.07	251.48	299.25	231.32	151.22	197.09
STAG1	211.31	133.36	142.01	185.11	198.47	116.78	169.07	129.69	120.94	135.24	148.09	138.1	148.09	171.45	170.25	191.67	186.4	228.13	231.32	161.02	361.04	483.38	208.38	212.78	376.41	332.14	412.0	460.44	309.83	186.4	291.04	348.71	209.84	361.04	212.78	316.37	232.94	318.57	341.51	191.67	420.68	312.0	376.41	336.79	218.79	262.2	389.72	193.01	271.48	320.8	336.79	366.09	400.71	389.72	198.47	241.19	234.57	307.69	420.68	336.79	258.57	246.28
TADA2B	320.8	209.84	279.14	285.03	291.04	244.57	348.71	295.11	215.77	208.38	287.01	232.94	295.11	329.84	334.46	283.05	273.37	339.14	327.56	277.2	435.55	444.72	264.03	376.41	363.56	463.65	361.04	412.0	395.18	297.17	441.64	387.02	295.11	403.5	339.14	432.53	351.14	395.18	518.15	267.73	476.71	400.71	463.65	429.54	279.14	397.93	444.72	325.29	343.89	450.94	460.44	483.38	450.94	392.44	353.59	395.18	406.31	423.61	435.55	414.87	403.5	334.46
TAF3	100.83	38.95	63.45	84.04	78.89	45.53	72.01	82.29	69.52	72.01	88.88	67.59	82.29	102.97	79.45	54.72	68.55	74.06	63.89	83.45	128.79	139.07	75.11	96.01	93.35	146.03	187.71	153.34	117.6	77.79	115.16	111.99	108.9	105.15	82.87	123.5	113.56	132.44	146.03	123.5	153.34	131.51	134.3	122.64	89.51	120.1	112.77	86.43	99.43	134.3	102.97	124.37	127.89	95.34	100.13	86.43	121.79	100.83	146.03	120.1	85.22	108.14
TBC1D5	323.03	226.54	260.38	267.73	289.02	255.0	269.6	241.19	181.28	220.32	273.37	193.01	185.11	283.05	201.25	265.87	255.0	323.03	366.09	205.5	728.11	796.86	441.64	423.61	476.71	624.99	738.29	1015.93	497.0	381.68	497.0	571.05	336.79	629.35	438.59	620.67	490.14	480.04	536.45	412.0	723.08	633.73	693.58	497.0	384.34	473.41	660.68	368.65	438.59	595.34	532.74	638.15	532.74	583.07	356.05	423.61	450.94	529.06	607.87	543.96	466.88	438.59
TCF20	341.51	173.85	318.57	185.11	190.34	255.0	172.65	283.05	220.32	249.73	242.88	256.78	248.0	368.65	389.72	299.25	309.83	318.57	389.72	348.71	563.18	483.38	246.28	476.71	392.44	460.44	358.54	392.44	384.34	366.09	392.44	429.54	297.17	529.06	381.68	463.65	346.29	480.04	532.74	279.14	603.67	295.11	511.0	420.68	356.05	412.0	579.04	269.6	476.71	500.46	387.02	490.14	525.39	476.71	224.97	454.09	379.04	414.87	463.65	460.44	287.01	339.14
TG	900270.11	348306.01	822695.06	857631.47	731246.37	711250.37	706337.4	531605.79	107203.06	794671.01	887875.81	736332.6	794671.01	985160.01	598087.73	992012.34	932018.1	1085552.95	1147449.11	906531.99	1364554.84	2068278.89	1085552.95	2247670.86	2126426.15	1273174.62	2375828.71	1204496.53	1611529.43	1493223.86	1739208.14	1634025.56	1131651.83	1838374.44	1997825.68	1984025.69	1997825.68	1290947.48	1085552.95	2986448.72	2025714.3	2425749.94	1139523.1	1929772.37	1943195.01	1727194.55	1123834.93	2636147.11	2263304.65	1775752.63	2111737.85	919186.72	1668359.93	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	1085552.95	2263304.65	2672946.37	1864037.21
TMEM209	205.5	108.14	155.5	186.4	158.79	145.02	144.01	182.55	123.5	197.09	111.99	120.1	140.04	229.72	215.77	154.42	140.04	220.32	209.84	152.28	363.56	295.11	148.09	251.48	264.03	363.56	237.86	363.56	275.28	258.57	275.28	343.89	246.28	285.03	223.41	279.14	314.17	314.17	279.14	147.06	305.55	211.31	314.17	301.33	244.57	309.83	363.56	229.72	275.28	291.04	329.84	353.59	341.51	283.05	258.57	246.28	293.07	318.57	334.46	287.01	130.6	242.88
TRMT12	183.82	136.19	161.02	163.28	178.77	151.22	191.67	155.5	127.0	158.79	143.01	109.66	217.27	215.77	172.65	217.27	161.02	197.09	185.11	191.67	258.57	239.52	134.3	223.41	242.88	309.83	158.79	253.23	190.34	211.31	229.72	208.38	204.07	269.6	206.94	242.88	273.37	281.09	289.02	150.17	287.01	156.59	287.01	277.2	136.19	215.77	275.28	195.72	209.84	236.21	236.21	273.37	229.72	246.28	199.85	191.67	255.0	202.66	249.73	262.2	175.07	211.31
TRRAP	237.86	171.45	191.67	187.71	239.52	158.79	182.55	187.71	173.85	149.12	191.67	171.45	169.07	186.4	180.02	198.47	187.71	234.57	198.47	182.55	293.07	325.29	143.01	234.57	239.52	334.46	275.28	325.29	193.01	202.66	346.29	189.02	155.5	361.04	273.37	275.28	291.04	312.0	343.89	291.04	281.09	356.05	318.57	267.73	191.67	285.03	334.46	141.02	199.85	299.25	251.48	412.0	289.02	279.14	145.02	221.86	214.27	295.11	256.78	325.29	256.78	303.44
USP1	226.54	237.86	204.07	205.5	231.32	202.66	221.86	202.66	189.02	172.65	170.25	217.27	198.47	260.38	175.07	221.86	185.11	255.0	285.03	186.4	392.44	555.41	305.55	351.14	332.14	420.68	423.61	813.63	387.02	305.55	318.57	420.68	303.44	387.02	305.55	417.77	373.81	441.64	470.14	273.37	438.59	361.04	514.56	412.0	246.28	361.04	395.18	334.46	341.51	356.05	447.82	426.57	483.38	371.22	323.03	334.46	371.22	358.54	514.56	341.51	289.02	320.8
UTP14C	173.85	79.45	169.07	147.06	131.51	194.36	147.06	83.45	63.89	169.07	141.02	118.43	132.44	170.25	114.36	194.36	113.56	206.94	180.02	148.09	432.53	414.87	126.12	269.6	293.07	343.89	291.04	473.41	262.2	195.72	258.57	392.44	239.52	256.78	253.23	271.48	289.02	348.71	363.56	161.02	423.61	269.6	435.55	283.05	176.29	309.83	441.64	273.37	320.8	279.14	271.48	387.02	389.72	281.09	217.27	249.73	281.09	287.01	503.95	356.05	185.11	241.19
VEZF1	693.58	493.56	480.04	503.95	599.49	403.5	441.64	297.17	371.22	371.22	567.1	493.56	476.71	503.95	363.56	571.05	457.25	669.92	624.99	441.64	915.51	1268.46	591.22	921.88	915.51	1119.56	825.0	1651.0	967.76	785.88	1073.91	961.07	620.67	921.88	651.58	988.12	890.44	1104.13	1551.09	738.29	1322.37	693.58	1407.55	941.27	429.54	1151.06	1159.07	595.34	708.18	1127.35	1268.46	1388.16	1477.58	967.76	476.71	728.11	733.19	872.1	1127.35	884.29	466.88	872.1
ZBTB39	46.18	29.7	39.5	45.85	45.53	25.35	32.59	41.81	27.64	28.45	37.85	22.43	25.54	44.89	30.78	24.63	40.64	50.27	50.63	31.9	65.72	64.8	36.01	46.18	59.13	78.89	26.28	85.82	73.54	59.97	59.55	55.49	61.68	70.01	49.56	52.82	69.52	67.59	95.34	49.91	92.7	40.07	78.89	68.55	37.59	63.45	95.34	48.52	52.08	78.34	57.89	70.01	61.25	66.18	39.22	45.85	58.71	66.18	66.65	74.06	50.63	63.0
ZBTB6	78.34	57.08	65.72	72.01	82.87	64.34	62.12	68.07	38.95	67.12	66.65	46.5	65.26	85.82	53.19	81.14	70.51	87.03	78.34	56.28	133.36	128.79	74.06	115.97	124.37	153.34	90.77	236.21	134.3	99.43	108.14	148.09	111.21	108.14	91.41	96.01	115.97	123.5	129.69	90.14	131.51	60.39	171.45	118.43	89.51	113.56	148.09	133.36	98.73	122.64	129.69	134.3	122.64	175.07	98.73	143.01	102.25	135.24	181.28	131.51	87.65	111.21
ZC3H4	409.15	193.01	253.23	309.83	348.71	228.13	301.33	295.11	242.88	224.97	366.09	223.41	262.2	358.54	299.25	291.04	348.71	525.39	409.15	323.03	674.59	406.31	264.03	532.74	536.45	603.67	307.69	493.56	507.46	423.61	583.07	486.75	400.71	457.25	507.46	529.06	417.77	587.13	532.74	289.02	567.1	420.68	483.38	493.56	460.44	466.88	616.37	363.56	473.41	532.74	466.88	607.87	536.45	426.57	329.84	441.64	470.14	486.75	470.14	490.14	318.57	507.46
ZKSCAN2	43.63	16.75	29.91	33.54	30.34	26.86	31.45	25.17	23.76	18.16	33.06	24.81	32.13	31.22	29.06	38.4	28.86	40.36	41.81	25.91	48.52	67.59	34.02	48.52	55.1	63.89	38.95	67.59	61.68	42.71	47.84	43.32	46.5	58.3	49.91	60.82	53.95	48.87	65.26	44.25	59.13	45.53	59.55	57.89	38.67	62.12	78.89	52.82	38.12	57.89	59.97	77.79	65.72	65.26	57.08	45.53	47.17	61.25	77.79	73.03	40.93	54.33
ZNF112	61.25	31.45	59.13	59.97	73.03	47.5	56.28	54.33	40.64	48.52	61.25	46.5	38.12	71.5	35.76	53.57	61.68	77.25	66.18	47.84	85.82	138.1	70.51	78.34	98.73	98.04	85.82	133.36	67.59	86.43	72.01	77.25	76.71	115.16	57.89	108.14	80.57	77.79	144.01	116.78	94.01	76.71	100.13	95.34	68.07	101.54	114.36	73.54	104.42	117.6	102.97	131.51	82.87	100.13	52.82	96.01	87.03	120.1	89.51	104.42	121.79	90.77
ZNF134	195.72	156.59	141.02	158.79	185.11	110.43	124.37	112.77	123.5	113.56	152.28	122.64	129.69	178.77	123.5	139.07	146.03	199.85	190.34	130.6	287.01	314.17	223.41	258.57	224.97	363.56	234.57	305.55	237.86	221.86	224.97	275.28	181.28	258.57	241.19	224.97	242.88	295.11	351.14	246.28	275.28	166.73	329.84	258.57	132.44	256.78	295.11	176.29	177.53	329.84	258.57	361.04	285.03	305.55	187.71	253.23	265.87	346.29	309.83	232.94	187.71	264.03
ZNF146	651.58	525.39	540.19	624.99	656.11	480.04	567.1	480.04	476.71	525.39	540.19	543.96	514.56	642.59	412.0	624.99	595.34	665.29	718.08	503.95	921.88	1191.69	693.58	669.92	753.83	688.78	1023.0	1242.34	743.43	599.49	785.88	866.07	796.86	693.58	647.07	808.0	723.08	928.3	802.41	785.88	1183.45	769.69	981.29	896.64	693.58	896.64	1051.79	571.05	759.08	743.43	764.36	954.43	1096.5	961.07	595.34	660.68	624.99	764.36	1259.69	791.35	703.28	981.29
