	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.QDVN.0826.SM.48TZ2	GTEX.13113.1326.SM.5GCOI	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.12WSD.0826.SM.5GCNE	GTEX.X5EB.0426.SM.46MVY	GTEX.YECK.0926.SM.4W214	GTEX.11UD2.0726.SM.5EQ69	GTEX.12WSE.0826.SM.5S2VL	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	GTEX.12ZZY.0926.SM.5EQ6I	GTEX.11ZUS.0126.SM.5EQM5	GTEX.145MN.0926.SM.5NQBT	GTEX.ZPU1.0926.SM.57WDO	GTEX.XBEW.0226.SM.4AT6A	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.11ZTT.0626.SM.5EQLM
SOX8	2.12	3.03	0.78	1.75	0.0	1.23	3.41	0.38	0.0	0.34	9.78	4.5	23.76	4.94	15.11	8.19	9.93	46.84	16.88	36.27	10.79	0.27	5.73	7.94	4.54	59.97	2.84
STMN1	473.41	567.1	791.35	215.77	275.28	303.44	164.42	169.07	7485.11	400.71	3874.05	866.07	4268.94	2855.44	2758.13	493.56	2485.67	3690.52	1844.76	3589.58	2303.12	1628.26	2956.17	1857.6	3443.31	5366.37	5711.87
TAF5L	204.07	226.54	172.65	198.47	153.34	327.56	186.4	150.17	0.0	0.22	346.29	199.85	466.88	376.41	267.73	256.78	346.29	325.29	432.53	409.15	228.13	420.68	463.65	444.72	301.33	371.22	412.0
TCEAL7	8.51	15.56	9.85	8.99	18.97	12.93	10.24	7.88	0.0	0.26	127.89	53.95	163.28	125.24	529.06	51.35	995.0	1044.52	96.01	255.0	417.77	140.04	112.77	96.68	234.57	1127.35	197.09
TGFB2	12.18	14.35	9.56	2.97	10.88	93.35	11.04	7.4	0.0	0.21	134.3	389.72	738.29	64.34	267.73	251.48	563.18	1015.93	100.83	1183.45	258.57	136.19	521.76	208.38	647.07	1781.89	246.28
TTC19	297.17	356.05	406.31	381.68	271.48	312.0	366.09	314.17	567.1	157.68	902.89	395.18	1135.2	616.37	988.12	532.74	647.07	1127.35	490.14	988.12	1322.37	759.08	961.07	743.43	974.5	1477.58	733.19
USPL1	120.1	132.44	114.36	90.14	43.94	83.45	126.12	110.43	0.0	0.38	204.07	189.02	271.48	208.38	256.78	171.45	587.13	1331.57	265.87	260.38	231.32	214.27	232.94	151.22	224.97	1733.13	136.19
VASH2	2.34	15.8	10.24	3.86	0.0	7.82	4.46	7.17	0.0	0.28	11.64	10.0	95.34	27.64	58.71	41.52	44.25	142.01	73.03	116.78	23.08	64.34	49.21	56.28	60.82	265.87	31.22
VEZT	339.14	480.04	287.01	291.04	166.73	532.74	351.14	281.09	0.0	0.58	947.83	796.86	1286.18	1233.75	981.29	435.55	1216.75	1529.73	995.0	1397.83	1143.1	775.05	1044.52	620.67	1015.93	1369.04	1242.34
WDR61	902.89	819.3	728.11	688.78	688.78	1081.39	802.41	483.38	866.07	571.05	1437.15	890.44	1104.13	1135.2	1350.18	1359.57	2133.97	4704.07	1199.98	1397.83	974.5	1331.57	1628.26	1397.83	1286.18	6516.03	1487.87
XCL2	33.3	14.35	48.18	0.0	58.71	41.22	0.0	17.77	0.0	0.0	62.12	73.54	429.54	40.93	143.01	234.57	503.95	466.88	97.36	177.53	84.04	77.79	119.26	43.32	58.3	813.63	42.71
ZNF10	70.01	100.13	50.27	58.3	16.27	34.02	39.22	50.98	0.0	0.25	100.13	42.11	187.71	191.67	217.27	50.63	256.78	237.86	244.57	358.54	255.0	202.66	117.6	206.94	214.27	543.96	149.12
ZNF184	25.35	28.04	28.45	23.08	9.27	27.05	21.01	32.13	0.0	0.06	72.52	49.21	180.02	99.43	70.01	52.82	256.78	194.36	142.01	198.47	56.28	108.14	131.51	66.18	195.72	141.02	64.34
ZNF326	234.57	236.21	309.83	190.34	93.35	228.13	195.72	99.43	0.0	0.72	262.2	287.01	426.57	185.11	312.0	412.0	258.57	395.18	309.83	500.46	454.09	244.57	183.82	134.3	336.79	713.11	258.57
ZNF460	5.68	9.48	4.78	4.66	8.58	17.9	7.46	9.78	0.0	0.18	28.04	52.82	50.63	23.08	35.0	62.12	70.51	113.56	21.01	63.45	59.55	12.09	32.82	14.89	26.67	68.55	13.12
ZNF711	3.79	2.12	6.21	2.39	1.3	9.13	8.51	2.68	0.0	0.37	21.16	16.15	45.85	60.39	132.44	15.22	80.01	149.12	111.21	215.77	76.71	87.03	63.89	111.21	74.06	334.46	127.0
ZNF850	2.29	4.43	4.7	2.46	2.39	3.17	2.89	5.15	0.0	0.39	10.08	15.0	24.63	11.73	12.45	20.56	20.26	27.64	19.25	22.75	23.08	5.68	6.73	6.01	9.13	41.22	24.46
ZSCAN31	40.93	68.07	60.39	68.55	50.27	50.98	100.13	21.47	0.0	0.08	164.42	48.52	283.05	172.65	234.57	85.82	220.32	1001.93	389.72	607.87	90.14	256.78	1583.71	379.04	679.29	642.59	265.87
