	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.Y5V6.0226.SM.4V6G7	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.O5YW.0526.SM.2YUMX	GTEX.XV7Q.0426.SM.4BRVN	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.SNOS.0426.SM.32PMH	GTEX.P4PQ.0526.SM.2HMKR	GTEX.12WSJ.0226.SM.5GCP7	GTEX.139YR.0926.SM.5LZYB	GTEX.QDVJ.0926.SM.2I5FU	GTEX.13O21.3026.SM.5J2NI	GTEX.147F3.0726.SM.5NQ9U	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.1339X.0626.SM.5IJER	GTEX.13VXT.1426.SM.5LU4B	GTEX.Q2AH.0426.SM.2I3EP	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.QCQG.0326.SM.2I3ES	GTEX.UJMC.0726.SM.3GADX	GTEX.QEG5.1126.SM.33HC2	GTEX.11WQK.2926.SM.5EQKT
RANBP3L	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	118.43	32.82	46.18	108.9	5.45	65.26	0.05	18.16	52.45	21.94	25.35	18.97	24.63	33.78	12.64	20.26	4.21	45.53	28.65	14.89	45.85	8.58	11.3	20.86	9.48	6.21	107.38	14.67	91.41	78.34	20.41	0.0
RERG	7.82	13.62	6.89	16.75	2.25	2.39	7.0	0.0	0.41	563.18	98.04	708.18	521.76	32.13	206.94	36.01	130.6	281.09	87.03	96.68	130.6	327.56	329.84	229.72	234.57	37.05	346.29	283.05	277.2	194.36	55.1	151.22	185.11	10.88	204.07	307.69	49.91	366.09	241.19	145.02	24.11
RETSAT	759.08	743.43	808.0	981.29	583.07	460.44	890.44	0.0	0.31	1268.46	1487.87	2061.24	1769.57	551.56	1685.71	785.88	1378.57	1745.2	1498.22	785.88	1498.22	1583.71	1331.57	1199.98	1322.37	656.11	1397.83	1111.82	1487.87	1870.53	1417.35	1628.26	1397.83	1030.12	1081.39	1697.45	1208.34	1225.22	1519.15	796.86	1030.12
RPRD2	127.89	244.57	316.37	358.54	133.36	256.78	159.9	214.27	229.72	438.59	316.37	376.41	759.08	165.57	483.38	173.85	309.83	521.76	255.0	291.04	389.72	470.14	303.44	182.55	441.64	166.73	500.46	525.39	559.28	356.05	312.0	291.04	403.5	253.23	260.38	693.58	353.59	575.03	361.04	371.22	134.3
SCN7A	0.0	0.0	0.0	1.81	0.0	0.0	0.74	0.0	0.42	1605.83	1059.11	1277.29	2209.26	17.9	1088.92	4.24	599.49	2935.74	409.15	24.46	60.39	1030.12	902.89	607.87	567.1	239.52	2555.58	353.59	698.41	2537.92	171.45	414.87	420.68	22.1	334.46	3190.46	684.02	3146.52	1697.45	293.07	2.78
SEPT4	175.07	78.34	121.79	39.22	56.68	22.75	103.69	0.0	0.42	878.17	1051.79	1359.57	785.88	384.34	1277.29	92.7	277.2	1359.57	684.02	232.94	214.27	651.58	884.29	483.38	688.78	547.75	921.88	780.44	629.35	836.53	271.48	679.29	507.46	169.07	229.72	507.46	363.56	981.29	1277.29	239.52	26.67
SETMAR	205.5	84.04	62.12	123.5	30.34	49.91	120.94	0.0	0.0	470.14	264.03	334.46	387.02	234.57	316.37	104.42	323.03	473.41	316.37	173.85	241.19	514.56	281.09	316.37	159.9	232.94	412.0	397.93	532.74	353.59	236.21	269.6	387.02	301.33	312.0	435.55	281.09	389.72	450.94	150.17	97.36
SFTPB	5.41	0.0	56.68	0.0	1.14	1.43	0.0	22692.63	50709.61	1545882.32	3383299.76	3049200.37	3290783.22	343510.77	2617937.91	1929772.37	1890058.21	1813064.98	2310861.52	565825.41	2111737.85	2691538.19	1355129.16	2408994.05	2825352.59	1503610.06	2884719.27	1903204.61	2691538.19	3223059.86	2845004.48	3156730.23	5057523.59	2493947.08	2068278.89	2599854.48	3245478.02	1600397.78	2216726.5	2546350.23	11.91
SHC3	57.49	2.27	9.48	9.56	1.73	3.66	1.17	0.0	0.11	218.79	105.89	161.02	277.2	40.36	183.82	47.84	189.02	130.6	96.68	73.03	115.97	249.73	101.54	67.59	224.97	90.77	76.17	176.29	281.09	167.9	63.0	194.36	95.34	65.26	40.93	159.9	108.9	204.07	91.41	52.82	0.47
SKI	299.25	454.09	470.14	389.72	353.59	507.46	351.14	293.07	80.57	1397.83	1322.37	1369.04	1819.35	780.44	1242.34	974.5	759.08	830.75	463.65	583.07	599.49	802.41	1191.69	896.64	909.17	363.56	1051.79	1359.57	909.17	1277.29	403.5	743.43	703.28	587.13	660.68	1781.89	733.19	1159.07	854.13	271.48	327.56
SLC25A4	140.04	69.03	60.39	256.78	99.43	93.35	108.14	0.0	0.26	1417.35	1551.09	1457.23	1175.27	624.99	1175.27	1175.27	1397.83	1388.16	1498.22	1008.9	1794.29	1572.76	1037.29	896.64	819.3	921.88	1498.22	1417.35	1605.83	1819.35	1225.22	1427.22	1359.57	934.76	1378.57	1167.14	1359.57	1605.83	1199.98	1104.13	497.0
SLIT2	5.82	15.11	33.78	13.52	3.29	3.72	26.67	0.0	0.41	860.08	769.69	1572.76	2895.31	115.97	941.27	68.07	559.28	878.17	420.68	211.31	100.83	884.29	988.12	591.22	825.0	176.29	1745.2	435.55	599.49	1119.56	198.47	825.0	536.45	154.42	423.61	1030.12	376.41	1685.71	743.43	223.41	16.27
SPECC1L	122.64	198.47	253.23	201.25	187.71	181.28	163.28	0.0	0.55	684.02	525.39	674.59	941.27	414.87	780.44	229.72	480.04	698.41	423.61	320.8	301.33	607.87	483.38	327.56	441.64	366.09	616.37	738.29	320.8	813.63	303.44	420.68	351.14	271.48	420.68	679.29	395.18	802.41	423.61	373.81	269.6
SWT1	34.02	36.53	41.52	36.53	34.02	39.22	27.44	0.0	0.2	81.71	46.5	59.97	88.88	68.55	54.33	24.81	63.45	80.57	34.26	60.39	55.1	67.12	80.01	79.45	45.85	60.39	83.45	63.89	74.06	71.0	60.82	67.12	74.06	63.89	73.03	84.63	80.01	69.03	90.14	58.3	23.59
SYF2	1037.29	902.89	638.15	896.64	848.22	1119.56	1037.29	0.0	0.51	1407.55	1030.12	1923.14	1051.79	802.41	1015.93	703.28	947.83	1617.0	1127.35	1081.39	947.83	1529.73	1733.13	1119.56	1340.84	961.07	1437.15	1088.92	2816.11	1794.29	1096.5	1437.15	1572.76	759.08	1340.84	1088.92	1225.22	1066.48	1340.84	1594.73	698.41
TACC1	67.59	262.2	693.58	579.04	301.33	128.79	178.77	1340.84	2520.38	4298.64	3589.58	5995.9	6792.79	547.75	5219.6	1233.75	1832.01	2163.77	1397.83	753.83	1487.87	2335.28	3928.15	2720.15	2178.83	660.68	2209.26	3690.52	4450.27	3257.52	1023.0	2758.13	1583.71	848.22	1540.37	3515.68	2271.4	3395.89	4639.29	1498.22	267.73
TAF6L	177.53	159.9	175.07	170.25	202.66	122.64	239.52	0.0	0.35	273.37	214.27	339.14	224.97	167.9	486.75	215.77	341.51	379.04	320.8	231.32	376.41	529.06	373.81	486.75	281.09	441.64	480.04	432.53	417.77	397.93	256.78	242.88	301.33	400.71	351.14	237.86	397.93	466.88	435.55	170.25	100.13
TBCEL	22.59	90.14	118.43	58.3	67.59	80.57	64.34	0.0	0.29	381.68	297.17	417.77	567.1	124.37	450.94	159.9	253.23	775.05	279.14	195.72	283.05	376.41	376.41	281.09	251.48	143.01	371.22	283.05	341.51	454.09	186.4	356.05	267.73	131.51	242.88	529.06	329.84	327.56	599.49	291.04	80.01
TMEM129	748.61	195.72	234.57	457.25	221.86	177.53	406.31	0.0	0.73	836.53	441.64	947.83	813.63	423.61	1225.22	318.57	1096.5	1081.39	842.36	358.54	603.67	988.12	813.63	1104.13	688.78	995.0	884.29	1286.18	571.05	713.11	802.41	1051.79	629.35	624.99	723.08	1277.29	934.76	1427.22	1104.13	603.67	176.29
TMEM14C	2555.58	1183.45	1487.87	1340.84	1447.15	1674.06	1923.14	0.0	0.77	4210.15	2520.38	5112.16	2816.11	1572.76	2777.33	1457.23	2417.67	4358.66	2520.38	2915.45	2645.74	5913.33	3874.05	3325.99	2303.12	1781.89	4543.8	2835.7	3955.48	4038.61	2682.69	3540.14	4210.15	1572.76	2976.74	3168.41	3639.7	2997.45	2935.74	3820.7	954.43
TMEM150A	444.72	103.69	88.26	102.25	249.73	69.03	234.57	521.76	890.44	1135.2	1015.93	743.43	988.12	392.44	1447.15	813.63	819.3	1023.0	703.28	444.72	878.17	1340.84	934.76	1216.75	500.46	1199.98	813.63	1143.1	825.0	1135.2	612.11	872.1	854.13	848.22	928.3	1037.29	947.83	785.88	1233.75	525.39	305.55
TNS1	75.11	94.01	205.5	500.46	53.95	220.32	38.4	0.0	0.64	7081.29	5711.87	12076.21	21468.49	872.1	7911.95	1697.45	2018.8	4181.07	1781.89	591.22	1697.45	5219.6	4575.41	1806.78	4066.71	1096.5	6745.86	6699.25	10512.82	5791.62	1709.26	5954.47	2682.69	441.64	3564.78	8078.22	2573.36	11584.24	7433.4	1487.87	223.41
TOR1AIP1	265.87	366.09	961.07	454.09	251.48	713.11	327.56	0.0	0.24	1250.98	1175.27	1059.11	1467.37	540.19	1023.0	595.34	825.0	1191.69	848.22	733.19	890.44	1268.46	954.43	1030.12	547.75	514.56	1191.69	1119.56	1519.15	1143.1	743.43	629.35	1143.1	748.61	947.83	1417.35	1081.39	1259.69	1304.15	518.15	563.18
WBSCR17	1.31	5.96	5.32	4.98	0.67	8.32	10.71	0.0	0.59	111.21	80.57	409.15	329.84	18.56	547.75	10.0	115.97	341.51	48.87	3.17	36.01	265.87	99.43	15.8	131.51	77.79	287.01	116.78	269.6	320.8	87.03	341.51	66.18	24.28	98.04	224.97	70.01	769.69	231.32	123.5	15.34
WDR60	102.25	105.15	57.89	100.13	68.55	64.8	67.12	0.0	0.65	239.52	187.71	246.28	295.11	152.28	221.86	409.15	305.55	126.12	169.07	135.24	226.54	177.53	185.11	163.28	376.41	234.57	497.0	241.19	339.14	320.8	191.67	371.22	248.0	91.41	214.27	242.88	224.97	293.07	293.07	267.73	176.29
ZDHHC11	42.71	4.13	9.34	30.12	21.78	7.22	3.38	0.0	0.74	450.94	327.56	36.01	244.57	48.18	567.1	409.15	74.58	281.09	96.01	198.47	107.38	49.21	154.42	84.63	361.04	165.57	995.0	218.79	228.13	220.32	87.03	353.59	205.5	77.79	120.94	173.85	63.45	1322.37	262.2	293.07	41.81
ZIK1	8.13	15.0	12.18	8.06	23.08	15.91	17.64	0.0	0.3	77.25	53.19	49.91	34.75	12.45	59.97	5.06	48.52	176.29	134.3	12.83	29.7	78.89	72.52	87.03	10.96	17.0	88.26	113.56	59.13	82.29	38.12	26.1	68.55	22.1	64.34	90.14	81.14	65.26	80.57	22.1	56.28
ZNF362	157.68	161.02	140.04	190.34	76.71	87.65	157.68	0.0	0.27	583.07	392.44	780.44	796.86	164.42	723.08	186.4	429.54	866.07	379.04	256.78	473.41	629.35	728.11	363.56	470.14	358.54	607.87	723.08	417.77	612.11	265.87	486.75	607.87	291.04	441.64	902.89	587.13	669.92	521.76	356.05	34.02
ZNF500	78.89	68.55	71.5	88.26	92.05	55.1	69.03	0.0	0.41	217.27	72.01	92.05	89.51	111.99	186.4	92.7	136.19	165.57	102.97	100.13	112.77	150.17	163.28	255.0	155.5	105.15	176.29	191.67	126.12	136.19	73.03	105.15	169.07	98.04	104.42	183.82	167.9	161.02	182.55	77.25	53.19
ZNF527	18.97	23.25	13.32	12.93	5.54	20.26	18.03	0.0	0.1	60.82	34.75	21.94	48.18	49.56	43.63	13.62	58.3	70.51	69.03	41.81	51.35	70.51	40.36	54.33	36.53	46.5	63.45	82.87	96.68	47.17	52.45	29.7	65.26	42.71	54.72	72.01	33.78	66.65	55.89	29.48	22.59
ZNF552	50.63	85.82	48.52	120.1	87.65	35.76	106.63	0.0	0.27	221.86	94.01	361.04	143.01	85.22	275.28	133.36	211.31	351.14	248.0	119.26	176.29	208.38	287.01	231.32	316.37	115.16	339.14	201.25	120.1	258.57	167.9	224.97	253.23	114.36	269.6	348.71	279.14	307.69	299.25	236.21	72.01
ZNF763	2.66	16.75	9.34	8.51	10.96	4.03	35.25	0.0	0.14	102.97	74.58	128.79	96.68	35.25	141.02	13.62	66.18	332.14	95.34	30.56	61.68	260.38	158.79	82.87	50.27	32.36	132.44	127.0	189.02	169.07	66.18	78.89	110.43	66.18	140.04	199.85	119.26	226.54	119.26	24.99	10.71
ZNF829	5.19	2.39	6.84	1.91	2.36	0.89	2.76	0.0	0.22	29.7	12.93	15.22	7.4	6.31	27.64	2.84	23.93	36.79	27.64	10.88	15.45	24.63	15.45	7.4	8.45	8.58	40.64	34.51	47.17	40.07	23.76	6.06	23.76	10.47	17.64	50.63	14.67	31.67	38.67	5.59	19.39
ZNF845	50.98	52.08	76.71	48.18	32.13	56.68	44.25	0.0	0.0	77.25	63.0	92.05	64.8	82.87	72.01	29.27	90.77	89.51	91.41	63.0	69.52	90.14	68.55	68.07	52.45	50.63	89.51	96.68	82.87	109.66	87.03	34.75	109.66	67.12	84.04	92.7	76.17	85.22	105.89	62.12	59.13
ZSWIM5	11.3	3.32	18.03	27.05	8.71	1.55	5.02	0.0	0.23	86.43	63.0	148.09	108.9	14.45	71.0	19.53	60.39	113.56	49.56	15.68	38.12	85.82	119.26	101.54	58.3	25.91	122.64	144.01	123.5	103.69	53.95	55.1	115.16	50.27	72.52	156.59	58.3	100.13	199.85	38.12	0.92
