	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13N1W.1926.SM.5IJCH	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.113JC.1026.SM.5H117	GTEX.Y111.1826.SM.4SOIR	GTEX.13FLV.1326.SM.5L3EJ	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.144GM.1626.SM.5O9AG	GTEX.13OVJ.1426.SM.5K7Z2	GTEX.Y111.1726.SM.4SOIQ	GTEX.1212Z.2026.SM.5N9EA	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.RNOR.1326.SM.48FDE	GTEX.T6MN.1526.SM.4DM5P	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.ZAB4.1226.SM.5CVN5	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.T2IS.0926.SM.4DM5B	GTEX.RWSA.1326.SM.47JX9	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139D8.2326.SM.5IFGE	GTEX.13N1W.2026.SM.5K7YU	GTEX.YFC4.2826.SM.5P9FR
REEP4	61.68	161.02	507.46	105.89	45.53	185.11	241.19	205.5	318.57	267.73	366.09	248.0	297.17	346.29	358.54	187.71	237.86	316.37	320.8	389.72	318.57	253.23	323.03	309.83	301.33	140.04	279.14	305.55	206.94	277.2	287.01	215.77	376.41	275.28	0.0	0.89	698.41	170.25	599.49
RHOD	154.42	128.79	92.7	303.44	303.44	293.07	98.04	223.41	579.04	314.17	563.18	373.81	460.44	571.05	532.74	277.2	307.69	555.41	490.14	444.72	460.44	483.38	480.04	493.56	500.46	215.77	420.68	483.38	353.59	571.05	529.06	265.87	490.14	395.18	0.0	0.45	813.63	17.9	307.69
RING1	934.76	1295.13	775.05	791.35	860.08	842.36	791.35	1313.23	974.5	961.07	1081.39	961.07	1008.9	1378.57	1697.45	559.28	866.07	1225.22	995.0	1088.92	928.3	1369.04	1322.37	1191.69	1104.13	1183.45	819.3	842.36	884.29	1331.57	1286.18	769.69	1199.98	1008.9	0.0	0.88	1745.2	1059.11	2163.77
RP9	152.28	406.31	368.65	279.14	258.57	297.17	316.37	470.14	514.56	444.72	669.92	299.25	460.44	703.28	616.37	332.14	463.65	684.02	450.94	540.19	307.69	423.61	579.04	476.71	426.57	426.57	511.0	518.15	368.65	599.49	441.64	343.89	684.02	423.61	0.0	0.6	660.68	237.86	507.46
SEC14L5	3.5	4.62	6.31	7.34	3.86	7.88	5.73	9.48	24.81	8.51	26.47	14.35	17.64	14.78	20.26	10.88	5.28	16.88	7.88	43.94	13.03	44.25	24.28	18.16	18.97	7.11	8.92	7.88	7.4	7.88	18.03	5.28	21.47	7.22	0.0	0.09	60.39	2.94	2.18
SH3BP5L	130.6	559.28	447.82	497.0	454.09	343.89	253.23	256.78	486.75	348.71	647.07	221.86	480.04	444.72	665.29	236.21	387.02	624.99	358.54	435.55	392.44	551.56	660.68	403.5	532.74	395.18	473.41	392.44	379.04	514.56	483.38	351.14	543.96	363.56	0.0	0.36	642.59	134.3	603.67
SLC26A11	150.17	275.28	283.05	366.09	281.09	299.25	397.93	164.42	366.09	493.56	435.55	381.68	397.93	417.77	674.59	244.57	303.44	511.0	316.37	536.45	218.79	579.04	486.75	483.38	444.72	314.17	406.31	389.72	291.04	334.46	414.87	303.44	607.87	417.77	0.0	0.67	656.11	466.88	547.75
SLC46A1	134.3	194.36	120.94	255.0	176.29	234.57	139.07	153.34	412.0	224.97	486.75	165.57	316.37	392.44	616.37	158.79	215.77	612.11	353.59	490.14	234.57	540.19	450.94	387.02	521.76	173.85	361.04	368.65	256.78	356.05	497.0	170.25	493.56	236.21	0.0	0.14	974.5	81.14	679.29
SPATA33	74.06	138.1	178.77	111.21	86.43	128.79	39.79	85.22	171.45	81.14	299.25	92.7	224.97	204.07	379.04	46.84	199.85	363.56	180.02	221.86	164.42	249.73	209.84	178.77	217.27	98.04	170.25	131.51	92.05	236.21	234.57	115.16	291.04	117.6	0.0	0.23	371.22	48.87	293.07
SPIRE2	18.56	22.26	65.72	22.1	39.5	74.58	40.36	30.78	68.55	62.56	145.02	67.12	176.29	94.67	100.83	59.13	94.01	162.14	123.5	112.77	79.45	112.77	166.73	58.3	87.03	35.5	176.29	89.51	111.21	134.3	173.85	56.68	102.25	75.11	0.0	0.43	258.57	27.84	151.22
STX10	616.37	1151.06	909.17	981.29	791.35	866.07	647.07	426.57	1437.15	921.88	1639.59	928.3	1030.12	1350.18	1709.26	775.05	890.44	1909.85	1519.15	1397.83	1081.39	1583.71	1487.87	1508.65	1350.18	532.74	1639.59	1143.1	961.07	1313.23	1417.35	775.05	1561.89	995.0	0.0	0.73	1733.13	583.07	2018.8
SUGP1	348.71	738.29	500.46	532.74	536.45	518.15	450.94	480.04	860.08	441.64	967.76	476.71	693.58	688.78	941.27	435.55	483.38	1044.52	708.18	796.86	629.35	825.0	743.43	713.11	723.08	371.22	693.58	536.45	624.99	679.29	769.69	450.94	872.1	587.13	0.0	0.34	974.5	441.64	1519.15
TARBP2	128.79	299.25	329.84	312.0	204.07	334.46	205.5	366.09	332.14	156.59	713.11	181.28	656.11	559.28	642.59	325.29	473.41	848.22	483.38	587.13	397.93	665.29	718.08	493.56	591.22	414.87	483.38	361.04	320.8	511.0	579.04	281.09	638.15	262.2	0.0	0.0	603.67	100.83	1111.82
TBC1D13	202.66	579.04	236.21	363.56	351.14	435.55	283.05	155.5	575.03	226.54	620.67	283.05	503.95	521.76	708.18	260.38	343.89	563.18	466.88	547.75	414.87	629.35	603.67	587.13	536.45	251.48	457.25	392.44	389.72	575.03	571.05	262.2	612.11	334.46	130.6	102.25	591.22	133.36	842.36
TBCK	208.38	348.71	392.44	397.93	253.23	332.14	220.32	208.38	336.79	177.53	363.56	297.17	303.44	307.69	435.55	162.14	297.17	323.03	236.21	329.84	305.55	392.44	392.44	346.29	417.77	143.01	529.06	228.13	336.79	316.37	339.14	226.54	323.03	249.73	0.0	0.13	607.87	236.21	642.59
THAP9	28.04	33.54	50.63	33.3	39.22	41.81	17.13	21.78	36.79	16.03	62.56	21.16	50.27	41.81	72.52	16.39	32.82	46.5	36.01	70.01	51.35	40.07	82.29	45.85	43.63	24.28	80.57	33.78	23.93	79.45	67.59	23.25	50.98	22.92	0.0	0.0	104.42	16.51	77.25
TMEM121	28.45	77.79	67.12	69.03	59.13	40.36	52.45	19.97	144.01	94.01	137.14	66.65	58.3	128.79	127.0	39.22	46.18	176.29	108.9	118.43	67.12	76.71	137.14	99.43	89.51	22.26	117.6	88.26	27.64	94.01	80.01	38.4	154.42	43.32	0.0	0.27	166.73	37.59	146.03
TMEM14A	713.11	698.41	591.22	406.31	417.77	395.18	232.94	218.79	679.29	356.05	796.86	723.08	764.36	476.71	819.3	450.94	323.03	616.37	575.03	854.13	507.46	547.75	679.29	633.73	684.02	155.5	759.08	518.15	665.29	543.96	921.88	244.57	684.02	423.61	0.0	0.22	1030.12	323.03	1167.14
TOR2A	40.64	92.05	224.97	144.01	74.58	195.72	104.42	162.14	212.78	122.64	265.87	120.94	224.97	212.78	454.09	135.24	201.25	358.54	236.21	265.87	205.5	275.28	318.57	248.0	237.86	134.3	251.48	145.02	85.22	269.6	175.07	154.42	206.94	153.34	0.0	0.02	429.54	45.53	307.69
TRIM65	109.66	389.72	414.87	343.89	277.2	289.02	281.09	170.25	371.22	191.67	518.15	262.2	343.89	500.46	507.46	199.85	232.94	444.72	320.8	432.53	314.17	529.06	470.14	490.14	579.04	236.21	334.46	253.23	318.57	583.07	395.18	182.55	432.53	218.79	0.0	0.56	583.07	256.78	334.46
TTC5	142.01	110.43	131.51	124.37	94.67	118.43	42.41	83.45	143.01	30.34	163.28	69.03	166.73	191.67	198.47	67.12	88.88	163.28	149.12	171.45	78.34	220.32	193.01	149.12	127.89	58.3	142.01	132.44	76.71	208.38	169.07	64.34	163.28	71.5	0.0	0.0	202.66	33.06	341.51
UNK	325.29	503.95	532.74	486.75	441.64	571.05	371.22	406.31	563.18	237.86	633.73	403.5	529.06	518.15	620.67	460.44	358.54	693.58	397.93	583.07	395.18	591.22	796.86	620.67	483.38	438.59	559.28	470.14	441.64	603.67	555.41	293.07	555.41	486.75	0.0	0.64	791.35	426.57	587.13
VARS2	137.14	186.4	285.03	211.31	105.89	409.15	463.65	387.02	447.82	470.14	748.61	353.59	376.41	540.19	703.28	169.07	438.59	836.53	684.02	493.56	361.04	547.75	764.36	514.56	473.41	460.44	356.05	432.53	476.71	660.68	543.96	432.53	518.15	551.56	0.0	0.64	769.69	525.39	575.03
ZFPL1	529.06	974.5	836.53	743.43	842.36	825.0	679.29	718.08	1023.0	583.07	1151.06	836.53	1059.11	1216.75	1322.37	665.29	934.76	1242.34	1369.04	1313.23	934.76	1191.69	1143.1	1023.0	1023.0	785.88	1044.52	780.44	995.0	1183.45	1030.12	743.43	1191.69	1208.34	0.0	0.56	1977.24	669.92	1583.71
ZNF205	76.71	356.05	221.86	232.94	231.32	198.47	152.28	135.24	368.65	197.09	551.56	181.28	373.81	389.72	571.05	118.43	307.69	529.06	301.33	412.0	265.87	423.61	454.09	343.89	353.59	155.5	339.14	366.09	223.41	363.56	400.71	241.19	490.14	248.0	0.0	0.43	420.68	60.39	791.35
ZNF576	181.28	361.04	264.03	293.07	295.11	258.57	166.73	271.48	267.73	144.01	336.79	204.07	334.46	371.22	356.05	226.54	221.86	361.04	312.0	371.22	336.79	305.55	368.65	309.83	348.71	234.57	289.02	277.2	224.97	341.51	366.09	215.77	389.72	248.0	0.0	0.0	395.18	110.43	490.14
ZNF675	8.85	43.02	53.95	60.39	25.17	69.52	62.12	57.08	38.4	36.53	75.64	35.25	69.03	60.82	84.04	27.44	33.06	55.49	24.11	98.04	43.94	51.71	67.59	61.68	53.19	45.53	68.07	43.32	34.26	51.71	63.89	38.12	77.25	40.07	0.0	0.52	140.04	23.42	220.32
ZNF74	74.06	246.28	133.36	127.89	138.1	114.36	82.29	49.56	159.9	55.89	242.88	90.77	142.01	249.73	234.57	82.87	71.5	229.72	141.02	220.32	122.64	237.86	214.27	180.02	201.25	74.06	170.25	183.82	133.36	256.78	212.78	48.18	224.97	113.56	0.0	0.21	194.36	50.63	373.81
ZNF775	191.67	1096.5	312.0	316.37	403.5	463.65	571.05	339.14	995.0	507.46	1407.55	607.87	854.13	1159.07	1322.37	236.21	603.67	1467.37	1051.79	1397.83	753.83	1277.29	1397.83	974.5	921.88	555.41	1208.34	967.76	902.89	1119.56	1127.35	480.04	1350.18	896.64	0.0	0.22	1286.18	229.72	1467.37
ZNF835	18.03	231.32	62.12	102.25	76.71	35.76	7.63	14.24	31.9	23.76	85.22	16.03	55.1	60.82	81.14	14.67	28.65	84.63	59.13	76.17	32.59	55.1	89.51	84.04	77.25	35.25	58.71	64.34	26.1	71.0	77.79	19.97	92.7	17.77	0.0	0.0	71.0	7.51	98.04
