	TCGA.ZF.AA4N.01A.11R.A38B.07	TCGA.BT.A20X.01A.11R.A16R.07	TCGA.FD.A43Y.01A.21R.A26T.07	TCGA.PQ.A6FI.01A.11R.A31N.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IM.01A.11R.A20F.07	TCGA.BT.A42E.01A.11R.A23W.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.FD.A3N6.01A.11R.A21D.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.C4.A0F1.01A.11R.A034.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.C5.A902.01A.11R.A37O.07	TCGA.UC.A7PD.01A.11R.A352.07	TCGA.JW.A5VI.01A.11R.A28H.07	TCGA.C5.A7CL.01A.11R.A32P.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A907.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2RE.01A.11R.A18M.07	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.VS.A950.01A.11R.A42T.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.Z6.A8JD.01A.11R.A36D.31	TCGA.LN.A8HZ.01A.11R.A36D.31	TCGA.LN.A8I0.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.LN.A7HV.01A.21R.A354.31	TCGA.LN.A49U.01A.31R.A260.31	TCGA.VR.A8EZ.01A.11R.A36D.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.LN.A49M.01A.21R.A260.31	TCGA.LN.A4MR.01A.11R.A28J.31	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.LN.A49R.01A.11R.A24K.31	TCGA.Z6.A9VB.01A.21R.A37I.31	TCGA.LN.A4A9.01A.11R.A28J.31	TCGA.V5.AASV.01A.11R.A38D.31	TCGA.LN.A8I1.01A.11R.A36D.31	TCGA.L5.A4OM.01A.11R.A260.31	TCGA.IG.A97I.01A.11R.A38D.31	TCGA.LN.A7HZ.01A.31R.A354.31	TCGA.V5.A7RC.01B.11R.A406.31	TCGA.IG.A3QL.01A.11R.A24K.31	TCGA.IG.A6QS.01A.12R.A336.31	TCGA.L5.A43H.01A.11R.A24K.31	TCGA.CV.A45U.01A.12R.A24H.07	TCGA.CV.6961.01A.21R.1915.07	TCGA.CV.5970.01A.11R.1686.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.P3.A6T3.01A.11R.A34R.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.D6.A4Z9.01A.11R.A24Z.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.C9.A480.01A.12R.A24H.07	TCGA.HD.8634.01A.11R.2403.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.DQ.7592.01A.11R.2081.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.H7.7774.01A.21R.2081.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.7395.01A.11R.2016.07	TCGA.CV.7253.01A.11R.2016.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.5979.01A.11R.1686.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CN.A49A.01A.11R.A24H.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CN.A63V.01A.11R.A466.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.CN.4725.01A.01R.1436.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.UF.A71E.01A.31R.A34R.07	TCGA.CN.6018.01A.11R.1686.07	TCGA.BA.5558.01A.01R.1514.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CQ.6229.01A.11R.1915.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.DQ.5629.01A.01R.1873.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.A45V.01A.21R.A24Z.07	TCGA.D6.A4ZB.01A.11R.A24Z.07	TCGA.IQ.7632.01A.11R.2081.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CV.A45Y.01A.11R.A24Z.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.UF.A7J9.01A.12R.A34R.07	TCGA.CV.6952.01A.11R.1915.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CQ.5326.01A.01R.1873.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7423.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	TCGA.90.A4ED.01A.31R.A24Z.07	TCGA.58.A46N.01A.11R.A24H.07	TCGA.56.7730.01A.11R.2125.07	GTEX.XV7Q.2426.SM.4BRV8	GTEX.11WQK.2926.SM.5EQKT
CLASRP	1369.04	679.29	2061.24	780.44	3146.52	836.53	1909.85	825.0	860.08	738.29	493.56	633.73	693.58	934.76	1199.98	1857.6	1350.18	3060.45	1617.0	1322.37	2255.7	884.29	684.02	1225.22	1216.75	1059.11	1519.15	1617.0	2104.58	1143.1	1857.6	2555.58	1628.26	2255.7	1651.0	1639.59	1447.15	2664.15	2434.5	2400.97	1745.2	3103.19	2609.3	3928.15	2255.7	1721.16	1963.57	1721.16	1397.83	1059.11	2090.03	1388.16	555.41	417.77	571.05	170.25	872.1	279.14	571.05	327.56	764.36	995.0	934.76	426.57	346.29	836.53	693.58	753.83	1001.93	232.94	406.31	813.63	403.5	1369.04	420.68	638.15	318.57	785.88	559.28	854.13	713.11	708.18	896.64	1225.22	595.34	497.0	587.13	307.69	334.46	559.28	567.1	264.03	616.37	1030.12	1111.82	909.17	703.28	1487.87	441.64	353.59	713.11	599.49	435.55	279.14	896.64	470.14	414.87	769.69	764.36	1023.0	356.05	629.35	454.09	909.17	633.73	854.13	242.88	551.56	476.71	651.58	441.64	507.46	651.58	1397.83	507.46	1350.18	511.0	587.13	1259.69	1030.12	293.07	1096.5	389.72	759.08	1127.35	409.15	603.67	318.57	830.75	457.25	329.84	356.05	303.44	813.63	738.29	703.28	373.81	642.59	395.18	346.29	1.5	1594.73	2384.37	1977.24	1870.53	339.14	620.67
CLK2	848.22	460.44	1304.15	629.35	1350.18	1551.09	780.44	583.07	698.41	500.46	486.75	1191.69	796.86	1437.15	1605.83	2104.58	995.0	802.41	2434.5	1001.93	1088.92	796.86	723.08	723.08	693.58	1096.5	1639.59	1378.57	1685.71	928.3	1208.34	1617.0	1457.23	1697.45	1359.57	1143.1	1175.27	1883.54	1832.01	1685.71	1447.15	1883.54	1529.73	2485.67	2104.58	1674.06	1923.14	1685.71	1135.2	1295.13	1870.53	884.29	703.28	536.45	753.83	346.29	435.55	361.04	555.41	314.17	679.29	603.67	674.59	486.75	476.71	813.63	543.96	620.67	679.29	279.14	368.65	1023.0	514.56	842.36	470.14	525.39	392.44	476.71	395.18	909.17	791.35	457.25	718.08	647.07	529.06	414.87	414.87	429.54	373.81	896.64	529.06	267.73	454.09	460.44	1819.35	896.64	450.94	708.18	305.55	429.54	688.78	656.11	438.59	518.15	543.96	409.15	409.15	656.11	420.68	1111.82	466.88	473.41	379.04	718.08	514.56	785.88	366.09	525.39	447.82	791.35	348.71	429.54	620.67	947.83	366.09	878.17	329.84	607.87	915.51	718.08	329.84	463.65	361.04	791.35	733.19	450.94	579.04	438.59	669.92	299.25	412.0	389.72	669.92	665.29	551.56	599.49	457.25	555.41	426.57	329.84	0.82	1359.57	1844.76	1088.92	1721.16	318.57	260.38
CRTC1	89.51	251.48	130.6	55.89	444.72	267.73	100.83	75.11	134.3	189.02	67.12	35.0	55.89	50.98	165.57	176.29	141.02	163.28	98.04	92.7	81.71	108.9	108.14	69.03	134.3	67.59	232.94	146.03	101.54	53.57	128.79	248.0	131.51	147.06	187.71	111.99	137.14	232.94	151.22	90.14	93.35	102.25	66.18	246.28	156.59	140.04	191.67	138.1	150.17	100.13	109.66	116.78	198.47	107.38	113.56	48.18	131.51	77.79	100.13	45.21	88.88	96.68	57.89	65.26	56.28	82.29	44.89	73.54	81.14	70.01	95.34	86.43	84.63	103.69	89.51	78.89	69.03	43.32	70.01	87.65	151.22	32.13	80.57	127.0	55.1	85.22	72.01	61.68	92.7	170.25	44.25	127.89	92.7	262.2	253.23	199.85	146.03	206.94	124.37	92.7	53.95	68.07	77.25	56.68	135.24	55.49	80.57	42.41	64.34	113.56	119.26	61.25	80.57	98.73	35.0	101.54	87.03	68.07	91.41	104.42	57.08	72.52	51.71	118.43	60.82	98.73	101.54	67.12	158.79	115.97	72.52	104.42	52.08	104.42	147.06	82.87	44.57	83.45	118.43	103.69	41.22	74.58	49.91	70.01	88.88	45.85	102.97	167.9	57.08	49.56	0.6	150.17	190.34	194.36	163.28	65.72	17.0
CSNK2B-LY6G5B-1181	93.35	23.08	50.98	90.14	147.06	31.45	108.9	81.71	38.67	51.71	21.47	10.08	57.89	39.5	96.01	70.01	94.01	84.04	113.56	75.11	74.06	43.63	20.11	56.28	81.71	66.18	271.48	109.66	116.78	142.01	128.79	87.65	191.67	63.0	211.31	90.14	39.5	71.0	79.45	108.9	87.03	98.04	96.68	376.41	195.72	206.94	138.1	166.73	148.09	154.42	244.57	46.5	21.63	25.54	46.18	1.73	37.32	21.63	31.9	28.04	47.84	56.28	100.83	9.06	33.06	33.78	71.5	120.1	31.67	15.22	26.47	14.78	17.51	73.03	26.1	23.42	35.76	34.02	42.11	79.45	54.72	10.79	38.67	68.07	65.72	13.22	10.47	28.65	32.36	18.84	45.85	20.86	29.06	41.22	50.63	18.97	79.45	65.26	27.05	18.97	23.42	58.71	36.27	31.22	17.38	14.89	35.5	46.5	58.71	23.42	44.25	26.86	25.35	43.32	13.42	47.5	26.67	39.5	24.11	5.92	31.67	44.25	64.34	77.25	24.99	66.18	19.82	26.28	94.01	105.15	9.78	98.04	13.32	12.64	42.71	24.99	19.53	25.35	82.29	43.94	7.82	37.59	27.64	48.87	11.73	53.95	21.01	42.71	47.17	18.43	0.48	46.84	285.03	55.89	87.03	33.3	30.56
CTC-241N9.1	22.1	19.97	34.26	27.05	27.05	26.1	10.08	4.46	23.93	26.1	12.18	17.64	10.47	13.62	22.43	15.45	11.73	11.64	35.76	28.24	20.86	15.22	17.25	16.39	15.68	36.27	32.59	15.8	25.72	14.03	29.27	50.98	34.51	17.13	106.63	31.67	32.82	32.36	59.97	62.12	16.75	57.49	14.56	69.52	22.59	80.01	31.67	105.89	31.45	44.25	41.81	55.1	19.82	4.21	13.03	5.11	15.68	6.57	4.46	7.4	5.68	17.0	19.82	12.27	7.0	13.42	11.3	14.67	5.73	3.76	17.0	23.59	6.67	24.28	7.46	8.38	6.36	10.88	7.51	9.2	9.41	6.78	11.13	38.12	5.45	10.39	9.93	7.22	8.38	8.65	6.16	8.99	11.91	8.06	36.79	15.22	5.92	11.21	8.13	4.28	18.03	5.54	10.88	7.63	10.55	11.13	6.31	9.78	12.64	8.32	52.08	10.63	3.41	20.56	7.57	26.1	9.13	13.22	9.7	11.64	6.41	10.47	12.83	55.49	13.83	31.67	3.99	11.82	15.22	9.34	6.06	19.97	5.45	32.36	14.03	6.16	8.38	9.93	29.48	17.77	10.31	8.51	5.87	3.23	8.45	9.63	9.27	2.94	11.73	7.63	0.0	14.56	111.99	7.34	43.94	3.59	2.78
CTC-260F20.3	16.51	15.45	16.27	17.9	70.51	10.47	12.55	20.71	11.38	21.47	4.82	6.57	10.79	12.45	28.86	23.42	47.84	23.59	19.82	30.34	11.55	31.0	19.11	23.25	36.01	15.22	28.24	26.1	22.1	21.16	8.0	45.85	16.27	68.07	61.68	25.35	28.86	19.68	52.45	90.77	24.81	88.88	44.89	65.26	94.67	16.75	26.47	49.21	12.93	24.63	28.86	12.55	21.63	12.0	37.32	17.64	20.41	9.85	12.27	13.93	7.06	14.03	12.0	7.94	12.74	17.13	16.15	15.91	5.11	8.25	19.68	31.9	13.22	20.71	14.03	11.38	11.47	16.39	30.12	5.19	20.71	15.34	13.62	36.27	16.75	14.24	13.03	11.55	11.73	10.39	14.89	7.06	8.58	13.22	13.93	26.47	13.62	20.41	26.1	14.78	7.34	13.52	17.25	11.55	20.71	9.63	18.84	13.22	17.38	22.1	10.79	6.26	14.45	13.52	7.22	12.83	9.2	14.78	7.88	15.8	8.71	11.73	15.8	25.17	12.18	16.39	13.52	7.0	23.59	17.38	16.51	13.83	9.78	15.34	14.14	9.27	8.38	6.62	21.01	18.03	9.85	13.12	12.55	10.96	16.27	10.0	11.91	25.35	15.0	22.26	0.4	25.91	49.21	43.63	25.35	19.82	27.44
DBF4B	231.32	87.65	149.12	157.68	559.28	242.88	138.1	148.09	114.36	79.45	96.01	77.25	45.21	146.03	251.48	212.78	214.27	115.97	258.57	182.55	159.9	125.24	131.51	155.5	145.02	155.5	426.57	414.87	293.07	175.07	211.31	450.94	237.86	595.34	529.06	134.3	202.66	373.81	384.34	511.0	361.04	293.07	567.1	351.14	518.15	275.28	521.76	403.5	325.29	409.15	277.2	148.09	98.04	59.97	155.5	16.51	67.12	94.67	109.66	37.85	51.35	85.22	164.42	43.94	67.12	81.14	114.36	107.38	105.89	40.36	64.34	144.01	159.9	110.43	90.14	110.43	49.21	101.54	94.67	27.44	94.01	62.12	71.5	55.1	111.99	70.51	36.79	93.35	51.71	131.51	87.03	102.97	41.81	78.89	149.12	120.1	175.07	102.25	228.13	51.71	33.06	55.1	88.88	104.42	74.06	77.25	43.32	109.66	162.14	94.67	221.86	94.01	140.04	177.53	76.71	78.34	71.0	92.7	62.56	158.79	98.04	76.17	69.03	120.1	44.25	74.06	68.55	121.79	84.63	170.25	62.56	170.25	50.27	176.29	133.36	118.43	80.57	173.85	107.38	171.45	33.3	88.88	68.55	66.65	100.83	65.26	64.34	113.56	57.08	30.78	0.57	138.1	420.68	285.03	447.82	33.3	10.63
DCAF15	698.41	836.53	1313.23	688.78	1857.6	967.76	1143.1	819.3	848.22	819.3	748.61	909.17	1059.11	473.41	738.29	1769.57	1350.18	1950.0	1088.92	1135.2	460.44	780.44	808.0	1233.75	1096.5	1044.52	2303.12	1477.58	1378.57	921.88	1259.69	1304.15	1806.78	1331.57	1225.22	1208.34	1519.15	1936.53	1304.15	1331.57	1340.84	1407.55	2148.82	1923.14	1250.98	1268.46	1313.23	1127.35	1073.91	1407.55	1030.12	769.69	728.11	665.29	1008.9	547.75	1008.9	718.08	884.29	575.03	616.37	813.63	896.64	633.73	575.03	988.12	854.13	1191.69	748.61	591.22	713.11	988.12	921.88	1030.12	647.07	703.28	595.34	647.07	595.34	764.36	1030.12	660.68	1088.92	808.0	423.61	616.37	486.75	1088.92	567.1	1073.91	713.11	599.49	830.75	1277.29	981.29	842.36	1208.34	1066.48	796.86	540.19	928.3	665.29	718.08	529.06	902.89	612.11	713.11	688.78	848.22	1331.57	651.58	769.69	974.5	1023.0	543.96	791.35	612.11	718.08	529.06	633.73	587.13	665.29	688.78	684.02	551.56	802.41	825.0	669.92	1096.5	1081.39	769.69	825.0	483.38	791.35	738.29	674.59	559.28	595.34	629.35	819.3	624.99	656.11	813.63	808.0	591.22	713.11	748.61	1277.29	780.44	409.15	0.75	775.05	1044.52	954.43	708.18	587.13	320.8
DDX11	559.28	327.56	909.17	559.28	1088.92	988.12	679.29	387.02	373.81	208.38	232.94	249.73	255.0	693.58	1225.22	890.44	1008.9	954.43	1111.82	902.89	995.0	249.73	397.93	1151.06	974.5	693.58	1104.13	1277.29	884.29	343.89	529.06	2075.59	967.76	1044.52	830.75	1066.48	674.59	2468.49	1697.45	1605.83	2004.85	775.05	928.3	1286.18	3443.31	1417.35	2047.0	651.58	842.36	1119.56	1781.89	684.02	536.45	131.51	356.05	153.34	265.87	167.9	466.88	86.43	246.28	486.75	575.03	283.05	348.71	346.29	395.18	279.14	595.34	124.37	171.45	432.53	267.73	713.11	316.37	379.04	269.6	371.22	195.72	90.77	271.48	234.57	423.61	665.29	463.65	366.09	143.01	281.09	140.04	264.03	275.28	373.81	327.56	493.56	620.67	389.72	361.04	376.41	312.0	217.27	144.01	361.04	211.31	255.0	249.73	220.32	94.67	209.84	353.59	473.41	473.41	244.57	339.14	607.87	170.25	283.05	128.79	285.03	307.69	656.11	314.17	277.2	258.57	551.56	97.36	466.88	305.55	334.46	684.02	242.88	293.07	450.94	198.47	457.25	651.58	234.57	283.05	312.0	426.57	571.05	63.0	177.53	187.71	339.14	258.57	358.54	289.02	961.07	172.65	120.1	0.71	1096.5	902.89	974.5	1295.13	299.25	206.94
DDX51	457.25	327.56	536.45	507.46	361.04	381.68	591.22	327.56	297.17	432.53	157.68	98.73	135.24	299.25	318.57	358.54	287.01	368.65	305.55	361.04	500.46	500.46	194.36	444.72	260.38	368.65	603.67	587.13	253.23	381.68	363.56	447.82	579.04	429.54	796.86	195.72	271.48	476.71	559.28	525.39	423.61	674.59	674.59	759.08	529.06	316.37	454.09	642.59	392.44	599.49	441.64	336.79	175.07	202.66	251.48	58.3	249.73	175.07	193.01	154.42	256.78	356.05	153.34	236.21	163.28	214.27	221.86	339.14	279.14	82.29	177.53	221.86	249.73	497.0	318.57	260.38	193.01	193.01	258.57	141.02	198.47	199.85	273.37	293.07	191.67	175.07	218.79	138.1	204.07	253.23	194.36	329.84	180.02	264.03	363.56	486.75	231.32	242.88	108.14	164.42	176.29	232.94	131.51	301.33	466.88	149.12	161.02	244.57	251.48	264.03	395.18	281.09	285.03	283.05	181.28	267.73	191.67	218.79	145.02	150.17	301.33	264.03	209.84	314.17	339.14	435.55	157.68	295.11	312.0	293.07	141.02	373.81	159.9	241.19	332.14	285.03	103.69	176.29	303.44	297.17	137.14	197.09	152.28	163.28	307.69	256.78	146.03	256.78	175.07	199.85	105.89	450.94	444.72	575.03	429.54	323.03	297.17
DFNB59	30.78	24.28	27.44	7.88	142.01	31.9	32.59	4.78	14.24	27.64	5.11	13.83	24.99	12.93	25.54	8.45	173.85	10.63	62.12	59.97	55.49	6.62	17.9	31.9	22.1	65.72	27.05	30.12	70.01	32.13	31.9	86.43	73.03	44.89	82.29	59.55	46.5	66.18	116.78	147.06	73.03	49.91	155.5	63.0	93.35	35.0	67.59	62.12	42.71	31.67	48.87	31.67	7.75	2.03	38.95	0.0	13.12	5.19	13.12	3.96	2.53	14.03	17.25	10.79	5.36	24.99	20.26	4.9	7.88	0.0	12.09	7.63	3.66	14.45	9.34	3.26	21.94	3.47	11.47	6.52	19.97	18.43	36.79	209.84	5.11	3.86	1.1	10.08	8.13	16.03	9.27	9.78	8.92	21.94	42.11	23.08	2.86	48.18	5.36	6.62	7.46	16.51	24.81	8.38	11.91	12.93	5.19	24.11	35.76	44.25	21.63	2.32	3.41	11.73	5.77	26.47	8.51	14.67	13.03	30.78	4.1	9.13	20.71	41.22	3.82	49.91	3.17	7.22	40.36	8.25	3.47	22.75	2.73	50.63	60.82	7.57	11.91	2.73	17.9	48.87	18.7	2.76	20.11	10.08	12.36	6.11	15.8	14.89	37.59	8.85	0.46	28.65	248.0	48.52	85.22	5.32	0.49
DNMT1	1457.23	1286.18	660.68	1191.69	1111.82	1963.57	1572.76	1378.57	1167.14	1066.48	1096.5	432.53	866.07	1233.75	1781.89	3665.02	2090.03	4123.49	1685.71	2193.99	1250.98	2032.85	1923.14	2061.24	1963.57	2075.59	2627.46	2367.9	1617.0	1529.73	1397.83	2240.11	2816.11	2384.37	2004.85	1030.12	2701.35	2367.9	2400.97	3372.43	2367.9	2224.63	3018.3	2148.82	2627.46	1628.26	2485.67	1697.45	2627.46	2367.9	1529.73	1268.46	1733.13	878.17	1259.69	406.31	1183.45	1191.69	1208.34	796.86	848.22	1096.5	1832.01	884.29	1259.69	1073.91	1167.14	791.35	974.5	665.29	723.08	1096.5	1651.0	1498.22	1388.16	1277.29	769.69	921.88	665.29	540.19	738.29	947.83	1340.84	738.29	878.17	1175.27	466.88	1794.29	830.75	1167.14	1216.75	1369.04	599.49	995.0	1359.57	1628.26	1359.57	1051.79	1378.57	1059.11	753.83	941.27	1369.04	1407.55	1199.98	1250.98	830.75	1457.23	1183.45	743.43	1529.73	1286.18	1662.49	1721.16	660.68	954.43	825.0	981.29	1001.93	1583.71	896.64	1277.29	769.69	802.41	764.36	1233.75	915.51	1175.27	1044.52	1159.07	1001.93	1250.98	555.41	1183.45	1417.35	1066.48	1369.04	1088.92	591.22	1135.2	551.56	1143.1	1313.23	1286.18	1073.91	909.17	1059.11	1583.71	921.88	567.1	1.14	775.05	1508.65	1781.89	1498.22	1111.82	1081.39
DPH7	698.41	275.28	878.17	497.0	1605.83	967.76	1104.13	339.14	312.0	954.43	518.15	175.07	323.03	571.05	791.35	1015.93	796.86	587.13	1467.37	1051.79	836.53	769.69	454.09	595.34	423.61	1037.29	579.04	547.75	1331.57	567.1	684.02	1096.5	1216.75	813.63	1073.91	525.39	693.58	1111.82	1259.69	1508.65	1369.04	1709.26	954.43	1088.92	780.44	665.29	1331.57	995.0	693.58	1617.0	878.17	603.67	256.78	242.88	884.29	193.01	389.72	327.56	417.77	130.6	289.02	476.71	536.45	249.73	214.27	684.02	368.65	329.84	373.81	169.07	275.28	409.15	199.85	684.02	161.02	327.56	173.85	358.54	480.04	368.65	476.71	432.53	470.14	825.0	275.28	189.02	143.01	201.25	246.28	293.07	457.25	146.03	339.14	384.34	967.76	336.79	579.04	486.75	728.11	152.28	194.36	376.41	303.44	236.21	551.56	236.21	171.45	339.14	536.45	555.41	204.07	397.93	314.17	1059.11	239.52	483.38	215.77	371.22	212.78	248.0	258.57	295.11	329.84	796.86	186.4	1073.91	249.73	591.22	486.75	579.04	236.21	698.41	126.12	486.75	713.11	341.51	237.86	193.01	285.03	244.57	132.44	115.97	241.19	389.72	323.03	334.46	220.32	571.05	316.37	193.01	0.93	353.59	1304.15	1037.29	647.07	201.25	295.11
EME1	164.42	55.89	92.05	228.13	218.79	187.71	108.9	112.77	91.41	121.79	90.14	79.45	100.83	371.22	204.07	293.07	236.21	285.03	409.15	187.71	234.57	191.67	101.54	129.69	253.23	211.31	96.68	191.67	180.02	57.89	73.03	279.14	199.85	212.78	540.19	44.89	125.24	212.78	190.34	435.55	242.88	105.89	285.03	220.32	271.48	106.63	353.59	241.19	269.6	190.34	113.56	148.09	78.89	28.24	204.07	14.24	41.22	40.64	61.25	21.32	21.94	63.0	198.47	19.25	48.52	60.82	103.69	187.71	117.6	24.81	33.78	111.21	91.41	94.01	44.57	77.25	21.47	38.67	85.82	18.84	100.13	40.36	56.68	28.65	48.52	45.21	91.41	78.34	28.86	59.97	61.25	72.01	37.59	46.18	107.38	125.24	150.17	47.84	62.56	27.84	26.1	58.3	53.57	112.77	70.01	38.12	32.82	50.98	115.16	152.28	133.36	55.1	88.88	170.25	55.49	58.71	41.81	78.89	26.67	88.88	105.15	80.01	43.32	91.41	52.82	59.55	34.26	99.43	100.13	157.68	51.35	126.12	18.56	143.01	194.36	87.03	50.63	77.79	139.07	158.79	28.86	51.35	48.52	38.4	63.0	82.87	35.76	156.59	35.0	12.45	0.48	152.28	291.04	223.41	438.59	20.11	4.21
ENGASE	395.18	100.13	265.87	291.04	2240.11	198.47	348.71	147.06	400.71	332.14	178.77	129.69	108.14	358.54	665.29	397.93	426.57	211.31	1487.87	536.45	575.03	167.9	125.24	226.54	285.03	432.53	728.11	563.18	599.49	312.0	320.8	1051.79	366.09	775.05	813.63	547.75	466.88	934.76	759.08	1529.73	633.73	1529.73	1540.37	775.05	1304.15	738.29	555.41	954.43	318.57	878.17	890.44	890.44	154.42	151.22	117.6	112.77	217.27	119.26	190.34	44.57	177.53	361.04	325.29	101.54	87.03	318.57	269.6	183.82	209.84	76.71	182.55	336.79	90.14	941.27	127.89	146.03	48.52	127.0	320.8	241.19	241.19	117.6	277.2	267.73	199.85	134.3	110.43	53.57	95.34	211.31	195.72	145.02	143.01	293.07	325.29	248.0	221.86	271.48	133.36	96.68	130.6	273.37	130.6	100.83	241.19	115.97	116.78	155.5	218.79	273.37	218.79	180.02	134.3	309.83	122.64	341.51	138.1	127.0	154.42	166.73	129.69	96.68	146.03	612.11	80.01	287.01	86.43	299.25	220.32	309.83	147.06	327.56	151.22	126.12	403.5	194.36	77.25	113.56	231.32	307.69	73.03	115.97	134.3	244.57	161.02	470.14	165.57	161.02	131.51	61.68	1.27	260.38	1733.13	713.11	486.75	262.2	124.37
