	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.13PVQ.1926.SM.5L3GN	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZYW4.1626.SM.5GIE6	GTEX.Y111.1826.SM.4SOIR	GTEX.132NY.2026.SM.5L3FM	GTEX.11DYG.1926.SM.5H12I	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.11OF3.2326.SM.5GU73	GTEX.ZAK1.1826.SM.5HL93	GTEX.13VXU.1126.SM.5LU3U	GTEX.13OVJ.1426.SM.5K7Z2	GTEX.Y111.1726.SM.4SOIQ	GTEX.13O3P.1326.SM.5K7Y8	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.ZYFC.1726.SM.5GZYX	GTEX.145MO.1526.SM.5QGQC	GTEX.13G51.1026.SM.5K7YQ	GTEX.U8XE.1826.SM.4E3HV	GTEX.ZYW4.1426.SM.5SIAX	GTEX.RNOR.1326.SM.48FDE	GTEX.QESD.0726.SM.4R1KQ	GTEX.11DYG.1426.SM.5A5JR	GTEX.T6MN.1526.SM.4DM5P	GTEX.RTLS.1226.SM.46MUP	GTEX.ZYVF.2326.SM.5E44Z	GTEX.REY6.1426.SM.48FDK	GTEX.YB5K.0726.SM.5LU8R	GTEX.OIZI.1326.SM.3NB1B	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.13PVQ.1826.SM.5L3GU	GTEX.RWS6.0726.SM.47JXI	GTEX.T5JC.1826.SM.4DM6E	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.145MH.1226.SM.5RQJT	GTEX.X8HC.1526.SM.46MWD	GTEX.12ZZY.1526.SM.5LZWF	GTEX.ZYT6.1226.SM.5E44Q	GTEX.13OVJ.1326.SM.5K7Z9	GTEX.ZG7Y.1326.SM.4WWBL	GTEX.T2IS.0926.SM.4DM5B	GTEX.Q2AH.1026.SM.48TZI	GTEX.RWSA.1326.SM.47JX9	GTEX.QCQG.0726.SM.48U1Z
GPX7	450.94	242.88	305.55	220.32	177.53	454.09	346.29	199.85	267.73	137.14	256.78	406.31	314.17	358.54	356.05	273.37	214.27	224.97	237.86	194.36	204.07	368.65	327.56	267.73	249.73	173.85	140.04	297.17	146.03	336.79	332.14	183.82	199.85	209.84	185.11	255.0	314.17	226.54	170.25	163.28	281.09	190.34	341.51	204.07	248.0	361.04	339.14	231.32	111.21	363.56	156.59	248.0	320.8
GSTM5	450.94	113.56	1008.9	525.39	802.41	2032.85	2537.92	395.18	775.05	258.57	1111.82	2664.15	1191.69	1233.75	1769.57	1378.57	2720.15	299.25	836.53	813.63	1023.0	1030.12	1331.57	361.04	1008.9	215.77	283.05	1044.52	137.14	1066.48	1096.5	703.28	285.03	68.07	162.14	567.1	1304.15	470.14	181.28	409.15	698.41	995.0	753.83	1023.0	212.78	1498.22	759.08	208.38	336.79	884.29	363.56	733.19	285.03
HEMK1	420.68	218.79	293.07	242.88	343.89	529.06	511.0	237.86	555.41	387.02	571.05	669.92	555.41	684.02	759.08	511.0	559.28	441.64	612.11	371.22	583.07	571.05	543.96	406.31	633.73	241.19	295.11	693.58	170.25	457.25	612.11	532.74	607.87	389.72	171.45	256.78	551.56	575.03	356.05	277.2	603.67	540.19	698.41	536.45	312.0	497.0	450.94	417.77	299.25	651.58	392.44	511.0	397.93
HMGN3	2209.26	1832.01	1757.34	1583.71	2004.85	3716.2	4419.52	1540.37	3212.66	2555.58	4010.71	4802.93	2976.74	3589.58	4736.79	4181.07	4358.66	2104.58	4358.66	1268.46	2835.7	3235.01	4038.61	2271.4	3515.68	718.08	2335.28	3419.52	1015.93	2591.27	3349.13	3060.45	2434.5	775.05	988.12	1233.75	3564.78	3325.99	1340.84	1322.37	3235.01	3395.89	2777.33	3665.02	1015.93	3349.13	3280.18	1721.16	866.07	3515.68	1066.48	2502.97	1331.57
IFIT1	656.11	403.5	236.21	500.46	217.27	1127.35	1259.69	57.08	521.76	90.77	748.61	947.83	518.15	271.48	693.58	447.82	981.29	486.75	669.92	52.08	289.02	1259.69	947.83	161.02	603.67	180.02	89.51	521.76	170.25	423.61	525.39	239.52	156.59	65.26	105.89	163.28	1088.92	323.03	39.79	114.36	486.75	318.57	309.83	607.87	98.73	1023.0	406.31	389.72	135.24	555.41	58.71	221.86	87.03
IFIT2	98.04	115.16	60.39	77.79	50.27	180.02	221.86	25.17	79.45	22.92	198.47	193.01	77.25	71.0	115.16	76.17	130.6	90.14	128.79	16.03	51.71	187.71	157.68	52.45	96.01	29.48	18.03	111.99	55.1	78.89	108.14	52.45	55.1	21.47	25.72	40.36	201.25	88.88	26.47	33.78	81.14	30.34	85.82	99.43	42.11	224.97	66.18	58.71	35.5	120.94	20.86	56.68	32.82
IL34	154.42	339.14	241.19	287.01	147.06	660.68	587.13	131.51	220.32	62.56	327.56	547.75	152.28	193.01	693.58	332.14	444.72	128.79	297.17	76.17	204.07	166.73	249.73	162.14	255.0	61.25	57.49	299.25	70.01	138.1	228.13	139.07	72.01	68.07	58.71	50.27	454.09	202.66	102.97	36.01	104.42	115.97	162.14	229.72	61.25	379.04	151.22	107.38	32.82	237.86	17.13	144.01	164.42
JPH4	75.64	8.99	13.93	66.65	45.21	62.56	42.11	7.82	7.22	11.3	61.25	56.28	51.35	23.76	33.3	37.59	79.45	31.0	22.92	12.55	27.64	44.25	48.87	31.9	13.72	23.08	21.16	45.85	8.58	36.27	34.51	37.05	31.9	23.59	20.26	18.43	43.94	33.54	12.64	23.25	41.22	10.96	25.17	54.33	15.0	47.5	49.21	24.11	11.04	66.18	26.86	46.84	10.31
KCNN3	339.14	91.41	62.12	140.04	108.9	299.25	395.18	32.59	249.73	35.25	312.0	341.51	164.42	214.27	679.29	211.31	470.14	68.07	183.82	22.43	127.89	262.2	218.79	147.06	236.21	8.13	39.79	246.28	24.11	134.3	244.57	169.07	80.01	63.45	19.25	14.89	493.56	165.57	36.79	26.28	105.89	94.67	211.31	251.48	41.52	400.71	173.85	56.28	26.67	185.11	12.36	138.1	12.55
KCTD16	2.39	1.01	1.07	0.59	2.63	2.58	0.49	0.85	1.0	0.0	1.83	2.66	1.81	4.31	3.5	4.1	3.35	0.87	1.41	0.0	0.95	0.97	0.88	1.39	2.03	0.41	0.0	2.78	0.97	1.83	0.89	0.92	0.0	0.44	0.0	0.49	1.99	0.47	0.0	0.0	1.91	0.47	3.96	0.48	0.41	4.78	0.95	0.43	0.0	1.81	0.0	1.41	0.0
LRFN4	183.82	555.41	239.52	264.03	125.24	825.0	698.41	103.69	674.59	132.44	591.22	457.25	403.5	363.56	583.07	591.22	607.87	178.77	633.73	242.88	387.02	460.44	555.41	205.5	679.29	178.77	146.03	381.68	109.66	343.89	450.94	301.33	363.56	412.0	140.04	161.02	417.77	579.04	126.12	163.28	339.14	221.86	406.31	414.87	323.03	307.69	435.55	103.69	146.03	543.96	127.0	248.0	237.86
LRSAM1	878.17	329.84	423.61	387.02	409.15	813.63	1037.29	307.69	909.17	361.04	708.18	753.83	466.88	728.11	1225.22	620.67	629.35	525.39	884.29	466.88	507.46	540.19	674.59	450.94	713.11	381.68	368.65	616.37	291.04	397.93	629.35	616.37	476.71	420.68	334.46	341.51	603.67	743.43	420.68	426.57	651.58	616.37	713.11	525.39	571.05	571.05	392.44	389.72	348.71	698.41	447.82	514.56	356.05
LSMEM2	15.68	8.99	4.78	3.79	23.76	40.93	19.25	17.64	34.02	6.06	41.81	16.63	21.78	17.13	9.48	26.47	23.42	6.21	43.63	9.48	31.22	13.83	15.45	5.92	27.25	10.16	15.22	24.28	7.34	24.11	22.43	14.45	11.64	7.69	8.92	6.57	12.74	6.01	22.59	9.13	19.68	11.73	19.25	17.77	7.51	22.92	20.86	11.04	4.5	19.39	3.96	13.32	13.42
LTC4S	127.0	215.77	287.01	157.68	146.03	1685.71	483.38	211.31	166.73	146.03	674.59	447.82	97.36	503.95	205.5	301.33	595.34	92.05	339.14	106.63	368.65	191.67	228.13	201.25	228.13	45.21	113.56	476.71	16.15	150.17	371.22	211.31	127.0	53.95	39.5	58.3	412.0	143.01	120.94	139.07	327.56	51.35	373.81	275.28	96.01	214.27	295.11	61.25	118.43	204.07	74.58	281.09	71.0
MAD1L1	346.29	325.29	253.23	232.94	320.8	1037.29	941.27	297.17	679.29	316.37	450.94	1119.56	470.14	438.59	1023.0	325.29	507.46	241.19	518.15	242.88	616.37	713.11	536.45	318.57	529.06	236.21	327.56	447.82	332.14	265.87	547.75	583.07	518.15	283.05	295.11	253.23	688.78	660.68	187.71	205.5	351.14	336.79	507.46	384.34	283.05	599.49	551.56	231.32	198.47	555.41	215.77	251.48	293.07
MAGEE2	36.79	6.26	15.56	8.13	6.62	5.82	6.41	1.57	9.7	1.55	7.82	10.47	9.27	9.78	5.23	5.06	13.03	1.27	5.41	6.78	3.11	2.48	9.85	8.71	8.99	2.41	1.0	10.0	2.51	8.78	3.59	9.85	12.45	1.6	0.65	4.28	15.91	4.5	4.03	3.69	6.16	3.82	10.47	5.59	2.41	11.38	4.86	3.5	2.25	9.93	1.0	3.08	3.17
MANBA	351.14	226.54	295.11	194.36	214.27	341.51	379.04	148.09	231.32	265.87	256.78	450.94	220.32	253.23	258.57	318.57	414.87	209.84	265.87	163.28	232.94	379.04	343.89	271.48	269.6	191.67	273.37	307.69	109.66	293.07	249.73	281.09	182.55	176.29	148.09	277.2	334.46	185.11	117.6	226.54	327.56	291.04	181.28	358.54	183.82	307.69	224.97	195.72	119.26	329.84	185.11	305.55	226.54
MFSD10	1104.13	1322.37	1313.23	1015.93	1183.45	3039.3	2645.74	1088.92	2018.8	1135.2	2400.97	2434.5	2434.5	2090.03	3103.19	2018.8	2758.13	1794.29	2777.33	1583.71	1662.49	2148.82	2061.24	1427.22	2502.97	1322.37	1066.48	2287.2	860.08	1709.26	2148.82	2485.67	1709.26	1437.15	995.0	780.44	2303.12	2384.37	1350.18	1127.35	1674.06	1159.07	2061.24	1769.57	1594.73	2193.99	1991.0	1467.37	1397.83	2758.13	1151.06	1794.29	1322.37
MOSPD3	583.07	395.18	420.68	441.64	529.06	669.92	780.44	318.57	620.67	348.71	633.73	825.0	571.05	620.67	974.5	612.11	688.78	507.46	587.13	341.51	884.29	854.13	743.43	507.46	733.19	303.44	395.18	660.68	353.59	497.0	674.59	612.11	483.38	339.14	368.65	406.31	669.92	599.49	384.34	400.71	587.13	532.74	624.99	624.99	463.65	703.28	665.29	476.71	432.53	769.69	392.44	529.06	473.41
MXRA8	4210.15	2287.2	3395.89	2777.33	2104.58	9808.75	7911.95	2609.3	2777.33	2178.83	5006.93	7589.61	3325.99	4388.98	8479.89	3540.14	7081.29	3349.13	5076.84	1617.0	5183.54	5076.84	5791.62	2271.4	5292.48	1081.39	2319.15	3874.05	1540.37	2417.67	2502.97	4123.49	1529.73	1977.24	854.13	1081.39	5292.48	4181.07	2148.82	878.17	3690.52	4512.4	3589.58	3820.7	2915.45	6607.01	2835.7	2104.58	674.59	5041.77	825.0	2855.44	1407.55
NAP1L2	226.54	75.11	153.34	183.82	120.94	121.79	138.1	38.4	118.43	55.1	161.02	158.79	68.07	62.12	126.12	101.54	150.17	76.17	111.99	57.08	53.19	144.01	111.99	53.19	88.88	41.22	55.89	95.34	82.29	107.38	120.1	72.52	76.71	37.32	97.36	228.13	199.85	68.55	47.84	76.71	74.58	77.79	75.11	120.94	18.7	164.42	84.63	69.03	38.4	135.24	71.5	63.45	170.25
NBAS	642.59	460.44	551.56	624.99	518.15	703.28	708.18	612.11	884.29	583.07	921.88	954.43	753.83	854.13	796.86	848.22	836.53	738.29	915.51	536.45	988.12	1059.11	872.1	785.88	780.44	591.22	660.68	860.08	457.25	698.41	674.59	769.69	764.36	603.67	483.38	595.34	764.36	796.86	616.37	435.55	698.41	921.88	708.18	743.43	536.45	902.89	713.11	651.58	547.75	808.0	599.49	693.58	587.13
NDN	1769.57	599.49	1447.15	1199.98	974.5	1540.37	1175.27	500.46	1250.98	559.28	1225.22	2119.22	1340.84	1268.46	1572.76	1295.13	1487.87	583.07	928.3	460.44	1447.15	1757.34	1304.15	656.11	1008.9	497.0	490.14	988.12	616.37	1350.18	1242.34	967.76	656.11	339.14	567.1	909.17	1295.13	1225.22	444.72	441.64	1159.07	1104.13	1135.2	1477.58	417.77	1378.57	1191.69	656.11	295.11	1529.73	441.64	1111.82	854.13
NEK11	114.36	69.03	104.42	117.6	63.0	187.71	180.02	45.21	108.14	28.65	147.06	158.79	178.77	152.28	115.16	128.79	191.67	37.32	153.34	42.11	103.69	103.69	107.38	59.97	178.77	35.0	63.45	135.24	56.28	104.42	117.6	75.11	55.1	48.87	41.52	37.05	135.24	111.99	62.12	73.54	96.01	110.43	150.17	123.5	60.82	134.3	104.42	31.22	46.5	148.09	49.91	124.37	45.53
NFIX	5555.65	1277.29	2209.26	2319.15	2075.59	2609.3	3060.45	684.02	2193.99	748.61	1745.2	2434.5	1331.57	2956.17	1963.57	2061.24	3124.78	620.67	1242.34	403.5	1081.39	2367.9	2287.2	1277.29	1519.15	791.35	665.29	1477.58	1199.98	1697.45	2018.8	1088.92	902.89	1081.39	669.92	1127.35	1870.53	1015.93	460.44	1437.15	1909.85	1733.13	2209.26	1950.0	995.0	1963.57	1923.14	518.15	642.59	1628.26	934.76	1605.83	1111.82
NIPSNAP1	373.81	237.86	164.42	127.0	228.13	371.22	438.59	132.44	343.89	228.13	395.18	571.05	305.55	301.33	406.31	356.05	332.14	241.19	346.29	214.27	312.0	353.59	476.71	251.48	400.71	157.68	232.94	332.14	141.02	287.01	325.29	314.17	248.0	236.21	251.48	260.38	351.14	285.03	115.16	190.34	305.55	231.32	264.03	403.5	271.48	395.18	265.87	217.27	140.04	429.54	169.07	289.02	265.87
NPR2	1286.18	785.88	1216.75	947.83	848.22	981.29	1135.2	473.41	878.17	808.0	1111.82	961.07	909.17	791.35	1322.37	759.08	967.76	642.59	1242.34	579.04	967.76	748.61	1001.93	825.0	1135.2	314.17	775.05	854.13	507.46	708.18	830.75	866.07	753.83	536.45	624.99	571.05	1008.9	1044.52	463.65	476.71	638.15	718.08	796.86	872.1	629.35	1111.82	728.11	616.37	703.28	961.07	559.28	684.02	563.18
NR3C2	205.5	53.19	72.52	80.57	105.15	183.82	226.54	29.48	193.01	101.54	167.9	253.23	146.03	116.78	234.57	242.88	271.48	55.49	137.14	55.89	146.03	224.97	277.2	120.94	157.68	30.12	96.01	182.55	61.25	127.0	211.31	158.79	94.67	74.58	48.52	87.03	177.53	68.55	29.91	55.49	211.31	176.29	158.79	162.14	42.71	206.94	150.17	75.64	50.27	198.47	46.84	156.59	69.52
NTHL1	476.71	348.71	173.85	299.25	223.41	669.92	607.87	62.12	514.56	229.72	647.07	753.83	356.05	591.22	808.0	529.06	547.75	239.52	567.1	186.4	656.11	842.36	679.29	371.22	406.31	111.99	173.85	674.59	112.77	303.44	486.75	414.87	379.04	148.09	154.42	105.15	518.15	463.65	91.41	110.43	420.68	420.68	536.45	551.56	167.9	708.18	575.03	107.38	119.26	642.59	118.43	409.15	204.07
NUDT6	100.83	87.65	74.58	60.39	80.57	186.4	169.07	44.57	154.42	115.97	176.29	191.67	170.25	158.79	134.3	163.28	164.42	100.13	183.82	88.88	115.16	138.1	214.27	116.78	181.28	41.52	111.21	194.36	98.04	115.97	130.6	81.14	122.64	87.65	56.68	112.77	165.57	102.25	72.01	39.79	123.5	132.44	93.35	137.14	66.65	131.51	124.37	64.34	38.95	136.19	47.5	80.57	108.9
NYNRIN	339.14	205.5	255.0	256.78	215.77	507.46	603.67	37.05	363.56	88.88	406.31	397.93	251.48	409.15	575.03	392.44	802.41	173.85	281.09	78.89	162.14	191.67	373.81	193.01	412.0	30.78	100.13	387.02	70.51	176.29	348.71	221.86	224.97	116.78	56.68	120.94	571.05	289.02	59.97	55.89	299.25	164.42	293.07	327.56	152.28	473.41	234.57	74.58	118.43	373.81	87.03	228.13	116.78
OLFML1	351.14	412.0	733.19	403.5	325.29	1540.37	1378.57	148.09	521.76	79.45	460.44	1286.18	366.09	532.74	854.13	599.49	1143.1	103.69	273.37	32.59	358.54	591.22	665.29	279.14	559.28	55.49	76.17	497.0	44.89	356.05	486.75	262.2	271.48	68.55	52.45	102.25	830.75	248.0	74.06	63.0	289.02	206.94	406.31	400.71	136.19	934.76	267.73	69.52	52.45	460.44	42.41	346.29	58.71
PBX3	3372.43	1191.69	1167.14	1135.2	1259.69	988.12	995.0	480.04	819.3	620.67	921.88	1037.29	961.07	988.12	1551.09	921.88	1159.07	540.19	723.08	397.93	698.41	825.0	1059.11	780.44	1044.52	432.53	579.04	928.3	642.59	796.86	1151.06	759.08	941.27	543.96	583.07	624.99	1015.93	769.69	591.22	764.36	1127.35	890.44	1044.52	896.64	435.55	1104.13	802.41	497.0	733.19	954.43	708.18	947.83	890.44
PCED1B	279.14	96.01	60.39	41.22	57.89	211.31	197.09	55.49	114.36	63.89	229.72	180.02	206.94	228.13	94.01	111.99	194.36	88.88	190.34	38.67	65.72	85.82	127.89	90.14	178.77	15.11	57.89	157.68	73.54	150.17	104.42	181.28	79.45	71.5	21.94	32.82	166.73	185.11	39.79	51.71	163.28	92.05	199.85	107.38	42.11	111.21	115.16	56.68	19.68	138.1	45.85	114.36	54.33
PINLYP	511.0	249.73	253.23	242.88	251.48	713.11	688.78	289.02	460.44	24.99	633.73	890.44	536.45	547.75	1397.83	616.37	842.36	226.54	848.22	53.19	529.06	802.41	376.41	444.72	486.75	180.02	42.11	356.05	72.01	444.72	620.67	236.21	244.57	100.83	140.04	143.01	392.44	551.56	138.1	109.66	454.09	438.59	417.77	679.29	214.27	579.04	473.41	163.28	65.72	476.71	400.71	346.29	334.46
PJA1	819.3	379.04	301.33	384.34	299.25	480.04	432.53	100.13	529.06	197.09	353.59	638.15	334.46	688.78	463.65	444.72	536.45	241.19	486.75	234.57	395.18	738.29	329.84	229.72	403.5	223.41	248.0	397.93	309.83	334.46	497.0	299.25	343.89	224.97	279.14	269.6	343.89	447.82	116.78	242.88	265.87	366.09	409.15	409.15	275.28	656.11	366.09	301.33	275.28	708.18	297.17	389.72	283.05
PLCD1	417.77	441.64	525.39	514.56	438.59	620.67	633.73	187.71	620.67	591.22	698.41	733.19	497.0	607.87	713.11	607.87	563.18	507.46	669.92	173.85	591.22	571.05	669.92	476.71	791.35	183.82	559.28	514.56	218.79	486.75	543.96	444.72	334.46	511.0	195.72	387.02	764.36	555.41	105.15	316.37	503.95	629.35	412.0	583.07	303.44	547.75	438.59	275.28	289.02	603.67	154.42	490.14	486.75
PLD5	15.34	21.47	19.82	31.0	40.07	127.89	137.14	10.0	70.01	5.87	31.9	72.52	40.36	41.81	48.18	43.94	128.79	9.34	26.1	0.6	32.82	48.18	57.49	29.7	28.04	13.42	8.32	58.3	6.84	30.56	27.05	30.12	4.46	1.73	5.11	25.35	107.38	10.71	13.03	11.13	21.16	29.27	71.0	33.3	4.31	56.28	21.78	3.86	16.15	52.82	6.01	29.48	3.11
PLXNA3	323.03	607.87	343.89	361.04	327.56	1015.93	1369.04	239.52	796.86	543.96	698.41	872.1	860.08	1183.45	1159.07	995.0	961.07	497.0	547.75	412.0	476.71	651.58	567.1	532.74	974.5	780.44	193.01	836.53	285.03	490.14	902.89	1159.07	802.41	339.14	262.2	159.9	599.49	988.12	361.04	301.33	638.15	575.03	656.11	435.55	447.82	802.41	595.34	303.44	289.02	1008.9	281.09	332.14	195.72
PNMAL2	110.43	25.54	38.67	42.11	25.17	122.64	100.13	9.78	40.64	16.75	44.89	58.3	31.67	64.34	103.69	33.3	78.34	28.86	46.18	18.56	42.41	76.71	62.12	25.54	53.57	12.45	20.71	37.05	7.22	30.78	44.89	31.45	23.93	14.78	9.56	27.64	97.36	58.71	13.03	20.71	25.54	31.67	57.89	46.18	18.84	65.72	35.5	20.11	10.31	69.52	20.71	36.01	40.36
PPP2R3B	47.5	120.94	94.67	74.06	110.43	420.68	316.37	141.02	191.67	143.01	314.17	314.17	198.47	348.71	379.04	271.48	275.28	43.94	417.77	109.66	242.88	171.45	283.05	135.24	265.87	111.99	111.21	224.97	96.01	158.79	262.2	176.29	186.4	67.59	67.12	100.13	181.28	237.86	165.57	62.56	206.94	198.47	232.94	197.09	85.22	157.68	181.28	50.63	124.37	226.54	98.73	199.85	71.0
PYROXD2	223.41	141.02	295.11	251.48	183.82	718.08	607.87	201.25	532.74	265.87	693.58	521.76	403.5	665.29	607.87	567.1	679.29	244.57	684.02	267.73	363.56	603.67	703.28	312.0	638.15	161.02	199.85	529.06	183.82	395.18	607.87	392.44	497.0	161.02	178.77	165.57	412.0	503.95	138.1	182.55	579.04	511.0	616.37	575.03	171.45	551.56	351.14	182.55	121.79	651.58	251.48	297.17	244.57
RAB37	24.81	40.36	40.93	49.91	67.59	921.88	1407.55	22.75	98.73	51.71	414.87	591.22	157.68	106.63	189.02	246.28	674.59	51.35	201.25	27.84	198.47	143.01	379.04	95.34	194.36	14.14	44.25	336.79	15.91	139.07	217.27	129.69	116.78	37.85	44.57	48.87	356.05	98.04	27.05	142.01	76.71	46.84	157.68	228.13	27.84	130.6	153.34	42.71	75.64	191.67	81.71	76.71	20.26
RBM43	237.86	88.26	137.14	72.01	84.63	193.01	151.22	58.3	93.35	53.19	135.24	194.36	80.57	59.55	119.26	82.29	139.07	72.52	103.69	30.34	47.5	107.38	130.6	71.5	109.66	55.89	74.58	99.43	65.72	84.63	84.63	121.79	86.43	59.13	45.21	95.34	133.36	68.07	35.76	81.71	89.51	75.64	77.25	102.97	60.39	152.28	63.45	90.14	29.7	108.9	65.72	67.59	70.01
ROBO3	665.29	480.04	633.73	346.29	497.0	2133.97	2004.85	277.2	551.56	457.25	1467.37	1135.2	1073.91	796.86	1159.07	1111.82	1909.85	518.15	1313.23	325.29	647.07	941.27	974.5	366.09	595.34	279.14	305.55	1081.39	153.34	633.73	836.53	753.83	511.0	229.72	119.26	234.57	1081.39	1151.06	287.01	150.17	547.75	392.44	543.96	651.58	438.59	764.36	633.73	466.88	201.25	836.53	145.02	607.87	199.85
SERTAD4	470.14	208.38	56.28	63.0	36.53	102.97	232.94	7.75	82.29	7.94	144.01	106.63	59.55	92.05	209.84	63.0	185.11	15.68	89.51	7.4	28.65	69.52	94.67	21.94	63.89	10.63	9.93	108.14	37.05	38.4	80.01	32.36	42.41	40.36	13.12	10.55	167.9	35.76	24.11	3.66	46.5	31.45	112.77	108.14	30.78	141.02	69.03	18.03	10.96	80.57	13.12	47.17	14.24
SGCG	84.04	113.56	139.07	120.1	35.0	193.01	454.09	22.75	186.4	9.85	121.79	299.25	125.24	79.45	267.73	98.04	314.17	25.35	88.88	20.71	100.83	95.34	176.29	62.12	92.05	26.1	12.45	114.36	11.38	107.38	102.25	60.39	43.02	13.62	12.18	21.63	154.42	77.79	41.52	29.7	40.07	53.95	66.65	102.97	23.76	215.77	63.45	26.47	15.22	32.59	13.93	87.65	13.12
SH3GLB2	2193.99	1794.29	1685.71	2075.59	2956.17	3768.09	2739.08	1963.57	2591.27	2240.11	3168.41	3395.89	3491.39	3614.55	3325.99	3060.45	3395.89	2664.15	3443.31	2367.9	3146.52	3794.3	3018.3	2645.74	3419.52	1757.34	2163.77	3540.14	1628.26	3060.45	2758.13	3212.66	2915.45	2004.85	1467.37	1857.6	2777.33	3060.45	2209.26	2075.59	2835.7	3212.66	3742.05	2935.74	2520.38	2935.74	3081.75	2384.37	2133.97	3124.78	2287.2	2835.7	2018.8
SHISA3	185.11	1030.12	674.59	420.68	688.78	2367.9	1322.37	384.34	947.83	148.09	543.96	1781.89	454.09	500.46	1096.5	860.08	1583.71	217.27	368.65	129.69	381.68	723.08	651.58	521.76	674.59	75.11	228.13	878.17	194.36	466.88	409.15	384.34	371.22	214.27	105.89	206.94	1519.15	221.86	381.68	132.44	612.11	343.89	503.95	389.72	121.79	780.44	529.06	211.31	287.01	395.18	96.01	642.59	81.71
SLC1A7	58.71	95.34	258.57	156.59	144.01	1457.23	1277.29	40.93	848.22	62.56	190.34	587.13	267.73	195.72	169.07	555.41	1159.07	95.34	139.07	13.62	334.46	698.41	412.0	323.03	511.0	14.89	62.12	116.78	13.52	236.21	281.09	206.94	500.46	49.56	28.65	78.34	381.68	221.86	23.76	46.84	129.69	244.57	180.02	228.13	62.56	249.73	218.79	43.32	27.44	138.1	44.89	214.27	45.85
SLC35B2	813.63	476.71	497.0	480.04	457.25	961.07	1208.34	346.29	796.86	543.96	698.41	902.89	651.58	785.88	1081.39	753.83	1119.56	470.14	638.15	447.82	967.76	708.18	967.76	579.04	878.17	620.67	521.76	620.67	532.74	642.59	633.73	551.56	521.76	595.34	660.68	547.75	775.05	688.78	348.71	500.46	642.59	497.0	688.78	624.99	642.59	703.28	693.58	454.09	483.38	780.44	438.59	480.04	684.02
SLC9A3R2	2163.77	1896.65	1015.93	1135.2	1721.16	5147.73	3303.0	612.11	3874.05	1529.73	3303.0	3742.05	2133.97	2573.36	3768.09	2701.35	5329.3	1487.87	3614.55	1977.24	2915.45	2682.69	2573.36	1977.24	2384.37	555.41	1870.53	3018.3	769.69	1508.65	3901.01	3901.01	1540.37	1340.84	1437.15	1561.89	5403.7	3742.05	708.18	769.69	1508.65	1794.29	2645.74	3820.7	872.1	3794.3	4268.94	1191.69	1870.53	3124.78	947.83	1457.23	866.07
SLITRK6	24.28	78.89	36.01	88.26	27.05	169.07	275.28	12.36	178.77	4.35	525.39	177.53	70.01	229.72	226.54	123.5	275.28	75.64	500.46	5.41	70.51	146.03	208.38	37.32	194.36	5.45	3.79	190.34	10.63	64.34	72.01	70.01	55.1	7.11	9.48	4.17	215.77	197.09	24.46	4.9	63.89	43.94	149.12	114.36	7.0	327.56	165.57	42.11	6.21	161.02	3.29	14.89	0.99
SMARCAL1	262.2	189.02	190.34	206.94	214.27	281.09	229.72	123.5	208.38	132.44	212.78	318.57	248.0	228.13	262.2	256.78	265.87	197.09	175.07	108.9	253.23	264.03	275.28	211.31	275.28	137.14	167.9	214.27	161.02	223.41	226.54	253.23	175.07	173.85	128.79	164.42	189.02	212.78	121.79	181.28	234.57	262.2	193.01	241.19	157.68	277.2	209.84	156.59	177.53	265.87	176.29	181.28	152.28
SMG6	954.43	1001.93	981.29	1143.1	878.17	1819.35	2502.97	866.07	1183.45	759.08	1457.23	1709.26	1015.93	1388.16	1268.46	1119.56	1417.35	769.69	1304.15	624.99	1498.22	1304.15	1477.58	1183.45	1540.37	679.29	775.05	1208.34	728.11	1037.29	1417.35	954.43	934.76	1111.82	743.43	647.07	2047.0	1191.69	872.1	698.41	884.29	1030.12	1167.14	1388.16	1199.98	1832.01	1159.07	629.35	571.05	1304.15	808.0	941.27	693.58
SNUPN	540.19	358.54	406.31	327.56	361.04	525.39	470.14	307.69	476.71	353.59	547.75	775.05	490.14	483.38	567.1	567.1	543.96	387.02	466.88	323.03	563.18	536.45	536.45	480.04	414.87	332.14	289.02	507.46	244.57	423.61	579.04	417.77	397.93	279.14	256.78	339.14	503.95	395.18	255.0	312.0	420.68	397.93	429.54	493.56	309.83	571.05	432.53	283.05	379.04	583.07	363.56	373.81	366.09
