	TCGA.UY.A8OB.01A.12R.A42T.07	TCGA.FJ.A871.01A.11R.A352.07	TCGA.XF.A9T6.01A.11R.A42T.07	TCGA.JX.A3PZ.01A.11R.A32Y.07	TCGA.CV.5966.01A.11R.1686.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.FV.A2QR.01A.11R.A213.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.DD.AACP.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.DD.A1EG.11A.11R.A213.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.11OF3.0726.SM.5BC4Z	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07
LRRN3	6.84	0.88	0.27	3.2	6.78	1.22	1.2	2.07	0.28	1.03	1.33	3.35	3.69	2.01	1.43	0.0	0.48	1.23	6.73	4.74	27.25	11.64	19.11	4.17	57.89	18.84	47.17	30.12	18.03	16.15	11.13	17.25	36.01	37.05	35.25	16.63	13.62	47.17	24.28	59.13	21.63	30.78	18.29	7.69	49.91	24.11	4.31	53.19	5.92	45.21	37.32	0.0	0.0
MAP3K2	71.5	68.07	80.57	96.01	131.51	142.01	89.51	153.34	99.43	67.59	185.11	98.04	88.26	104.42	98.04	114.36	61.25	82.87	151.22	186.4	248.0	273.37	244.57	150.17	271.48	231.32	314.17	242.88	265.87	231.32	269.6	223.41	191.67	327.56	221.86	271.48	186.4	279.14	183.82	346.29	403.5	269.6	239.52	204.07	281.09	209.84	152.28	400.71	151.22	325.29	429.54	237.86	76.17
MBLAC2	26.86	10.71	38.67	39.22	18.16	16.15	23.59	88.26	48.52	29.7	55.1	31.22	42.11	36.53	28.45	30.34	25.72	19.97	46.18	59.55	63.89	100.83	63.45	83.45	65.26	75.64	94.67	90.77	89.51	75.11	115.97	90.14	83.45	120.1	54.33	82.87	60.39	97.36	59.13	95.34	88.26	78.89	68.55	49.56	108.14	89.51	50.27	112.77	31.45	87.03	143.01	0.0	21.32
METTL20	6.67	26.1	22.1	16.63	12.74	16.15	42.71	76.71	104.42	46.18	78.34	48.18	26.47	69.03	53.95	82.29	24.99	84.04	101.54	126.12	187.71	175.07	172.65	50.63	176.29	161.02	158.79	175.07	140.04	148.09	159.9	116.78	111.21	144.01	178.77	169.07	105.15	175.07	154.42	193.01	140.04	163.28	156.59	60.39	197.09	221.86	161.02	135.24	33.3	148.09	285.03	0.0	23.42
MICU1	486.75	954.43	660.68	624.99	660.68	486.75	921.88	1044.52	860.08	825.0	1208.34	1008.9	934.76	1127.35	890.44	1605.83	612.11	836.53	1781.89	1508.65	1977.24	2148.82	2664.15	1359.57	2271.4	2468.49	2758.13	2061.24	2976.74	2796.65	2032.85	1950.0	3124.78	2720.15	2075.59	2119.22	2555.58	2502.97	2739.08	2609.3	2240.11	2209.26	2209.26	1721.16	2335.28	2520.38	2520.38	2502.97	1447.15	2573.36	2720.15	0.0	420.68
NFIA	332.14	7.88	81.14	58.3	127.0	100.13	98.04	251.48	154.42	94.01	351.14	100.83	78.34	185.11	186.4	209.84	94.67	211.31	301.33	325.29	507.46	409.15	432.53	226.54	633.73	397.93	587.13	669.92	656.11	301.33	420.68	423.61	529.06	638.15	348.71	769.69	463.65	764.36	507.46	684.02	493.56	389.72	387.02	237.86	486.75	633.73	450.94	638.15	500.46	642.59	738.29	102.25	32.36
NHLRC3	75.64	63.45	169.07	151.22	109.66	81.71	152.28	182.55	141.02	86.43	346.29	228.13	177.53	256.78	226.54	182.55	69.52	127.0	253.23	248.0	275.28	409.15	460.44	163.28	387.02	265.87	366.09	432.53	423.61	297.17	339.14	325.29	301.33	366.09	190.34	371.22	392.44	384.34	483.38	591.22	540.19	387.02	466.88	181.28	595.34	476.71	301.33	753.83	127.0	412.0	412.0	248.0	79.45
NOL4	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	21.01	0.0	19.25	0.0	1.01	0.0	0.0	0.0	0.0	1.79	18.56	23.93	40.36	50.63	100.83	14.14	46.18	21.16	36.53	70.01	57.08	35.5	42.11	37.05	38.4	80.57	23.76	52.08	31.9	83.45	48.87	53.19	43.02	53.95	38.12	12.64	32.82	50.98	36.01	87.65	4.74	45.53	68.55	0.0	0.0
NR3C2	0.0	0.89	0.56	0.53	1.11	0.52	8.25	51.35	53.19	19.68	53.95	18.16	10.79	27.84	17.51	40.64	10.79	5.59	71.0	83.45	215.77	163.28	78.89	56.28	198.47	114.36	246.28	185.11	199.85	66.18	122.64	100.83	123.5	198.47	126.12	172.65	190.34	206.94	117.6	323.03	95.34	103.69	214.27	92.7	181.28	102.97	162.14	291.04	107.38	214.27	395.18	0.0	2.84
PBLD	24.28	25.91	104.42	61.25	34.75	89.51	466.88	825.0	713.11	866.07	567.1	429.54	358.54	212.78	825.0	995.0	384.34	395.18	3443.31	5292.48	3847.29	7966.99	7180.15	4869.99	6426.31	10296.45	7382.04	7081.29	7695.57	5831.91	6887.62	5517.27	7280.4	8901.53	5219.6	7081.29	7485.11	8134.41	5517.27	9945.68	6381.92	7749.1	4937.99	3955.48	9409.14	4671.57	9945.68	10225.32	3716.2	7695.57	10014.87	0.0	38.12
PER3	19.53	15.34	35.25	55.49	18.84	40.07	47.17	92.05	79.45	13.83	98.04	57.89	33.78	118.43	35.25	113.56	59.13	22.75	218.79	105.15	493.56	103.69	387.02	140.04	194.36	420.68	620.67	289.02	947.83	159.9	260.38	66.18	412.0	231.32	571.05	1030.12	144.01	473.41	279.14	669.92	457.25	356.05	490.14	275.28	679.29	764.36	139.07	954.43	63.0	277.2	713.11	0.0	15.8
RAPH1	58.3	54.72	53.57	55.1	128.79	79.45	151.22	373.81	176.29	119.26	269.6	239.52	61.25	87.03	191.67	198.47	38.95	87.65	253.23	271.48	665.29	961.07	1073.91	118.43	559.28	1030.12	890.44	941.27	1023.0	423.61	343.89	447.82	656.11	1037.29	567.1	1001.93	563.18	1250.98	603.67	1104.13	830.75	555.41	915.51	486.75	713.11	813.63	239.52	1242.34	329.84	780.44	830.75	165.57	39.79
RP11-1070N10.3	0.0	0.58	2.1	0.0	1.46	0.88	5.45	11.47	46.5	8.45	4.35	28.86	1.93	14.14	8.58	5.23	1.87	11.13	29.7	23.25	18.43	19.11	61.25	16.15	58.71	50.98	41.52	53.19	54.72	38.95	17.9	33.06	23.59	45.53	21.32	52.08	45.53	88.26	53.57	64.8	40.93	44.25	3.63	20.41	52.82	29.48	15.56	41.22	29.7	52.08	21.47	0.0	13.62
RP11-368I7.4	8.32	9.13	10.63	3.26	3.14	5.11	7.4	5.82	23.25	19.25	9.27	13.93	12.64	14.03	13.12	12.0	19.11	6.11	33.54	20.86	26.28	21.16	43.32	7.94	43.32	25.91	32.59	11.82	32.82	29.91	43.02	21.01	37.05	40.36	44.57	73.54	25.54	59.97	30.78	73.03	47.5	12.45	7.82	15.45	30.56	27.25	25.54	23.42	11.82	50.63	38.12	0.0	0.85
SCP2	1561.89	1208.34	665.29	1781.89	842.36	1191.69	2104.58	7911.95	4481.23	4419.52	9474.59	2796.65	2319.15	6935.54	10296.45	5517.27	3820.7	7280.4	14461.21	14867.79	16496.96	25005.23	29736.59	12329.98	20170.07	18560.17	25179.16	21768.19	16045.82	13123.73	29736.59	16727.26	18560.17	18560.17	9876.98	19482.97	15607.02	25887.07	14663.09	25708.25	17927.91	18819.27	11909.94	8191.0	20170.07	20593.91	31432.17	32315.87	11189.6	20030.74	29124.6	0.0	2555.58
SEPSECS	32.59	57.49	61.68	32.59	22.43	78.89	53.57	223.41	163.28	170.25	208.38	98.73	86.43	190.34	180.02	206.94	69.52	128.79	260.38	599.49	273.37	403.5	414.87	309.83	575.03	301.33	435.55	309.83	629.35	567.1	406.31	684.02	503.95	723.08	260.38	336.79	343.89	316.37	341.51	493.56	633.73	435.55	483.38	287.01	698.41	480.04	327.56	825.0	92.7	438.59	500.46	0.0	59.13
SLC19A3	2.89	11.13	19.97	21.01	2.68	2.58	211.31	45.85	269.6	98.04	85.82	12.83	211.31	143.01	38.67	143.01	24.46	53.95	271.48	202.66	961.07	441.64	769.69	638.15	603.67	518.15	738.29	1088.92	743.43	417.77	271.48	189.02	764.36	1628.26	490.14	420.68	708.18	444.72	896.64	1617.0	796.86	483.38	836.53	334.46	2178.83	460.44	220.32	642.59	400.71	571.05	1151.06	0.0	1.73
SLC2A2	0.0	0.0	0.0	0.31	0.0	0.0	2090.03	2434.5	2193.99	1721.16	3280.18	2400.97	1242.34	1685.71	3103.19	3103.19	941.27	2255.7	3874.05	3820.7	12502.12	15285.81	12589.08	4869.99	21026.65	27745.15	18819.27	36106.23	23986.58	17558.94	9740.98	17437.64	26248.46	26431.04	15824.9	25005.23	14461.21	23330.64	41475.31	23009.42	18950.18	23820.89	21172.91	9409.14	23986.58	18950.18	9945.68	34396.12	4512.4	22850.48	52863.07	0.0	7.75
SLC35D1	139.07	67.12	75.11	102.25	118.43	81.14	136.19	275.28	246.28	346.29	536.45	148.09	221.86	327.56	269.6	316.37	183.82	309.83	633.73	511.0	1191.69	616.37	902.89	703.28	708.18	1015.93	848.22	1008.9	738.29	802.41	2163.77	842.36	802.41	708.18	698.41	928.3	703.28	819.3	1685.71	1073.91	684.02	1066.48	764.36	476.71	1397.83	713.11	813.63	1023.0	543.96	1104.13	1697.45	0.0	67.59
SLC46A3	41.52	35.0	18.84	232.94	31.9	10.39	110.43	490.14	507.46	503.95	2555.58	98.73	26.67	1104.13	1216.75	555.41	32.59	551.56	1268.46	947.83	3540.14	1844.76	6983.79	1081.39	2915.45	2400.97	3212.66	3124.78	2075.59	878.17	1697.45	718.08	3081.75	2739.08	934.76	1909.85	4607.24	6745.86	3847.29	6337.83	1991.0	1498.22	1617.0	813.63	6121.9	1437.15	825.0	3443.31	518.15	4268.94	6607.01	0.0	54.33
SMARCA2	209.84	234.57	301.33	463.65	830.75	379.04	361.04	291.04	327.56	497.0	1066.48	403.5	175.07	392.44	441.64	587.13	215.77	299.25	860.08	743.43	1417.35	1199.98	1709.26	660.68	1350.18	1936.53	1457.23	1519.15	941.27	1127.35	1359.57	547.75	1819.35	2591.27	902.89	2133.97	1268.46	2384.37	1781.89	2061.24	961.07	1096.5	688.78	536.45	1551.09	1674.06	928.3	1757.34	842.36	1709.26	2555.58	595.34	373.81
TAPT1	77.79	48.52	77.79	128.79	120.1	129.69	161.02	381.68	332.14	283.05	480.04	175.07	202.66	361.04	275.28	343.89	157.68	414.87	480.04	470.14	656.11	559.28	629.35	463.65	909.17	679.29	791.35	872.1	738.29	624.99	728.11	872.1	688.78	1286.18	842.36	684.02	896.64	802.41	514.56	1127.35	579.04	878.17	802.41	457.25	1119.56	1001.93	603.67	1081.39	409.15	830.75	915.51	0.0	52.45
TESK2	63.0	22.1	34.75	41.81	38.67	22.43	48.52	101.54	50.27	32.59	35.25	52.45	57.49	87.65	35.0	48.87	21.63	50.98	84.63	90.14	135.24	195.72	98.73	55.49	218.79	130.6	204.07	76.17	264.03	121.79	163.28	126.12	221.86	158.79	149.12	112.77	149.12	134.3	181.28	232.94	163.28	167.9	116.78	66.18	178.77	131.51	103.69	155.5	63.89	260.38	128.79	0.0	49.91
TPPP2	0.0	0.0	4.98	0.0	0.0	0.0	31.67	30.34	2.68	11.82	12.27	6.16	10.88	14.03	34.51	124.37	5.77	7.11	186.4	303.44	753.83	1233.75	1477.58	120.1	2451.44	2148.82	684.02	356.05	1519.15	271.48	255.0	234.57	961.07	961.07	447.82	866.07	629.35	1883.54	303.44	1081.39	928.3	253.23	525.39	332.14	532.74	348.71	70.51	540.19	129.69	848.22	909.17	0.0	0.47
TTR	0.0	0.0	0.82	0.0	0.77	0.82	17078.76	96616.71	462789.59	23656.34	147462.67	39237.98	15075.35	100023.92	72213.45	59887.86	19214.73	109455.64	290865.98	428815.23	1093103.58	716197.51	1221310.69	585779.24	971597.0	1589343.01	524287.0	805764.22	978355.0	1556634.79	932018.1	1432396.03	741454.2	857631.47	2247670.86	2068278.89	857631.47	1442359.14	875652.15	453265.5	1318073.06	1196176.45	687022.54	1048575.0	1393227.06	2111737.85	958220.73	443937.41	585779.24	1556634.79	1775752.63	0.0	156.59
UBR3	120.94	96.01	99.43	175.07	141.02	169.07	201.25	291.04	189.02	289.02	336.79	197.09	169.07	239.52	221.86	140.04	185.11	260.38	384.34	371.22	307.69	392.44	444.72	454.09	441.64	336.79	612.11	521.76	470.14	376.41	518.15	406.31	447.82	454.09	325.29	329.84	503.95	567.1	281.09	536.45	397.93	486.75	346.29	373.81	514.56	441.64	409.15	775.05	316.37	511.0	543.96	0.0	92.7
UGP2	1437.15	836.53	1081.39	1950.0	660.68	775.05	2271.4	14971.21	5183.54	1950.0	4358.66	2573.36	1467.37	9151.82	7911.95	4066.71	2148.82	7433.4	7695.57	5711.87	14065.74	8901.53	13123.73	7857.29	8538.88	10084.54	7911.95	18819.27	14461.21	10808.41	3690.52	15934.98	13968.57	11035.54	14663.09	16496.96	13033.07	16269.83	13399.51	26431.04	7695.57	13776.25	11745.96	8191.0	25887.07	14867.79	3901.01	16611.71	6983.79	15715.58	18560.17	1437.15	3190.46
USH2A	0.0	0.0	0.0	0.0	0.0	0.0	7.34	2.61	47.84	1.68	31.45	0.65	3.72	2.27	1.71	1.77	1.0	1.58	35.76	8.99	77.79	97.36	201.25	19.82	63.89	119.26	118.43	120.94	120.94	54.72	63.89	40.07	82.87	194.36	101.54	198.47	39.79	154.42	105.15	77.25	91.41	80.01	59.13	41.81	118.43	85.82	45.85	147.06	31.9	104.42	244.57	0.0	0.39
XDH	525.39	2.92	156.59	14.56	341.51	127.0	19.11	521.76	353.59	122.64	813.63	183.82	32.13	241.19	275.28	334.46	29.7	187.71	642.59	1295.13	665.29	2224.63	2682.69	493.56	1111.82	1268.46	1242.34	2855.44	1594.73	2591.27	1417.35	1487.87	2018.8	2682.69	988.12	1819.35	921.88	2777.33	3467.27	2520.38	1059.11	432.53	1175.27	583.07	1437.15	423.61	406.31	2935.74	507.46	1819.35	2133.97	0.0	70.51
XYLB	36.79	59.13	93.35	36.27	17.13	41.22	185.11	376.41	571.05	435.55	336.79	215.77	376.41	607.87	351.14	583.07	291.04	612.11	583.07	490.14	693.58	444.72	638.15	334.46	669.92	1143.1	775.05	928.3	1350.18	665.29	718.08	540.19	934.76	1268.46	1081.39	902.89	988.12	934.76	708.18	1819.35	791.35	295.11	1350.18	599.49	1096.5	529.06	291.04	780.44	460.44	961.07	713.11	0.0	19.68
ZNF385B	0.0	3.2	12.45	56.28	7.28	5.73	46.18	133.36	183.82	49.56	82.29	14.14	242.88	50.98	60.82	145.02	7.88	104.42	129.69	201.25	258.57	426.57	813.63	55.49	1605.83	679.29	1540.37	656.11	884.29	543.96	651.58	483.38	1001.93	3060.45	728.11	612.11	1322.37	1304.15	435.55	1073.91	723.08	629.35	420.68	85.22	728.11	1081.39	412.0	1467.37	297.17	1143.1	1088.92	0.0	1.89
ZNF429	24.63	59.55	48.52	30.12	7.69	19.39	56.68	104.42	47.5	35.0	100.13	70.51	48.18	27.64	60.39	74.06	27.84	54.33	93.35	167.9	164.42	172.65	202.66	79.45	202.66	232.94	316.37	145.02	191.67	182.55	146.03	127.0	201.25	202.66	108.9	201.25	177.53	189.02	214.27	236.21	253.23	190.34	141.02	116.78	223.41	159.9	122.64	320.8	34.75	201.25	271.48	0.0	9.34
ZNF680	10.55	40.64	33.54	68.07	35.25	37.85	27.44	176.29	83.45	40.93	150.17	45.21	69.52	64.34	13.93	68.55	71.5	22.59	111.99	146.03	226.54	236.21	351.14	76.71	205.5	281.09	409.15	217.27	346.29	264.03	208.38	74.58	316.37	329.84	86.43	323.03	152.28	473.41	229.72	389.72	269.6	110.43	185.11	150.17	242.88	612.11	97.36	575.03	32.59	303.44	432.53	0.0	54.33
