	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.AR.A0TZ.01A.12R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.D8.A1JD.01A.11R.A13Q.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.AAEG.01A.11R.A39D.07	TCGA.DD.AAVV.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AADK.01A.11R.A41C.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
PDS5A	423.61	1295.13	802.41	1051.79	718.08	708.18	854.13	1008.9	708.18	547.75	441.64	708.18	728.11	483.38	493.56	638.15	1259.69	961.07	775.05	854.13	796.86	1151.06	1295.13	688.78	967.76	713.11	813.63	551.56	718.08	1757.34	651.58	457.25	665.29	995.0	854.13	555.41	603.67	896.64	587.13	1127.35	830.75	791.35	780.44	941.27	1277.29	1508.65	1651.0	836.53	733.19	941.27	555.41	387.02	947.83	633.73	423.61	1407.55	848.22	486.75	928.3	457.25	728.11	348.71	1111.82	612.11	490.14	748.61	830.75	921.88	1059.11	941.27	988.12	656.11	651.58	514.56	373.81	629.35	688.78	669.92	1127.35	988.12	981.29	629.35	567.1	607.87	607.87	323.03	181.28	255.0	236.21	209.84	253.23	406.31	204.07	260.38	373.81	376.41	218.79	293.07	199.85	215.77	275.28	320.8	312.0	236.21	309.83	258.57	309.83	157.68
PHC3	50.98	307.69	444.72	348.71	366.09	244.57	124.37	406.31	132.44	145.02	101.54	283.05	170.25	118.43	165.57	164.42	473.41	368.65	262.2	450.94	500.46	291.04	738.29	187.71	540.19	329.84	316.37	172.65	273.37	529.06	228.13	74.58	403.5	389.72	279.14	208.38	155.5	153.34	293.07	384.34	211.31	423.61	397.93	351.14	473.41	575.03	878.17	249.73	642.59	607.87	275.28	403.5	521.76	173.85	154.42	616.37	543.96	120.1	166.73	289.02	262.2	109.66	389.72	166.73	96.68	209.84	403.5	332.14	348.71	220.32	414.87	279.14	146.03	211.31	157.68	297.17	181.28	224.97	547.75	493.56	379.04	236.21	169.07	176.29	178.77	46.5	40.64	41.22	33.3	19.11	36.79	51.71	40.07	38.67	73.54	51.35	39.79	43.94	19.25	47.5	50.27	61.68	102.25	42.11	80.57	38.95	40.93	32.82
PIK3C2A	79.45	753.83	669.92	309.83	728.11	211.31	343.89	536.45	181.28	185.11	191.67	371.22	260.38	193.01	206.94	234.57	633.73	559.28	271.48	406.31	346.29	438.59	665.29	194.36	500.46	329.84	279.14	193.01	409.15	414.87	244.57	121.79	348.71	540.19	264.03	336.79	205.5	327.56	148.09	371.22	275.28	387.02	563.18	258.57	688.78	612.11	1111.82	327.56	559.28	624.99	217.27	423.61	1044.52	189.02	164.42	753.83	674.59	182.55	178.77	299.25	323.03	170.25	348.71	231.32	178.77	211.31	318.57	332.14	305.55	190.34	417.77	476.71	206.94	224.97	223.41	281.09	198.47	275.28	1073.91	412.0	397.93	314.17	305.55	198.47	195.72	115.16	71.0	102.25	86.43	54.33	78.89	82.29	79.45	94.01	87.65	117.6	46.5	90.77	74.06	54.33	49.91	93.35	111.21	65.72	189.02	104.42	102.25	23.93
PIK3CA	84.63	301.33	332.14	348.71	289.02	155.5	221.86	325.29	103.69	147.06	94.01	248.0	193.01	121.79	120.94	195.72	579.04	363.56	135.24	353.59	242.88	358.54	400.71	191.67	316.37	305.55	329.84	226.54	201.25	540.19	165.57	115.97	346.29	363.56	116.78	224.97	198.47	236.21	221.86	299.25	191.67	295.11	309.83	234.57	507.46	503.95	457.25	249.73	314.17	368.65	267.73	260.38	358.54	199.85	167.9	447.82	301.33	150.17	201.25	149.12	197.09	87.65	297.17	189.02	152.28	148.09	295.11	336.79	220.32	267.73	258.57	224.97	287.01	115.97	127.89	246.28	170.25	208.38	255.0	387.02	277.2	269.6	181.28	158.79	198.47	77.79	40.93	80.01	37.32	36.79	54.33	77.25	70.01	66.18	95.34	72.52	60.82	59.13	34.26	45.85	57.49	68.55	71.0	57.08	107.38	51.35	60.82	32.13
POLR1B	164.42	507.46	262.2	172.65	423.61	209.84	297.17	287.01	217.27	135.24	158.79	239.52	237.86	202.66	198.47	218.79	540.19	688.78	224.97	395.18	301.33	339.14	507.46	189.02	283.05	258.57	223.41	153.34	258.57	287.01	289.02	194.36	403.5	314.17	275.28	246.28	242.88	231.32	205.5	426.57	303.44	470.14	279.14	279.14	555.41	414.87	460.44	318.57	454.09	379.04	381.68	265.87	291.04	237.86	224.97	536.45	444.72	147.06	460.44	301.33	229.72	332.14	373.81	182.55	293.07	389.72	297.17	260.38	265.87	356.05	197.09	148.09	277.2	204.07	229.72	299.25	224.97	291.04	435.55	301.33	387.02	287.01	164.42	194.36	172.65	128.79	198.47	142.01	96.68	169.07	127.0	85.82	109.66	125.24	149.12	150.17	95.34	134.3	85.22	100.13	121.79	232.94	94.01	131.51	106.63	228.13	136.19	125.24
POLR2B	785.88	1685.71	1350.18	1447.15	1594.73	1208.34	1250.98	1313.23	902.89	915.51	669.92	1135.2	1088.92	764.36	819.3	1295.13	1628.26	1551.09	866.07	1111.82	1081.39	1407.55	1697.45	1467.37	1498.22	1225.22	1572.76	426.57	1096.5	2075.59	1143.1	647.07	1369.04	1191.69	961.07	1023.0	928.3	1407.55	1242.34	1628.26	1277.29	1216.75	1295.13	1745.2	1757.34	1769.57	1697.45	1096.5	1268.46	1208.34	1183.45	934.76	1340.84	928.3	624.99	2047.0	1498.22	819.3	1572.76	1030.12	1167.14	796.86	1233.75	961.07	842.36	2163.77	1015.93	1407.55	1529.73	1096.5	1051.79	1135.2	1268.46	947.83	728.11	1529.73	915.51	921.88	1529.73	1233.75	1407.55	1208.34	1359.57	915.51	1023.0	450.94	242.88	392.44	397.93	281.09	426.57	511.0	395.18	423.61	460.44	397.93	307.69	409.15	329.84	353.59	397.93	507.46	423.61	329.84	532.74	493.56	429.54	332.14
PPAT	105.15	400.71	312.0	320.8	796.86	251.48	358.54	239.52	205.5	177.53	144.01	299.25	244.57	153.34	232.94	153.34	283.05	249.73	198.47	307.69	387.02	277.2	366.09	194.36	236.21	185.11	167.9	117.6	214.27	555.41	208.38	103.69	255.0	231.32	236.21	144.01	132.44	305.55	150.17	473.41	249.73	376.41	228.13	366.09	532.74	423.61	511.0	312.0	181.28	183.82	358.54	229.72	314.17	221.86	131.51	616.37	299.25	117.6	470.14	232.94	202.66	212.78	500.46	157.68	197.09	587.13	193.01	224.97	260.38	220.32	260.38	255.0	164.42	191.67	166.73	295.11	146.03	277.2	409.15	283.05	348.71	303.44	325.29	114.36	157.68	75.64	49.56	70.51	69.52	36.53	97.36	53.57	74.06	82.29	94.01	56.28	43.32	53.19	68.07	44.57	60.82	60.39	54.33	79.45	81.71	76.17	72.01	38.95
PPFIBP1	110.43	463.65	974.5	466.88	559.28	150.17	277.2	703.28	132.44	105.89	248.0	420.68	182.55	180.02	154.42	195.72	802.41	112.77	157.68	438.59	483.38	718.08	693.58	151.22	551.56	346.29	373.81	277.2	293.07	525.39	275.28	110.43	616.37	591.22	343.89	447.82	476.71	161.02	220.32	483.38	341.51	665.29	239.52	299.25	941.27	1096.5	476.71	242.88	334.46	1388.16	921.88	400.71	395.18	392.44	169.07	1378.57	429.54	255.0	231.32	423.61	228.13	262.2	343.89	392.44	124.37	426.57	80.01	348.71	105.15	356.05	323.03	181.28	237.86	353.59	511.0	703.28	587.13	273.37	902.89	728.11	151.22	189.02	85.82	32.13	435.55	121.79	59.13	80.57	63.0	77.79	89.51	127.89	87.65	78.89	81.14	78.34	24.63	85.82	72.52	86.43	102.25	126.12	96.01	34.51	163.28	135.24	173.85	104.42
PPP1R12A	215.77	679.29	713.11	693.58	511.0	346.29	242.88	647.07	432.53	198.47	392.44	473.41	255.0	265.87	172.65	271.48	1250.98	547.75	389.72	476.71	620.67	493.56	1066.48	281.09	718.08	480.04	532.74	341.51	493.56	785.88	376.41	185.11	796.86	660.68	368.65	518.15	412.0	423.61	281.09	647.07	406.31	518.15	387.02	373.81	563.18	1023.0	759.08	483.38	521.76	723.08	642.59	291.04	381.68	353.59	341.51	1081.39	620.67	368.65	373.81	283.05	457.25	264.03	403.5	447.82	226.54	420.68	397.93	723.08	733.19	400.71	497.0	409.15	543.96	351.14	275.28	679.29	325.29	454.09	909.17	854.13	656.11	409.15	423.61	189.02	409.15	187.71	87.65	87.65	106.63	84.63	98.73	138.1	75.11	105.15	139.07	115.16	77.25	105.89	91.41	73.03	126.12	103.69	126.12	56.28	221.86	101.54	118.43	30.34
PTPN11	318.57	1322.37	988.12	1191.69	1081.39	642.59	642.59	934.76	466.88	473.41	417.77	819.3	647.07	343.89	363.56	603.67	954.43	890.44	660.68	1143.1	1008.9	1277.29	1037.29	679.29	1096.5	529.06	866.07	563.18	1151.06	954.43	500.46	327.56	1143.1	808.0	884.29	358.54	521.76	860.08	684.02	1508.65	642.59	941.27	759.08	872.1	1159.07	1208.34	2163.77	567.1	1037.29	1066.48	743.43	555.41	1268.46	759.08	438.59	1651.0	884.29	559.28	981.29	587.13	669.92	493.56	500.46	579.04	532.74	1183.45	612.11	791.35	878.17	753.83	974.5	1322.37	693.58	764.36	555.41	808.0	603.67	688.78	1183.45	1081.39	1030.12	665.29	896.64	551.56	684.02	660.68	656.11	426.57	363.56	334.46	379.04	197.09	341.51	420.68	438.59	397.93	264.03	314.17	297.17	275.28	587.13	363.56	301.33	307.69	389.72	447.82	395.18	291.04
QSER1	69.03	285.03	295.11	152.28	518.15	127.89	236.21	297.17	95.34	116.78	148.09	150.17	127.89	109.66	115.16	88.26	346.29	255.0	164.42	262.2	166.73	279.14	325.29	104.42	228.13	150.17	142.01	125.24	180.02	163.28	152.28	63.89	376.41	237.86	166.73	193.01	135.24	215.77	164.42	176.29	151.22	214.27	244.57	190.34	460.44	341.51	866.07	164.42	275.28	320.8	135.24	287.01	301.33	180.02	115.97	353.59	281.09	102.97	154.42	208.38	201.25	123.5	214.27	111.21	114.36	1277.29	206.94	173.85	258.57	91.41	172.65	158.79	166.73	125.24	109.66	231.32	69.52	186.4	521.76	156.59	195.72	180.02	163.28	110.43	137.14	62.56	33.06	34.26	40.36	27.25	42.41	43.32	24.28	33.78	76.17	75.64	49.91	49.56	34.02	34.51	36.27	48.18	68.07	72.01	56.68	48.52	48.18	14.24
RANBP9	525.39	1143.1	1561.89	1096.5	1066.48	836.53	540.19	842.36	1135.2	802.41	848.22	1183.45	830.75	629.35	1175.27	713.11	1794.29	1015.93	603.67	961.07	1059.11	974.5	1191.69	796.86	1617.0	1487.87	543.96	642.59	684.02	1594.73	733.19	1388.16	915.51	1059.11	647.07	796.86	563.18	802.41	753.83	1216.75	1350.18	796.86	775.05	1457.23	848.22	713.11	2148.82	693.58	902.89	928.3	1135.2	921.88	1135.2	785.88	830.75	1674.06	1119.56	607.87	1242.34	988.12	872.1	813.63	1529.73	860.08	1183.45	679.29	466.88	915.51	1583.71	1127.35	1388.16	599.49	796.86	723.08	785.88	941.27	748.61	674.59	1259.69	1127.35	1183.45	723.08	872.1	518.15	848.22	301.33	269.6	371.22	215.77	198.47	299.25	551.56	381.68	341.51	435.55	395.18	473.41	353.59	248.0	435.55	271.48	444.72	429.54	236.21	353.59	232.94	299.25	194.36
RAPGEF2	54.72	287.01	493.56	493.56	447.82	218.79	275.28	483.38	136.19	136.19	214.27	262.2	134.3	116.78	97.36	271.48	480.04	473.41	228.13	289.02	351.14	480.04	518.15	232.94	346.29	182.55	193.01	190.34	295.11	532.74	224.97	98.04	587.13	532.74	223.41	281.09	303.44	220.32	249.73	473.41	277.2	397.93	392.44	269.6	579.04	543.96	447.82	223.41	368.65	376.41	320.8	305.55	325.29	281.09	181.28	366.09	314.17	165.57	208.38	140.04	275.28	112.77	305.55	182.55	131.51	208.38	255.0	497.0	277.2	234.57	223.41	387.02	217.27	173.85	105.15	281.09	178.77	228.13	381.68	435.55	497.0	155.5	466.88	277.2	211.31	231.32	99.43	163.28	97.36	137.14	145.02	129.69	110.43	166.73	171.45	55.1	147.06	206.94	101.54	132.44	204.07	234.57	195.72	32.13	218.79	91.41	237.86	242.88
RBM12	260.38	1001.93	1088.92	854.13	1151.06	1008.9	791.35	1216.75	521.76	507.46	612.11	872.1	571.05	361.04	460.44	540.19	1001.93	1359.57	457.25	1023.0	947.83	921.88	1498.22	543.96	796.86	660.68	698.41	493.56	764.36	988.12	796.86	358.54	941.27	819.3	733.19	612.11	395.18	684.02	624.99	1191.69	842.36	759.08	703.28	780.44	878.17	902.89	1350.18	603.67	967.76	1023.0	819.3	1127.35	842.36	651.58	473.41	1662.49	780.44	429.54	759.08	753.83	723.08	397.93	836.53	466.88	323.03	842.36	718.08	1044.52	764.36	518.15	547.75	902.89	551.56	629.35	457.25	723.08	483.38	633.73	1225.22	1015.93	1088.92	486.75	525.39	460.44	536.45	175.07	123.5	98.73	145.02	116.78	145.02	182.55	127.89	162.14	215.77	151.22	115.16	143.01	120.94	127.89	163.28	193.01	218.79	119.26	201.25	148.09	111.21	107.38
RBM12B	37.32	318.57	299.25	271.48	414.87	76.17	223.41	412.0	139.07	167.9	239.52	237.86	199.85	54.33	80.57	144.01	500.46	277.2	104.42	493.56	255.0	358.54	392.44	232.94	400.71	167.9	136.19	177.53	320.8	339.14	169.07	87.65	264.03	231.32	150.17	182.55	181.28	242.88	178.77	363.56	157.68	305.55	139.07	395.18	339.14	301.33	356.05	269.6	323.03	271.48	183.82	231.32	173.85	189.02	90.77	267.73	182.55	84.63	162.14	129.69	122.64	133.36	303.44	186.4	67.59	332.14	363.56	242.88	460.44	256.78	189.02	178.77	127.0	215.77	59.13	163.28	114.36	234.57	366.09	426.57	343.89	114.36	190.34	167.9	176.29	74.58	21.63	36.27	50.98	12.27	22.92	29.7	33.54	23.25	104.42	95.34	42.71	40.36	18.43	42.71	41.52	91.41	62.56	44.57	69.52	41.81	105.89	17.25
RBM12B-AS1	5.68	43.32	40.93	27.84	39.79	7.0	16.88	27.44	21.16	21.32	11.21	20.41	10.0	2.89	13.22	15.91	72.52	30.12	3.03	75.11	28.86	44.89	45.85	17.51	47.17	20.86	18.03	40.93	59.97	36.53	28.04	4.21	41.81	28.45	19.68	15.91	28.86	27.44	12.09	51.71	11.55	33.54	13.62	77.79	63.0	23.42	43.02	42.11	40.93	31.22	6.01	20.56	24.11	17.38	10.55	47.17	15.11	1.73	9.2	17.0	6.73	25.72	33.3	34.26	0.0	36.79	85.22	34.26	120.94	9.85	28.04	13.52	2.53	24.28	4.39	40.36	4.03	35.25	33.54	70.01	44.25	9.2	16.27	28.65	23.59	10.31	3.59	2.27	4.78	7.94	2.41	4.82	15.0	7.34	8.78	7.06	0.0	8.45	2.56	8.71	2.1	8.38	5.02	8.58	11.3	12.36	28.65	0.0
RBM27	109.66	361.04	293.07	356.05	258.57	198.47	231.32	267.73	165.57	172.65	128.79	301.33	218.79	120.1	75.64	181.28	441.64	283.05	194.36	289.02	305.55	299.25	764.36	297.17	309.83	169.07	346.29	220.32	206.94	371.22	255.0	150.17	327.56	323.03	264.03	264.03	178.77	244.57	226.54	473.41	275.28	409.15	307.69	289.02	318.57	281.09	733.19	183.82	283.05	406.31	283.05	205.5	312.0	234.57	127.89	400.71	256.78	120.94	212.78	186.4	231.32	163.28	244.57	202.66	117.6	232.94	314.17	265.87	236.21	234.57	269.6	214.27	265.87	190.34	136.19	299.25	177.53	248.0	341.51	307.69	497.0	187.71	201.25	166.73	258.57	113.56	66.65	96.01	63.89	63.45	87.65	96.68	59.97	64.34	126.12	80.57	54.72	81.14	58.3	71.0	86.43	108.14	83.45	90.14	96.68	67.12	105.15	22.26
RBPJ	819.3	1096.5	669.92	743.43	563.18	703.28	480.04	693.58	647.07	603.67	642.59	460.44	497.0	389.72	563.18	559.28	860.08	909.17	813.63	688.78	669.92	902.89	941.27	543.96	866.07	718.08	723.08	830.75	748.61	1037.29	612.11	289.02	559.28	941.27	444.72	620.67	780.44	1259.69	551.56	921.88	688.78	555.41	612.11	693.58	1001.93	1008.9	1467.37	376.41	842.36	890.44	633.73	432.53	764.36	836.53	325.29	1508.65	543.96	543.96	599.49	327.56	638.15	329.84	928.3	1175.27	381.68	559.28	466.88	848.22	947.83	934.76	547.75	620.67	616.37	521.76	325.29	389.72	470.14	665.29	669.92	796.86	902.89	967.76	483.38	441.64	723.08	412.0	193.01	287.01	343.89	236.21	202.66	346.29	275.28	312.0	253.23	314.17	312.0	211.31	148.09	314.17	595.34	197.09	371.22	351.14	297.17	301.33	248.0	107.38
RC3H2	176.29	223.41	283.05	412.0	607.87	226.54	237.86	595.34	148.09	208.38	255.0	132.44	264.03	209.84	281.09	265.87	454.09	309.83	215.77	299.25	366.09	303.44	571.05	173.85	373.81	275.28	234.57	176.29	356.05	353.59	316.37	164.42	435.55	325.29	176.29	237.86	211.31	371.22	220.32	318.57	264.03	264.03	273.37	226.54	571.05	785.88	403.5	258.57	343.89	429.54	426.57	299.25	507.46	258.57	239.52	629.35	521.76	258.57	438.59	229.72	246.28	127.0	460.44	265.87	221.86	327.56	486.75	264.03	525.39	228.13	255.0	325.29	189.02	181.28	220.32	480.04	429.54	237.86	493.56	454.09	366.09	343.89	236.21	150.17	190.34	167.9	87.03	111.99	126.12	84.04	101.54	137.14	111.21	190.34	99.43	121.79	176.29	133.36	171.45	99.43	149.12	84.63	140.04	84.04	177.53	105.15	119.26	102.97
RIF1	76.17	201.25	255.0	189.02	395.18	94.67	135.24	279.14	121.79	96.68	96.68	170.25	127.89	99.43	105.89	120.94	441.64	155.5	127.89	193.01	234.57	273.37	493.56	102.97	194.36	90.77	178.77	108.9	165.57	273.37	145.02	68.07	358.54	241.19	164.42	102.97	115.16	177.53	142.01	277.2	172.65	206.94	202.66	169.07	301.33	397.93	384.34	131.51	220.32	305.55	206.94	169.07	275.28	122.64	90.77	260.38	255.0	134.3	131.51	172.65	161.02	61.25	217.27	139.07	83.45	202.66	122.64	221.86	178.77	176.29	151.22	104.42	118.43	206.94	89.51	195.72	142.01	108.14	454.09	191.67	256.78	153.34	120.94	94.67	94.67	72.52	54.72	46.5	48.87	39.79	52.45	41.52	33.78	45.85	75.64	76.17	45.53	60.39	38.95	32.59	45.21	68.55	59.13	36.01	59.13	47.84	68.07	14.03
RNF4	435.55	1870.53	1208.34	988.12	884.29	1096.5	579.04	1216.75	563.18	890.44	967.76	902.89	1081.39	860.08	954.43	1088.92	1088.92	981.29	1066.48	884.29	1081.39	1023.0	1583.71	1119.56	1088.92	896.64	1208.34	674.59	1030.12	1487.87	1350.18	738.29	713.11	1167.14	802.41	981.29	802.41	1111.82	1066.48	1340.84	902.89	813.63	1159.07	1088.92	1519.15	1295.13	1313.23	928.3	1135.2	1167.14	854.13	854.13	1417.35	890.44	1023.0	1378.57	1216.75	928.3	1407.55	698.41	1037.29	796.86	1572.76	896.64	954.43	1286.18	1199.98	1350.18	1447.15	1175.27	902.89	1572.76	860.08	854.13	941.27	1044.52	1104.13	954.43	1216.75	1127.35	1127.35	981.29	620.67	1268.46	764.36	525.39	599.49	339.14	356.05	231.32	450.94	521.76	414.87	503.95	547.75	353.59	339.14	426.57	285.03	435.55	412.0	514.56	536.45	397.93	414.87	470.14	435.55	289.02
RP11-159G9.5	20.11	183.82	127.0	70.51	96.01	42.11	75.11	137.14	18.56	63.45	36.27	100.13	54.33	16.39	16.75	40.07	241.19	127.0	57.49	128.79	128.79	137.14	133.36	73.03	158.79	47.5	105.89	37.85	71.0	103.69	84.04	24.11	96.01	140.04	65.26	63.0	53.95	59.55	55.49	132.44	89.51	136.19	138.1	81.14	186.4	166.73	183.82	41.22	145.02	214.27	111.21	127.89	137.14	47.5	42.71	164.42	170.25	13.62	23.76	111.99	56.68	27.84	125.24	31.67	49.56	39.79	148.09	104.42	102.25	149.12	146.03	84.04	57.89	60.82	73.54	92.05	51.35	63.89	198.47	88.26	118.43	102.97	46.84	53.19	81.71	11.3	3.03	3.92	1.45	2.94	8.0	4.82	4.94	7.0	11.64	14.56	22.26	10.63	5.02	10.79	4.39	14.03	6.78	6.21	21.16	10.71	15.11	11.3
SCYL2	193.01	703.28	432.53	511.0	583.07	228.13	275.28	587.13	236.21	262.2	305.55	633.73	457.25	236.21	253.23	285.03	733.19	493.56	275.28	743.43	555.41	607.87	780.44	332.14	547.75	368.65	563.18	336.79	444.72	551.56	332.14	255.0	629.35	532.74	507.46	457.25	406.31	348.71	395.18	708.18	297.17	514.56	466.88	466.88	819.3	785.88	1745.2	332.14	500.46	693.58	547.75	346.29	633.73	389.72	251.48	775.05	493.56	320.8	473.41	521.76	384.34	301.33	260.38	329.84	249.73	490.14	341.51	532.74	540.19	571.05	713.11	543.96	518.15	412.0	256.78	543.96	540.19	376.41	525.39	624.99	454.09	303.44	343.89	289.02	432.53	267.73	152.28	167.9	120.94	129.69	221.86	156.59	152.28	165.57	166.73	159.9	111.99	147.06	161.02	105.89	176.29	186.4	151.22	144.01	281.09	155.5	163.28	111.21
SDAD1	351.14	954.43	595.34	642.59	1159.07	743.43	915.51	583.07	599.49	476.71	426.57	559.28	703.28	500.46	559.28	518.15	819.3	642.59	429.54	656.11	555.41	902.89	808.0	703.28	769.69	603.67	674.59	429.54	665.29	836.53	507.46	373.81	1175.27	688.78	447.82	500.46	536.45	642.59	559.28	1096.5	612.11	791.35	638.15	693.58	836.53	890.44	1143.1	665.29	591.22	559.28	769.69	656.11	579.04	563.18	403.5	1225.22	638.15	638.15	902.89	420.68	518.15	480.04	1008.9	559.28	444.72	1143.1	1697.45	759.08	521.76	684.02	571.05	575.03	718.08	392.44	426.57	660.68	381.68	514.56	819.3	813.63	934.76	616.37	954.43	595.34	583.07	343.89	171.45	318.57	265.87	185.11	316.37	248.0	249.73	277.2	332.14	217.27	361.04	289.02	228.13	150.17	299.25	291.04	275.28	269.6	316.37	373.81	244.57	124.37
SEC24B	151.22	583.07	480.04	536.45	656.11	325.29	423.61	490.14	265.87	255.0	187.71	323.03	371.22	285.03	176.29	323.03	571.05	620.67	341.51	412.0	414.87	540.19	684.02	409.15	536.45	435.55	470.14	289.02	460.44	647.07	361.04	198.47	547.75	551.56	361.04	316.37	303.44	384.34	429.54	563.18	450.94	551.56	497.0	486.75	599.49	688.78	866.07	414.87	497.0	429.54	409.15	346.29	591.22	316.37	265.87	995.0	540.19	301.33	447.82	279.14	518.15	232.94	656.11	271.48	334.46	363.56	297.17	457.25	307.69	521.76	450.94	389.72	371.22	397.93	303.44	503.95	305.55	325.29	825.0	454.09	551.56	409.15	525.39	379.04	295.11	248.0	84.04	246.28	161.02	119.26	277.2	212.78	283.05	283.05	218.79	125.24	108.9	309.83	256.78	114.36	159.9	332.14	258.57	48.52	320.8	110.43	242.88	198.47
