	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.A2.A0EM.01A.11R.A034.07	TCGA.AR.A256.01A.11R.A169.07	TCGA.A2.A0EM.01A.11R.A034.07.1	TCGA.BH.A18Q.01A.12R.A12D.07	TCGA.75.5147.01A.01R.1628.07	TCGA.BR.4191.01A.02R.1131.13	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.ET.A3DS.01A.11R.A19O.07	TCGA.FE.A239.01A.11R.A16R.07	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.SUCS.0226.SM.32PLQ	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.ZVP2.0426.SM.57WC2	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399R.0126.SM.5IFEV	GTEX.ZLWG.0526.SM.4WWFB	GTEX.139YR.1226.SM.5IFEU	GTEX.YEC3.0826.SM.4WWFP	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.Z9EW.0226.SM.5CVM7
RRM2	1417.35	307.69	866.07	307.69	819.3	693.58	785.88	206.94	87.03	163.28	638.15	193.01	23.59	95.34	5.82	28.24	85.82	7.17	5.87	18.16	19.97	19.82	44.89	31.9	7.51	35.25	79.45	32.59	66.18	11.91	299.25	52.82	45.85	7.88	12.27	13.42	2.84	6.94	53.95	31.67	8.0	75.64	52.45	32.82	16.15
SAPCD2	457.25	45.53	228.13	45.53	185.11	74.58	320.8	71.0	33.78	115.97	49.21	28.86	15.56	24.63	5.23	13.03	19.68	7.34	8.19	10.39	11.13	13.32	11.82	19.68	4.9	15.68	23.25	19.82	24.99	11.91	28.45	20.71	7.17	8.0	7.69	7.75	8.38	8.38	11.21	12.93	7.17	19.82	16.51	10.79	5.41
SGOL1	96.01	35.0	291.04	35.0	199.85	103.69	148.09	19.82	18.97	28.86	65.72	25.72	3.2	21.78	5.32	7.57	4.31	2.68	3.38	3.26	5.82	4.94	5.73	7.82	3.23	3.92	11.55	4.94	14.14	3.29	17.9	5.87	4.1	7.94	5.92	1.43	4.9	1.77	7.0	3.66	2.78	19.68	11.21	1.77	2.81
SHCBP1	147.06	53.19	312.0	53.19	320.8	97.36	147.06	27.25	25.54	38.4	199.85	72.52	8.25	10.71	3.53	5.28	22.26	8.85	2.86	8.38	3.56	25.35	10.63	9.48	3.2	9.48	12.0	8.19	5.96	19.25	48.87	15.56	5.68	3.14	7.51	1.19	2.32	3.35	12.45	10.0	0.39	36.01	21.63	11.3	11.64
SKA1	157.68	37.32	470.14	37.32	198.47	76.71	155.5	21.16	19.82	30.34	44.25	17.51	7.06	11.73	2.39	2.94	11.47	3.82	2.68	1.93	3.92	3.41	5.41	4.06	5.54	3.29	5.06	2.39	10.24	3.53	21.47	8.92	3.44	2.89	3.99	2.46	1.38	6.16	12.45	6.01	2.94	11.04	11.73	5.59	4.58
SKA3	223.41	50.98	262.2	50.98	165.57	120.94	172.65	30.56	24.99	29.06	44.25	29.7	2.41	7.63	1.07	3.29	12.18	1.5	1.03	1.08	2.84	4.5	9.56	4.24	3.72	13.62	7.06	6.11	9.34	9.2	22.1	5.77	14.24	0.0	2.89	2.46	5.32	6.94	11.73	1.97	4.13	11.82	9.56	1.46	2.01
SMC2	490.14	170.25	559.28	170.25	289.02	171.45	255.0	105.15	116.78	128.79	155.5	131.51	110.43	121.79	76.17	97.36	105.15	120.1	51.35	83.45	80.01	153.34	106.63	103.69	102.97	46.84	127.0	112.77	136.19	119.26	163.28	85.22	53.95	92.05	109.66	118.43	86.43	58.71	107.38	71.5	105.89	127.89	158.79	59.13	94.67
SPC25	255.0	137.14	329.84	137.14	231.32	226.54	312.0	51.71	48.18	75.64	120.94	51.71	14.45	23.76	8.32	4.39	15.68	9.27	1.53	2.86	6.21	10.16	6.46	8.32	2.46	0.0	10.39	18.84	14.45	23.59	24.28	22.43	30.78	14.78	4.03	8.99	5.06	18.84	19.11	14.45	0.0	23.76	17.0	1.91	5.23
TG	22.75	14.56	1.43	14.56	5.11	27.64	21.32	1085552.95	1063212.58	869603.57	711250.37	794671.01	2068278.89	1163466.92	2247670.86	2126426.15	1327240.99	2375828.71	2111737.85	1493223.86	1739208.14	1838374.44	1997825.68	1997825.68	1290947.48	2986448.72	2025714.3	2425749.94	1139523.1	1929772.37	828417.36	1943195.01	2636147.11	2263304.65	1775752.63	2111737.85	1800541.22	3178687.03	3886391.01	1645391.11	1622738.51	951601.81	2263304.65	2672946.37	1402917.72
TK1	1417.35	813.63	1051.79	813.63	2537.92	1199.98	941.27	387.02	283.05	336.79	521.76	229.72	29.91	121.79	24.11	55.89	145.02	15.34	26.86	28.65	28.45	117.6	116.78	58.71	24.46	92.05	53.95	42.71	98.04	76.17	236.21	189.02	108.9	67.12	33.3	52.45	11.13	69.03	94.67	61.25	32.82	71.5	106.63	42.41	57.49
TOP2A	1923.14	603.67	2664.15	603.67	1651.0	1183.45	1023.0	376.41	336.79	954.43	511.0	241.19	72.52	88.26	32.36	26.28	81.71	30.78	42.71	19.82	7.17	115.16	73.54	49.21	19.82	55.89	38.12	68.55	159.9	29.48	258.57	120.94	52.45	10.0	45.85	48.52	24.99	14.35	150.17	41.22	10.63	134.3	92.7	23.93	21.94
TPX2	679.29	226.54	2255.7	226.54	1359.57	441.64	480.04	156.59	100.13	265.87	275.28	99.43	31.67	66.18	11.21	27.84	62.56	40.36	9.48	13.52	6.36	17.9	15.8	29.91	8.32	13.93	23.08	17.0	59.13	24.28	94.67	28.86	12.36	10.88	7.4	19.53	7.22	21.47	29.7	24.11	3.44	106.63	50.98	5.11	12.74
TROAP	764.36	103.69	591.22	103.69	536.45	603.67	540.19	100.83	65.26	173.85	181.28	91.41	27.44	56.68	1.51	25.91	49.56	26.47	5.82	11.13	17.64	19.11	21.01	17.77	11.38	44.25	26.67	54.33	68.07	24.28	53.57	47.17	14.03	8.45	24.28	15.91	2.81	12.93	32.82	13.32	23.42	35.25	41.52	13.93	17.64
TTK	295.11	67.12	947.83	67.12	466.88	231.32	94.67	48.52	28.04	92.05	70.01	32.13	16.39	18.97	7.69	7.4	17.51	6.73	2.39	4.66	5.36	1.39	6.84	6.36	3.82	4.35	11.55	8.92	11.91	6.78	17.51	24.11	8.58	8.51	8.32	3.89	6.52	9.13	12.27	10.55	8.19	24.99	14.56	2.41	7.94
TYMS	988.12	878.17	974.5	878.17	2976.74	3665.02	1781.89	403.5	297.17	336.79	529.06	384.34	126.12	379.04	94.01	104.42	143.01	62.56	70.01	102.97	146.03	127.89	137.14	108.14	62.56	138.1	148.09	248.0	183.82	86.43	285.03	177.53	127.89	46.84	92.05	55.89	60.82	118.43	100.13	82.87	132.44	212.78	199.85	119.26	88.26
UBE2C	2855.44	435.55	5076.84	435.55	2303.12	1651.0	2537.92	248.0	137.14	759.08	669.92	246.28	50.63	50.98	9.85	7.34	124.37	17.51	22.59	5.11	15.34	16.63	32.13	28.86	14.67	51.35	70.51	49.21	92.05	19.97	144.01	90.14	51.35	9.93	18.43	25.72	0.0	25.72	45.85	35.76	10.08	142.01	80.57	21.78	19.39
ZWINT	723.08	503.95	848.22	503.95	1216.75	1111.82	733.19	420.68	318.57	420.68	371.22	208.38	228.13	206.94	71.5	127.89	153.34	212.78	66.65	101.54	80.57	128.79	148.09	197.09	67.59	264.03	134.3	325.29	156.59	124.37	256.78	223.41	82.87	136.19	129.69	131.51	29.91	26.67	183.82	125.24	142.01	198.47	178.77	90.77	55.89
