	TCGA.AZ.4323.01A.21R.1839.07	TCGA.CM.6167.01A.11R.1653.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.Y114.1126.SM.4TT7V	GTEX.12C56.0426.SM.5FQU1	GTEX.Y111.1826.SM.4SOIR	GTEX.YEC4.1226.SM.5CVLX	GTEX.Y111.1726.SM.4SOIQ	GTEX.146FR.0526.SM.5Q5EX	GTEX.ZYFC.1726.SM.5GZYX	GTEX.WFJO.0726.SM.4LVM8	GTEX.1122O.1626.SM.5N9CX	GTEX.ZQUD.0326.SM.4YCEN	GTEX.ZT9W.1226.SM.57WE4	GTEX.111YS.1026.SM.5GZYE	GTEX.131XF.0926.SM.5BC69	GTEX.13X6H.1426.SM.5SI91	GTEX.ZXES.1226.SM.5NQ8G	GTEX.U4B1.0926.SM.4DXUV	GTEX.WRHK.0426.SM.4MVOG	GTEX.YEC4.1126.SM.5CVLW	GTEX.13QJ3.1826.SM.5S2PT	GTEX.ZZ64.0326.SM.5E45S	GTEX.P4QT.0726.SM.3NMCM	TCGA.BR.A4IV.01A.31R.A251.31	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.BR.8371.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.BR.A4IU.01A.22R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.A4G3.11A.11R.A24K.31
SOX12	1259.69	384.34	624.99	395.18	176.29	231.32	170.25	51.71	130.6	493.56	189.02	486.75	139.07	532.74	105.89	164.42	131.51	178.77	103.69	232.94	193.01	171.45	256.78	91.41	131.51	262.2	100.83	127.89	361.04	414.87	412.0	253.23	633.73	265.87	507.46	320.8	318.57	236.21	438.59
SRCIN1	327.56	162.14	158.79	76.71	41.22	96.68	50.63	21.32	37.05	371.22	72.01	287.01	18.56	271.48	43.02	32.13	65.26	28.04	39.22	26.1	8.78	24.63	20.11	36.79	82.87	373.81	29.91	4.03	43.63	111.21	20.86	58.3	76.71	136.19	126.12	63.89	17.77	58.71	120.1
STK32A	69.52	54.72	144.01	28.04	54.33	43.63	43.63	34.26	36.79	98.73	20.11	110.43	29.48	154.42	33.3	24.11	55.49	25.91	22.1	38.67	13.62	17.13	27.05	15.56	32.13	111.99	23.59	10.71	67.12	69.52	36.01	63.0	60.39	17.51	64.8	34.51	67.12	74.58	56.28
TBC1D31	208.38	120.94	55.89	92.05	51.71	45.21	48.18	15.8	17.51	112.77	27.25	130.6	36.79	111.21	39.22	41.22	33.54	18.43	23.08	36.79	33.06	40.64	37.59	35.76	30.56	80.01	29.91	21.32	71.5	78.89	78.34	59.13	80.01	136.19	112.77	75.64	78.34	124.37	57.49
TBC1D32	111.99	77.25	43.63	62.12	65.26	24.99	44.25	35.25	38.67	52.08	36.27	89.51	37.85	75.11	49.91	40.64	52.82	37.85	34.75	53.19	18.97	35.5	28.45	30.12	33.06	46.18	42.71	25.17	52.82	55.49	50.63	59.97	44.25	56.68	50.63	86.43	56.68	79.45	45.85
TEFM	205.5	301.33	161.02	176.29	175.07	119.26	161.02	126.12	105.15	176.29	161.02	180.02	127.0	197.09	189.02	106.63	211.31	75.64	127.89	167.9	148.09	152.28	97.36	176.29	167.9	241.19	108.9	97.36	191.67	166.73	185.11	212.78	180.02	255.0	193.01	169.07	223.41	209.84	167.9
THEM4	409.15	540.19	291.04	224.97	265.87	211.31	291.04	256.78	249.73	463.65	376.41	551.56	285.03	536.45	348.71	303.44	239.52	201.25	211.31	384.34	171.45	293.07	426.57	285.03	376.41	656.11	220.32	186.4	493.56	373.81	463.65	414.87	406.31	444.72	543.96	438.59	480.04	466.88	336.79
TIGD1	353.59	158.79	50.98	67.59	36.53	28.24	45.53	55.89	36.53	138.1	31.45	131.51	29.06	102.25	32.59	24.63	45.85	18.16	25.72	29.7	40.93	31.9	17.9	39.5	46.18	81.14	17.64	21.78	54.33	89.51	106.63	90.14	94.01	71.5	82.29	94.67	80.01	66.18	52.08
TMEM155	61.68	37.85	53.19	23.93	15.8	37.32	7.4	1.87	2.2	57.89	9.34	48.87	5.45	49.56	6.01	7.4	2.68	4.17	8.0	3.99	4.54	4.21	3.2	4.06	22.59	80.01	4.66	2.61	5.5	18.84	3.29	8.92	43.02	2.16	25.72	3.2	23.76	8.78	29.91
TMEM201	323.03	191.67	172.65	242.88	170.25	205.5	153.34	107.38	118.43	320.8	152.28	285.03	142.01	320.8	114.36	162.14	124.37	76.17	83.45	114.36	102.25	118.43	163.28	140.04	120.94	269.6	99.43	76.17	205.5	204.07	185.11	163.28	224.97	209.84	193.01	208.38	135.24	221.86	178.77
TMEM81	197.09	94.67	42.41	65.72	41.81	41.22	40.07	26.67	26.67	91.41	48.18	149.12	36.27	100.13	43.94	25.72	23.42	31.45	17.9	23.76	31.0	16.88	34.02	18.03	38.4	97.36	16.27	34.51	76.17	73.54	46.84	44.57	46.84	96.68	39.5	43.63	67.59	41.81	29.48
TSPAN11	1286.18	242.88	981.29	395.18	325.29	674.59	241.19	102.97	79.45	1088.92	152.28	1044.52	72.52	420.68	108.14	98.04	60.82	80.57	88.88	106.63	52.82	105.15	85.82	95.34	215.77	1225.22	80.57	28.04	146.03	423.61	115.16	262.2	373.81	154.42	325.29	318.57	138.1	152.28	426.57
TTC5	226.54	155.5	110.43	131.51	124.37	94.67	118.43	72.52	55.1	163.28	90.77	163.28	89.51	171.45	78.34	88.26	71.0	49.56	61.68	92.05	116.78	73.03	63.45	60.82	80.01	127.89	56.68	69.03	177.53	151.22	134.3	93.35	110.43	178.77	132.44	162.14	102.97	125.24	90.14
UBQLN4	1030.12	1081.39	728.11	688.78	518.15	656.11	698.41	180.02	429.54	743.43	507.46	723.08	595.34	638.15	532.74	381.68	503.95	543.96	397.93	470.14	476.71	327.56	624.99	387.02	490.14	743.43	432.53	387.02	764.36	791.35	559.28	629.35	669.92	995.0	764.36	813.63	836.53	629.35	698.41
UTP6	1909.85	1651.0	738.29	1313.23	941.27	890.44	1015.93	679.29	947.83	1628.26	785.88	1909.85	785.88	1304.15	769.69	813.63	703.28	723.08	743.43	791.35	819.3	511.0	848.22	669.92	981.29	1378.57	647.07	620.67	1066.48	1313.23	1037.29	1001.93	1073.91	1242.34	1023.0	1044.52	1001.93	1127.35	796.86
VPS8	429.54	412.0	356.05	555.41	366.09	379.04	417.77	327.56	231.32	769.69	314.17	915.51	470.14	674.59	373.81	316.37	457.25	301.33	332.14	457.25	341.51	363.56	476.71	387.02	343.89	607.87	295.11	256.78	450.94	521.76	358.54	547.75	384.34	543.96	432.53	473.41	450.94	529.06	444.72
WDR18	1081.39	563.18	486.75	748.61	503.95	532.74	669.92	343.89	381.68	665.29	316.37	684.02	264.03	629.35	389.72	470.14	303.44	260.38	299.25	511.0	473.41	361.04	414.87	412.0	320.8	669.92	309.83	341.51	656.11	753.83	624.99	289.02	1059.11	624.99	854.13	796.86	532.74	665.29	460.44
ZFP69	113.56	129.69	87.03	71.0	84.04	76.71	46.84	62.12	28.24	155.5	52.45	98.73	55.49	102.25	43.32	43.94	52.82	31.45	35.5	74.58	46.18	51.71	47.5	47.84	69.52	123.5	39.22	27.25	77.79	89.51	73.54	126.12	69.52	94.01	85.22	91.41	63.45	108.14	87.03
ZNF239	273.37	161.02	132.44	50.63	62.12	60.82	50.63	49.21	45.21	131.51	61.25	167.9	60.82	114.36	42.41	53.95	119.26	35.0	45.85	60.39	84.63	72.01	52.82	87.03	75.11	127.89	55.89	46.84	115.97	111.21	111.99	142.01	90.77	170.25	167.9	115.16	117.6	133.36	117.6
ZNF26	392.44	186.4	107.38	155.5	154.42	125.24	143.01	159.9	108.9	255.0	117.6	267.73	127.0	236.21	101.54	105.89	142.01	88.26	98.04	127.89	94.67	108.9	132.44	128.79	148.09	204.07	85.82	83.45	146.03	157.68	176.29	167.9	120.94	175.07	178.77	170.25	155.5	180.02	132.44
ZNF30	88.88	105.89	70.51	37.59	55.1	41.81	39.22	37.85	29.91	175.07	54.33	255.0	31.0	116.78	40.93	39.79	38.4	36.53	23.25	80.57	23.76	38.12	24.11	43.32	56.28	171.45	33.3	25.54	70.01	86.43	64.8	74.06	68.55	98.04	87.03	71.0	67.59	60.82	62.12
ZNF318	329.84	249.73	255.0	265.87	209.84	209.84	183.82	96.01	172.65	301.33	212.78	318.57	189.02	376.41	115.97	164.42	211.31	214.27	173.85	234.57	197.09	237.86	223.41	139.07	224.97	329.84	182.55	94.01	260.38	231.32	220.32	299.25	204.07	251.48	271.48	351.14	242.88	228.13	309.83
ZNF431	329.84	293.07	155.5	236.21	215.77	87.03	295.11	177.53	132.44	237.86	171.45	256.78	198.47	226.54	198.47	135.24	142.01	156.59	129.69	173.85	94.67	178.77	205.5	127.89	169.07	223.41	164.42	45.21	253.23	139.07	241.19	239.52	154.42	305.55	297.17	275.28	220.32	237.86	221.86
ZNF436	145.02	447.82	193.01	373.81	470.14	327.56	220.32	101.54	127.89	540.19	153.34	503.95	107.38	234.57	163.28	139.07	128.79	129.69	140.04	175.07	163.28	236.21	264.03	131.51	164.42	208.38	141.02	134.3	412.0	521.76	134.3	204.07	169.07	314.17	260.38	327.56	186.4	291.04	199.85
ZNF443	61.68	82.29	41.22	49.91	53.95	32.82	46.18	18.43	41.22	98.73	63.89	99.43	40.07	84.63	36.79	26.28	72.52	32.13	40.36	79.45	39.5	62.12	42.71	54.33	55.89	93.35	41.22	22.75	68.07	89.51	56.28	84.63	38.95	79.45	53.19	83.45	60.82	80.01	43.63
ZNF485	100.13	70.51	24.99	19.53	32.13	21.32	35.0	10.71	11.55	49.21	28.24	78.89	33.06	38.95	26.1	19.82	18.7	9.93	27.25	17.9	37.05	25.72	33.78	11.82	38.95	61.25	18.7	10.79	51.71	46.18	58.71	51.35	23.59	88.88	45.53	90.14	43.94	73.54	49.56
ZNF732	10.71	5.59	5.32	5.73	13.22	9.93	14.24	1.77	2.92	37.05	4.7	28.24	4.28	21.32	3.38	2.14	1.58	5.5	1.77	5.32	0.47	4.28	2.32	3.23	9.7	30.78	3.32	1.3	10.31	6.46	14.35	7.17	5.63	6.26	17.38	2.92	8.65	7.69	7.17
ZNF74	201.25	198.47	246.28	133.36	127.89	138.1	114.36	55.89	68.55	242.88	64.34	229.72	73.54	220.32	70.51	68.55	87.03	72.52	49.91	71.0	82.87	90.77	98.73	59.13	76.71	201.25	61.25	65.72	183.82	178.77	172.65	146.03	204.07	195.72	169.07	242.88	169.07	165.57	173.85
ZNF799	65.72	98.04	52.45	60.82	68.55	42.71	56.68	28.65	30.12	96.68	50.63	98.73	60.82	76.71	38.4	44.57	71.0	43.63	26.28	63.45	53.95	41.22	63.89	48.18	55.49	98.04	78.34	27.05	67.12	88.26	63.89	68.07	43.02	78.89	68.55	75.64	63.0	90.77	50.98
